riding light	391-16513-B
roily	393-10813-B
roinek	393-10862-B
roister	393-10901-B
roisterer	393-10991-B
roistering	393-11150-B
roisterous	393-11260-B
roke	393-11344-B
role	393-11459-B,393-11604-B,470-13774-S
role model	393-11782-B
role play	393-11907-B
role playing	393-11636-B
roll	393-12071-B,42-13649-S,42-14002-S,104-10515-S,116-14744-S,273-14069-S,298-16357-S,298-21960-S,332-16969-S,385-29806-S,392-33553-S,401-20207-S,401-20882-S,427-7411-S,458-808-S,471-3754-S,482-17177-S
roll back	393-15254-B
roll call	393-15365-B
roll of honour	393-15100-B
roll off	393-18352-S
roll on	393-18149-B
roll on roll off	393-18352-B
roll top desk	393-18522-B
roll up	393-18595-B
rollable	393-15177-B
rollcall	393-15318-B
rolled	395-4057-S
rolled gold	393-15443-B
rolled oats	393-15525-B
roller	393-15604-B,221-1125-S,266-10166-S,392-24028-S,439-200-S,442-1042-S
roller bandage	393-15865-B
roller barrow	393-16051-B
roller bearing	393-16111-B
roller bed	393-16181-B
roller blind	393-16268-B
roller coaster	393-16333-B
roller skate	393-16546-B
roller skating	393-16630-B
roller towel	393-15936-B
rolley	393-16721-B
rollick	393-16757-B
rollicking	393-16909-B
rolling	393-16982-B,273-14351-S,442-1209-S
rolling bridge	393-17476-B
rolling fire	393-17557-B
rolling mill	393-17629-B
rolling pin	393-17701-B
rolling stock	393-17816-B
rolling stone	393-17310-B
rolling up	393-17918-B
rollmop	393-18001-B
rollmop herring	393-18050-B
rollout	393-18443-B
rolls	107-21062-S
roly poly	393-18671-B
rom	393-18784-B,71-14248-S,148-8063-S,160-2226-S,160-2314-S
rom drive	71-14305-S
rom player	71-14344-S
romaic	393-18864-B
roman	393-18988-B,207-24567-S
roman aì clef	393-19405-B
roman calendar	393-19561-B
roman candle	393-19651-B
roman catholic	393-19767-B
roman catholicism	393-19880-B
roman empire	223-18352-S
roman fleuve	393-21584-B
roman holiday	393-19998-B
roman law	393-20115-B
roman nose	393-20174-B
roman numeral	393-20268-B
