euhemeristically	- xem [03euhemerism] 
eutectic [01/ju:'tektik/]	[01* ttừ]\n- (hoá) Eutecti\n[02= eutectic temperature (point)] điểm Eutecti\n[01* dtừ]\n- (hoá) Eutecti
eutectoid [01/ju:'tektɔid/]	[01* ttừ]\n- ơtectoi; cùng tích
euterpean [01/ju'tə:piən/]	[01* ttừ]\n- thuộc nữ thần âm nhạc\n- thuộc âm nhạc
euthanasia [01/,ju:θə'neizjə/]	[01* dtừ]\n- sự chết không đau đớn\n- sự làm chết không đau đớn
euthenics [01/ju'θeniks/]	[01* dtừ]\n- khoa cải tiến điều kiện sinh sống
euthenist [01/'juθenist/]	[01* dtừ]\n- người theo khoa cải tiến điều kiện sinh sống
eutheria [01/ju:'θiəriə/]	[01* dtừ s/n]\n- (động vật) lớp phụ thú có nhau
eutherian [01/ju:'θiəriən/]	[01* dtừ]\n- động vật có vú chính thức; động vật có nhau\n[01* ttừ]\n- thuộc động vật có vú chính thức, động vật có nhau
euthyroid [01/ju:'θairɔid/]	[01* ttừ]\n- có tuyến giáp bình thường
eutrophic [01/ju:'trɔfik/]	[01* ttừ]\n- dinh dưỡng tốt
eutrophication [01/ju:trəfi'kei∫n/]	[01* dtừ]\n- sự dinh dưỡng tốt
eutrophy [01/'ju:trəfi/]	như [03eutrophication]
eutropic [01/ju:'trɔpik/]	[01* ttừ]\n- hướng mặt trời; quang hải
evacuant [01/i'vækjuənt/]	[01* ttừ]\n- làm bài tiết tốt; nhuận tràng
evacuate [01/i'vækjueit/]	[01* ngđtừ]\n- (qsự) rút khỏi (nơi nào...)\n- sơ tán, tản cư; chuyển khỏi mặt trận (thương binh...)\n- tháo, làm khỏi tắc\n- (y) làm bài tiết; thục rửa\n- (lý) làm chân không; rút lui\n[01* nđtừ]\n- rút lui\n- sơ tán, tản cư\n- bài tiết, thải ra
evacuation [01/i,vækju'ei∫n/]	[01* dtừ]\n- sự rút khỏi (một nơi nào...)\n- sự sơ tán, sự tản cư; sự chuyển khỏi mặt trận (thương binh)\n- sự tháo, sự làm khỏi tắc\n- (y) sự bài tiết; sự thục, sự rửa\n- (lý) sự làm chân không; sự rút lui
evacuative	như [03evacuator]
evacuator	- xem [03evacuate] 
evacuee [01/i,vækju'i:/]	[01* dtừ]\n- người sơ tán, người tản cư
evadable [01/i'veidəbl/]	[01* ttừ]\n- có thể tránh được\n- có thể lảng tránh (câu hỏi) 
evade [01/i'veid/]	[01* ngđtừ]\n- tránh, tránh khỏi (sự tấn công, sự lùng bắt, âm mưu, đòn, địch, vật chướng ngại...)\n- lảng tránh, lẩn tránh (nhiệm vụ, câu hỏi...) ; lẩn trốn (pháp luật, thuế má...)\n- vượt quá (sự hiểu biết...) 
evader	- xem [03evade] 
evadible	như [03evader]
evaginate [01/i'vædʒineit/]	[01* ngđtừ]\n- (sinh vật) lộn trong ra ngoài
evagination [01/i'vædʒi'nei∫n/]	[01* ngđtừ]\n- sự lộn trong ra ngoài
evaluate [01/i'væljueit/]	[01* ngđtừ]\n- ước lượng\n- định giá
evaluation [01/i,vælju'ei∫n/]	[01* dtừ]\n- sự ước lượng\n- sự định giá
evaluative	như [03evaluator]
evaluator	- xem [03evaluate] 
evalvate [01/i'vælveit/]	[01* ttừ]\n- thiếu van; thiếu nắp
evanesce [01/,i:və'nes/]	[01* nđtừ]\n- mờ đi, biến đi
evanescence [01/,i:və'nesns/]	[01* dtừ]\n- tính chóng phai mờ; tính chất phù du\n- sự biến dần
evanescent [01/,i:və'nesnt/]	[01* ttừ]\n- chóng phai mờ (ấn tượng...) ; phù du (thanh danh...)\n- (toán) vi phân
evanescently	- xem [03evanescent] 
evangel [01/i'vændʒəl/]	[01* dtừ (cổ)]\n- (tôn giáo)(kinh) Phúc âm\n- thuyết nguyên lý (chính trị...) 
evangelic [01/,i:væn'dʒelik/]	[01* ttừ (tôn giáo)]\n- (thuộc)(kinh) Phúc âm\n- ((thường) evangelical)(thuộc) phái Phúc âm\n[01* dtừ (tôn giáo)]\n- người phái Phúc âm
evangelical [01/,i:væn'dʒelikəl/]	như [03evangelic]
evangelicalism [01/,i:væn'dʒelikəlizm/]	[01* dtừ (tôn giáo)]\n- thuyết Phúc âm
evangelically	- xem [03evangelical] 
evangelisation [01/i,vændʒilai'zei∫n/]	như [03evangelization]
evangelise [01/i'vændʒilaiz/]	[01* ngđtừ (tôn giáo)]\n- truyền bá Phúc âm cho ai\n- cảm hoá (ai) theo Công giáo\n[01* nđtừ]\n- truyền bá Phúc âm
evangelism [01/i'vændʒəlizm/]	[01* dtừ]\n- sự truyền bá Phúc âm\n- (như) [03evangelicalism] 
evangelist [01/i'vændʒilist/]	[01* dtừ (tôn giáo)]\n- tác giả Phúc âm\n- người truyền bá Phúc âm\n- người truyền giáo (nhưng không phải là cha cố) 
evangelistic [01/i,vændʒi'listik/]	[01* ttừ (tôn giáo)]\n- (thuộc) tác giả Phúc âm\n- (thuộc) người truyền bá Phúc âm\n- (như) [03evangelical] 
evangelistically	- xem [03evangelism] 
evangelization [01/i,vændʒilai'zei∫n/]	[01* dtừ]\n- sự truyền bá Phúc âm\n- sự cảm hoá (ai) theo Công giáo
evangelize [01/i'vændʒilaiz/]	như [03evangelise]
evangelizer	- xem [03evangelize] 
evanish [01/i'væni∫/]	[01* nđtừ]\n- (văn học) biến mất
evanishment [01/i'væni∫mənt/]	[01* dtừ]\n- (văn học) sự biến mất
evaporability [01/i,væpərə'biliti/]	[01* dtừ]\n- tính bay hơi\n- độ bay hơi
evaporable [01/i'væpərəbl/]	[01* ttừ]\n- có thể bay hơi
evaporate [01/i'væpəreit/]	[01* ngđtừ]\n- làm bay hơi\n- làm khô (hoa quả, sữa)\n[01* nđtừ]\n- bay hơi\n- (tục) tan biến, biến mất; chết
evaporation [01/i,væpə'rei∫n/]	[01* dtừ]\n- sự làm bay hơi, sự bay hơi\n- sự làm khô
evaporative [01/i'væpərətiv/]	[01* dtừ]\n- dễ làm bay hơi\n- có khả năng làm bay hơi
evaporatively	như [03evaporativity]
evaporativity	- xem [03evaporate] 
evaporator [01/i'væpəreitə/]	[01* dtừ]\n- (kỹ) máy bay hơi, máy cô
evaporimeter [01/i,væpə'rimitə/]	[01* dtừ]\n- (kỹ) cái đo bay hơi
evapotranspiration [01/i,va:pou,trænspi'rei∫n/]	[01* dtừ]\n- sự thoát-bốc hơi nước
evasion [01/i'veiʒn/]	[01* dtừ]\n- sự tránh, sự lảng tránh, sự lẩn tránh, sự thoái thác\n- kẻ lẩn tránh, mẹo thoái thác
evasive [01/i'veisiv/]	[01* ttừ]\n- lảng tránh, lẩn tránh, thoái thác\n- hay lảng tránh, hay lẩn tránh
evasively [01/i'veisivli/]	[01* phtừ]\n- thoái thác, lảng tránh
evasiveness [01/i'veisivnis/]	[01* dtừ]\n- tính lảng tránh, tính lẩn tránh; tính hay lẩn tránh, tính hay thoái thác
eve [01/i:v/]	[01* dtừ (kinh thánh)]\n- (Eve) Ê-va (người đàn bà đầu tiên)\n[02= daughter of Eve] đàn bà\n[01* dtừ]\n- đêm trước, ngày hôm trước\n- thời gian trước (khi xảy ra một sự kiện gì)\n[02= on the eve of a general insurrection] trong thời gian trước khi tổng khởi nghĩa\n- (cổ) chiều tối
evection [01/i'vek∫n/]	[01* dtừ]\n- (thiên văn) kỳ sai (của mặt trăng) 
evectional [01/i'vek∫nəl/]	[01* dtừ]\n- thuộc kỳ sai (của mặt trăng) 
even [01/'i:vn/]	[01* dtừ (thơ ca)]\n- chiều, chiều hôm\n[01* ttừ]\n- bằng phẳng\n- ngang bằng, ngang\n- (pháp lý) ; (thương nghiệp) cùng\n[02= of even date] cùng ngày\n- điềm đạm, bình thản\n[02= an even temper] tính khí điềm đạm\n- chẵn (số)\n- đều, đều đều, đều đặn\n[02= an even tempo] nhịp độ đều đều\n[02= an even pace] bước đi đều đều\n- đúng\n[02= an even mile] một dặm đúng\n- công bằng\n[02= an even exchange] sự đổi chác công bằng\n[04! to be (get) even with someone]\n- trả thù ai, trả đũa ai\n[04! to break even]\n- (lóng) hoà vốn, không được thua\n[01* phtừ]\n- ngay cả, ngay\n[02= to doubt even the truth] nghi ngờ ngay cả sự thật\n- lại còn, còn\n[02= this is even better] cái này lại còn tốt hơn\n- (cổ) không hơn không kém, đúng\n[04! even if; even though]\n- ngay cho là, dù là\n[04! even now; even then]\n- mặc dù thế\n[04! even so]\n- ngay có đúng như thế, dù có đúng như thế thì\n[02= there deen to be shortcoming in the book, even so it's a good one] sách có thể có nhược điểm, nhưng dù có đúng như thế thì cũng vẫn là quyển sách tốt\n[01* ngđtừ]\n- san bằng, làm phẳng\n- làm cho ngang, làm bằng\n[02= to even up] làm thăng bằng\n- bằng (ai), sánh được với (ai), ngang với (ai)\n[04! to even up on somebody]\n- (Mỹ) thanh toán với ai ((bóng))\n- trả miếng ai, trả đũa ai
even number	- (kỹ) số chẵn
even parity	- (kỹ) tính chẵn; tính đồng đẳng chẳn
even parity check	- (kỹ) kiểm đồng đẳng chẵn
even permutation	- (kỹ) hoán vị chẵn
even-disciple [01/'i:vn di'saipl/]	[01* dtừ]\n- đệ tử đồng môn
even-down [01/'i:vn'daun/]	[01* ttừ]\n- xuống thẳng\n- chân chính\n- rõ ràng
evener	- xem [03even] 
evenfall [01/'i:vənfɔ:l/]	[01* dtừ]\n- (thơ ca) buổi hoàng hôn; lúc chiều tà
even-forward [01/,i:vn'fɔ:wəd/]	[01* ttừ]\n- tiến thẳng
even-hand [01/'i:vn,hænd/]	[01* ttừ]\n- cùng địa vị
even-handed [01/'i:vən'hændid/]	[01* ttừ]\n- công bằng, vô tư
even-handedness [01/'i:vn'hændidnis/]	[01* dtừ]\n- thái độ công bằng, vô tư
evening [01/i':vniη/]	[01* dtừ]\n- buổi chiều, buổi tối, tối đêm\n[02= a musical evening] một tối hoà nhạc, một đêm hoà nhạc\n- (bóng) lúc xế bóng
evening dress [01/i':vniηdres/]	[01* dtừ]\n- áo dạ hội (đàn bà)\n- lễ phục (đàn ông) 
evening gun [01/'i:vniη'gʌn/]	[01* dtừ]\n-(quần sự) tiếng pháo bắn báo hiệu rút lui
evening meal [01/i':vniη'mi:l/]	[01* dtừ]\n- bữa cơm chiều, bữa cơm tối
evening paper [01/'i:vniη,peipə(r) /]	[01* dtừ]\n- báo phát hành vào buổi chiều
evening primrose [01/'i:vniη,primrouz/]	[01* dtừ]\n- <thực> cây anh thảo
evening star [01/i':vniηstɑ:/]	[01* dtừ]\n- sao hôm
evenly [01/'i:vənli/]	[01* phtừ]\n- bằng phẳng\n- ngang nhau, bằng nhau\n- đều\n- công bằng
even-minded [01/'i:vən'maindid/]	như [03even-tempered]
evenness [01/'i:vənnis/]	[01* dtừ]\n- sự ngang bằng\n- sự đều đặn\n- tính điềm đạm, tính bình thản\n- tính công bằng
even-numbered memory address	- (kỹ) địa chỉ bộ nhớ số chẵn
even-odd	- (kỹ) chẵn lẻ
even-odd check	- (kỹ) kiểm chẵn lẻ
evensong [01/'i:vənsɔη/]	[01* dtừ]\n- (tôn giáo) buổi lễ ban chiều
event [01/i'vent/]	[01* dtừ]\n- sự việc, sự kiện\n- sự kiện quan trọng\n- (thể thao) cuộc đấu, cuộc thi\n- trường hợp, khả năng có thể xảy ra\n[02= in the event of success] trong trường hợp thành công\n[02= at all events; in any event] trong bất kỳ trường hợp nào\n- kết quả, hậu quả
event handler	- (kỹ) thủ trình cho sự biến
event interrupt	- (kỹ) ngắt cho sự biến
event-driven	- (kỹ) dựa theo sự biến
even-tempered [01/'i:vən'tempəd/]	[01* ttừ]\n- điềm đạm, bình thản
eventful [01/i'ventful/]	[01* ttừ]\n- có nhiều sự kiện quan trọng\n[02= an eventful year] một năm có nhiều sự kiện quan trọng\n- có kết quả quan trọng\n[02= an eventful conversation] một cuộc nói chuyện có kết quả quan trọng
eventfully	như [03eventfulness]
eventfulness	- xem [03eventful] 
eventide [01/'i:vəntaid/]	[01* dtừ]\n- (thơ ca) chiều hôm
eventing [01/i'ventiη/]	[01* dtừ]\n- môn thể thao có dùng ngựa
eventless	- xem [03event] 
eventration [01/'i:ven'trei∫n/]	[01* dtừ]\n- (y) sự lồi phủ tạng
eventual [01/i'ventjuəl/]	[01* ttừ]\n- ngộ xảy ra, có thể xảy ra\n- sẽ được dẫn tới, là kết quả của; cuối cùng\n[02= blunders leading to eventual disaster] những sai lầm dẫn đến sự tai hoạ cuối cùng
