unreachability	- xem [03unreachable] 
unrenewed [01/,ʌnri'nju:d/]	[01* ttừ]\n- không được hồi phục lại\n- không thay mới, không đổi mới\n- không làm lại, không nhắc lại, không tiếp tục
unrenounced [01/,ʌnri'naunst/]	[01* ttừ]\n- không bị bỏ, không bị từ bỏ; được thừa nhận
unrenowned [01/'ʌn'renaund/]	[01* ttừ]\n- ít được biết đến, không nổi tiếng
unrentable [01/'ʌn'rentə/]	[01* ttừ]\n- không thể cho thuê (nhà, đất) 
unrented [01/'ʌn'rentid/]	[01* ttừ]\n- chưa ai thuê
unrepaid [01/,ʌnri'peid/]	[01* ttừ]\n- không được đáp lại, không được hoàn lại\n- không được báo đáp, không được đền n
unrepair [01/,ʌnri'peə/]	[01* dtừ]\n- tình trạng không tu sửa; tình trạng ọp ẹp đổ nát
unrepairable [01/,ʌnri'peərəbl/]	[01* ttừ]\n- không thể sửa chữa, không thể tu sửa\n- không thể sửa, không thể chuộc (lỗi)\n- không thể đền bù, không thể bồi thường (thiệt hại) 
unrepaired [01/,ʌnri'peəd/]	[01* ttừ]\n- không được đền bù (thiệt hại)\n- không được tu sữa
unrepealed [01/,ʌnri'pi:ld/]	[01* ttừ]\n- không bị huỷ bỏ, không bị b i bỏ (đạo luật...) 
unrepeatable [01/,ʌnri'pi:təbl/]	[01* ttừ]\n- không thể lặp lại, không thể làm lại\n- không thể nhắc lại, không thể nói lại được, quá khiếm nhã, quá xúc phạm
unrepentance [01/,ʌnri'pentəns/]	[01* dtừ]\n- sự không ân hận, sự không ăn năn, sự không hối hận
unrepentant [01/,ʌnri'pentənt/]	[01* ttừ]\n- không ân hận, không ăn năn, không hối hận
unrepentantly	- xem [03unrepentant] 
unrepented [01/,ʌnri'pentid/]	[01* ttừ]\n- không ăn năn, không hối hận
unrepining [01/,ʌnri'painiη/]	[01* ttừ]\n- không phàn nàn, không than phiền; không cằn nhằn
unreplaceable [01/'ʌnri'pleisəbl/]	[01* ttừ]\n- không gì thay thế được
unreplaced [01/'ʌnri'pleist/]	[01* ttừ]\n- không được thay thế
unreplenished [01/,ʌnri'pleni∫t/]	[01* ttừ]\n- không được làm đầy lại, không được bổ sung
unreported [01/,ʌnri'pɔ:tid/]	[01* ttừ]\n- không được kể lại, không được thuật lại\n- không được báo cáo, không được tường trình\n- không được viết thành bài phóng sự\n- không bị trình báo, không bị tố giác
unrepresentative [01/,ʌn,repri'zentətiv/]	[01* ttừ]\n- không miêu t, không biểu hiện\n- không tiêu biểu, không đại diện; không đại diện cho dân chúng
unrepresentativeness [01/,ʌn,repri'zentətivnis/]	[01* dtừ]\n- xem [03unrepresentative] 
unrepresented [01/,ʌn,repri'zentid/]	[01* ttừ]\n- không được đại diện\n- không có đại diện
unrepressed [01/,ʌnri'prest/]	[01* ttừ]\n- chưa bị dẹp; không bị đàn áp, không bị trấn áp
unreprieved [01/'ʌnri'prest/]	[01* ttừ]\n- không bị hoãn lại
unreprimanded [01/'ʌnre'prima:ndid/]	[01* ttừ]\n- không bị trách mắng, không bị khiển trách
unreprinted [01/'ʌnri:'printid/]	[01* ttừ]\n- không được in lại, không được tái bản
unreproachable [01/'ʌnri'prout∫bl/]	như [03reproachless]
unreproachful [01/,ʌnri'prout∫fl/]	[01* ttừ]\n- không quở trách, không mắng mỏ
unreproduced [01/'ʌn,ri:prə'dju:st/]	[01* ttừ]\n- không được sao lại, không được chép lại\n- không được tái sản xuất
unreproducible [01/'ʌn,ri:prə'dju:səbl/]	[01* ttừ]\n- không thể tái sản xuất
unreprovable [01/'ʌnri'pru:vd/]	[01* ttừ]\n- không thể quở trách, không thể chê trách
unreproved [01/,ʌnri'pru:vd/]	[01* ttừ]\n- không bị mắng mỏ, không bị quở trách; không bị khiển trách
unrepugnant [01/'ʌnri'pʌgnənt/]	[01* ttừ]\n- không chống đối\n- không kêu ca, không phàn nàn\n- không mâu thuẫn, phù hợp
unrequested [01/,ʌnri'kwestid/]	[01* ttừ]\n- không yêu cầu, không xin; tự tiện, tự ý
unrequired [01/,ʌnri'kwaiəd/]	[01* ttừ]\n- không đòi hỏi\n- không cần, vô ích
unrequited [01/,ʌnri'kwaitid/]	[01* ttừ]\n- không được đền đáp, không được đáp lại\n[02= an unrequited love] tình yêu không được đáp lại\n- không được thưởng
unrequitedly	- xem [03unrequited] 
unrescinded [01/,ʌnri'sindid/]	[01* ttừ]\n- không bị huỷ bỏ (luật, hợp đồng...) 
unresented [01/,ʌnri'zentid/]	[01* ttừ]\n- không bị phẫn uất\n- không bị phật ý, không bực bội
unresentful [01/,ʌnri'zentfl/]	[01* ttừ]\n- không phẫn uất, không oán giận\n- không bực bội
unresenting [01/,ʌnri'zentiη/]	[01* ttừ]\n- không phẫn uất\n- không phật ý, không bực bội
unreserved [01/,ʌnri'zə:vd/]	[01* ttừ]\n- không dành riêng (ghế, chỗ ngồi...)\n- không hạn chế, hoàn toàn\n[02= the unreserved approval] sự tán thành hoàn toàn\n- không dè dặt, cởi mở (người) 
unreservedly [01/,ʌnri'zə:vidli/]	[01* phtừ]\n- không dè dặt, cởi mở
unreservedness	- xem [03unreserved] 
unresistant [01/'ʌnri'zistənt/]	[01* ttừ]\n- không bền\n- không chống cự\n- không có sức bền
unresisted [01/,ʌnri'zistid/]	[01* ttừ]\n- không bị kháng cự, không bị chống đối\n[02= to do something unresisted] làm việc gì mà không bị chống đối\n- không cưỡng được\n- không nhịn được
unresisting [01/,ʌnri'zistiη/]	[01* ttừ]\n- không chống lại, không cưỡng lại; thuận theo
unresolvable [01/'ʌnri'zɔlvəbl/]	[01* ttừ]\n- không thể giải quyết, không thể giải đáp được
unresolved [01/,ʌnri'zɔlvd/]	[01* ttừ]\n- còn do dự, chưa quyết định\n- không được gii quyết (vấn đề), không được gii đáp (thắc mắc)\n- không được tách ra thành thành phần cấu tạo\n- (âm nhạc) chưa chuyển sang thuận tai
unresonant [01/'ʌnri'znənt/]	[01* ttừ]\n- không cộng hưởng\n- không vang dội
unrespectable [01/'ʌnris'pektəbl/]	[01* ttừ]\n- không đáng trọng, không đứng đắn, không chỉnh tề
unrespected [01/'ʌnris'pektid/]	[01* ttừ]\n- không được tôn trọng, không được kính trọng (người) 
unrespectful [01/'ʌnris'pektf(u) l/]	[01* ttừ]\n- không chịu trách nhiệm, vô trách nhiệm
unresponsive [01/,ʌnris'pɔnsiv/]	[01* ttừ]\n- không nhạy (máy móc)\n- khó động lòng, l nh đạm
unresponsively	- xem [03unresponsive] 
unresponsiveness [01/,ʌnris'pɔnsivnis/]	[01* dtừ]\n- tính không nhạy (máy móc)\n- tính khó động lòng, tính l nh đạm
unrest [01/(') ʌn'rest/]	[01* dtừ]\n- tình trạng không yên ổn, tình trạng náo động\n[02= public unrest] tình trạng náo động trong dân chúng\n- sự không yên tâm, sự băn khoăn, sự lo âu
unrested [01/(') ʌn'restid/]	[01* ttừ]\n- không dựa vào\n- không được nghĩ ngơi
unrestful [01/,ʌn'restfl/]	[01* ttừ]\n- không yên tĩnh; không thuận tiện cho sự nghỉ ngi
unrestfulness [01/,ʌn'restfənis/]	[01* dtừ]\n- sự không yên tĩnh; tính không thuận tiện cho sự nghỉ ngi
unresting [01/'ʌn'restiη/]	[01* ttừ]\n- không nghỉ tay, không mệt mỏi
unrestored [01/,ʌnris'tɔ:d/]	[01* ttừ]\n- không được hoàn lại, không được tr lại\n- không được phục hồi lại (toà nhà, bức tranh; chức vụ; sức khoẻ...)\n- không được đặt lại chỗ cũ\n- chưa được tạo lại (hình dáng một con vật đ tuyệt giống) 
unrestrainable [01/,ʌnris'treinəbl/]	[01* ttừ]\n- không thể kiềm chế, không thể nén lại, không thể dằn lại
unrestrained [01/,ʌnris'treind/]	[01* ttừ]\n- không bị kiềm chế, không bị nén lại, không bị dằn lại, được th lỏng
unrestrainedly	- xem [03unrestrained] 
unrestrainedness	như [03unrestrainedly]
unrestricted [01/,ʌnris'triktid/]	[01* ttừ]\n- không bị hạn chế\n- không hạn chế tốc độ (đường giao thông) 
unretarded [01/,ʌnri'tɑ:did/]	[01* ttừ]\n- không bị chậm trễ
unretentive [01/,ʌnri'tentiv/]	[01* ttừ]\n- không dai, không lâu (trí nhớ) 
unretracted [01/'ʌn'ri'træktid/]	[01* ttừ]\n- không co lại, không thụt vào\n- không chối bỏ (lời hứa)\n- không rút lui (ý kiến) 
unreturnable [01/'ʌn'ri'tə:nəbl/]	[01* ttừ]\n- không thể trả lại
unreturned [01/'ʌn'ri'tə:nd/]	[01* ttừ]\n- chưa trả (hoàn) lại
unrevealed [01/'ʌnri'vi:ld/]	[01* ttừ]\n- không để lộ ra\n- không bị phát giác, không bị khám phá
unrevealing [01/'ʌnri'vi:liη/]	[01* ttừ]\n- không làm lộ
unrevenged [01/,ʌnri'vendʒd/]	[01* ttừ]\n- chưa tr thù; không bị tr thù\n- (thể thao) chưa đấu gỡ
unreverend [01/'ʌnrev(ə) rənd/]	[01* ttừ]\n- không đáng tôn trọng
unreversed [01/,ʌnri'və:st/]	[01* ttừ]\n- không đo ngược, không lộn ngược; không lộn lại (áo...)\n- không bị đo lộn (thứ tự)\n- không để chạy lùi\n- không bị thay đổi hoàn toàn (chính sách, quyết định...)\n- không bị huỷ bỏ (bn án...) 
unreviewed [01/'ʌnri'vju:d/]	[01* ttừ]\n- không được xem, xét, duyệt lại
unrevised [01/,ʌnri'vaizd/]	[01* ttừ]\n- chưa được xem lại, chưa được duyệt lại\n- không bị sửa đổi (đạo luật...) 
unrevoked [01/,ʌnri'voukt/]	[01* ttừ]\n- không bị huỷ bỏ (sắc lệnh...) ; không bị rút lui (ý kiến, quyết định...)\n- không bị thu hồi (giấy phép...) 
unrevolutionary [01/'ʌn,revə'lu:∫nəri/]	[01* ttừ]\n- phi cách mạng\n- không cách mạng
unrewarded [01/,ʌnri'wɔ:did/]	[01* ttừ]\n- không được thưởng, không được thưởng công; không được báo n, không bị báo oán
unrewarding [01/'ʌnri'wɔ:diη/]	[01* ttừ]\n- không đáng được thưởng, không đáng khích lệ
unrhetorical [01/,ʌnri'tɔrikl/]	[01* ttừ]\n- (văn học) không hoa mỹ, không khoa trưng, tự nhiên\n- không tu từ học; không hùng biện
unrhymed [01/,ʌn'raimt/]	[01* ttừ]\n- không được đặt thành th\n- không được làm cho ăn vần
unrhymic [01/'ʌn'riđmik/]	[01* ttừ]\n- không nhịp nhàng\n- không có nhịp điệu
unrhythmical [01/'ʌn'riđmikl/]	[01* ttừ]\n- không có nhịp điệu; không đúng nhịp điệu
unric acid [01/'juərik'æsid/]	[01* dtừ]\n- axit uric
unridable [01/,ʌn'raidəbl/]	[01* ttừ]\n- không thể cưỡi được (ngựa)\n- không thể cưỡi ngựa qua
unridden [01/,ʌn'ridn/]	[01* ttừ]\n- chưa ai từng cưỡi (ngựa) 
unriddle [01/,ʌn'ridl/]	[01* ngđtừ]\n- (giải phẫu)(câu đố) ; tìm ra manh mối, đoán (điều bí ẩn) 
unriddler	- xem [03unriddle] 
unrig [01/,ʌn'rig/]	[01* ngđtừ]\n- (hàng hi) bỏ trang bị (tàu thuyền) đi
unrighted [01/,ʌn'raitid/]	[01* ttừ]\n- không được lấy lại cho thẳng\n- không được sửa sai, không được uốn nắn lại\n- không được bên vực
unrighteous [01/,ʌn'rait∫əs/]	[01* ttừ]\n- không chính đáng, trái lẽ, phi lý\n- bất chính; không lưng thiện, ác (người) 
unrighteously	- xem [03unrighteous] 
unrighteousness [01/,ʌn'rait∫əsnis/]	[01* dtừ]\n- sự không chính đáng, sự trái lẽ, sự phi lý\n- tính bất chính; tính không lưng thiện, tính ác
unrightful [01/'ʌn'raitf(u) l/]	[01* ttừ]\n- không chính đáng, không hợp pháp\n- không công bằng, không ngay thẳng, không đứng đắn
