dismally [01/'dizməli/]	[01* phtừ]\n- u sầu, rầu rự
dismount [01/dis'maunt/]	[01* nđtừ]\n- xuống (ngựa, xe...)\n[01* ngđtừ]\n- cho xuống (ngựa), bắt xuống (ngựa)\n- làm ngã ngựa\n- khuân xuống, dỡ xuống (từ một bệ cao...)\n- (kỹ) tháo dỡ (máy móc) 
disnormality	- (thống kê) sự phân phối không chuẩn
disobedience [01/,disə'bi:djəns/]	[01* dtừ]\n- sự không vâng lời, sự không tuân lệnh
disobedient [01/,disə'bi:djənt/]	[01* ttừ]\n- không vâng lời, không tuân lệnh
disobediently [01/,disə'bi:djəntli/]	[01* phtừ]\n- không vâng lời, bất phục tùng
disobey [01/,disə'bei/]	[01* đtừ]\n- không vâng lời, không tuân lệnh
disobligation [01/dis,ɔbli'gei∫n/]	[01* dtừ]\n- xem [03disoblige] chỉ sự
disoblige [01/,disə'blaidʒ/]	[01* ngđtừ]\n- không quan tâm đến ý muốn (của ai), làm trái ý, làm phật ý, làm mếch lòng
disobliging [01/,disə'blaidʒiη/]	[01* ttừ]\n- không quan tâm đến ý muốn (của ai), làm trái ý, làm phật ý, làm mếch lòng
disobligingly [01/,disə'blaidʒiηli/]	[01* phtừ]\n- làm mếch lòng, làm phật lòng
disomatous [01/dis'oumətəs/]	[01* ttừ]\n- có hai thể
disorder [01/dis'ɔ:də/]	[01* dtừ]\n- sự mất trật tự, sự bừa bãi, sự lộn xộn\n- sự hỗn loạn, sự rối loạn, sự náo loạn\n- (y) sự khó ở, sự rối loạn (một chức năng của cơ thể)\n[01* ngđtừ]\n- làm mất trật tự, làm bừa bãi, làm lộn xộn\n- làm hỗn loạn, làm rối loạn, làm náo loạn\n- (y) làm khó ở, làm rối loạn (một chức năng của cơ thể) 
disordered [01/dis'ɔ:dəd/]	[01* ttừ]\n- lộn xộn, rối tung
disorderliness [01/dis'ɔ:dəlinis/]	[01* dtừ]\n- sự bừa bãi, sự lộn xộn\n- sự hỗn loạn, sự rối loạn, sự náo loạn
disorderly [01/dis'ɔ:dəli/]	[01* ttừ]\n- bừa bãi, lộn xộn\n- hỗn loạn, rối loạn, náo loạn\n- làm mất trật tự xã hội, gây náo loạn; bừa bãi phóng đãng\n[02= a disorderly person] người làm mất trật tự xã hội\n[02= a disorderly life] cuộc sống bừa bãi phóng đãng\n[02= a disorderly house] nhà chứa, nhà thổ, sòng bạc...
disorderly house	- nhà chứa, sòng bạc
disordinate [01/dis'ɔ:dineit/]	[01* ttừ]\n- vô độ; quá độ
disorganisation [01/dis,ɔ:gənai'zeiʃn/]	[01* dtừ]\n- như [03disorganization] 
disorganise [01/dis'ɔ:gənaiz/]	[01* ngđtừ]\n- phá hoại tổ chức của; phá rối tổ chức của
disorganised [01/dis'ɔ:gənaizd/]	[01* ttừ]\n- hỗn độn, thiếu trật tự
disorganization [01/dis,ɔ:gənai'zei∫n/]	[01* dtừ]\n- sự phá hoại tổ chức; sự phá rối tổ chức
disorganize [01/dis'ɔ:gənaiz/]	như [03disorganise]
disorganized	[01* ttừ]\n- thiếu tổ chức
disorient [01/dis'ɔ:riənt/]	như [03disorientate]
disorientate [01/dis'ɔ:riənteit/]	[01* ngđtừ]\n- làm mất phương hướng (đen & bóng)\n- đặt hướng sai (nhà thờ, bàn thờ, không quay về hướng đông) 
disorientation [01/dis,ɔ:riən'tei∫n/]	[01* dtừ]\n- sự làm mất phương hướng, sự mất phương hướng (đen & bóng)\n- sự đặt hướng sai (nhà thờ, bàn thờ, không quay về hướng đông) 
disown [01/dis'oun/]	[01* ngđtừ]\n- không nhận, không công nhận, không thừa nhận, chối\n[02= to disown one's signature] không thừa nhận chữ ký\n- từ bỏ (con...) ; bỏ (vua, chúa...) 
disownment [01/dis'ounmənt/]	[01* dtừ]\n- xem [03disown] chỉ sự
disparage [01/dis'pæridʒ/]	[01* ngđtừ]\n- làm mất uy tín, làm mất thể diện, làm mang tai mang tiếng, làm ô danh\n- gièm pha, chê bai; coi rẻ, xem thường, miệt thị
disparagement [01/dis'pæridʒmənt/]	[01* dtừ]\n- sự làm mất uy tín, sự làm mất thể diện, sự làm mang tai mang tiếng, sự làm ô danh\n- sự gièm pha, sự chê bai; sự coi rẻ, sự xem thường, sự miệt thị
disparaging [01/dis'pæridʒiη/]	[01* ttừ]\n- làm mất uy tín, làm mất thể diện, làm mang tai mang tiếng, làm ô danh\n- gièm pha, chê bai; coi rẻ, xem thường, miệt thị
disparagingly [01/dis'pæridʒiηli/]	như [03obliquely]
disparate [01/'dispərit/]	[01* ttừ]\n- khác hẳn nhau, khác loại; táp nham\n[01* dtừ, (thường) số nhiều]\n- vật khác hẳn nhau, vật khác loại; vật táp nham
disparately [01/'dispəritli/]	[01* phtừ]\n- tạp nham
disparateness [01/'dispəritnis/]	[01* dtừ]\n- xem [03disparate] chỉ tính chất, tình trạng
disparates [01/'dispərits/]	[01* dtừ s/n]\n- những người khác hẳn nhau
disparity [01/dis'pæriti/]	[01* dtừ]\n- sự chênh lệch, sự không bằng nhau, sự không bình đẳng; sự khác biệt, sự cách biệt\n[02= a disparity in years] sự chênh lệch về tuổi tác\n- sự không tương ứng
dispark [01/dis'pɑ:k/]	[01* ngđtừ]\n- thôi không dùng trồng cỏ nữa
dispart [01/dis'pɑ:t/]	[01* đtừ]\n- chia, phân phối\n- (thơ ca) phân ra, tách ra, chia ra\n- đi các ngả khác nhau
dispassion [01/dis'pæ∫ən/]	[01* dtừ]\n- thái độ thản nhiên, lãnh đạm; sự không có dục vọng
dispassionate [01/dis'pæ∫ənit/]	[01* ttừ]\n- không xúc động, bình thản, thản nhiên\n- vô tư, không thiên vị
dispassionately [01/dis'pæ∫ənitli/]	[01* phtừ]\n- bình thản, thản nhiên
dispatch [01/dis'pæt∫/]	[01* dtừ]\n- sự gửi đi (thư, thông điệp...) ; sự sai phái đi\n- sự đánh chết tươi, sự giết đi, sự khử, sự kết liễu cuộc đời\n[02= happy dispatch] sự mổ bụng tự sát theo kiểu Nhật-bản)\n- sự giải quyết nhanh gọn, sự làm gấp (một việc gì) ; sự khẩn trương, sự nhanh gọn\n[02= to do something with dispatch] khẩn trương làm việc gì\n[02= the matter reqires dispatch] vấn đề cần giải quyết khẩn trương\n- (ngoại giao) bản thông điệp, bản thông báo\n- hãng vận tải hàng hoá\n[01* ngđtừ]\n- gửi đi (thư, thông điệp...) ; sai phái đi\n- đánh chết tươi, giết đi, khử, kết liễu cuộc đời (ai)\n- giải quyết nhanh gọn, làm gấp (việc gì)\n- ăn khẩn trương, ăn gấp (bữa cơm...)\n[01* nđtừ]\n- (cổ) làm nhanh gọn, làm gấp
dispatch-bag [01/'dispæt∫,bæg/]	[01* dtừ]\n- túi thư gửi nhanh
dispatch-boat [01/dis'pæt∫bout/]	[01* dtừ]\n- tàu thông báo
dispatch-box [01/dis'pæt∫ɔks/]	[01* dtừ]\n- (ngoại giao) túi thư ngoại giao\n- tráp công văn tài liệu (của thủ tướng...) 
dispatch-dog [01/dis'pæt∫dɔg/]	[01* dtừ]\n- (qsự) chó liên lạc
dispatcher [01/dis'pæt∫ə/]	[01* dtừ]\n- người gửi đi\n- người điều vận (xe lửa) 
dispatching telephone control board	- (kỹ) bảng điều phối điện thoại
dispatching telephone system	- (kỹ) hệ thống điều phối điện thoại
dispatch-note [01/dis'pæt∫nout/]	[01* dtừ]\n- phiếu gửi
dispatch-ride [01/dis'pætʃ'raidə/]	như [03dispatch-rider]
dispatch-rider [01/dis'pæt∫'raidə/]	[01* dtừ]\n- (qsự) người liên lạc (bằng mô tô hoặc ngựa) 
dispatch-station [01/dis'pæt∫'stei∫n/]	[01* dtừ]\n- (ngành đường sắt) trạm gửi (hàng hoá...) 
dispel [01/dis'pel/]	[01* ngđtừ]\n- xua đuổi đi, xua tan\n[02= to dispel apprehensions] xua đuổi những mối sợ hãi\n[02= to dispel darkness] xua tan bóng tối
dispensable [01/dis'pensəbl/]	[01* ttừ]\n- có thể miễn trừ, có thể tha cho\n- có thể bỏ qua, có thể đừng được, không cần thiết
dispensary [01/dis'pensəri/]	[01* dtừ]\n- trạm phát thuốc\n- (Mỹ) phòng khám bệnh và phát thuốc
dispensation [01/,dispen'sei∫n/]	[01* dtừ]\n- sự phân phát, sự phân phối\n- sự sắp đặt (của trời, tạo hoá) ; mệnh trời\n- hệ thống tôn giáo; chế độ tôn giáo\n[02= under the Christian dispensation] dưới chế độ đạo Cơ-đốc\n- sự miễn trừ, sự tha cho\n- (+[04 with]) sự có thể bỏ qua, sự có thể đừng được, sự không cần đến
dispense [01/dis'pens/]	[01* ngđtừ]\n- phân phát, phân phối\n- pha chế và cho (thuốc)\n- (+[04 from]) miễn trừ, tha cho\n- (pháp lý) xét xử\n- (tôn giáo) làm (lễ)\n[02= to dispense sacraments] làm lễ ban phước\n[01* nđtừ]\n- to dispense with miễn trừ, tha cho\n- làm thành không cần thiết\n- bỏ qua, có thể đừng được, không cần đến\n[02= to dispense with someone's services] không cần sự giúp đỡ của ai
dispensedly [01/dis'pensidli/]	[01* phtừ]\n- tản mạn, rải rác
dispenser [01/dis'pensə/]	[01* dtừ]\n- nhà bào chế, người pha chế thuốc (theo đơn) 
dispeople [01/dis'pi:pl/]	[01* ngđtừ]\n- làm thưa dân; làm hết dân cư, làm cho không có người ở
dispersal [01/dis'pə:səl/]	[01* dtừ]\n- sự giải tán, sự phân tán\n- sự xua tan, sự làm tan tác, sự tan tác\n- sự rải rác, sự gieo vãi\n- sự gieo rắc, sự lan truyền (tin đồn...)\n- (lý) sự tán sắc\n- (hoá) sự phân tán
disperse [01/dis'pə:s/]	[01* ngđtừ]\n- giải tán, phân tán\n[02= to disperse a crowd] giải tán đám đông\n- xua tan, làm tan tác (mây mù...)\n- rải rắc, gieo vãi\n- gieo rắc, truyền (tin đồn...)\n- (lý) tán sắc\n- (hoá) phân tán\n[01* nđtừ]\n- rải rắc, giải tán, tan tác
dispersedly [01/dis'pə:sidli/]	[01* phtừ]\n- rải rác, đây đó, tản mạn
disperser [01/dis'pə:sə/]	[01* dtừ]\n- (lý) chất làm tản mạn\n- (hoá) chất làm phân tán
dispersible [01/dis'pə:sibl/]	[01* ttừ]\n- có thể phân tán, gieo rắc, truyền khắp, xua tan
dispersion [01/dis'pə:∫n/]	[01* dtừ]\n- sự giải tán, sự phân tán\n- (hoá) chất làm phân tán\n- sự xua tan, sự làm tản mạn, sự làm tan tác; sự tan tác\n- sự rải rác, sự gieo vãi\n- sự gieo rắc, sự lan truyền (tin đồn)\n- (lý) sự tán sắc; độ tán sắc\n[02= atomic dispersion] độ tán sắc nguyên tử\n[02= acoustic dispersion] sự tản sắc âm thanh\n- (hoá) sự phân tán; độ phân tán
dispersity [01/dis'pə:siti/]	[01* dtừ]\n- tính phát tán; độ phát tán
dispersive [01/dis'pə:siv/]	[01* ttừ]\n- làm tản mạn, làm tan tác\n- phân tán; rải rác
dispersoid [01/dis'pə:sɔid/]	[01* dtừ]\n- (hoá) thể phân tán
dispirit [01/di'spirit/]	[01* ngđtừ]\n- làm chán nản, làm mất hăng hái, làm mất nhuệ khí
dispirited [01/di'spiritid/]	[01* ttừ]\n- chán nản, ngã lòng
dispiritedly [01/di'spiritidli/]	[01* phtừ]\n- chán nản, mất hăng hái, mất nhuệ khí
dispiritedness [01/di'spriritidnis/]	[01* dtừ]\n- sự chán nản, sự mất hăng hái, sự mất nhuệ khí
dispiriting [01/di'spiritiɳ/]	[01* ttừ] chán nản\n[02= Our lack of progress is very dispiriting] tình hình không tiến triển của chúng ta thật là chán nản
dispiteous [01/dis'pitiəs/]	[01* ttừ]\n- nhẫn tâm, tàn nhẫn, không thương xót
dispiteously [01/dis'pitiəsli/]	[01* phtừ]\n- nhẫn tâm, tàn nhẫn
displace [01/dis'pleis/]	[01* ngđtừ]\n- đổi chỗ, dời chỗ, chuyển chỗ\n- thải ra, cách chức (một công chức...)\n- chiếm chỗ, hất ra khỏi chỗ\n- thay thế
displace person [01/dis'pleist'pə:sn/]	[01* dtừ]\n- người bị trục xuất ra nước ngoài; người trốn được ra nước ngoài (do đất nước mình bị sáp nhập, hoặc do sự chuyển dân)((thường)(vt) D.P.) 
displaceable [01/dis'pleisəbl/]	[01* ttừ]\n- xem [03displace] chỉ có thể... được
displaced person [01/dis'pleist'pə:sn/]	[01* dtừ, viết tắt là DP]\n- người bị trục xuất ra nước ngoài; người trốn được ra nước ngoài (do đất nước mình bị sáp nhập, hoặc do sự chuyển dân) 
displacement [01/dis'pleismənt/]	[01* dtừ]\n- sự đổi chỗ, sự dời chỗ, sự chuyển chỗ\n- sự thải ra, sự cách chức (một công chức...)\n- sự chiếm chỗ, sự hất ra khỏi chỗ\n- sự thay thế\n- (điện học) sự dịch chuyển; độ dịch chuyển\n- (hàng hải) trọng lượng nước rẽ (của tàu)\n[02= a ship with a displacement of ten thousand tons] con tàu có trọng lượng nước rẽ mười nghìn tấn
display [01/dis'plei/]	[01* dtừ]\n- sự bày ra, sự phô bày, sự trưng bày\n[02= to make a display of] phô bày, trưng bày\n- sự phô trương, sự khoe khoang\n- sự biểu lộ, sự để lộ ra\n- (ngành in) sự sắp chữ nổi bật\n[01* ngđtừ]\n- bày ra, phô bày, trưng bày\n- phô trương, khoe khoang (kiến thức...)\n- biểu lộ ra, để lộ ra, bày tỏ ra (lòng can đảm...)\n- (ngành in) sắp (chữ) nổi bật
display adapter	- (kỹ) bộ phối hợp hiển thị
display attribute	- (kỹ) thuộc tính hiển thị
display character generator	- (kỹ) bộ tạo ký tự hiển thị
display command	- (kỹ) lệnh hiển thi
display console	- (kỹ) bàn điều khiển hiển thị
display highlighting	- (kỹ) nổi bật hiển thị (trên màn hình) 
display image	- (kỹ) hình hiển thị
display panel	- (kỹ) bảng hiển thị, bảng trình bầy
display processor	- (kỹ) bộ xử lý hiển thị
display refreshing	- (kỹ) tái tạo hiển thị
display register	- (kỹ) bộ ghi hiển thị
display screen	- (kỹ) màn hình hiển thị
display terminal	- (kỹ) đầu cuối hiển thị, trạm hiển thị
display type	- kiểu hiển thị
display-stand [01/dis'plei,stænd/]	[01* dtừ]\n- giá bày hàng
display-window [01/dis'plei,windou/]	như [03china-closet]
displease [01/dis'pli:z/]	[01* ngđtừ]\n- làm không bằng lòng, làm không hài lòng, làm phật lòng, làm trái ý, làm bực mình, làm tức giận, làm bất mãn\n[02= to be displeased at (with) something] không hài lòng về cái gì, bực mình về cái gì
displeased [01/dis'pli:zd/]	[01* ttừ]\n- bực mình, khó chịu
displeasing [01/dis'pli:ziη/]	[01* ttừ]\n- khó chịu, làm phật lòng, làm trái ý, làm bực mình, làm tức giận, làm bất mãn
displeasingly [01/dis'pli:ziηli/]	[01* phtừ]\n- làm cho khó chịu, làm phật ý, làm bực bội
displeasure [01/dis'pleʒə/]	[01* dtừ]\n- sự không hài lòng, sự không bằng lòng, sự tức giận, sự bất mãn\n- điều khó chịu, điều bực mình\n[01* ngđtừ]\n- làm khó chịu, làm phật lòng, làm trái ý, làm bực mình, làm tức giận, làm bất mãn
displume [01/dis'plu:m/]	[01* ngđtừ]\n- thơ nhổ lông, vặt lông (đen & bóng) 
disport [01/dis'pɔ:t/]	[01* dtừ]\n- (cổ) sự tiêu khiển, sự vui đùa, sự chơi đùa, sự nô đùa, sự đùa giỡn\n- trò vui đùa, trò chơi đùa, trò nô đùa, trò đùa giỡn\n[01* đtừ]\n- vui đùa, chơi đùa, nô đùa, đùa giỡn
disposability [01/dis,pouzə'biliti/]	[01* dtừ]\n- tính có thể vứt bỏ đi; sự có thể bán tống đi (hàng...)\n- tính có thể chuyển nhượng\n- tính có thể sử dụng\n- tính sẵn có để dùng
disposable [01/dis'pouzəbl/]	[01* ttừ]\n- có thể bỏ đi; có thể bán tống đi (hàng...)\n- có thể chuyển nhượng\n- có thể dùng được, có thể sử dụng\n- sẵn có, sẵn để dùng
Disposable income	- thu nhập thực sự dùng được (sau khi trừ thuế má, tiền bảo hiểm...) 
disposables [01/dis'pouzəblz/]	[01* dtừ] s/n\n- đồ đạc quần áo chỉ dùng một lần
disposal [01/dis'pouzəl/]	[01* dtừ]\n- sự sắp đặt, sự sắp xếp, sự bố trí, cách sắp xếp, cách bố trí\n- sự vứt bỏ đi, sự bán tống đi\n- sự bán, sự chuyển nhượng, sự nhượng lại\n[02= for disposal] để bán\n[02= disposal of property] sự chuyển nhượng tài sản\n- sự tuỳ ý sử dụng\n[02= at one's disposal] tuỳ ý sử dụng\n[02= to place something at someone's disposal] để cái gì cho ai tuỳ ý sử dụng\n[02= to have entire disposal of something] có toàn quyền sử dụng cái gì\n[02= I am at your disposal] ngài có thể tuỳ ý sử dụng tôi được, tôi sẵn sàng phục vụ ngài
dispose [01/dis'pouz/]	[01* ngđtừ]\n- sắp đặt, sắp xếp, bó trí\n- làm cho có ý định, làm cho có khuynh hướng, làm cho có tâm trạng, làm cho có ý muốn\n[02= they are kindly disposed towards us] họ có thiện ý đói với chúng tôi\n[01* nđtừ]\n- quyết định\n[02= man proposes, God disposes] mưu sự tại nhân, thành sự tại thiên\n- (+[04 of]) dùng, tuỳ ý sử dụng\n[02= to dispose of one's time] tuỳ ý sử dụng thời gian của mình\n- (+[04 of]) quyết định số phận xử lý; giải quyết; vứt bỏ, khử đi; bác bỏ, đánh bại; ăn gấp, uống gấp\n[02= to dispose of someone] quyết định số phận của ai; khử đi\n[02= to dispose of an argument] bác bỏ một lý lẽ\n[02= to dispose of a question] giải quyết một vấn đề\n[02= to dispose of an apponent] đánh bại đối thủ\n[02= to dispose of a meal] ăn gấp một bữa cơm\n- (+[04 of]) bán, bán chạy; nhường lại, chuyển nhượng\n[02= to dispose of goods] bán hàng\n[02= goods to be disposed of] hàng để bán\n[04! to dispose oneself to]\n- sẵn sàng (làm việc gì) 
disposed [01/dis'pouzd/]	[01* ttừ]\n- sẵn sàng\n- có khuynh hướng tình cảm
disposition [01/,dispə'zi∫n/]	[01* dtừ]\n- sự sắp xếp, sự sắp đặt, cách sắp xếp, cách bố trí\n- ((thường) số nhiều)(qsự) kế hoạch; sự chuẩn bị, cách bố trí lực lượng (tấn công hoặc phòng ngự)\n- sự dùng, sự tuỳ ý sử dụng\n[02= to have something at one's disposition] có cái gì được tuỳ ý sử dụng\n- khuynh hướng, thiên hướng; ý định\n[02= to have a disposition to something] có khuynh hướng (thiên hướng) về cái gì\n- tính tình, tâm tính, tính khí\n[02= to be of a cheerful disposition] có tính khí vui vẻ\n- sự bán; sự chuyển nhượng, sự nhượng lại\n[02= disposition of property] sự chuyển nhượng tài sản\n- sự sắp đặt (của trời) ; mệnh trời
dispossess [01/,dispə'zes/]	[01* ngđtừ]\n- ((thường) +[02of]) truất quyền sở hữ, tước quyền chiếm hữu\n[02= to dispossess someone of something] tước của ai quyền chiếm hữu cái gì\n- trục ra khỏi, đuổi ra khỏi\n- giải thoát (cho ai cái gì) ; diệt trừ (cho ai cái gì)\n[02= to dispossess someone of evil spirit] giải thoát cho ai khỏi bị tà ma ám ảnh\n[02= to dispossess someone of error] giải cho ai khỏi sự sai lầm
dispossessed	[01* dtừ]\n- người bị tước quyền sở hữu, người bị truất hữu
dispossession [01/,dispə'ze∫n/]	[01* dtừ]\n- sự tước quyền sở hữu, sự tước quyền chiếm hữu\n- sự trục ra khỏi, sự đuổi ra khỏi\n- sự giải thoát (cho ai cái gì) ; sự diệt trừ (cho ai cái gì) 
dispossessor [01/dispə'zəsə/]	[01* dtừ]\n- xem [03dispossess] chỉ người
dispraise [01/dis'preiz/]	[01* dtừ]\n- sự gièm pha, sự chê bai, sự chỉ trích; sự khiển trách
disproof [01/dis'pru:f/]	[01* dtừ]\n- sự bác bỏ (một chứng cớ, một lời buộc tội...) ; sự chứng minh là sai\n- phản chứng
disproportinate	- không tỷ lệ, không cân đối
disproportion [01/,disprə'pɔ:∫n/]	[01* dtừ]\n- sự thiếu cân đối, sự không cân đối; sự thiếu cân xứng, sự không cân xứng; sự không tỷ lệ
disproportionate [01/,disprə'pɔ:∫nit/]	như [03disproportioned]
disproportionately [01/,disprə'pɔ:∫nitli/]	[01* phtừ]\n- không tương xứng, không cân đối
disproportioned [01/,disprə'pɔ:∫nd/]	[01* ttừ]\n- thiếu cân đối, không cân đối; thiếu cân xứng, không cân xứng; không tỷ lệ
disprove [01/dis'pru:v/]	[01* ngđtừ]\n- bác bỏ (một chứng cớ, một lời buộc tội...) ; chứng minh là sai; nhân chứng
disputable [01/dis'pju:təbl/]	[01* ttừ]\n- có thể bàn cãi, có thể tranh cãi; không chắc
disputably [01/dis'pju:təbli/]	[01* phtừ]\n- đáng bàn cãi, đáng gây tranh cãi
disputant [01/dis'pju:tənt/]	[01* dtừ]\n- người bàn cãi, người tranh luận\n[01* ttừ]\n- bàn cãi, tranh luận
disputation [01/,dispju:'tei∫n/]	[01* dtừ]\n- sự bàn cãi, sự tranh luận\n- cuộc bàn cãi, cuộc tranh luận
disputatious [01/,dispju:'tei∫əs/]	[01* ttừ]\n- thích bàn cãi, thích tranh luận, hay lý sự
disputatiously [01/,dispju:'tei∫əsli/]	[01* phtừ]\n- hăng tranh luận, lý sự
disputatiousness [01/,dispju:'tei∫əs/]	[01* dtừ]\n- tính thích bàn cãi, tính thích tranh luận, tính hay lý sự
dispute [01/dis'pju:t/]	[01* dtừ]\n- cuộc bàn cãi, cuộc tranh luận\n[02= beyond (past, without) dispute] không cần bàn cãi gì nữa\n[02= the matter is in dispute] vấn đề đang được bàn cãi\n[02= to hold a dispute on] tranh luận về (vấn đề gì)\n- cuộc tranh chấp (giữa hai người...)\n- cuộc cãi cọ; sự bất hoà, sự bất đồng ý kiến\n[02= to settle a dispute] dàn xếp một mối bất hoà\n[01* nđtừ]\n- bàn cãi, tranh luận\n[02= to dispute with (against) someone] bàn cãi với ai\n[02= to dispute on (about) a subject] bàn cãi về một vấn đề\n- cãi nhau, đấu khẩu; bất hoà\n[01* ngđtừ]\n- bàn cãi, tranh luận (một vấn đề)\n- chống lại, kháng cự lại\n[02= to dispute a landing] kháng cự lại một cuộc đổ bộ\n[02= to dispute the advance of the enemy] kháng cự lại cuộc tiến quân của quân địch\n- tranh chấp\n[02= to dispute every inch of ground] tranh chấp từng tất đất
disqualification [01/dis,kwɔlifi'kei∫n/]	[01* dtừ]\n- sự làm cho không đủ tư cách; điều làm cho không đủ tư cách\n- sự tuyên bố không đủ tư cách\n- sự loại ra không cho thi, sự truất quyền dự thi
disqualify [01/dis'kwɔlifai/]	[01* ngđtừ]\n- làm cho không đủ tư cách (giữ một nhiệm vụ gì...)\n- tuyên bố không đủ tư cách\n- loại ra không cho thi, sự truất quyền dự thi (của một người, một đội nào vi phạm điều lệ...) 
disquiet [01/dis'kwaiət/]	[01* ttừ]\n- không an tâm, không yên lòng, băn khoăn lo lắng\n[01* dtừ]\n- sự không an tâm, sự không yên lòng, sự băn khoăn lo lắng\n[01* ngđtừ]\n- làm không an tâm, làm không yên lòng, làm băn khoăn lo lắng
disquieting [01/dis'kwaiətiη/]	[01* ttừ]\n- làm không an tâm, làm không yên lòng, làm băn khoăn lo lắng
disquietingly [01/dis'kwaiətiηli/]	[01* phtừ]\n- đáng lo ngại, đáng băn khoăn
disquietness [01/dis'kwaiətnis/]	như [03disquietude]
disquietude [01/dis'kwaiitju:d/]	[01* dtừ]\n- sự không an tâm, sự không yên lòng, sự băn khoăn lo lắng
disquisition [01/,diskwi'zi∫n/]	[01* dtừ]\n- bản luận văn dài, bản luận văn công phu; tài liệu nghiên cứu công phu\n- (cổ) cuộc điều tra; cuộc tìm tòi
disquisitional [01/,diskwi'zi∫ənl/]	[01* ttừ]\n- có tính chất tìm tòi nghiên cứu
disrank [01/dis'ræηk/]	[01* ngđtừ]\n- giáng chức, hạ chức, giáng cấp
disrate [01/dis'reit/]	[01* ngđtừ]\n- (hàng hải) giáng bậc, giáng cấp
disregard [01/,disri'gɑ:d/]	[01* dtừ]\n- ((thường) +[02of, for])\n- sự không để ý, sự không đếm xỉa đến, sự bất chấp, sự coi thường, sự coi nhẹ\n[02= in disregard of] bất chấp không đếm xỉa (cái gì)\n[01* ngđtừ]\n- không để ý đến, không đếm xỉa đến, bất chấp, coi thường, coi nhẹ
disregardful [01/,disri'gɑ:dful/]	[01* ttừ]\n- không để ý đến, không đếm xỉa đến, bất chấp, coi thường, coi nhẹ
disrelish [01/dis'reli∫/]	[01* dtừ]\n- sự không thích, sự không ưa, sự không thú, sự chán ghét\n[02= to regard a person with disrelish] không ưa ai\n[01* ngđtừ]\n- không thích, không ưa, không thú, chán ghét
disremember [01/,disri'membə/]	[01* ngđtừ]\n- (tiếng địa phương) không nhớ lại được
