clarification	81-8737-B
cliche	82-8816-B
click	82-8961-B,82-9715-S,137-24173-S,138-4149-S
click beetle	82-9503-B
click n see	257-19234-S
clicker	82-9580-B
clickety click	82-9715-B
clicks	82-9799-B
clicksee	82-9844-B
cliency	82-9963-B
client	82-10036-B
client application	82-10123-B
client area	82-10178-B
client server	82-10263-B
client server architecture	82-10728-B
clientage	82-10292-B
cliental	82-10320-B
clientele	82-10348-B,82-10565-B
cliff	82-10789-B
cliff dweller	82-10964-B
cliff dwelling	82-11050-B
cliff hanger	82-11301-B
cliff hanging	82-11454-B
cliffhanger	82-11121-B
cliffsman	82-11537-B
cliffy	82-11606-B
clifornium	82-11674-B
climacteric	82-11727-B
climactic	82-12025-B
climactically	82-12167-B
climate	82-12202-B
climatic	82-12519-B
climatic test	82-12660-B
climatically	82-12700-B
climatize	82-12783-B
climatologic	82-12884-B
climatological	82-12920-B
climatologically	82-13007-B
climatologist	82-13047-B
climatology	82-13084-B
climatotherapy	82-13154-B
climax	82-13246-B
climb	82-13468-B,221-15004-S
climb down	82-13981-B
climb frame	82-14407-B
climbable	82-13954-B
climber	82-14125-B,394-7154-S,428-19536-S
climbframe	82-14354-B
climbing	82-14492-B,393-273-S,428-19645-S
climbing frame	82-14547-B,82-14749-B
climbing irons	82-14593-B
clime	82-14847-B
clinal	82-14910-B
clinch	82-14934-B
clincher	82-15697-B
clincher built	82-15742-B
cline	82-15844-B
cling	82-15958-B
cling film	82-16459-B
clinger	82-16548-B
clinging	82-16573-B
clingstone	82-16677-B
clingy	82-16746-B
clinic	82-16850-B,434-2527-S
clinical	82-16993-B
clinical thermometer	82-17249-B
clinically	82-17304-B
clinician	82-17381-B
clinicist	82-17468-B
clink	82-17544-B
clinker	82-18091-B
clinker built	82-18351-B
clinking	82-18471-B
clinoid	82-18643-B
clinology	82-18695-B
clinometer	82-18822-B
clinometric	82-18892-B
clinometry	82-18926-B
clinquant	82-18958-B
clinstone	82-19119-B
clip	82-19179-B,14-6953-S,61-5388-S,69-4507-S,268-2562-S,327-7540-S,469-6669-S
clip art	82-20054-B
clip clop	82-20383-B
clip joint	82-20467-B
clip on	82-20548-B
clipart	82-20084-B
clipboard	82-20289-B
clipped	82-20589-B
clipper	82-20729-B,18-374-S,192-4257-S
clipper limiter	82-21090-B
clippie	82-21146-B
clipping	82-21221-B,359-25849-S,359-27408-S
clipping circuit	82-21455-B
clique	82-21535-B
cliquey	82-21602-B
cliquish	82-21640-B
cliquishly	82-21681-B
cliquishness	82-21710-B
cliquy	82-21845-B
clishmaclaver	82-21979-B
clitellum	82-22055-B
clitic	82-22143-B
clitization	82-22292-B
clitoral	82-22457-B
clitoris	82-22522-B
cllr	82-22582-B
cloaca	82-22639-B
cloacal	82-22783-B
cloak	82-22809-B,142-25131-S,314-18762-S
cloak and dagger	82-23106-B
cloak and danger	82-23239-B
cloak room	82-23428-B
cloakanddanger	82-23171-B
cloakroom	82-23340-B
clobber	82-23563-B
clochan	82-23691-B
cloche	82-23747-B
clock	82-23891-B,12-16258-S,12-16338-S,29-18801-S,33-12099-S,53-20969-S,53-22113-S,68-20457-S,109-14116-S,128-12177-S,148-4842-S,149-11701-S,188-20783-S,274-2914-S,309-15084-S,334-22417-S,395-14389-S,433-13653-S,469-23436-S,515-28264-S,517-17283-S
clock case	82-25352-B
clock cycle	82-24886-B
clock face	82-25439-B
clock frequency	82-24929-B
clock generator	82-24994-B
clock grass	82-25677-B
clock interrupt	82-25057-B
clock like	82-25799-B
clock maker	82-25882-B
clock pulse	82-25107-B
clock rate	82-25146-B
clock shadow	180-7800-S
clock signal	82-25190-B
clock speed	82-25237-B
clock tea	180-7887-S
clock tower	82-25283-B
clock watcher	82-25934-B
clock watching	82-26061-B
clocker	82-25414-B
clockgolf	82-25501-B
clocking	82-25747-B
clockwise	83-0-B,23-3115-S,103-14773-S
clockwork	83-81-B
clod	83-367-B
clod breaker	83-676-B
cloddiness	83-749-B
cloddish	83-850-B
cloddishly	83-927-B
cloddishness	83-960-B
cloddy	83-989-B
clodhopper	83-1050-B
clog	83-1171-B
clog dance	83-1604-B
cloggy	83-1661-B
cloister	83-1753-B
cloistered	83-2075-B
cloisterer	83-2218-B
cloistral	83-2282-B
cloistress	83-2346-B
clonal	83-2402-B
clonally	83-2426-B
clone	83-2451-B
cloner	83-2531-B
clonic	83-2554-B
clonicity	83-2580-B
clonidin	83-2608-B
clonus	83-2669-B
cloop	83-2731-B
clop	83-2837-B,82-20383-S
close	83-2932-B
close banded	83-7144-B
close barred	83-7219-B
close bodied	83-7270-B
close burning	83-7336-B
close call	83-7012-B,83-7401-B
close control	83-7044-B
close cropped	83-7465-B
close cut	83-7530-B
close down	83-8452-B
close fisted	83-8728-B
close fitting	83-8805-B
close grained	83-8888-B
close hauled	83-8949-B
close in	83-9060-B
close knit	83-9187-B
close lipped	83-9285-B
close mouthed	83-10189-B
close quarters	83-10601-B
close run	83-10788-B
close set	83-10841-B
close shave	83-7088-B
close shaven	83-10934-B
close stool	83-11001-B
close thing	83-11666-B
close tongued	83-11824-B
close up	83-12251-B
closed	83-7608-B,411-9511-S
closed book	83-7688-B
closed circuit	83-7886-B
closed circuit television	83-7922-B
closed clause	83-8003-B
closed contact	83-8047-B
closed loop	83-8093-B,83-8239-B
closed routine	83-8554-B
closed shop	83-8139-B
closed storage	83-8637-B
closedown	83-8375-B
closely	83-9339-B
closely bloomed	83-9776-B
closely fruited	83-9853-B
closely knit	83-9934-B
closely leaved	83-10054-B
closely scaled	83-10120-B
closeness	83-10258-B
closer	83-10764-B
closet	83-11112-B,76-18379-S,144-6541-S,515-28406-S
closet play	83-11888-B
closet queen	83-11988-B
closet strategist	83-12156-B
closing	83-12334-B,144-1486-S,409-14671-S
closing price	83-12489-B,83-12738-B
closing pulse	197-6268-S
closing switch	83-12591-B
closing time	83-12643-B,83-12812-B
closingprice	83-12678-B
closure	83-12898-B
clot	83-13149-B
cloth	83-13654-B,15-10813-S,39-2399-S,75-17181-S,108-20282-S,132-10741-S,142-25180-S,152-8863-S,170-4773-S,182-29139-S,185-19251-S,201-24997-S,201-25613-S,208-0-S,225-12866-S,266-20110-S,273-15038-S,281-60-S,311-11754-S,324-4208-S,344-2353-S,361-19570-S,392-5463-S,397-26728-S,398-15714-S,401-10449-S,407-1446-S,436-24456-S,457-4334-S,460-5827-S,463-2225-S,465-1972-S,515-6202-S,521-12010-S
cloth cap	83-14439-B
cloth eared	83-14636-B
cloth yard	83-14376-B
clothe	83-14602-B
clothes	83-14695-B,44-23265-S,172-29227-S,207-11751-S,274-3138-S,303-12379-S,346-2170-S,425-27957-S,456-17093-S,456-17476-S
clothes bag	83-14873-B
clothes basket	83-14970-B
clothes brush	83-15030-B
clothes horse	83-15183-B
clothes line	83-15254-B
clothes man	83-15323-B,346-2982-S
clothes moth	83-15432-B
clothes peg	83-15504-B
clothes pin	83-15555-B
clothes press	83-15636-B
clothes prop	83-15721-B
clothes rack	83-15791-B
clothes shop	311-22410-S
clothes tree	83-15853-B
clotheshanger	83-15104-B
clothesman	312-0-S
clothier	83-15909-B
clothing	83-16056-B,366-3671-S
clothoid	83-16161-B
cloths	324-4286-S
clotted	83-16211-B
clotted cream	83-16321-B
cloture	83-16387-B
clou	83-16445-B
cloud	83-16603-B,171-12921-S,298-14294-S,303-12435-S,377-4463-S,400-140-S,418-25455-S,445-20405-S,514-24838-S
cloud bank	83-18454-B
cloud burst	83-18593-B
cloud capped	83-18665-B
cloud castle	83-18795-B
cloud chamber	83-18158-B,83-18928-B
cloud clutter	83-18374-B
cloud cuckoo land	83-19203-B
cloud cuckoo town	83-19266-B
cloud drift	83-19305-B
cloud kissing	83-19636-B
cloud land	83-19719-B
cloud nine	83-20072-B
cloud pulse	83-18423-B
cloud travel	83-20252-B
cloud world	83-20315-B
cloudburst	83-18524-B
cloudchamber	83-18867-B
cloudily	83-19367-B
cloudiness	83-19394-B
cloudless	83-19769-B
cloudlessness	83-19900-B
cloudlet	83-20015-B
clouds	365-580-S,435-11660-S
cloudy	83-20383-B
clough	83-20707-B
clout	83-20769-B,132-10789-S
clove	83-21056-B
clove hitch	83-21231-B
cloven	83-21302-B
cloven foot	83-21336-B
cloven footed	83-21393-B
clover	83-21458-B
clover leaf	83-21625-B
cloverleaf antenna	83-21710-B
clown	83-21764-B
clownery	83-21927-B
clownish	83-21973-B
clownishly	83-22084-B
clownishness	83-22112-B
