laisser faire	262-22162-B
landscape gardener	263-21247-B
landscape gardening	263-21199-B,263-21313-B
landscape painter	263-21431-B
landscaper	263-21496-B
landscapist	263-21596-B
landside	263-21768-B
landslide	263-21843-B
landslip	263-22281-B
landsman	263-22339-B
landward	263-22551-B
landwards	263-22635-B
lane	263-22729-B,12-309-S,62-14192-S,63-5907-S,244-23972-S,275-17283-S,309-10741-S,319-24673-S,381-20718-S,425-11353-S
laneway	263-23066-B
lang syne	34-14461-S
langbeineite	263-23242-B
langlauf	264-0-B
langobard	264-110-B
langobardic	264-228-B
langouste	264-303-B
langsyne	264-374-B
language	264-459-B,1-871-S,26-22216-S,26-22697-S,30-10702-S,31-14771-S,31-15344-S,35-5486-S,39-17762-S,53-21259-S,53-22574-S,89-5760-S,90-7234-S,90-7383-S,91-7689-S,91-10488-S,91-11545-S,91-14842-S,92-3739-S,92-4321-S,92-6330-S,92-6865-S,97-22204-S,99-2970-S,114-15455-S,114-15534-S,124-0-S,178-14121-S,187-12845-S,188-23442-S,271-5276-S,272-10971-S,275-26710-S,278-1553-S,308-3719-S,420-6121-S,420-11605-S,431-28232-S,447-32859-S,471-17362-S,473-27400-S
language arts	264-812-B
language laboratory	264-1003-B
languages	240-8579-S
langue d oc	264-1263-B
langue de chat	264-1127-B
languet	264-1365-B
languid	264-1431-B
languidly	264-1546-B
languidness	264-1614-B
languish	264-1761-B
languishing	264-2093-B
languishment	264-2302-B
languor	264-2407-B
languorous	264-2702-B
languorously	264-2846-B
langur	264-2900-B
laniard	264-2961-B
laniary	264-3093-B
laniferous	264-3183-B
lanigerous	264-3252-B
lank	264-3305-B
lankiness	264-3405-B
lanky	264-3488-B
lanner	264-3550-B
lanolin	264-3607-B
lanoline	264-3672-B
lansquenet	264-3739-B
lantana	264-3821-B
lantern	264-3879-B,76-20058-S,114-4456-S,191-742-S,254-2074-S,254-13204-S,278-16798-S,329-10237-S,445-21454-S
lantern fish	264-3992-B
lantern fly	264-4107-B
lantern jawed	264-4433-B
lantern jaws	264-4242-B
lantern pinion	264-4305-B
lantern slide	264-4378-B
lanthanide	264-4501-B
lanthanum	264-4713-B
lanthorn	264-4772-B
lanugo	264-4850-B
lanyard	264-4913-B
lao	264-4954-B
laodicean	264-5070-B
laotian	264-5175-B
lap	264-5250-B,70-20644-S,144-188-S,311-1816-S
lap belt	264-6411-B
lap dog	264-6774-B
lap joint	264-7698-B
lap link	264-6485-B
laparoscope	264-6545-B
laparoscopy	264-6628-B
laparotomy	264-6695-B
lapel	264-6849-B
lapicide	264-6891-B
lapidary	264-6973-B
lapidate	264-7223-B
lapidify	264-7299-B
lapidodendron	264-7359-B
lapilus	264-7453-B
lapin	264-7558-B
lapis lazuli	264-7609-B
laplander	264-7785-B
lappet	264-7957-B
lapping	264-8067-B
lappish	264-8141-B
lapsable	264-8230-B
lapse	264-8361-B
lapse rate	264-9296-B
lapstrake	264-9399-B
lapstreak	264-9562-B
lapsus	264-9625-B
laptop	264-9774-B
laputan	264-9839-B
lapwing	264-9949-B
lar	264-10015-B
larboard	264-10106-B
larcener	264-10250-B
larcenous	264-10306-B
larceny	264-10359-B,339-9936-S
larch	264-10426-B
lard	264-10526-B
lardaceous	264-10780-B
larder	264-10840-B
lardon	264-10909-B
lardoon	264-10994-B
lardy	264-11034-B
lardy cake	264-11079-B
lardy dardy	264-11174-B
lares	264-11253-B
lares and penates	264-11332-B
large	264-11474-B,16-8461-S
large handed	264-12738-B
large hearted	264-12820-B
large heartedness	264-12941-B
large intestine	264-12455-B
large minded	264-13303-B
large mindedness	264-13396-B
large scale	264-12522-B
large scale integration	168-18133-S
large white	264-12659-B
largely	264-13099-B
largeness	264-13507-B
larger than life	264-13683-B
largess	264-13830-B
largesse	264-13924-B
largest	264-13967-B
larghetto	264-13990-B
largish	264-14067-B
largo	264-14134-B
lariat	264-14205-B
lark	264-14412-B,285-6699-S
larkiness	264-14979-B
larkingly	264-15069-B
larkspur	264-15141-B
larky	264-15213-B
larrikin	264-15284-B
larrikinism	264-15497-B
larrup	264-15610-B
larum	264-15680-B
larva	264-15741-B
larvae	264-15778-B
larval	264-15843-B
larvicide	264-16078-B
larviform	264-16160-B
laryngeal	264-16222-B
laryngectomee	264-16293-B
laryngectomy	264-16381-B
larynges	264-16470-B
laryngitic	264-16536-B
laryngitis	264-16611-B
laryngology	264-16684-B
laryngoscope	264-16759-B
laryngoscopical	264-16838-B
laryngoscopy	264-16931-B
laryngotomy	264-17009-B
larynx	264-17090-B
lasagna	264-17132-B
lasagne	264-17191-B
lascar	264-17302-B
lascivious	264-17365-B
lasciviously	264-17446-B
lasciviousness	264-17531-B
lase	264-17637-B
lase purchase	264-17695-B
laser	264-17756-B,18-951-S,28-17386-S,33-11926-S,37-4862-S,75-19024-S,109-3498-S,127-17489-S,129-15546-S,134-24266-S,134-24592-S,149-3566-S,194-9303-S,196-14397-S
laser hologram	196-14431-S
laser storage	153-4946-S
lash	264-17804-B,38-21989-S,39-6528-S
lash potential	38-22045-S
lash up	264-19632-B
lasher	264-18992-B
lashing	264-19107-B,471-20297-S
lashings	264-19376-B
lashkar	264-19519-B
lass	264-19881-B
lassa fever	264-19997-B
lassie	264-20135-B
lassitude	264-20222-B
lasso	264-20318-B
lassoer	264-20454-B
last	264-20534-B
last born	264-24463-B
last ditch	264-24551-B
last judgment	264-23197-B
last mile	264-23327-B
last minute	264-23480-B
last name	264-23616-B
last named	264-25182-B
last post	264-23705-B
last rites	264-23841-B
last served	179-9435-S
last sleep	264-23947-B
last supper	264-24054-B
last things	264-24217-B
lasting	264-24686-B
lastingness	264-24930-B
lastly	264-25108-B
lat	264-25310-B
latakia	264-25364-B
latch	264-25458-B
latchet	264-25650-B
latchkey	264-25721-B
latchstring	264-25840-B
late	264-25952-B
late comer	264-26574-B
late greek	264-26394-B
latecomer	264-26508-B
lateen	264-26642-B
lately	264-26706-B,256-3375-S
laten	264-26786-B
latency	264-26889-B
latency period	264-26981-B
lateness	264-27144-B
latent	264-27214-B
latent heat	264-27373-B
latent image	264-27421-B
latent period	264-27483-B
later	264-27565-B
lateral	264-27585-B,508-4721-S
lateral bud	264-27693-B
lateral thinking	265-0-B
laterality	265-90-B
laterite	265-217-B
lateritic	265-277-B
laterization	265-360-B
latest	265-441-B
latex	265-634-B
lath	265-735-B
lathe	265-921-B,155-11095-S,355-6933-S,355-23749-S,481-21411-S
lathee	265-1034-B
lather	265-1071-B
lathering	265-1512-B
lathery	265-1596-B
lathi	265-1730-B
lathing	265-1820-B
lathy	265-1906-B
lathyrism	265-2031-B
lathyritic	265-2143-B
latices	265-2215-B
laticifer	265-2257-B
laticiferous	265-2331-B
latifundia	265-2395-B
latifundium	265-2463-B
latin	265-2518-B,136-8974-S,207-24423-S,275-20729-S,286-3053-S,311-20396-S
latin american	265-3445-B
latin church	265-3102-B
latin cross	265-3188-B
latin quarter	265-3296-B
latinate	265-3574-B
latinisation	265-3643-B
latinise	265-3864-B
latinism	265-3908-B
latinist	265-3983-B
latinity	265-4059-B
latinization	265-4132-B
latinize	265-4320-B
latinizer	265-4492-B
latins	265-4606-B
latish	265-4686-B
latitude	265-4751-B
latitudes	225-11335-S
latitudinal	265-5257-B
latitudinarian	265-5376-B
latitudinarianism	265-5570-B
latitudinous	265-5684-B
latosol	265-5763-B
latosolic	265-5847-B
latrine	265-5943-B
latter	265-6036-B
latter day	265-6614-B
latterly	265-6682-B
lattermost	265-6804-B
lattice	265-6876-B,109-12325-S,411-13518-S,432-13091-S
lattice theory	149-5621-S
latticed	265-7071-B
latticework	265-7205-B
latus rectum	265-7269-B
latvian	265-7338-B
lauan	265-7451-B
laud	265-7504-B
laudability	265-7751-B
laudable	265-7873-B
laudableness	265-7972-B
laudably	265-8026-B
laudanum	265-8099-B
laudation	265-8172-B
laudative	265-8326-B
laudator	265-8449-B
laudator temporis accti	265-8528-B
laudator temporis acti	265-8619-B
laudatory	265-8801-B
lauder	265-8904-B
laugh	265-8944-B,45-25982-S,225-14002-S
laughable	265-10828-B
laughableness	265-10899-B
laughably	265-11003-B
laughing	265-11076-B
laughing gas	265-11326-B,265-11465-B
laughing jackass	265-11389-B
laughing stock	265-11626-B
laughingly	265-11556-B
laughter	265-11868-B
launch	265-12178-B,432-13179-S
launch pad	265-13213-B
launch vehicle	265-13290-B
launch window	265-13401-B
launcher	265-13509-B
launching pad	265-13612-B
launching ramp	265-13671-B
launching site	265-13732-B
launching tube	265-13821-B
