license [01/'laisəns/]	như [03licence]
lick [01/lik/]	[01* dtừ]\n- cái liềm\n- (lóng) cú đám, cái vụt; đòn đau\n- (số nhiều)(Mỹ),(lóng) sự cố gắng, sự nỗ lực\n[02= to put in one's best licks] hết sức cố gắng, nỗ lực\n- (lóng) tốc độ đi\n[02= at full lick] hết sức hối hả, ba chân bốn cẳng\n- bâi liếm (nơi đất mặn, dã thú thường đến liếm muối ((cũng) [03salt lick] )\n[04! a lick and a promise]\n- sự làm qua quýt, sự làm chiếu lệ\n[01* đtừ]\n- liếm\n- lướt qua, đốt trụi\n[02= the flames licked the dry grass] ngọn lửa lướt lem lém qua đám cỏ khô\n- (lóng) đánh; được, thắng\n- (lóng) đi, đi hối hả\n[02= to go as fast (hard) as one could lick] đi hết sức hối hả, đi ba chân bốn cẳng\n- (lóng) vượt quá sự hiểu biết của...\n[02= well that licks me] chà! cái đó vượt quá sự hiểu biết của tôi\n[04! to lick creation]\n- vượt tất cả mọi thứ, không gì sánh kịp\n[04! to lick the dust]\n- bị đánh gục, bị đánh bại\n[04! to lick one's lips]\n- xem [03lip]\n[04! to lick into shape]\n- xem [03shape]\n[04! to lick someone's shoes]\n- liếm gót ai
lickerish [01/'likəri∫/]	[01* ttừ]\n- thích ăn ngon\n- hiếu sắc, dâm đãng\n- tham, ham
lickerishness [01/'likəri∫nis/]	[01* dtừ]\n- tính thích ăn ngon\n- tính hiếu sắc, tính dâm đãng\n- tính than, tính ham
lickety-split [01/,likəti'split/]	[01* phtừ] (từ Mỹ, (tục)) tốc độ lớn
licking [01/'likiη/]	[01* dtừ]\n- sự liếm; cái liếm\n- sự đánh bại\n[02= to get a licking] bị đánh bại
lickspittle [01/'likspitl/]	[01* dtừ]\n- kẻ xu nịnh, kẻ liếm gót
licorice [01/'likəris/]	như [03sweet-root]
licorice stick [01/'likəris,stik/]	[01* dtừ]\n- kèn clarinet
lictor [01/'liktə/]	[01* dtừ]\n- vệ sĩ ((cổ) La-mã) 
lid [01/lid/]	[01* dtừ]\n- nắp, vung\n- mi mắt ((cũng) [03eyelid] )\n- (lóng) cái mũ\n[04! with the lid off]\n- phơi bày tất cả những sự ghê tởm bên trong\n[04! to put the lid on]\n- (lóng) là đỉnh cao của, hơn tất cả
lidar [01/'laida:/]	[01* dtừ]\n- loại rada phát sáng từ tia la-de (chứ không phải sóng (rađiô)) 
lidded [01/'lidid/]	[01* ttừ]\n- (nói về soong nồi, thau chậu) có nắp
lidless [01/'lidlis/]	[01* ttừ]\n- không nắp, không vung\n- không mi (mắt)\n- (thơ ca) cảnh giác; thức
lido [01/'li:dou/]	[01* dtừ]\n- bể bơi công cộng ngoài trời\n- (Mỹ) bâi biển (nghỉ mát, tắm) 
lie [01/lai/]	[01* dtừ]\n- sự nói dối, sự nói láo, sự nói điêu, sự dối trá; sự lừa dối, sự lừa gạt\n[02= to give someone the lie] buộc tội ai là dối trá\n[02= a white lie] lời nói dối vô tội\n- điều tin tưởng sai lầm; ước lệ sai lầm\n[02= to worship a lie] sùng bái một cái sai lầm\n[02= to maintain a lie] duy trì một ước lệ sai lầm\n[04! to act a lie]\n- lừa dối bằng hành động\n[04! to give a lie to]\n- chứng minh là sai; đập tan (luận điệu)\n[01* đtừ]\n- nói dối; lừa dối\n[01* nđtừ lay, lain]\n- nằm, nằm nghỉ\n[02= the ship is lying at the port] con tàu thả neo nằm ở bên cảng\n[02= the valley lies at our feet] thung lũng nằm ở dưới chân chúng tôi\n- (pháp lý) được coi là hợp lệ, được coi là hợp pháp, được pháp luật chấp nhận\n[02= the appeal does not lie] sự chống án không hợp lệ\n[04! to lie back]\n- ngả mình (nghỉ ngơi)\n[04! to lie by]\n- nằm bên, ở bên cạnh\n- để dự trữ, để dành dụm; để đó chưa dùng đến\n[04! to lie down]\n- nằm nghỉ\n- chịu khuất phục\n[04! to lie in]\n- sinh nở, ở cữ\n[04! to lie off]\n- (hàng hải) nằm cách xa (bờ hoặc tàu khác)\n[04! to lie on (upon)]\n- thuộc trách nhiệm (của ai)\n[04! to lie out]\n- ngủ đêm ngoài trời\n[04! to lie over]\n- hoãn\n[04! to lie under]\n- chịu\n[04! to lie up]\n- đi nằm nghỉ; nằm bẹp ở giường (trong phòng)(vì ốm)\n- rút về một nơi kín đáo; ở một nơi kín đáo\n- (hàng hải) về nằm ở xưởng sửa chữa; bị loại ra không dùng được nữa\n[04! to lie with]\n- là việc của, là quyền của\n- ngủ với, ăn nằm với (ai)\n[04! to lie (heavy) at someone's heart]\n- xem [03heart]\n[04! to lie down under an insult]\n- cam chịu lời chửi\n[04! to lie in one]\n- trong phạm vi quyền lợi, trong phạm vi khả năng\n[04! to lie in wait for]\n- xem [03wait]\n[04! to lie on the bed one has made]\n- (tục ngữ) mình làm mình chịu\n[04! to lie out of one's money]\n- không được người ta trả tiền cho mình\n[04! to do all that lies in one's power]\n- làm hết sức mình\n[04! to find out how the land lies]\n- xem sự thể ra sao, xem tình hình ra sao\n[04! to know where one's interest lie]\n- biết rõ lợi cho mình ở đâu\n[01* dtừ]\n- tình hình, sự thể, sự tình, tình thế, cục diện; hướng\n- nơi ẩn (của thú, chim, cá...)\n[04! lie of the land]\n- sự thể\n[02= I want to know the lie of the land] tôi muốn biết sự thể ra sao
lie detector [01/'laidi'tektə/]	[01* dtừ]\n- (Mỹ) máy phát hiện lời nói dối
lie-abed [01/'laiəbed/]	[01* dtừ]\n- người hay nằm ườn (trên giường) ; người hay dậy trưa
liebfraumilch [01/'li:bfrou,milkh/]	[01* dtừ]\n- rượu vang trắng làm ở thung lũng sông Rhin
lied [01/li:d/]	[01* dtừ, s/n [03lieder] /'li:də/\n- bài ca, bài thơ (Đức) 
lieder [01/li:d/]	như [03lied]
lie-detector [01/'laidi'tektə/]	[01* dtừ]\n- (Mỹ) máy phát hiện nói dối
lie-down [01/'laidaun/]	[01* dtừ]\n- sự ngả lưng
lief [01/li:f/]	[01* phtừ]\n- (cổ) sãn lòng, tự nguyện\n[02= I would (had) as lief...] tôi sãn lòng...
liege [01/li:dʒ/]	[01* dtừ]\n- (sử học) lãnh chúa, bá chủ ((cũng) [03liege lord] )\n- chư hầu, quan (phong kiến)\n[01* ttừ]\n- (thuộc) lãnh chúa, (thuộc) bá chủ\n[02= liege lord] lãnh chúa, bá chủ\n- (thuộc) chư hầu, (thuộc) quan tâm phúc, trung thành
liegeman [01/'li:dʒmæn/]	[01* dtừ]\n- người tâm phúc, người trung thành\n- (sử học) chư hầu trung thành, viên quan trung thành
lie-in [01/'lai'in/]	[01* dtừ]\n- sự nằm nán lại, sự ngủ nướng
lien [01/'liən/]	[01* dtừ]\n- (pháp lý) quyền giữ (đồ thế nợ cho đến khi thu hết nợ) 
lienable [01/'liənəbl/]	[01* ttừ]\n- (pháp lý) có thể giữ làm vật bảo đảm
lierne [01/li'eən/]	[01* dtừ]\n- gân vòm (kiến trúc) 
lieu [01/lju:/]	[01* dtừ]\n- in lieu of thay thế vào
lieut	- (vt của [03Lieutenant] ) trung úy, đại úy hải quân
lieutenancy [01/lef'tenənsi, (Mỹ) lju:'tenənsi/]	[01* dtừ]\n- chức trung uý\n- chức đại uý hải quân
lieutenant [01/lef'tenənt, (Mỹ) lju:'tenənt/]	[01* dtừ]\n- người thay thế, người tạm thay\n- (qsự) trung uý\n- đại uý hải quân
lieutenant junior grade [01/lef'tenənt'dʒju:njə'greid/]	[01* dtừ]\n- (Mỹ),(qsự) trung uý hải quân
lieutenant-colonel [01/lef'tenənt'kə:nl/]	[01* dtừ]\n- (qsự) trung tá
lieutenant-commander [01/lef'tenəntkə'mɑ:ndə/]	[01* dtừ]\n- (qsự) thiếu tá hải quân
lieutenant-general [01/lef'tenənt'dʒenərəl/]	[01* dtừ]\n- (qsự) trung tướng\n- (sử học) toàn quyền
lieutenant-governor [01/lef'tenənt'gʌvənə/]	[01* dtừ]\n- tỉnh trưởng (thuộc địa Anh)\n- (Mỹ) phó thống đốc (bang) 
life [01/laif/]	[01* dtừ, s/n [03lives] /laivz/\n- sự sống\n- đời sống, sinh mệnh, tính mệnh\n[02= to lay down one's life for the country] hy sinh tính mệnh cho tổ quốc\n[02= a matter of life and death] một vấn đề sống còn\n- đời, người đời\n[02= to have lived in a place all one's life] đã sống ở đâu suốt cả đời\n[02= for life] suốt đời\n[02= hard labour for life] tội khổ sai chung thân\n- cuộc sống, sự sinh sống, sự sinh tồn\n[02= we are building a new life] chúng ta đang xây dựng một cuộc sống mới\n[02= the struggle for life] cuộc đấu tranh sinh tồn\n- cách sống, đời sống, cách sinh hoạt\n[02= the country life] đời sống ở nông thôn, cách sinh hoạt ở nông thôn\n- sinh khí, sinh lực, sự hoạt động\n[02= to be full of life] dồi dào sinh lực, hoạt bát\n- tiểu sử, thân thế\n[02= the life of Lenin] tiểu sử Lê-nin\n- tuổi thọ, thời gian tồn tại\n[02= the life of a machine] tuổi thọ của một cái máy\n[02= a good life] người có thể sống trên tuổi thọ trung bình\n[02= a bad life] người có thể không đạt tuổi thọ trung bình\n- nhân sinh\n[02= the philosophy of life] triết học nhân sinh\n[02= the problem of life] vấn đề nhân sinh\n- vật sống; biểu hiện của sự sống\n[02= no life to be seen] không một biểu hiện của sự sống; không có một bóng người (vật)\n[04! as large as life]\n- xem [03large]\n[04! to escape with life and limb]\n- thoát được an toàn\n[04! for one's life]\n[04! for dear life]\n- để thoát chết\n[02= to run for dear life] chạy để thoát chết\n[04! for the life of me]\n[04! upon my life]\n- dù chết\n[02= I can't for the life of me] dù chết tôi cũng không thể nào\n[04! to bring to life]\n- làm cho hồi tỉnh\n[04! to come to life]\n- hồi tỉnh, hồi sinh\n[04! to have the time of one's life]\n- chưa bao giờ vui thích thoải mái như thế\n[04! high life]\n- xã hội thượng lưu, xã hội tầng lớp trên\n[04! in one's life]\n- lúc sinh thời\n[04! in the prime of life]\n- lúc tuổi thanh xuân\n[04! to see life]\n- xem [03see]\n[04! single life]\n- xem [03single]\n[04! to take someone's life]\n- giết ai\n[04! to take one's own life]\n- tự tử, tự sát, tự vẫn\n[04! to the life]\n- truyền thần, như thật
life assurance [01/'laifə'∫uərəns/]	- bảo hiểm nhân thọ
life belt	như [03lifebelt]
life buoy	[01* dtừ]\n- Phao cứu đắm
life cycle [01/'laifsaikl/]	[01* dtừ]\n- chu kỳ cuộc sống
life estate [01/'laifi'steit/]	[01* dtừ]\n- tài sản chỉ được hưởng hết đời
life expectancy [01/'laifiks'pektənsi/]	[01* dtừ]\n- tuổi thọ trung bình (của một hạng người theo thống kê) 
life guards [01/'laifgɑ:dz/]	[01* dtừ]\n- trung đoàn kỵ binh hoàng gia Anh
life history [01/'laif,histəri/]	[01* dtừ]\n- bản ghi lại chu kỳ sống của một sinh vật
life insurance [01/'laifin'∫uərəns/]	[01* dtừ]\n- bảo hiểm nhân th
life of riley [01/'laifəv'raili/]	[01* dtừ]\n-(tục) lối sống lười nhác, buông thả và xa hoa
life peer [01/'laifpiə/]	[01* dtừ]\n- huân tước không được phép truyền tước hiệu lại cho những người thừa kế của mình
life raft [01/'laif,ra:ft/]	- bè cứu đắm(có thể bơm phồng lên) 
life sciences [01/'laif,saiənsiz/]	[01* dtừ]\n- ngành sinh học và các ngành liên quan
life span	[01* dtừ]\n- tuổi thọ, thời gian sống
life story [01/'laif,stɔ:ri/]	[01* dtừ]\n- tiểu sử
life style	[01* dtừ]\n- lối sống
life-and-death [01/'laifən'deθ/]	[01* ttừ]\n- một mất một còn, sống mãi
life-annuity [01/'laifə,nju:iti/]	[01* dtừ]\n- tiền trợ cấp suốt đời
lifebelt [01/'laifbelt/]	[01* dtừ]\n- đai cứu đắm
life-blood [01/'laifblʌd/]	[01* dtừ]\n- máu, huyết, huyết mạch\n- nhân tố quyết định (sự tồn tại, sự thành công)\n- sự máy mắt; sự máy môi
lifeboat [01/'laifbout/]	[01* dtừ]\n- tàu cứu đắm, xuồng cứu đắm
life-breath [01/'laifbreθ/]	[01* dtừ]\n- hơi thở, sức sống
lifebuoy [01/'laifbɔi/]	[01* dtừ]\n- phao cứu đắm
lifeclass [01/'laif,kla:s/]	[01* dtừ]\n- lớp học hoạ sinh viên vẽ người mẫu sống
lifeful [01/'laiful/]	[01* ttừ]\n- đầy sức sống, sinh động
life-giving [01/'laif,giviη/]	[01* ttừ]\n- truyền sức sống, cho sự sống, cho sinh khí, phục hồi sinh khí
life-guard [01/'laifgɑ:d/]	[01* dtừ]\n- vệ sĩ\n- người cứu đắm (ở bể bơi, hồ bơi, bãi biển) 
life-interest [01/'laif,intrist/]	[01* dtừ]\n- quyền được hưởng tài sản hết đời
life-jacket [01/'laif,dʒækit/]	[01* dtừ]\n- áo cứu đắm
lifeless [01/'laiflis/]	[01* ttừ]\n- không có sự sống\n- chết, bất động\n- không có sinh khí, không sinh động
lifelessly [01/'laiflisli/]	[01* phtừ]\n- không sinh động, tẻ nhạt
lifelessness [01/'laiflisnis/]	[01* dtừ]\n- sự không có sự sống\n- tình trạng chết, tình trạng bất động\n- sự không có sinh khí, sự không sinh động\n- sự không có sinh khí, sự không sinh động
lifelike [01/'laiflaik/]	[01* ttừ]\n- giống như thật
lifelikeness [01/'laiflaiknis/]	[01* dtừ]\n- sự giống như thật
life-line [01/'laiflain/]	[01* dtừ]\n- dây an toàn (buộc vào đai an toàn của người lặn) ; dây cứu đắm (ở lan can trên tàu thuỷ)\n- đường số mệnh (trên bàn tay)\n- đường giao thông huyết mạch
lifelong [01/'laiflɔη/]	[01* ttừ]\n- suốt đời
life-office [01/'laif,ɔfis/]	[01* dtừ]\n- sở bảo hiểm nhân th
life-or-death [01/'laifɔ:'deθ/]	[01* ttừ]\n- như [03life-and-death] 
life-policy [01/'laif'pɔləsi/]	[01* dtừ]\n- hợp đồng bảo hiểm nhân thọ
life-preserver [01/'laifpri'zə:və/]	[01* dtừ]\n- gậy tàu\n- đai cứu đắm
lifer [01/'laifə/]	[01* dtừ]\n- (lóng) người bị tù chung thân
life-raft [01/'laif'raft/]	[01* dtừ]\n- bè cứu đắm, bè cứu sinh
liferent [01/'laif,rent/]	[01* dtừ]\n- quyền (ở Xcôtlân) được dùng tài sản nhưng không được quyền phá hủy nó
life-rent [01/'laifrent/]	[01* dtừ]\n- tiền tô thu suốt đời
life-saver [01/'laif,seivə/]	[01* dtừ]\n- người cứu đắm\n- đội viên đội cứu đắm
life-saving [01/'laif,seiviη/]	[01* ttừ]\n- (Mỹ) cứu đắm
life-sentence [01/'laif,sentəns/]	[01* dtừ]\n- án tù chung thân
life-size [01/'laif'saiz/]	[01* ttừ]\n- to như vật thật
life-sized [01/'laif'saizd/]	như [03life-size]
life-span [01/'laifspæn/]	[01* dtừ]\n- tuổi thọ tối đa
life-spring [01/'laifspriη/]	[01* dtừ]\n- nguồn sống
life-springs [01/'laifstriɳz/]	[01* dtừ]\n- những cái để bám lấy cuộc sống\n[02= his life-springs are cut (broken)] nó chết
life-strings [01/'laifstriηz/]	[01* dtừ]\n- những cái để bám lấy cuộc sống
life-style [01/'laifstail/]	[01* dtừ]\n- lối sống, cách sống
life-support [01/'laifsə'pɔ:t/]	[01* ttừ]\n- duy trì sự sống
life-table [01/'laifteibl/]	[01* dtừ]\n- bản thống kê tuổi thọ trung bình
life-threatening [01/laif'θretəniη/]	[01* ttừ]\n- có thể làm chết người; hiểm nghèo
lifetime [01/'laiftaim/]	[01* dtừ]\n- đời, cả cuộc đời\n[01* ttừ]\n- suốt đời\n[02= a lifetime job] công việc làm suốt đời
life-work [01/'laif'wə:k/]	[01* dtừ]\n- sự nghiệp của cả đời, công việc của cả đời
lift [01/lift/]	[01* dtừ]\n- sự nâng lên, sự nhấc lên; sự nâng cao, sự nhấc cao\n- máy nhấc\n- thang máy\n- sự cho đi nhờ xe; (bóng) sự nâng đỡ\n[02= to give someone a lift] cho ai đi nhờ xe; (bóng) nâng đỡ ai\n- chỗ gồ lên, chỗ nhô lên (ở sàn nhà)\n- (hàng không) sức nâng (của không khí)\n- trọng lượng nâng\n- (hàng không),(như) [03air-lift]\n[01* ngđtừ]\n- giơ lên, nhấc lên, nâng lên; giương cao\n[02= to lift (up) one's hand's] giơ tay lên (để cầu khẩn...)\n- đỡ lên, dựng lên, kéo dậy\n- đào, bới\n[02= to lift potatoes] đào khoai tây\n- (tục) ăn trộm (súc vật), ăn cắp (văn)\n[02= to lift cattle] ăn trộm trâu bò\n[02= to lift someone's purse] móc ví ai\n[02= to lift many long passages from other authors] ăn cắp nhiều đoạn văn dài của các tác giả khác\n- nhổ (trại)\n- chấm dứt (sự phong toả...) ; bâi bỏ (sự cấm đoán...)\n[01* nđtừ]\n- nhấc lên được, nâng lên được\n[02= this window won't lift] cái cửa sổ này không nhấc lên được\n- tan đi, cuốn đi (mây, sương mù, bóng đêm...)\n[02= mist lifts] sương mù tan đi\n- cưỡi sóng (tàu)\n[02= ship lifts] con tàu cưỡi sóng\n- gồ lên (sàn nhà)\n[02= floor lifts] sàn nhà gồ lên\n[04! to lift a hand to do something]\n- mó tay làm việc gì\n[04! to lift one's hand]\n- đưa tay lên thề\n[04! to lift one's hand against somebody]\n- giơ tay đánh ai\n[04! to lift up one's eyes]\n- ngước nhìn, nhìn lên\n[04! to lift up one's head]\n- ngóc đầu dậy\n- hồi phục lại\n[04! to lift up another's head]\n- (kinh thánh) trả lại tự do cho ai; trả lại danh dự cho ai\n[04! to lift up one's horn]\n- có nhiều tham vọng\n- tự hào\n[04! to lift up one's voice]\n- xem [03voice]\n[04! to be lifted up with pride]\n- dương dương tự đắc
lift-attendant [01/'liftə'tendənt/]	[01* dtừ]\n- người điều khiển thang máy
liftman [01/'lift,mæn/]	[01* dtừ]\n- người coi thang máy
lift-off [01/'lift'ɔ:f/]	[01* dtừ]\n- sự phóng (tên lửa, con tàu vũ trụ) 
lift-up [01/'lift'ʌp/]	[01* ttừ]\n- lift-up seat ghế xếp phụ (ở trên xe, ở rạp hát...) 
ligament [01/'ligəmənt/]	[01* dtừ]\n- (phẫu) dây chằng\n- (hiếm) dây ràng buộc
ligamental [01/,ligə'mentl/]	như [03ligamentous]
ligamentous [01/,ligə'mentəs/]	[01* ttừ]\n- (thuộc) dây chằng
ligate [01/'laigeit/]	[01* ngđtừ]\n- (y) buộc, thắt
ligation [01/lai'gei∫n/]	[01* dtừ]\n- (y) sự buộc, sự thắt
ligature [01/'ligət∫ə/]	[01* dtừ]\n- dây buộc, dải buộc\n- mối ràng buộc, dây ràng buộc\n- (y) chỉ buộc, dây buộc\n- (ngành in) chữ ghép; gạch nối (ở trong một từ)\n- (âm nhạc) luyến âm\n[01* ngđtừ]\n- (y) buộc, thắt
light	[01* dtừ]\n- ánh sáng, ánh sáng mặt trời, ánh sáng ban ngày\n[02= to stand in somebody's light] đứng lấp bóng ai; (bóng) làm hại ai, cản trở ai làm việc gì\n[02= in the light of these facts] dưới ánh sáng của những sự việc này\n[02= to see the light] nhìn thấy ánh sáng mặt trời; (bóng) sinh ra đời\n[02= to bring to light] (bóng) đưa ra ánh sáng, khám phá\n[02= to come to light] ra ánh sáng, lộ ra\n- nguồn ánh sáng, đèn đuốc\n[02= traffic lights] đèn giao thông\n- lửa, tia lửa; diêm, đóm\n[02= to strike a light] bật lửa, đánh diêm\n[02= give me a light, please] làm ơn cho tôi xin tí lửa\n- (số nhiều) sự hiểu biết, trí thức, trí tuệ, chân lý\n[02= to do something according to one's lights] làm gì theo sự hiểu biết của mình\n- trạng thái, phương diện, quan niệm\n[02= in a good light] ở chỗ có nhiều ánh sáng, ở chỗ rõ nhất (dễ trông thấy nhất) ; với quan niệm đúng, với cách hiểu đúng (một vấn đề)\n[02= to place something in a good light] trình bày cái gì một cách tốt đẹp\n[02= in a wrong light] quan niệm sai, hiểu sai\n[02= the thing now appears in a new light] sự việc bây giờ biểu hiện ra dưới một trạng thái mới\n- sự soi sáng, sự làm sáng tỏ; (số nhiều) những sự kiện làm sáng tỏ, những phát minh làm sáng tỏ\n- (tôn giáo) ánh sáng của thượng đế\n- sinh khí, sự tinh anh; ánh (mắt) ; (thơ ca) sự nhìn\n- (số nhiều)(lóng) đôi mắt\n- cửa, lỗ sáng\n[02= men of light and leading] những người có uy tín và thế lực\n- (số nhiều) khả năng\n[02= according to one's lights] tuỳ theo khả năng của mình\n- (nghệ thuật) chỗ sáng (trong bức tranh)\n[01* ttừ]\n- sáng sủa, sáng\n- nhạt (màu sắc)\n[02= light blue] xanh nhạt\n[01* ngđtừ lit, lighted]\n- đốt, thắp, châm, nhóm\n[02= to light a fire] nhóm lửa\n- soi sáng, chiếu sáng\n- soi đường\n- ((thường) +[02up]) làm cho rạng lên, làm cho sáng ngời lên (nét mặt, khoé mắt)\n[02= the news of the victory lighted up their eyes] tin chiến thắng làm cho mắt họ ngời lên\n[01* nđtừ]\n- ((thường) +[02up]) đốt đèn, lên đèn, thắp đèn, châm lửa, nhóm lửa\n[02= it is time to light up] đã đến giờ lên đèn\n- thắp, đốt, bắt lửa, bén lửa\n[02= this lamp does not light well] cái đèn này khó thắp\n- ((thường) +[02up]) sáng ngời, tươi lên\n[02= face lights up] nét mặt tươi hẳn lên\n[04! to light into]\n- (Mỹ),(lóng) tấn công\n- mắng mỏ\n[04! to light out]\n- (Mỹ),(lóng) thình lình bỏ đi\n[01* nđtừ lit, lighted]\n- đỗ xuống, đậu (chim), xuống\n- (+[04 upon]) tình cờ rơi đúng vào, tình cờ gặp phải\n[01* ttừ]\n- nhẹ, nhẹ nhàng\n[02= as light as a feather] nhẹ như một cái lông\n[02= light food] đồ ăn nhẹ\n[02= light sleep] giấc ngủ nhẹ nhàng\n[02= a light sleeper] người tỉnh ngủ\n[02= a light task] công việc nhẹ\n[02= a light punishment] sự trừng phạt nhẹ\n[02= light wine] rượu vang nhẹ\n[02= light ship] tàu đã dỡ hàng\n[02= light marching order] lệnh hành quân mang nhẹ\n[02= light cavalry] kỵ binh vũ trang nhẹ\n- nhanh nhẹn\n[02= to be light of foot] bước đi nhanh nhẹn\n- nhẹ nhàng, thanh thoát, dịu dàng, thư thái\n[02= light touch] cái vuốt nhẹ nhàng\n[02= with a light hand] nhẹ tay; khôn khéo\n[02= with a light heart] lòng thư thái, lòng băn khoăn lo âu gì\n[02= light music] nhạc nhẹ\n[02= light comedy] kịch cui nhẹ nhàng\n- khinh suất, nông nổi, nhẹ dạ, bộp chộp; lăng nhăng; lẳng lơ, đĩ thoã\n[02= a light woman] người đàn bà lẳng lơ\n- tầm thường, không quan trọng\n[02= a light talk] chuyện tầm phào\n[02= to make light of] coi thường, coi rẻ, không chú ý đến, không quan tâm đến\n[04! to have light fingers]\n- có tài xoáy vặt\n[01* phtừ]\n- nhẹ, nhẹ nhàng\n[02= to tread light] giảm nhẹ\n[04! light come light go]\n- xem [03come]\n[04! to sleep light]\n- ngủ không say, ngủ dể tỉnh
light adaptation [01/'laitədæp'tei∫n/]	[01* dtừ]\n- quá trình mắt quen dần với ánh sáng gia tăng
light air [01/'lait,eə/]	[01* dtừ]\n- gió nhẹ (từ 1 đến 5 kilômet giờ) 
light ale [01/'lait,eil/]	[01* dtừ]\n- rượu bia màu nhạt đóng chai
light breeze [01/'lait,bri:z/]	[01* dtừ]\n- gió nhẹ (từ 6 đến 11 kilômet giờ) 
light bulb [01/'lait'bʌlb/]	[01* dtừ]\n- bóng đèn
light cell [01/'laitsel/]	[01* dtừ]\n- (lý) tế bào quang điện
light displacement [01/'laitdis'pleismənt/]	[01* dtừ]\n- (hàng hải) trọng lượng tàu (của tàu trừ trọng tải) 
light draft [01/'lait'drɑ:ft/]	[01* dtừ]\n- (hàng hải) mức chìm bản thân (tàu rỗng không có hàng và người) 
light engine [01/'lait'endʒin/]	[01* dtừ]\n- đầu máy không toa
light grey [01/,laitgrei/]	[01* ttừ] (ngựa) lông trắng tuyền, có điểm đen
light industry [01/'lait'indəstri/]	[01* dtừ]\n- công nghiệp nhẹ
light meter [01/'lait,mi:tə/]	[01* dtừ]\n- dụng cụ đo độ sáng phim ảnh
light opera [01/'lait'ɔpərə/]	[01* dtừ]\n- operetta (ôpêra hài hước lãng mạn) 
light pen [01/'lait'pen/]	[01* dtừ]\n- bút quang điện có khả năng giao tiếp với máy điện toán, đánh dấu trên màn hình hoặc đọc mẫu vạch
light proof [01/'lait,pru:f/]	[01* ttừ] chống lại ánh sáng, ánh sáng không thể thầm nhập
light tight [01/'lait,tait/]	[01* ttừ] xem [03light proof] 
light trap [01/'lait,træp/]	[01* dtừ]\n- cái dẫn người hoặc một vật vào (trong phòng tối) không phát ra ánh sáng; cái để bắt hoặc diệt sầu bọ (dùng ánh sáng hoặc tia tử ngoại) 
light-adapted	[01* ttừ]\n- thích nghi
light-brain [01/'laitbrein/]	[01* dtừ]\n- người đầu óc rỗng tuếch, người ngu dốt
lighten [01/'laitn/]	[01* ngđtừ]\n- chiếu sáng, rọi sáng, soi sáng\n[01* nđtừ]\n- sáng lên; sáng loé, chớp\n[01* ngđtừ]\n- làm nhẹ đi, làm nhẹ bớt\n- an ủi; làm cho đỡ đau đớn, làm cho bớt ưu phiền\n[01* nđtừ]\n- nhẹ đi\n- bớt đau đớn, bớt ưu phiền
lightening [01/'laitniη/]	[01* dtừ]\n- (y) sự sa bụng (thời kỳ sắp đẻ) 
lighter [01/'laitə/]	[01* dtừ]\n- người thắp đèn\n- cái bật lửa\n[01* dtừ]\n- sà lan; thuyền bốc dỡ hàng\n[01* ngđtừ]\n- chở hàng bằng xà lan
lighterage [01/'laitəridʒ/]	[01* dtừ]\n- sự chở hàng bằng sà lan\n- tiền chở hàng bằng sà lan, cước phí sà lan
