framing error	189-10864-B
frequency modulated magnetron	190-15149-B
frequency modulation	190-15233-B,18-570-S,198-14229-S
frequency modulator	190-15339-B
frequency monitor	190-15399-B
frequency multiplier	190-15453-B
frequency multiplier klystron	190-15505-B
frequency pulling	190-15576-B
frequency pushing	190-15619-B
frequency regulator	190-15664-B
frequency response characteristic	190-16722-B,18-1112-S
frequency response curve	190-15709-B
frequency response equalization	190-15768-B
frequency sampling system	190-15849-B
frequency scanner	190-15920-B
frequency selectivity	190-15969-B
frequency sensitive load	190-16030-B
frequency separator	190-16084-B
frequency shift	190-16141-B
frequency shift keying	190-16193-B
frequency spectrum	190-16244-B
frequency stability	190-16289-B
frequency standard	33-12219-S
frequency swing	190-16348-B
frequency synthesizer	190-16396-B
frequency to number converter	190-16804-B
frequency transformer	34-7805-S
frequency translation	190-16456-B
frequency tripler	190-16514-B
frequency wave	34-8886-S
frequent	190-16869-B
frequentable	190-17163-B
frequentation	190-17237-B
frequentative	190-17364-B
frequenter	190-17460-B
frequently	190-17586-B
frequently asked questions	172-872-S
frequentness	190-17650-B
fresco	190-17721-B
fresco painter	190-17985-B
fresco secco	190-18056-B
frescoer	190-17878-B
frescoes	190-17945-B
fresh	190-18137-B
fresh blown	190-19431-B
fresh coloured	190-19498-B
fresh comer	190-19586-B
freshen	190-19637-B
freshener	190-20009-B
fresher	190-20074-B
freshet	190-20180-B
freshly	190-20302-B
freshman	190-20578-B
freshness	190-20960-B
freshrun	190-21150-B
freshwater	190-21229-B
fresnel	190-21641-B
fresnel diffraction	190-21715-B
fresno	190-21765-B
fret	190-21830-B
fret saw	190-22986-B
fretful	190-22724-B
fretfully	190-22829-B
fretfulness	190-22896-B
frettage	190-23046-B
fretted	190-23104-B
fretter	510-18977-S
fretwork	191-0-B
freudian	191-147-B
freudianism	191-273-B
fri	191-343-B
friability	191-385-B
friable	191-438-B
friableness	191-494-B
friar	191-569-B,50-10436-S,208-7937-S
friar s lantern	191-742-B
friarly	191-654-B
friars	109-2164-S
friary	191-807-B
fribble	191-919-B
fricandeau	191-1109-B
fricandeaux	191-1258-B
fricassee	191-1405-B
fricative	191-1552-B
friction	191-1658-B,23-9031-S,275-20261-S
friction ball	191-1955-B
friction band	191-2032-B
friction bearing	191-2113-B
friction brake	191-2211-B
friction clutch	191-2283-B
friction cone	191-2369-B
friction disk	191-2438-B
friction drive	191-2508-B
friction gearing	191-2591-B
friction proof	191-2758-B
frictional	191-1836-B
frictional electricity	191-1907-B
frictionless	191-2685-B
friday	191-2825-B,201-4737-S,204-16881-S,280-24891-S
fridge	191-2878-B
fridge freezer	191-2912-B
friend	191-2986-B,55-20152-S,55-20206-S,56-21212-S,201-4834-S,297-2417-S,334-15798-S,334-24894-S
friendless	191-3521-B
friendlessness	191-3580-B
friendliness	191-3660-B,504-22397-S
friendly	191-3763-B,504-22440-S
friendly society	191-4289-B
friendship	191-4337-B
frier	191-4413-B
frieze	191-4448-B
frig	191-4551-B
frigate	191-4639-B
frigate bird	191-4819-B
frige	191-4876-B
frigging	191-4909-B
fright	191-4950-B,439-18951-S
frighten	191-5170-B
frightened	191-5518-B
frightening	191-5588-B
frightful	191-5637-B
frightfully	191-5766-B
frightfulness	191-5815-B
frightfuly	191-5943-B
frigid	191-6086-B
frigidaire	191-6307-B
frigidarium	191-6372-B
frigidity	191-6504-B
frigidly	191-6708-B
frigorific	191-6789-B
frill	191-6890-B
frill lizard	191-7391-B
frilled	191-7517-B
frillery	191-7622-B
frillies	191-7704-B
frilling	191-7776-B
frilly	191-7890-B
frimaire	191-8020-B
fringe	191-8141-B,170-536-S
fringe antenna	191-8444-B
fringe area	191-8482-B
fringe benefit	191-8623-B
fringe effect	191-8519-B
fringe radiation	191-8580-B
fringeless	191-8714-B
fringing	191-8773-B,87-16115-S
fringy	191-8859-B
frippery	191-8917-B
frisbee	191-9113-B
frisco	191-9193-B
frise	76-1623-S
frisette	191-9275-B
friseur	191-9336-B
frisk	191-9392-B
frisker	191-9640-B
frisket	191-9699-B
friskily	191-9797-B
friskiness	191-9854-B
frisky	191-9940-B
frisson	191-10007-B
frit	191-10075-B
frit fly	191-10208-B
frith	191-10294-B
fritillary	191-10327-B
fritter	191-10454-B,26-18512-S
fritto mixto	191-10715-B
fritz	191-10799-B
frivol	191-10934-B
frivolity	191-11092-B
frivolness	191-11267-B
frivolous	191-11315-B
frivolously	191-11447-B
friz	191-11519-B
frizz	191-11700-B
frizzle	191-12017-B
frizzly	191-12195-B
frizzy	191-12233-B
fro	191-12307-B,470-19254-S
frock	191-12369-B,84-13727-S,426-13858-S
frock coat	191-12601-B
froe	191-12681-B
froebelism	191-12729-B
frof spawn	191-12859-B
frog	191-12972-B,266-14388-S,421-14780-S
frog fish	191-13320-B
frog in the throat	191-13831-B
frog march	191-14062-B
frog s march	191-14191-B
frog spawn	191-14333-B
frogbit	191-13251-B
frogged	191-13394-B
froggery	191-13471-B
frogging	191-13529-B
froggy	191-13595-B
froghopper	191-13698-B
frogling	191-13929-B
frogman	191-14007-B
frogskin	191-14116-B
frogsuit	191-14440-B
froid	400-5410-S
frolic	191-14521-B
frolickness	191-14741-B
frolicky	191-14824-B
frolicsome	191-14897-B
frolicsomeness	191-14945-B
from	191-15035-B,460-34283-S
frond	191-16270-B
frondage	191-16388-B
frondescence	191-16489-B
frondiferous	191-16585-B
frondose	191-16662-B
frons	191-16755-B
front	191-16811-B,86-13845-S,140-37460-S,223-23393-S,313-13486-S,353-16505-S,406-19029-S,417-11760-S,515-30860-S
front bench	191-18394-B,191-20018-B
front bencher	191-20188-B
front box	191-20379-B
front court	191-20469-B
front door	191-20530-B
front end	191-18570-B,191-20700-B
front end computer	191-20900-B
front end interface	191-20963-B
front end processing	191-21020-B
front end processor	191-21077-B
front end system	191-21217-B
front gate	191-21296-B
front line	191-18631-B
front man	191-22108-B
front money	191-19049-B
front of house	191-22251-B
front page	191-19129-B,191-22784-B
front pager	191-23040-B
front panel	191-19394-B
front runner	191-23114-B
front view	191-23204-B
frontage	191-19437-B
frontal	191-19663-B
frontality	191-19926-B
fronted	191-20598-B
frontier	191-21375-B
frontiersman	191-21542-B
frontispiece	191-21629-B
frontless	191-21843-B
frontlet	191-21982-B
frontogenesis	191-22347-B
frontolysis	191-22440-B
frontomalar	191-22521-B
fronton	191-22593-B
frontonasal	191-22662-B
