adjudgement [01/ə'dʒʌdʒmənt/]	như [03adjudgment]
ad-lib [01/æd'lib/]	[01* nđtừ]\n- (tục) ứng khẩu, cương\n[01* ngđtừ]\n- (Mỹ),(lóng) nói thêm, cương thêm (lời không có trong bản kịch) ; hát thêm, chơi thêm (nhạc không có trong bản nhạc) 
ad-libber	- xem [03ad-lib] 
adm	- (viết tắt của [03admiral] ) đô đốc
adman [01/'ædmæn/]	[01* dtừ]\n- (Mỹ) người chuyên viết quảng cáo, người chuyên vẽ quảng cáo, người làm nghề quảng cáo (hàng...) 
admass [01/'ædməs/]	[01* dtừ]\n- quần chúng dễ bị thủ đoạn quảng cáo ảnh hưởng
admeasure [01/æd'meʒə/]	[01* ngđtừ]\n- quy định từng phần; chia phần ra
admeasurement [01/æd'meʒəmənt/]	[01* dtừ]\n- sự quy định từng phần, sự chia phần
admeasurer	- xem [03admeasure] 
adminiculum [01/ædmi'nikjuləm/]	[01* dtừ]\n- (động vật) gai vận động
administer [01/əd'ministə/]	[01* ngđtừ]\n- trông nom, quản lý; cai quản, cai trị\n[02= to administer the affairs of the state] quản lý công việc nhà nước\n- thi hành, thực hiện\n[02= to administer justice] thi hành công lý\n- làm lễ (tuyên thệ) cho (ai) tuyên thệ\n[02= to administer an oath to someone no end of remedies] cho ai uống đủ mọi thứ thuốc\n- đánh, giáng cho (đòn...)\n[02= to administer a blow] giáng cho một đòn\n- phân tán, phân phối\n[02= to administer relief among the poor] phân phát cứu tế cho người nghèo\n- cung cấp cho, cấp cho, cho (ai cái gì)\n[01* nđtừ]\n- trông nom, quản lý; cai quản, cai trị\n- cung cấp, góp phần vào\n[02= to administer to someone's comfort] góp phần trợ cấp làm cho cuộc sống của ai được an nhàn
administrable	như [03administrant]
administrant	- xem [03administer] 
administrate [01/əd'ministreit/]	[01* ngđtừ]\n- (Mỹ) trông nom, quản lý; cai quản, cai trị
administration [01/əd,minis'trei∫n/]	[01* dtừ]\n- sự trông nom, sự quản lý; sự cai quản, sự cai trị\n- chính phủ, chính quyền\n- sự thi hành; việc áp dụng\n[02= the administration of justice] sự thi hành công lý\n- sự cho uống (thuốc)\n[02= the administration if remedies] sự cho uống thuốc\n- sự làm lễ (tuyên thệ) ; sự cho ai (tuyên thệ)\n[02= administration of the oath] sự làm lễ tuyên thệ\n- sự phân phối, sự phân phát (của cứu tế...)\n- (pháp lý) sự quản lý tài sản (của vị thành niên hoặc người đã chết) 
administration information display	- (kỹ) bộ hiển thị tin tức quản lý
administration manager	- (kỹ) quản trị viên hành chính
administration mode	- (kỹ) chế độ quản lý
administration process	- (kỹ) quy trình quản lý
administration program	- (kỹ) chương trình quản lý
administrative [01/əd'ministrətiv/]	[01* ttừ]\n- (thuộc) hành chính, (thuộc) quản trị\n- (thuộc) chính quyền, (thuộc) nhà nước\n[02= administrative affairs] công việc nhà nước, công việc quản lý\n[02= administrative power] chính quyền
administrative information	- (kỹ) tin tức quản lý
administrative service	- (kỹ) dịch vụ quản lý
administratively [01/əd'ministrətivli/]	[01* phtừ]\n- về mặt hành chính
administrator [01/əd'ministreitə/]	[01* dtừ]\n- người quản lý\n- người cầm quyền hành chính, người cầm quyền cai trị\n- (pháp lý) người quản lý tài sản (cho vị thành niên hoặc người đã chết) 
administratorship [01/əd'ministreitə∫ip/]	[01* dtừ]\n- chức vụ quản lý\n- chức vụ người cầm quyền cai trị\n- (pháp lý) chức vụ quản lý tài sản (cho vị thành niên hoặc người đã chết) 
administratrices [01/əd'ministreitriks/]	như [03administratrix]
administratrix [01/əd'ministreitriks/]	[01* dtừ] s/n [03administratrices] /əd'ministreitrisi:z/\n- bà quản lý\n- người đàn bà cầm quyền hành chính, người đàn bà cầm quyền cai trị\n- bà quản lý tài sản (cho vị thành niên hoặc người đã chết) 
admirability [01/,ædmərə'biliti/]	như [03admirableness]
admirable [01/'ædmərəbl/]	[01* ttừ]\n- đáng phục, đáng khâm phục, đáng ca tụng; đáng hâm mộ, đáng ngưỡng mộ\n[02= an admirable spirit] tinh thần đáng phục\n- tuyệt diệu, tuyệt vời\n[02= admirable achievements] những thành tích tuyệt vời\n[02= Admiraable Crichton] người lắm tài
admirableness [01/'ædmərəblnis/]	[01* dtừ]\n- tính đáng phục, tính đáng khâm phục, tính đáng ca tụng; tính đáng hâm mộ, tính ngưỡng mộ\n- tính tuyệt diệu, tính tuyệt vời
admirably [01/'ædmərəbli/]	[01* phtừ]\n- đáng phục, đáng ngưỡng mộ
admiral [01/'ædmərəl/]	[01* dtừ]\n- đô đốc\n[02= admiral of the fleet] thượng tướng hải quân\n[02= vice admiral] trung tướng hải quân\n[02= rear admiral] thiếu tướng hải quân\n- người chỉ huy hạm đội\n- người chỉ huy đoàn tàu đánh cá\n- tàu rồng, kỳ hạm (tàu chở thuỷ sư đô đốc)\n- (động vật) bướm giáp
admiral of the fleet	[01* dtừ]\n- tổng tư lệnh hải quân
admiralship [01/'ædmərəl∫ip/]	[01* dtừ]\n- chức đô đốc
admiralty [01/'ædmərəlti/]	[01* dtừ]\n- (Anh) bộ hải quân\n[02= first Lord of the Admiralty] bộ trưởng bộ hải quân\n- chức đô đốc\n- chủ quyền trên mặt biển
admiration [01/,ædmə'rei∫n/]	[01* dtừ]\n- sự ngắm nhìn một cách vui thích\n- sự khâm phục, sự thán phục, sự cảm phục, sự hâm mộ, sự ngưỡng mộ; sự ca tụng\n- người được khâm phục, người được hâm mộ, người được ca tụng; vật được hâm mô, vật được ca tụng\n- (ngôn) sự cảm thán\n[02= note of admiration] dấu than\n- (cổ) sự lấy làm lạ; sự ngạc nhiên
admire [01/əd'maiə/]	[01* ngđtừ]\n- ngắm nhìn một cách vui thích\n- khâm phục, ((tục)) thán phục, cảm phục; hâm mộ, ngưỡng mộ; khen ngợi, ca tụng\n[02= I forgot to admire her baby] tôi quên không khen cháu bé con bà ta\n- say mê, mê\n[02= to admire a woman] mê một người đàn bà\n- (cổ) lấy làm lạ, lấy làm ngạc nhiên\n- (Mỹ),(tục) ao ước, khao khát (làm gì)\n[02= I should admire to know] tôi khao khát được biết
admirer [01/əd'maiərə/]	[01* dtừ]\n- người khâm phục, người cảm phục, người thán phục; người hâm mộ, người ngưỡng mộ; người ca tụng\n- người say mê (một người đàn bà) 
admiring [01/əd'maiəriη/]	[01* ttừ]\n- khâm phục, cảm phục, thán phục; ngưỡng mộ
admiringly [01/əd'maiəriηli/]	[01* phtừ]\n- khâm phục, thán phục, ngưỡng mộ
admissibility [01/əd,misi'biliti/]	[01* dtừ]\n- tính có thể chấp nhận được, tính có thể thừa nhận được\n- tính có thể nhận; tính có thể thu nạp; tính có thể kết nạp
admissible [01/əd'misəbl/]	[01* ttừ]\n- có thể chấp nhận, có thể thừa nhận\n- có thể nhận, có thể thu nạp (vào chức vụ gì...) ; có thể kết nạp
admissible function	- (kỹ) hàm số chấp nhận được (NB) 
admissible hypothesis	- (kỹ) giả thuyết chấp nhận được
admissibleness	- xem [03admissible] 
admissibly	như [03admissibleness]
admission [01/əd'mi∫n/]	[01* dtừ]\n- sự nhận vào, sự thu nạp vào; sự kết nạp\n[02= to get admission to the Academy] được nhận vào viện hàn lâm\n- sự cho vào cửa, sự cho vào\n[02= free admission] vào cửa không mất tiền\n[02= admission by ticket] vào cửa phải có vé\n- tiền vào cửa, tiền nhập học\n- sự nhận, sự thú nhận\n[02= to make full admission s] thú nhận hết\n- (định ngữ)(kỹ) nạp\n[02= admission valve] van nạp
admissive	- xem [03admission] 
admit [01/əd'mit/]	[01* ngđtừ]\n- nhận vào, cho vào; kết nạp (vào nơi nào, tổ chức nào...) ; cho hưởng (quyền lợi...)\n- chứa được, nhận được, có đủ chỗ cho\n[02= this hall can admit 200 persons] phòng này có thể chứa 200 người\n- nhận, thừa nhận; thú nhận\n- (kỹ) nạp\n[01* nđtừ]\n- (+ [04of]) có chỗ cho, có\n[02= this wood admits of no other meaning] từ này không có nghĩa nào khác\n- nhận, thừa nhận\n[02= this, I admit, was wrong] tôi thừa nhận điều đó là sai
admittable [01/əd'mitəbl/]	[01* ttừ]\n- có thể để cho vào (nơi nào) 
admittance [01/əd'mitəns/]	[01* dtừ]\n- sự cho vào, sự để cho vào; sự nhận vào; sự thu nạp\n[02= no admittance except on business] không có việc xin miễn vào\n[02= to get (gain) admittance to...] được thu nhận vào...; được thu nạp vào...\n- lối đi vào\n- (lý) sự dẫn nạp; độ dẫn nạp
admitted [01/əd'mitid/]	[01* ttừ]\n- tự nhận\n[02= an admitted liar] người tự nhận mình là kẻ nói dối
admittedly [01/əd'mitidli/]	[01* phtừ]\n- phải nhận, phải thừa nhận, phải thú nhận\n[02= it's admittedly a thorny question] đó là một vấn đề ai cũng phải thừa nhận là hắc búa
admix [01/əd'miks/]	[01* ngđtừ]\n- trộn lẫn, hỗn hợp
admixture [01/əd'mikst∫ə/]	[01* dtừ]\n- sự trộn lẫn, sự hỗn hợp\n- vật lộn
admonish [01/əd'mɔni∫/]	[01* ngđtừ]\n- khiển trách, quở mắng, la rầy\n- răn bảo, khuyên răn, khuyên nhủ; động viên\n[02= to admonish someone's to be move careful] khuyên răn ai nên thận trọng hơn\n- (+ [04of]) cảnh cáo; báo cho biết trước\n[02= to admonish someone's of the danger] báo cho ai biết trước mối nguy hiểm\n- (+ [04of]) nhắc, nhắc nhở\n[02= to admonish somebody of his promise] nhắc ai nhớ lại lời hứa
admonisher	như [03admonishingly]
admonishingly	- xem [03admonish] 
admonishment [01/əd'mɔni∫mənt/]	như [03admonition]
admonition [01/,ædmə'ni∫n/]	[01* dtừ]\n- sự khiển trách, sự quở mắng, sự la rầy\n- sự răn bảo lời khuyên răn, lời khuyên nhủ, lời động viên\n- sự cảnh cáo, lời cảnh cáo\n- sự nhắc nhở, lời nhắc nhở
admonitory [01/əd'mɔnitəri/]	[01* ttừ]\n- khiển trách, quở mắng, la rầy\n- răn bảo, khuyên răn, khuyên nhủ; động viên\n- cảnh cáo\n[02= admonitory words] những lời cảnh cáo\n- nhắc nhở
adnate [01/'ædneit/]	[01* ttừ]\n- (sinh vật) hợp sinh
adnation	- xem [03adnate] 
adnexa [01/,æ'neksə/]	[01* dtừ s/n]\n- cấu trúc ngoại phôi; màng phụ
adnexed [01/æ'nekst/]	[01* ttừ]\n- (sinh học) đính thân
adnominal	- xem [03adnoun] 
adnoun [01/'ædnaun/]	[01* dtừ]\n- (ngôn) ttừ, danh ttừ
ado [01/ə'du:/]	[01* dtừ]\n- việc làm, công việc\n- sự khó nhọc, sự khó khăn, công sức\n[02= with much ado] mất nhiều công sức, phải khó nhọc lắm\n[02= to have much ado to get through the work] phải khó nhọc lắm mới làm xong việc\n- sự rối rít, sự hối hả ngược xuôi\n[02= much ado about nothing] chẳng có chuyện gì cũng làm rối lên\n[02= without more (further) ado] không vẽ vời nữa
adobe [01/ə'doubi/]	[01* dtừ]\n- gạch sống (phơi nắng, không nung) 
adolescaria [01/æ'douleskriə/]	[01* dtừ]\n- [01* đtừ] ấu trùng kết kén
adolescence [01/,ædou'lesns/]	như [03adolescency]
adolescency [01/,ædou'lesnsi/]	[01* dtừ]\n- thời thanh niên
adolescent [01/,ædou'lesnt/]	[01* ttừ]\n- đang tuổi thanh niên, trẻ\n[02= adolescent river] sông trẻ\n[01* dtừ]\n- người thanh niên
adonis [01/ə'dounis/]	[01* dtừ]\n- (thần thoại) A-đô-nít (người yêu của thần Vệ nữ)\n- người thanh niên đẹp trai\n- (thực vật) cỏ phúc thọ\n- (động vật) bướm ađônít
adonize [01/'ædənaiz/]	[01* nđtừ]\n- làm dáng, làm ra vẻ người đẹp trai ((cũng) [03to adonize oneself] ) 
adopt [01/ə'dɔpt/]	[01* ngđtừ]\n- nhận làm con nuôi; nhận làm bố mẹ nuôi\n[02= an adopted child] đứa con nuôi\n[02= he adopted the old man as his father] anh ấy nhận ông cụ làm bố nuôi\n- theo, làm theo\n[02= to a adopt new method of teaching] theo phương pháp giảng dạy mới\n- chọn (nghề, người cho một chức vị)\n- (Mỹ) chấp nhận và thực hiện\n[02= to adopt a proposal] chấp nhận và thực hiện một đề nghị
adoptability [01/ə,dɔptə'biliti/]	[01* dtừ]\n- tính có thể nhận làm con nuôi; tính có thể nhận làm bố mẹ nuôi\n- tính có thể theo được, tính có, thể làm theo\n- tính có thể chọn được\n- (Mỹ) tính có thể chấp nhận và thực hiện
adoptable [01/ə'dɔptəbl/]	[01* ttừ]\n- có thể nhận làm con nuôi; có thể nhận làm bố mẹ nuôi\n- có thể theo được, có thể làm theo\n- có thể chọn được\n- (Mỹ) có thể chấp nhận và thực hiện
adoptee [01/,ædɔp'ti:/]	[01* dtừ]\n- con nuôi
adopter [01/ə'dɔptə/]	[01* dtừ]\n- người nhận nuôi
adoption [01/ə'dɔp∫n/]	[01* dtừ]\n- sự nhận làm con nuôi; sự nhận làm bố mẹ nuôi\n- sự theo, sự làm theo (phương pháp...)\n- sự chọn (nghề, người cho một chức vị)\n- (Mỹ) sự chấp nhận và thực hiện (lời đề nghị...) 
adoptionism [01/ə'dɔp∫nizm/]	- xem [03adoptianism]\n[01* dtừ]\n- họ thuyết nhận Giê-xu là con của chúa
adoptive [01/ə'dɔptiv/]	[01* ttừ]\n- nuôi; nhận nuôi\n[02= adoptive son] con trai nuôi\n[02= adoptive father] bố nuôi
adoptively	- xem [03adoptive] 
adorability [01/ə,dɔ:rə'biliti/]	như [03adorableness]
adorable [01/ə'dɔ:rəbl/]	[01* ttừ]\n- đáng kính yêu, đáng quý mến, đáng yêu\n- (thơ ca) đáng tôn sùng, đáng sùng bái, đáng tôn thờ
adorableness [01/ə'dɔ:rəblnis/]	[01* dtừ]\n- tính đáng yêu, tính đáng quý mến, tính đáng yêu, tính đáng quý mến\n- (thơ ca) tính đáng tôn sùng, tính đáng sùng bái, tính đáng tôn thờ
adorably [01/ə'dɔ:rəbli/]	[01* phtừ]\n- đáng mến, đáng yêu
adoration [01/,ædɔ:'rei∫n/]	[01* dtừ]\n- sự kính yêu, sự quý mến\n- sự mê thích, sự hết sức yêu chuộng, sự yêu thiết tha\n- (thơ ca) sự tôn sùng, sự sùng bái, sự tôn thờ
adore [01/ə'dɔ:/]	[01* ngđtừ]\n- kính yêu, quý mến\n- mê, thích, hết sức yêu chuộng, yêu thiết tha\n- (thơ ca) tôn sùng, sùng bái, tôn thờ
adorer [01/ə'dɔ:rə/]	[01* dtừ]\n- người hâm mộ, người yêu chuộng, người yêu\n- (thơ ca) người tôn sùng, người sùng bái, người tôn thờ
adoring [01/ə'dɔ:riη/]	[01* ttừ]\n- tha thiết
adoringly [01/ə'dɔ:riηli/]	[01* phtừ]\n- tha thiết, trìu mến
adorn [01/ə'dɔ:n/]	[01* ngđtừ]\n- tô điểm, trang điểm; trang trí, trang hoàng\n[02= to adorn oneself with jewels] trang điểm bằng châu ngọc\n[02= to adorn a room with flowers] trang trí căn buồng bằng hoa
adorner	- xem [03adorn] 
adornment [01/ə'dɔ:nmənt/]	[01* dtừ]\n- sự tô điểm, sự trang trí, sự trang hoàng\n- đồ trang điểm; đồ trang trí\n[02= personal adornments] đồ tư trang
adown [01/ə'daun/]	[01* gtừ & phtừ]\n- (cổ) ; (thơ ca) ở dưới, xuống, xuống dưới
adp [01/,eidi: pi/]	[01* (vt)]\n- truy cập dữ liệu tự động (automatic data proccessing) 
adpcm	- Trong đa phương tiện, đây là một phương pháp nén tín hiệu xoay chiều theo kỹ thuật số, trong đó sự khác nhau giữa các mẫu lấy liên tiếp được mã hoá khác với các giá trị thực của chúng
adpressed [01/æd'prest/]	[01* ttừ]\n- (thực vật) ôm sát; áp sát; bò sát
adrectal [01/æd'rektəl/]	[01* ttừ]\n- (phẫu) gần ruột thẳng; bên ruột thẳng; liền ruột thẳng
adrenal [01/əd'ri:nəl/]	[01* ttừ]\n- (phẫu) trên thận, thượng thận\n[01* dtừ]\n- (phẫu) tuyến trên thận, tuyến thượng thận
adrenal gland	- (phẫu) tuyến thượng thận
adrenalectomy [01/ədrinə'lektəmi/]	[01* dtừ]\n- (phẫu) việc cắt tuyến trên thận
adrenalin [01/ə'drenəlin/]	[01* dtừ]\n- (y) Adrenalin
adrenally	- xem [03adrenal] 
adrenocorticotrophic [01/ədri:nou,kɔ:tikou'trɔfik/]	- kích thích thượng thận
adrift [01/ə'drift/]	[01* ttừ]\n- lênh đênh trôi giạt, phiêu bạt (đen & bóng)\n- (hàng hải) không buộc\n[01* phtừ]\n- lênh đênh, trôi giạt, phiêu bạt (đen & bóng)\n[02= to set adrift] thả cho trôi lênh đênh\n[02= to turn someone adrift] đuổi ai ra khỏi nhà sống lang bạt\n[02= to go adrift] trôi lênh đênh
adroit [01/ə'drɔit/]	[01* ttừ]\n- khéo léo, khéo tay
adroitly [01/ə'drɔitli/]	[01* phtừ]\n- khéo léo
adroitness [01/ə'drɔitnis/]	[01* dtừ]\n- sự khéo léo, sự khéo tay
adromia [01/ə'droumiə/]	[01* dtừ]\n- sự mất kích thích
adscititious [01/,ædsi'ti∫əs/]	[01* ttừ]\n- phụ vào, thêm vào, bổ sung
adsl	- mạng thuê bao số không đồng bộ
adsorb [01/æd'sɔ:b/]	[01* ngđtừ]\n- (hoá) hút bám
adsorbable	- xem [03adsorb] 
adsorbate [01/æd'sɔ:bit/]	[01* dtừ]\n- (hoá) chất bị hút bám
adsorbent [01/æd'sɔ:bənt/]	[01* ttừ]\n- (hoá) hút bám
adsorber [01/æd'sɔ:bə/]	[01* dtừ]\n- (hoá) máy hút bám
adsorption [01/æd'sɔ:p∫n/]	[01* dtừ]\n- (hoá) sự hút bám
adsorptive	- xem [03adsorption] 
adt [01/,ei di: 'ti:/]	[01* (vt)]\n- thời gian ban ngày ở Đại Tây Dương (Atlantic Daylight Time) 
adularia [01/,ædju:'leəriə/]	[01* dtừ]\n- (khoáng) trong suốt
adulate [01/'ædjuleit/]	[01* ngđtừ]\n- nịnh hót, nịnh nọt, bợ đỡ
adulation [01/,ædju'lei∫n/]	[01* dtừ]\n- sự nịnh hót, sự nịnh nọt, sự bợ đỡ
adulator [01/'ædjuleitə/]	[01* dtừ]\n- kẻ nịnh hót, kẻ nịnh nọt, kẻ bợ đỡ
adulatory [01/'ædjuleitəri/]	[01* ttừ]\n- nịnh hót, nịnh nọt, bợ đỡ
adult [01/'ædʌlt, ə'dʌlt/]	[01* dtừ]\n- người lớn, người đã trưởng thành\n[01* ttừ]\n- trưởng thành
adulterant [01/ə'dʌltərənt/]	[01* ttừ]\n- để làm giả\n[01* dtừ]\n- chất để làm giả
adulterate [01/ə'dʌltərit/]	[01* ttừ]\n- có pha (rượu)\n- giả, giả mạo (vật)\n- ngoại tình, thông dâm\n[01* ngđtừ]\n- pha, pha trộn\n[02= to adulterate milk with water] pha sữa với nước\n- àm giả mạo
adulteration [01/ə,dʌltə'rei∫n/]	[01* dtừ]\n- sự pha, sự pha trộn\n- vật bị pha trộn\n- sự làm giả, sự giả mạo (tiền...) 
adulterator	- xem [03adulterate] 
adulterer [01/ə'dʌltərə/]	[01* dtừ]\n- người đàn ông ngoại tình, người đàn ông thông dâm
adulteress [01/ə'dʌltəris/]	[01* dtừ]\n- người đàn bà ngoại tình, người đàn bà thông dâm
adulterine [01/ə'dʌltərain/]	[01* ttừ]\n- do ngoại tình mà đẻ ra\n[02= adulterine child] đứa con ngoại tình\n- giả mạo, giả\n- bất chính, không hợp pháp
adulterous [01/ə'dʌltərəs/]	[01* ttừ]\n- ngoại tình, thông dâm
adulterously	- xem [03adulterous] 
adultery [01/ə'dʌltəri/]	[01* dtừ]\n- tội ngoại tình, tội thông dâm
adulthood [01/ə'dʌlthud/]	[01* dtừ]\n- tuổi khôn lớn, tuổi trưởng thành
adultlike [01/ə'dʌltlaik/]	[01* ttừ]\n- có vẻ trưởng thành
adultness	- xem [03adult] 
adultoid [01/ə'dʌltɔid/]	[01* dtừ]\n- dạng trưởng thành
adumbral [01/ə'dʌmbrəl/]	[01* ttừ]\n- nhiều bóng râm
adumbrate [01/'ædʌmbreit/]	[01* ngđtừ]\n- phác hoạ\n- cho biết lờ mờ\n- làm cho biết trước, báo trước bằng điềm\n- che tối, làm cho mờ tối, toả bóng xuống
adumbration [01/,ædʌm'brei∫n/]	[01* dtừ]\n- sự phác hoạ, bản phác hoạ\n- sự cho biết, lờ mờ; hình ảnh lờ mờ\n- sự báo trước, điềm báo trước\n- sự che chở, sự toả bóng, bóng tối, bóng râm
adumbrative	- xem [03adumbrate] 
adumbratively	như [03adumbrative]
aduncate [01/əd'ʌnkeit/]	- Cách viết khác : [03aduncous]
adust [01/ə'dʌst/]	[01* ttừ]\n- cháy khô, khô nứt ra (vì ánh mặt trời...)\n- buồn bã, u sầu, rầu rĩ (tính tình) 
advance [01/əd'vɑ:ns/]	[01* dtừ]\n- sự tiến lên, sự tiến tới, sự tiến bộ\n- sự đề bạt, sự thăng, chức\n- sự tăng giá\n- tiền đặt trước, tiền trả trước\n- tiền cho vay\n- sự theo đuổi, sự làm thân\n- (điện học) sự sớm pha\n[04! advance copy]\n- bản (sách, tài liệu, ...) đưa (cho tác giả...) trước khi xuất bản\n[04! in advance]\n- trước, sớm\n[02= to pay in advance] trả tiền trước\n[04! in advance of]\n- trước, đi trước\n[02= Marx's ideas ưere in advance of his age] những tư tưởng của Mác đã đi trước thời đại của người\n[01* ngđtừ]\n- đưa lên, đưa ra phía trước\n- đề xuất, đưa ra\n[02= to advance an opinion] đưa ra một ý kiến\n- đề bạt, thăng chức (cho ai)\n- làm cho tiến bộ, làm tiến mau (khoa học...)\n- thúc đẩy (sự việc...)\n- tăng, tăng lên\n[02= to advance a price] tăng giá\n- trả trước, đặt trước\n[02= to advance a money] đặt tiền trước\n- cho vay (tiền)\n[01* nđtừ]\n- tiến lên, tiến tới, tiến bộ\n[02= to advance in one's studies] tiến bộ trong học tập\n[02= to advance in the world] đang lên, đang tiến bộ\n- tăng, tăng lên\n[02= to advance in price] giá tăng lên
advanced [01/əd'vɑ:nst/]	[01* ttừ]\n- tiên tiến, tiến bộ, cấp tiến\n[02= an advanced method of production] phương pháp sản xuất tiên tiến\n[02= advanced ideas] tư tưởng tiến bộ\n- cao, cấp cao\n[02= to be advanced in years] đã cao tuổi\n[02= advanced mathematics] toán cấp cao\n[02= advanced students] học sinh đại học ở các lớp cao
advanced credit [01/əd'vɑ:nst'kredit/]	[01* dtừ]\n- chi phí của nhà trường ứng cho sinh viên đi nghe giảng ở trường khác
advanced function	- (kỹ) hàm số cấp cao
advanced ignition	- (kỹ) mồi sớm
advanced level	[01* dtừ]\n-(cũng) [03A level]\n- (ở Anh) cấp cao hơn trong các kỳ thi lấy chứng chỉ Giáo dục phổ thông
advanced programming	- (kỹ) thảo chương cấp cao, lập trình cấp cao
Advanced Research Project Agency Network (ARPANET)	- (kỹ) Mạng Cục Kế Hoạch Nghiên Cứu Cấp Cao (Hoa Kỳ), Apanét
advanced technology (AT)	- (kỹ) kỹ thuật tiên tiến, kỹ thuật tiến bộ
advance-guard [01/əd'vɑ:nsɑ:d/]	[01* dtừ]\n- (qsự) quân tiền phong
advancement [01/əd'vɑ:nsmənt/]	[01* dtừ]\n- sự tiến lên, sự tiến tới, sự tiến bộ; sự thúc đẩy, sự làm cho tiến lên\n[02= advancement of science] sự tiến bộ của khoa học; sự thúc đẩy cho khoa học tiến lên\n[02= advancement in career] tiến bộ trong nghề nghiệp\n- sự thăng chức, đề bạt\n- (pháp lý) tiền (người kế thừa được) nhận trước
advancer	- xem [03advance] 
advance-trenches [01/əd'va:ns,tren∫i:z/]	[01* dtừ]\n- chiến hào tiền tiêu
