inefficacy	240-22884-B
infinitize	242-3221-B
infinitude	242-3322-B
infinitum	7-2345-S
infinity	242-3490-B,232-22137-S
infirm	242-3627-B
infirmarian	242-3775-B
infirmary	242-3854-B
infirmity	242-3939-B
infirmly	242-4163-B
infirmness	242-4190-B
infix	242-4238-B
inflamable	410-6792-S
inflamation	450-596-S
inflame	242-4413-B
inflamed	242-4690-B
inflamer	242-5083-B
inflammability	242-5111-B
inflammable	242-5175-B,305-5019-S
inflammableness	242-5294-B
inflammably	242-5398-B
inflammation	242-5433-B
inflammatorily	242-5581-B
inflammatory	242-5620-B,23-12269-S
inflatable	242-5753-B
inflate	242-5847-B
inflated	242-6133-B
inflater	242-6328-B
inflation	242-6356-B
inflationary	242-6565-B
inflationary spiral	242-6655-B
inflationism	242-6755-B
inflationist	242-6831-B
inflator	242-6921-B,483-314-S
inflect	242-7022-B
inflected	242-7152-B
inflection	242-7242-B,350-10474-S
inflection point	242-7290-B
inflectional	242-7369-B
inflectionally	242-7424-B
inflectionless	242-7461-B
inflective	242-7651-B
inflector	242-7715-B
inflexed	242-7744-B
inflexibility	242-7816-B
inflexible	242-8124-B
inflexibleness	242-8369-B
inflexibly	242-8406-B
inflexion	242-8481-B
inflexional	242-8629-B
inflexionless	242-8849-B
inflict	242-8908-B
inflictable	242-9099-B
inflicted	410-6870-S
inflicter	242-9312-B
infliction	242-9342-B
inflictive	242-9595-B
inflictor	242-9625-B
inflorescence	242-9837-B
inflorescent	242-9962-B
inflow	242-10000-B
inflowing	242-10073-B
influence	242-10172-B,103-16651-S
influenceable	242-10640-B
influencer	242-10675-B
influent	242-10709-B,450-678-S
influential	242-10958-B
influentially	242-11076-B
influenza	242-11113-B
influenzal	242-11194-B
influx	242-11226-B
info	242-11357-B
infold	242-11457-B
infolder	242-11495-B
infoldment	242-11524-B
inform	242-11553-B
informal	242-11848-B
informality	242-11980-B
informally	242-12205-B
informant	242-12276-B
informatic	242-12350-B
informatics	242-12420-B,26-22946-S
information	242-12507-B,4-26276-S,8-6781-S,15-8287-S,39-4668-S,128-13321-S
information display	8-6193-S
information retrieval	242-12675-B
information science	242-12801-B
information system	91-10736-S,134-24675-S,198-13968-S,199-9628-S,202-6345-S
information theory	242-12889-B
informational	242-12977-B
informative	242-13132-B
informatively	242-13276-B
informativeness	242-13315-B
informed	242-13354-B,518-77-S
informer	242-13444-B
informing gun	242-13512-B
infra	242-13656-B
infra dig	242-13690-B
infra red	242-14637-B
infracostal	242-13768-B
infract	242-13841-B
infraction	242-13922-B
infractor	242-14011-B
infrahuman	242-14040-B
inframarginal	242-14184-B
infrangibility	242-14251-B
infrangible	242-14408-B
infrangibly	242-14539-B
infrared	242-14574-B
infrarenal	242-14774-B
infrasonic	242-14846-B
infraspecific	242-15001-B
infrastructure	242-15111-B
infrequence	242-15189-B
infrequency	242-15310-B
infrequent	242-15364-B
infrequently	242-15469-B
infringe	242-15540-B
infringement	242-15676-B
infringer	242-15759-B
infructuous	242-15789-B
infundibular	242-15888-B
infundibulate	242-15943-B
infundibulum	242-15999-B
infuriate	242-16113-B
infuriating	242-16184-B
infuriatingly	242-16275-B
infuriation	242-16333-B
infuscate	242-16436-B
infuse	242-16530-B
infuser	242-16828-B
infusibility	242-16894-B
infusible	242-17037-B
infusibleness	242-17141-B
infusion	242-17176-B
infusive	242-17349-B
infusoria	242-17484-B
infusorial	242-17589-B
infusorian	242-17742-B
ing	76-20338-S
ingate	242-17833-B
ingather	242-17857-B
ingatherer	242-17948-B
ingathering	242-18058-B
ingeminate	242-18186-B
ingemination	242-18334-B
ingenerate	242-18421-B
ingenious	242-18512-B
ingeniously	242-18593-B
ingeniousness	242-18666-B
ingenue	242-18798-B,242-18926-B
ingenuity	242-19031-B
ingenuous	242-19149-B
ingenuously	242-19221-B
ingenuousness	242-19296-B
ingest	242-19387-B
ingesta	242-19458-B
ingestible	242-19531-B
ingestion	242-19603-B
ingestive	242-19669-B
ingle	242-19734-B
ingle nook	242-19815-B
inglorious	242-19874-B
ingloriously	242-20002-B
ingloriousness	242-20079-B
ingoing	242-20218-B
ingot	242-20360-B
ingot iron	242-20427-B
ingradient	242-20494-B
ingrain	242-20534-B
ingrained	242-20631-B
ingrate	242-20704-B
ingratiate	242-20816-B
ingratiating	242-20991-B
ingratiatingly	242-21089-B
ingratiation	242-21252-B
ingratiatory	242-21334-B
ingratitude	242-21449-B
ingravescence	242-21539-B
ingravescent	242-21646-B
ingredient	242-21735-B
ingress	243-0-B
ingression	243-92-B
ingressive	243-151-B
ingroup	243-254-B
ingrowing	243-333-B
ingrown	243-408-B
ingrownness	243-468-B
ingrowth	243-580-B
inguinal	243-642-B
ingurgitate	243-706-B
ingurgitation	243-828-B
inhabit	243-965-B
inhabitability	243-1050-B
inhabitable	243-1169-B
inhabitance	243-1250-B
inhabitancy	243-1303-B
inhabitant	243-1440-B
inhabitation	243-1528-B
inhabited	243-1630-B
inhabiter	243-1690-B
inhalant	243-1719-B
inhalation	243-1831-B
inhalator	243-1924-B
inhale	243-1992-B
inhaler	243-2195-B
inharmonic	243-2289-B
inharmonious	243-2416-B
inharmoniously	243-2608-B
inharmoniousness	243-2723-B
inhere	243-2960-B
inherence	243-3137-B
inherent	243-3184-B
inherently	243-3297-B
inherit	243-3356-B
inheritability	243-3479-B
inheritable	243-3594-B
inheritance	243-3689-B,287-12654-S
inheritance tax	243-3793-B
inherited	243-3864-B
inheritor	243-3922-B
inheritress	243-3985-B
inheritrices	243-4088-B
inheritrix	243-4215-B
inhesion	243-4267-B
inhibit	243-4399-B
inhibitable	243-4554-B
inhibited	243-4757-B
inhibitedly	243-4846-B
inhibiter	243-4940-B
inhibition	243-5089-B,389-7722-S
inhibitive	243-5246-B
inhibitor	243-5294-B
inhibitory	243-5386-B
inhomogeneity	243-5523-B
inhomogeneous	243-5637-B
inhospitable	243-5738-B
inhospitableness	243-5882-B
inhospitably	243-5946-B
inhospitality	243-6036-B
inhuman	243-6297-B
inhumane	243-6430-B
inhumanely	243-6520-B
inhumanetion	243-6551-B
inhumanity	243-6633-B
inhumanly	243-6823-B
inhumanness	243-6910-B
inhumantion	243-6941-B
inhumation	243-6993-B
inhume	243-7087-B
inhumer	243-7157-B
inimical	243-7183-B
inimicality	243-7275-B
inimically	243-7413-B
inimitability	243-7493-B
inimitable	243-7554-B
inimitableness	243-7635-B
inimitably	243-7729-B
iniquitous	243-7839-B
iniquitously	243-7946-B
iniquitousness	243-8035-B
