daffiness	113-4903-B
day	115-8154-B,13-22679-S,13-23500-S,13-23638-S,27-12162-S,27-12243-S,27-23738-S,29-13719-S,30-19453-S,30-19700-S,41-7715-S,56-18385-S,56-18586-S,78-4801-S,78-5411-S,87-21186-S,89-9852-S,104-10825-S,115-17621-S,115-22529-S,172-18533-S,172-27756-S,173-15665-S,175-16203-S,176-18853-S,179-12366-S,180-17345-S,180-17826-S,194-20492-S,197-12241-S,213-10894-S,220-11388-S,221-3934-S,223-17607-S,236-28067-S,239-10269-S,246-11893-S,256-23691-S,256-23982-S,256-25546-S,261-21307-S,262-1524-S,262-16687-S,265-6614-S,266-14283-S,274-30283-S,276-19778-S,281-5781-S,282-24171-S,285-2271-S,285-6264-S,287-5466-S,287-9487-S,290-5666-S,290-5880-S,296-12491-S,299-23484-S,299-25020-S,302-20717-S,310-21511-S,314-13588-S,324-5214-S,326-7325-S,332-14717-S,347-16621-S,351-9604-S,359-15032-S,362-5242-S,362-5992-S,373-23493-S,377-5982-S,382-1126-S,385-29312-S,388-5572-S,397-11434-S,398-17850-S,404-267-S,414-21847-S,414-22704-S,414-25208-S,418-8160-S,419-22131-S,429-15957-S,430-13194-S,434-3312-S,460-17904-S,470-22992-S,481-29991-S,506-20128-S,507-3915-S,507-4194-S,511-17487-S,512-6033-S,515-6274-S,515-8659-S,517-7740-S,517-11750-S,525-1308-S
day bed	115-13138-B
day blind	115-13192-B
day blindness	115-13250-B
day boarder	115-13310-B
day book	115-13428-B
day boy	115-13495-B
day care	115-12790-B
day dream	115-14025-B
day dreamer	115-14234-B
day fly	115-14554-B
day girl	115-14620-B
day labour	115-14705-B
day labourer	115-14774-B
day lily	115-16590-B
day long	115-16660-B
day nursery	115-12857-B
day off	115-12930-B
day return	115-12982-B
day room	115-16734-B
day school	115-16935-B
day shift	115-17000-B
day spring	115-17112-B
day star	115-17191-B
day ticket	115-13052-B
day time	115-17539-B
day to day	115-17621-B
day week	180-7432-S
day wonder	303-20342-S
day work	115-17725-B
daybreak	115-13580-B
daydream	115-13658-B
daydreamer	115-14130-B
daydreamlike	115-14411-B
dayflower	115-14481-B
daylight	115-14826-B
daylight saving	115-15707-B,115-16367-B
daylight signal	115-16508-B
daylights	115-15999-B
days	136-5100-S,136-6018-S,151-18029-S,265-31195-S,398-20069-S
daysman	115-17070-B
daytaler	115-17265-B
daytime	115-17311-B
daze	115-17872-B
dazedly	115-18448-B
dazzelement	115-18516-B
dazzle	115-18652-B,379-1998-S
dazzlement	115-19170-B
dazzler	115-19303-B,53-16404-S
dazzling	115-19331-B
dazzlingly	115-19524-B
db	115-19553-B
db 25 connector	115-19707-B
db loss	115-19605-B
db meter	115-19660-B
dbe	115-19751-B
dbms	115-19887-B
dc	115-19931-B,115-19975-B,115-20023-B,115-21607-B
dc component	115-21790-B
dc coupling	115-20080-B
dc erasing head	115-20146-B
dc josephson current	115-20222-B
dc josephson effect	115-20335-B
dc measurement	115-20445-B
dc receiver	115-20518-B,3-15211-S
dc reinsertion	115-20594-B
dc resistance	115-20690-B
dc restoration	115-20772-B
dc ringer	115-20868-B
dc ringing	115-20944-B,3-15309-S
dc selection	115-21016-B
dc signaling	115-21086-B
dc telegraphy direct current telegraphy	115-21166-B
dc transformer	115-21275-B
dc transmission	115-21360-B
dc tube neon lamp	115-21433-B
dc voltage	115-21524-B
