trading estate	474-147-B
traitorousness	474-13530-B
traitress	474-13601-B
trajectory	474-13665-B
trajectory equation	149-8358-S
tram	474-13742-B
tram car	474-14078-B
tram driver	474-14162-B
tram line	474-14235-B
tramcar	474-14027-B
tramlines	474-14279-B
trammel	474-14467-B
trammer	474-14805-B
tramming	474-14868-B
tramontane	474-14930-B
tramp	474-15125-B,309-10971-S
tramper	474-15788-B
trample	474-15907-B
trampler	474-16401-B
trampoline	474-16509-B
trampoliner	474-16675-B
trampolining	474-16819-B
trampolinist	474-16937-B
tramroad	474-17010-B
tramway	474-17097-B
tran ship	475-1578-B
trance	474-17157-B,116-15272-S
tranch	474-17489-B
trannie	474-17535-B
tranny	474-17591-B
tranquil	474-17647-B
tranquilisation	474-17888-B
tranquilise	474-17956-B
tranquiliser	474-18020-B
tranquility	474-18095-B
tranquilization	474-18150-B
tranquilize	474-18235-B
tranquilizer	474-18278-B
tranquillisation	474-18335-B
tranquillise	474-18404-B
tranquilliser	474-18607-B
tranquillity	474-18665-B
tranquillization	474-18785-B
tranquillize	474-18951-B
tranquillizer	474-19089-B
trans	474-19189-B
trans shipment	475-20870-B
trans siberian	475-21019-B
transact	474-19257-B
transaction	474-19480-B
transactor	474-20080-B
transalpine	474-20190-B
transaminase	474-20366-B
transamination	474-20442-B
transatlantic	474-20522-B
transcalent	474-20705-B
transceiver	474-20774-B
transcend	474-20880-B
transcendence	474-21070-B
transcendency	474-21196-B
transcendent	474-21255-B
transcendental	474-21465-B
transcendental meditation	474-21896-B
transcendentalism	474-22138-B
transcendentalist	474-22240-B
transcode	474-22376-B
transconductance	474-22436-B,99-4641-S,208-10200-S
transcondutance	150-2920-S
transcontinental	474-22512-B
transcribe	474-22685-B
transcriber	474-22915-B
transcript	474-23044-B
transcription	474-23241-B
transcutaneous	474-23470-B
transduce	474-23594-B
transducer	474-23827-B,6-20078-S,148-7055-S,148-9506-S,149-1432-S,149-8835-S
transducer tube	150-2986-S
transducing	474-23898-B
transduction	474-23990-B
transect	474-24081-B
transection	474-24151-B
transept	474-24236-B
transeptal	474-24324-B
transexual	474-24480-B
transfer	474-24550-B,2-21158-S,49-16758-S,52-4734-S,67-2025-S,93-22062-S,106-9576-S,114-18856-S,149-13498-S,149-13620-S,209-20085-S
transfer book	474-26709-B
transfer coefficient	95-8872-S
transfer constant	95-8940-S
transfer device	189-9642-S
transfer fee	474-25408-B
transfer function	6-24259-S,188-5719-S
transfer ink	474-27047-B
transfer list	474-25608-B
transfer paper	474-27175-B
transfer proficient	474-27296-B
transfer protocol	177-17093-S
transfer tax	67-2192-S,67-3694-S
transferability	474-25772-B
transferable	474-25916-B,305-13563-S
transferal	474-26456-B
transferase	474-26636-B
transferee	474-26798-B
transference	474-26886-B
transferor	474-27122-B
transferral	474-27401-B
transferrer	474-27455-B
transfiguration	474-27528-B
transfigure	474-27708-B
transfinite	474-27838-B
transfix	474-27928-B
transfixion	474-28152-B
transfluent	474-28276-B
transfluxor	474-28336-B
transform	474-28407-B,188-20012-S
transformable	474-28522-B
transformation	474-28647-B,172-18314-S,270-21332-S,415-1184-S
transformational grammar	474-28850-B
transformationalist	474-28952-B
transformative	474-29058-B
transformer	474-29172-B,34-7805-S,34-8430-S,36-12566-S,58-17123-S,92-1777-S,115-21275-S,128-1399-S,128-1876-S,138-1518-S,174-4273-S,177-13445-S,442-19952-S,442-21682-S
transformer gyrator	66-21580-S
transformism	474-29311-B
transformist	474-29398-B
transfuse	475-0-B
transfuseble	475-195-B
transfusion	475-414-B,52-10570-S
transfusionist	475-591-B
transfusive	475-689-B
transgenesis	475-789-B
transgress	475-880-B
transgression	475-1153-B
transgressive	475-1315-B
transgressor	475-1444-B
tranship	475-1675-B
transhumance	475-1824-B
transhumant	475-1926-B
transience	475-2054-B
transiency	475-2263-B
transient	475-2314-B
transients	91-12863-S
transilient	475-2950-B
transilluminate	475-3048-B
transillumination	475-3190-B
transinformation	475-3279-B
transistor	475-3349-B,14-16516-S,18-13417-S,37-5250-S,43-25524-S,76-23640-S,90-20469-S,92-1848-S,135-14767-S,150-5731-S,159-1000-S,159-1217-S,176-19157-S,176-19248-S,199-20535-S
transistor controlled	475-3571-B
transistor logic	129-16072-S,130-7712-S,152-12622-S
transistor logic circuit	129-16205-S,130-7793-S
transistor logic gate	129-15978-S
transistor radio	475-3485-B
transistorise	475-3680-B
transistorised	475-3757-B
transistorization	475-3871-B
transistorize	475-3980-B
transistorized	475-4057-B,193-159-S
transistors	90-10351-S,114-7343-S
transit	475-4130-B,378-362-S
transit angle	149-8438-S
transit camp	475-4733-B
transit duty	475-4856-B
transit instrument	475-4926-B
transit time error	149-8503-S
transit trade	475-6617-B
transit visa	475-5096-B
transition	475-5261-B,3-4973-S,149-8589-S,149-9762-S
transitional	475-5692-B
transitionally	475-5750-B
transitionary	475-5834-B
transitive	475-6028-B,414-23122-S
transitively	475-6157-B
transitiveness	475-6196-B
transitivity	475-6251-B
transitorily	475-6306-B
transitoriness	475-6438-B
transitory	475-6545-B
translatable	475-6690-B
translate	475-6839-B
translater	475-7786-B
translating	475-7855-B
translation	475-7905-B,36-5007-S,85-8399-S,114-18927-S,143-10210-S,190-16456-S,272-18147-S,278-1637-S
translation system	92-5424-S
translational	475-8298-B
translative	475-8443-B
translator	475-8644-B
transliterate	475-8743-B
transliteration	475-8907-B
translocate	475-9009-B
translocation	475-9100-B
translucence	475-9263-B
translucency	475-9345-B
translucent	475-9401-B
transmarine	475-9459-B
transmigrant	475-9543-B
transmigrate	475-9739-B
transmigration	475-9849-B
transmigrator	475-9983-B
transmigratory	475-10070-B
transmissibility	475-10181-B
transmissible	475-10327-B
transmission	475-10671-B,2-2860-S,18-13474-S,32-20611-S,32-20930-S,34-8483-S,36-5058-S,114-18986-S,115-21360-S,128-12805-S,128-15112-S,142-18841-S,154-10778-S,160-14199-S,176-4748-S
transmission block character	154-10858-S
transmission character	154-10940-S
transmission efficiency	149-7961-S
transmission impairment	134-19933-S,190-14161-S
transmissive	475-11064-B
transmit	475-11139-B
transmittable	475-11546-B
transmittal	475-11658-B
transmittance	475-11737-B
transmitted disease	415-2625-S
transmitter	475-11823-B,18-691-S,28-830-S,34-16233-S,36-5118-S,36-13356-S,114-19039-S,202-1685-S,380-11946-S,459-4795-S
transmitter receiver	475-12063-B
transmitting	475-12172-B,305-13876-S
transmogriffication	475-12230-B
transmogrification	475-12308-B
transmogrify	475-12424-B
transmontane	475-12520-B
transmutability	475-12584-B
transmutable	475-12686-B
transmutation	475-12784-B
transmutative	475-13014-B
transmute	475-13125-B
transnational	475-13284-B
transoceanic	475-13368-B
transom	475-13609-B
transom bar	475-13781-B
transom window	475-13853-B
transonic	475-13976-B
transonics	475-14043-B
transpacific	475-14124-B
transparence	475-14305-B
transparency	475-14423-B
transparent	475-14636-B,305-13958-S
transparent materials	475-15008-B
transparently	475-15059-B
transpicuous	475-15288-B
transpierce	475-15493-B
transpiration	475-15587-B
transpire	475-15758-B
transpirometer	475-16076-B
transplant	475-16160-B,36-12768-S
transplantable	475-16304-B
transplantation	475-16488-B,36-12913-S
transplanter	475-16644-B
transpolar	475-16813-B
transponder	475-16887-B
transport	475-17066-B,369-2012-S,478-20930-S
transport cafe	475-17944-B,475-18036-B
transport manager	475-18169-B
transportability	475-18273-B
transportable	475-18486-B,305-14038-S
transportation	475-18698-B
transported	475-19064-B
transporter	475-19159-B
transporter bridge	475-19252-B
transporting	475-19396-B
transposable	475-19504-B
transpose	475-19718-B
transposed	475-19875-B
transposition	475-19902-B
transpositive	475-20094-B
transputer	475-20177-B
transrectification	475-20252-B
transrectifier	475-20338-B
transseptal	475-20442-B
transsexual	475-20514-B
transship	475-20824-B
transshipment	475-20957-B
transsonic	475-21087-B
transubstantiate	475-21154-B
transubstantiation	475-21244-B
transudate	475-21347-B
transudation	475-21408-B
transudatory	475-21486-B
transude	475-21553-B
transuranic	475-21607-B
transuranium	475-21764-B
transvaluation	475-21843-B
transvalue	475-21965-B
transvection	475-22072-B
transversal	475-22101-B
transversality	475-22251-B
transverse	475-22293-B
transverse electric	475-22478-B
transverse magnetic	475-22556-B
transverse wave	475-22404-B
transversion	475-22631-B
transversum	475-22719-B
transversus	475-22794-B
transverter	475-22853-B
transvestism	475-22994-B
transvestite	475-23131-B
transveyor	475-23247-B
tranverser	475-23336-B
trap	475-23524-B,3-4603-S,4-5523-S,50-17014-S,54-21429-S,54-21588-S,116-15344-S,149-8647-S,171-14697-S,176-549-S,179-3227-S,179-22156-S,184-13896-S,189-2903-S,269-26299-S,272-5173-S,272-22879-S,355-1917-S,355-16365-S,375-26329-S,378-25974-S,399-25019-S,400-3231-S,434-4381-S,444-5938-S,453-16304-S,473-2760-S,506-2705-S,508-6979-S
trap door	475-24261-B
trap shooting	475-25929-B
trapes	475-24403-B
trapeze	475-24440-B
trapezia	475-24529-B
trapeziform	475-24576-B
trapezist	475-24637-B
trapezium	475-24724-B
trapezohedron	475-24818-B
trapezoid	475-24900-B
trapezoidal	475-25014-B
trapper	475-25067-B
trapping	475-25177-B
trappings	475-25228-B
trappist	475-25400-B
trappy	475-25643-B
traprock	475-25718-B
trapse	475-25800-B
trapshooter	475-25837-B
trash	475-26059-B,66-4991-S
trash farming	475-26526-B
trashcan	475-26661-B
trashiness	475-26752-B
trashman	475-26873-B
trashy	475-26923-B
trass	475-27064-B
trattoria	475-27114-B
trauma	475-27173-B
traumata	475-27257-B
traumatic	475-27298-B
traumatically	475-27371-B
traumatise	475-27536-B
traumatism	475-27605-B
traumatization	475-27702-B
traumatize	475-27785-B
traumatology	475-27854-B
travail	475-27934-B
travel	476-0-B,83-20252-S
travel agency	476-1265-B
travel agent	476-1327-B
travel bureau	476-1545-B
travel sick	476-4299-B
travel sickness	476-4356-B
traveled	476-1654-B
traveler	476-1850-B
traveling	476-2069-B
travelled	476-2378-B
traveller	476-2607-B,88-35415-S,174-15710-S,432-12190-S
traveller s joy	476-3074-B
traveller s tree	476-2980-B
travelling	476-3132-B,432-12267-S
travelling bag	476-4021-B
travelling fellowship	476-3735-B
travelling rug	476-3876-B
travelling salesman	476-3944-B
travelog	476-4096-B
travelogue	476-4144-B
traversable	476-4457-B
traverse	476-4559-B
travertin	476-6157-B
travertine	476-6224-B
travesty	476-6291-B
trawl	476-6641-B
trawl boat	476-6907-B
trawl line	476-7126-B
trawl net	476-7218-B
trawler	476-7010-B
tray	476-7345-B,31-3174-S,36-730-S,108-20976-S,140-21030-S,230-13793-S,249-17646-S,320-6350-S,428-4779-S,463-8033-S
trayful	476-7401-B
treacherous	476-7469-B
treacherously	476-7880-B
treacherousness	476-8033-B
treachery	476-8184-B
treacle	476-8406-B
treacly	476-8486-B
tread	476-8622-B,389-3334-S
treadle	476-10697-B
treadle machine	476-10863-B
treadle press	476-10949-B
treadler	476-11019-B
treadless	476-11082-B
treadmil	476-11145-B
treadmill	476-11318-B
treas	476-11731-B
treason	476-11802-B,221-1996-S
treasonable	476-11874-B
treasonably	476-12011-B
treasonous	476-12089-B
treasure	476-12140-B
treasure house	476-12986-B
treasure hunt	476-13045-B
treasure trove	476-12838-B
treasurer	476-13146-B,509-24000-S
treasurership	476-13210-B
treasury	476-13277-B
treasury bill	476-13826-B
treat	476-14108-B,143-2248-S,217-22429-S,232-12965-S,311-16152-S
treatable	476-15668-B
treater	476-15853-B
treatise	476-16121-B
treatment	476-16265-B,144-9029-S,217-22498-S,230-2137-S,232-13049-S,411-2218-S,417-17125-S
treaty	476-16611-B,304-20800-S,362-421-S
treaty port	476-16974-B
treble	476-17112-B
treble chance	476-17409-B
trebly	476-17617-B
trebuchet	476-17673-B
trebucket	476-17785-B
trecentist	476-17847-B
trecento	476-18045-B
tredecillion	476-18147-B
tree	476-18236-B,14-21740-S,26-19931-S,38-4318-S,41-7909-S,43-20342-S,48-1422-S,55-8084-S,55-23933-S,55-26617-S,63-16607-S,64-8327-S,65-15881-S,66-2758-S,76-18961-S,78-5150-S,78-5860-S,83-15853-S,85-6150-S,85-15586-S,85-17209-S,90-9938-S,100-20437-S,105-5123-S,110-20959-S,117-13476-S,130-11008-S,136-12955-S,139-11838-S,144-18960-S,171-22861-S,177-7622-S,179-14548-S,192-7087-S,195-8355-S,197-16322-S,202-13128-S,211-2429-S,216-1614-S,256-22030-S,258-25234-S,267-10041-S,270-10693-S,273-3857-S,296-10601-S,307-11904-S,307-13762-S,307-19063-S,311-12304-S,311-16232-S,324-16193-S,325-19449-S,332-22924-S,333-2613-S,333-5812-S,344-9917-S,344-23055-S,346-9400-S,349-2036-S,377-18216-S,394-812-S,394-18476-S,395-23086-S,395-34483-S,398-355-S,414-1067-S,415-7611-S,416-2571-S,417-22760-S,420-16770-S,421-21832-S,426-18346-S,446-22949-S,453-2865-S,457-30145-S,476-2980-S,480-20763-S,481-19031-S,483-17813-S,503-20829-S,506-20255-S,512-15124-S,514-13071-S,516-13904-S,524-16694-S
tree coral	476-18970-B
tree creeper	476-19035-B
tree feeling	476-19142-B
tree fern	476-19206-B
tree house	476-19294-B
