penholder	335-0-B
perforation	336-14149-B,73-8580-S
perforative	336-14390-B
perforator	336-14423-B
perforator mallet	336-14482-B
perforator slip	336-14559-B
perforce	336-14632-B
perfored	336-14753-B
perform	336-14902-B
performable	336-15383-B
performance	336-15414-B,91-13679-S,305-7362-S
performance evaluation	91-13736-S
performance ratio	102-11933-S
performative	336-16038-B
performer	336-16101-B
performing	336-16167-B
performing arts	336-16335-B
perfume	336-16449-B
perfumed	336-16675-B
perfumer	336-16772-B
perfumery	336-16873-B
perfumier	336-16960-B
perfunctorily	336-17063-B
perfunctoriness	336-17193-B
perfunctory	336-17307-B
perfuse	336-17655-B
perfusion	336-17782-B
perfusive	336-17899-B
pergameneous	336-17996-B
pergola	336-18085-B
perhaps	336-18189-B
peri	336-18249-B
peri insular	336-22237-B
perianal	336-18369-B
perianth	336-18428-B
periapical	336-18492-B
periapt	336-18566-B
periarterial	336-18606-B
periarthric	336-18701-B
periastron	336-18758-B
periaxial	336-18805-B
periblast	336-18879-B
periblastic	336-18939-B
periblem	336-19011-B
peribranchial	336-19084-B
peribulbar	336-19177-B
pericambium	336-19262-B
pericapillary	336-19342-B
pericardia	336-19432-B
pericardiac	336-19485-B
pericardial	336-19614-B
pericarditis	336-19649-B
pericardium	336-19734-B
pericarp	336-19845-B
pericarpial	336-19892-B
pericellular	336-19924-B
pericentric	336-20001-B
perichondral	336-20083-B
perichondria	336-20156-B
perichondrium	336-20228-B
periclase	336-20304-B
periclinal	336-20364-B
pericope	336-20491-B
pericrania	336-20591-B
pericranial	336-20644-B
pericranium	336-20679-B
pericycle	336-20838-B
pericyclic	336-20906-B
periderm	336-20938-B
peridermal	336-21002-B
peridermic	336-21033-B
peridot	336-21064-B
peridotic	336-21122-B
peridrome	336-21151-B
perigeal	336-21215-B
perigean	336-21243-B
perigee	336-21363-B
perigon	336-21499-B
perigynia	336-21533-B
perigynium	336-21602-B
perigynous	336-21697-B
perigyny	336-21768-B
perihelia	336-21835-B
perihelial	336-21988-B
perihelion	336-22021-B
perihepatic	336-22072-B
perihysteric	336-22151-B
perikarya	336-22300-B
perikaryon	336-22332-B
peril	336-22422-B,524-11623-S
perilla	337-0-B
perilla oil	337-68-B
perilous	337-131-B
perilously	337-230-B
perilousness	337-317-B
perilune	337-435-B
perilymph	337-550-B
perimater	337-618-B
perimeter	337-637-B
perimetric	337-799-B
perimetrically	337-831-B
perimorph	337-866-B
perinea	337-962-B
perineal	337-1077-B
perinephric	337-1106-B
perinephrium	337-1170-B
perineum	337-1229-B
perineuritis	337-1274-B
period	337-1357-B,4-7382-S,62-5350-S,149-6911-S,170-15629-S,264-26981-S,264-27483-S,277-1616-S,311-2546-S,313-20723-S,383-6208-S,398-3276-S
period piece	337-2261-B
periodic	337-2361-B,305-7476-S,373-28604-S
periodic law	337-2759-B
periodic sentence	337-2845-B
periodic table	337-2927-B
periodic wind	337-3040-B
periodical	337-3111-B
periodically	337-3540-B
periodicity	337-3616-B
periodism	337-3747-B
periodogram	337-3821-B
periodontal	337-3905-B
periodontics	337-3975-B
periost	337-4052-B
perioste	337-4141-B
periostea	337-4171-B
periosteal	337-4234-B
periosteo	337-4267-B
periosteum	337-4297-B
periostitic	337-4348-B
periostitis	337-4383-B
periostraca	337-4456-B
periostracum	337-4531-B
periotic	337-4619-B
peripatetic	337-4683-B
peripatetically	337-5024-B
peripateticism	337-5104-B
peripeteia	337-5233-B
peripetia	337-5380-B
peripheral	337-5429-B
peripheral device	337-5541-B
peripherally	337-5717-B
peripherals	91-13823-S
peripheric	337-5793-B
periphery	337-5817-B
periphlebitis	337-5896-B
periphrases	337-5976-B
periphrasis	337-6097-B
periphrastic	337-6150-B
periphrastically	337-6246-B
periphyton	337-6346-B
periplasm	337-6447-B
periplast	337-6514-B
peripneumony	337-6561-B
peripteral	337-6634-B
peripterous	337-6722-B
periptery	337-6756-B
perique	337-6840-B
perisarc	337-6896-B
periscope	337-6960-B
periscopic	337-7109-B
periselene	337-7278-B
perish	337-7340-B
perishability	337-7792-B
perishable	337-7826-B,305-7533-S
perishableness	337-8021-B
perishables	337-8056-B
perishably	337-8191-B
perished	337-8224-B
perisher	337-8307-B
perishing	337-8400-B
perishingly	337-8546-B
perisperm	337-8656-B
perispheric	337-8727-B
perissodactyl	337-8810-B
perissodactylate	337-8949-B
peristalith	337-9040-B
peristalsis	337-9123-B
peristaltic	337-9201-B
peristaltically	337-9274-B
peristomal	337-9313-B
peristome	337-9345-B
peristylar	337-9493-B
peristyle	337-9525-B
perithecia	337-9666-B
perithecial	337-9737-B
perithecium	337-9816-B
peritonaeum	337-9921-B
peritonea	337-9974-B
peritoneal	337-10047-B
peritoneally	337-10126-B
peritoneum	337-10161-B
peritoneums	337-10213-B
peritonitis	337-10298-B
peritrichous	337-10370-B
periwig	337-10439-B
