penholder [01/'pen,houldə/]	[01* dtừ]\n- quản bút
pennae [01/'peni:/]	[01* dtừ] s/n\n- xem [03penna] 
pen-name [01/'penneim/]	[01* dtừ]\n- bút danh, tên hiệu
pennant [01/'penənt/]	[01* dtừ]\n- (hàng hải) dây móc thòng lọng (treo trên móc cột buồm)((cũng) [03pendant] )\n- (như) [03pennon] 
pennate [01/'penit/]	[01* ttừ]\n- xẻ lông chim; dạng lông chim
penner	- xem [03pen] 
pennies [01/'peniz/]	như [03penny]
penniferous [01/pe'nifərəs/]	như [03pennigerous]
penniform [01/'penifɔ:m/]	[01* ttừ]\n- hình lông chim\n[02= a penniform leaf] lá hình lông chim
pennigerous [01/pen'nidʒərəs/]	[01* ttừ]\n- có lông vũ
penniless [01/'penilis/]	[01* ttừ]\n- không tiền, không một đồng xu dính túi, nghèo xơ xác
pennilessly	- xem [03penniless] 
pennilessness	như [03pennilessly]
pennon [01/'penən/]	[01* dtừ] ((cũng) [03pennant] )\n- cờ hiệu, cờ đoàn, cờ đội (hình đuôi nheo)\n- cờ đuôi nheo (trên tàu)\n- cờ trang trí
pennoncel [01/'penənsel/]	[01* dtừ]\n- (sử học) lá cờ nhỏ ở đầu ngọn giáo
pennoned	- xem [03pennon] 
pennorth [01/'penəθ/]	[01* dtừ]\n- xem [03pennyworth] 
penn'orth [01/'penəθ/]	[01* dtừ]\n- (tục)(như) [03pennyworth] 
penny [01/'peni/]	[01* dtừ, s/n [03pence] chỉ giá trị, [03pennies] chỉ số đồng tiền\n- đồng xu penni (1 qoành 2 silinh)\n[02= it costs ten pence] cái đó giá 10 xu\n[02= he gave me my change in pennies] anh ấy trả lại tiền tôi bằng xu lẻ\n- (Mỹ),(tục) đồng xu (1 qoành 00 đô la)\n- (bóng) số tiền\n[02= a pretty penny] một số tiền kha khá\n[04! in for a penny, in for a pound]\n- việc đã làm thì phải làm đến nơi đến chốn\n[04! a penny for your thoughts?]\n- anh đang nghĩ gì mà mê mải thế?\n[04! a penny blood (dreadful)]\n- tiểu thuyết rùng rợn\n[04! a penny plain and twopence coloured]\n- một áo trắng đụp hai màu (chế những người ăn mặc loè loẹt...)\n[04! a penny saved is penny gainef]\n- tiết kiệm đồng nào hay đồng ấy\n[04! to look twice at every penny]\n- chú ý từng xu\n[04! take care of the pence and the pounds will take care of themselves]\n- nhịn trầu mua trâu\n[04! to turn an honest penny]\n- làm ăn lương thiện
penny farthing [01/,peni fə:điη/]	[01* dtừ]\n- kiểu xe đạp cổ (bánh trước to, bánh sau nhỏ) 
penny pincher	như [03penny-pincher]
penny pinching	[01* ttừ]\n- một cách keo kiệt, bủn xỉn\n[01* dtừ]\n- tính keo kiệt, bủn xỉn
penny post [01/'peni'poust/]	[01* dtừ]\n- cước chở thư một xu (không kể xa gần) 
penny whistle [01/'peni'wisl/]	[01* dtừ]\n- ống tiêu; ống đi ngoài
penny wise [01/'peniwaiz/]	[01* ttừ]\n- khôn từng xu, đắn đo từng xu; khôn việc nhỏ\n[02= penny_wise and pound foolish] khôn từng xu ngu bạc vạn; từng xu đắn đo việc to hoang phí
penny-a-line [01/,peniə'lain/]	[01* ttừ]\n- rẻ tiền, xoàng (tiểu thuyết)\n[02= a penny-a-line novel] tiểu thuyết rẻ tiền, tiểu thuyết ba xu
penny-a-liner [01/,peniə'lainə/]	[01* dtừ]\n- văn sĩ rẻ tiền, văn sĩ ba xu
penny-farthing [01/'penifa:điη/]	[01* dtừ]\n- xe đạp cổ bánh to bánh nhỏ
penny-in-the-slot [01/,peniinđə'slɔt/]	[01* dtừ]\n- máy bán hàng tự động ((cũng) [03penny-in-the-slot machine] ) 
penny-in-the-slot machine [01/,peniinđə'slɔt mə'∫i:n/]	[01* dtừ]\n- máy bán hàng tự động
penny-pincher [01/,peni 'pint∫ə/]	[01* dtừ]\n- người bủn xỉn; người keo kiệt
penny-pinching [01/,peni 'pint∫iη/]	[01* ttừ]\n- keo kiệt, bủn xỉn\n[01* dtừ]\n- tính keo kiệt, bủn xỉn
penny-post [01/'peni,poust/]	[01* dtừ]\n- tiền bưu phí một peni (không kể xa gần) 
pennyroyal [01/,peni'rɔiəl/]	[01* dtừ]\n- (thực vật) bạc hà hăng\n- (Mỹ) cây hêđôm
pennyweight [01/'peniweit/]	[01* dtừ]\n- ((vt) dwt) Penni (đơn vị trọng lượng giá 1 gam rưỡi) 
pennywise [01/'peniwaiz/]	[01* ttừ]\n- như [03penny-wise] 
penny-wise [01/'peniwaiz/]	[01* ttừ]\n- khôn từng xu; đắn đo từng xu; khôn việc nhỏ
pennywort [01/'peniwə:t/]	[01* dtừ]\n- (thực vật) rau má mơ
pennyworth [01/'peniwə:θ/]	[01* dtừ] ((tục)(như) [03penn'orth]\n- một xu (số lượng đáng giá một xu)\n[02= a pennyworth of bread] (một) xu bánh mì, mẩu bánh mì đáng giá một xu\n- món (mua được)\n[02= a good pennyworth] món hời, món bở, món đáng đồng tiền\n[02= a bad pennyworth] món bở, món mua phí toi tiền\n[04! not a pennyworth]\n- không một chút nào, không một tí nào
penological [01/pi:nɔ'lədʒikl/]	[01* ttừ]\n- (thuộc) hình phạt học; (thuộc) khoa nghiên cứu hình phạt
penologically	như [03penologist]
penologist	- xem [03penology] 
penology [01/pi:'nɔlədʒi/]	[01* dtừ]\n- khoa hình phạt
pen-pal [01/penpæl/]	như [03pen-friend]
pen-pusher [01/pen'pu∫ə/]	[01* dtừ]\n- người cạo giấy
pen-pushing [01/pen'pu∫iη/]	[01* dtừ]\n- công việc cạo giấy
pensile [01/'pensal/]	[01* dtừ]\n- treo lủng lẳng, lòng thòng (tổ chim...)\n- xây tổ treo lủng lẳng (chim...) 
pension [01/'pen∫n/]	[01* dtừ]\n- lương hưu\n[02= to retire on a pension] về hưu\n- tiền trợ cấp\n[02= old-age pension] tiền trợ cấp dưỡng lão\n- nhà trọ cơm tháng\n[02= to live en pension at] ăn ở trọ tại\n[01* ngđtừ]\n- trả lương hưu\n- trợ cấp cho\n[02= to pension someone off] sa thải ai có phát tiền trợ cấp; cho ai về hưu, cho ai về vườn
pensionable [01/'pen∫ənəbl/]	[01* ttừ]\n- được quyền hưởng lương hưu; có chế độ lương hưu\n- được quyền hưởng trợ cấp; có chế độ trợ cấp
pensionary [01/'pen∫ənəri/]	[01* ttừ]\n- (thuộc) lương hưu; được hưởng lương hưu\n- (thuộc) tiền trợ cấp; được hưởng trợ cấp\n[01* dtừ]\n- người hưởng lương hưu\n- người được hưởng trợ cấp\n- người làm thuê; tay sai
pensioner [01/'pen∫ənə(r) /]	[01* dtừ]\n- người được hưởng lương hưu\n- người được hưởng trợ cấp
pensive [01/'pensiv/]	[01* ttừ]\n- trầm ngâm, suy nghĩ\n- buồn
pensively [01/'pensivli/]	[01* phtừ]\n- sâu sắc, trầm ngâm (suy nghĩ) 
pensiveness [01/'pensivnis/]	[01* dtừ]\n- vẻ trầm ngâm, vẻ suy nghĩ\n- vẻ buồn
penstock [01/'penstɔk/]	[01* dtừ]\n- cửa cống\n- (kỹ) đường ống chịu áp; ống dẫn nước có áp
penswan [01/'penswɔn/]	[01* dtừ]\n- thiên nga mái
pent-	- xem [03penta-] 
pent [01/pent/]	[01* ttừ]\n- bị nhốt; bị giam chặt\n- bị nén xuống (tình cảm...) 
pent up [01/,pent 'ʌp/]	[01* ttừ]\n- dồn nén (về cảm xúc) 
penta- [01/pentə/]	- hình thái ghép có nghĩa là\n- năm\n- pentagol\n- có năm cạnh\n- chứa đựng năm nguyên tử hay năm nhóm nguyên tử trong cấu trúc phân tử: pentahydrate
pentacapsular [01/pentə'kæpsjulə/]	[01* ttừ]\n- (thực vật) năm túi; năm ô
pentacarpellary [01/,pentə'ka:pələri/]	[01* ttừ]\n- năm lá noãn
pentachord [01/'pentəkɔ:d/]	[01* dtừ]\n- (âm nhạc) đàn năm dây\n- chuỗi năm âm
pentacle [01/'pentək(ə) l/]	[01* dtừ]\n- hình được sử dụng như ký hiệu, như biểu tượng
pentacoccous [01/'pentə'kɔkəs/]	như [03pentacarpellary]
pentad [01/'pentæd/]	[01* dtừ]\n- số năm\n- nhóm năm\n- thời gian năm ngày\n- (hoá) nguyên tố hoá trị năm; gốc hoá trị năm
pentadactyl [01/,pentə'dæktil/]	[01* dtừ]\n- (động vật) có chân năm ngón\n[01* ttừ]\n- (động vật) động vật chân năm ngón
pentadactyle [01/pentə'dæktil/]	[01* dtừ]\n- động vật chân năm ngón
pentadactylism	- xem [03pentadactyl] 
pentadecagon	- hình mười năm cạnh
pentagon [01/'pentəgən/]	[01* dtừ]\n- hình năm cạnh\n- (Mỹ)(the pentagon) lầu năm góc (Bộ quốc phòng Mỹ) 
pentagonal [01/pen'tægənl/]	[01* ttừ]\n- có năm cạnh
pentagonally	- xem [03pentagon] 
pentagraf [01/'pentəgra:f/]	như [03pantagraph]
pentagram [01/'pentəgræm/]	[01* dtừ]\n- sao năm cánh
pentagynous [01/pen'tədʒinəs/]	[01* ttừ]\n- (thực vật) có năm nhuỵ (hoa) 
pentahedral [01/,pentə'hi:drəl/]	[01* ttừ]\n- (toán) có năm mặt
pentahedron [01/,pentə'hi:drən/]	[01* dtừ]\n- (toán) khối năm mặt
pentahydrate [01/,pentə'haidreit/]	[01* dtừ]\n- (hoá) Pentahuđrat
pentamerism	- xem [03pentamerous] 
pentamerous [01/pen'təmərəs/]	[01* ttừ]\n- có năm phần; chia làm năm\n- (thực vật) mẫu năm (hoa) 
pentameter [01/pen'tæmitə(r) /]	[01* dtừ]\n- thơ năm âm tiết
pentandrous [01/pen'tændrəs/]	[01* ttừ]\n- (thực vật) có năm nhị (hoa) 
pentane [01/'pentein/]	[01* dtừ]\n- (hoá) Pentan
pentangle [01/'pen,tæηgl/]	[01* dtừ]\n- xem [03pentagram] 
pentangular [01/pen'tængju:lə/]	[01* ttừ]\n- năm góc, năm cạnh
pentapetalous [01/,pentə'pitələs/]	[01* ttừ]\n- (thực vật) có năm cánh (hoa) 
pentaphyllous [01/,pentə'filəs/]	[01* ttừ]\n- (thực vật) năm lá
pentaploid [01/'pentəplɔid/]	[01* ttừ]\n- (sinh vật) ngũ bội\n[01* dtừ]\n- (sinh vật) thể ngũ bội
pentaprism [01/'pentə,prizm/]	[01* dtừ]\n- lăng kính năm mặt
pentaspherical	- ngũ cầu
pentastyle [01/'pentə,stail/]	[01* dtừ]\n- nhà có năm cột
pentasyllable [01/,pentə'siləbl/]	như [03quinquesyllable]
pentateuch [01/'pentətju:k/]	[01* dtừ]\n- (tôn giáo) năm quyển đầu của kinh Cựu ước
pentathlete	[01* dtừ]\n- lực sĩ thi đấu năm môn phối hợp
pentathlon [01/pen'tæθlən/]	[01* dtừ]\n- (thể thao) cuộc thi năm môn phối hợp
pentatomic [01/,pentə'tɔmik/]	[01* ttừ]\n- (hoá) có năm nguyên tử
pentavalence [01/'pentævələns/]	như [03quinquivalence]
pentavalent [01/'pentævələnt/]	[01* ttừ]\n- (hoá) hoá trị năm
Pentecost [01/'pentikɔst/]	[01* dtừ]\n- (tôn giáo) lễ gặt (của người Do thái, 50 ngày sau ngày lễ Phục sinh)\n- lễ Hạ trần (của đạo Thiên chúa cũng 50 ngày sau ngày lễ Phục sinh) 
pentecostal [01/,penti'kɒst(ə) l/]	[01* ttừ]\n- (tôn giáo) có niềm tin vào phép lạ (đặc biệt chữa khỏi bệnh)(thường) là những người (tôn giáo) theo trào lưu chính thống
penthouse [01/'penthaus/]	[01* dtừ]\n- lều một mái\n- nhà kho\n- mái nhà, chái\n- (Mỹ) dãy phòng ở trên mái bằng
pentice [01/'pentis/]	[01* dtừ]\n- xem [03penthouse] 
pentimenti [01/,penti'menti:/]	[01* dtừ] s/n\n- xem [03pentimento] 
pentimento [01/,penti'mentou/]	[01* dtừ] s/n [02pentimenti]\n- sự xuất hiện lại trong bức tranh một hình vẽ đã bị vẽ trùm lên
pentium	- Tên một loại vi xử lý của Intel, thế hệ kế tiếp của họ 80486 Với hơn 3 triệu transitor và hai pipeline, Pentium xử lý số lệnh nhiều gấp đôi so với 80486 DX2 trong cùng thời gian
pentode [01/'pentoud/]	[01* dtừ]\n- (lý) Pentôt, ống năm cực
pentomic [01/pen'tɔmik/]	[01* ttừ]\n- (qsự) tổ chức thành năm đơn vị hợp với chiến tranh nguyên tử (sư đoàn) 
pentose [01/'pentous/]	[01* dtừ]\n- (hoá) Pentoza
pent-roof [01/'pent,ru:f/]	[01* dtừ]\n- hiên một mái nghiêng
pentstemon [01/,pen'sti:mən/]	[01* dtừ]\n- (thực vật) cây sơn huyền sâm
penult [01/pen'ʌlt/]	[01* ttừ]\n- (ngôn) áp chót, giáp cuối\n[01* dtừ]\n- (ngôn) âm áp chót, âm giáp cuối
penultimate [01/pen'ʌltimət/]	như [03penult]
penultimately	- xem [03penultimate] 
penumbra [01/pi'nʌmbrə/]	như [03penumbras]
penumbrae [01/pi'nʌmbri:/]	như [03penumbras]
penumbral	- xem [03penumbra] 
penumbras [01/pi'nʌmbrəz/]	[01* dtừ]\n- vùng nửa tối
penumbrous	như [03penumbral]
penurious [01/pi'njuriəs/]	[01* ttừ]\n- thiếu thốn, túng thiếu\n- keo kiết, keo cú, bủn xỉn
penuriously [01/pi'njuriəsli/]	[01* phtừ]\n- túng thiếu, cùng quẫn; khan hiếm\n- keo kiệt, bủn xỉn (tiền bạc) 
penuriousness [01/pi'njuəriəsnis/]	[01* dtừ]\n- sự thiếu thốn, sự túng thiếu\n- sự keo kiết, sự keo cú, sự bủn xỉn
penury [01/'penjuri/]	[01* dtừ]\n- cảnh thiếu thốn, cảnh túng thiếu; cảnh cơ hàn\n- tình trạng khan hiếm
penvis [01/'penvis/]	[01* dtừ]\n- (động vật) cá nóc đen sáu chấm
penwiper [01/,pen'waipə/]	[01* dtừ]\n- giẻ lau bút
peon [01/'pi:ən/]	[01* dtừ]\n- người liên lạc, cần vụ, người phục vụ (ở Ân-độ)\n- công nhân công nhật (ở châu Mỹ La-tinh) 
peonage [01/'pi:ənidʒ/]	[01* dtừ]\n- việc mướn người liên lạc, việc mướn người phục vụ\n- việc mướn công nhân công nhật\n- việc làm của người liên lạc, việc làm của người phục vụ\n- việc làm của công nhân công nhật
peony [01/'pi:əni/]	như [03paeony]
people [01/'pi:pl/]	[01* dtừ]\n- dân tộc\n[02= the peoples of Asia] các dân tộc châu A\n- (dùng như số nhiều) nhân dân, dân chúng, quần chúng\n[02= the world people] nhân dân thế giới\n[02= the common people] lớp người bình dân\n[02= the people at large] nhân dân nói chung\n- (dùng như số nhiều) người\n[02= there are many people there] có nhiều người ở đó\n- (dùng như số nhiều) người ta, thiên hạ\n[02= people don't like to be kept waiting] người ta không thích bị bắt phải chờ đợi\n[02= what will people say?] người ta (thiên hạ) sẽ nói gì?\n- (dùng như số nhiều) gia đình, bà con, họ hàng\n[02= my people live in the country] gia đình tôi ở nông thôn\n- những người tuỳ tùng, những người theo hầu, những người làm\n[01* ngđtừ]\n- di dân\n[02= to people a country] di dân đến một nước\n- ((thường) động tính từ quá khứ) ở, cư trú (người vật)\n[02= a thickly peopled country] một nước đông dân
peopler	- xem [03people] 
pep [01/pep/]	[01* dtừ]\n- (Mỹ),(lóng) tinh thần hăng hái, tinh thần dũng cảm, dũng khí\n[04! pep pill]\n- thuốc kích thích làm cho hăng lên\n[04! pep talk]\n- lời động viên, lời cổ vũ làm cho hăng hái lên\n[01* ngđtừ]\n- (Mỹ),(lóng) làm cho hăng hái, cổ vũ, động viên
pep pill [01/'pep,pill/]	[01* dtừ]\n- thuốc kích thích
pep talk [01/'peptɔ:k/]	[01* dtừ]\n- lời động viên, lời cổ vũ
peperino [01/,pepə'ri:nou/]	[01* dtừ]\n- (khoáng) Peperino
peplos [01/'peplə/]	[01* dtừ]\n- (cổ Hy lạp) áo xiêm (nữ) 
peplum [01/'pepləm/]	[01* dtừ]\n- váy ngắn
peplus	- xem [03peplos] 
pepo [01/'pi:pou/]	[01* dtừ]\n- quả bầu nậm
pepper [01/'pepə(r) /]	[01* dtừ]\n- hạt tiêu, hồ tiêu\n[02= white pepper] hạt tiêu trắng\n[02= black pepper] hạt tiêu đen\n[02= cayenne pepper] ớt cayen\n- (bóng) điều chua cay\n[01* ngđtừ]\n- rắc tiêu vào, cho tiêu vào\n- rải lên, rắc lên, ném lên\n[02= to pepper something with sand] rải cát lên vật gì\n- bắn như mưa vào\n[02= to peppern something with missiles] bắn tên lửa như mưa vào cái gì\n- (bóng) hỏi dồn\n[02= to pepper someone with questions] hỏi dồn ai\n- trừng phạt nghiêm khắc
pepper-and-salt [01/'pepərənd'sɔ:lt/]	[01* ttừ]\n- có\n- hoa râm (tóc)\n[01* dtừ]\n- hàng len chấm đen trắng
pepperbox [01/'pepə,bɔks/]	như [03pepper-castor]
pepper-caster [01/,pepə'kɑ:stə/]	như [03pepper-castor]
pepper-castor [01/,pepə'kɑ:stə/]	[01* dtừ]\n- lọ hạt tiêu ((cũng) [03pepper-pot] ) 
peppercorn [01/'pepəkɔ:n/]	[01* dtừ]\n- hội viên\n[04! peppercorn rent]\n- tổ danh nghĩa
pepper-grass [01/'pepəgra:s/]	[01* dtừ]\n- (thực vật) cải xoong cạn
pepperiness	- xem [03peppery] 
peppering [01/'pepəriη/]	[01* ttừ]\n- cay
pepper-mill [01/'pepəmil/]	[01* dtừ]\n- cối xay tiêu
peppermint [01/'pepəmint/]	[01* dtừ]\n- (thực vật) cây bạc hà cay\n- dầu bạc hà cay\n- kẹo bạc hà
peppermint oil [01/'pepəmint,ɔil/]	[01* dtừ]\n- dầu bạc hà
pepperoni [01/,pepə'rəʊni/]	[01* dtừ]\n- xúc xích bò và heo rắc thêm tiêu
pepper-pot [01/'pepəpɔt/]	[01* dtừ]\n- (như) [03pepperbox]\n- món thịt nấu ớt (ở quần đảo Ăng-ti)\n- (lóng) người nóng tính, người nóng nảy
pepperwort [01/'pepəwə:t/]	[01* dtừ]\n- rau tần, rau bợ
peppery [01/'pepəri/]	[01* dtừ]\n- (thuộc) hồ tiêu; như hồ tiêu\n- có nhiều tiêu; cay\n- nóng nảy, nóng tính\n[02= a peppery temper] tính nóng nảy\n- châm biếm, chua cay\n[02= peppery speech] lời nói châm biếm chua cay
peppily	- xem [03peppy] 
peppiness	như [03peppily]
peppy [01/'pepi/]	[01* ttừ]\n- (Mỹ),(lóng) đầy nghị lực, đầy dũng khí, hăng hái
pepsin [01/'pepsin/]	[01* dtừ]\n- (sinh vật) Pepxin
pepsinogen [01/pep'sinədʒin/]	[01* dtừ]\n- (sinh vật) pepxinogen
peptic [01/'peptik/]	[01* ttừ]\n- (thuộc) tiêu hoá\n[02= peptic glands] tuyến tiêu hoá\n- (thuộc) pepxin
peptics [01/'peptiks/]	[01* dtừ s/n]\n-(đùa) cơ quan tiêu hoá
peptide [01/'peptaid/]	[01* dtừ]\n- (sinh (hoá)) sự kết hợp của hai hay nhiều axit amin tạo thành chuỗi
peptogen [01/'peptədʒən/]	[01* dtừ]\n- thuốc tăng tiết pepxin
peptone [01/'peptoun/]	[01* dtừ]\n- Peptone
peptonic	- xem [03peptone] 
peptonization	- xem [03peptonize] 
peptonize [01/,pep'tənaiz/]	[01* đtừ]\n- Peptone hoá
per [01/pə:/]	[01* dtừ]\n- mỗi\n[02= per annum] mỗi năm\n[02= per diem (day)] mỗi ngày\n[02= per mensem (month)] mỗi tháng\n[02= per caput (capita)] mỗi đầu người\n[02= a shilling per man] mỗi người một silinh\n- bởi, bằng, qua\n[02= per steamer] bằng tàu thuỷ\n[02= per rail] bằng xe lửa\n[02= per post] qua bưu điện\n- do (ai làm, gửi...), theo\n[02= per Mr. Smith] do ông Xmít gửi\n[02= per procurationem] ((vt) per proc; per pro; p.p) theo quyền được uỷ nhiệm; thừa lệnh\n[02= per se] do bản thân nó, tự bản thân nó\n[02= settlement per contra] sự giải quyết trái ngược lại\n[02= as per usual] theo thường lệ, như thói quen
per annum [01/pər 'ænəm/]	[01* phtừ] mỗi năm
per capita [01/pə 'kæpitə/]	- (ktế) Theo đầu người.
per cent [01/pə'sent/]	[01* dtừ]\n- phần trăm\n[02= three per_cent] ba phần trăm
per contra [01/pə'kɔntrə/]	[01* phtừ] trái lại; ngược lại\n[02= settlement per contra] sự giải quyết trái ngược lại
per diem [01/pə'di:em/]	[01* phtừ, ttừ]\n- mỗi ngày;\n[01* dtừ]\n- lương ngày; lương công nhật
per pro [01/,pə:'prou/]	[01* dtừ]\n- (vt) pp (ký thay, thay mặt cho)\n- vt của [03per procurationem] (do sự giúp đỡ, do sự ủy nhiệm) 
