blithesomely	- xem [03blithesome] 
blood [01/blʌd/]	[01* dtừ]\n- máu, huyết\n- nhựa (cây) ; nước ngọt (hoa quả...)\n- sự tàn sát, sự chém giết, sự đổ máu\n[02= to thirst for blood] khát máu\n- tính khí\n[02= in warm blood] nổi nóng, nổi giận\n[02= bad blood] ác ý\n- giống nòi, dòng dõi, họ hàng, gia đình\n[02= to be the same flesh and blood] cùng một dòng họ, cùng một dòng máu\n[02= to be near in blood] có họ gần\n[02= blood royal] hoang gia\n[02= fresh blood] số người mới nhập (vào một gia đình, một xã, một hội)\n[02= bit of blood] ngựa thuần chủng\n[02= dauntlessness runs in the blood of that family] tinh thần bất khuất là truyền thống của gia đình ấy\n- người lịch sự, người ăn diện ((thường) [02young blood])\n[04! blood and iron]\n- chính sách vũ lực tàn bạo\n[04! blood is thicker than water]\n- (tục ngữ) một giọt máu đào hơn ao nước lã\n[04! to breed (make, stir up) bad blood between persons]\n- gây sự bất hoà giữa người nọ với người kia\n[04! to drown in blood]\n- nhận chìm trong máu\n[04! to freeze someone's blood]\n- xem [03freeze]\n[04! to get (have) one's blood up]\n- nổi nóng\n[04! to get someone's blood up]\n- làm cho ai nổi nóng\n[04! in cold blood]\n- chủ tâm có suy tính trước\n- nhẫn tâm, lạnh lùng, không ghê tay (khi giết người)\n[04! to make one's blood boil]\n- xem [03boit]\n[04! to make someone's blood run cold]\n- xem [03cold]\n[04! you cannot get (take) blood (out of) stone]\n- không thể nào làm mủi lòng kẻ nhẫn tâm được\n[01* ngđtừ]\n- trích máu\n- (săn bắn) luyện cho (chó săn) thích máu\n- (bóng) xúi giục, kích động (ai) 
blood bank [01/'blʌdbæηk/]	[01* dtừ]\n- nhà băng máu
blood bath [01/'blʌdbɑ:θ/]	[01* dtừ]\n- sự tàn sát, sự chém giết, sự đổ máu
blood brother [01/'blʌd,brʌđə/]	[01* dtừ]\n- anh em máu mủ ruột thịt\n- anh em kết nghĩa trích máu ăn thề
blood brotherhood	- xem [03blood brother] 
blood cell [01/'blʌdsel/]	[01* dtừ]\n- tế bào máu
blood count [01/'blʌdkaunt/]	- sự đếm huyết cầu trong máu
blood donation [01/'blʌddou'nei∫n/]	[01* dtừ]\n- sự hiến máu
blood donor [01/'blʌd'dounə/]	[01* dtừ]\n- (y) người cho máu
blood feud [01/'blʌdfju:d/]	[01* dtừ]\n- mối thù truyền kiếp
blood group [01/'blʌdgru:p/]	[01* dtừ]\n- nhóm máu
blood guilt [01/blʌdgilt/]	[01* dtừ]\n- tội giết người
blood money	- tiền thuê giết người
blood orange [01/'blʌd,ɔrindʒ/]	[01* dtừ]\n- loại cam múi đỏ
blood pressure [01/'blʌd,pre∫ə/]	[01* dtừ]\n- huyết áp
blood pudding [01/'blʌd,pudiη/]	[01* dtừ]\n- dồi (lợn) 
blood serum [01/'blʌd'siərəm/]	[01* dtừ]\n- huyết tương
blood sport	- thể thao săn bắn
blood sports [01/'blʌd'spɔ:ts/]	[01* dtừ]\n- trò bắn giết thú vật (một lối chơi thể thao) 
blood stock [01/'blʌd'stɔk/]	như [03bloodstock]
blood test [01/'blʌd'test/]	[01* dtừ]\n- sự thử máu
blood transfusion [01/'blʌdtræns'fju:ʒn/]	[01* dtừ]\n- (y) sự truyền máu
blood type [01/'blʌdtaip/]	[01* dtừ]\n- kiểu máu, nhóm máu
blood typing [01/'blʌdtaipiη/]	[01* dtừ]\n- cách phần loại nhóm máu
blood-bath [01/'blʌdbɑ:θ/]	[01* dtừ]\n- vụ giết người hàng loạt; vụ thảm sát; cuộc "tắm máu"
bloodbrother [01/'blʌd'brʌðə/]	- xem [03blood-brother] 
blood-brother [01/'blʌd'brʌðə/]	[01* dtừ]\n- anh em máu mủ ruột thịt; anh em kết nghĩa trích máu ăn thề
blood-count [01/'blʌdkaunt/]	[01* dtừ]\n- sự đếm huyết cầu (trong máu) 
blood-curdling [01/'blʌd,kə:dliɳ/]	[01* ttừ]\n- làm sợ chết khiếp, khủng khiếp\n[02= blood-curdling sight] cảnh khủng khiếp
bloodcurdling [01/'blʌdkə:dliη/]	[01* ttừ]\n- làm kinh khiếp; làm kinh hoàng\n[02= bloodcurdling screams] những tiếng thét ghê rợn
blooddonor [01/'blʌd'dounə/]	- xem [03blood-donor] 
blood-donor [01/'blʌd'dounə/]	[01* dtừ]\n-(y) người cho máu
blooded [01/'blʌdid/]	[01* ttừ]\n- dòng giống tốt; thuần chủng
blood-guilty [01/'blʌd'gilti/]	[01* ttừ]\n- phạm tội giết người; có can phạm đến cái chết của ai
blood-heat [01/'blʌdhi:t/]	[01* dtừ]\n- thân nhiệt bình thường
blood-horse [01/'blʌdhɔ:s/]	[01* dtừ]\n- ngựa thuần chủng
bloodhound [01/'blʌdhaund/]	[01* dtừ]\n- chó (săn) dò thú, chó đánh hơi\n- mật thám
bloodily [01/'blʌdili/]	[01* phtừ]\n- tàn bạo; khát máu, thích đổ máu
bloodiness [01/'blʌdinis/]	[01* dtừ]\n- tính tàn bạo, tính khát máu, tính thích đổ máu
bloodless [01/'blʌdlis/]	[01* ttừ]\n- không có máu; tái nhợt\n- không đổ máu\n[02= a bloodless victory] chiến thắng không đổ máu, chiến thắng không ai phải hy sinh cả\n- lạnh lùng, vô tình, nhẫn tâm\n- không có sinh khí, uể oải, lờ phờ
bloodlessly	như [03bloodlessness]
bloodlessness	- xem [03bloodless] 
blood-letting [01/'blʌd,letiη/]	[01* dtừ]\n- (y) sự trích máu\n-(đùa) sự đổ máu
bloodline [01/'blʌdlain/]	[01* dtừ]\n- dòng dõi huyết thống
blood-lust [01/'blʌdlʌst/]	[01* dtừ]\n- sự si mê chém giết
blood-money [01/'blʌd,mʌni/]	[01* dtừ]\n- đồng tiền máu (tiền thưởng cho kẻ làm chứng để tuyên được án tử hình) ; tiền phạt trả cho người nhà có người bị giết
blood-poisoning [01/'blʌd,pɔizniη/]	[01* dtừ]\n- sự ngộ độc máu
blood-pudding [01/'blʌd,pudiη/]	như [03black pudding]
blood-red [01/'blʌd'red/]	[01* ttừ]\n- đỏ máu
blood-relation [01/'blʌdri'lei∫n/]	[01* dtừ]\n- họ hàng máu mủ, bà con ruột thịt
blood-sausage [01/'blʌd,sɔsidʒ/]	như [03black pudding]
bloodshed [01/'blʌd∫ed/]	[01* dtừ]\n- sự đổ máu, sự chém giết
bloodshot [01/'blʌd∫ɔt/]	[01* ttừ]\n- đỏ ngàu (mắt)\n[04! to see thing bloodhot]\n- thấy dấu vết của sự đổ máu ở cái gì\n- thấy cái gì kích thích ý muốn giết chóc
blood-stained [01/'blʌdsteind/]	[01* ttừ]\n- nhuốm máu\n- bị ô danh (vì gây ra đổ máu) 
bloodstock [01/'blʌdstɔk/]	[01* dtừ]\n- ngựa thuần chủng (nói chung) 
bloodstream [01/'blʌdstri:m/]	[01* dtừ]\n- dòng máu trong cơ thể
blood-sucker [01/'blʌd,sʌkə/]	[01* dtừ]\n- con đỉa\n- (bóng) kẻ hút máu hút mủ; kẻ bóc lột
bloodsucker [01/'blʌdsʌkə/]	[01* dtừ]\n- động vật hút máu\n- kẻ bóc lột
bloodsucking	- xem [03bloodsucker] 
bloodthirstily [01/'blʌdθə:stili/]	[01* phtừ]\n- khát máu, tàn bạo
bloodthirstiness [01/'blʌdθə':stinis/]	[01* dtừ]\n- tính khát máu, tính tàn bạo
bloodthirsty [01/'blʌdθə:sti/]	[01* ttừ]\n- khát máu, tàn bạo
blood-vessel [01/'blʌd,vesl/]	[01* dtừ]\n- mạch máu
bloodworm [01/'blʌdwə:m/]	[01* dtừ]\n- con sâu có đốt màu đỏ làm mồi câu\n- bọ chỉ đào; bọ gậy; cung quăng
bloody [01/'blʌdi/]	như [03bloody-minded]
bloody-minded [01/'blʌdi'maindid/]	[01* ttừ]\n- vấy máu, đẫm máu, dính máu; chảy máu, có đổ máu\n- tàn bạo, khát máu, thích đổ máu, thích giết người ((cũng) [03bloody minded] )\n- đỏ như máu\n[02= a bloody sun] mặt trời đỏ như máu\n[01* phtừ]\n- uộc bloody, hết sức, vô cùng\n- chết tiệt, trời đánh thánh vật\n[01* ngđtừ]\n- làm vấy máu\n- làm đỏ máu
bloody-mindedness [01/'blʌdi'maindidnis/]	[01* dtừ]\n- tính dửng dưng, tính trơ trơ
bloom [01/blu:m/]	[01* dtừ]\n- hoa\n- sự ra hoa\n[02= in bloom] đang ra hoa\n- (bóng) tuổi thanh xuân; thời kỳ rực rỡ, thời kỳ tươi đẹp nhất\n[02= in the full bloom of youth] trong lúc tuổi thanh xuân tươi đẹp nhất\n- phấn (ở vỏ quả)\n- sắc hồng hào khoẻ mạnh; vẻ tươi\n[02= to take the bloom off] làm mất tươi\n[01* nđtừ]\n- có hoa, ra hoa, nở hoa\n- (bóng) ở thời kỳ rực rỡ, ở thời kỳ tươi đẹp nhất\n[01* dtừ]\n- (kỹ) thỏi đúc (sắt thép)\n[01* ngđtừ]\n- (kỹ) đúc (sắt thép) thành thỏi
bloomer [01/'blu:mə/]	[01* dtừ]\n- (lóng) lỗi lầm lớn, điều sai lầm lớn
bloomers [01/'blu:məz/]	[01* (bất qui tắc) dtừ s/n]\n- quần buộc túm (phụ nữ mặc để chơi thể thao) 
bloomery [01/'blu:məri/]	[01* dtừ s/n]\n- nơi quặng sắt được chế biến thành sắt có thể dát được; lò nung
blooming [01/'blu:miη/]	[01* ttừ]\n- đang nở hoa\n- tươi đẹp, tươi như hoa nở; đang ở thời kỳ rực rỡ, đang ở thời kỳ tươi đẹp nhất\n[02= a blooming beauty] sắc đẹp đang thì\n- (tục) quá, quá đỗi, quá chừng, hết sức\n[02= a blooming food] một thằng ngu hết sức\n[01* dtừ]\n- (kỹ) sự đúc (sắt thép) thành thỏi
bloomy	- xem [03bloom] 
blooper [01/'blu:pə/]	[01* dtừ]\n- sự đụng chạm khiến người ta rơi vào tình huống khó xử
blossom [01/'blɔsəm/]	[01* dtừ]\n- hoa (của cây ăn quả)\n[02= in blossom] đang ra hoa\n- (bóng) sự hứa hẹn, niềm hy vọng\n[01* nđtừ]\n- ra hoa, trổ hoa (đen & bóng) 
blossomy	- xem [03blossom] 
blot [01/blɔt/]	[01* dtừ]\n- điểm yếu (về mặt chiến lược)\n[02= to hit a blot] phát hiện ra một điểm yếu về mặt chiến lược\n[01* dtừ]\n- dấu, vết (mực...)\n- vết xoá\n- (bóng) vết nhơ, vết nhục\n[04! a blot on one's escutcheon]\n- vết nhơ cho thanh danh của mình\n[02= a blot on the landscape] cái làm hại, cái làm đẹp chung\n- người làm mang tai mang tiếng cho gia đình\n[01* ngđtừ]\n- làm bẩn, vấy bẩn (bằng mực)\n- thấm\n- (bóng) làm mất, làm nhơ, bôi nhọ (phẩm giá, danh dự)\n[01* nđtừ]\n- thấm, hút mực (giấy thấm)\n- nhỏ mực (bút)\n[04! to blot out]\n- xoá đi, xoá sạch, tẩy sạch\n[02= to blot out a word] xoá một từ\n- làm mờ đi, che kín\n[02= the fog blots out the view] sương mù làm mờ phong cảnh\n- tiêu diệt, phá huỷ\n[04! to blot one's copy-book]\n- xem [03copy-book] 
blotch [01/blɔt∫/]	[01* dtừ]\n- nhọt sưng tấy, chỗ sưng tấy (trên da)\n- vết (mực, sơn...)\n- (lóng) giấy thấm\n[01* ngđtừ]\n- làm bẩn, bôi bẩn
blotched [01/blɔt∫t/]	[01* ttừ]\n- có vết bẩn, đầy vết bẩn
blotchily	- xem [03blotch] 
blotchiness	như [03blotchily]
blotchy [01/'blɔtʃi/]	như [03blotched]
blotter [01/'blɔtə/]	[01* dtừ]\n- bàn thấm\n- (thương nghiệp) sổ nháp
blotting-paper [01/'blɔtiη'peipə/]	như [03drying paper]
blotto [01/'blɔtou/]	[01* ttừ]\n- (lóng) say khướt, say mèm
blouse [01/blauz/]	[01* dtừ]\n- áo cánh (đàn bà, trẻ con)\n- áo choàng, áo bờ-lu (mặc khi làm việc) 
blouson [01/'blu:zɔn/]	[01* dtừ]\n- áo bludông
blow	[01* dtừ]\n- cú đánh đòn\n[02= to deal a blow] giáng cho một đòn\n[02= at a blow] chỉ một cú, chỉ một đập\n[02= to come to blows] đánh nhau; dở đấm, dở đá ra\n- tai hoạ, điều gây xúc động mạnh, cú choáng người\n[02= his wife's death was a great blow to him] vợ anh ấy mất đi thật là một điều bất hạnh lớn đối với anh ấy\n[04! to strike a blow against]\n- chống lại\n[04! to strike a blow for]\n- giúp đỡ, ủng hộ; đấu tranh cho (tự do...)\n[01* dtừ]\n- sự nở hoa\n[02= in full blow] đang mùa rộ hoa\n- ngọn gió\n[02= to go for a blow] đi hóng mát\n- hơi thổi; sự thổi (kèn...) ; sự hỉ (mũi)\n- trứng ruồi, trứng nhặng (đẻ vào thức ăn...)((cũng) [03fly] )\n[01* (bất qui tắc) đtừ blew] /blu:/, blown\n- /bloun/\n[01* nđtừ]\n- nở hoa\n- thổi (gió)\n[02= it is blowing hard] gió thổi mạnh\n- thổi\n[02= to blow (on) the trumper] thổi kèn trumpet\n[02= the train whistle blows] còi xe lửa thổi\n[02= to blow the bellows] thổi bễ\n[02= to blow the fire] thổi lửa\n[02= to blow glass] thổi thuỷ tinh\n[02= to blow bubbles] thổi bong bóng\n- hà hơi vào; hỉ (mũi) ; hút (trứng)\n[02= to blow one's fingers] hà hơi vào ngón tay\n[02= to blow one's nose] hỉ mũi\n[02= to blow an eggs] hút trứng\n- phun nước (cá voi)\n- cuốn đi (gió) ; bị (gió) cuốn đi\n[02= the blown out to sea] con tàu bị gió cuốn ra ngoài khơi\n- thở dốc; làm mệt, đứt hơi\n[02= to blow hard and perspire profusely] thở dốc và ra mồ hôi đầm đìa\n[02= to blow one's horse] làm cho con ngựa mệt đứt hơi, làm cho con ngựa thở dốc ra\n[02= to be thoroughly blown] mệt đứt hơi\n- nói xấu; làm giảm giá trị, bôi xấu, bôi nhọ (danh dự...)\n[02= to blow on (upon) somebody's character] bôi nhọ danh dự của ai\n- đẻ trứng vào (ruồi, nhặng) ; ((nghĩa rộng)) làm hỏng, làm thối\n- (tục) khoe khoang, khoác lác\n- (lóng) nguyền rủa\n- (điện học) nổ (cầu chì)\n- (Mỹ),(lóng) bỏ đi, chuồn\n- (Mỹ),(lóng) xài phí, phung phí (tiền)\n[04! to blow about (abroad)]\n- lan truyền; tung ra (tin tức...)\n[04! to blow down]\n- thổi ngã, thổi gẫy làm rạp xuống (gió)\n[04! to blow in]\n- thổi vào (gió...)\n- (lóng) đến bất chợt, đến thình lình\n[04! to blow off]\n- thổi bay đi, cuôn đi\n- (kỹ) thông, làm xì ra\n[02= to blow off steam] làm xì hơi ra, xả hơi\n- (Mỹ),(lóng) tiêu phí, phung phí (tiền...)\n[02= to blow out] thổi tắt; tắt (vì bị gió thổi vào...)\n[02= to blow out a canlde] thổi tắt ngọn nến\n[02= the candle blows out] ngọn nến tắt\n- nổ (cầu chì...) ; làm nổ\n[02= to blow out one's brain] tự bắn vỡ óc\n[04! to blow over]\n- qua đi\n[02= the storm will soon blow over] cơn bão sẽ chóng qua đi\n- (bóng) bỏ qua, quên đi\n[04! to blow up]\n- nổ, nổ tung; làm nổ; phá (bằng chất nổ, mìn...)\n[02= to blow up a tyre] làm nổ lốp xe\n[02= to be blown up with pride] (bóng) vênh váo, kiêu ngạo\n- mắng mỏ, quở trách\n- phóng (ảnh)\n- nổi nóng\n[04! to blow upon]\n- làm mất tươi, làm thiu\n- làm mất tín nhiệm, làm mất thanh danh\n- làm mất hứng thú\n- mách lẻo, kháo chuyện về (ai)\n[04! to blow hot and cold]\n- xem [03hot]\n[04! to blow one's own trumpet (born)]\n- khoe khoang\n[04! to blow the gaff]\n- xem [03gaff] 
blow dryer	- xem [03blow-dry] 
blow up	- (kỹ) phóng lớn, phóng đại, khuếch trương; nổ
blow wave [01/'blouweiv/]	[01* dtừ]\n- phương pháp uốn tóc bằng máy sấy, (ngđtừ) uốn tóc bằng máy sấy
blowback [01/'bloubæk/]	[01* dtừ]\n- sự nạp đạn tự động
blow-by-blow	[01* ttừ]\n- chi tiết; tỉ mỉ\n[02= a blow-by-blow account] sự tính toán chi tiết
blow-dry [01/'bloudrai/]	[01* dtừ]\n- sự sấy tóc\n[01* ngđtừ] 
blower [01/'blouə/]	[01* dtừ]\n- ống bễ\n- người thổi (đồ thuỷ tinh)\n- (kỹ) máy quạt gió
blowfly [01/'blouflai/]	[01* dtừ]\n- ruồi xanh, nhặng
blowgun [01/'blougʌn/]	[01* dtừ]\n- ống xì đồng\n- cái sơn xì
blowhard [01/'blouhɑ:d/]	[01* dtừ]\n- (Mỹ),(lóng) anh chàng huênh hoang khoác lác
blowhole [01/'blouhoul/]	[01* dtừ]\n- lỗ phun nước (cá voi)\n- ống thông hơi (đường hầm)\n- bọt (thuỷ tinh) ; chỗ rỗ (kim loại) 
blowing-up [01/'blouiηʌp/]	[01* dtừ]\n- sự nổ, sự phá bằng mìn\n- (lóng) sự rầy la, sự chửi mắng
blowlamp [01/'bloulæmp/]	như [03blowtorch]
blown	như [03blow]
blow-off [01/'blou'ɔ:f/]	[01* dtừ]\n- sự xì hơi, sự xả hơi\n- cái để xì hơi, cái để xả hơi\n- (Mỹ),(lóng) anh chàng nói khoác
blow-out [01/'blou'aut/]	[01* dtừ]\n- sự nổ lốp xe; sự bật hơi\n- (điện học) cái triệt tia điện; sự nổ cầu chì\n- (lóng) bữa chén thừa mứa\n- (Mỹ) cơn giận điên lên; sự phẫn nộ\n- (Mỹ),(lóng) biến cố lớn
blowpipe [01/'bloupaip/]	[01* dtừ]\n- ống hàn\n- ống thổi thuỷ tinh\n- ống xì đồng\n- ống thổi lửa
blowtorch [01/'bloutɔ:t∫/]	[01* dtừ]\n- đèn hàn
blowtube [01/'bloutju:b/]	[01* dtừ]\n- ống thổi thuỷ tinh\n- ống xì đồng
blow-up [01/'blou'ʌp/]	[01* dtừ]\n- sự nổ\n- sự rầy la, sự chửi mắng\n- cơn giận dữ, cơn phẫn nộ\n- tranh phóng to, ảnh phóng to\n- (tục) bữa chén thừa mứa\n- (Mỹ),(lóng) biến cố lớn
blowy [01/'bloui/]	[01* ttừ]\n- có gió, lộng gió
blowzed [01/blauzd/]	như [03blowzy]
blowzily	như [03blowziness]
blowziness	- xem [03blowzy] 
blowzy [01/'blauzi/]	[01* ttừ]\n- thô kệch\n- tóc tai rũ rượi; nhếch nhác lôi thôi, lếch thếch (đàn bà) 
blub [01/blʌb/]	[01* nđtừ]\n- (lóng) khóc, vãi nước đái ((bóng)) 
blubber [01/'blʌbə/]	[01* dtừ]\n- mỡ cá voi\n- con sứa\n- nước mắt; sự khóc sưng cả mắt\n[01* đtừ]\n- thổn thức; khóc bù lu bù loa; khóc sưng cả mắt\n[01* ttừ]\n- vều, trề (môi) 
blubberer	như [03blubbery]
blubberingly	như [03blubbery]
blubbery	- xem [03blubber] 
bluchers [01/'blu:t∫əz/]	[01* (bất qui tắc) dtừ s/n]\n- giày cao cổ
bludge [01/'blʌdʒ/]	[01* nđtừ]\n- (từ úc, (tục)) trốn tránh công việc, nhiệm vụ\n- trút lên người khác, bắt người khác gánh chịu\n- xoáy; nẫng\n[01* dtừ]\n- công việc đễ dàng, thời gian rãnh rỗi
bludgeon [01/'blʌdʒən/]	[01* dtừ]\n- cái dùi cui\n[01* ngđtừ]\n- đánh bằng dùi cui
bludgeoneer	như [03bludgeoner]
bludgeoner	- xem [03bludgeon] 
blue (electron) gun	- (kỹ) súng điện tử mầu lam
