launching ways	265-13901-B
lay	265-24796-B,384-19797-S
lay by	265-31099-B
lay days	265-31195-B
lay figure	265-30608-B
lay off	265-32346-B
lay out	265-32631-B
lay over	265-32860-B
lay reader	265-30864-B
lay up	265-33109-B
layabout	265-31000-B
layer	265-31296-B,5-4119-S,52-6582-S,62-737-S,112-15022-S,114-16760-S,114-16956-S,122-18764-S,143-16224-S,158-8395-S,161-1793-S,169-22031-S,169-22137-S,200-954-S,217-26432-S,323-13469-S,333-3673-S,482-15608-S
layer cake	265-31756-B
layer deposition	159-552-S
layer isolation	159-656-S
layer photodiode	122-18920-S
layerage	265-31844-B
layered	482-15684-S
layette	265-31915-B
laying	265-31960-B,344-21717-S
laying on of hands	265-32089-B
layman	265-32219-B
layout	265-32576-B,79-16113-S,206-16863-S
laystall	265-33045-B
lazar	265-33289-B
lazar house	265-33473-B
lazaret	265-33326-B
lazaretto	265-33426-B
lazarus	265-33545-B
laze	265-33726-B
lazily	265-33882-B
laziness	265-33943-B
lazuli	264-7609-S
lazurite	265-34024-B
lazy	265-34084-B,54-18039-S
lazy bones	266-203-B
lazy eye	266-0-B
lazy susan	266-66-B
lazy tongs	266-303-B
lazybones	266-137-B
lb	266-360-B,266-402-B
lbw	266-516-B
lcd	266-651-B
le	184-18370-S
le mot juste	266-831-B
lea	266-914-B
leach	266-1104-B
leachability	266-1285-B
leachable	266-1373-B
lead	266-1447-B,38-1635-S,50-11303-S,50-16647-S,136-9067-S,148-5944-S,257-9731-S,381-20776-S,431-24757-S,516-790-S
lead acetate	266-4889-B
lead colic	266-4949-B
lead comb	266-5063-B
lead in	266-7484-B
lead off	266-9304-B
lead pencil	266-5147-B
lead poisoning	266-5201-B,266-9402-B
lead story	266-5261-B
lead time	266-5359-B
lead works	266-9630-B
leaded	138-7061-S
leaden	266-5497-B
leader	266-5847-B,71-256-S,174-15092-S,177-16650-S,183-165-S,185-7611-S,262-1893-S,275-1897-S,279-21709-S,315-7793-S
leader of the opposition	266-6711-B
leader writer	266-7407-B
leaderette	266-6848-B
leaderless	266-6915-B
leadership	266-7116-B
leading	266-7550-B
leading article	266-7970-B
leading case	266-8058-B
leading edge	266-8150-B
leading indicator	266-8233-B
leading lady	266-8356-B
leading light	266-8440-B
leading man	266-8628-B
leading note	266-8709-B
leading question	266-8793-B
leading rein	266-8921-B
leading strings	266-8996-B
leadline	266-9246-B
leadsman	266-9478-B
leadwork	266-9543-B
leaf	266-9693-B,43-19583-S,83-21625-S,116-184-S,140-38226-S,177-7302-S,184-12293-S,204-3533-S,274-23314-S,282-6932-S,345-7160-S,394-7940-S,394-17652-S,408-24904-S,420-21759-S,447-23700-S,460-6570-S,463-3288-S,510-19742-S
leaf beet	266-9725-B
leaf beetle	266-9802-B
leaf blade	266-10277-B
leaf blotch	266-9873-B
leaf bud	266-10347-B
leaf butterfly	266-9940-B
leaf curl	266-10036-B
leaf fat	266-10396-B
leaf insect	266-10546-B
leaf miner	266-10107-B
leaf mould	266-10794-B
leaf roller	266-10166-B
leafage	266-10229-B
leafiness	266-10454-B
leafless	266-10601-B
leaflet	266-10655-B
leafstalk	266-10849-B
leafy	266-10894-B
league	266-10953-B,253-17970-S,279-20071-S,396-9169-S,414-24331-S
league table	266-11411-B
leaguer	266-11540-B
leak	266-11712-B
leak detector	208-10008-S
leakage	266-12241-B
leakiness	266-12579-B
leakless	266-12702-B
leaky	266-12771-B
leal	266-12914-B
lean	266-13040-B
lean to	266-14115-B
leaning	266-13960-B
leanness	266-14031-B
leant	266-14095-B
leap	266-14211-B,373-15489-S
leap day	266-14283-B
leap frog	266-14388-B
leap year	266-14242-B,266-15371-B
leaper	266-14336-B
leaping	266-14454-B
leapt	266-14504-B
learn	266-15573-B
learnable	266-16025-B
learned	266-16092-B,55-412-S
learnedly	266-16372-B
learner	266-16452-B,425-12516-S
learning	266-16539-B,55-486-S,91-10218-S,91-11598-S,91-15467-S,92-3164-S,363-22220-S,390-3853-S,394-23561-S
learnt	266-16876-B
leary	266-16910-B
lease	266-16996-B,60-22341-S,489-11246-S
lease act	267-11504-S
lease purchase	266-17713-B
leasehold	266-17494-B
leaseholder	266-17560-B
leash	266-17841-B
leasing	266-18137-B
least	266-18240-B
least common denominator	266-19072-B
least mean square	159-8677-S
leastways	266-19186-B
leastwise	266-19275-B
leat	266-19348-B
leather	266-19412-B,73-23200-S,107-15730-S,205-29014-S,218-14796-S,301-4777-S,331-14011-S,415-23463-S,417-21277-S,429-21883-S,444-11389-S,515-9318-S
leather back	266-20037-B
leather cloth	266-20110-B
leather head	266-20222-B
leather jacket	266-20297-B
leather neck	266-20425-B
leatherette	266-20168-B
leathern	266-20375-B
leatheroid	266-20507-B
leatherwood	266-20588-B
leathery	266-20811-B
leave	266-20928-B,2-21212-S,284-11010-S,418-2260-S,419-14514-S,516-20859-S
leave breaker	266-23831-B
leave taking	266-24942-B
leaved	266-23907-B,83-10054-S,156-5797-S,187-20246-S,382-756-S,413-18799-S,426-23009-S,429-10847-S,447-21180-S,457-15252-S,516-14610-S
leaven	266-23971-B
leavening	266-24273-B
leaver	404-1173-S
leaves	266-24372-B,315-6980-S
leavings	266-25032-B
lebensraum	266-25126-B
lecher	266-25231-B
lecherous	266-25306-B
lecherously	266-25378-B
lecherousness	266-25455-B
lechery	266-25508-B
lechry	266-25586-B
lecithin	266-25662-B
lectern	266-25718-B
lection	266-25799-B
lectionary	266-25929-B
lecture	266-26025-B,111-6669-S
lecturer	266-26354-B
lectureship	266-26496-B
led	266-26611-B,146-1903-S
lederhosen	266-26677-B
ledge	266-26832-B,520-28391-S
ledger	266-26945-B
ledger bait	266-27229-B
ledger board	266-27132-B
lee	266-27286-B
lee shore	266-27493-B
leeboard	266-27576-B
leech	266-27665-B,104-26423-S,286-1437-S
leeching	104-26485-S
leechlike	266-27907-B
leek	266-27963-B
leekie	84-21901-S
leeky	85-4739-S
leer	266-28082-B
leeriness	266-28249-B
leery	266-28324-B
lees	266-28388-B
leeward	266-28680-B
leeway	266-28811-B
left	266-29216-B,223-26237-S,244-24068-S,319-24750-S,391-26739-S,439-19057-S
left bank	266-29850-B
left hand	266-29973-B
left handed	266-30129-B
left handedly	266-30600-B
left handedness	266-30690-B
left hander	266-30834-B
left luggage office	266-31151-B
left off	266-31324-B
left overs	266-31822-B
left wing	266-29902-B,266-31988-B
left winger	266-32083-B
leftism	266-30928-B
leftist	266-31027-B
leftmost	266-31272-B
leftover	266-31397-B
leftward	266-31885-B
leftwards	266-31943-B
lefty	266-32179-B
leg	266-32255-B,100-20110-S,136-9187-S,438-18733-S
leg art	266-33900-B
leg bail	267-970-B
leg iron	267-3358-B
leg man	267-5806-B
leg of mutton	267-6046-B
leg pull	267-6170-B
leg rest	267-6228-B
leg show	266-34041-B
leg up	267-6677-B
leg warmers	267-6788-B
leg work	266-34162-B
legacy	266-34253-B
legacy hunter	266-34520-B
legal	266-34629-B,168-22471-S
legal age	266-34749-B
legal aid	266-34870-B
legal eagle	266-34943-B
legal proceedings	266-35036-B
legal tender	266-35135-B
legalese	266-35211-B
legalisation	266-35303-B
legalise	266-35436-B
legalism	266-35548-B
legalist	266-35647-B
legalistic	266-35832-B
legality	266-35946-B
legalization	267-0-B
legalize	267-135-B
legally	267-180-B
legasism	267-287-B
legate	267-406-B
legatee	267-569-B,387-13017-S
legateship	267-613-B
legation	267-691-B
legato	267-846-B
legator	267-929-B
legend	267-1118-B,4-26404-S
legendary	267-1323-B
legendist	267-1470-B
legendize	267-1551-B
legendry	267-1666-B
leger	267-1735-B
legerdemain	267-1887-B
legerity	267-2047-B
legged	267-2108-B,39-19145-S,40-9305-S,41-5259-S,56-14429-S,108-1577-S,141-25596-S,188-20389-S,197-8064-S,269-29336-S,313-12122-S,382-820-S,395-2495-S,418-9591-S,435-10784-S,468-2984-S,482-15751-S
legged race	468-3044-S
leggings	267-2177-B
leggy	267-2230-B
leghorn	267-2303-B
legibility	267-2434-B
legible	267-2525-B
legibly	267-2588-B
legion	267-2653-B,186-16476-S
legionary	267-2970-B
legionnaire	267-3175-B
legionnaires disease	267-3249-B
legislate	267-3426-B
legislation	267-3497-B
legislative	267-3642-B
legislator	267-3812-B
legislatorial	267-3937-B
legislatorship	267-4022-B
legislature	267-4192-B
legist	267-4264-B
legit	267-4375-B
legitimacy	267-4423-B
legitimate	267-4533-B
legitimately	267-4947-B
legitimation	267-5009-B
legitimatise	267-5149-B
legitimatize	267-5207-B
legitimise	267-5301-B
legitimism	267-5354-B
legitimist	267-5428-B
legitimize	267-5516-B
legless	267-5569-B
legman	267-5682-B
lego	267-5938-B
legomenon	214-32862-S
legroom	267-6305-B
legs	56-14494-S,113-4355-S,407-5870-S,407-6955-S,416-4483-S,416-11210-S,435-10843-S,467-31191-S
legume	267-6400-B
legumin	267-6523-B
leguminous	267-6593-B
legwork	267-6896-B
lehr	267-7003-B
lei	267-7049-B
leister	267-7133-B
leisure	267-7251-B
leisure centre	267-7555-B
leisured	267-7644-B
leisureliness	267-7787-B
leisurely	267-7886-B
leit motif	267-8107-B
leit motiv	267-8258-B
leitmotif	267-8158-B
leitmotiv	267-8377-B
lekker	267-8443-B
leman	267-8512-B
lemma	267-8579-B
lemmas	267-8717-B
lemmata	267-8793-B
lemming	267-8936-B
lemniscate	267-9000-B
lemon	267-9072-B
lemon balm	267-9380-B
lemon curd	267-9453-B
lemon drop	267-9661-B
lemon sole	267-9551-B
lemon squash	267-9882-B
lemon squeezer	267-9965-B
lemon tree	267-10041-B
lemonade	267-9605-B
lemongrass	267-9718-B
lemony	267-10096-B
lemur	267-10166-B
lemures	267-10236-B
len lity	267-10379-B
lend	267-10463-B
lend lease act	267-11504-B
lender	267-11156-B,294-8706-S
lending	267-11231-B,305-5651-S
lending library	267-11300-B,267-11403-B
lending right	368-18019-S
lenght	516-10355-S
length	267-11627-B,20-12401-S,52-3902-S,64-15672-S,146-14183-S,183-270-S,184-17159-S,192-22277-S,196-3546-S,213-12168-S,260-16884-S,418-17873-S,516-10413-S,519-29020-S
length block	180-11616-S
length number double word	138-7139-S
length record	180-11681-S
lengthen	267-12590-B
lengthened	267-12687-B
lengthily	267-12719-B
lengthiness	267-12794-B
lengthways	267-12860-B
lengthwise	267-12924-B
lengthy	267-12973-B
lenience	267-13144-B
leniency	267-13188-B
lenient	267-13286-B
leniently	267-13364-B
leninism	267-13433-B,283-11881-S
leninist	267-13494-B,283-12009-S
leninite	267-13643-B
lenis	267-13718-B
lenitive	267-13770-B
lenity	267-13897-B
lens	267-13967-B,5-13336-S,19-3595-S,25-16292-S,25-18129-S,32-11613-S,47-16938-S,84-13632-S,92-11586-S,92-11698-S,93-18261-S,97-8735-S,99-1068-S,99-6330-S,108-13452-S,112-9514-S,112-9630-S,145-1704-S,148-15973-S,149-5702-S,179-19011-S,308-3810-S,308-6598-S,464-3736-S,525-13538-S
lensed	267-14210-B
lenses	97-8772-S
lensless	267-14262-B
lent	267-14325-B
lent lily	267-14502-B
lent term	267-14581-B
lenten	267-14684-B
lentic	267-14921-B
lentics	267-15022-B
lenticular	267-15078-B
lenticulated	267-15130-B
lentiform	267-15199-B
lentiginous	267-15249-B
lentil	267-15328-B
lentisc	267-15392-B
lentisk	267-15466-B
lentitude	267-15506-B
lento	267-15586-B
lentoid	267-15642-B
lentoil	267-15700-B
leo	267-15741-B
leonine	267-15798-B
leonurus	267-15872-B
leopard	267-15947-B,407-7103-S,428-284-S
leopard moth	267-16092-B
leopardess	267-16199-B
leotard	267-16255-B
lepcha	267-16350-B
leper	267-16509-B
leper house	267-16586-B
lepidolite	267-16664-B
lepidopteral	267-16729-B
lepidopteran	267-16805-B
lepidopterist	267-16903-B
lepidopteron	267-16983-B
lepidopterous	267-17092-B
lepidosis	267-17152-B
lepidote	267-17251-B
leporine	267-17307-B
leprechaun	267-17382-B
leprosarium	267-17473-B
leprosy	267-17530-B
leprotic	267-17596-B
leprous	267-17715-B
leptocephalic	267-17805-B
leptocephalus	267-17881-B
leptodactyl	267-17980-B
leptokurtosis	267-18052-B
lepton	267-18111-B
leptorrhine	267-18181-B
leptospirosis	267-18261-B
