ganglion [01/'gæηgliən/]	như [03ganglia]
garand rifle [01/'gærənd'raifl/]	[01* dtừ]\n- (Mỹ),(qsự) khẩu garăng
garb [01/gɑ:b/]	[01* dtừ]\n- quần áo (có tính chất tiêu biểu)\n[02= in the garb of a sailor] mặc quần áo lính thuỷ\n- cách ăn mặc\n[01* ngđtừ]\n- mặc\n[02= to garb oneself as a sailor] mặc quần áo cho lính thuỷ
garbage [01/'gɑ:bidʒ/]	[01* dtừ]\n- lòng, ruột (thú...)\n- rác (nhà bếp)\n- văn chương sọt rác ((cũng) [03literary garbage] ) 
garbage collection	- (kỹ) sự thu thập phần vô dụng
garbage in, garbage out (GIGO)	- (kỹ) rác vào, rác ra
garbage truck [01/'gɑ:bidʒ'trʌk/]	- xem [03dust-cart] 
garbage-can [01/'gɑ:bidʒ'kæn/]	[01* dtừ]\n- (Mỹ) thùng rác
garbage-collector [01/'gɑ:bidʒkə'lektə/]	[01* dtừ]\n- người nhặt rác, người quét rác
garble [01/'gɑ:bl/]	[01* ngđtừ]\n- cắt xén (đoạn văn, bản báo cáo... để làm sai lạc ý) ; vô tình bóp méo, vô tình xuyên tạc (ý)\n- trích (chọn)(sự kiện, lời tuyên bố) một cách xuyên tạc\n- (hiếm) chọn ra, lựa ra
garbo [01/'ga:bou/]	[01* dtừ]\n- (từ úc) người quét rác
garboard [01/'ga:bɔ:d/]	[01* dtừ]\n- thành tàu thủy
garboil [01/'ga:bɔil/]	[01* dtừ]\n- tình trạng rối loạn
garcon [01/'ga:sɔ/]	[01* dtừ]\n- người hầu bàn ở tiệm ăn
garda [01/'ga:də/]	[01* dtừ] s/n [02gardai]\n- cảnh sát Airơlân
garden [01/'gɑ:dn/]	[01* dtừ]\n- vườn\n[02= a vegetable garden] vườn rau\n- (số nhiều) công viên, vườn\n[02= zoological gardens] vườn bách thú\n- vùng màu mỡ xanh tốt\n[02= to lead somebody up the garden (path)] lừa phỉnh ai, đánh lừa ai\n[01* nđtừ]\n- làm vườn
garden centre [01/'gɑ:dn,sentə/]	[01* dtừ]\n- nơi chuyên kinh doanh hạt giống, cây kiểng, dụng cụ làm vườn
garden city [01/'gɑ:dn,siti/]	[01* dtừ]\n- thành phố lớn có nhiều công viên và cây
garden of Eden [01/'gɑ:dnəv'i:dn/]	[01* dtừ]\n- miền cực lạc, vườn địa đàng
garden seat [01/'gɑ:dnsi:t/]	[01* dtừ]\n- ghế dài ở trong vườn
garden suburb [01/'gɑ:dn,sʌbə:b/]	[01* dtừ]\n- vùng ngoại ô nhiều cây cối
garden truck [01/'gɑ:dn'trʌk/]	[01* dtừ]\n- (Mỹ) rau quả\n[02= to raise garden_truck for the market] trồng rau quả để bán
garden-bed [01/'gɑ:dnbed/]	[01* dtừ]\n- luống hoa
garden-engine [01/'ga:dn,endʒin/]	[01* dtừ]\n- ống vòi nước tưới vườn
gardener [01/'gɑ:dnə/]	như [03horticulturist]
garden-frame [01/'gɑ:dnfreim/]	[01* dtừ]\n- cái giàn (trồng cây leo) 
gardenia [01/gɑ:'di:njə/]	[01* dtừ]\n- (thực vật) cây dành dành
gardening [01/'gɑ:dniη/]	[01* dtừ]\n- nghề làm vườn; sự trồng vườn
garden-party [01/'gɑ:dn,pɑ:ti/]	[01* dtừ]\n- buổi chiêu đãi ở trong vườn
garden-pot [01/'ga:dn,pɔt/]	[01* dtừ]\n- bình tưới cây trong vườn
garden-pump [01/'ga:dn,pʌmp/]	[01* dtừ]\n- bơm tưới vườn
garden-stuff [01/'gɑ:dnstʌf/]	[01* dtừ]\n- rau và hoa quả
garder [01/'ga:də/]	[01* dtừ]\n- thuốc thấm dầu
garderobe [01/'ga:droub/]	[01* dtừ]\n- phòng ngủ
garefowl [01/'geəfoul/]	[01* dtừ]\n- (động vật) chim cánh cụt
garfish [01/'gɑ:fi∫/]	như [03sea-pike]
gargantuan [01/gɑ:'gæntjuən/]	[01* ttừ]\n- to lớn phi thường, khổng lồ
garget [01/'gɑ:git/]	[01* dtừ]\n- (thú y học) bệnh viêm họng (lợn) ; bệnh viêm vú (bò, cừu...) 
gargety [01/'ga:giti/]	[01* dtừ]\n- (thú y) bệnh viêm họng; bệnh viêm vú
gargle [01/'gɑ:gl/]	[01* dtừ]\n- thuốc súc miệng, thuốc súc họng\n[01* đtừ]\n- súc (miệng, họng) 
gargoyle [01/'gɑ:gɔil/]	[01* dtừ]\n- miệng máng xối (hình đầu thú hoặc đầu người, theo kiểu kiến trúc gôtíc) 
garibaldi [01/,gæri'bɔ:ldi/]	[01* dtừ]\n- áo bờ lu (của đàn bà hoặc trẻ con)\n- bánh nhân nho khô
garish [01/'geəri∫/]	[01* ttừ]\n- loè loẹt, sặc sỡ\n[02= garish ornaments] đồ trang trí loè loẹt\n- chói mắt\n[02= garish light] ánh sáng chói mắt
garishly [01/'geəri∫li/]	[01* phtừ]\n- loè loẹt, sặc sỡ
garishness [01/'geəri∫nis/]	[01* dtừ]\n- sự loè loẹt, sự sặc sỡ\n- sự chói mắt
garland [01/'gɑ:lənd/]	[01* dtừ]\n- vòng hoa\n- sự chiếu thẳng; sự giật giải đầu; giải thưởng\n[02= to win (carry away) the garland] đắc thắng\n- (cổ) hợp tuyển (thơ, văn)\n[01* ngđtừ]\n- trang trí bằng vòng hoa; đội vòng hoa\n- dùng làm vòng hoa
garlic [01/'gɑ:lik/]	[01* dtừ]\n- (thực vật) cây tỏi\n- củ tỏi
garlic-eater [01/'ga:lik,i:tə/]	[01* dtừ]\n- người ty tiện
garlicky [01/'gɑ:liki/]	[01* ttừ]\n- (thuộc) tỏi; có mùi tỏi
garment [01/'gɑ:mənt/]	[01* dtừ]\n- áo quần\n[02= nether garments] (đùa) quân\n- vỏ ngoài, cái bọc ngoài\n[01* ngđtừ, (thơ ca)(thường) động tính từ quá khứ]\n- mặc quần áo
garner [01/'gɑ:nə/]	[01* dtừ]\n- (thơ ca) vựa thóc, kho thóc\n[01* ngđtừ (thơ ca)]\n- bỏ vào kho; nộp vào vựa; thu vào kho
garnet [01/'gɑ:nit/]	[01* dtừ]\n- ngọc hồng lựu
garnet-berry [01/'ga:net,beri/]	[01* dtừ]\n- (thực vật) phúc bồn tử
garnetiferous [01/ga:nə'tifərəs/]	[01* ttừ]\n- chứa granat
garnet-sand [01/'ga:net,sænd/]	[01* dtừ]\n- cát có granat, cát có thạch lựu
garnierite [01/'ga:niərait/]	[01* dtừ]\n- (hoá) gacnierit
garnish [01/'gɑ:ni∫/]	[01* dtừ]\n- (như) [03garnishing]\n- (bóng) nét hoa mỹ (văn)\n[01* ngđtừ]\n- bày biện hoa lá (lên món ăn)\n[02= to garnish a fish dish with slices of lemon] bày biện những lát chanh lên đĩa cá\n- trang hoàng, tô điểm\n- (pháp lý) gọi đến hầu toà
garnishee [01/,ga:ni'∫i:/]	[01* dtừ]\n- (từ Pháp, nghĩa Pháp) người phải hầu toà
garnishing [01/'gɑ:ni∫iη/]	[01* dtừ]\n- hoa lá (để bày lên các món ăn)((cũng) [03garnish] ) 
garniture [01/'gɑ:nit∫ə/]	[01* dtừ]\n- đồ trang sức, đồ trang trí; hoa lá (để bày biện lên các món ăn\n- sự trang trí, sự trang hoàng\n- bộ đồ; đồ phụ tùng\n- quần áo; cách ăn mặc
garote [01/ge'rɔt/]	- (Mỹ) như [03garotte]
garotte [01/ge'rɔt/]	[01* dtừ]\n- hình phạt thắt cổ; dây thắt cỏ (tội nhân)\n- nạn bóp cổ cướp đường\n[01* ngđtừ]\n- thắt cổ (ai)\n- bóp cổ (ai) để cướp của
garotter [01/gə'rɔtə/]	[01* dtừ]\n- cũng [03garroter]\n- người giết người bằng thắt cổ\n- người bóp cổ để cướp của
garpike [01/'ga:paik/]	[01* dtừ]\n- xem [03gar-fish] 
garret [01/'gærət/]	[01* dtừ]\n- gác xép sát mái\n- (lóng) cái đầu
garreteer [01/,gærə'tiə/]	[01* dtừ]\n- người ở gác xép sát mái\n- nhà văn nghèo (viết thuê) 
garreting [01/'gæritiη/]	[01* dtừ]\n- sự trát khe xây (bằng bột đá) 
garret-master [01/'gærit,ma:stə/]	[01* dtừ]\n- người chế tạo đồ dùng trong nhà\n- cửa hàng bán đồ dùng trong nhà\n- người thuê nhân công giá thấp
garrison [01/'gærisn/]	[01* dtừ]\n- (qsự) đơn vị đồn trú (tại một thành phố hoặc một đồn bót)\n[01* ngđtừ]\n- đóng quân; bố trí lực lượng đồn trú (ở nơi nào) 
garrison-staff [01/'gærisn'sta:f/]	[01* dtừ]\n- ban tham mưu tại chỗ
garrison-town [01/'gærisn'taun/]	[01* dtừ]\n- thành phố có quân đội đồn trú
garrotte [01/ge'rɔt/]	như [03garotte]
garrulity [01/gə'ru:liti/]	[01* dtừ]\n- tính nói nhiều, tính ba hoa
garrulous [01/'gærələs/]	[01* ttừ]\n- nói nhiều, ba hoa, lắm mồm (người)\n- róc rách (suối) ; ríu rít (chim) 
garrulously [01/'gærələsli/]	như [03loquaciously]
garrulousness [01/'gærələsnis/]	như [03garrulity]
garrupa [01/'gærupə/]	[01* dtừ]\n- (động vật) cá song đỏ
garter [01/'gɑ:tə/]	[01* dtừ]\n- nịt bít tất\n- (the Garter) cấp tước Ga-tơ (cao nhất trong hàng hiệp sĩ ở Anh) ; huy hiệu cấp tước Ga-tơ\n[01* ngđtừ]\n- nịt bít tất
garter-snake [01/'ga:təsneik/]	[01* dtừ]\n- rắn không độc có sọc dài ở Mỹ
garth [01/ga:θ/]	[01* dtừ]\n- khoảng trống có tu viện bao quanh
gas [01/gæs/]	[01* dtừ]\n- khí\n- khí thắp, hơi đốt\n- khí tê (dùng khi chữa răng)((cũng) [03laughing gas] )\n- (qsự) hơi độc, hơi ngạt\n- khí nổ (mỏ, than)\n- (Mỹ),(tục) dầu xăng\n- (tục) chuyện rỗng tuếch không đâu vào đâu, chuyện tầm phào; chuyện huyên hoang khoác lác\n[04! to step on the gas]\n- xem [03step]\n[01* ngđtừ]\n- cung cấp khí thấp, cung cấp hơi đốt (cho một căn buồng)\n- hơ (chỉ, sợi...) qua đèn khí (cho hết lông tơ)\n- thắp sáng bằng đén khí\n- thả hơi độc, thả hơi ngạt, làm ngạt bằng hơi độc\n- (tục) lừa bịp (ai) bằng những lời huênh hoang khoác lác\n[01* nđtừ]\n- xì hơi\n- nói dông dài; nói chuyện tầm phào; huyên hoang khoác lác
gas board [01/'gæsbɔ:d/]	[01* dtừ]\n- cơ quan kiểm soát việc cung ứng khí đốt
gas bracket [01/'gæs,brækit/]	[01* dtừ]\n- đường ống có một hoặc nhiều miệng đốt gắn vào tường
gas cylinder [01/'gæs,silində/]	[01* dtừ]\n- bình ga
gas defence [01/'gæsdi'fens/]	[01* dtừ]\n- sự phòng chống hơi độc
gas laser	- (kỹ) bộ laze khí
gas laser hologram	- (kỹ) ảnh toàn ký laze khí
gas phototube	- (kỹ) ống quang điện có khí
gas poker [01/'gæs,poukə/]	[01* dtừ]\n- ống kim loại rỗng nối với bình ga để nhóm lửa lò
gas tap [01/'gæstæp/]	[01* dtừ]\n- vòi khoá khí
gas warfare [01/'gæs,wɔ:feə/]	[01* dtừ]\n- chiến tranh hơi độc
gas-alarm [01/'gæsə'lɑ:m/]	như [03gas-alert]
gas-alert [01/'gæsə'lə:t/]	[01* dtừ]\n- báo động phòng hơi độc
gas-attack [01/'gæsə'tæk/]	[01* dtừ]\n- (qsự) 
gas-bag [01/'gæsbæg/]	[01* dtừ]\n- khí cầu\n- (tục) người hay ba hoa
gas-bomb [01/'gæsbɔm/]	[01* dtừ]\n- bom hơi độc
gas-buoy [01/gæs,buɔi/]	[01* dtừ]\n- phao đèn khí
gas-burner [01/'gæs,bə:nə/]	[01* dtừ]\n- đèn hàn khí, mỏ hàn khí
gas-chamber [01/'gæs't∫eimbə/]	[01* dtừ]\n- buồng hơi ngạt (để giết súc vật)((cũng) [03gas-oven] )\n- buồng khí (để giữ hoa quả) 
gas-coductor [01/'gæskʌn,dʌktə/]	[01* dtừ]\n- ống dẫn khí
gas-collector [01/'gæskə'lektə/]	như [03gas-take]
gascon [01/'gæskən/]	[01* dtừ]\n- người xứ Ga-xcô-nhơ\n- người khoe khoang khoác lác
gasconade [01/,gæskə'neid/]	[01* dtừ]\n- thói khoe khoang khoác lác\n[01* nđtừ]\n- khoe khoang khoác lác
gasconader [01/'gækə'neidə/]	[01* dtừ]\n- người khoe khoang, khoác lác
gas-cooker [01/'gæs,ku:kə/]	[01* dtừ]\n- bếp khí đốt
gaseity [01/'gæsi:iti/]	[01* dtừ]\n- trạng thái khí; tính chất khí
gaselier [01/,gæsə'liə/]	[01* dtừ]\n- đèn chùm thắp bằng khí
gas-engine [01/'gæs,endʒin/]	[01* dtừ]\n- máy nổ (chạy bằng chất khí) 
gaseous [01/'geizjəs/]	[01* ttừ]\n- (thuộc) thể khí
gaseous plasma	- (kỹ) đẳng ly tử thể khí
gas-fared [01/'gæsfaiəd/]	[01* ttừ]\n- đốt bằng khí; cháy bằng khí\n[02= gas-fared furnace] lò đốt bằng khí
gas-field [01/'gæs,fi:ld/]	[01* dtừ]\n- mỏ khí
gas-filled capacitor	- (kỹ) bộ điện dung nạp khí
gas-filled relay	- (kỹ) bộ kế điện nạp khí, rơle nạp khí
gas-filled thyratron	- (kỹ) đèn ba cực nạp khí
gas-fire [01/'gæs,faiə/]	[01* dtừ]\n- lò sưởi (đốt bằng) khí
gas-fired [01/'gæs,faiəd/]	[01* ttừ]\n- vận hành bằng chất khí
gas-fitter [01/'gæs,fitə/]	[01* dtừ]\n- người lắp ống dẫn hơi đốt
gas-fitting [01/'gæs,fitiη/]	[01* dtừ]\n- ống dẫn hơi đốt
gas-fixture [01/'gæs,fiks∫ə/]	[01* dtừ]\n- việc trang bị đèn điện
gas-furnace [01/'gæs,fə:nis/]	[01* dtừ]\n- lò hơi, lò khí ((cũng) [03gas-oven] ) 
gash [01/gæ∫/]	[01* dtừ]\n- vết thương dài và sâu; vết cắt dài và sâu\n- (kỹ) vết cắt, vết khắc, vết rạch\n[01* ngđtừ]\n- rạch một vết cắt dài và sâu
gas-heater [01/'gæs,hi:tə/]	[01* dtừ]\n- dụng cụ tăng nhiệt khí đốt
gas-helmet [01/'gæs,helmit/]	[01* dtừ]\n- mặt nạ phòng hơi độc
gas-holder [01/'gæs,houldə/]	[01* dtừ]\n- bình đựng khí\n- máy đo khí
gasification [01/,gæsifi'kei∫n/]	[01* dtừ]\n- sự khí hoá
gasifly [01/'gæsifai/]	[01* ngđtừ]\n- tạo khí\n[01* nđtừ]\n- hình thành khí; bốc khí
gasiform [01/'gæsifɔ:m/]	[01* ttừ]\n- dạng khí
gasify [01/'gæsifai/]	[01* ngđtừ]\n- khí hoá
gas-indicator [01/'gæs'indikeitə/]	[01* dtừ]\n- dụng cụ kiểm tra khí xuất
gas-jar [01/'gæs,dʒa:/]	[01* dtừ]\n- bình đựng khí
gas-jet [01/'gæsdʒet/]	như [03gas-burner]
gasket [01/'gæskit/]	[01* dtừ]\n- (hàng hải) dây thừng nhỏ (để cuốn buồm vào cột)\n- (kỹ) miếng đệm
gaskins [01/'gæskinz/]	[01* dtừ s/n]\n- quần nịt ngắn (đàn ông) 
gaslight [01/'gæslait/]	[01* dtừ]\n- đèn khí\n- ánh đèn khí
gas-lime [01/'gæslaim/]	[01* dtừ]\n- đá vôi để tạo khí đốt
gas-lit [01/'gæslit/]	[01* ttừ]\n- được chiếu sáng nhờ ánh sáng của chất khí cháy
gas-main [01/'gæsmein/]	[01* dtừ]\n- ống cái dẫn khí (hơi đốt) 
gasman [01/'gæsmæn/]	[01* dtừ]\n- người chuyên kiểm tra dụng cụ đo khí
gas-man [01/'gæsmæn/]	[01* dtừ]\n- người sản xuất hơi đốt\n- người đi thu tiền hơi đốt
gas-mask [01/'gæsmɑ:sk/]	như [03gas-helmet]
gas-meter [01/'gæs,mi:tə/]	[01* dtừ]\n- máy đo khí
gas-mobile [01/gæs'moubil/]	[01* dtừ]\n- ô tô chạy bằng dầu khí
gas-motor [01/'gæs,moutə/]	[01* dtừ]\n- môtơ chạy bằng dầu khí
gasogene [01/'gæzədʒi:n/]	như [03seltzogene]
gasogenic [01/,gæzə'dʒi:nik/]	[01* ttừ]\n- sinh khí; tạo khí\n- sinh ga; tạo ga
gas-oil [01/'gæs'ɔil/]	[01* dtừ]\n- nhiên liệu điêzen
gasolene [01/'gæsəli:n/]	như [03gasoline]
gasolier [01/,gæsə'liə/]	[01* dtừ]\n- cây đèn khí
gasoline [01/'gæsəli:n/]	[01* dtừ]\n- dầu lửa, dầu hoả\n- (Mỹ) xăng, dầu xăng
gasolinic [01/,gæsə'li:nik/]	[01* ttừ]\n- thuộc về xăng
gasometer [01/gæ'sɔmitə/]	[01* dtừ]\n- thùng đựng khí\n- (như) [03gas-meter] 
gasometry [01/gæ'sɔmitri/]	[01* dtừ]\n- phép đo khí
gas-oven [01/'gæs,ʌvn/]	[01* dtừ]\n- (như) [03gas-furnace]\n- buồng hơi ngạt (để giết súc vật)((cũng) [03gas-chamber] ) 
gas-over [01/'gæs'ʌvn/]	[01* dtừ]\n- lót đốt bằng khí\n- phòng hơi ngạt
gasp [01/gɑ:sp/]	[01* dtừ]\n- sự thở hổn hển\n[04! at one's last gasp]\n- đến lúc sắp thở hắt ra, đến lúc sắp chết\n[04! to give a gasp]\n- há hốc miệng ra (vì kinh ngạc)\n[01* đtừ]\n- thở hổn hển\n[02= to gasp for breath] thở hổn hển\n- há hốc miệng vì kinh ngạc\n[04! to grasp for]\n- khao khát, ước ao\n[02= to gasp for liberty] khao khát tự do\n[04! to gasp out]\n- nói hổn hển\n[04! to gasp out one's life]\n- thở hắt ra, chết
gasper [01/'gɑ:spə/]	[01* dtừ]\n- (lóng) thuốc lá rẻ tiền
gaspingly [01/'gɑ:spiηli/]	[01* phtừ]\n- thở hổn hển\n- kinh ngạc, sửng sốt
gas-pipe [01/'gæs,paip/]	[01* dtừ]\n- ống dẫn khí đốt
