currant wine	110-21023-B
cutting room	112-1883-B
cuttingly	112-1819-B
cuttle	112-1955-B
cuttle bone	112-1995-B
cuttle fish	112-2049-B
cutty	112-2098-B
cutty stool	112-2297-B
cutup	112-2465-B
cutwater	112-2599-B
cutwork	112-2671-B
cutworm	112-2753-B
cuvette	112-2826-B
cv	112-2913-B
cw magnetron	112-2981-B
cw mode	112-3058-B
cwm	112-3123-B
cwt	112-3171-B
cy	300-8133-S
cyan	112-3260-B
cyanamide	112-3319-B
cyanate	112-3380-B
cyanic	112-3434-B
cyanide	112-3525-B,429-2243-S
cyanogen	112-3579-B
cyanogenesis	112-3640-B
cyanophyte	112-3726-B
cyanosed	112-3797-B
cyanosis	112-3862-B
cyanotic	112-3913-B
cybernated	112-3942-B
cybernation	112-4020-B
cybernetic	112-4130-B
cybernetic model	112-4215-B
cybernetically	112-4273-B
cybernetician	112-4311-B
cyberneticist	112-4348-B
cybernetics	112-4385-B,155-10470-S
cyberphober	112-4487-B
cyberpunk	112-4525-B
cybersex	112-4562-B
cyberspace	112-4596-B
cyborg	112-4661-B
cycad	112-4792-B
cyclamate	112-4852-B
cyclamen	112-4917-B
cyclamin	112-4994-B
cycle	112-5052-B,35-12352-S,71-20199-S,82-24886-S,90-11248-S,91-14403-S,103-9955-S,143-4825-S,165-16611-S,165-17237-S,269-12343-S,276-19707-S,296-17503-S,310-12813-S,401-3734-S,418-7983-S,421-17573-S,430-21520-S,431-14817-S,473-27078-S,482-14572-S,515-29586-S
cycle car	112-5583-B
cycle per second	112-5326-B
cycle stealing	112-5379-B
cycle time	112-5424-B
cycle timer	112-5465-B
cycle track	112-5507-B
cycler	112-5667-B
cycleway	112-5730-B
cyclic	112-5791-B,112-6281-B,305-464-S
cyclic addressing	112-5856-B
cyclic carry	112-5914-B
cyclic check byte	112-5960-B
cyclic graph	112-6017-B
cyclic memory	112-6064-B
cyclic permutation	112-6111-B
cyclic redundancy check	112-6163-B
cyclic shift	112-6230-B
cyclical	112-6331-B
cyclical field	112-6374-B
cyclicality	112-6421-B
cyclically	112-6451-B
cyclicity	112-6526-B
cyclide	112-6591-B
cyclifying	112-6665-B
cycling	112-6737-B
cyclist	112-6795-B,296-17699-S,477-7728-S
cyclocross	112-6857-B
cyclogenesis	112-6937-B
cyclogram	112-7022-B
cyclograph	112-7058-B
cyclohexane	112-7094-B
cycloid	112-7162-B,367-21125-S
cycloidal	112-7218-B
cyclometer	112-7247-B
cyclometric	112-7342-B
cyclometry	112-7376-B
cyclone	112-7408-B
cyclonic	112-7481-B
cyclonoscope	112-7567-B
cyclopaedia	112-7651-B
cyclopean	112-7707-B
cyclopedic	112-7865-B
cyclopes	112-8024-B
cyclops	112-8143-B
cyclorama	112-8186-B
cycloramic	112-8257-B
cyclosis	112-8324-B
cyclostomate	112-8391-B
cyclostyle	112-8480-B
cyclosymmetry	112-8574-B
cyclosynchrotron	112-8620-B
cyclotomic	112-8706-B
cyclotron	112-8755-B,190-16631-S
cyclotron frequency	112-8817-B
cyder	112-8906-B
cyele	213-10866-S
cyesis	112-8941-B
cygnet	112-8997-B
cygnus	112-9052-B
cylinder	112-9116-B,196-14261-S,411-10458-S,421-17653-S,441-27744-S
cylinder block	112-9231-B
cylinder head	112-9267-B
cylinder index	112-9302-B
cylindric	112-9343-B
cylindrical	112-9386-B,411-10526-S
cylindrical boule	112-9445-B
cylindrical convex lens	112-9514-B
cylindrical domain memory	112-9572-B
cylindrical lens	112-9630-B
cylindrical parabolic antenna	112-9675-B
cylindrical reflector	112-9737-B
cylindrical wave	112-9791-B
cylindrical waveguide	112-9829-B
cylindrical winding	112-9890-B
cylindricality	112-9950-B
cylindrically	112-9988-B
cylindricity	112-10026-B
cylindroid	112-10099-B
cymbal	112-10164-B
cymbaleer	112-10232-B
cymbalist	112-10260-B
cymbiform	112-10345-B
cymbium	112-10413-B
cyme	112-10478-B
cymiferous	112-10548-B
cymometer	112-10575-B
cymophane	112-10644-B
cynic	112-10707-B
cynical	112-10743-B
cynically	112-11129-B
cynicalness	112-11209-B
cynicism	112-11240-B
cynosural	112-11496-B
cynosure	112-11526-B
cynthia	112-11807-B
cypher	112-11870-B
cypherpunks	112-11958-B
cypress	112-12001-B,40-14193-S
cyprinid	112-12065-B
cyprinodont	112-12133-B
cyrillic	112-12207-B
cyrix	112-12281-B
cyst	112-12340-B
cystic	112-12430-B
cystic fibrosis	112-12561-B
cysticercoid	112-12629-B
cysticercosis	112-12713-B
cystine	112-12823-B
cystinuria	112-12875-B
cystitis	112-12949-B
cystocarp	112-13012-B
cystocopik	112-13088-B
cystoid	112-13166-B
cystolith	112-13316-B
cystoscope	112-13378-B
cytherean	112-13447-B
cytochemistry	112-13531-B
cytodifferentiation	112-13604-B
cytogenetics	112-13701-B
cytokinesis	112-13783-B
cytologic	112-13850-B
cytologist	112-13880-B
cytology	112-13910-B
cytolysin	112-13984-B
cytomembrane	112-14073-B
cyton	112-14140-B
cytoplasm	112-14211-B
cytoplasmic	112-14273-B
cytoplasmically	112-14310-B
czar	112-14347-B
czardom	112-14411-B
czarina	112-14435-B
czech	112-14506-B
czechoslovak	112-14540-B
czekh	112-14656-B
d	112-14750-B,112-14810-B,1-4865-S,7-3236-S,63-9324-S,129-23675-S,217-34952-S,231-642-S,231-2314-S,253-12471-S,261-18264-S,271-20236-S,272-12560-S,277-16092-S,313-11453-S,372-9488-S,375-11212-S,416-7016-S,422-21536-S,467-4900-S,468-2435-S,494-7237-S,517-7022-S,524-22701-S
d a d	7-3236-S
d affaires	74-17834-S
d appui	350-10401-S
d arsonval current	114-8001-B
d arsonval galvanometer	114-8077-B
d art	308-7480-S
d bus	112-14943-B
d c	1-4977-S
d conversion	7-1861-S
d converter circuit	7-1965-S
d d t	113-53-B
d day	115-22529-B
d estime	451-18938-S
d etat	104-2874-S
d etre	377-10228-S
d honneur	177-22517-S
d hote	460-4503-S,460-4570-S
d hotel	279-18197-S
d hotel butter	279-18359-S
d indicator	112-14983-B
d layer	112-15022-B
d mos transistor	135-14767-B
d notice	112-15063-B
d oc	264-1263-S
d oeil	104-2942-S
d oeuvre	75-18390-S,75-18492-S,225-9236-S
d or	275-9884-S
d orsay	373-3957-S
d ration	113-174-B,139-18695-B
d region	140-3292-B
d scan	112-15211-B
d t	113-53-S
d type constant	141-18078-B
d type flip flop	113-0-B
d ye	143-8556-B
d ye do	226-21818-S
d you call him her what s his her name	518-19546-S
da	113-257-B,262-14913-S
da converter	113-309-B
da fe	35-12498-S
dab	113-381-B,425-23809-S
dabber	113-1359-B
dabble	113-1630-B
dabbler	113-1906-B
dabbling	113-2151-B
dabby	113-2436-B
dabchick	113-2477-B
dabster	113-2546-B
dac	113-2652-B
dace	113-2738-B
dacha	113-2813-B
dachshund	113-2884-B
dacoit	113-3008-B
dacoity	113-3086-B
dacron	113-3154-B
dactyl	113-3281-B
dactylic	113-3400-B
dactylically	113-3488-B
dactyliography	113-3519-B
dactylogram	113-3635-B
dactylographic	113-3700-B
dactylography	113-3740-B
dactylogy	113-3851-B
dactylology	113-3907-B
dactylus	113-3989-B
dad	113-4068-B,113-4128-B
daddy	113-4188-B,452-13693-S
daddyish	113-4220-B
dado	113-4246-B
dady long legs	113-4355-B
daedal	113-4467-B
daedalian	113-4586-B
daemon	113-4686-B
daemonic	113-4723-B
daff	113-4766-B
daffadowndilly	113-4820-B
daffily	113-4876-B
