non-contagious [01/,nɔn kən'teidʒəs/]	[01* ttừ]\n- không lây
nonplus [01/nɔn'plʌs/]	[01* dtừ]\n- tình trạng bối rối, tình trạng lúng túng, tình trạng khó xử; tình trạng ngừng trệ\n[02= to be at a nonplus] bối rối, lúng túng; ngừng trệ\n[02= to put (bring, reduce) someone to a nonplus] làm cho ai lúng túng bối rối, làm cho ai khó ăn khó nói\n[01* ngđtừ]\n- làm bối rối, làm lúng túng; làm sửng sốt, làm chưng hửng
nonpolitical [01/,nɔnpə'litik(ə) l/]	[01* ttừ]\n- không thuộc đảng phái nào\n- không chính trị\n- phi chính trị
non-productive [01/,nɔn prə'dʌktiv/]	[01* ttừ]\n- không sản xuất\n- không sinh lợi
non-productiveness [01/,nɔn prə'dʌktivnis/]	[01* dtừ]\n- sự không sản xuất\n- tính không sinh lợi
non-productivity [01/,nɔn,prɔdʌk'tiviti/]	như [03non-productiveness]
non-professional [01/,nɔn prə'fe∫ənl/]	[01* ttừ]\n- không chuyên, tài tử, nghiệp dư\n[01* dtừ]\n- người không chuyên nghiệp
nonprofit [01/nɔn'prɔfit/]	[01* ttừ]\n- không vì mục đích lợi nhuận; bất vụ lợi
non-proliferation [01/,nɔn,prəlifə'rei∫n/]	[01* dtừ]\n- sự hạn chế các loại vũ khí hủy diệt hàng loạt
non-radical [01/,nɔn,reidik(ə) l/]	[01* ttừ]\n- không phải thân từ
non-radioactive [01/,nɔn,reidiou'æktiv/]	[01* ttừ]\n- không phóng xạ
non-random	- không ngẫu nhiên
non-recurrent	- không truy hồi
non-recursive	- (logic học) không đệ quy
non-reflexive	- (logic học) không phản xạ
nonreligious [01/nɔnri'lidʒəs/]	[01* ttừ]\n- không theo tôn giáo; phi tôn giáo
non-resident [01/,nɔn 'rezidənt/]	[01* ttừ]\n- không lưu trú, không trú ngụ, không ở ngay nơi làm việc\n[01* dtừ]\n- người không lưu trú, người không trú ngụ, người không ở ngay nơi làm việc
non-resistance [01/,nɔn ri'zistəns/]	[01* dtừ]\n- sự không kháng cự; sự chịu khuất
non-resistant [01/,nɔn ri'zistənt/]	[01* ttừ]\n- không kháng cự\n[01* dtừ]\n- người không kháng c
non-resonant [01/,nɔn 'reznənt/]	[01* ttừ]\n- không cộng hưởng
non-returnable [01/,nɒnri'tɜ:nəb(ə) l/]	[01* ttừ]\n- không trở lại
non-reversible [01/,nɔnrivə:səbl/]	[01* ttừ]\n- một mặt (vải...)\n- không đảo ngược được
non-sectarian [01/,nɒnsek'teəriən/]	như [03unsectarian]
nonsense [01/'nɔnsəns/]	[01* dtừ]\n- lời nói vô lý, lời nói vô nghĩa; chuyện vô lý; lời nói càn, lời nói bậy; hành động ngu dại, hành động bậy bạ\n[02= to talk nonsense] nói càn, nói bậy; nói chuyện vô lý\n[02= nonsense!, tuff and nonsense!] vô lý!, nói bậy!
nonsensical [01/nɔn'sensikəl/]	[01* ttừ]\n- vô lý, vô ý nghĩa, bậy bạ\n[02= don't be nonsensical!] không được vô lý như vậy!, không được nói bậy bạ!
nonsensicality [01/nɔn,sensi'kæliti/]	[01* dtừ]\n- tính chất vô lý, tính chất bậy bạ ((cũng) [03nonsensicalness] )\n- điều vô lý, điều bậy bạ
nonsensically [01/nɔn'sensikəli/]	[01* phtừ]\n- vô lý, bậy bạ
nonsensicalness [01/nɔn'sensikəlnis/]	[01* dtừ]\n- tính chất vô lý, tính chất bậy bạ ((cũng) [03nonsensicality] ) 
non-sensitive [01/'nɔn'sensitiv/]	[01* ttừ]\n- khó bị tổn thương\n- trơ, khô khan\n- không nhạy cảm\n- vững chắc\n- không nhạy
nonsesuch [01/'nʌnsʌtʃ/]	[01* dtừ]\n- người có một không hai, người không ai sánh kịp; vật có một không hai; vật không gì sánh kịp\n- (thực vật) cây linh lăng hoa bia
non-skid [01/nɔn'skid/]	[01* ttừ]\n- non-skid tyre lốp xe không trượt (có khía...) 
non-smoker [01/,nɔn 'smɔkə(r) /]	[01* dtừ]\n- người không hút thuốc\n- toa xe lửa dành riêng cho những người không hút thuốc
non-smoking [01/,nɔn 'smɔkiη/]	như [03elysian]
non-specialist [01/nɒn'spes∫əlist/]	[01* dtừ]\n- người không chuyên
non-specific [01/,nɒnspi'sifik/]	[01* ttừ]\n- không rõ ràng
non-standard [01/,nɔn 'stændəd/]	[01* ttừ]\n- không tiêu chuẩn
non-starter [01/,nɔn 'stɑ:tə(r) /]	[01* dtừ]\n- ngựa đưa ra cuộc đua nhưng không tham gia đua\n- người không có triển vọng thành công
non-stick [01/nɒn'stik/]	[01* ttừ]\n- (nói về cái chảo, bề mặt...) được tráng một chất làm cho thức ăn không dính khi nấu\n[02= it's very difficult to make pancakes without a non-stick frying-pan] thật khó làm bánh rán khi không có cái chảo không dính
non-stop [01/nɔn'stɔp/]	[01* ttừ & phtừ]\n- không đỗ lại, thẳng một mạch (xe cộ) ; không ngừng\n[02= non-stop train] xe lửa chạy suốt\n[02= to fly non-stop from Hanoi to Moscow] bay thẳng một mạch từ Hà nội đến Mát-xcơ-va\n[02= non-stop cinema] rạp chiếu bóng chiếu suốt ngày đêm\n[01* dtừ]\n- xe chạy suốt (xe lửa, xe buýt)\n- cuộc chạy một mạch
nonsuch [01/'nʌnsʌt∫/]	như [03nonsesuch]
nonsuit [01/nɔn'sju:t/]	[01* dtừ]\n- (pháp lý) sự bác đơn\n[01* ngđtừ]\n- (pháp lý) bác đơn (của người nào) 
non-swimmer [01/nɒn'swimə(r) /]	[01* dtừ]\n- người không biết bơi
non-symmetric [01/'nɔnsi'metrik/]	[01* ttừ]\n- không đối xứng
non-symmetrical [01/'nʌnsʌt∫(ə) l/]	như [03non-symmetric]
non-symmetry [01/,nɔn 'simetri/]	như [03asymmetry]
non-synchronized [01/,nɔn 'siηkrənaizd/]	[01* ttừ]\n- không được làm đồng bộ; không khớp tiếng; không phối hợp
non-synchronous [01/,nɔn 'siηkrənəs/]	[01* ttừ]\n- không đồng bộ; không phối hợp
non-thermal [01/,nɔn 'θə:məl/]	[01* ttừ]\n- phi nhiệt
non-toxic [01/,nɔn 'tɔksik/]	[01* ttừ]\n- không độc
non-transferable [01/,nɔn 'trænsfə:rəbl/]	[01* ttừ]\n- không thể dời đi được, không thể di chuyển được; không thể chuyển nhượng được
nontransferable [01/'nɔntræns'fə:rəbl/]	[01* ttừ]\n- không thể chuyển nhượng được\n- không thể dời/di chuyển được
non-transmitting [01/,nɔn trænz'mitiη/]	[01* ttừ]\n- không cho truyền qua
non-transparent [01/,nɔn træns'peərənt/]	[01* ttừ]\n- không trong suốt
non-transportable [01/,nɔn træns'pɔ:təbl/]	[01* ttừ]\n- không thể chuyên chở/vận chuyển được
non-u [01/nɔn'ju:/]	[01* ttừ]\n- không thuộc giới thượng lưu, không phải của giới thượng lưu
non-union [01/,nɔn 'ju:njən/]	[01* ttừ]\n- không gia nhập công đoàn (nghiệp đoàn) ; không phải đoàn viên công đoàn (nghiệp đoàn)\n[02= to employ non-union labour] sử dụng những người lao động không phải là đoàn viên công đoàn\n- chống công đoàn (nghiệp đoàn)\n[01* dtừ]\n- (y) sự tách rời, sự không dính vào nhau
non-unionist [01/,nɔn 'ju:njənist/]	[01* dtừ]\n- người không gia nhập công đoàn (nghiệp đoàn) ; người không phải đoàn viên công đoàn (nghiệp đoàn) 
non-vascular [01/,nɔn'væskjulə/]	[01* ttừ]\n- không thuộc mạch máu
non-verbal [01/nɒn'vɜ:b(ə) l/]	[01* ttừ]\n- không bằng văn bản hay lời nói
non-violence [01/,nɔn 'vaiələns/]	[01* dtừ]\n- sự không sử dụng bạo lực, sự phi bạo lực, sự bất bạo động
nonviolence [01/'nɔn'vaiələnt/]	[01* dtừ]\n- sự bất bạo động, sự không dùng bạo lực
non-violent [01/,nɔn 'vaiələnt/]	[01* ttừ]\n- không sử dụng bạo lực, phi bạo lực, bất bạo động
nonviolent [01/'non'vaiələnt/]	[01* ttừ]\n- bất bạo động, không dùng bạo lực
nonvoter [01/,nɔn'voutə/]	[01* dtừ]\n- người không có/bị tước quyền bầu cử\n[01* dtừgười không có mặt trong cuộc bỏ phiếu]\n- người không bỏ phiếu
non-voting [01/nɒn'vəʊtiη/]	[01* ttừ]\n- không bầu cử\n- không có quyền bầu cử
non-white [01/nɔn'wait/]	[01* ttừ, dtừ]\n- không thuộc giống dân da trắng
noodle [01/'nu:dl/]	[01* dtừ]\n- người ngớ ngẩn, người xuẩn ngốc, người khờ dại\n- (lóng) cái đầu\n[01* dtừ, (thường) số nhiều]\n- (Mỹ), mì dẹt
nook [01/nuk/]	[01* dtừ]\n- góc, xó, xó xỉnh\n[02= hiding in nooks and corners] nấp ở những xó xỉnh\n- nơi ẩn náu hẻo lánh\n- góc thụt (của một căn phòng...) 
noon [01/nu:n/]	[01* dtừ]\n- trưa, buổi trưa\n- (bóng) đỉnh cao nhất (trong sự nghiệp...) 
noonday [01/'nu:ndei/]	[01* dtừ]\n- buổi trưa, ban trưa, giữa trưa, giữa ban ngày
nooning [01/'nu:niη/]	[01* dtừ]\n- (Mỹ) buổi trưa\n- giờ giải lao buổi trưa, giờ nghỉ buổi trưa
noontide [01/'nu:ntaid/]	như [03noontime]
noontime [01/'nu:ntaim/]	[01* dtừ]\n- buổi trưa, ban trưa
noose [01/nu:s/]	[01* dtừ]\n- thòng lọng\n- dây ràng buộc (của việc lập gia đình)\n[04! to put one's neck into the noose]\n- đưa cổ vào tròng\n[01* ngđtừ]\n- buộc thòng lọng\n- bắt bằng dây thòng lọng
nopal [01/'noupəl/]	[01* dtừ]\n- (thực vật) cây tay tiên (một loại xương rồng) 
no-par [01/'nou'pa:/]	[01* ttừ]\n- không có giá trị quy định
nope [01/noup/]	[01* phtừ]\n- (Mỹ),(lóng) không
nor [01/nɔ:/]	[01* phtừ & liên từ]\n- mà... cũng không, và... không\n[02= neither good nor bad] không tốt mà cũng không xấu\n[02= he can neither read nor write] nó không biết đọc mà cũng không biết viết\n[02= he can't do it, nor can I, nor can you, nor can anybody] nó không làm được cái đó, mà cả tôi, cả anh hay bất cứ một người nào cũng không làm được
Nordic [01/'nɔ:dik/]	[01* ttừ]\n- (thuộc) Bắc-Âu\n[01* dtừ]\n- người Bắc-Âu
nor'east [01/nɔ:'i:st/]	[01* dtừ & ttừ]\n- (như) [03north-east] 
nor'easter [01/nɔ:'i:stə/]	[01* dtừ] (như) [03north-easter] 
norfolk jacket [01/'nɔ:fək'dʒækit/]	[01* dtừ]\n- áo vét-tông của đàn ông
noria [01/'nouriə/]	[01* dtừ]\n- guồng đạp nước
norland [01/'nɔ:lənd/]	[01* dtừ]\n- miền bắc
norlander [01/'nɔ:ləndə/]	[01* dtừ]\n- người phương bắc
norm [01/nɔ:m/]	[01* dtừ]\n- quy tắc tiêu chuẩn\n- chỉ tiêu (trong sản xuất) 
normal [01/'nɔ:məl/]	[01* ttừ]\n- thường, thông thường, bình thường\n[02= normal temperature] độ nhiệt bình thường\n- tiêu chuẩn; ((toán)) chuẩn tác\n[02= normal function] hàm chuẩn tắc\n- (toán) trực giao\n[01* dtừ]\n- tình trạng bình thường, mức bình thường\n[02= situation returns to normal] tình hình trở lại bình thường\n- (toán) pháp tuyến\n- (lý) lượng trung bình\n- (y) thân nhiệt bình thường\n- (hoá) dung dịch đương lượng
normalcy [01/'nɔ:məlsi/]	[01* dtừ]\n- (Mỹ)(như) [03normality] 
normalisation [01/,nɔ:məlai'zei∫n/]	[01* dtừ]\n- sự thông thường hoá, sự bình thường hoá\n- sự tiêu chuẩn hoá
normalise [01/'nɔ:məlaiz/]	như [03normalize]
normality [01/nɔ:'mæliti/]	[01* dtừ]\n- trạng thái thường, tính chất bình thường\n- tính tiêu chuẩn, tính chuẩn tắc
normalization [01/,nɔ:məlai'zei∫n/]	như [03normalisation]
normalize [01/'nɔ:məlaiz/]	[01* ngđtừ]\n- thông thường hoá, bình thường hoá\n- tiêu chuẩn hoá
normally [01/'nɔ:məli/]	[01* phtừ]\n- thông thường, như thường lệ
norman [01/'nɔ:mən/]	[01* ttừ]\n- (thuộc) người Nóoc-măng\n[02= the norman Conquest] (sử học) cuộc chinh phục nước Anh của người Nóoc-măng\n[02= norman English] tiếng Anh của người Nóoc-măng\n[01* dtừ]\n- người Nóoc-măng
normative [01/'nɔ:mətiv/]	[01* ttừ]\n- tiêu chuẩn\n- vạch ra tiêu chuẩn, vạch ra quy tắc
normotensive [01/,nɔ:mou'tensiv/]	[01* ttừ]\n- có huyết áp bình thường (không cao không thấp) 
Norocean [01/mɔ'rɔkən/]	[01* dtừ]\n- tiếng Ma rốc\n- người Ma rốc
norse [01/nɔ:s/]	[01* ttừ]\n- (thuộc) Na-uy\n[01* dtừ]\n- tiếng Na-uy
norseman [01/'nɔ:smæn/]	[01* dtừ]\n- người Na-uy
norsk [01/nɔ:sk/]	như [03norse]
north [01/nɔ:θ/]	[01* dtừ]\n- hướng bắc, phương bắc, phía bắc\n[02= in the north] ở phương bắc\n[02= to the north of] ở phía bắc của\n- miền bắc\n- gió bấc\n[01* ttừ]\n- bắc, bấc\n[02= the north pole] Bắc cực\n[02= the north wind] gió bấc\n[02= the North star] sao Bắc đẩu\n[01* phtừ]\n- về hướng bắc, ở phía bắc\n[02= going north] đi về phía bắc\n[02= lying north] ở phía bắc\n[02= north and south] từ bắc chí nam
north country [01/'nɔ:θ,kʌntri/]	[01* dtừ]\n- miền Bắc nước Anh
North Pole [01/'nɔ:θpoul/]	[01* dtừ]\n- bắc cực
north star [01/,nɔ:θ'sta/]	[01* dtừ]\n- sao Bắc Đẩu
northbound [01/'nɔ:θbaund/]	[01* ttừ]\n- về hướng bắc, theo hướng bắc
north-countryman [01/'nɔ:θ,kʌntrimæn/]	[01* dtừ]\n- người miền Bắc nước Anh
north-east [01/'nɔ:θ'i:st/]	[01* dtừ]\n- phía đông bắc\n- miền đông bắc\n[01* ttừ]\n- đông bắc\n[01* phtừ]\n- về hướng đông bắc
north-easter [01/'nɔ:θ'i:stə/]	[01* dtừ]\n- gió đông bắc
north-easterly [01/'nɔ:θ'i:stəli/]	[01* ttừ]\n- đông bắc\n[01* phtừ]\n- về hướng đông bắc; từ hướng đông bắc
north-eastern [01/'nɔ:θ'i:stən/]	[01* ttừ]\n- đông bắc
norther [01/'nɔ:θə/]	[01* dtừ]\n- gió bấc (ở Mỹ) 
northerly [01/'nɔ:đəli/]	[01* ttừ]\n- bắc\n[01* phtừ]\n- về hướng bắc; từ hướng bắc
northern [01/'nɔ:đən/]	[01* ttừ]\n- bắc\n[02= northern hemisphere] bán cầu bắc
northerner [01/'nɔ:đənə/]	như [03norlander]
northernermost [01/'nɔ:ðənmoust/]	như [03northernmost]
northernmost [01/'nɔ:đənmoust/]	[01* ttừ]\n- cực bắc
northing [01/'nɔ:θiη/]	[01* dtừ]\n- (hàng hải) sự hướng về phía bắc; sự tiến về phía bắc
northland [01/'nɔ:θlənd/]	như [03norland]
northward [01/'nɔ:θwəd/]	[01* dtừ]\n- hướng bắc\n[01* ttừ & phtừ]\n- về phía bắc
northwardly [01/'nɔ:θwədli/]	[01* ttừ]\n- bắc\n[01* phtừ]\n- (như) [03northwards] 
