pressurizer	- xem [03pressurize] 
pretence [01/pri'tens/]	[01* dtừ] ((Mỹ)(cũng) [03pretense] /pri'tens/)\n- sự làm ra vẻ, sự giả vờ, sự giả đò, sự giả bộ\n[02= to make pretence of doing something] giả bộ làm gì\n- cớ, lý do không thành thật\n[02= under (the) pretence of] lấy cớ là\n[02= on (under) false pretences] bằng cách lừa dối\n- điều đòi hỏi, điều yêu sách, điều kỳ vọng\n[02= to make no pretence of sonething] không đòi hỏi cái gì, không kỳ vọng cái gì\n- tính tự phụ, tính khoe khoang\n[02= a man without pretence] người không có tính khoe khoang
pretend [01/pri'tend/]	[01* ngđtừ]\n- làm ra vẻ, giả vờ, giả đò, giả bộ, giả cách\n[02= to pretend illness] giả cách ốm, làm ra vẻ ốm\n[02= to pretend that one is asleep; to pretend to be asleep] làm ra vẻ đang ngủ\n- lấy cớ\n[02= to pretend that...] lấy cớ là...\n- có tham vọng, có kỳ vọng, có ý muốn; có ý dám (làm gì...)\n[01* nđtừ]\n- giả vờ, giả đò, giả bộ, giả cách\n[02= he is only pretending] hắn ta chỉ gỉa vờ, hắn ta chỉ làm ra vẻ thế thôi\n- (+[04 to]) đòi hỏi, yêu sách, yêu cầu, xin; cầu\n[02= to pretend go to a right] đòi quyền lợi\n[02= to pretend to someone's hand] cầu hôn ai\n- (+[04 to]) tự phụ có, làm ra bộ có, lên mặt có\n[02= to pretend to elegance] lên mặt là thanh lịch
pretended [01/pri'tendid/]	[01* ttừ]\n- giả vờ, giả đò, giả bộ, giả cách
pretendedly	- xem [03pretended] 
pretender [01/pri'tendə/]	[01* dtừ]\n- người đòi hỏi không chính đáng, người yêu sách không chính đáng (một quyền lợi, một tước vị...)\n- người giả vờ giả vĩnh, người giả đò, người giả b
pretense [01/pri'tens/]	như [03pretence]
pretension [01/pri'ten∫n/]	[01* dtừ]\n- ý muốn, kỳ vọng\n- điều yêu cầu chính đáng; quyền đòi hỏi chính đáng
pretentious [01/pri'ten∫əs/]	[01* ttừ]\n- tự phụ, kiêu căng, khoe khoang
pretentiously	- xem [03pretentious] 
pretentiousness [01/pri'ten∫əsnis/]	[01* dtừ]\n- tính tự phụ, tính kiêu căng, tính khoe khoang
preter-	- hình thái ghép có nghĩa quá, siêu: preterhuman : siêu nhân
preterfect [01/,pri:tə'pə:fekt/]	[01* dtừ, ttừ]\n- xem [03preterit] 
preterhuman [01/,pri:tə'hju:mən/]	[01* ttừ]\n- siêu nhân, phi phàm
preterit [01/'pretərət/]	như [03preterite]
preterite [01/'pretərət/]	[01* ttừ]\n- (ngôn) quá khứ (thời)\n[01* dtừ]\n- (ngôn) thời quá kh
preterition [01/,pri:tə'ri∫n/]	[01* dtừ]\n- sự bỏ, sự bỏ qua, sự bỏ sót
preterm [01/pri:'tə:m/]	[01* ttừ]\n- trước kỳ hạn
preterminal [01/pri:'tə:minəl/]	[01* ttừ]\n- xuất hiện trước khi chết
pretermission [01/,pri:tə'mi∫n/]	[01* dtừ]\n- sự bỏ, sự bỏ qua, sự bỏ sót\n- sự bỏ bê, sự sao lãng\n[02= pretermission of duty] sự sao lãng nhiệm vụ\n- sự tạm ngừng; sự làm gián đoạn, sự ngắt quãng
pretermit [01/,pri:tə'mit/]	[01* ngđtừ]\n- bỏ, bỏ qua, bỏ sót\n- bỏ bê, sao lãng\n- tạm ngừng; làm gián đoạn, ngắt quãng
pretermitter	- xem [03pretermit] 
preternatural [01/,pri:tə'næt∫rəl/]	như [03preterhuman]
preternaturalism	như [03preternaturalness]
preternaturally [01/,pri:tə'næt∫rəli/]	[01* phtừ]\n- siêu phàm, phi thường, siêu nhiên (vượt quá cái tự nhiên) 
preternaturalness	- xem [03preternatural] 
preterpluperfect [01/,pri:tə plu:'pə:fekt/]	[01* dtừ, ttừ]\n- xem [03pluperfect] 
pretersensual [01/,pri:tə'sensjuəl/]	như [03supersensual]
pretest [01/'pritest/]	[01* dtừ]\n- sự thử, kiểm tra trước\n[01* ngđtừ]\n- thử, kiểm tra trước
pretesticular [01/pri:te'stikjulə/]	[01* ttừ]\n- (sinh vật) trước tinh hoàn
pretext [01/'pri:tekst/]	[01* dtừ]\n- cớ; lý do, cớ thoái thác, lý do không thành thật\n[02= on (under, upon) the pretext of] lấy cớ là, lấy lý do là\n[01* ngđtừ]\n- lấy cớ là; viện ra làm lý do
pretibial [01/pri:'tibiəl/]	[01* ttừ]\n- (phẫu) trước xương chày (cẳng chân) 
pretone [01/'pri:toun/]	[01* dtừ]\n- (ngôn) âm tiết trước âm tiết nhấn; nguyên âm trước âm tiết nhấn
pretonic [01/'pri:tɔnik/]	[01* ttừ]\n- (ngôn) trước âm tiết nhấn (âm tiết nguyên âm) 
pretor [01/'pri:tə/]	như [03praetor]
pretorial [01/pri'tɔ:riəl/]	[01* ttừ]\n- thuộc pretor
pretorian [01/pri'tɔ:riən/]	[01* ttừ]\n- xem [03pretorial]\n[02= pretorian bands/guards] quân hộ vệ
prettification	như [03prettifier]
prettifier	- xem [03prettify] 
prettify [01/'pritifai/]	[01* ngđtừ]\n- trang điểm, tô điểm, làm dáng
prettily [01/'pritili/]	[01* phtừ]\n- xinh, xinh xinh, xinh xắn, xinh đẹp\n- hay hay
prettiness [01/'pritinis/]	[01* dtừ]\n- vẻ xinh, vẻ xinh xinh, vẻ xinh xắn, vẻ xinh đẹp; vật xinh, vật xinh xinh, vật xinh sắn; đồ trang điểm xinh xinh...\n- tính chải chuốt kiểu cách (văn...) 
pretty [01/'priti/]	[01* ttừ]\n- xinh, xinh xinh, xinh xắn, xinh đẹp\n[02= a pretty child] đứa bé xinh xắn\n- hay hay, thú vị, đẹp mắt\n[02= a pretty story] câu chuyện hay hay thú vị\n[02= a pretty song] bài hát hay hay\n[02= a pretty scenery] cảnh đẹp mắt\n- đẹp, hay, cừ, tốt...\n[02= a pretty wit] trí thông minh cừ lắm\n[02= a very pretty sport] môn thể thao rất tốt, môn thể thao rất hay\n-(mỉa mai) hay gớm, hay ho gớm\n[02= that is a pretty business] việc hay ho gớm\n[02= a pretty mess you have made!] anh làm được cái việc hay ho gớm!\n- (cổ) lớn, kha khá\n[02= to earn a pretty sum] kiếm được món tiền kha khá\n- (cổ) dũng cảm, gan dạ; cường tráng, mạnh mẽ\n[02= a pretty dellow] một người dũng cảm\n[01* dtừ]\n- my pretty con nhỏ của tôi, bé xinh của mẹ\n- (số nhiều) đồ xinh xắn, đồ trang hoàng xinh xinh\n[01* phtừ]\n- khá, kha khá\n[02= pretty good] khá tốt\n[02= pretty hot] khá nóng\n[04! pretty much]\n- hầu như, gần như\n[02= that is pretty much the same thing] cái đó thì hầu như cũng như vậy thôi (chắng khác gì) 
prettyish [01/'pritii∫/]	[01* ttừ]\n- xinh xinh, hay hay
prettypretty [01/'priti,priti/]	- xem [03pretty-pretty] 
pretty-pretty [01/'priti,priti/]	[01* ttừ]\n- xinh xinh, điệu điệu
pretuning [01/pri:'tju:niη/]	[01* dtừ]\n- (kỹ) sự điều chỉnh sơ bộ
pretzel [01/'pretsl/]	[01* dtừ]\n- bánh quy cây, quy xoắn (bánh quy mặn có hình que, hình nút thừng) 
prevail [01/pri'veil/]	[01* nđtừ]\n- ((thường) +[02against, over]) thắng thế, chiếm ưu thế\n[02= socialism will prevail] chủ nghĩa xã hội sẽ thắng thế\n[02= to prevail over the enemy] chiếm ưu thế đối với kẻ địch\n- thịnh hành, lưu hành, phổ biến khắp, lan khắp, thường xảy ra nhiều\n[02= according to the custom that prevailed in those days] theo phong tục thịnh hành thời bấy giờ\n- (+[04 on, upon]) khiến, thuyết phục\n[02= to prevail upon somebody to do something] thuyết phục ai làm gì
prevailer	- xem [03prevail] 
prevailing [01/pri'veiliη/]	[01* ttừ]\n- đang thịnh hành, đang lưu hành, phổ biến khắp, lan khắp\n[02= prevailing fashion] mốt đang thịnh hành
prevailingly	như [03prevailingness]
prevailingness	- xem [03prevailing] 
prevalence [01/'prevələns/]	[01* dtừ]\n- sự thường xảy ra, sự thịnh hành, sự lưu hành, sự phổ biến khắp, sự lan khắp
prevalent [01/'prevələnt/]	[01* ttừ]\n- thường thấy, thịnh hành, đang lưu hành\n[02= prevalent custom] phong tục đang thịnh hành
prevalently	- xem [03prevalent] 
prevaricate [01/pri'værikeit/]	[01* nđtừ]\n- nói thoái thác, nói quanh co; làm quanh co
prevarication [01/pri,væri'kei∫n/]	[01* dtừ]\n- sự thoái thác, sự quanh co; sự quanh co\n- lời nói quanh co; việc làm quanh co
prevaricator [01/pri'værikeitə/]	[01* dtừ]\n- người nói thoái thác, người quanh co
prevenance [01/pri'vi:niəns/]	[01* dtừ]\n- sự làm trước
prevenient [01/pri'vi:niənt/]	[01* ttừ]\n- trước\n- (+[04 of]) ngăn ngừa, phòng ngừa
preveniently	- xem [03prevenient] 
prevent [01/pri'vent/]	[01* ngđtừ]\n- ngăn ngừa; ngăn trở, ngăn ngừa\n[02= to prevent an accident] ngăn ngừa một tai nạn\n[02= to prevent somebody from doing something] ngăn cản ai làm điều gì\n- (cổ) đón trước, làm trước, giải quyết trước, chặn trước, đối phó trước\n[02= to prevent someone's wishes] đón trước ý muốn của ai\n- (tôn giáo) dẫn đường đi trước
preventability	- xem [03prevent] 
preventable [01/pri'ventəbl/]	[01* ttừ]\n- có thể ngăn cản, có thể ngăn ngừa, phòng tránh được
preventative [01/pri'ventətiv/]	[01* ttừ]\n- ngăn ngừa, phòng ngừa\n[02= preventive measure] biện pháp phòng ngừa\n[02= preventive war] chiến tranh phòng ngừa\n- (y) phòng bệnh\n[02= preventive medicine] thuốc phòng bệnh\n[01* dtừ]\n- biện pháp phòng ngừa\n- thuốc phòng bệnh, cách phòng bệnh
preventer [01/pri'ventə/]	[01* dtừ]\n- người ngăn cản, người ngăn trở, người ngăn ngừa; vật ngăn cản, vật ngăn trở\n- (hàng hải) dây bổ sung; chốt bổ sung
preventibility	như [03preventability]
preventible	như [03preventability]
prevention [01/pri'ven∫n/]	[01* dtừ]\n- sự ngăn cản, sự ngăn trở, sự ngăn ngừa, sự phòng ngừa\n[02= prevention of disease] sự phòng bệnh\n[02= prevention is better than cure] phòng bệnh hơn chữa bệnh
preventive [01/pri'ventiv/]	như [03preventative]
preventive custody [01/pri'ventiv 'kʌstədi/]	[01* dtừ]\n- sự giữ lại để cải tạo
preventive detention [01/pri'ventiv,di'ten∫n/]	[01* dtừ]\n- (luật pháp) giam giữ phòng ngừa (không cho phạm tội nữa) 
preventive medicine [01/pri'ventiv 'medsin/]	[01* dtừ]\n- y học dự phòng
preventively	- xem [03preventive] 
preventiveness	như [03preventively]
preventorium [01/'priven'tɔ:riəm/]	[01* dtừ]\n- nhà phòng bệnh (lao phổi) 
prevenules [01/pri'venju:lz/]	[01* dtừ] s/n\n- (phẫu) tĩnh mạch nhỏ
prevernal [01/pri'və:nəl/]	[01* ttừ]\n- đầu xuân
prevertebral [01/pri'və:tibrəl/]	[01* ttừ]\n- (phẫu) trước cột sống
prevesical [01/pri'vezikəl/]	[01* ttừ]\n- (phẫu) trước bàng quang
preview [01/'pri:vju:/]	[01* dtừ]\n- sự xem trước, sự duyệt trước (phim ảnh, ảnh...)\n[01* ngđtừ]\n- xem trước, duyệt trước (phim ảnh, ảnh...) 
previous [01/'pri:viəs/]	[01* ttừ]\n- trước\n[02= the previous day] ngày hôm trước\n[02= without previous notice] không có thông báo trước\n[02= previous to] trước khi\n- (tục) vội vàng, hấp tấp\n[04! Previous Examination]\n- kỳ thi đầu tiên để lấy bằng tú tài văn chương (trường đại học Căm-brít)\n[04! previous question]\n- sự đặt vấn đề có đem ra biểu quyết ngay một vấn đề trong chương trình nghị sự không (nghị viện Anh)\n[01* phtừ]\n- previous to trước khi\n[02= previous to his marriage] trước khi anh ta lấy v
previously [01/'pri:viəsli/]	[01* phtừ]\n- trước, trước đây
previousness	- xem [03previous] 
previse [01/pri:'vaiz/]	[01* ngđtừ]\n- thấy trước, đoán trước
prevision [01/pri:'vi∫n/]	[01* dtừ]\n- sự thấy trước, sự đoán trước\n[02= a prevision of danger] sự thấy trước được mối nguy hiểm
previsional [01/pri:'vi∫nl/]	[01* ttừ]\n- thấy trước, đoán trước
previsionary	- xem [03prevision] 
previsor	- xem [03previse] 
previtamin [01/pri:'vitəmin/]	[01* dtừ]\n- (y) tiền sinh tố
prevocalic [01/,pri:və'kælik/]	[01* ttừ]\n- (ngôn) ở ngay trước nguyên âm
prevocational [01/,pri:və'kei∫ənl/]	[01* ttừ]\n- để chuẩn bị vào nghề nghiệp (giáo dục) 
prewar [01/,pri:'wɔ:(r) /]	[01* ttừ]\n- tiền chiến, trước chiến tranh
pre-war [01/'pri:'wɔ:/]	[01* ttừ]\n- trước chiến tranh\n[02= the pre-war time] thời gian trước chiến tranh
prewarn [01/pri:'wɔ:n/]	[01* ngđtừ]\n- cảnh cáo trước
prex [01/presk/]	như [03prexy]
prexy [01/'preksi/]	[01* dtừ]\n- (Mỹ),(lóng) hiệu trưởng trường đại học
prey [01/prei/]	[01* dtừ]\n- mồi\n[02= to become (fall) a prey to...] làm mồi cho...\n[02= a beast of prey] thú săn mồi\n[02= a bird of prey] chim săn mồi\n- (bóng) mồi, nạn nhân (của ai, của bệnh hoạn, của sự sợ hãi...)\n[02= to become a prey to fear] bị nỗi lo sợ luôn luôn giày vò\n[01* nđtừ]\n- (+[04 upon]) rình mồi, tìm mồi, bắt mồi (mãnh thú)\n- cướp bóc (ai)\n- làm hao mòn (bệnh tật) ; giày vò, day dứt, ám ảnh (nỗi đau buồn...)\n[02= his failure preyed upon his mind] sự thất bại day dứt tâm trí anh ta
preyer	- xem [03prey] 
prezzie [01/'prezi/]	[01* dtừ]\n- (tục) quà tặng
priapean [01/,praiə'pi:ən/]	[01* ttừ]\n- (thuộc) dương vật, thần dương vật, sự sùng bái dương vật
priapism [01/'praiəpizəm/]	[01* dtừ]\n- tính dâm đãng, tính dâm dục\n- (y) chứng cương dương vật
Priappus [01/pri'eipəs/]	[01* dtừ]\n- (cổ) thần dương vật
price	[01* dtừ]\n- giá (đen & bóng)\n[02= cost price] giá vốn\n[02= fixed price] giá nhất định\n[02= wholesale price] giá buôn bán\n[02= retail price] giá bán lẻ\n[02= beyond (above, without) price] vô giá, không định giá được\n[02= at any price] bằng bất cứ giá nào\n[02= independence at any price] phải dành được độc lập bằng bất cứ giá nào\n[02= under the rule of mammon, every man has his price] dưới sự thống trị của đồng tiền, người nào cũng có thể mua chuộc được\n- giá đánh cuộc\n[02= the starting price of a horse] giá đánh cuộc đặt lúc ngựa bắt đầu chạy đua\n- (cổ) giá trị, sự quý giá\n[02= a pearl of great price] viên ngọc trai quý giá\n[04! to set a price on someone's head]\n- treo giải thưởng lấy đầu ai\n[04! what price...?]\n- (lóng) là cái thá gì...?, nước mẹ gì...?\n[02= what price the SEATO?] khối Đông-Nam-A thì nước mẹ gì?\n[01* ngđtừ]\n- đặt giá, định giá; (bóng) đánh giá\n[04! to price onself out of the market]\n- lấy giá cắt cổ
price control [01/'prais,kən'troul/]	[01* dtừ]\n- kiểm soát giá cả
price current [01/'prais,kʌrənt/]	[01* dtừ]\n- (thương nghiệp) bảng giá (hiện hành) 
price level [01/'prais'levl/]	[01* dtừ]\n- mức giá
price war [01/praiswɔ:(r) /]	[01* dtừ]\n- chiến tranh giá cả
Price/earning ratio	- (ktế) Tỷ lệ gi Lợi tức (tỷ lệ P/E) 
priceable	như [03pricer]
price-boom [01/'praisbu:m/]	[01* dtừ]\n- mức giá cả tăng vọt; sự tăng vọt giá cả
price-cutter	- xem [03price-cutting] 
price-cutting [01/'prais'kʌtiη/]	như [03price-slashing]
priced [01/praist/]	[01* ttừ]\n- có giá, có đề giá\n[02= priced catalogue] bản kê mẫu hàng có đề giá
price-fixing [01/'prais'fiksiη/]	[01* dtừ]\n- ấn định giá cả\n- kiểm soát giá cả
price-index [01/'prais,indeks/]	[01* dtừ]\n- chỉ số giá cả
priceless [01/praislis/]	[01* ttừ]\n- vô giá; không định giá được\n- (lóng) rất nực cười, khôi hài, ngộ, lố bịch\n[02= a priceless old fellow] lão dớ dẩn, nực cười
pricelessly	- xem [03priceless] 
price-list [01/'praislist/]	như [03price current]
pricer	- xem [03price] 
price-ring [01/'praisriη/]	[01* dtừ]\n- hội liên hiệp giá cả (giữa bọn tư bản độc quyền để nâng hoặc giữ giá) 
price-slashing [01/'prais'slæ∫iη/]	[01* dtừ]\n- sự sụt giá, sự giảm giá
price-support [01/'praisə'pɔ:t/]	[01* dtừ]\n- sự nâng đỡ giá cả (do chính phủ) 
price-tag [01/'praistæg/]	[01* dtừ]\n- nhãn ghi giá của cái gì; chi phí của cái gì
price-wave [01/'praisweiv/]	[01* dtừ]\n- sự dao động giá cả
pricey [01/'praisi/]	[01* ttừso sánh]\n- đắt tiền
priceyness	- xem [03pricey] 
pricily	như [03priceyness]
prick [01/prik/]	[01* dtừ]\n- sự châm, sự chích, sự chọc; vết châm, vết chích, vết chọc\n- mũi nhọn, cái giùi, cái gai\n[02= to have got a prick in one's finger] bị một cái gai đâm vào ngón tay\n- sự đau nhói, sự cắn rứt, sự day dứt\n[02= the pricks of conscience] sự cắn rứt của lương tâm\n[02= to feel the prick] cảm thấy đau nhói\n- (cổ) gậy thúc (gậy nhọn để thúc bò)\n- uộc khụp cái cặc\n[04! to kick against the pricks]\n- xem [03kick]\n[01* ngđtừ]\n- châm, chích, chọc, cắn, rứt\n[02= to prick holes in the ground] chọc lỗ trên mặt đất\n[02= his conscience pricked him] lương tâm cắn rứt hắn\n- đánh dấu (tên ai trên danh sách), chấm dấu trên giấy ((nghĩa rộng)) chọn, chỉ định\n[02= to be pricked off for duty] được chọn (được chỉ định) làm nhiệm vụ\n[01* nđtừ]\n- châm, chích, chọc\n- phi ngựa\n- (+[04 up]) vểnh lên (tai)\n[04! to prick in]\n- trồng lại, cấy (cây nhỏ, lúa...)\n[04! to prick off]\n[04! to prick out]\n- đánh dấu chấm (hình gì) ; châm kim vẽ (hình gì)\n[04! to prick in to prick a (the) bladder (bubble)]\n- làm xẹp cái vẻ ta đây quan trọng, làm lộ tính chất rỗng tuếch (của ai), làm lộ rõ tính chất vô giá trị (của cái gì) 
prick-eared [01/'prik'iəd/]	[01* ttừ]\n- có tai vểnh (chó...) 
prick-ears [01/'prik'iəz/]	[01* dtừ]\n- tai vểnh
pricker [01/'prikə/]	[01* dtừ]\n- mũi nhọn, cái giùi
pricket [01/'prickit/]	[01* dtừ]\n- (động vật) con hoẵng non, con nai non (hơn một năm, sừng chưa có nhánh)\n[02= pricket's sister] hoẵng cái non (hơn 1 năm)\n- cái que nhọn để cắm nến
pricking [01/'prikiη/]	[01* dtừ]\n- sự châm, sự chích, sự chọc\n- cảm giác kim châm, cảm giác đau nhói\n- sự đánh dấu, sự chấm câu (trên giấy, bản đồ...) 
prickle [01/'prikl/]	[01* dtừ]\n- (thực vật) gai (trên cây)\n- (động vật) lông gai (cứng nhọn như lông nhím)\n- cảm giác kim châm, cảm giác đau nhói\n[01* ngđtừ]\n- châm, chích, chọc\n- có cảm giác kim châm, đau nhói
prickle-cell [01/'priklsel/]	[01* dtừ]\n- (sinh vật) tế bào gai biểu bì
prickliness [01/'priklinis/]	[01* dtừ]\n- cảm giác bị kim châm, cảm giác đau nhói\n- tính dễ cáu, tính dễ giận, tính hay hờn dỗi (người) 
prickling [01/'prikliη/]	như [03formication]
prickly [01/'prikli/]	[01* ttừ]\n- (sinh vật) có gai, đầy gai\n- có cảm giác kim châm, có cảm giác đau nhói\n- (bóng) dễ cáu, dễ giận, dễ mếch lòng; hay làm mếch lòng, hay chọc tức (người) 
prickly heat [01/'prikli'hi:t/]	[01* dtừ]\n- (y) chứng nổi rôm (ở các xứ nóng) 
prickly pear [01/'prikli'beə(r) /]	[01* dtừ]\n- cây lê gai; quả lê gai
pricy [01/'praisi/]	như [03pricey]
pride [01/praid/]	[01* dtừ]\n- sự kiêu hãnh, sự hãnh diện; niềm kiêu hãnh, niềm hãnh diện, tính tự cao, tính tự phụ, tính kiêu căng\n[02= false pride] tính tự ái; tính kiêu căng ngạo mạn; tính hư danh, tính hiếu danh\n[02= he is his father's pride] anh ta là niềm kiêu hãnh của ông bố\n- lòng tự trọng ((cũng) [03proper pride] ) ; lòng tự hào về công việc của mình\n- độ đẹp nhất, độ rực rỡ nhất, độ chín muồi, độ phát triển nhất\n[02= in the full pride of youth] ở tuổi thanh xuân phơi phới\n[02= a peacock in his pride] con công đang xoè đuôi\n[02= in pride of grease] béo, giết thịt được rồi\n- tính hăng (ngựa)\n- (văn học) sự tráng lệ, sự huy hoàng, sự lộng lẫy\n- đàn, bầy\n[02= a pride of lions] đàn sư tử\n[04! pride of the morning]\n- sương lúc mặt trời mọc\n[04! pride of place]\n- địa vị cao quý\n- sự tự phụ về địa vị cao quý của mình; sự ngạo mạn\n[04! pride will have a fall]\n- xem [03fall]\n[04! to put one's pride in one's pocket]\n[04! to swallow one's pride]\n- nén tự ái, đẹp lòng tự ái\n[01* phtừ (+ on, upon)]\n- lấy làm kiêu hãnh (về cái gì...)\n- lấy làm tự hào (về việc gì...) 
prideful [01/'praidful/]	[01* ttừ]\n- (Ê-cốt) đầy kiêu hãnh; tự cao, tự phụ\n- tự hào
pridefully	- xem [03prideful] 
pridefulness	như [03pridefully]
prie-dieu [01/'pri:djə:/]	[01* dtừ]\n- ghế cầu kinh ((cũng) [03prie-dieu chair] ) 
prier [01/'praiə/]	[01* dtừ]\n- người tò mò, người tọc mạch ((Mỹ)(cũng) [03pry] ) 
priest [01/pri:st/]	[01* dtừ]\n- thầy tu, thầy tế\n- vồ đập cá (Ai-len)\n[01* ngđtừ]\n- làm (ai) trở thành thầy tu (ai) trở thành thầy tế
priest hole [01/'pri:st,houl/]	[01* dtừ]\n- nơi giáo sĩ trốn tránh (trong thời kỳ khủng bố) 
priestcraft [01/'pri:stkrɑ:ft/]	[01* dtừ]\n- nghề làm thầy tu\n- thuật kiếm chác của thầy tu; thủ đoạn tiến thân của thầy tu
priestess [01/'pri:stes/]	[01* dtừ]\n- cô thầy cúng
priesthood [01/'pri:sthud/]	[01* dtừ]\n- (tôn giáo) chức thầy tu; chức thầy tế
priestlike [01/'pri:stlaik/]	[01* ttừ]\n- giống như một giáo sự
priestliness	- xem [03priestly] 
