tasselled	462-10182-B
taxi dancer	462-22665-B
taxi driver	462-23063-B
taxi man	462-23193-B
taxi rank	462-22416-B,462-23639-B
taxi stand	462-23703-B
taxidermal	462-22760-B
taxidermic	462-22814-B
taxidermist	462-22903-B
taxidermy	462-22987-B
taxiless	462-23115-B
taximeter	462-23262-B
taxing	462-23348-B
taxing master	462-23428-B
taxiplane	462-23540-B
taxism	421-21177-S
taxman	462-23778-B
taxmen	462-23818-B
taxology	462-23983-B
taxon	462-24053-B
taxonomic	462-24176-B
taxonomical	462-24229-B
taxonomist	462-24302-B
taxonomy	462-24368-B
taxpayer	462-24461-B
tb	462-24508-B
tbsp	462-24678-B
tcp ip	462-24796-B
te ching	461-25043-S
tea	462-25029-B,44-28469-S,50-13199-S,106-3669-S,180-7887-S,208-1551-S,221-1686-S,285-21375-S,333-5087-S,344-12197-S
tea bag	463-167-B
tea basket	463-275-B
tea break	463-369-B
tea caddy	463-470-B
tea cake	463-531-B
tea chest	463-1476-B
tea cloth	463-2225-B
tea cosy	463-2339-B
tea dance	463-2595-B
tea drinker	463-2664-B
tea fight	463-2734-B
tea garden	463-2803-B
tea gown	463-2921-B
tea house	463-3003-B
tea kettle	463-3141-B
tea lady	462-25434-B
tea leaf	463-3288-B
tea party	463-4295-B
tea room	463-5796-B
tea rose	463-0-B
tea service	463-6503-B
tea set	463-6551-B
tea shop	463-6605-B
tea spoon	463-7082-B
tea spoonful	463-7218-B
tea strainer	463-7288-B
tea table	463-7603-B
tea things	463-7731-B
tea time	463-7799-B
tea towel	463-72-B,463-7931-B
tea tray	463-8033-B
tea trolley	463-8083-B
tea urn	463-8173-B
tea wagon	463-8257-B
teach	463-595-B
teach in	463-1601-B
teach school	463-631-B
teachability	463-710-B
teachable	463-896-B
teachableness	463-1107-B
teacher	463-1165-B,187-12007-S,205-22315-S,216-28205-S,370-16022-S,404-2433-S,448-9609-S,450-3264-S,455-6247-S
teacher association	329-7657-S
teachers college	463-1242-B
teachership	463-1359-B
teaching	463-1662-B,308-7386-S,448-9679-S
teaching alphabet	243-9019-S
teaching hospital	463-1969-B
teacup	463-2436-B
teak	463-3068-B
teal	463-3211-B
team	463-3364-B,299-4186-S,406-3318-S
team mate	463-3745-B
team party	463-3808-B
team spirit	463-3689-B
team work	463-4202-B
teamplay	463-3916-B
teamster	463-4047-B
teamwise	463-4139-B
teapot	463-4371-B
teapoy	463-4422-B
tear	463-4488-B
tear drop	463-4611-B
tear duct	463-4675-B
tear gas	463-5083-B
tear gland	463-5155-B
tear jerker	463-5510-B
tear shell	463-5839-B
tearaway	463-4518-B
tearful	463-4759-B
tearfully	463-4980-B
tearing	463-5230-B
tearless	463-5615-B
tears	255-26823-S
tease	463-5903-B,447-24932-S
teasel	463-6296-B
teaser	463-6332-B,57-5372-S,179-3043-S,447-25079-S
teasing	463-6723-B
teasingly	463-6994-B
teaspoonful	463-7142-B
teat	463-7421-B
teazel	463-8338-B
teazer	179-3097-S
teazle	463-8374-B
tec	463-8518-B,463-8538-B
tech	463-8600-B,221-11134-S
techie	463-8710-B
techily	463-8859-B
techiness	463-8902-B
technetium	463-8950-B
technic	463-9048-B
technical	463-9286-B
technical college	463-9517-B
technical hitch	463-9724-B
technicality	463-9861-B
technically	463-10165-B
technicalness	463-10288-B
technician	463-10388-B,92-1223-S,111-15277-S
technicolor	463-10468-B
technicolour	463-10588-B
technics	463-10743-B
technique	463-11094-B,60-4211-S,91-9208-S,91-11922-S,91-13130-S,92-8720-S
techno	463-11241-B
technocracy	463-11424-B
technocrat	463-11669-B
technocratic	463-11768-B
technography	463-11880-B
technolator	463-11993-B
technologic	463-12073-B
technological	463-12131-B
technologically	463-12322-B
technologist	463-12471-B
technology	463-12544-B,8-26584-S,92-1285-S,92-8773-S,221-1781-S
techy	463-12690-B
tectology	463-12727-B
tectonic	463-12814-B
tectonics	463-12892-B
tectrices	463-12988-B
tectrix	463-13056-B
ted	463-13146-B
tedder	463-13216-B
tedding	463-13326-B
teddy bear	463-13415-B
teddy boy	463-13499-B
tedious	463-13798-B
tediously	463-13975-B
tediousness	463-14111-B
tedium	463-14237-B
tee	463-14281-B
tee hee	463-14535-B
tee shirt	463-16681-B
teem	463-14775-B
teemful	463-14972-B
teeming	463-15089-B
teen	463-15297-B
teen age	463-15331-B
teen ager	463-15745-B
teenage	463-15466-B
teenaged	463-15651-B
teenager	463-15791-B
teener	463-15853-B
teens	463-15917-B
teensy	463-16163-B
teensy weensy	463-16207-B
teeny	463-16295-B
teeny bopper	463-16335-B
teeny weeny	463-16482-B
teepee	463-16560-B
teer	463-16635-B
teeter	463-16727-B
teeth	463-16859-B,64-15816-S,139-11757-S,169-20293-S,171-16652-S,337-13373-S,521-15355-S
teethe	463-17855-B
teething	463-17903-B
teething ring	463-18112-B
teething troubles	463-17960-B
teethridge	463-18250-B
teetotal	463-18306-B
teetotaler	463-18506-B
teetotalism	463-18556-B
teetotaller	463-18672-B
teetotally	463-18753-B
teetotum	463-18833-B
teevee	463-18966-B
tefl	463-19101-B
teg	463-19245-B
tegular	463-19295-B
tegulated	463-19384-B
tegument	463-19465-B
tegumental	463-19512-B
tegumentary	463-19591-B
tehee	463-19643-B
teknonymy	463-19786-B
tel	463-19867-B,463-19889-B
telaesthesia	463-20023-B
telautogram	463-20131-B
telautograph	463-20217-B
tele	463-20312-B,463-20350-B
telecamera	463-20403-B
telecast	463-20472-B
telecasting	463-20641-B
telecolour	463-20694-B
telecom	202-6630-S
telecommunication	463-20759-B
telecommunications	463-20860-B
telecommuting	463-20964-B
teleconference	463-21000-B
telecontrol	463-21148-B
telecontrolled	463-21226-B
teledidonics	463-21385-B
telefilm	463-21813-B
telegenic	463-21873-B
telegram	463-21958-B
telegraph	463-22091-B,62-17465-S,150-2489-S,176-17527-S,176-20988-S,432-14030-S
telegraph line	463-22983-B
telegraph pole	463-23045-B
telegraph post	463-23107-B
telegraph wire	463-23209-B
telegrapher	463-22220-B
telegraphese	463-22291-B
telegraphic	463-22361-B
telegraphic address	463-22636-B
telegraphically	463-22812-B
telegraphist	463-22929-B
telegraphy	464-0-B,36-4375-S,115-21166-S
telegraphy direct current telegraphy	115-21166-S
teleguided	464-85-B
telekinesis	464-153-B
telemarketing	464-348-B
telemechanics	464-456-B
telemedicine	464-550-B
telementry	464-601-B
telemessage	464-642-B
telemeter	464-853-B
telemetry	464-909-B
telenet	464-1096-B
teleo	464-1370-B
teleologic	464-1428-B
teleological	464-1486-B
teleologist	464-1570-B
teleology	464-1657-B
telepath	464-1742-B
telepathic	464-1822-B
telepathically	464-1882-B
telepathist	464-1951-B
telepathize	464-2125-B
telepathy	464-2188-B
telephone	464-2250-B,69-14280-S,100-14590-S,126-11211-S,128-14987-S,176-21072-S
telephone book	464-2458-B
telephone booth	464-2534-B
telephone box	464-3001-B
telephone control board	133-9824-S
telephone directory	464-2595-B
telephone exchange	464-2667-B
telephone girl	464-3125-B
telephone line	18-13201-S
telephone message recorder	36-4436-S
telephone number	464-2738-B
telephone operator	464-2831-B
telephone receiver	464-3302-B
telephone set	36-4532-S,126-8664-S
telephone system	36-4599-S,126-8723-S,133-9907-S
telephoner	464-3204-B
telephonic	464-3396-B
telephonically	464-3467-B
telephonist	464-3544-B
telephony	464-3618-B,36-4677-S
telephoto	464-3676-B
telephoto lens	464-3736-B
telephotograph	464-3812-B
telephotographic	464-3865-B
telephotography	464-3967-B
telepic	464-4093-B
telepresence	464-4155-B
teleprinter	464-4362-B
teleprompter	464-4436-B
telesales	464-4751-B
telescope	464-4840-B,149-8193-S,376-3100-S,376-10945-S
telescopic	464-5260-B
telescopical	464-5313-B
telescopically	464-5808-B
telescreen	464-6189-B
telescript	464-6265-B
telescriptor	464-6324-B
telestereoscope	464-6379-B
teletext	464-6465-B
telethon	464-6636-B
teletype	464-6826-B,150-2550-S
teletypewriter	464-7004-B
teleview	464-7063-B
televiewer	464-7123-B
televise	464-7195-B
television	464-7336-B,50-7838-S,63-14489-S,63-14579-S,83-7922-S,128-15052-S,146-8083-S,150-2614-S
television set	464-7441-B
televisor	464-7520-B
telex	464-7583-B
tell	464-7955-B
tell that to the marines	464-7984-B
tellable	464-8098-B
teller	464-8177-B,36-4735-S,188-2120-S,445-24014-S,461-3471-S
teller machine	35-17049-S,36-4831-S
tellies	464-8361-B
telling	464-8436-B,188-2178-S,461-3636-S
telling off	464-8769-B
tellingly	464-8684-B
telltale	464-8849-B
telluric	464-9198-B
tellurium	464-9324-B
telly	464-9382-B
telnet	464-9443-B
telo	464-9696-B
telotype	464-9745-B
telpher	464-9792-B
telpherage	464-9882-B
tem	464-9961-B,362-7379-S
temblor	464-9975-B
temerarious	464-10043-B
temerity	464-10242-B
temp	464-10333-B
temper	464-10518-B,232-3062-S,418-6638-S,418-11376-S
tempera	464-11441-B
temperament	464-11504-B
temperamental	464-11630-B
temperamentally	464-11790-B
temperance	464-12011-B
temperate	464-12405-B
temperately	464-12592-B
temperateness	464-12791-B
temperature	464-12978-B,2-25736-S,16-10244-S,109-3669-S
temperature recorder	150-2673-S
tempered	39-19978-S,163-18200-S,204-20980-S,215-13281-S,226-3307-S,232-12591-S,374-18676-S,418-11452-S,457-16374-S
temperedly	204-21057-S,232-12674-S
temperedness	204-21100-S,232-12713-S
temperer	464-13161-B
tempering	464-13275-B
tempest	464-13413-B
tempest beaten	464-13586-B
tempest tossed	464-13668-B
tempestuous	464-13764-B
tempestuously	464-13882-B
tempestuousness	464-14050-B
tempi	464-14245-B
templar	464-14400-B,260-24504-S
template	464-14475-B,183-11658-S
temple	464-14538-B,393-4266-S
templet	464-14697-B
tempo	464-14738-B,1-4764-S
temporal	464-14773-B,274-30668-S,433-10387-S
temporality	464-15120-B
temporally	433-10481-S
temporalty	464-15333-B
temporariness	464-15563-B
temporary	464-15693-B,102-15605-S
tempore	362-7453-S
temporis accti	265-8528-S
temporis acti	265-8619-S
temporisation	464-15931-B
temporise	464-15993-B
temporization	464-16040-B
temporize	464-16290-B
temporizer	464-16601-B
tempt	464-16781-B
temptation	464-16998-B
tempter	464-17161-B
tempting	464-17313-B
temptingly	464-17416-B
temptress	464-17569-B
tempura	464-17671-B
ten	464-17819-B,472-7043-S
ten cent store	464-20673-B
ten pence	464-18123-B
ten spot	465-220-B
ten strike	465-312-B
tenability	464-18217-B
tenable	464-18270-B
tenableness	464-18684-B
tenacious	464-18940-B
tenaciously	464-19315-B
tenaciousness	464-19593-B
tenacity	464-19812-B
tenancy	464-19862-B
tenant	464-20171-B,102-16007-S,422-9060-S
tenantable	464-20361-B
tenantless	464-20479-B
tenantry	464-20576-B
tench	464-20769-B
tend	464-20848-B
tendance	464-21456-B
tendencious	464-21631-B
tendency	464-21686-B
tendential	464-21893-B
tendentious	464-22110-B
tendentiously	464-22162-B
tendentiousness	464-22347-B
tender	464-22579-B,266-35135-S,458-3781-S
tender eyed	464-24182-B
tender hearted	464-24586-B
tenderer	464-24120-B
tenderfeet	464-24268-B
tenderfoot	464-24538-B
tenderise	464-24712-B
