decolor	117-23304-B
deflower	119-13233-B
deflowerer	119-13340-B
deflowering	119-13371-B
deflux	119-13502-B
defocus	119-13556-B
defocusing	119-12467-S
defog	119-13650-B
defoliant	119-13748-B
defoliate	119-13815-B
defoliation	119-13904-B
defoliator	119-14006-B
deforest	119-14038-B
deforestation	119-14107-B
deforester	119-14195-B
deform	119-14226-B
deformability	119-14320-B
deformable	119-14354-B
deformation	119-14383-B,416-4220-S
deformed	119-14582-B
deformity	119-14656-B
defragmentation	119-14810-B
defragmenter	119-14849-B
defraud	119-14895-B
defraudation	119-15074-B
defrauder	119-15106-B
defray	119-15181-B
defrayable	119-15336-B
defrayal	119-15365-B
defrayment	119-15411-B
defrock	119-15509-B
defrost	119-15589-B
deft	119-15702-B
deftly	119-15734-B
deftness	119-15773-B
defunct	119-15856-B
defunctive	119-16003-B
defunctness	119-16035-B
defuse	119-16066-B
defy	119-16154-B
deg	119-16699-B
degage	119-16743-B
degas	119-16791-B
degauss	119-16859-B
degausser	119-17025-B
degaussing	119-17060-B
degeneracy	119-17091-B
degenerate	119-17173-B,305-656-S
degenerate electron	119-17345-B
degenerated semiconductor	119-17398-B
degenerately	119-17474-B
degenerateness	119-17511-B
degeneration	119-17548-B
degeneration factor	119-17662-B
degenerative	119-17737-B
degeration	119-17800-B
deglaze	119-17847-B
deglutition	119-17949-B
deglutitory	119-18010-B
degradation	119-18045-B
degrade	119-18612-B
degrader	119-19182-B
degrading	119-19210-B
degradingly	119-19308-B
degranulation	119-19341-B
degreasant	119-19447-B
degrease	119-19512-B
degreaser	119-19567-B
degree	119-19597-B,179-9508-S,195-6591-S,263-3487-S,284-1306-S,330-29215-S,407-26811-S,467-19133-S
degree burn	467-19198-S
degree of accuracy	119-20610-B
degree of magnification	119-20656-B
degression	119-20709-B
degressive	119-20792-B
degringolade	119-20825-B
degust	119-20951-B
dehisce	119-21031-B
dehiscence	119-21120-B
dehiscent	119-21218-B
dehorn	119-21285-B
dehortative	119-21342-B
dehumanise	119-21481-B
dehumanization	119-21618-B
dehumanize	119-21741-B
dehumidification	119-21794-B
dehumidify	119-21925-B
dehydrant	119-22022-B
dehydrate	119-22096-B
dehydration	119-22165-B
dehydrator	119-22242-B
dehydrogenation	119-22274-B
dehydrogenization	119-22360-B
dehydrogenize	119-22403-B
dehypnotisation	119-22482-B
dehypnotise	119-22552-B
dehypnotization	119-22623-B
dehypnotize	120-0-B
dei	11-9220-S
deicide	120-262-B
deictic	120-345-B
deictically	120-436-B
deification	120-467-B
deifier	120-614-B
deiform	120-639-B
deify	120-716-B
deign	120-833-B
deindustrialization	120-1036-B
deis irae	120-1144-B
deism	120-1220-B
deist	120-1269-B
deistic	120-1323-B
deistical	120-1366-B
deistically	120-1431-B
deity	120-1460-B
deja vu	120-1573-B
deject	120-1629-B
dejecta	120-1726-B
dejected	120-1856-B
dejectedly	120-1954-B
dejectedness	120-1985-B
dejection	120-2018-B
dejeuner	120-2147-B
dekko	120-2195-B
del	120-2299-B
del character	120-2339-B
delaine	120-2392-B
delaminate	120-2447-B
delamination	120-2532-B
delate	120-2628-B
delation	120-2745-B
delator	120-2884-B
delay	120-3037-B,61-2311-S,157-8497-S,209-19054-S
delay cell	120-3492-B
delay circuit	120-3529-B
delay component	120-3571-B
delay distortion	120-3616-B,157-8551-S
delay element	120-3662-B
delay equalizer	120-3703-B
delay flip flop	120-3783-B
delay frequency distortion	120-4471-B
delay frequency equalizer	120-3827-B
delay line	120-3896-B,128-12878-S,145-3893-S,148-15402-S,159-8427-S
delay line memory	120-3945-B
delay network	120-3994-B
delay time	120-4030-B,37-9496-S
delay time register	120-4538-B
delayed	120-4092-B
delayed action mine	120-4367-B
delayed call	120-4114-B
delayed carry	120-4148-B
delayed feedback	120-4188-B
delayed pulse interval	120-4233-B
delayed sweep storage scope	120-4291-B
delayer	120-4446-B
dele	120-4594-B
delectability	120-4758-B
delectable	120-4794-B
delectableness	120-4873-B
delectably	120-4911-B
delectation	120-4982-B
delectus	120-5082-B
deleful	120-5181-B
delegacy	120-5308-B
delegate	120-5472-B,26-4177-S
delegates	226-9959-S
delegation	120-5826-B
delegator	120-6017-B
delete	120-6154-B
delete character	120-6047-B,120-6224-B
delete key	120-6111-B,120-6293-B
deleted	120-6330-B
deleterious	120-6354-B
deleteriously	120-6421-B
deleteriousness	120-6458-B
deleting	120-6497-B
deletion	120-6520-B
delf	120-6607-B
delft	120-6688-B
delftware	120-6720-B
deli	120-6780-B
