jitsu	255-21583-S,257-1660-S
jonquil	256-13934-B
jordan	256-14082-B
jordan almond	256-14154-B
jordan circuit	145-778-S
joring	422-23127-S
jorum	256-14296-B
joseph	256-14410-B
josephson current	115-20222-S
josephson effect	3-14361-S,115-20335-S
josh	256-14551-B
josher	256-14708-B
joshingly	256-14734-B
joskin	256-14760-B
joss	256-14840-B
joss house	256-15000-B
joss stick	256-15079-B
josser	256-14900-B
jostle	256-15135-B
jostler	256-15501-B
jot	256-15527-B
jotter	256-15654-B
jotting	256-15711-B
jotun	256-15776-B
joual	256-15881-B
joule	256-15949-B
jounce	256-16003-B
jour	54-18844-S,69-1726-S
journal	256-16063-B,3-7671-S,4-26330-S
journal box	256-16302-B
journalese	256-16374-B
journalise	256-16484-B
journalism	256-16645-B,211-12613-S
journalist	256-16729-B,272-20467-S
journalistic	256-16786-B
journalistically	256-16886-B
journalize	256-17020-B
journalizer	256-17072-B
journey	256-17106-B
journey work	256-17561-B
journeyer	256-17291-B
journeyman	256-17320-B
joust	256-17649-B
jouster	256-17771-B
jove	256-17796-B
jovial	256-17905-B
joviality	256-17965-B
jovially	256-18070-B
jovian	256-18134-B
jowl	256-18250-B
joy	256-18457-B,476-3074-S
joy bells	256-18936-B
joy ride	256-19757-B
joy rider	256-20092-B
joyance	256-18849-B
joyful	256-19032-B
joyfully	256-19147-B
joyfulness	256-19222-B
joyless	256-19333-B
joylessly	256-19392-B
joylessness	256-19466-B
joyous	256-19547-B
joyously	256-19611-B
joyousness	256-19676-B
joystick	256-20192-B
jp	256-20282-B
ju	257-1880-S
ju jitsu	257-1660-B
ju ju	257-1880-B
ju jutsu	257-2160-B
juan	137-475-S
jubbah	256-20391-B
jubilance	256-20515-B
jubilant	256-20565-B
jubilantly	256-20671-B
jubilate	256-20740-B
jubilation	256-20847-B
jubilee	256-20978-B,126-14887-S,204-567-S,204-2465-S,420-21672-S
judaic	256-21394-B
judaica	256-21453-B
judaise	256-21599-B
judaism	256-21656-B
judaist	256-21714-B
judaize	256-21786-B
judas	256-21830-B
judas coloured	256-22113-B
judas hole	256-22195-B
judas tree	256-22030-B
judder	256-22298-B
judge	256-22388-B,472-30415-S
judge made	256-23256-B
judge made law	256-23082-B
judged	232-10710-S,518-603-S
judgematic	256-23392-B
judgematical	256-23448-B
judgement	256-23566-B,505-24336-S
judgement creditor	256-23615-B
judgement day	256-23691-B,256-23982-B
judgement debt	256-23851-B
judgement debtor	256-23913-B
judgement seat	256-24068-B
judges rules	256-24181-B
judgeship	256-24308-B
judgment	256-24376-B,264-23197-S
judgment creditor	256-25248-B
judgment day	256-25546-B
judgment debt	256-25360-B
judgment debtor	256-25446-B
judgment seat	256-25606-B
judicature	256-25669-B
judicial	256-25908-B,373-28356-S
judicial murder	256-26545-B
judicial review	256-26689-B
judicial separation	256-26870-B
judicially	256-27084-B
judiciary	256-27214-B
judicious	256-27426-B
judiciously	256-27555-B
judiciousness	256-27648-B
judith	256-27795-B
judo	256-27884-B
judoist	256-27945-B
judoka	256-27969-B
judy	256-28034-B
jug	256-28121-B,445-5617-S,470-22113-S
jug band	256-28527-B
jugate	256-28619-B
jugful	256-28699-B
juggernaut	256-28822-B
juggins	256-29322-B
juggle	256-29417-B
juggler	256-29927-B
jugglery	257-0-B
jugoslav	257-115-B
jugoslavian	257-178-B
jugs	467-2300-S
jugular	257-256-B
jugulate	257-366-B
jugulum	257-495-B
jugum	257-598-B
juice	257-713-B,206-14486-S,270-9937-S
juiceless	257-1135-B
juicer	257-1221-B,270-10001-S
juicily	257-1307-B
juiciness	257-1332-B
juicy	257-1426-B
juju	257-1751-B
jujube	257-2029-B
juke box	257-2205-B
jul	257-2327-B
julep	257-2367-B
julian	257-2527-B
julienne	257-2680-B
juliet cap	257-2878-B
juliett	257-2996-B
july	257-3062-B
jum off	257-4318-B
jumb	35-8490-S
jumb instruction	91-11407-S
jumbal	257-3111-B
jumble	257-3198-B
jumble sale	257-3433-B,257-3672-B
jumble shop	257-3798-B
jumbly	257-3904-B
jumbo	257-3992-B,298-4072-S
jumbo jet	257-4138-B
jumbuck	257-4255-B
jump	257-4515-B,59-5830-S,93-21827-S,184-11139-S,221-399-S,224-24368-S,273-23260-S,327-15323-S,350-23362-S,374-12282-S,422-23336-S,478-5922-S,516-533-S
jump ball	257-8238-B
jump cut	257-8373-B
jump jet	257-9652-B
jump lead	257-9731-B
jump off	257-9802-B
jump seat	257-9981-B
jump shot	257-8455-B
jump start	257-10085-B
jump suit	257-10189-B
jumped up	257-8548-B
jumper	257-8632-B,38-13966-S,80-24339-S,103-17357-S,221-6198-S,327-15550-S,350-23411-S,374-12382-S
jumpiness	257-8975-B
jumping	221-6290-S,350-23500-S,418-26343-S
jumping jack	257-9374-B
jumping off place	257-9467-B
jumping off point	257-9551-B
jumping plant louse	257-9186-B
jumping spider	257-9262-B
jumpy	257-10262-B
jun	257-10437-B
junco	257-10476-B
junction	257-10564-B,2-18627-S,128-4886-S,129-15493-S,137-10576-S,152-12434-S,159-482-S,188-4794-S,197-6390-S,197-6899-S,209-25405-S,470-15839-S
junction box	257-10806-B
junction diode	2-18687-S
junctional	257-10904-B
junctural	257-10935-B
juncture	257-11027-B
june	257-11323-B
june bug	257-11368-B
jungian	257-11423-B
jungle	257-11570-B,31-9279-S,93-11947-S
jungle fever	257-11759-B
jungle fowl	257-11829-B
jungly	257-11890-B
junior	257-11955-B
junior grade	269-9195-S
juniority	257-12497-B
juniper	257-12619-B
juniper oil	257-12686-B
junk	257-12767-B,399-7209-S,399-9835-S
junk art	257-13287-B
junk food	257-14122-B
junk mail	257-13418-B
junk shop	257-14353-B
junk yard	257-14453-B
junkard	257-13521-B
junker	257-13569-B
junkerism	257-13640-B
junket	257-13732-B
junketer	257-14016-B
junketing	257-14043-B
junkie	257-14190-B
junkman	257-14245-B
juno	257-14530-B
junoesque	257-14663-B
junta	257-14754-B
junto	257-14879-B
jupiter	257-15076-B
jural	257-15243-B
jurally	257-15387-B
jurassic	257-15412-B
jurat	257-15533-B
juratory	257-15683-B
jure	115-23344-S,453-16775-S
juriconsult	257-15781-B
juridical	257-15889-B
juridically	257-15944-B
juris	452-17116-S
jurisconsult	257-15997-B
jurisdiction	257-16058-B
jurisdictional	257-16263-B
jurisdictionally	257-16320-B
jurisprudence	257-16381-B,286-422-S
jurisprudent	257-16502-B
jurisprudential	257-16582-B
jurisprudentially	257-16667-B
jurist	257-16732-B
juristic	257-16845-B
juristical	257-16933-B
juristically	257-16983-B
juror	257-17016-B
jury	257-17111-B,206-4564-S,227-17998-S
jury box	257-17211-B
jury mast	257-17396-B
juryman	257-17292-B
jurywoman	257-17511-B
jus	34-4410-S
jusction	257-17661-B
jussive	257-17695-B
just	257-17756-B
just click n see	257-19234-B
juste	266-831-S
justice	257-19338-B,274-28869-S,274-29158-S,350-2699-S
justice of the peace	257-20109-B
justiceof appeal	274-29241-S
justiceship	257-20199-B
justiciability	257-20265-B
justiciable	257-20303-B
justiciar	257-20497-B
justiciary	257-20615-B
justifiability	257-20740-B
justifiable	257-20913-B
justifiableness	257-21168-B
justifiably	257-21207-B
justification	257-21274-B,410-7906-S
justificative	257-21478-B
justificatory	257-21539-B
justified	257-21662-B
justifier	410-8016-S
justify	257-22137-B,410-8098-S
justly	257-22289-B
justness	257-22314-B
jut	257-22339-B
jute	257-22568-B
jutsu	257-2160-S
jutty	257-22686-B
juvenescence	257-22772-B
juvenescent	257-22853-B
juvenile	257-22943-B
juvenile court	257-23179-B
juvenile delinquent	257-23332-B
juvenilely	257-23499-B
juvenileness	257-23530-B
juvenilia	257-23563-B
juvenility	257-23690-B
juxtapose	257-23871-B
juxtaposition	257-23983-B
juxtapositional	257-24103-B
juxtapossition	257-24144-B
k	257-24192-B,307-16836-S,307-17052-S
k o	257-24237-B
k ration	261-12465-B
kaaba	257-24277-B
kaama	257-24448-B
kabbalah	257-24518-B
kabob	257-24622-B
kabuki	257-24680-B
kabyle	257-24837-B
kaddish	257-25016-B
kadi	257-25231-B
kaff	257-25304-B
kaffeeklatsch	257-25436-B
kaffir	257-25582-B
kaffiyeh	257-25646-B
kafir	257-25795-B
kafiri	257-25898-B
kafkaesque	257-26023-B
kaftan	257-26107-B
kago	257-26147-B
kahawai	257-26209-B
kai	257-26347-B
kaiak	257-26383-B
kail	257-26500-B
kailyard	257-26530-B
kaingin	257-26574-B
kainite	257-26616-B
kaiser	257-26671-B
kaiserdom	257-26758-B
kaiserin	257-26842-B
kaiserism	257-26916-B
kaka	257-27008-B
kakapo	257-27091-B
kakemono	257-27188-B
kala azar	257-27299-B
kale	257-27430-B,406-19281-S,407-3621-S
kaleidoscope	257-27578-B
kaleidoscopic	257-27693-B
kaleidoscopical	257-27819-B
kaleidoscopically	257-27886-B
kalends	257-27993-B
kaleyard	257-28034-B
kali	257-28272-B
kalinite	257-28332-B
kaliph	257-28403-B
kaliphate	258-0-B
kalium	258-61-B
kalmuck	258-111-B
kalmyk	258-330-B
kalong	258-384-B
kalpa	258-461-B
kamikaze	258-658-B
kampometer	258-777-B
kampong	258-851-B
kampuchean	258-945-B
kana	258-1081-B
kanaka	258-1136-B
kanarese	258-1281-B
kangaroo	258-1404-B
kangaroo rat	258-1976-B
kanji	258-2041-B
kannada	258-2136-B
kantian	258-2254-B
kantianism	258-2429-B
kaoliang	258-2531-B
