strophoid [01/'strɔfɔid/]	[01* dtừ]\n- (toán) strofoid
stubby [01/'stʌbi/]	[01* ttừ]\n- có nhiều gốc cây (đất)\n- ngăn và dày cộm (lông...)\n- lùn và chắc mập (người) 
stub-iron [01/'stʌb'aiən/]	[01* dtừ]\n- sắt làm nòng súng
stub-nail [01/'stʌb,neil/]	[01* dtừ]\n- đinh ngắn to\n- móng ngựa mòn
stucco [01/'stʌkou/]	[01* dtừ] s/n [03stuccoes]\n- vữa xtucô (trát tường, đắp hình nổi trên tường...)\n[01* ngđtừ]\n- trát bằng vữa xtucô
stucco-work [01/'stʌkou'wə:k/]	[01* dtừ]\n- tường trát vữa xtucô, hình đắp nổi bằng vữa xtucô
stuck	như [03stick]
stuck-up [01/,stʌk'ʌp/]	[01* ttừ]\n- (Mỹ),(tục) học đòi làm sang\n- ngông nghênh, ngạo mạn; tự cao tự đại
stud [01/stʌd/]	[01* dtừ]\n- lứa ngựa nuôi\n- trại nuôi ngựa giống\n- ngựa giống\n[04! at (in) stud]\n- có thể nuôi để lấy giống (súc vật)\n[01* dtừ]\n- đinh đầu lớn (đóng lồi ra để trang trí)\n- núm cửa, quả đấm cửa (làm theo kiểu trang trí)\n- Rivê, đinh tán\n- khuy rời (luồn qua lỗ khuyết ở ngực và cổ áo sơ mi)\n- cột (để đóng ván làm vách)\n[01* ngđtừ]\n- đóng đinh đầu lớn\n- làm núm cửa (để trang hoàng)\n[01* động tính từ quá khứ]\n- rải khắp\n[02= sea studded with islands] biển rải rác đầy đảo\n[02= sky studded with stars] bầu trời lốm đốm đầy sao\n- dựng cột (cho một toà nhà để đóng ván làm vách) 
stud and mud [01/'stʌdənd'mʌd/]	[01* dtừ]\n- (như) [03wattle_and_daub] 
stud farm [01/'stʌd'fɑ:m/]	[01* dtừ]\n- trại nuôi ngựa
stud-book [01/'stʌd'buk/]	[01* dtừ]\n- sổ ghi lý lịch ngựa
studding [01/'stʌdiη/]	[01* dtừ]\n- khung gỗ (của vách nhà) 
studding-sail [01/'stʌdiηseil/]	như [03stunsail]
student [01/'stju:dnt/]	[01* dtừ]\n- học sinh đại học, sinh viên\n- người nghiên cứu (một vấn đề gì)\n- người chăm chỉ\n[02= a hard student] người chăm học; người chăm làm\n- người được học bổng; nghiên cứu sinh được học bổng (ở một số trường đại học) 
student body [01/'stju:dənt'bɔdi/]	[01* dtừ]\n- tập thể sinh viên
student government [01/'stju:dənt'gʌvənmənt/]	[01* dtừ]\n- chế độ sinh viên tự quản lý
student grant [01/'stju:dənt'gra:nt/]	[01* dtừ]\n- học bổng sinh viên
student interpreter [01/'stju:dnt in'tə:pritə/]	[01* dtừ]\n- nhân viên tập sự ngạch lãnh sự (của Anh ở các nước Cận đông) 
student lamp [01/'stju:dnt'læmp/]	[01* dtừ]\n- đèn đọc sách
student teacher [01/'stju:dənt'ti:t∫ə/]	[01* dtừ]\n- giáo sinh
student teaching [01/'stju:dənt'ti:t∫iη/]	[01* dtừ]\n- sự thực tập làm giáo sinh
student union [01/'stju:dənt'ju:niən/]	[01* dtừ]\n- liên đoàn sinh viên
student village [01/'stju:dənt'vilidʒ/]	[01* dtừ]\n- làng sinh viên
studentship [01/'stju:dəntʃip/]	[01* dtừ]\n- học bổng
stud-hole [01/'stʌdhɔ:s/]	[01* dtừ]\n- lỗ khuy; lỗ khuyết
stud-horse [01/'stʌd'hɔ:s/]	[01* dtừ]\n- ngựa giống
studied [01/'stʌdid/]	[01* ttừ]\n- cẩn trọng, có suy nghĩ\n[02= with studied politeness] với sự lễ phép cẩn trọng\n- cố tình, cố ý, có chủ tâm\n[02= a studied insult] lời lăng mạ cố tình
studiedly [01/'stʌdidli/]	[01* phtừ]\n- xem [03studied] 
studiedness [01/'stʌdidnis/]	[01* dtừ]\n- sự cố tình; chủ tâm\n- sự nghiên cứu cẩn thận; tính toán chu đáo
studio [01/'stju:diou/]	[01* dtừ] s/n [03studios]\n- xưởng vẽ, xưởng điêu khắc...\n- (số nhiều) xưởng phim\n- (rađiô) Xtuđiô
studio apartment [01/'stju:diou ə'pɑ:tmənt/]	như [03studio flat]
studio couch [01/'stju:diou'kaut∫/]	[01* dtừ]\n- ghế giường (ghế đi văng có thể mở rộng thành giường) 
studio flat [01/'stju:diou'flæt/]	[01* dtừ]\n- căn hộ nhỏ (thường có một phòng chính để sinh hoạt và ngủ, một cái bếp nhỏ và một phòng tắm) 
studious [01/'stju:diəs/]	[01* ttừ]\n- chăm học, siêng học\n- chăm lo, sốt sắng\n[02= studious to do something] chăm lo làm việc gì\n- cẩn trọng, có suy nghĩ\n- cố tình, cố ý
studiously [01/'stju:diəsli/]	[01* phtừ]\n- chăm chỉ; siêng năng; bỏ rất nhiều thời để học tập\n- cố tình, cố ý; có suy nghĩ; tỏ ra rất thận trọng
studiousness [01/'stju:diəsnis/]	[01* dtừ]\n- tính chuyên cần, tính siêng năng\n- tính sốt sắng
stud-work [01/'stʌd,wə:k/]	[01* dtừ]\n- (kiến trúc) nhà bằng gỗ đóng đinh
study [01/'stʌdi/]	[01* dtừ]\n- sự học tập; sự nghiên cứu\n[02= to give one's hours to study] để hết thì giờ vào học tập\n[02= to make a study of something] nghiên cứu một vấn đề gì\n- đối tượng nghiên cứu\n- sự chăm chú, sự chú ý\n[02= it shall be my study to write correctly] tôi sẽ chú ý để viết cho đúng\n- sự suy nghĩ lung, sự trầm tư mặc tưởng ((thường) brown study)\n[02= to be lost in a brown study] đang suy nghĩ lung, đang trầm tư mặc tưởng\n- phòng làm việc, phòng học (học sinh đại học) ; văn phòng (luật sư)\n- (nghệ thuật) hình nghiên cứu\n- (âm nhạc) bài tập\n- (sân khấu) người học vở\n[02= a slow study] người học vở lâu thuộc\n[01* ngđtừ]\n- học; nghiên cứu\n[02= to study one' spart] học vai của mình\n[02= to study books] nghiên cứu sách vở\n- chăm lo, chăm chú\n[02= to study common interests] chăm lo đến quyền lợi chung\n[01* nđtừ]\n- cố gắng, tìm cách (làm cái gì)\n[02= to study to avoid disagreeable topics] cố gắng tìm cách tránh những đề tài không hay\n- (cổ) suy nghĩ\n[04! to study out]\n- suy nghĩ tự tìm ra (vấn đề gì)\n[04! to study up]\n- học để đi thi (môn gì)\n[04! to study for the bar]\n- học luật
stuff [01/'stʌf,ɔ:/]	[01* dtừ]\n- chất, chất liệu; thứ, món\n[02= the stuff that heroes are made of] cái chất tạo nên những người anh hùng\n[02= he has good stuff in him] anh ta có một bản chất tốt\n[02= household stuff] (cổ) đồ đạc trong nhà\n[02= doctor's stuff] thuốc men\n- (the stuff)(tục) tiền nong; gỗ lạt; đạn\n[02= to be short of the stuff] thiếu tiền\n- vải len\n- rác rưởi, chuyện vớ vẩn\n[02= what stuff he writes!] chuyện nó viết mới vớ vẩn làm sao!\n- (lóng) ngón, nghề, môn, cách làm ăn\n[02= do your stuff] nào dở ngón ra nào; cứ tiếp tục làm đi\n[02= to know one's stuff] nắm được nghề nghiệp (môn...) của mình\n[02= the stuff to give'em] cách làm ăn để dạy cho bọn nó\n[01* ngđtừ]\n- bịt\n[02= to stuff one's ears with wool] bịt tai bằng bông len\n- nhồi, nhét, lèn\n[02= to stuff a fowl] nhồi (thịt, nấm hương, đậu... vào một con gà\n[02= to stuff goose] nhồi cho ngỗng ăn\n[02= a head stuffed with romance] một đầu óc đầy lãng mạn\n[02= cushion stuffed with down] gối nhồi lông tơ chim\n[02= stuffed birds] chim nhồi rơm\n[02= to stuff clothing into a small bag] nhét quần áo vào một cái túi nhỏ\n[01* nđtừ]\n- đánh lừa bịp\n- ăn ngấu nghiến, ngốn, tọng
stuff ore [01/'stʌf,ɔ:/]	[01* dtừ]\n- quặng sạch; quặng thương phẩm
stuffed shirt [01/'stʌft'∫ə:t/]	[01* dtừ]\n- (Mỹ),(lóng) nhãi nhép, huênh hoang
stuffer [01/'stʌfə/]	[01* dtừ]\n- người nhồi (gối, nệm, ghế...)\n- người nhồi rơm (vào súc vật, để làm vật trang trí) 
stuffily [01/'stʌfili/]	[01* phtừ]\n- ngột ngạt, không thoáng khí, không có nhiều không khí trong lành\n- (tục) nghẹt; ngạt mũi; bị tắc nên khó thở (mũi)\n- có mùi mốc\n- hay giận, hay dỗi\n- (Mỹ)(tục) bảo thủ; cổ lỗ sự; cổ hủ, hẹp hòi\n- câu nệ, buồn tẻ; ra vẻ đứng đắn, nghiêm nghị; điềm đạm (người, vật) 
stuffiness [01/'stʌfinis/]	[01* dtừ]\n- sự thiếu không khí, sự ngột ngạt\n- sự nghẹt mũi, sự tắc mũi\n- sự có mùi mốc\n- tính hay giận, tính hay dỗi\n- tính hẹp hòi\n- (Mỹ),(tục) sự buồn tẻ, sự chán ngắt\n- (Mỹ),(tục) tính bảo thủ; tính cổ lỗ sĩ
stuffing [01/'stʌfiη/]	[01* dtừ]\n- sự nhồi\n- chất (để) nhồi
stuffing box [01/'stʌfiη,bɔks/]	[01* dtừ]\n- máy ép chất dính quanh pittông để nó khỏi thấm dầu, nước
stuffy [01/'stʌfi/]	[01* ttừ]\n- thiếu không khí, ngột ngạt\n- nghẹt (mũi), tắc (mũi)\n- có mùi mốc\n[02= room that smells stuffy] phòng có mùi mốc\n- hay giận, hay dỗi\n- hẹp hòi\n- (Mỹ),(tục) buồn tẻ, chán ngắt\n- (Mỹ),(tục) bảo thủ; cổ lỗ sĩ
stull [01/stʌl/]	[01* dtừ]\n- (mỏ) trụ chống đỡ ở gương lò
stultification [01/,stʌltifi'kei∫n/]	[01* dtừ]\n- sự làm mất tác dụng (một điều luật)\n- sự làm (ai) trở nên lố bịch, sự làm (ai) tự mâu thuẫn với mình
stultify [01/'stʌltifai/]	[01* ngđtừ]\n- làm mất hiệu lực, làm mất tác dụng (một điều luật)\n- làm (ai) trở nên lố bịch, làm (ai) tự mâu thuẫn với mình
stultiloquence [01/stʌl'tiləkwəns/]	[01* dtừ]\n- sự nói bừa bãi
stultiloquent [01/stul'tiləkwənt/]	[01* ttừ]\n- ăn nói bừa bãi
stultiloquy [01/stʌl'tiləkwi/]	[01* dtừ]\n- xem [03stultiloquence] 
stum [01/stʌm/]	[01* dtừ]\n- nước nho chưa lên men\n[01* ngđtừ]\n- giữ không cho (nước quả) lên men; giữ không cho (rượu) tiếp tục lên men (khi đã đóng vào thùng) 
stumble [01/'stʌmbl/]	[01* dtừ]\n- sự vấp, sự sẩy chân, sự trượt chân\n- sự nói vấp\n- (Mỹ) sự lầm lỡ, sự sai lầm\n[01* nđtừ]\n- vấp, sẩy chân, trượt chân\n[02= to stumble along] đi lúc lúc lại vấp\n- nói vấp váp, nói lỡ\n[02= to stumble in a speech] đọc vấp váp một bài diễn văn\n- ngần ngại, lưỡng lực (trước một việc gì)\n- tình cờ gặp\n[02= to stumble upon somebody] tình cờ gặp ai\n- (Mỹ) lầm lỡ, sai lầm\n[01* ngđtừ]\n- làm cho vấp, làm cho sấy chân, làm cho trượt chân
stumbler [01/'stʌmblə/]	[01* dtừ]\n- người vấp ngã\n- người phạm lỗi lầm
stumbling-block [01/'stʌmbliη'blɔk/]	[01* dtừ]\n- vật chướng ngại\n- hoàn cảnh gây khó khăn, hoàn cảnh làm cho lưỡng lự
stumblingly [01/'stʌmbliηli/]	[01* phtừ]\n- vấp váp
stumer [01/'stju:mə/]	[01* dtừ]\n- (lóng) tấm séc vô gái trị\n- tiền giả
stump [01/stʌmp/]	[01* dtừ]\n- gốc cây (còn lại sau khi đốn)\n- chân răng\n- mẩu chân cụt, mẩu tay cụt\n- mẩu (bút chì, thuốc lá)\n- gốc rạ\n- bàn chải cũ\n- (số nhiều)(đùa) chân, cẳng\n[02= stir your stumps!] quàng lên!, mau lên!\n- (thể thao) cọc gôn (crickê)\n- bút đánh bóng (vẽ)\n- (Mỹ) người lùn mập; con vật lùn mập\n- bước đi lộp cộp nặng nề; tiếng bước đi lộp cộp nặng nề\n- (Mỹ),(tục) lời thách thức, sự thách thức\n[04! to be on the stump]\n- (tục) đang đi diễn thuyết (về chính trị) ; đang đi cổ động (trước đây thường hay đứng trên một gốc cây)\n[04! up a stump]\n- (tục) không thể nghĩ ra được, không thể trả lời được, bí; bối rối, trong tình trạng khó xử; trong tình trạng tiến lui đều khó\n[01* nđtừ]\n- đi cà nhắc và lộp cộp, đi lộp cộp nặng nề (như đi chân gỗ)\n- đi diễn thuyết khắp nơi (về chính trị, để tranh cử...)\n[01* ngđtừ]\n- đốn (cây) còn để gốc\n- đào hết gốc (ở khu đất)\n- quay, truy (một thí sinh)\n- làm cho (ai) bí\n[02= I am stumped for an answer] tôi không biết trả lời thế nào\n- đánh bóng (một bức tranh)\n- đi khắp (vùng) để diễn thuyết (vận động chính trị, tranh cử...)\n- (Mỹ),(tục) vấp (ngón chân...)\n- (Mỹ),(tục) thách, thách thức\n[04! to stump up]\n- (lóng) xuỳ tiền ra
stump orator [01/'stʌmp'ɔrətə/]	[01* dtừ]\n- người diễn thuyết (về chính trị) ở nơi công cộng, người cổ động
stump oratory [01/'stʌmp'ɔrətəri/]	[01* dtừ]\n- thuật nói chuyện (về chính trị) ở nơi công cộng; thuật cổ động
stumpage [01/'stʌmpidʒ/]	[01* dtừ]\n- sự tính tuổi cây theo mặt ngang của cây
stumper [01/'stʌmpə/]	[01* dtừ]\n- câu hỏi hắc búa, câu hỏi làm cho bí\n- (lóng) người giữ gôn (crikê) 
stumpiness [01/'stʌmpinis/]	[01* dtừ]\n- tầm vóc lùn mập, tầm vóc bè bè
stump-orator [01/'stʌmp,ɔrətə/]	[01* dtừ]\n- người di diễn thuyết để tranh cử
stump-speech [01/'stʌmp,spi:t∫/]	[01* dtừ]\n- diễn văn để tranh cử
stumpy [01/'stʌmpi/]	[01* ttừ]\n- lùn mập, bè bè
stun [01/stʌn/]	[01* ngđtừ]\n- làm choáng váng, làm bất tỉnh nhân sự\n- làm sửng sốt, làm kinh ngạc\n- làm điếc tai\n[01* dtừ]\n- (Mỹ) sự choáng váng; tình trạng bất tỉnh nhân sự\n- đòn choáng váng, cú làm bất tỉnh nhân sự
stung	[01* dtừ]\n- ngòi, vòi (ong, muỗi) ; răng độc (rắn)\n- (thực vật) lông ngứa\n- nốt đốt (ong, rắn) ; nọc (đen & bóng)\n- sự sâu sắc, sự sắc sảo; sự chua chát (câu nói)\n- sự đau nhói, sự đau quặn; sự day dứt\n[02= the sting of hunger] sự đau quặn của cơn đói\n[02= the stings of remorse] sự day dứt của hối hận\n[01* ngđtừ stung]\n- châm, chích, đốt\n- làm đau nhói; làm cay\n[02= pepper stings one's tongue] hạt tiêu làm cay lưỡi\n[02= smoke stings the eyes] khói làm cay mắt\n- cắn rứt, day dứt\n[02= his conscience stung him] lương tâm day dứt ai ta\n- (lóng)((thường) dạng bị động) bán đắt cho ai, bóp ai; lừa bịp\n[02= he got stung on that deal] hắn bị bịp trong việc mua bán đó\n[01* nđtừ]\n- đau nhói, đau nhức (một bộ phận cơ thể)\n[02= tooth stings] răng đau nhức\n- đốt, châm\n[02= some bees do not sting] có những thứ ong không tốt\n[04! nothing stings like the truth]\n- nói thật mất lòng
stunk	như [03stink]
stunner [01/'stʌnə/]	[01* dtừ]\n- (lóng) người cừ khôi, người rất thú vị\n- chuyện hay, chuyện lý thú
stunning [01/'stʌniη/]	[01* ttừ]\n- làm choáng váng, làm bất tỉnh nhân sự\n[02= a stunning blow] một đòn choáng váng\n- (lóng) tuyệt, hay, cừ khôi
stunningly [01/'stʌniηli/]	[01* phtừ]\n- xem [03stunning] 
stun-sail [01/'stʌn'seil/]	như [03stunsail]
stunsail [01/'stʌnsl/]	[01* dtừ]\n- (hàng hải) buồm phụ
stuns'l [01/'stʌnsl/]	như [03stunsail]
stunt [01/stʌnt/]	[01* dtừ]\n- (Mỹ) sự làm cằn cỗi, sự làm còi cọc\n- người còi cọc, con vật còi cọc\n[01* ngđtừ]\n- chặn lại không cho phát triển, làm cằn cỗi, làm còi cọc\n[01* dtừ]\n- (tục) sự cố gắng kỳ công, sự cố gắng tập trung\n- cuộc biểu diễn phô trương\n- trò quảng cáo\n[02= stunt article] vật loè loẹt để quảng cáo\n[01* nđtừ]\n- (tục) biểu diễn nhào lộn\n[01* ngđtừ]\n- biểu diễn nhào lộn bằng (máy bay...) 
stunt man [01/'stʌnt'mæn/]	[01* dtừ]\n- (điện ảnh) người đóng thế (cho vai chính) những cảnh nguy hiểm
stunted [01/'stʌntid/]	[01* ttừ]\n- bị ức chế sinh trưởng; kìm hãm; còi cọc
stuntedness [01/'stʌntidnis/]	[01* dtừ]\n- sự bị ức chế sinh trưởng; kìm hãm; còi cọc
stuntman [01/'stʌnt'mæn/]	như [03stuntwoman]
stuntwoman	[01* dtừ]\n- (điện ảnh) người đóng thay diễn viên trong một bộ phim... trong những cảnh nguy hiểm; cátcađơ
stupa [01/'stju:pə/]	[01* dtừ]\n- tháp chứa hài cốt vị sư
stupe [01/stju:p/]	[01* dtừ]\n- (lóng) người điên, người khù khờ\n- (y) thuốc đắp (vào vết thương)\n[01* ngđtừ]\n- đắp thuốc đắp (vào vết thương) 
stupefacient [01/,stju:pi'fei∫ənt/]	[01* ttừ]\n- làm u mê\n- làm tê mê\n[01* dtừ]\n- (y) chất làm tê mê
stupefaction [01/,stju:pi'fæk∫n/]	[01* dtừ]\n- tình trạng u mê\n- trạng thái sững sờ, trạng thái đờ người ra; trạng thái hết sức kinh ngạc
stupefactive [01/'stju:pifæktiv/]	[01* ttừ]\n- làm u mê, làm đần độn
stupefier [01/'stju:pifaiə/]	[01* dtừ]\n- thuốc mê; điều làm cho u mê đần độn; người làm cho u mê đần độn
stupefy [01/'stju:pifai/]	[01* ngđtừ]\n- làm cho u mê đần độn\n[02= stupefied with drink] bị rượu làm cho u mê đần độn\n- làm sững sờ, làm đờ người ra; làm cho hết sức kinh ngạc
stupendous [01/stju:'pendəs/]	[01* ttừ]\n- lạ lùng, kỳ diệu; vô cùng to lớn\n[02= stupendous achievement] thành tích kỳ diệu
stupendously [01/stju:pendəsli/]	[01* phtừ]\n- lạ lùng, kỳ diệu\n- rất to lớn, rất quan trọng; vô cùng to lớn
stupendousness [01/stju:'pendəsnis/]	[01* dtừ]\n- tính lạ lùng, tính kỳ diệu
stupeous [01/'stju:piəs/]	[01* ttừ]\n- có dạng bện thừng; có túm sợi bện; sợi lông bện (sâu bọ) 
stupid [01/'stju:pid/]	[01* ttừ]\n- ngu dại, ngu đần, đần độn, ngớ ngẩn\n[02= a stupid idea] một ý kiến ngớ ngẩn\n- ngẩn người ra, ngây ra, mụ đi\n- chán, buồn\n[02= a stupid place] nơi buồn tẻ\n[04! as stupid as a donkey (a goose, an owl)]\n- ngu như lừa\n[01* dtừ]\n- (tục) người ngu dại, người ngu đần, người ngớ ngẩn
stupidity [01/stju:'pidəti/]	[01* dtừ]\n- sự ngu dại, sự ngu đần, sự đần độn, sự ngớ ngẩn\n- trạng thái ngẩn người, trạng thái ngây ra, trạng thái mụ đi
stupidly [01/'stə:dili/]	[01* phtừ]\n- xem [03stupid] 
stupidness [01/'stə:dinis/]	[01* dtừ]\n- trạng thái ngu ngốc; dại dột; đần độn\n- trạng thái đờ đẫn; tê mê
stupor [01/'stju:pə/]	[01* dtừ]\n- trạng thái sững sờ
stuporous [01/'stju:pərəs/]	[01* ttừ]\n- sững sờ
stupose [01/'stju:pous/]	[01* ttừ]\n- xem [03stupeous] 
sturdied [01/'stə:did/]	[01* ttừ]\n- mắc bệnh chóng mặt (cừu)(do sán vào óc) 
sturdily [01/'stə:dili/]	[01* phtừ]\n- cứng cáp; vững chắc\n- cường tráng; khoẻ mạnh; sung sức\n- kiên quyết; quyết tâm; vững vàng
sturdiness [01/'stə:dinis/]	[01* dtừ]\n- sự khoẻ mạnh, sự cứng cáp, sự cường tráng\n- sự mãnh liệt, sự mạnh mẽ, sự kiên quyết (của sự chống cự...) 
sturdy [01/'stə:di/]	[01* ttừ]\n- khoẻ mạnh, cứng cáp, cường tráng\n[02= sturdy child] đứa bé cứng cáp\n- mãnh liệt, mạnh mẽ, kiên quyết\n[02= sturdy resistance] sự chống cự mãnh liệt\n[02= a sturdy policy] chính sách kiên quyết\n[01* dtừ]\n- bệnh chóng mặt (của cừu)(do sán vào óc) 
sturgeon [01/'stə:dʒən/]	[01* dtừ]\n- (động vật) cá tầm
sturm and drang [01/,stə:mənt'dræη/]	[01* dtừ]\n- bão táp và tấn công (cuộc vận động (văn học)(thế kỷ) 18 ở Đức) 
