verisimilitude	508-15401-B
vertiginate	509-2836-B
vertigines	509-2940-B
vertiginous	509-3007-B
vertiginously	509-3261-B
vertiginousness	509-3300-B
vertigo	509-3339-B
vertijet	509-3418-B
vertiplane	509-3517-B
vertu	509-3627-B
vervain	509-3664-B
verve	509-3705-B
very	509-3905-B
very good	509-4842-B
very high frequency	509-4903-B
very light	509-5048-B
vesa	509-5236-B
vesania	509-5306-B
vesica	509-5401-B
vesicae	509-5543-B
vesical	509-5586-B
vesicant	509-5690-B
vesicate	509-5793-B
vesication	509-5885-B
vesicatory	509-5953-B
vesicle	509-6069-B
vesicular	509-6211-B
vesicularly	509-6465-B
vesiculate	509-6498-B
vesiculation	509-6592-B
vesper	509-6788-B
vesper bell	509-6999-B
vespertine	509-7059-B
vespiary	509-7237-B
vespiform	509-7298-B
vespine	509-7345-B
vessel	509-7408-B,52-14385-S,408-25940-S,442-1745-S,461-21251-S
vest	509-7603-B,447-19314-S
vest pocket	509-10163-B
vesta	509-8065-B
vestal	509-8167-B
vested	509-8380-B
vestee	509-8608-B
vestiarian	509-8655-B
vestiary	509-8727-B
vestibular	509-8855-B
vestibule	509-8932-B
vestige	509-9247-B
vestigial	509-9661-B
vestigially	509-9809-B
vestimentary	509-9842-B
vestiture	509-9913-B
vestment	509-10029-B
vestmental	509-10132-B
vestry	509-10298-B
vesture	509-10592-B
vet	509-10751-B
vetch	509-11076-B
veteran	509-11138-B
veteran car	509-11582-B
veterinarian	509-11698-B
veterinary	509-11773-B
veterinary surgeon	509-11887-B
veto	509-11989-B,349-22512-S,349-23820-S
vetoer	509-12383-B
vex	509-12406-B
vexation	509-12639-B
vexatious	509-12882-B
vexatiously	509-13202-B
vexatiousness	509-13235-B
vexatory	509-13346-B
vexed	509-13420-B
vexedly	509-13590-B
vexer	509-13616-B
vexil	509-13736-B
vexilla	509-13862-B
vexillum	509-13904-B
vexingly	509-14041-B
vg	509-14065-B
vga	509-14192-B
vhf	509-14413-B
via	509-14494-B
viability	509-14614-B
viable	509-14870-B
viably	509-15126-B
viaduct	509-15151-B,184-13014-S
vial	509-15219-B
viameter	509-15377-B
viand	509-15508-B
viands	509-15614-B
viatic	509-15760-B
viatica	509-15803-B
viatical	509-15849-B
viaticals	509-15941-B
viaticum	509-16033-B
viator	509-16251-B
viatores	509-16306-B
vibes	509-16368-B
vibrance	509-16453-B
vibrancy	509-16481-B
vibrant	509-16579-B
vibrantly	509-16915-B
vibraphone	509-16943-B
vibraphonist	509-17163-B
vibrate	509-17198-B
vibratile	509-17510-B
vibratility	509-17677-B
vibration	509-17751-B,458-18289-S
vibrational	509-18124-B
vibrative	509-18216-B
vibrato	509-18272-B
vibrator	509-18497-B
vibratory	509-18620-B
vibrio	509-18692-B
vibrioid	509-18776-B
vibrissa	509-18803-B
vibrissae	509-18910-B
vibrograph	509-19039-B
vibrometer	509-19109-B
vibroscope	509-19179-B
viburnum	509-19280-B
vic	509-19376-B
vicar	509-19453-B
vicar of christ	509-19648-B
vicarage	509-19776-B
vicaress	509-19881-B
vicarial	509-20005-B
vicarian	509-20079-B
vicariate	509-20148-B
vicarious	509-20217-B
vicariously	509-20597-B
vicariousness	509-20630-B
vicarship	509-20665-B
vicceroyal	509-20692-B
vice	509-20752-B,139-32944-S,208-22796-S
vice admiral	509-21558-B
vice admiralty	509-21626-B
vice agent	509-21734-B
vice chairman	509-21842-B
vice chancellor	509-21913-B
vice chief	509-22028-B
vice consul	509-22123-B
vice consular	509-22187-B
vice consulate	509-22263-B
vice dean	509-22342-B
vice governor	509-22672-B
vice king	509-22743-B
vice marshal	12-2257-S
vice minister	509-22789-B
vice presidency	509-23023-B
vice president	509-23202-B
vice presidential	509-23254-B
vice principal	509-23373-B
vice queen	509-23449-B
vice regent	509-23647-B
vice treasurer	509-24000-B
vice versa	509-21372-B
vicegeral	509-22386-B
vicegerency	509-22489-B
vicegerent	509-22568-B
vicenary	509-22855-B
vicennial	509-22927-B
viceregal	509-23499-B
viceregally	509-23614-B
vicereine	509-23723-B
viceroy	509-23807-B
viceroyalty	509-23888-B
vichyssolse	509-24102-B
vicinage	509-24181-B
vicinal	509-24356-B
vicinity	509-24441-B
vicious	509-24658-B
viciously	509-25091-B
viciousness	509-25386-B
vicissitude	509-25542-B
vicissitudinous	509-25840-B
vicisstudinary	509-25919-B
vicontiel	509-26027-B
victim	509-26122-B
victimhood	510-0-B
victimisation	510-29-B
victimise	510-433-B
victimizable	510-479-B
victimization	510-553-B
victimize	510-688-B
victimizer	510-815-B
victor	510-847-B
victoria	510-1012-B
victoria cross	510-1183-B,510-1439-B
victoria lily	510-1357-B
victorian	510-1585-B
victorious	510-2015-B
victoriously	510-2264-B
victoriousness	510-2341-B
victory	510-2378-B,295-16171-S,372-7389-S
victress	510-2711-B
victrices	510-2785-B
victrix	510-2846-B
victual	510-2903-B
victualler	510-3201-B,269-125-S
victualling	510-3434-B
victualling bill	510-3666-B
victualling house	510-3805-B
victualling office	510-3884-B
victualling yard	510-4002-B
vicuna	510-4086-B
vide	510-4290-B
videlicet	510-4417-B
video	510-4629-B,90-20520-S,128-15287-S
video cassette record	510-4761-B
video cassette recorder	510-4828-B
video disk	128-15335-S
video game	510-4943-B
video nasty	510-5008-B
video recorder	510-5137-B
video recording system	150-3354-S
video unit	124-5099-S
videodisc	510-5212-B
videodisk	510-5271-B
videologist	510-5309-B
videotape	510-5397-B
videotex	510-5500-B
videotext	510-5665-B
vidette	510-5694-B
vidfilm	510-5734-B
vidimus	510-5775-B
vidipic	510-5863-B
viduity	510-5917-B
vie	510-5976-B,144-17505-S
vierge	121-6501-S
vietminh	510-6100-B
vietnam	510-6583-B
vietnam war	510-6659-B
vietnamese	510-6758-B
view	510-6879-B,49-9704-S,191-23204-S,274-1092-S,419-25330-S,523-458-S
view finder	510-8725-B
view mirror	379-29316-S
view point	510-9165-B
viewable	510-8538-B
viewer	510-8601-B
viewing	510-8801-B
viewing device	510-8887-B
viewless	510-8963-B
viewlessly	510-9097-B
viewpoint	510-9269-B
viewy	510-9388-B
vigesimal	510-9506-B
vigesimo quato	510-9636-B
vigia	510-9722-B
vigil	510-9810-B
vigilance	510-10082-B
vigilance committee	510-10366-B
vigilant	510-10438-B
vigilante	510-10523-B
vigilante gang	510-10640-B
vigilantism	510-10776-B
vigilantly	510-10809-B
vigneron	510-10840-B
vignette	510-10936-B
vignetter	510-11274-B
vignettist	510-11349-B
vigor	510-11481-B
vigoroso	510-11540-B
vigorous	510-11610-B
vigorously	510-11962-B
vigorousness	510-12172-B
vigour	510-12324-B,228-3864-S
viking	510-12771-B
vild	510-12872-B
vile	510-12905-B
vilely	510-13226-B
vileness	510-13460-B
vilification	510-13605-B
vilifier	510-13705-B
vilify	510-13808-B
vilipend	510-13879-B
vility	510-13944-B
vill	510-14014-B
villa	510-14062-B
villadom	510-14138-B
village	510-14259-B,172-8832-S,202-6755-S,448-9854-S
villager	510-14308-B
villagery	510-14378-B
villain	510-14428-B
villainess	510-14624-B
villainous	510-14698-B
villainously	510-14981-B
villainousness	510-15055-B
villainy	510-15125-B
villakin	510-15300-B
villan	510-15372-B
villanage	510-15412-B
villatic	510-15474-B
villeggiatura	510-15556-B
villein	510-15637-B
villein socage	510-15811-B
villeinage	510-15697-B
villi	510-15944-B
villose	510-15979-B
villosity	510-16018-B
villous	510-16174-B
villously	510-16268-B
villus	510-16297-B
vim	510-16410-B
vimen	510-16513-B
viminal	510-16590-B
vimineous	510-16701-B
vin ordinaire	510-16776-B
vina	510-16918-B
vinaceous	510-16990-B
vinaigrette	510-17109-B
vinaigrette sauce	510-17240-B
vinculum	510-17338-B
vindicability	510-17382-B
vindicable	510-17506-B
vindicate	510-17594-B
vindication	510-17869-B
vindicative	510-18001-B
vindicator	510-18144-B
vindicatory	510-18233-B
vindictive	510-18354-B
vindictively	510-18588-B
vindictiveness	510-18623-B
vine	510-18725-B,40-23182-S,206-14881-S,253-18092-S,331-1084-S
vine disease	510-18860-B
vine fretter	510-18977-B
vine grower	510-19689-B
vine leaf	510-19742-B
vine louse	510-19791-B
vine pest	510-19848-B
vine prop	510-19909-B
vineal	510-18802-B
vinedresser	510-18924-B
vinegar	510-19031-B,296-10250-S
vinegar cruet	510-19301-B
vinegar faced	510-19421-B
vinegarette	510-19367-B
vinegarish	510-19492-B
vinegary	510-19591-B
vinegrower	510-19637-B
viner	510-19970-B
vinery	510-20019-B
vineyard	510-20063-B
vineyardlist	510-20127-B
ving et un	510-20180-B
vingtetun	510-20329-B
vinic	510-20498-B
vinicultural	510-20584-B
viniculture	510-20646-B
viniculturist	510-20732-B
viniferous	510-20769-B
vining plant	510-20845-B
vino	510-20918-B
vinolence	510-20981-B
vinolency	510-21073-B
vinolent	510-21140-B
vinose	510-21217-B
vinous	510-21270-B
vinousity	510-21474-B
vinously	510-21596-B
vint	510-21623-B
vintage	510-21685-B
vintager	510-22107-B
vintaging	510-22158-B
vintner	510-22231-B
vintnery	510-22297-B
vintry	510-22364-B
viny	510-22426-B
vinyl	510-22529-B
vinylic	510-22681-B
viol	510-22706-B,43-2248-S,43-3467-S
viola	510-22765-B
violability	510-22858-B
violable	510-22890-B
violableness	510-22975-B
violably	510-23042-B
violaceous	510-23110-B
violate	510-23200-B
violation	510-23648-B
violative	510-23849-B
violator	510-23952-B
viole	510-24141-B
violence	510-24191-B,305-14998-S,411-2518-S
violent	511-0-B,305-15240-S
violently	511-634-B
violet	511-714-B,199-2261-S,419-328-S,483-14014-S
violet coloured	511-816-B
violin	511-890-B
violin maker	511-1112-B
violinist	511-1013-B
violinistic	511-1082-B
violist	511-1184-B
violoncellist	511-1294-B
violoncello	511-1385-B
