adjutant general	8-3382-B
affirmative response	10-3381-B
affirmatively	10-3439-B
affirmer	10-3522-B
affix	10-3551-B
affixable	10-3914-B
affixer	10-3941-B
affixture	10-3966-B
afflatus	10-4070-B
afflict	10-4139-B
afflicter	10-4298-B
affliction	10-4330-B
afflictive	10-4485-B
afflictively	10-4635-B
affluence	10-4667-B
affluent	10-4869-B
affluently	10-4984-B
afflux	10-5015-B
afforce	10-5178-B
afford	10-5243-B
afforest	10-5680-B
afforestation	10-5822-B
afforestment	10-5988-B
affranchise	10-6046-B
affranchisement	10-6112-B
affray	10-6189-B
affreightment	10-6305-B
affricate	10-6463-B
affright	10-6527-B
affrightment	10-6758-B
affront	10-6791-B
affrontive	10-7261-B
affuse	10-7334-B
affusion	10-7430-B
afghan	10-7635-B
afghan hound	10-7779-B
aficionado	10-7844-B
afield	10-7918-B
afire	10-8239-B
afl cio	10-8880-B
aflagellar	10-8473-B
aflame	10-8537-B
aflat	10-8793-B
aflatoxin	10-8843-B
afloat	10-9087-B
aflutter	10-9745-B
afocal resonator	10-9850-B
afoot	10-9918-B
afore	10-10155-B
aforecited	10-10347-B
aforegoing	10-10404-B
aforehand	10-10474-B
aforementioned	10-10533-B
aforenamed	10-10649-B
aforesaid	10-10740-B
aforethought	10-10836-B,280-16605-S
aforetime	10-10938-B
afoul	10-11039-B
afraid	10-11160-B
afreet	10-11569-B
afresh	10-11607-B
african	10-11718-B,432-2408-S
africana	10-11811-B
africaness	10-11907-B
afrikaans	10-11972-B
afrikaner	10-12062-B
afrikanist	10-12164-B
afrit	10-12249-B
afrite	10-12286-B
afro	10-12366-B
afro american	10-12462-B
aft	10-12662-B,186-9787-S
after	10-12829-B,203-11678-S,295-22597-S,396-31763-S,431-17249-S,460-33737-S
after care	10-15156-B
after effect	10-15590-B
after fermentation	10-15699-B
after grass	10-16072-B
after growing	10-16153-B
after hours	10-16291-B
after life	10-16490-B
after pains	10-17291-B
after pill	295-22012-S,295-23307-S
after ripeing	10-17569-B
after sales	10-17824-B
after sensation	10-17972-B
after shaft	10-18065-B
after shave	10-14588-B
afteraction	10-14672-B
afterbirth	10-14745-B
afterbrain	10-14816-B
afterbreast	10-14870-B
afterburner	10-14927-B
aftercare	10-15044-B
afterclap	10-15258-B
aftercrop	10-15322-B
afterdamp	10-15397-B
aftereffect	10-15527-B
aftergame	10-15804-B
afterglow	10-15868-B
afterglow screen	10-15983-B
afterglow tube	10-16031-B
aftergrowth	10-16239-B
afterimage	10-16377-B
afterlife	10-16435-B
