champion	73-23986-B
charging	74-19460-B,3-13755-S,409-14532-S
charging by distance	74-19518-B
charging by time	74-19581-B
charging capacitor	74-19637-B
charging time	74-19689-B
charily	74-19730-B
chariness	74-19755-B
chariot	74-19886-B
charioteer	74-20037-B
charism	74-20147-B
charisma	74-20287-B
charismatic	74-20437-B
charismatically	74-20514-B
charist	74-20600-B
charitable	74-20688-B
charitableness	74-20857-B
charitably	74-21006-B
charity	74-21082-B
charity boy	74-21567-B
charity school	74-21695-B
charivari	74-21801-B
charlady	74-21925-B
charlatan	74-21971-B
charlatanic	74-22134-B
charlatanism	74-22167-B
charlatanry	74-22224-B
charles s wain	74-22304-B
charles spaniel	259-25275-S
charleston	74-22417-B
charlie	74-22488-B
charlock	74-22567-B
charlote	74-22647-B
charm	74-22760-B,103-14237-S
charmer	74-23426-B,413-17568-S,427-707-S
charmeuse	74-23679-B
charming	74-23738-B,361-13885-S,427-781-S
charmingly	74-23918-B
charmless	74-23973-B
charnel house	74-24043-B
charon	74-24137-B
charqui	74-24266-B
charr	74-24329-B
charring	74-24419-B
chart	74-24496-B,28-14013-S,41-18408-S,69-2123-S,183-11066-S,196-2082-S,343-15150-S,346-7716-S,407-1390-S,517-2451-S
chart recording	74-24773-B
charta	278-19671-S
charter	74-24814-B
charter flight	74-25274-B
charter party	74-26155-B
chartered	74-25387-B
charterer	74-25848-B
charterhouse	74-25952-B
chartermember	74-26057-B
chartism	74-26234-B
chartist	74-26339-B
chartreuse	74-26461-B
charwoman	74-26599-B
chary	74-26723-B
charybdis	74-26954-B
chase	74-27012-B,189-1685-S,327-7421-S,443-7778-S,520-11007-S
chase grace	74-27916-B
chase gun	74-27979-B
chaser	74-28093-B,16-13873-S,443-7879-S,450-9435-S,461-20463-S
chasing	74-28477-B
chasm	74-28572-B
chasmal	74-28882-B
chasmogamic	74-28907-B
chasmogamy	74-28981-B
chasmy	74-29067-B
chasse	74-29143-B,74-29228-B
chassepot	74-29401-B
chasseur	74-29472-B
chassis	74-29518-B
chaste	74-29607-B
chastely	74-29778-B
chasten	74-29805-B
chastener	74-29973-B
chasteness	74-30002-B
chastily	74-30031-B
chastisable	74-30103-B
chastise	74-30135-B
chastisement	74-30228-B
chastiser	74-30341-B
chastity	74-30461-B
chasuble	74-30621-B
chat	74-30686-B,39-2319-S,77-3996-S,264-1127-S,330-21482-S
chat show	74-30829-B
chateau	74-30958-B,74-31003-B
chateaubriand	74-31053-B
chateaux	74-31126-B
chatelaine	74-31215-B
chaton	75-0-B
chatoyant	75-53-B
chattel	75-174-B
chatter	75-614-B,77-4558-S
chatter resistant	75-1410-B
chatterbox	75-1156-B
chatterer	75-1316-B
chattily	75-1485-B
chattiness	75-1555-B
chatty	75-1651-B
chauffer	75-1803-B
chauffeur	75-1873-B
chaulmoogra	75-1931-B
chauvinism	75-2110-B,280-14133-S
chauvinist	75-2177-B,280-14305-S
chauvinist pig	280-14561-S
chauvinistic	75-2306-B
chauvinistically	75-2434-B
chaw	75-2535-B
chaw bacon	75-2669-B
chayka	75-2722-B
chayote	75-2776-B
chb	75-2845-B
cheap	75-2953-B,130-13150-S,136-5820-S
cheap jack	75-3914-B
cheap skate	75-4439-B
cheapen	75-3979-B
cheapener	75-4089-B
cheapish	75-4118-B
cheapjack	75-4181-B
cheaply	75-4293-B
cheapness	75-4352-B
cheapskate	75-4504-B
cheat	75-4576-B
cheatable	75-5146-B
cheater	75-5221-B,520-24196-S
cheatingly	75-5327-B
cheattee	75-5355-B
check	75-5400-B,35-18004-S,40-3259-S,53-20851-S,60-23082-S,90-11752-S,107-20036-S,107-23402-S,112-6163-S,138-3918-S,163-15810-S,163-17585-S,363-22042-S,377-4263-S,437-11992-S
check analysis	75-8148-B
check bit	75-7541-B
check box	75-7571-B
check byte	112-5960-S
check character	75-7603-B,52-3383-S
check code	75-7644-B
check digit	75-7675-B
check experiment	75-8739-B
check in	75-8911-B
check inspection	75-7708-B
check list	75-7803-B
check mate	75-7870-B
check nut	75-9647-B
check out	75-9712-B
check point	75-9813-B
check room	75-9960-B
check sequence	189-9313-S
check string	75-10250-B
check stub	75-10327-B
check sum	75-7995-B
check taker	75-10438-B
check up	75-8033-B,75-10503-B
check weigher	75-10646-B
checkable	75-8121-B
checkbook	75-8253-B
checked	75-8303-B,138-3987-S
checker	75-8368-B
checkerboard	75-8539-B
checkered	75-8594-B
checkers	75-8642-B,89-24884-S
checkflight	75-8823-B
checking	75-9015-B
checking account	75-9049-B
checking code	160-13070-S
checking procedure	75-9130-B
checklist	75-9177-B
checkmate	75-9232-B
checkout system	35-18055-S
checkpoint	75-9880-B
checkroom	75-10080-B
checkrow	75-10167-B
checksum	75-10385-B
checquered	75-10745-B
cheddar	75-10920-B
cheecked	26-18068-S
cheek	75-10992-B,471-20201-S
cheek bone	75-12007-B
cheek pouch	75-11926-B
cheek tooth	75-12445-B
cheeked	26-18162-S
cheekily	75-12068-B
cheekiness	75-12139-B
cheeking	75-12328-B
cheeky	75-12503-B
cheep	75-12650-B
cheeper	75-12775-B
cheer	75-12800-B,59-15624-S
cheerer	75-14089-B
cheerful	75-14114-B
cheerfully	75-14442-B
cheerfulness	75-14490-B
cheerily	75-14705-B
cheeriness	75-14773-B
cheering	75-14853-B
cheeringly	75-15028-B
cheerio	75-15056-B
cheerless	75-15248-B
cheerlessly	75-15471-B
cheerlessness	75-15539-B
cheers	75-15724-B
cheery	75-15833-B
cheese	75-15892-B,26-18220-S,52-27420-S,71-3013-S,102-17602-S,106-3146-S,113-21084-S,164-11401-S,207-28069-S,216-27616-S,297-330-S,329-17373-S,398-10086-S,405-9069-S,444-1667-S
cheese antenna	75-16676-B
cheese board	75-16729-B
cheese cake	75-17016-B
cheese cloth	75-17181-B
cheese drainer	75-17330-B
cheese off	75-17531-B
cheese paring	75-17620-B
cheese rennet	75-17894-B
cheeseburger	75-16812-B
cheesecake	75-16899-B
cheesecloth	75-17242-B
cheesemonger	75-17455-B
cheeseparing	75-17794-B
cheesiness	75-17961-B
cheesy	75-18126-B
cheetah	75-18272-B
chef	75-18345-B
chef d oeuvre	75-18390-B
chefs d oeuvre	75-18492-B
cheiromancy	75-18548-B
cheiropteran	75-18622-B
cheiropterous	75-18701-B
chela	75-18789-B
chelae	75-18828-B
chelate	75-18957-B
chelate laser	75-19024-B
chelicera	75-19098-B
chellean	75-19175-B
chelonian	75-19269-B
chelsea	75-19379-B
chemic	75-19581-B
chemical	75-19673-B,148-10290-S
chemically	75-19781-B
chemicals	75-19857-B
chemico physical	75-19934-B
chemiluminescence	75-20009-B
chemise	75-20084-B
chemisette	75-20143-B
chemist	75-20299-B
chemistry	75-20390-B,316-13576-S
chemitry	148-10477-S
chemoautotrophy	75-20701-B
chemoprophylactic	75-20802-B
chemoprophylaxis	75-20907-B
chemosphere	75-21012-B
chemosterillant	75-21090-B
chemosynthesis	75-21219-B
chemosynthetic	75-21297-B
chemotactic	75-21369-B
chemotaxis	75-21435-B
chemotherapeutic	75-21519-B
chemotherapeutically	75-21560-B
chemotherapist	75-21607-B
chemotherapy	75-21648-B
chemotropic	75-21726-B
chemotropism	75-21762-B
chenille	75-21851-B
chenopodiaceous	75-21918-B
chenopodiacesus	75-22017-B
cheongsam	75-22101-B
cheque	75-22182-B,51-3436-S,314-13474-S,395-33239-S
cheque book	75-22428-B
cheque card	75-22371-B
chequer	75-22482-B
chequered	75-22819-B
chequers	75-22883-B
cherish	75-22944-B
cherishable	75-23167-B
cherished	274-2998-S
cherisher	75-23198-B
cherishingly	75-23229-B
chernozem	75-23263-B
cheroot	75-23334-B
cherry	75-23403-B
cherry blomssom	75-23506-B
cherry blossom	75-23569-B
cherry brandy	75-23637-B
chersonese	75-23707-B
chert	75-23775-B
cherub	75-23830-B
cherubic	75-23872-B
cherubically	75-23974-B
cherubim	75-24005-B
cherublike	75-24229-B
chervil	75-24298-B
chervile	75-24354-B
cheshire cat	75-24427-B
chesil	75-24514-B
chess	75-24557-B
chess board	75-24685-B
chess man	75-24858-B
chess player	75-24903-B
chessboard	75-24634-B
chessel	75-24740-B
chessman	75-24805-B
chest	75-24973-B,89-17337-S,138-18092-S,224-25229-S,286-2097-S,425-3540-S,441-27339-S,463-1476-S,514-23350-S
chest note	76-677-B
chest of drawers	75-25270-B
chest protector	76-1166-B
chest trouble	76-1263-B
chest voice	76-1334-B
chested	76-0-B,181-10588-S
chesterfield	76-206-B
chestersfield	76-304-B
chestily	76-406-B
chestiness	76-516-B
chestnut	76-771-B,144-6478-S,225-12759-S,406-18413-S,432-22229-S
chesty	76-1421-B
cheval de frise	76-1623-B
cheval glass	76-1877-B
chevalier	76-2000-B
cheverel	76-2155-B
cheviot	76-2226-B
chevron	76-2284-B
chevy	76-2369-B
chew	76-2404-B
chewable	76-2915-B
chewer	76-2940-B
chewiness	76-3004-B
chewing gum	76-3031-B,76-3071-B
chewy	76-3144-B
chez	76-3245-B
chi square distribution	77-3843-B
chianti	76-3297-B
chiaroscurist	76-3375-B
chiaroscuro	76-3412-B
chiasma	76-3567-B
chiasmal	76-3611-B
chiasmata	76-3640-B
chiasmatic	76-3733-B
chiasmatypy	76-3763-B
chiasmic	76-3851-B
chiasmus	76-3880-B
chibcha	76-3999-B
chibouk	76-4120-B
chibouque	76-4164-B
chic	76-4269-B
chicane	76-4395-B
chicaner	76-4853-B
chicanery	76-4881-B
chick	76-5082-B,332-22726-S,438-10965-S
chick pea	76-7479-B
chick weed	76-7580-B
chickabiddy	76-5398-B
chicken	76-5476-B,356-3068-S,437-25635-S,437-27612-S
chicken breasted	76-6140-B
chicken feed	76-6243-B
chicken hearted	76-6454-B
chicken livered	76-6578-B
chicken pea	76-6723-B
chicken pox	76-5978-B,76-6800-B
chicken prairie	76-6873-B
chicken run	76-6959-B
chicken shit	76-6026-B,76-7013-B
chicken snake	76-7123-B
chicken wire	76-7328-B
chickenheartedness	76-6532-B
chickenpea	76-6670-B
chickens	218-25495-S
chickenweed	76-7229-B
