vip	511-1491-B
visoned	511-18365-B
visor	511-18496-B
visor mask	511-18623-B
visored	511-18531-B
vista	511-18679-B
visual	511-19169-B,34-9785-S
visual aid	511-19301-B
visual display unit	511-19451-B
visual equipment	34-10015-S
visual method	34-10073-S,34-10299-S
visual recorder	34-10192-S
visualisation	511-19523-B
visualise	511-19657-B
visuality	511-19773-B
visualization	511-19925-B
visualize	511-20067-B
visualizer	511-20186-B
visually	511-20315-B
visualness	511-20370-B
vita	136-14950-S
vita glass	511-20399-B
vitae	27-15658-S,27-17778-S,111-1725-S,270-881-S
vital	511-20477-B,147-17713-S
vitalisation	511-21148-B
vitalise	511-21258-B
vitalism	511-21374-B
vitalist	511-21440-B
vitalistic	511-21518-B
vitality	511-21597-B
vitalization	511-21918-B
vitalize	511-22045-B
vitalizer	511-22090-B
vitally	511-22155-B
vitalness	511-22230-B
vitals	511-22257-B
vitamin	511-22459-B
vitamine	511-22506-B
vitaminic	511-22568-B
vitaminise	511-22652-B
vitaminize	511-22741-B
vitaminous	511-22791-B
vitellin	511-22859-B
vitiable	511-22931-B
vitiate	511-22959-B
vitiated	511-23130-B
vitiation	511-23227-B
vitiator	511-23372-B
viticultural	511-23399-B
viticulture	511-23527-B
viticulturer	511-23582-B
viticulturist	511-23656-B
vitiligo	511-23732-B
vitreosity	511-23821-B
vitreous	511-23893-B
vitreousness	511-24039-B
vitrescence	511-24112-B
vitrescent	511-24174-B
vitrescible	511-24260-B
vitress	511-24326-B
vitrics	511-24433-B
vitrifaction	511-24536-B
vitrifiability	511-24646-B
vitrifiable	511-24717-B
vitrification	511-24857-B
vitrified	511-24916-B
vitrify	511-24998-B
vitrine	511-25127-B
vitriol	511-25208-B,53-876-S,311-12093-S
vitriolic	512-0-B
vitriolise	512-177-B
vitriolization	512-331-B
vitriolize	512-453-B
vitro	236-12219-S
vitrous	512-503-B
vitued	512-546-B
vituline	512-650-B
vituperable	512-712-B
vituperate	512-803-B
vituperation	512-878-B
vituperative	512-966-B
vituperatively	512-1042-B
vituperativeness	512-1083-B
vituperator	512-1124-B
vituperatory	512-1245-B
viva	512-1323-B
viva voce	512-1445-B,512-2586-B
vivace	512-1752-B
vivacious	512-1814-B
vivaciously	512-2009-B
vivaciousness	512-2042-B
vivacity	512-2096-B
vivaciuosly	512-2176-B
vivant	54-12660-S,460-5382-S
vivants	460-5633-S
vivaria	512-2307-B
vivarium	512-2351-B
vivary	512-2481-B
vivat	512-2523-B
vive	374-12504-S
vivendi	293-22595-S
vivers	512-2650-B
vivicate	512-2744-B
vivid	512-2787-B
vividity	512-3184-B
vividly	512-3395-B
vividness	512-3660-B
vivification	512-3892-B
vivifier	512-4032-B
vivify	512-4059-B
viviparity	512-4174-B
viviparous	512-4331-B
viviparously	512-4472-B
viviparousness	512-4507-B
vivisect	512-4652-B
vivisection	512-4711-B
vivisectional	512-4802-B
vivisectionally	512-4841-B
vivisectionist	512-4880-B
vivisector	512-5016-B
vivo	512-5129-B,236-12303-S
vivos	246-23888-S
vivre	256-3939-S,402-374-S,402-674-S
vivres	512-5164-B
vixen	512-5217-B
vixenish	512-5357-B
vixenishly	512-5455-B
vixenishness	512-5483-B
vixenly	512-5516-B
viz	512-5579-B
vizard	512-5635-B
vizarded	512-5672-B
vizier	512-5714-B,206-8807-S
vizierate	512-5751-B
vizierial	512-5779-B
vizir	512-5808-B
vizor	512-5844-B
vizored	512-5978-B
vl bus	512-6140-B
vlsi	512-6436-B
vobiscum	136-26522-S
vocab	512-6471-B
vocable	512-6668-B
vocabular	512-6720-B
vocabulary	512-6805-B
vocal	512-6873-B
vocal cords	512-7552-B
vocalic	512-7665-B
vocalically	512-7727-B
vocalise	512-7758-B
vocalism	512-7803-B
vocalist	512-7941-B
vocalistic	512-7997-B
vocality	512-8028-B
vocalization	512-8194-B
vocalize	512-8351-B
vocalizer	512-8494-B
vocally	512-8524-B
vocalness	512-8680-B
vocanicity	512-8707-B
vocanism	512-8772-B
vocation	512-8900-B
vocational	512-9108-B
vocationally	512-9290-B
vocative	512-9367-B
vocatively	512-9481-B
voce	431-15186-S,512-1445-S,512-2586-S
voces	512-9512-B
vociferance	512-9644-B
vociferant	512-9797-B
vociferate	512-9872-B
vociferation	512-9942-B
vociferator	512-10026-B
vociferous	512-10060-B
vociferously	512-10167-B
vociferousness	512-10277-B
vocoder	35-11458-S
vodka	512-10373-B
vogue	512-10424-B
vogue word	512-10966-B,512-11042-B
voice	512-11267-B,30-10829-S,69-22515-S,76-1334-S,92-2433-S,421-15042-S
voice box	512-12199-B
voice network	36-5300-S
voice over	512-12792-B
voice part	512-12871-B
voice pipe	512-12923-B
voice tube	512-13053-B
voiced	512-12259-B
voicedd	512-12346-B
voicedness	512-12436-B
voiceless	512-12465-B
voicelessly	512-12646-B
voicelessness	512-12679-B
voicer	512-12975-B
void	512-13116-B
void tree	512-15124-B
voidability	512-14192-B
voidable	512-14298-B
voidableness	512-14389-B
voidance	512-14422-B
voided	512-14634-B
voider	512-14799-B
voiding	512-14822-B
voidness	512-14911-B
voile	512-15181-B
vol	512-15239-B
vol au vent	512-16507-B
volage	512-15304-B
volant	512-15379-B
volar	512-15485-B
volatic	512-15579-B
volatile	512-15686-B,398-19213-S
volatilisation	512-15926-B
volatilise	512-16021-B
volatility	512-16072-B
volatilizable	512-16255-B
volatilization	512-16313-B
volatilize	512-16379-B
volatilizer	512-16473-B
volcanic	512-16626-B
volcanically	512-16824-B
volcanism	512-16987-B
volcanist	512-17149-B
volcano	512-17260-B
volcanological	512-17472-B
volcanologist	512-17610-B
volcanology	512-17720-B
vole	512-17789-B
volens	304-15200-S
volente	122-9575-S
volery	512-18003-B
volition	512-18067-B
volitional	512-18161-B
volitionally	512-18210-B
volitive	512-18243-B
volley	512-18352-B,213-16159-S
volleyball	512-18866-B
volleyballer	512-18938-B
volleyer	512-18973-B
volmeter	512-19000-B
volote	512-19074-B
volpique	512-19105-B
volplane	512-19173-B
volt	512-19351-B,3-185-S,150-4182-S
voltage	512-19704-B,4-447-S,15-15458-S,21-11198-S,39-727-S,39-12272-S,60-10997-S,61-15881-S,77-18299-S,106-17084-S,108-2572-S,111-26257-S,115-21524-S,129-15369-S,146-14864-S,159-18325-S,164-24834-S,179-4887-S,188-4863-S,208-9570-S,208-10594-S,275-22020-S
voltage gain	99-4708-S
voltaic	512-19819-B
voltaic cell	150-1237-S
voltaic effect	149-9107-S
voltameter	512-19930-B
volte face	512-20012-B
voltmeter	512-20218-B,106-17127-S,128-15400-S
volubility	512-20272-B
voluble	512-20372-B
volubleness	512-20540-B
volubly	512-20571-B
volume	512-20746-B,387-12666-S
volume compressor	36-5403-S
volume control	36-5476-S
volume control circuit	36-5552-S
volume expander	36-5635-S
volume expansion	36-5707-S
volume recognition	36-5775-S
volumetric	512-21133-B
volumetrically	512-21265-B
voluminosity	512-21347-B
voluminous	512-21418-B
voluminousity	512-21741-B
voluminously	512-21845-B
voluntarily	512-22132-B
voluntariness	512-22223-B
voluntarism	512-22370-B
voluntarist	512-22454-B
voluntaristic	512-22524-B
voluntary	512-22561-B
voluntaryism	512-23558-B
voluntaryist	512-23666-B
voluntative	512-23703-B
volunteer	512-23805-B
volunteering	512-24514-B
voluptuary	512-24634-B
voluptuous	512-24803-B
voluptuously	512-24943-B
voluptuousness	512-25234-B
volute	512-25393-B
voluted	512-25659-B
volution	512-25738-B
volvulus	512-25843-B
vomer	513-0-B
vomerine	513-61-B
vomica	513-87-B,307-14114-S
vomit	513-183-B,50-13589-S
vomiter	513-504-B
vomitive	513-529-B
vomitory	513-572-B
vomitting	513-732-B
vomiturition	513-805-B
voodoo	513-871-B
voodooism	513-1081-B
voodooist	513-1174-B
voodooistic	513-1205-B
voracious	513-1238-B
voraciously	513-1609-B
voraciousness	513-1806-B
voracity	513-1861-B
vortex	513-2042-B
vortical	513-2313-B
vortically	513-2463-B
vortices	513-2494-B
vorticist	513-2537-B
vorticity	513-2638-B
vorticular	513-2674-B
vortiginous	513-2742-B
votable	513-2846-B
votaress	513-2872-B
votarist	513-3091-B
votary	513-3149-B
votation	513-3611-B
vote	513-3680-B,52-4787-S,69-22640-S,134-2349-S,182-21751-S,190-0-S,427-7787-S,436-15705-S,446-22269-S
voteable	513-4592-B
votee	513-4617-B
voteless	513-4679-B
voter	513-4780-B,182-21889-S
voting	513-4895-B,108-5847-S,305-15644-S
voting paper	513-4988-B
votive	513-5050-B
votively	513-5173-B
voto	169-12080-S
vouch	513-5200-B
voucher	513-5642-B,276-21746-S
vouchsafe	513-5873-B
vouchsafement	513-6077-B
vow	513-6112-B,429-22480-S
vowel	513-6685-B,314-12369-S
vowelise	513-6740-B
vowelization	513-6784-B
vowelize	513-6817-B
vower	513-6884-B
vows	275-17404-S
vox	513-6905-B
vox pop	513-6936-B
vox populi	513-7007-B
voyage	513-7099-B,54-12793-S
voyager	513-7305-B
voyageur	513-7396-B
voyeur	513-7559-B
voyeurism	513-7674-B
voyeuristic	513-7775-B
voyeuristically	513-7812-B
vp	513-7846-B
vr	513-7926-B
vrai	513-7986-B
vraisemblance	513-8005-B
vram	513-8078-B
vrille	513-8227-B
vs	513-8286-B
vso	513-8582-B
vto	513-8723-B
vtol	513-8808-B
vtr	128-15449-S,146-5100-S
vu	120-1573-S
vulcan	513-8953-B
vulcanic	513-9017-B
vulcanisation	513-9109-B
vulcanise	513-9172-B
vulcanite	513-9239-B
vulcanizable	513-9297-B
vulcanization	513-9331-B,412-2083-S
vulcanize	513-9411-B
vulcanizer	513-9459-B
vulcanological	513-9538-B
vulcanologist	513-9625-B
vulcanology	513-9714-B
vulgar	513-9803-B
vulgar fraction	513-10272-B
vulgarian	513-10459-B
vulgaris	277-2590-S
