prophasic	- xem [03prophase] 
propjet [01/'prɔpdʒet/]	[01* dtừ]\n- (kỹ) động cơ tua bin chong chóng
prop-jet [01/'prɔp'dʒet/]	- tuabin phản lực cánh quạt\n- máy bay dùng tua bin phản lực cánh quạt
proplasm [01/'prouplæzm/]	[01* dtừ]\n- mô hình
proplastid [01/prou'plæstid/]	[01* dtừ]\n- (sinh vật) thể hạt non
propleura [01/prou'pluərə/]	[01* dtừ] s/n\n- xem [03propleuron] 
propleuron [01/prou'pluərən/]	[01* dtừ] s/n [02propleura]\n- mảnh bên ngực trước
propodial [01/prou'poudiəl/]	[01* ttừ]\n- thuộc phần trước chân (thân mềm) 
propolar [01/prou'poulə/]	[01* ttừ]\n- (sinh vật) trước cực
propolis [01/'prɔpəlis/]	[01* dtừ]\n- keo ong
propone [01/prə'poun/]	[01* ngđtừ]\n- (Scotland) đề nghị\n- nêu lên (điều bênh vực) 
proponent [01/prə'pounənt/]	[01* ttừ]\n- đề nghị, đề xuất, đề xướng\n[01* dtừ]\n- người đề nghị, người đề xuất, người đề xướng (một kiến nghị...) 
proportion [01/proportion/]	[01* dtừ]\n- sự cân xứng, sự cân đối\n[02= in proportion to] cân xứng với\n[02= out of proportion to] không cân xứng với\n- tỷ lệ\n[02= the proportion of three to one] tỷ lệ ba một\n- (toán) tỷ lệ thức\n- (toán) quy tắc tam xuất\n- phần\n[02= a large proportion of the earth's surface] một phần lớn bề mặt trái đất\n- (số nhiều) kích thước, tầm vóc\n[02= a building of magnificent proportions] toà nhà bề thế\n[02= an athlete of magnificent proportions] vận động viên tầm vóc lực lưỡng\n[01* ngđtừ]\n- làm cân xứng, làm cân đối\n[02= to proportion one's expenses to one's income] làm cho số tiền chi tiêu cân đối với số tiền thu nhập\n- chia thành phần
proportionable [01/proportionable/]	như [03proportional]
proportional [01/prə'pɔ:∫ənl/]	[01* ttừ, số nhiều]\n- cân xứng, cân đối\n- tỷ lệ\n[02= directly proportional] tỷ lệ thuận\n[02= inversely proportional] tỷ lệ nghịch\n[04! proportional representation]\n- chế độ bầu đại biểu của tỷ lệ\n[01* ttừ]\n- (toán) số hạng của tỷ lệ thức
proportional representation [01/prə'pɔ:∫ənl,reprizen'tei∫n/]	[01* dtừ]\n- chế độ bầu cử cho mỗi đảng một số ghế ở nghị viện theo tỷ lệ số phiếu mà các ứng cử viên của đảng đó nhận được; chế độ bầu cử theo tỷ lệ
proportional tax [01/prə'pɔ:∫ənl 'tæks/]	- (ktế) Thuế tính theo tỷ lệ.
proportionalist [01/prə'pɔ:∫nəlist/]	[01* dtừ]\n- người tán thành chế độ bầu đại biểu của tỷ lệ
proportionality [01/prə,pɔ:∫ə'næliti/]	[01* dtừ]\n- tính cân xứng, tính cân đối\n- tính tỷ lệ
proportionally [01/prə'pɔ:∫ənəli/]	[01* phtừ]\n- cân xứng, cân đối\n- tỷ lệ\n- <toán> số hạng của tỷ lệ thức
proportionate [01/prə'pɔ:∫ənət/]	[01* ttừ]\n- cân xứng, cân đối\n- theo tỷ lệ\n[01* ngđtừ]\n- làm cân xứng, làm cân đối\n- làm cho có tỷ lệ; làm theo tỷ lệ
proportionately [01/prə'pɔ:∫ənətli/]	[01* phtừ]\n- cân đối, cân xứng, tương ứng (với cái gì)\n- theo tỷ lệ
proportionateness	- xem [03proportionate] 
proportioned [01/prə'pɔ:∫nd/]	[01* ttừ]\n- cân xứng, cân đối
proportioner	như [03proportionment]
proportionless [01/prə'pɔ:∫nlis/]	[01* ttừ]\n- không cân xứng, không cân đối
proportionment	- xem [03proportion] 
proposal [01/prə'pouzl/]	[01* dtừ]\n- sự đề nghị, sự đề xuất\n- điều đề nghị, dự kiến đề nghị, kế hoạch đề xuất\n- sự cầu hôn\n[02= to have had many proposals] đã có nhiều người cầu hôn
propose [01/prə'pouz/]	[01* ngđtừ]\n- đề nghị, đề xuất, đưa ra\n[02= to propose a course of action] đề xuất một đường lối hành động\n[02= to propose a motion] đưa ra một kiến nghị\n[02= to propose a change] đề nghị một sự thay đổi\n- lấy làm mục đích; đặt ra, đề ra (làm mục đích)\n[02= the object I propose to myself] mục đích tôi đề ra cho bản thân\n- đề nghị nâng cốc chúc, đề nghị uống mừng\n[02= to propose someone's health] đề nghị nâng cốc chúc sức khoẻ ai\n[02= to propose a toast] đề nghị nâng cốc chúc mừng (sức khoẻ ai...)\n- tiến cử, đề cử\n[02= to propose a candidate] đề cử một người ra ứng cử\n- cầu (hôn)\n[02= to propose mariage to someone] cầu hôn ai\n- có ý định, dự định, trù định\n[02= to propose to go tomorrow; to propose going tomorrow] dự định đi ngày mai\n[01* nđtừ]\n- có ý định, dự định, trù định\n- cầu hôn\n[02= to propose to someone] cầu hôn ai\n[04! man proposes, God disposes]\n- xem [03disposes] 
proposer [01/prə'pouzə/]	[01* dtừ]\n- người đề xuất một bản kiến nghị, người tiến cử ai vào một chức vụ
proposition [01/,prɔpə'zi∫n/]	[01* dtừ]\n- lời đề nghị, kế hoạch, đề xuất, dự kiến đề ra\n- lời tuyên bố, lời xác nhận\n[02= a proposition too plain to need argument] lời tuyên bố (xác nhận) qua rõ ràng không cần phải lý lẽ gì nữa\n- (lóng) việc làm, vấn đề, mục tiêu, triển vọng; nghề nghiệp\n[02= a paying proposition] việc làm có lợi, món bở\n[02= a tough proposition] việc làm gay go, vấn đề hắc búa\n- (lóng) đối thủ\n- (toán) mệnh đề\n- (Mỹ) sự gạ ăn nằm (với ai) 
propositional [01/,prɔpə'zi∫ənl/]	[01* ttừ]\n- có tính chất đề nghị, có tính chất đề xuất\n- có tính chất tuyên bố, có tính chất xác nhận\n- (toán) mệnh đề
propositionally	- xem [03proposition] 
propound [01/prə'paund/]	[01* ngđtừ]\n- đề nghị, đề xuất, đưa ra để nghiên cứu (một vấn đề, một kế hoạch...)\n- đưa chứng thực (bản chúc thư) 
propounder [01/prə'paundə/]	[01* dtừ]\n- người đề nghị, người đề xuất, người đưa ra (một vấn đề, một kế hoạch)\n- người đưa chứng thực (bản chúc thư) 
propraetor [01/prou'pri:tə/]	- Cách viết khác : [03propretor]
propretor	- xem [03propraetor] 
proprietarily	- xem [03proprietary] 
proprietary [01/prə'praiətri/]	[01* ttừ]\n- thuộc chủ, người có quyền sở hữu\n[02= proprietary rights] quyền của người chủ, quyền sở hữu\n- có tài sản, có của\n[02= the proprietary classes] giai cấp có của\n- (thuộc) quyền sở hữu, giữ làm tài sản riêng; giữ độc quyền (bán, sản xuất...)\n[02= proprietary medicines] thuốc đã đăng ký độc quyền sản xuất (bán) ; biệt dược\n[01* dtừ]\n- quyền sở hữu\n- giới chủ, tầng lớp chủ\n[02= the landed proprietary] tầng lớp địa chủ
proprietary colony [01/prə'praiətəri 'kɔləni/]	[01* dtừ]\n- đất thực dần cấp cho một sở hữu chủ với quyền cai trị
proprietor [01/prə'praiətə/]	[01* dtừ]\n- chủ, người sở hữu
proprietorial [01/prə,praiə'tɔ:riəl/]	[01* ttừ]\n- (thuộc) chủ, (thuộc) người sở hữu
proprietorially	- xem [03proprietor] 
proprietorship [01/prə'praiətə∫ip/]	[01* dtừ]\n- quyền sở hữu
proprietress [01/prə'praiətris/]	[01* dtừ]\n- bà chủ, người đàn bà có quyền sở hữu
propriety [01/prə'praiəti/]	[01* dtừ]\n- sự thích đáng, sự thích hợp, sự đúng đắn (của một hành động...)\n- sự đúng đắn, sự đúng mực, sự chỉnh, sự hợp lẽ, sự hợp thức (trong thái độ, cư xử)\n[02= a breach of propriety] thái độ không đúng mực, thái độ không chỉnh\n- phép tắc, khuôn phép, lễ nghi, phép lịch sự\n[02= must observe the proprieties] phải theo phép tắc
proprioception [01/proupriə 'əsep∫n/]	[01* dtừ]\n- sự nhận cảm trong cơ thể
proprioceptive [01/proupri ə'septiv/]	[01* ttừ]\n- nhận cảm trong cơ thể
proprioceptor [01/proupriə'septə/]	[01* dtừ]\n- cơ quan tự cảm
propriogenic [01/proupriə'dʒenik/]	[01* ttừ]\n- (sinh vật) tự sinh; nội sinh
prop-roots [01/'prɔp ru:ts/]	[01* dtừ] s/n\n- rễ phụ ký sinh
props [01/prɔps/]	[01* dtừ s/n]\n- (lóng) đồ dùng sân khấu
propter hoc [01/'prɔptə 'hɔk/]	- (liên từ) vì lý do này
propterygia [01/prɔptə'ridʒiə/]	[01* dtừ] s/n\n- xem [03propterygium] 
propterygium [01/prɔptə'ridʒiəm/]	[01* dtừ] s/n [02propterygia]\n- (động vật) sụn gốc vây ngực
proptosis [01/prɔp'tousis/]	[01* dtừ]\n- (y) sự lồi (mắt) 
propulsatory [01/prəpʌl'sætəri/]	[01* ttừ]\n- đẩy; dồn
propulsion [01/prə'pʌl∫n/]	[01* dtừ]\n- sự đẩy đi, sự đẩy tới\n- (bóng) sự thúc đẩy; sức thúc đẩy
propulsive [01/prə'pʌlsiv/]	[01* ttừ]\n- đẩy đi, đẩy tới\n[02= propulsive force] lực đẩy
propulsor [01/prə'pʌlsə/]	[01* dtừ]\n- (kỹ) bộ phận đẩy; động cơ phản lực
propulsory	- xem [03propulsion] 
propupa [01/prou'pju:pə/]	[01* dtừ]\n- giai đoạn trước nhộng
propygidium [01/proupai'dʒidiəm/]	[01* dtừ]\n- mảnh nắp hậu môn, mảnh nắp trước hậu môn
propylaea [01/propylaea/]	[01* dtừ s/n]\n- cửa đến
propylaeum [01/,prɔpi'li:əm/]	như [03propylaea]
propylene [01/'prəʊpi,li:n/]	[01* dtừ]\n- propylen
propylite [01/'prɔpilait/]	[01* dtừ]\n- (khoáng) Propilit
propylon [01/'prɔpilɔn/]	[01* dtừ] s/n [03propylons] /'prɔpilɔnz/, [03propylona] /'prɔpilɔnə/\n- (như) [03propylaeum] 
propylona [01/propylona/]	như [03propylon]
prorata [01/prou'ra:tə/]	như [03pro rata]
pro-rate [01/prou'reit/]	[01* ngđtừ]\n- chia theo tỷ lệ
proration [01/prou'rei∫n/]	[01* dtừ]\n- sự chia theo tỷ lệ
prorogation [01/,prourə'gei∫n/]	[01* dtừ]\n- sự tạm ngừng, sự tạm gián đoạn một thời gian (kỳ họp quốc hội) 
prorogue [01/prə'roug/]	[01* đtừ]\n- tạm ngừng, tạm gián đoạn một thời gian (kỳ họp quốc hội) 
pros and cons [01/'prousənd'kɔns/]	như [03pro and con]
prosaic [01/prə'zeiik/]	[01* ttừ]\n- như văn xuôi, có tính chất văn xuôi, nôm na\n- không có chất thơ, thiếu cái đẹp của chất thơ; không thơ mộng\n- tầm thường, dung tục; buồn tẻ, chán ngắt\n[02= a prosaic speaker] người nói chán ngắt\n[02= a prosaic life] cuộc sống tầm thường buồn tẻ
prosaically [01/prə'zeiikli/]	[01* phtừ]\n- không sáng tạo, nôm na, tầm thường, không hay, không giàu óc tưởng tượng\n- không thơ mộng, không lãng mạn; dung tục, buồn tẻ, chán ngắt
prosaicness	- xem [03prosaic] 
prosaism [01/prə'zeiizəm/]	[01* dtừ]\n- tính văn xuôi, vể nôm na\n- tính tầm thường, tính dung tục
prosaist [01/prə'zeiist/]	[01* dtừ]\n- người viết văn xuôi\n- người tầm thường, người dung tục
proscapsula [01/prou'skæpsjulə/]	như [03collar-bone]
proscenia [01/prə'si:niə/]	như [03proscenium]
proscenium [01/prə'si:niəm/]	[01* dtừ] s/n [03proscenia] /prou'si:njə/\n- phía trước sân khấu, phía ngoài màn\n- (cổ) sân khấu
proscenium arch [01/prə'si:niəm'ɑ:t∫/]	[01* dtừ]\n- vòm trước sân khấu
proscolex [01/prə'skouleks/]	[01* dtừ] s/n [02proscolices]\n- đầu sán non; kén dịch (sán dây) 
proscolices [01/prə'skɔlisi:z/]	[01* dtừ] s/n\n- xem [03proscolex] 
proscribe [01/prou'skraib/]	[01* ngđtừ]\n- đặt (ai) ra ngoài vòng pháp luật\n- trục xuất, đày ải\n- cấm, bài trừ (việc dùng cái gì coi (nhưng)uy hiểm) 
proscriber [01/prou'skraibə/]	[01* dtừ]\n- kẻ ra lệnh phát vãng
proscrible [01/proscrible/]	[01* ngđtừ]\n- để (ai) ra ngoài vòng pháp luật\n- trục xuất, đày đi\n- cấm, bài trừ (việc dùng cái gì coi như nguy hiểm) 
proscription [01/prous'krip∫n/]	[01* dtừ]\n- sự để ra ngoài vòng pháp luật\n- sự trục xuất, sự đày đi\n- sự cấm, sự bài trừ
proscriptive [01/prous'kriptiv/]	[01* ttừ]\n- để ra ngoài vòng pháp luật\n- đày, trục xuất\n- cấm, cấm đoán, bài trừ
proscriptively	- xem [03proscription] 
prose [01/prouz/]	[01* dtừ]\n- văn xuôi\n- bài nói chán ngắt\n- tính tầm thường, tính dung tục\n- (tôn giáo) bài tụng ca\n- (định ngữ)(thuộc) văn xuôi\n[02= prose works] những tác phẩm văn xuôi\n[02= prose writer] nhà viết văn xuôi
prose poem [01/prəʊz 'pouim/]	[01* dtừ]\n- thơ tản văn, thơ viết ở dạng văn xuôi
prose poet [01/'prouz,pouət/]	[01* dtừ]\n- nhà thơ bằng văn xuôi
prosect [01/prə'sekt/]	[01* ngđtừ]\n- giải phẫu, mổ xẻ
prosector [01/prə'sektə/]	[01* dtừ]\n- trợ lý giải phẫu
prosecutable	- xem [03prosecute] 
prosecute [01/'prɔsikju:t/]	[01* ngđtừ]\n- theo đuổi, tiếp tục (việc nghiên cứu...), tiến hành (cuộc điều tra...) ; hành (nghề...)\n- (pháp lý) khởi tố, kiện\n[02= to prosecute a claim for damages] kiện đòi bồi thường
prosecuting attorney [01/'prɔsikju:tiη,ə'tə:ni/]	[01* dtừ]\n- (Mỹ) uỷ viên công tố quận
prosecution [01/,prɔsi'kju:∫n/]	[01* dtừ]\n- sự theo đuổi, sự tiếp tục (công việc nghiên cứu...) ; sự tiến hành (việc điều tra...)\n- (pháp lý) sự khởi tố, sự kiện; bên khởi tố, bên nguyên\n[02= witness for the prosecution] nhân chứng cho bên nguyên, nhân chứng buộc tội
prosecutor [01/'prɔsikju:tə/]	[01* dtừ]\n- người khởi tố, bên nguyên\n[04! public prosecutor]\n- uỷ viên công tố
prosecutrix [01/'prɔsikju:triks/]	[01* dtừ]\n- người đàn bà khởi tố, người đàn bà đứng kiện
proselyte [01/'prɔsəlait/]	[01* dtừ]\n- người mới quy y, người mới nhập đạo\n- người mới nhập đảng\n[01* ngđtừ]\n- (hiếm),(như) [03proselytize] 
proselyter	- xem [03proselyte] 
proselytical	- xem [03proselytism] 
proselytise [01/'prɔsəlitaiz/]	[01* ngđtừ]\n- cho quy y, cho nhập đạo\n- kết nạp vào đảng
proselytism [01/'prɔsilitizm/]	[01* dtừ]\n- sự cho quy y, sự cho nhập đạo; sự quy y, sự nhập đạo\n- sự kết nạp vào đảng; sự gia nhập đảng
proselytization	- xem [03proselytize] 
proselytize [01/'prɔsəlitaiz/]	như [03proselytise]
proselytizer	như [03proselytization]
prosencephalic [01/prɔsinse'fælik/]	[01* ttừ]\n- (phẫu) thuộc não trước
prosencephalon [01/prɔsin'sefələn/]	[01* dtừ]\n- (phẫu) não trước
prosenchyma [01/prɔ'seηkimə/]	[01* dtừ]\n- (thực vật) mô tế bào hình thoi
prosenchymatous	- xem [03prosenchyma] 
proser [01/'prouzə/]	[01* dtừ]\n- nhà văn xuôi\n- người kể chuyện nhạt nhẽo
Proserpina [01/prou'sə:pinə/]	[01* dtừ]\n- (thần thoại, thần học) bà chúa địa ngục
prosify [01/'prouzifai/]	[01* ngđtừ]\n- chuyển thành văn xuôi\n- làm thành tầm thường, làm thành dung tục\n[01* nđtừ]\n- viết văn xuôi
prosily [01/'prouzili/]	[01* phtừ]\n- tầm thường, dung tục\n- buồn tẻ, chán ngắt (bài nói) 
prosimian [01/prou'simiən/]	[01* dtừ]\n- (động vật) bộ bán hầu
prosiness [01/'prouzinis/]	[01* dtừ]\n- tính tầm thường, tính dung tục\n- tính chán ngắt (nói, viết...) 
prosing [01/'prouziη/]	[01* dtừ]\n- viết văn xuôi\n- sự viết nhạt nhẽo, sự nói nhạt nhẽo
prosiphon [01/prə'sifən/]	[01* dtừ]\n- phễu nước; ống hút trước\n- xifon trước
prosit [01/'prousit/]	[01* thán từ]\n- xin chúc sức khoẻ anh!; xin chúc anh thành công! (thường nói khi nâng cốc chúc mừng) 
proslavery [01/prou'sleivəri/]	[01* ttừ]\n- tán thành chế độ nô lệ, chủ trương chế độ nô lệ
prosobranch [01/'prɔsəbræηk/]	[01* dtừ]\n- (động vật) phân lớp mang trước (động vật thân mềm chân bụng) 
prosodiacal [01/,prɔsə'daiəkl/]	[01* ttừ]\n- (thuộc) phép làm thơ
prosodial [01/prə'soudiəl/]	như [03prosodiacal]
prosodian [01/prou'sɔdiən/]	[01* dtừ]\n- nhà vận luật học
prosodic [01/,prɔ'sɔdik/]	như [03prosodiacal]
prosodically	- xem [03prosody] 
prosodist [01/'prɔsədist/]	[01* dtừ]\n- nhà nghiên cứu phép làm thơ
prosody [01/'prɔsədi/]	[01* dtừ]\n- phép làm thơ
prosopoplegia [01/,prɔsəpə'pledʒiə/]	[01* dtừ]\n- (y) chứng liệt mặt
prosopopoeia [01/,prɔsəpə'pi:iə/]	[01* dtừ]\n- (văn học) sự miêu tả người chết (người vắng mặt, người tưởng tượng) đáng nói (đang hành động)\n- sự nhân hoá (vật trừu tượng) 
prospect [01/'prɔspekt/]	[01* dtừ]\n- cảnh, toàn cảnh, viễn cảnh\n- viễn tượng\n[02= this openef a new prospect to his mind] cái đó mở ra một viễn tượng mới trong trí nó\n- hy vọng ở tương lai, triển vọng tương lai, tiền đồ\n[02= to offer no prospect of success] không có triển vọng thành công\n[02= a man of no prospects] người không có tiền đồ\n[02= to have something in prospect] đang hy vọng cái gì, đang trông mong cái gì\n- khách hàng tương lai\n- (ngành mỏ) nơi hy vọng có quặng\n- (ngành mỏ) mẫu quặng chưa rõ giá trị\n[01* đtừ]\n- điều tra, thăm dò (để tìm quặng...) ; khai thác thử (mỏ)\n[02= to prospect for gold] thăm dò tìm vàng\n[02= to prospect a region] thăm dò một vùng (để tìm quặng vàng...)\n- (bóng)(+ for) tìm kiếm\n- hứa hẹn (mỏ)\n[02= to prospect well] hứa hẹn có nhiều quặng (mỏ)\n[02= to prospect ill] hứa hẹn ít quặng (mỏ)\n[02= to prospect a fine yield] hứa hẹn có sản lượng cao
prospective [01/prəs'pektiv/]	[01* ttừ]\n- (thuộc) tương lai, sẽ tới về sau\n[02= this law is purely prospective] đạo luật này chỉ áp dụng ở tương lai\n[02= the prospective profit] món lãi tương lai, món lãi về sau
prospectively	- xem [03prospective] 
prospector [01/prəs'pektə/]	[01* dtừ]\n- người điều tra, người thăm dò (quặng, vàng...) 
prospectus [01/prəs'pektəs/]	[01* dtừ] s/n [03prospectuses] /prəs'pektəsiz/\n- giấy cáo bạch; giấy quảng cáo, giấy rao hàng
prosper [01/'prɔspə/]	[01* nđtừ]\n- thịnh vượng, phồn vinh, thành công\n[01* ngđtừ]\n- làm thịnh vượng, làm phát đạt, làm phồn vinh, làm thành công
prosperity [01/prɔ'sperəti/]	[01* dtừ]\n- sự thịnh vượng, sự phát đạt, sự phồn vinh, sự thành công
prosperous [01/'prɔspərəs/]	[01* ttừ]\n- thịnh vượng, phát đạt, phồn vinh, thành công\n- thuận, thuận lợi\n[02= prosperous winds] gió thuận
prosperously [01/'prɔspərəsli/]	[01* phtừ]\n- thịnh vượng, phát đạt, phồn vinh, thành công
prosperousness	- xem [03prosperous] 
prost [01/prɔst/]	[01* thán từ]\n- xem [03prosit] 
prostate [01/'prɔsteit/]	[01* dtừ]\n- (phẫu) tuyến tiền liệt
prostate gland [01/'prɔsteit'lænd/]	[01* dtừ]\n- (phẫu) tuyến tiền liệt (gần cơ quan sinh dục nam)\n- (động vật) tuyến tiền liệt (ở các động vật có vú, giống đực) 
prostatectomy [01/prɔstə'tektəmi/]	[01* dtừ]\n- (y) sự cắt tuyến tiền liệt
prostatic [01/prɔs'tætik/]	[01* ttừ]\n- (phẫu)(thuộc) tuyến tiền liệt
prostatitis [01/,prɔstə'taitis/]	[01* dtừ]\n- (y) viêm tuyến tiền liệt
prosternal [01/prɔs'tə:nəl/]	[01* ttừ]\n- thuộc prosternum
prosternum [01/prɔs'tə:nəm/]	[01* dtừ]\n- (động vật) tấm ngực trước (sâu bọ) 
prostheca [01/,prɔs'θekə/]	[01* dtừ]\n- mảnh trong hàm nhai
prostheses [01/'prɔsθisi:z/]	[01* dtừ]\n- (ngôn) sự thêm tiền tố\n- <y> sự lắp bộ phận giả (răng, chân...) ; sự thay ghép; bộ phận giả (chân tay giả) 
prosthesis [01/'prɔsθisis/]	[01* dtừ]\n- (ngôn) sự thêm tiền tố\n- (y) sự lắp bộ phận giả (răng, chân...) ; sự thay ghép; bộ phận giả
prosthetic [01/prɔs'θetik/]	[01* ttừ]\n- (y)(thuộc) sự lắp bộ phận giả\n[02= prosthetic appliance] bộ phận giả (răng, chân...) 
prosthetically	- xem [03prosthetic] 
prosthodontics [01/prɔsθə'dɔntiks/]	[01* dtừ]\n- bộ phận nha khoa làm răng giả
prostitute [01/'prɔstitju:t/]	[01* ngđtừ]\n- to prostitute oneself làm đĩ, mãi dâm\n- (bóng) bán rẻ (danh dự, tên tuổi, tài năng...) 
prostitution [01/,prɔsti'tju:∫n/]	[01* dtừ]\n- sự làm đĩ, sự mãi dâm\n- (bóng) sự bán rẻ (danh dự, tài năng...) 
prostitutor	- xem [03prostitute] 
prostomia [01/prou'stoumiə/]	[01* dtừ] s/n\n- xem [03prostomium] 
prostomial [01/prou'stoumiəl/]	[01* ttừ]\n- trước miệng; thuộc phần trước miệng; thùy trước miệng (côn trùng) 
prostomium [01/prou'stoumiəm/]	[01* dtừ] s/n [02prostomia]\n- phần trước miệng; thùy trước miệng (côn trùng) 
prostrate [01/'prɔstreit/]	[01* ttừ]\n- nằm úp sấp, nằm sóng soài\n- nằm phủ phục\n- (thực vật) bò\n- bị đánh gục, bị lật nhào\n- mệt lử, kiệt sức(prɔs'treit)\n[01* ngđtừ]\n- đặt (ai...) nằm úp sấp, đặt (ai...) nằm sóng soài\n[02= to prostrate oneself] phủ phục\n[02= to prostrate oneself before someone] phủ phục trước ai\n- (bóng) đánh gục, lật đổ, lật nhào, bắt hàng phục\n- làm mệt lử, làm kiệt sức
prostration [01/prɔs'trei∫n/]	[01* dtừ]\n- sự nằm úp sấp, sự nằm sóng soài\n- sự phủ phục\n- sự mệt lử, sự kiệt sức; tình trạng mệt lử, tình trạng kiệt sức
prostrator	- xem [03prostrate] 
prostyle [01/'proustail/]	[01* dtừ]\n- (kiến trúc) hàng cột trước (điện thờ ở Hy lạp)\n[01* ttừ]\n- (kiến trúc) có hàng cột trước
