absorptivity	3-5027-B
accuser	5-6807-B,409-10729-S
accusing	409-10831-S
accusingly	5-6908-B
accustom	5-7000-B
accustomed	5-7146-B
ace	5-7448-B,16-13254-S,17-689-S
acellular	5-8540-B
acentral	5-8634-B
acentric	5-8663-B
acephalous	5-8752-B
acerate	5-9002-B
acerbate	5-9076-B
acerbic	5-9255-B
acerbically	5-9317-B
acerbity	5-9348-B
acerose	5-9474-B
acerous	5-9515-B
acervate	5-9607-B
acervuline	5-9683-B
acescent	5-9780-B
acetabuliform	5-9837-B
acetabulum	5-9919-B
acetate	5-9990-B,72-119-S,266-4889-S
acetate film	5-10042-B
acetic	5-10077-B
acetic acid	5-10226-B
acetification	5-10259-B
acetifier	5-10354-B
acetify	5-10383-B
acetone	5-10493-B
acetonic	5-10539-B
acetous	5-10567-B
acetylen	5-10628-B
acetylene	5-10668-B,323-8840-S
acetylenic	5-10727-B
ache	5-10759-B,45-25093-S,143-20672-S,170-4466-S,444-24976-S
acheless	5-11042-B
achene	5-11116-B
achenial	5-11179-B
acheno carp	5-11206-B
achiasmatic	5-11267-B
achievable	5-11335-B
achieve	5-11578-B
achievement	5-12091-B
achiever	5-12522-B
achilles	5-12550-B
achilles heel	5-12623-B
achilles tendon	5-12666-B
achiness	5-12728-B
aching	5-12753-B
achlamydeous	5-12835-B
achondroplasia	5-12931-B
achondroplastic	5-13047-B
achromat	5-13124-B
achromatic	5-13180-B
achromatic color	5-13274-B
achromatic lens	5-13336-B
achromatically	5-13386-B
achromatism	5-13423-B
achromatize	5-13536-B
achromatous	5-13663-B
achromous	5-13737-B
achy	5-13786-B
acicula	5-13835-B
acicular	5-13914-B
acid	5-13995-B,5-10226-S,17-3351-S,62-26856-S,67-5567-S,67-6466-S,67-6537-S,67-12966-S,67-13736-S,73-735-S,73-7077-S,77-15221-S,80-12691-S,187-16537-S,193-1829-S,194-22726-S,202-20221-S,203-1213-S,220-9981-S,227-9455-S,228-3591-S,228-6712-S,228-8859-S,253-10934-S,262-11739-S,271-154-S,280-16504-S,280-20060-S,306-29054-S,343-9887-S,367-14850-S,462-7629-S,499-23033-S
acid proof	5-15697-B
acid rain	5-14275-B
acid resisting	5-15754-B
acid soluble	5-15812-B
acid test	5-14385-B
acidic	5-14460-B
acidifiable	5-14519-B
acidification	5-14550-B
acidifier	5-14625-B
acidify	5-14693-B
acidimeter	5-14787-B
acidimetric	5-14847-B
acidimetry	5-14879-B
acidity	5-14912-B
acidly	5-14987-B
acidness	5-15047-B
acidofuge	5-15072-B
acidophilous	5-15142-B
acidophily	5-15246-B
acidophyte	5-15335-B
acidose	5-15409-B
acidosis	5-15470-B
acidotrophic	5-15532-B
acidotropic	5-15619-B
acidulate	5-15877-B
acidulated	5-15955-B
acidulation	5-16028-B
acidulous	5-16061-B
