deportee	122-21188-B
deregulatory	123-10263-B
derelict	123-10298-B
dereliction	123-10648-B
dereliction of duty	123-11054-B
derepress	123-11174-B
derepression	123-11321-B
derequisition	123-11478-B
derestrict	123-11571-B
deride	123-11661-B
derider	123-11757-B
deridingly	123-11876-B
derision	123-11905-B
derisive	123-12267-B
derisively	123-12420-B
derisiveness	123-12492-B
derisory	123-12525-B
deristrict	123-12597-B
derivable	123-12816-B
derivate	123-12843-B
derivation	123-13088-B
derivational	123-13515-B
derivationist	123-13550-B
derivative	123-13621-B
derivatively	123-13822-B
derivativeness	123-13859-B
derive	123-13896-B
deriver	123-14299-B
derm	123-14325-B
derma	123-14370-B
dermal	123-14405-B
dermatic	123-14444-B
dermatitis	123-14502-B
dermatoglyphic	123-14563-B
dermatoglyphics	123-14659-B
dermatoid	123-14748-B
dermatological	123-14821-B
dermatologist	123-14859-B
dermatology	123-14943-B
dermatome	123-15026-B
dermatomic	123-15081-B
dermatophyte	123-15147-B
dermatoplasty	123-15230-B
dermatosis	123-15323-B
dermic	123-15385-B
dermis	123-15435-B
dern	123-15516-B
dernier	123-15575-B
derogate	123-15713-B
derogation	123-16186-B
derogatorily	123-16419-B
derogatoriness	123-16454-B
derogatory	123-16491-B
derrick	123-16897-B
derriere	123-16982-B
derring do	123-17024-B
derringer	123-17151-B
derris	123-17238-B
derry	123-17384-B
derv	123-17454-B
dervish	123-17564-B
dervived	123-17627-B
des	123-17651-B
desalinate	123-17774-B
desalination	123-17835-B
desalinator	123-17905-B
desalt	123-17939-B
descale	123-18007-B
descant	123-18065-B
descanter	123-18334-B
descend	123-18363-B
descendable	123-18992-B
descendant	123-19070-B
descended	123-19145-B,274-3294-S
descender	123-19209-B
descendible	123-19250-B
descending	123-19383-B
descent	123-19438-B
descrambler	123-19944-B
describable	123-20016-B
describe	123-20140-B
describer	123-20445-B
descrier	123-20542-B
description	123-20569-B,193-5785-S,255-24753-S
description block	177-16366-S
description language	91-10488-S
descriptive	123-21043-B
descriptively	123-21247-B
descriptiveness	123-21326-B
descriptor	123-21431-B,7-13098-S,29-22972-S
descriptor table	202-6276-S
descry	123-21535-B
desecrate	123-21761-B
desecrater	123-22024-B
desecration	123-22056-B
desecrator	123-22240-B
desegmentation	123-22421-B
desegregate	123-22520-B
desegregation	123-22643-B
desegregationist	123-22765-B
deselect	123-22805-B
deselection	123-22936-B
desensitisation	123-23078-B
desensitise	123-23150-B
desensitization	123-23203-B
desensitize	123-23271-B
desensitizer	123-23353-B
desensitizing	123-23449-B
desert	123-23544-B,411-10748-S
deserted	123-24684-B
deserter	123-24855-B
desertion	123-24952-B
deserts	123-25174-B
deserve	123-25266-B
deserved	123-25522-B
deservedly	123-25584-B
deservedness	123-25644-B
deserving	123-25677-B
deservingly	123-25801-B
desex	123-25834-B
desexualization	123-25896-B
desexualize	123-26043-B
deshabille	123-26178-B
desiccant	123-26230-B
desiccate	123-26289-B
desiccation	123-26425-B
desiccative	123-26504-B
desiccator	123-26559-B,505-10274-S
desiderata	123-26654-B
desiderate	123-26789-B
desideration	123-26883-B
desiderative	123-26918-B
desideratum	123-27013-B
design	123-27068-B,28-9047-S,72-10727-S,92-2657-S,187-17663-S,193-5836-S,240-16732-S,247-17332-S
design and drafting	92-2733-S
design automation	123-28708-B
design circuit	123-28771-B
design heuristic	123-28815-B
design language	124-0-B
design phase	124-50-B
design procedure	124-98-B
design specification	124-149-B
designable	124-204-B
designate	124-233-B
designation	124-749-B
designative	124-927-B
designator	124-960-B
designatory	124-992-B
designedly	124-1025-B
designer	124-1120-B,240-16868-S,247-17463-S,403-8726-S
designing	124-1357-B
designingly	124-1551-B
desilver	124-1584-B
desilverisation	124-1651-B
desilverise	124-1727-B
desilverize	124-1857-B
desinence	124-1911-B
desinential	124-1976-B
desipience	124-2041-B
desirability	124-2133-B
desirable	124-2258-B
desirableness	124-2399-B
desirably	124-2458-B
desire	124-2558-B
desired	124-3356-B
desirer	124-3389-B
desirous	124-3415-B
desirously	124-3574-B
desirousness	124-3607-B
desist	124-3640-B
desistance	124-3833-B
desk	124-3917-B,69-13417-S,100-6890-S,100-7859-S,332-14853-S,379-14438-S,393-18522-S,523-26866-S
desk research	124-4406-B
desk top	124-4638-B
desk top publishing	124-4835-B
deskbound	124-4513-B
desktop	124-4588-B
desktop computer	124-4679-B
desktop publishing	124-4763-B,124-4928-B
desktop publishing equipment	124-5023-B
desktop video unit	124-5099-B
desma	124-5157-B
desman	124-5245-B
desmosome	124-5347-B
desolate	124-5421-B
desolately	124-5901-B
desolateness	124-5977-B
desolater	124-6009-B
desolation	124-6039-B
desolator	124-6315-B
despair	124-6413-B
despairing	124-6836-B
despairingly	124-6928-B
despatch	124-6982-B
desperado	124-7009-B
desperate	124-7122-B
desperately	124-7629-B
desperateness	124-7704-B
desperation	124-7804-B
despicable	124-8019-B
despicableness	124-8098-B
despicably	124-8135-B
despisal	124-8207-B
despise	124-8234-B
despiser	124-8314-B
despising	124-8342-B
despisingly	124-8410-B
despite	124-8497-B
despiteful	124-8934-B
despitefully	124-9034-B
despitefulness	124-9071-B
despoil	124-9108-B
despoiler	124-9212-B
despoiliation	124-9337-B
despoilment	124-9394-B
despoliation	124-9524-B
despond	124-9596-B
despondency	124-9735-B
despondent	124-9855-B
despondently	124-9966-B
despondingly	124-10057-B
despot	124-10113-B
despotic	124-10226-B
despotically	124-10314-B
despotism	124-10394-B
desquamate	124-10465-B
desquamation	124-10535-B
dessert	124-10620-B
dessert spoon	124-10898-B
dessert wine	124-10747-B
dessertspoon	124-10825-B
dessertspoonful	124-10979-B
destabilization	124-11075-B
destabilize	124-11164-B
destain	124-11240-B
destalinization	124-11329-B
destination	124-11410-B
destination address	124-11557-B
destination disk	124-11611-B
destination field	124-11650-B
destination queue	124-11694-B
destine	124-11740-B
destined	124-12215-B
desting	281-12261-S
destiny	124-12372-B,281-12375-S
destiny s choice	124-12448-B
destitute	124-12519-B
destituteness	124-12819-B
destitution	124-12854-B
destrier	124-13003-B
destroy	124-13086-B
destroyable	124-13260-B
destroyer	124-13453-B
destroying	409-20266-S,431-18703-S
destructibility	124-13651-B
destructible	124-13883-B
destructibleness	124-13938-B
destruction	124-13979-B,409-20334-S
destructive	124-14229-B
destructive memory	124-14520-B
destructive read operation	124-14580-B
destructive storage	124-14646-B
destructive test	124-14697-B
destructively	124-14734-B
destructiveness	124-14811-B
destructivity	124-14908-B
destructor	124-14945-B
desuetude	124-15050-B
desulphurisation	124-15277-B
desulphurise	124-15364-B
desulphurization	124-15444-B
desulphurize	124-15537-B
desultorily	124-15594-B
desultoriness	124-15695-B
desultory	124-15818-B
det	124-16110-B
detach	124-16153-B
detachability	124-16360-B
detachable	124-16392-B
detachable keyboard	124-16557-B
detachable plugboard	124-16642-B
detachably	124-16741-B
detached	124-16775-B,411-10817-S
detachedly	124-17120-B
detachedness	124-17151-B
detachment	124-17308-B
detail	124-17645-B,98-12475-S
detail diagram	124-18309-B
detail file	124-18354-B
detail flowchart	124-18396-B
detailed	124-18444-B
detailer	124-18526-B
detailing	124-18553-B
detain	124-18624-B
detainee	124-18891-B
detainer	124-18982-B
detainment	124-19169-B
detect	124-19246-B
detectable	124-19556-B
detecter	124-19736-B
detectible	124-19763-B
detecting code	160-13314-S
detecting head	124-19812-B
detection	124-19856-B,34-15852-S,101-17608-S,129-15250-S,170-20293-S,190-13928-S
detection coefficient	124-20034-B
detection radar	124-20087-B
detection routine	160-13371-S
detection threshold	124-20131-B
detective	124-20182-B,226-9294-S,350-25874-S,361-27860-S
detector	124-20400-B,34-15907-S,101-17676-S,129-15311-S,129-15663-S,157-8625-S,160-13444-S,172-18096-S,173-4336-S,178-26243-S,184-14436-S,188-9416-S,194-22111-S,208-9513-S,208-10008-S,269-7330-S,269-7752-S,291-7012-S
detent	124-20603-B
detente	124-20699-B,124-20812-B
detention	124-20859-B,360-15205-S
detention camp	124-21257-B
detention centre	124-21318-B
detention home	124-21368-B
detenu	124-21425-B
deter	124-21478-B
deterge	124-21685-B
detergent	124-21768-B
deteriorate	124-21921-B
deterioration	124-22139-B
deterioration failure	124-22300-B
deteriorative	124-22364-B
determent	124-22493-B
determinable	124-22662-B
determinableness	124-22786-B
determinably	124-22825-B
determinancy	124-22862-B
determinant	124-22896-B
determinantal	124-23076-B
determinate	124-23145-B
determinately	124-23255-B
determinateness	124-23292-B
determination	124-23331-B,305-961-S,409-20443-S
determinative	124-23792-B
determinatively	124-24005-B
determinativeness	124-24046-B
determine	124-24089-B
determined	124-24920-B,409-20548-S
determinedly	125-0-B
determinedness	125-95-B
determiner	125-132-B
determinism	125-232-B
determinist	125-320-B
deterministic	125-406-B,305-1025-S
deterministic model	125-447-B
deterministically	125-495-B
deterrable	125-536-B
deterrence	125-565-B
deterrent	125-613-B
deterrer	125-959-B
detersion	125-985-B
detersive	125-1070-B
detest	125-1215-B
detestability	125-1297-B
detestable	125-1333-B
detestableness	125-1409-B
detestably	125-1502-B
detestation	125-1581-B
detester	125-1721-B
dethrone	125-1748-B
dethronement	125-1866-B
dethroner	125-1978-B
detin	125-2101-B
detinning	125-2172-B
detinue	125-2240-B
detonatable	125-2439-B
detonate	125-2471-B
detonating	125-2525-B
detonation	125-2608-B
detonator	125-2731-B
detorsion	125-2873-B
detour	125-3000-B
detoxicant	125-3184-B
detoxicate	125-3274-B
detoxication	125-3329-B
detoxication centre	125-3391-B
detoxification	125-3503-B
detoxification center	125-3579-B
detoxify	125-3623-B
detract	125-3670-B
detraction	125-3887-B
detractive	125-4069-B
detractively	125-4102-B
detractor	125-4135-B
detrain	125-4240-B
detrainment	125-4338-B
detribalisation	125-4369-B
detribalise	125-4454-B
detribalization	125-4509-B
detribalize	125-4592-B
detriment	125-4714-B
detrimental	125-4959-B
detrimentally	125-5149-B
detrital	125-5213-B
detrited	125-5309-B
detrition	125-5411-B
detritus	125-5468-B
detrop	125-5568-B
detruck	125-5746-B
detruncate	125-5829-B
detumescence	125-5921-B
detune	125-5996-B
deuce	125-6126-B
deuced	125-6860-B
deus ex machina	125-7112-B
deuteragonist	125-7359-B
deuteranope	125-7455-B
deuteranopia	125-7523-B
