conglomerator	như [03conglomeratic]
congressionalism [01/kɔη'gre∫ənlizm/]	[01* dtừ]\n- thuyết giáo hội địa phương
congressionalist [01/kɔη'gre∫ənlist/]	[01* dtừ]\n- người theo thuyết giáo hội địa phương
congressionally	- xem [03congress] 
congressman [01/'kɔηgresmən/]	[01* dtừ]\n- nghị sĩ (Mỹ, Phi-líp-pin, Châu mỹ la-tinh trừ Cu-ba) 
congresswoman [01/'kɔηgres,wumən/]	[01* dtừ]\n- nữ nghị sĩ (Mỹ, Phi-líp-pin, Châu mỹ la tinh trừ Cu-ba) 
congruance	- (đại số) đồng dư, tương đẳng; (hình học) doàn; sự so sánh, đồng dư thức\n- c. of circles đoàn vòng tròn\n- c. of curves đoàn đường cong\n- c. of first degree đồng dư thứ bậc nhất\n- c. of lines đoàn đường thẳng\n- c. of matrices (đại số) sự tương đẳng của các ma trận\n- c. of spheres đoàn mặt cần\n- algebraic c. đoàn đại số\n- canonical c. đoàn chỉnh tắc\n- confocal c.s đoàn đồng tiêu\n- elliptic c. đoàn eliptic\n- hyperbolic c. đoàn hipebolic\n- isotropic c. đoàn đẳng hướng\n- linear c. đoàn tuyến tính\n- linear line c. đoàn đường thẳng\n- normal c. đoàn pháp tuyến\n- quadraitic c. đoàn bậc hai\n- rectilinear c. đoàn đường thẳng\n- sextic c. đồng dư thức bậc sáu\n- special c. đoàn đặc biệt\n- tetrahedral c. đoàn tứ diện
congruence [01/'kɔηgruəns/]	[01* dtừ]\n- sự thích hợp, sự phù hợp\n- (toán) đoàn\n[02= congruence of circles] đoàn vòng tròn\n- (toán) đồng dư; tương đẳng\n[02= congruence group] nhóm đồng dư\n[02= congruence of figures] sự tương đẳng của các hình
congruent [01/'kɔηgruənt/]	[01* ttừ]\n- thích hợp, phù hợp\n- (toán) đồng dư; tương đẳng\n[02= congruent numbers] số đồng dư\n[02= congruent transformation] phép biến đổi tương đẳng
congruently	- xem [03congruent] 
congruity [01/kɔɳ'gru:iti/]	như [03congruence]
congruous [01/'kɔηgruəs/]	[01* ttừ]\n- phù hợp, thích hợp, hợp với, khớp với
congruously	- xem [03congruous] 
congruousness [01/'kɔηgruəsnis/]	[01* dtừ]\n- tính phù hợp, tính thích hợp,
conic [01/'kɔnik/]	[01* ttừ]\n- (thuộc) hình nón, (thuộc) mặt nón
conical [01/'kɔnikəl/]	[01* ttừ]\n- hình nón\n[02= conical hat] cái nón\n[02= conical surface] mặt nón
conical helix	- (kỹ) đường xoắn ốc hình nón
conical horn	- (kỹ) ống loa nón
conical projection	- (kỹ) chiếu (theo hình) nón
conical scan	- (kỹ) quét hình chóp
conical scanning	- (kỹ) quét hình nón
conical waveguide	- (kỹ) ống dẫn sóng hình nón
conicalness [01/'kɔnikəlnis/]	[01* dtừ]\n- tính chất cônic
conicity [01/'kɔniciti/]	[01* dtừ]\n- tính chất nón
conicograp	- compa cônic
conicoid	- cônicoit (mặt bậc hai không suy biến) 
conidial [01/kə'nidiəl/]	[01* ttừ]\n- (thực vật) thuộc bào tử đính; hạt đính
conidiophore [01/kə'nidiə,fɔ:/]	[01* dtừ]\n- (thực vật) cuống bào tử đính; cuống hạt đính
conidium [01/kou'nidiəm/]	[01* dtừ] s/n [02conidia]\n- (thực vật) bào tử đính; hạt đính
conifer [01/'kounifə/]	[01* dtừ]\n- (thực vật) cây loại tùng bách
coniferous [01/kou'nifərəs/]	[01* ttừ]\n- (thực vật) có quả nón; (thuộc) loại tùng bách
coniform [01/'kounifɔ:m/]	[01* ttừ]\n- hình nón
conjecturable [01/kən'dʒekt∫ərəbl/]	[01* ttừ]\n- có thể đoán, có thể phỏng đoán, có thể ước đoán
conjecturably	- xem [03conjecture] 
conjectural [01/kən'dʒekt∫ərəl/]	[01* ttừ]\n- phỏng đoán, ước đoán, thích phỏng đoán
conjecturally	- xem [03conjectural] 
conjecture [01/kən'dʒekt∫ə/]	[01* dtừ]\n- sự phỏng đoán, sự ước đoán\n[02= to be right in a conjecture] phỏng đoán đúng\n- cách lần đọc (câu, đoạn trong một bản viết tay cổ)\n[01* đtừ]\n- đoán, phỏng đoán, ước đoán\n- đưa ra một cách lần đọc (câu, đoạn trong một bản viết tay cổ) 
conjecturer	như [03conjecturably]
conjoin [01/kən'dʒɔin/]	[01* đtừ]\n- kết giao, kết hợp, liên hiệp; nối, chắp lại\n[02= to conjoin two piece] nối hai mảnh\n[02= two families conjoin] hai nhà kết giao với nhau về hôn nhân, hai nhà thông gia với nhau
conjoiner	- xem [03conjoin] 
conjoint [01/kən'dʒɔint/]	[01* ttừ]\n- nối, tiếp, chắp, ghép; hợp lại, liên kết, kết hợp\n[02= conjoint action] hành động kết hợp
conjointly [01/kən'dʒɔintli/]	[01* phtừ]\n- liên kết
conjugal [01/'kɔndʒʊgl/]	[01* ttừ]\n- (thuộc) vợ chồng\n[02= conjugal happines] hạnh phúc vợ chồng\n[02= conjugal life] đời sống vợ chồng
conjugal rights [01/'kɔndʒugəl'raits/]	[01* dtừ]\n- các quyền hôn nhần (vợ chồng ở chung với nhau, giúp đỡ nhau, có quan hệ tình dục với nhau) 
conjugality	- xem [03conjugal] 
conjugally [01/'kɔndʒugəli/]	[01* phtừ]\n- về phương diện hôn nhân
conjugant [01/'kɔndʒugənt/]	[01* dtừ]\n- (sinh học) thể tổng hợp
conjugate [01/'kɔndʒugit/]	[01* ttừ]\n- kết hợp, ghép đôi (vật)\n- (ngôn) cùng gốc (từ)\n- (toán) liên hợp\n[02= conjugate groups] nhóm liên hợp\n- (sinh vật) tiếp hợp\n[01* dtừ]\n- (ngôn) từ cùng gốc\n- (toán) trục liên hợp; đường kính liên hợp;; số liên hợp\n[01* ngđtừ]\n- (ngôn) chia động từ\n[01* nđtừ]\n- giao hợp\n- (sinh vật) tiếp hợp
conjugate attenuation coefficient	- (kỹ) hệ số suy giảm liên hợp
conjugate attenuation constant	- (kỹ) hằng số suy giảm liên hợp
conjugate branch	- (kỹ) nhánh liên hợp
conjugate complex number	- (kỹ) số tạp liên hợp
conjugate impedance	- (kỹ) trở kháng liên hợp
conjugate phase change coefficient	như [03conjugate phase change constant]
conjugate phase change constant	- (kỹ) hệ số lệch vị tướng liên hợp
conjugate transfer coefficient	như [03conjugate transfer constant]
conjugate transfer constant	- (kỹ) hệ số truyền liên hợp
conjugated	- (kỹ) được liên hợp
conjugately	như [03conjugator]
conjugation [01/,kɔndʒu'gei∫n/]	[01* dtừ]\n- sự kết hợp\n- (ngôn) sự chia động từ\n- (sinh vật) sự tiếp hợp
conjugational	như [03conjugationally]
conjugationally	- xem [03conjugation] 
conjugative	như [03conjugator]
conjugator	- xem [03conjugate] 
conjugecy	- tính liên hợp
conjunct [01/kən'dʒʌηkt/]	[01* dtừ]\n- người chung vốn (với người khác) ; người liên kết (với người khác\n- vật liên kết (với vật khác) 
conjunction [01/kən'dʒʌηk∫n/]	[01* dtừ]\n- sự liên kết, sự kết hợp, sự tiếp hợp\n- cơ hội trùng hợp; sự kiện kết hợp\n- (ngôn) liên từ\n- (thiên văn) sự giao hội (hành tinh)\n[04! in conjunction with]\n- cùng chung, chung với (ai) 
conjunction gate = OR-gate	- (kỹ) cổng hội
conjunctional [01/kən'dʒʌηk∫ənl/]	[01* ttừ]\n- liên kết, kết hợp
conjunctionally	- xem [03conjunction] 
conjunctiva [01/,kəndʒʌηk'taivə/]	[01* dtừ]\n- (phẫu) màng kết
conjunctival	- xem [03conjunctiva] 
conjunctive [01/kən'dʒʌηk'taivə/]	[01* ttừ]\n- để nối tiếp, để liên kết, để tiếp hợp\n[02= conjunctive tistue] (sinh vật) mô liên kết\n- (ngôn) có tính chất liên từ
conjunctive search	- (kỹ) tìm kiếm hội
conjunctively	- xem [03conjunctive] 
conjunctivitis [01/kən,dʒʌηkti'vaitis/]	[01* dtừ]\n- (y) viêm màng kết
conjunctly	- xem [03conjunct] 
conjuncture [01/kən'dʒʌηkt∫ə/]	[01* dtừ]\n- tình thế, cảnh ngộ
conjuration [01/,kɔndʒuə'rei∫n/]	[01* dtừ]\n- sự phù phép\n- lời khấn, lời tụng niệm\n- lời kêu gọi trịnh trọng; lời cầu khẩn
conjure [01/'kʌndʒə/]	[01* đtừ]\n- làm trò ảo thuật\n[02= to conjure a rabbit out of an hat] làm trò ảo thuật cho một con thỏ chui từ cái mũ ra\n- làm phép phù thuỷ\n- gọi hồn, làm hiện hồn\n[02= to conjure up the spirits of the dead] gọi hồn người chết\n- gợi lên\n[02= to conjure up visions of the past] gợi lên những hình ảnh của quá khứ\n- trịnh trọng kêu gọi\n[04! conjure man]\n- (Mỹ) lão phù thuỷ\n[04! conjure woman]\n- (Mỹ) mụ phù thuỷ\n[04! a name of conjure with]\n- người có thế lực lớn, người có nhiều ảnh hưởng
conjurer [01/'kʌndʒərə/]	[01* dtừ]\n- người làm trò ảo thuật\n- thầy phù thuỷ, pháp sư\n- người thông minh khác thường; người rất khéo; người có tài cán\n[02= he is no conjurer] nó chẳng có tài cán gì
conjuring [01/'kʌndʒəriη/]	[01* dtừ]\n- trò ảo thuật\n[02= what clever conjuring!] trò ảo thuật mới khéo làm sao!\n- phép phù thuỷ
conjuror [01/'kʌndʤərə/]	như [03conjurer]
conjury [01/kən'dʒuri/]	[01* dtừ]\n- yêu thuật
conk [01/kɔηk/]	[01* dtừ]\n- (lóng) mũi\n[01* nđtừ]\n- (tục)((thường) +[02out])\n- hỏng, long ra (máy móc)\n- chết
conker [01/'kɔηkə(r) /]	[01* dtừ]\n- cây dẻ ngựa
conkers [01/'kɔηkəz/]	[01* dtừ s/n]\n- trò chơi chọi sâu hạt
conky [01/'kɔηki/]	[01* ttừ]\n- (có) mũi to (người)\n[01* dtừ]\n- người mũi to
conn [01/kɔn/]	[01* ngđtừ]\n- (Mỹ) điều khiễn, lái (con tàu)((cũng) [03con] ) 
connascence [01/kə'næsəns/]	[01* dtừ]\n- con cùng sinh; vật cùng sinh
connascent [01/kə'næsənt/]	[01* ttừ]\n- sinh cùng lúc
connate [01/'kɔneit/]	[01* ttừ]\n- bẩm sinh\n- cùng sinh ra, sinh đồng thời\n- (sinh vật) hợp sinh
connately	- xem [03connate] 
connateness	như [03connately]
connatural [01/kə'næ∫ərəl/]	[01* ttừ]\n- tự nhiên; hồn nhiên\n- bẩm sinh (+ to)\n- cùng loại; cùng bản chất
connect [01/kə'nekt/]	[01* ngđtừ]\n- nối, nối lại, chấp nối\n[02= to connect one thing to (with) number] nối vật này với vật khác\n- liên hệ (trong ý nghĩ)\n- làm cho có mạch lạc\n- (thường), dạng bị động kết liên, kết thân, kết giao; có quan hệ với, có họ hàng với\n[02= to be connected with a family] kết thân với một gia đình, thông gia với một gia đình\n[01* nđtừ]\n- nối nhau, nối tiếp nhau\n[02= the two trains connect at Y] hai chuyến xe lửa tiếp vận ở ga Y
connect node	- (kỹ) nút nối, điểm liên kết
connectable	- xem [03connect] 
connected [01/kə'nektid/]	[01* ttừ]\n- mạch lạc (bài nói, lý luận...)\n- có quan hệ vơi, có họ hàng với\n[02= well connected] có họ hàng thân thuộc với những người chức trọng quyền cao\n- (toán) liên thông\n[02= connected space] không gian liên thông với nhau
connected graph	- (kỹ) đồ thị nối
connectedly	- xem [03connected] 
connectedness [01/kə'nektidnis/]	[01* dtừ]\n- sự mạch lạc\n- sự liên hệ, sự liên quan, sự quan hệ
connecter	như [03connectable]
connectible [01/kə'nektəbl/]	[01* ttừ]\n- có thể nối lại với nhau, có thể chấp nối
connecting	- (kỹ) nối
connecting cord	- (kỹ) dây nối
connecting device	- (kỹ) thiết bị nối
connecting gear [01/kə'nektiη,giə/]	[01* dtừ]\n-(ô tô) bộ nối
connecting rod [01/kə'nektiη,rɒd/]	[01* dtừ]\n- thanh nối pit-tông với trục khủyu trong máy
connection [01/kə'nek∫n/]	[01* dtừ]\n- sự liên quan, sự liên lạc, mối quan hệ; sự chấp nối\n[02= to have a connection with] có quan hệ với\n- sự mạch lạc\n[02= there is no connection in his speech] bài nói của anh ta chẳng có mạch lạc gì cả\n- sự giao thiệp, sự kết giao\n[02= to form a connection with someone] giao thiệp với ai\n[02= to break off a connection] tuyệt đường giao thiệp, tuyệt giao\n- bà con, họ hàng, thân thuộc\n[02= he is a connection of mine] anh ta là người bà con của tôi\n- (tôn giáo) phái, giáo phái\n- (thương nghiệp) khách hàng\n[02= shop has a good (wide) connection] cửa hàng đông khách\n- tàu xe chạy nối tiếp (tiếp vận với những tàu xe khác)\n[02= to miss the connection] nhỡ mất chuyến xe chạy nối tiếp\n- vật (để) nối; chỗ nối (hai ống nối với nhau)\n[04! in that connection]\n- về điều đó, liên quan đến điều đó\n[04! in connection with]\n- có quan hệ với, có liên quan với, có dính líu tới\n- chạy nối tiếp với (tàu xe) 
connection diagram	- (kỹ) sơ đồ nối
connection terminal	- (kỹ) thiết bị đầu nối
connection time	- (kỹ) thời gian nối
connectional	- xem [03connection] 
connective [01/kə'nektiv/]	[01* ttừ]\n- để nối, để chấp\n- (toán) ; (sinh vật) liên kết\n[02= connective operation] phép toán liên kết\n[02= connective tissue] mô liên kết\n- (ngôn) nối; liên hợp\n[02= connective word] từ nối\n[02= connective morpheme] hình vị, liên hợp\n[02= connective conjunction] liên từ liên hợp\n[01* dtừ]\n- (ngôn) từ nối (như liên từ, gtừ, đại từ quan hệ) 
connectively	- xem [03connective] 
connectivity	như [03connectively]
connector	- (kỹ) đầu nối dây, đầu kẹp, bộ nối, bộ liên kết
connectted	- liên thông\n- arcwise c. liên thông đường\n- cyclic lly c. liên thông xilic\n- finitely c. liên thông hữu hạn\n- irreducibly c. liên thông không khả quy\n- locally c. liên thông địa phương\n- locally simple c. đơn liên địa phương\n- simple c. đơn liên\n- strongly c. liên thông mạch
conner	- xem [03con] 
connexion [01/kə'nekʃn/]	như [03connection]
conning [01/'kɔniη/]	[01* ttừ]\n- (hàng hải) chỉ huy
conning-tower [01/'kɔniη,tauə/]	[01* dtừ]\n- đài chỉ huy, buồng chỉ huy (ở tàu chiến) 
conniption [01/kə'naivəns/]	[01* dtừ]\n- (Mỹ),(lóng) cơn điên ((thường) [02conniption fit]) 
connivance [01/kə'naivəns/]	[01* dtừ]\n- sự thông đồng, sự đồng loã, sự đồng mưu\n[02= to be in connivance with someone] đồng loã với ai\n- sự nhắm mắt làm ngơ, sự lờ đi; sự bao che ngầm\n[02= it was done with his connivance] việc đó làm được là do có sự che ngầm của hắn
connive [01/kə'naiv/]	[01* ttừ]\n- (sinh vật) thông đồng, đồng loã\n[02= to connive at a crime] đồng loã trong một tội ác\n- nhắm mắt làm ngơ, lờ đi; bao che ngầm\n[02= to connive at an abuse] nhắm mắt làm ngơ trước một sự lạm dụng
connivent [01/kə'naivənt/]	[01* ttừ]\n- (sinh vật) chụm lại, đồng quy\n[02= connivent leaves] lá mọc chụm lại
conniver	- xem [03connive] 
connivery	như [03conniver]
conniving [01/kə'naiviη/]	[01* ttừ]\n- thâm hiểm, quỷ quyệt
connocarpus [01/'kounəka:pəs/]	[01* dtừ]\n- (thực vật) cây quả có hình nón
connoisseur [01/,kɔni'sə:/]	[01* dtừ]\n- người sành sỏi, người thành thạo\n[02= a connoisseur in (of) paintings] người sành sỏi về hoạ
connoisseurship	- xem [03connoisseur] 
connotate [01/'kɔnouteit/]	như [03connote]
connotation [01/,kɔnou'tei∫n/]	[01* dtừ]\n- nghĩa rộng; ý nghĩa (của một từ) 
connotative	- xem [03connotation] 
connotatively	như [03connotative]
connote [01/kə'nout/]	[01* ngđtừ]\n- bao hàm\n[02= the word "tropics" connote heat] từ "vùng nhiệt đới" bao hàm nghĩa nóng bức\n- (tục) có nghĩa là
connubial [01/kə'nju:biəl/]	[01* ttừ]\n- (thuộc) hôn nhân, (thuộc) vợ chồng
connubialism	như [03connubially]
connubiality [01/kə,nju:bi'æliti/]	[01* dtừ]\n- tình trạng vợ chồng; đời sống vợ chồng\n- quyền kết hôn
connubially	- xem [03connubial] 
conoid [01/'kounɔid/]	[01* ttừ]\n- hình nêm, conoit\n[01* dtừ]\n- (toán) hình nêm, conoit
conormal [01/kou'nɔ:məl/]	[01* dtừ]\n- (toán) có pháp tuyến chung
conponemt	- thành phần bộ phận cấu thành\n- c. of force thành phần của lực\n- c. of the edentity thành phần của đơn vị\n- c. of momnet thành phần của mônen\n- c. of rotation thành phần của phép quay\n- c. of a space thành phần liên thông của một không gian\n- c. of variance (thống kê) thành phần phương sai\n- boundary c. thành phần biên\n- control c. thành phần (của hệ thống) điều khiển\n- covariant c. thành phần hiệp biến\n- data handling c. bộ xử lý dữ liệu\n- delay c. thành phần trễ\n- dỉection c. thành phần chỉ phương\n- exetitive c. phần tử chấp hành\n- floating c. (điều khiển học) mắt phiếm định\n- harmonic c. thành phần điều hoà\n- imaginary c. of complex function thành phần ảo của hàm phức\n- isolated c. thành phần cổ lập\n- logical c. (tin) thành phần lôgic\n- logical “and” c. (tin) thành phần lôgic “và”\n- logical “or” c. (tin) thành phần lôgic (“hoặc”, “hay là”)\n- major c.s (tin) các bộ phận cơ bản\n- miniature c.s. (tin) các chi tiết rất bé\n- normal c. of force thành phần pháp tuyến của lực\n- primary c. thành phần nguyên sơ\n- principal c.s(thống kê) các thành phần chính\n- real c. thành phần thực\n- restoring c. bộ phục hồi\n- stable c. (điều khiển học) mắt tĩnh, mắt ổn định\n- transition c. (xác suất) thành phần bước nhảy (trong phương trình của quá trình)\n- unstable c. (điều khiển học) mắt không ổn định\n- variance c.s thành phần phương sai
conquer [01/'kɔηkə/]	[01* ngđtừ]\n- đoạt, xâm chiếm; chiến thắng\n[02= to conquer an enemy] chiến thắng quân thù\n- chinh phục, chế ngự\n[02= to stop to conquer] hạ mình để chinh phục\n[02= to conquer a bad habit] chế ngự được một thói xấu
conquerable [01/'kɔηkərəbl/]	[01* ttừ]\n- có thể bị xâm chiếm\n- có thể chinh phục được, có thể chế ngự được
conquerableness [01/'kɔηkərəblnis/]	[01* dtừ]\n- tính có thể bị xâm chiếm\n- tính có thể chinh phục được, tính có thể chế ngự được
conquerer	- xem [03conquer] 
conquering [01/'kɔηkəriη/]	[01* ttừ]\n- xâm chiếm\n- chinh phục, chế ngự
conquero [01/'kɔɳkərə/]	[01* dtừ]\n- người đi xâm chiếm, người đi chinh phục\n- người chiến thắng
conqueror [01/'kɔηkərə/]	như [03conquero]
conquest [01/'kɔηkwest/]	[01* dtừ]\n- sự xâm chiếm, sự chinh phục\n- đất đai xâm chiếm được\n- người mình đã chinh phục được; người mình đã chiếm đoạt được cảm tình\n[04! to male a conquest of someone]\n- thu phục được cảm tình của ai; thu phục được tình yêu của ai
conquistador [01/kɔn'kwistədɔ:(r) /]	[01* dtừ]\n- người Tây Ban Nha đi xâm chiếm Trung và Nam Mỹ
con-rod [01/'kɔnroud/]	[01* dtừ]\n- (tục) thanh nối (vt) của [03connecting rod] 
Cons	- (vt) Conservative + Đảng Bảo thủ
consanguine [01/kɔn'sæɳgwin/]	như [03consanguineous]
consanguineous [01/,kɔnsæη'gwiniəs/]	[01* ttừ]\n- cùng dòng máu
consanguineously	- xem [03consanguineous] 
consanguineousness [01/,kɔnsæɳ'gwiniəsnis/]	[01* dtừ]\n- quan hệ dòng máu; tình máu mủ
consanguinity [01/,kɔnsæη'gwiniti/]	như [03consanguineousness]
conscience [01/'kɔn∫ns/]	[01* dtừ]\n- lương tâm\n[02= bad ([02evil, guiltry]) conscience] lương tâm tốt, lương tâm trong sạch\n[04! a clear consciencee laught at false accusations; a clear conscilence ia s sure card]\n- lương tâm trong sạch thì chẳng sợ ai nói ra nói vào; cây ngay chẳng sợ chết đứng\n[04! conscience clause]\n- điều khoản trong một đạo luật tôn trọng lương tâm những người liên can\n[04! conscience money]\n- tiền nộp vì lương tâm cắn rứt; tiền trả lại vì lương tâm cắn rứt\n[04! for consicience' sake]\n- vì lương tâm\n[04! the freedom (liberty) of conscience]\n- tự do tín ngưỡng\n[04! to get something off one's conscience]\n- giũ sạch điều gì khỏi lương tâm; yên tâm không băn khoăn thắc mắc về điều gì\n[04! to go against one's conscience]\n- làm trái với lương tâm\n[04! a good conscience is a constant feast; a good conscience is a soft pillow]\n- lòng thanh thản ăn ngon ngủ yên\n[04! to have something on one's conscience]\n- có điều gì băn khoăn day dứt trong lương tâm\n[04! to have the conscience to so (say) something]\n- có gan (dám) làm (nói) cái gì\n[04! in all conscience]\n- (tục) chắc chắn; thành thật, hết lòng\n[04! to make something a matter of conscience]\n- coi cái gì là có bổn phận phải làm\n[04! the pricks (twinges, qualms, worm) of conscience]\n- xem [02prick (twinge, qualm, worm)]\n[04! to speak (tell) one's conscience]\n- nói thẳng, nói hết những ý nghĩ của mình không giấu giếm gì cả
conscience money	- món tiền trả cho nhẹ lòng (cho đỡ day dứt vì đáng ra phải trả
conscienceless [01/'kɔn∫nslis/]	[01* ttừ]\n- vô lương tâm, vô liêm sỉ, táng tận lương tâm
conscience-smitten	[01* ttừ]\n- bị lương tâm cắn rứt
conscience-stricken [01/'kɔn∫nsstrikən/]	[01* ttừ]\n- day dứt, đầy hối hận
conscience-struck [01/'kɔnʃnsstrʌk/]	[01* ttừ]\n- bị lương tâm cắn rứt, ăn năn hối hận
conscientious [01/,kɔn∫i'en∫əs/]	[01* ttừ]\n- có lương tâm, tận tâm, chu đáo, tỉ mỉ, cẩn thận, cơ chỉ\n[02= a conscientious worker] người công nhân tận tâm\n[02= a conscientious piece of work] một công việc làm chu đáo\n[04! conscientious objector]\n- người từ chối nhập ngũ vì lương tâm thấy không đúng
conscientious objector	- người phản đối quân ngũ (vì thấy trái với đạo lý) 
conscientiously [01/,kɔnsi'en∫əsli/]	[01* phtừ]\n- chu toàn, tận tình
conscientiousness [01/,kɔn∫i'en∫əsnis/]	[01* dtừ]\n- sự tận tâm; sự làm theo lương tâm; sự ngay thẳng
conscious [01/'kɔn∫əs/]	[01* ttừ]\n- biết rõ, thấy rõ, tỉnh, tỉnh táo, có ý thức\n[02= to be conscious of one's guilt] biết (rõ) tội của mình\n[02= to become conscious] tỉnh lại, hồi lại\n[02= the old man was conscious to the last] đến phút cuối cùng ông cụ vẫn còn tỉnh\n[02= man is a conscious animal] người là một động vật có ý thức
consciously [01/'kɔn∫əsli/]	[01* phtừ]\n- có ý thức, cố ý
consciousness [01/'kɔn∫əsnis/]	[01* dtừ]\n- sự hiểu biết\n[02= men have no consciousness during sleep] trong lúc ngủ người ta không (hiểu) biết gì cả\n- ý thức
conscribable [01/kən'skraibəbl/]	[01* ttừ]\n- có thể bắt đi lính
conscribe [01/kən'skraib/]	[01* ngđtừ]\n- (hiếm)(như) [03conscript] 
conscript [01/'kɔnskript/]	[01* dtừ]\n- người đến tuổi đi lính\n[01* ngđtừ]\n- bắt đi lính
conscription [01/kən'skrip∫n/]	[01* dtừ]\n- chế độ cưỡng bách tòng quân; sự cưỡng bách tòng quân\n[04! conscription of wealth]\n- đảm phụ chiến tranh (sự đánh tăng thuế hay tịch thu tài sản của những người không thuộc diện đi lính để phục vụ cho chiến tranh) 
consecrate [01/'kɔnsikrit - 'kɔnsikreit/]	[01* ttừ]\n- được cúng, được đem dâng (cho ai)\n- được phong thánh; thánh hoá\n[01* ngđtừ]\n- hiến dâng\n[02= to consecrate one's life to the service of the country] hiến dâng đời mình cho đất nước\n- (tôn giáo) cúng\n- (tôn giáo) tôn phong (giám mục)\n- (tôn giáo) phong thánh; thánh hoá
consecration [01/,kɔnsi'krei∫n/]	[01* dtừ]\n- sự hiến dâng\n- (tôn giáo) sự cúng tế\n- (tôn giáo) lễ tôn phong (giám mục)\n- (tôn giáo) sự phong thánh; sự thánh hoá
