intercepter [01/,intə'septə/]	như [03interceptor]
intercity [01/,intə'siti/]	[01* ttừ]\n- giữa các thành phố với nhau, liên tỉnh
interclass [01/,intə'klɑ:s/]	[01* ttừ]\n- giữa các loại; giữa các lớp\n- giữa các giai cấp
interclavicle [01/,intə'klævikl/]	[01* dtừ]\n- xương ở giũa xương ngực và xương đòn
interclavicular [01/,intəklə'vikjulə/]	[01* ttừ]\n- thuộc xương ở giữa xương ngực và xương đòn
intercollege [01/,intə'kɔlidʤ/]	[01* ttừ]\n- giữa các đại học\n- (thuộc) nhiều đại học
intercolonial [01/,intəkə'lounjəl/]	[01* ttừ]\n- giữa các thuộc địa\n- (thuộc) nhiều thuộc địa
intercolumniation [01/'intə,kɔləmni'ei∫n/]	[01* dtừ]\n- (kiến trúc) sự dựng cột cách quãng\n- quãng cách giữa hai cột
intercom [01/'intəkɔm/]	[01* dtừ]\n- (tục) hệ thống liên lạc giữa hai bộ phận\n- (hàng không) hệ thống liên lạc giữa người lái và người thả bom (trên máy bay ném bom) 
intercommunicability [01/'intəkə,mju:nikə'biliti/]	[01* dtừ]\n- sự có liên lạc với nhau, sự có đường thông với nhau
intercommunicable [01/,intəkə'mju:nikəbl/]	[01* ttừ]\n- có thể có liên lạc với nhau, có thể có đường thông với nhau
intercommunicate [01/,intəkə'mju:nikeit/]	[01* nđtừ]\n- có liên lạc với nhau, có đường thông với nhau\n[01* ngđtừ]\n- trao đổi (điện tín...) với nhau
intercommunication [01/'intəkə,mju:ni'kei∫n/]	như [03intercommunicability]
intercommunication system [01/'intəkə,mju:ni'kei∫n'sistim/]	[01* dtừ]\n- hệ thống truyền tin nội bộ bằng loa
intercommunicative [01/,intəkə'mju:nikətiv/]	[01* ttừ]\n- để liên lạc với nhau, để có đường thông với nhau
intercommunion [01/,intəkə'mju:njən/]	[01* dtừ]\n- quan hệ mật thiết với nhau\n- sự thông cảm với nhau; sự liên kết với nhau\n- sự ảnh hưởng lẫn nhau
intercommunity [01/,intəkə'mju:niti/]	[01* dtừ]\n- sự dùng chung; quyền sở hữu chung; sự tham gia chung\n- tính chất là cái chung (cho nhiều người...) 
interconfessional [01/,intəkən'fe∫ənl/]	[01* ttừ]\n- giữa các nhà thờ
interconnect [01/,intəkə'nekt/]	[01* ngđtừ]\n- nối liền với nhau
interconnectable	- xem [03interconnect] 
interconnected [01/,intəkə'nektid/]	[01* ttừ]\n- nối liền với nhau; liên kết
interconnectedness [01/,intəkə'nektidnis/]	[01* dtừ]\n- tình trạng nối liền với nhau; tính chất nối liền với nhau; tính chất liên kết\n[02= the interconnectedness of the socialist countries] tính chất liên kết của các nước xã hội chủ nghĩa
interconnectible	như [03interconnectable]
interconnecting [01/,intəkə'nektiη/]	[01* ttừ]\n- nối liền, liên kết
interconnection [01/,intəkə'nek∫n/]	[01* dtừ]\n- quan hệ nối liền với nhau
intercontinental [01/'intə,kɔnti'nentl/]	[01* ttừ]\n- (thuộc) các đại châu; giữa các đại châu\n[02= intercontinental ballistic missile] ((vt) I.C.B.M) tên lửa xuyên đại châu
interconversion [01/,intəkən'və:∫n/]	[01* dtừ]\n- sự chuyển đổi qua lại (cái nọ thành cái kia) 
interconvert [01/,intəkən'və:t/]	[01* ngđtừ]\n- chuyển đổi qua lại\n- thay đổi lẫn nhau
interconvertibility [01/'intəkən,və:tə'biliti/]	[01* dtừ]\n- tính có thể chuyển đổi qua lại\n- tính có thể thay đổi lẫn nhau
interconvertible [01/,intəkən'və:təbl/]	[01* ttừ]\n- có thể chuyển đổi qua lại\n- có thể thay đổi lẫn nhau
intercorrelation	- (thống kê) tương quan giữa các phần tử (của một tập hợp) 
intercostal [01/,intə'kɔstl/]	[01* ttừ]\n- (phẫu) ở giữa các xương sườn, gian sườn
intercourse [01/'intəkɔ:s/]	[01* dtừ]\n- sự giao thiệp, sự giao dịch, sự giao hữu\n- sự trao đổi ý nghĩ, sự trau đổi tình cảm\n- sự ăn nằm với nhau, sự giao cấu
intercrop [01/'intəkrɔp/]	[01* dtừ]\n- vụ trồng xen
intercross [01/'intəkrɔs/]	[01* đtừ]\n- trồng xen\n[01* dtừ s/n]\n- sự giao phối, sự lai giống\n- vật lai\n[01* ngđtừ]\n- đặt chéo nhau; cắt chéo nhau (phố...)\n- (sinh vật) cho giao phối (giữa các giống khác nhau)\n[01* nđtừ]\n- chéo nhau\n- (sinh vật) giao phối (giữa các giống khác nhau) 
intercrystalline [01/,intə'kristl,ien/]	[01* ttừ]\n- xảy ra giữa những tinh thể
intercurrence [01/,intə'kʌrəns/]	[01* dtừ]\n- sự xen vào (sự việc)\n- (y) sự mắc bệnh gian phát\n- sự xảy đi xảy lại
intercurrent [01/,intə'kʌrənt/]	[01* ttừ]\n- xen\n- (y) gian phát\n- xảy đi xảy lại
intercut [01/'intəkʌt/]	[01* dtừ]\n- (điện ảnh) đoạn phim có cảnh xen(,intə'kʌt)\n[01* đtừ]\n- (điện ảnh) xen cảnh
interdeducible	- (logic học) suy lẫn nhau
interdenominal [01/'intə,nɔminl/]	như [03interchurch]
interdenominational [01/'intədi,nɔmi'nei∫ənl/]	[01* ttừ]\n- (tôn giáo) chung cho các giáo phái khác nhau
interdental [01/,intə'dentl/]	[01* ttừ]\n- ở khe răng\n- (ngôn) khe răng (âm) 
interdepartmental [01/'intə,dipɑ:t'mentl/]	[01* ttừ]\n- liên vụ; liên bộ
interdepartmentally [01/'intə,dipɑ:t'mentəli/]	[01* phtừ]\n- liên vụ, liên bộ
interdependence [01/,intədi'pendəns/]	[01* dtừ]\n- sự phụ thuộc lẫn nhau
interdependency [01/,intədi'pendənsi/]	như [03interdependence]
interdependent [01/,intədi'pendənt/]	[01* ttừ]\n- phụ thuộc lẫn nhau
interdependently [01/,intədi'pendəntli/]	[01* phtừ]\n- phụ thuộc lẫn nhau, tương thức
interdependnece	- sự liên quan với nhau, phụ thuộc nhau
interdict [01/'intədikt/]	[01* dtừ]\n- sự cấm, sự cấm chỉ\n- (tôn giáo) sự khai trừ, sự huyền chức\n[01* đtừ]\n- cấm, cấm chỉ\n- (tôn giáo) khai trừ, huyền chức\n- (Mỹ),(qsự) ngăn chặn (tiếp tế...) bằng cách bắn phá đường giao thông
interdiction [01/,intə'dik∫n/]	[01* dtừ]\n- sự cấm chỉ, sự bị cấm\n- (tôn giáo) sự khai trừ, sự huyền chức\n- (Mỹ),(qsự) sự ngăn chặn (tiếp tế...) bằng cách bắn phá đường giao thông
interdictive	- xem [03interdict] 
interdictively	như [03interdictive]
interdictor	như [03interdictive]
interdictory [01/,intə'diktəri/]	[01* ttừ]\n- (thuộc) sự cấm chỉ\n- (thuộc) sự khai trừ, (thuộc) sự huyền chức\n- (thuộc) sự ngăn chặn (tiếp tế...) bằng cách bắn phá đường giao thông
interdiffuse [01/,intədi'fju:z/]	[01* nđtừ]\n- toả rộng và hoà lẫn
interdiffusion [01/,intədi'fju:ʒn/]	[01* dtừ]\n- sự toả rộng và hoà lẫn
interdigitate [01/,intə'didʒiteit/]	[01* nđtừ]\n- đan vào nhau như những ngón tay
interdigitation [01/,intə,didʒi'tei∫n/]	[01* dtừ]\n- sự đan vào nhau như những ngón tay
interdisciplinary [01/,intə'disiplinəri/]	[01* ttừ]\n- gồm nhiều ngành học thuật\n[02= an interdisciplinary seminar] một cuộc hội nghị chuyên đề gồm nhiều ngành học thuật
interest [01/'intrəst/]	[01* dtừ]\n- sự quan tâm, sự chú ý; điều quan tâm, điều chú ý\n[02= a question of great interest] một vấn đề đáng chú ý\n- sự thích thú; điều thích thú\n- tầm quan trọng\n[02= a matter of great interest] một việc quan trọng\n- quyền lợi; lợi ích, ích kỷ\n[02= to do something in (to) somebody's interest (s)] làm gì vì lợi ích của ai\n- lợi tức, tiền lãi\n- tập thể cùng chung một quyền lợi\n[02= the steel interest] nhóm tư bản thép\n[04! to make interest with somebody]\n- dùng lợi ích cá nhân làm áp lực với ai\n[01* ngđtừ]\n- làm cho quan tâm, làm cho chú ý, làm cho thích thú\n- liên quan đến, dính dáng đến\n[02= the fight against aggression interests all peoples] sự đấu tranh chống xâm lược liên quan đến mọi dân tộc\n- làm tham gia\n[02= to interest a finacier in an undertaking] làm cho một nhà tư bản tài chính tham gia một cuộc kinh doanh
interest group [01/'intrist, gru:p/]	[01* dtừ]\n- nhóm có chung lợi ích
interested [01/'intristid/]	[01* ttừ]\n- có quan tâm, thích thú, có chú ý\n[02= an interested spectator] một khán giả chăm chú\n- có lợi ích riêng; có liên quan, có dính dáng; có cổ phần, có vốn đầu tư\n- không vô tư, cầu lợi\n[02= an interested aid] sự viện trợ không vô tư
interestedly	- xem [03interested] 
interestedness [01/'intristidnis/]	[01* dtừ]\n- sự có lợi ích riêng; sự có liên quan, sự có dính dáng; sự có cổ phần, sự có vốn đầu tư\n- sự không vô tư, sự cầu lợi
interesting [01/'intristiη/]	[01* ttừ]\n- làm quan tâm, làm chú ý\n[02= an interesting film] một bộ phim thú vị\n[04! to be in an interresting condition]\n- có thai, có mang
interestingly [01/'intristiηli/]	[01* phtừ]\n- thú vị, hấp dẫn
interestingness [01/'intristiηnis/]	[01* dtừ]\n- sự làm quan tâm, sự làm chú ý; tính chất chú ý
interface [01/'intəfeis/]	[01* dtừ]\n- bề mặt chung (cho hai vật...) ; mặt phân giới\n- những cái chung (của hai ngành học thuật...)\n[02= the interface of chemistry and physics] những cái chung của hoá học và vật lý
interfacial [01/,intə'fei∫əl/]	[01* ttừ]\n- xen giữa hai bề mặt\n- (thuộc) bề mặt chung (của hai vật...) ; (thuộc) mặt phân giới\n- chung (cho hai ngành học thuật...) 
interfacing [01/'intə,feisiη/]	[01* dtừ]\n- mảnh cứng khâu giữa hai lớp vải (trong ve áo, cổ áo) 
interfaith [01/,intə'feiθ/]	[01* ttừ]\n- gồm những người có tín ngưỡng khác nhau
interfere [01/,intə'fiə/]	[01* nđtừ]\n- ((thường) + [02with])\n- gây trở ngại, quấy rầy\n[02= these goings and coming interfere with the work] sự đi đi lại lại đó gây trở ngại cho công việc\n[02= don't interfere with me!] đừng có quấy rầy tôi!\n- can thiệp, xen vào, dính vào\n[02= to interfere in somebody's affairs] can thiệp vào việc của ai\n- (lý) giao thoa\n- (raddiô) nhiễu\n- đá chân nọ vào chân kia (ngựa)\n- (thể thao) chặn trái phép; cản đối phương cho đồng đội dắt bóng lên\n- chạm vào nhau, đụng vào nhau; đối lập với nhau\n- (Mỹ) xin được quyền ưu tiên đăng ký một phát minh (khi có nhiều người cùng xin) 
interference [01/,intə'fiərəns/]	[01* dtừ]\n- sự gây trở ngại, sự quấy rầy; điều gây trở ngại\n- sự can thiệp, sự xen vào, sự dính vào\n- (lý) sự giao thoa\n- (raddiô) sự nhiễu\n- sự đá chân nọ vào chân kia (ngựa)\n- (thể thao) sự chặn trái phép; sự cản đối phương cho đồng đội dắt bóng lên; sự phạt việc chặn trái phép\n- sự chạm vào nhau, sự đụng vào nhau; sự đối lập với nhau
interferential [01/,intəfiə'rensəl/]	[01* ttừ]\n- (lý) giao thoa
interferer	- xem [03interfere] 
interfering [01/,intə'fiəriη/]	[01* ttừ]\n- hay quấy rầy, hay gây phiền phức
interferingly	như [03interferer]
interferogram [01/,intə'fiərəgræm/]	[01* dtừ]\n- (lý) cái ghi giao thoa
interferometer [01/,intəfiə'rɔmitə/]	[01* dtừ]\n- (lý) cái đo giao thoa
interferometric	như [03interferometry]
interferometrically	như [03interferometry]
interferometry	- xem [03interferometer] 
interferon [01/,intə'fiərən/]	[01* dtừ]\n- loại prôtêin do tế bào cơ thể sinh ra khi bị vírut tấn công, nhằm ngăn không cho virut phát triển
interfertile	[01* ttừ]\n- có khả năng lai giống
interfile [01/,intə'fail/]	[01* ngđtừ]\n- sắp xếp phối hợp vào một hệ thống
interflow [01/,intə'flou/]	[01* dtừ]\n- sự chảy vào nhau, sự hoà lẫn với nhau\n[01* nđtừ]\n- chảy vào nhau, hoà lẫn với nhau
interfluent [01/,intə'fluənt/]	[01* ttừ]\n- chảy vào nhau, hoà lẫn với nhau
interfold [01/,intə'fould/]	[01* ngđtừ]\n- xếp vào với nhau
interfoliaceous [01/'intə,fouli'ei∫əs/]	[01* ttừ]\n- (thực vật) giữa hai lá, gian lá
interfoliar [01/,intə'fouliə/]	như [03interfoliaceous]
interfuse [01/,intə'fju:z/]	[01* ngđtừ]\n- truyền cho, đổ sang, rót sang\n- trộn, trộn lẫn, hoà lẫn\n[01* nđtừ]\n- trộn lẫn với nhau, hoà lẫn với nhau
interfusion [01/,intə'fju:ʒn/]	[01* dtừ]\n- sự truyền cho, sự đổ sang, sự rót sang\n- sự trộn, sự trộn lẫn, sự hoà lẫn
intergalactic [01/,intəgə'læktik/]	[01* ttừ]\n- ở giữa những thiên hà
intergenerational [01/,intədʒenə'rei∫(ə) nl/]	[01* ttừ]\n- xảy ra hoặc tồn tại giữa hai hoặc nhiều thế hệ
intergenic [01/,intə'dʒenik/]	[01* ttừ]\n- gồm hai gen hoặc những hoạt động của nó
interglacial [01/,intə'gleisjəl/]	[01* ttừ]\n- (địa lý,địa chất) gian băng
intergovernmental [01/,intə,gʌvən'ment(ə) l/]	[01* ttừ]\n- tồn tại hoặc xảy ra giữa hai hoặc nhiều chính phủ
intergradation	- xem [03intergrade] 
intergrade [01/'intəgreid/]	[01* dtừ]\n- (sinh vật) dạng quá độ
intergranular [01/,intə'grænjulə/]	[01* ttừ]\n- giữa các hạt (tinh thể) 
intergroup [01/,intə'gru:p/]	[01* ttừ]\n- giữa các nhóm
intergrowth [01/,intə'grouθ/]	[01* dtừ]\n- sự mọc lẫn với nhau, sự mọc lẫn vào nhau
interhemispheric [01/'intə,hemi'sferik/]	[01* ttừ]\n- giữa các bán cầu (trái đất) 
interim [01/'intərim/]	[01* ttừ]\n- quá độ\n- tạm quyền, lâm thời\n[02= an interim government] chính phủ tạm quyền\n[01* phtừ]\n- (cổ) trong lúc đó\n[01* dtừ]\n- thời gian quá độ\n- sự giàn xếp tạm thời
interionic [01/,intəai'ɔnik/]	[01* ttừ]\n- gian ion
interior [01/in'tiəriə/]	[01* ttừ]\n- ở trong, ở phía trong\n- nằm xa trong đất liền, ở nội địa\n- nội, nội bộ, trong nước\n- nội tâm, riêng tư\n[02= the interior life] cuộc sống nội tâm\n[01* dtừ]\n- phần trong, phía trong (phòng, nhà...)\n- đất liền nằm sâu vào trong (một nước...), nội địa\n- công việc trong nước, nội vụ\n[02= Ministry of the Interior] Bộ nội vụ\n- tâm hồn, nội tâm
interior decoration [01/in'tiəriə,dekə'rei∫n/]	như [03interior design]
interior decorator [01/in'tiəriə'dekəreitə/]	như [03interior designer]
interior design [01/in'tiəriədi'zain/]	[01* dtừ]\n- nghệ thuật trang trí trong nhà\n- vật liệu trang trí trong nhà
interior designer [01/in'tiəriədi'zainə/]	[01* dtừ]\n- người trang trí trong nhà
interior drainage [01/in'tiəriə'dreinidʒ/]	[01* dtừ]\n- hệ thống cống rânh nội địa (không chảy ra biển, tháo bằng phương pháp cho bốc hơi) 
interior monologue [01/in'tiəriə'mɔnə,lɔg/]	[01* dtừ]\n- độc thoại nội tầm
interiority [01/in,tiəri'ɔriti/]	[01* dtừ]\n- tính chất ở trong\n- tính chất nội bộ
interiorize [01/in'tiəriə,raiz/]	[01* ngđtừ]\n- tạo thành cái phần bên trong, tạo thành một phần trong bản thân con người mình
interiorly	- xem [03interior] 
interior-sprung [01/in'tiəriə'sprʌη/]	[01* ttừ]\n- có lò xo ở bên trong\n[02= interior-sprung mattress] đệm lò xo
interisland [01/,intər'ailənd/]	[01* ttừ]\n- giữa các đảo
interjacent [01/,intə'dʒeisnt/]	[01* ttừ]\n- nằm giữa, xen vào giữa
interjaculatory [01/,intə'dʒækjulətəri/]	[01* ttừ]\n- thốt ra và xen vào
interject [01/,intə'dʒekt/]	[01* ngđtừ]\n- bỗng xen vào (lời nhận xét...)\n[02= to interject a question] bỗng hỏi xen vào\n- nhận xét, xen vào
interjection [01/,intə'dʒek∫n/]	[01* dtừ]\n- sự nói xen vào; lời nói xen vào\n- (ngôn) thán từ
interjectional [01/,intə'dʒek∫ənl/]	[01* ttừ]\n- (thuộc) sự nói xen vào; (thuộc) lời nói xen vào\n- (ngôn)(thuộc) thán từ
interjectionalise [01/,intə'dʒek∫ənəlaiz/]	như [03interjectionalize]
interjectionalize [01/,intə'dʒek∫ənəlaiz/]	[01* ngđtừ]\n- biến thành lời nói xen vào\n- (ngôn) biến thành thán từ
interjectionally	- xem [03interjection] 
interjector [01/,intə'dʒektə/]	[01* dtừ]\n- người nói xen vào
interjectory [01/,intə'dʒektəri/]	[01* ttừ]\n- (thuộc) sự xen vào, (thuộc) lời nói xen vào; có tính chất là lời xen vào\n- xen vào
interjoin [01/,intə'dʒɔin/]	[01* ngđtừ]\n- nối vào nhau
interknit [01/,intə'nit/]	[01* ngđtừ]\n- đan vào nhau, bện vào nhau
interknot [01/,intə'nɔt/]	[01* ngđtừ]\n- buộc vào nhau
interlace [01/,intə'leis/]	[01* ngđtừ]\n- kết lại với nhau, bện lại, xoắn lại, ken lại\n- (bóng) kết hợp chặt chẽ với nhau, ràng buộc với nhau\n- trộn lẫn với nhau\n[01* nđtừ]\n- bện chéo vào nhau
interlacement [01/,intə'leismənt/]	[01* dtừ]\n- sự kết lại với nhau, sự bện lại, sự xoắn lại, sự ken lại\n- (bóng) sự kết hợp chặt chẽ với nhau, sự ràng buộc với nhau\n- sự trộn lẫn với nhau
interlaid [01/,intə'leid/]	[01* ngđtừ interlaid]\n- đặt xen, dát xen
interlaminate [01/,intə'læmineit/]	[01* ngđtừ]\n- đặt giữa các phiến, xếp xen kẽ giữa các bản
interlamination [01/'intə,læmi'nei∫n/]	[01* dtừ]\n- sự đặt giữa các phiến, sự xếp xen kẽ giữa các bản
interlanguage [01/,intə'læηgwidʒ/]	[01* dtừ]\n- tiếng quốc tế ((cũng) [03interlingua] ) 
interlap [01/,intə'læp/]	[01* ngđtừ]\n- gối lên nhau, đè lên nhau
interlard [01/,intə'lɑ:d/]	[01* ngđtừ]\n- xen (tiếng nước ngoài, lời nguyền rủa...) vào (văn, lời nói)\n[02= to interlard one's lecture with quotation] nói xen vào trong bài thuyết trình của mình những lời trích dẫn\n- (cổ) để xen lẫn mỡ vào (với thịt để nấu) 
interlardation [01/,intəlɑ:'dei∫n/]	[01* dtừ]\n- sự xen (tiếng nước ngoài, lời nguyển rủa...) vào (văn, lời nói)\n- (cổ) sự để xen lẫn mỡ vào (với thịt để nấu) 
interlardment [01/,intə'lɑ:dmənt/]	như [03interlardation]
interlay [01/,intə'lei/]	như [03interlaid]
interleading [01/,intə'li:diη/]	[01* ttừ]\n- (từ Nam Phi) nối liền; ở sát cạnh
interleaf [01/'intəli:f/]	[01* dtừ]\n- tờ chen (tờ giấy xen vào trong sách, thường là bỏ trống để ghi)\n- lời ghi chép trên tờ giấy chen
interleave [01/,intə'li:v/]	[01* ngđtừ]\n- chen (tờ chen) vào sách
interlibrary [01/,intə'laibrəri/]	[01* ttừ]\n- giữa các thư viện
interline [01/,intə'lain/]	[01* ngđtừ]\n- viết (chữ) xen vào, in xen vào (hàng chữ đã có)\n- may thêm lần lót vào giữa (cho một cái áo)(giữa vỏ ngoài và lần lót đã có) 
interlineal [01/,intə'liniəl/]	[01* ttừ]\n- viết xen vào hàng chữ đã có, in xen vào hàng chữ đã có
interlinear [01/,intə'liniə/]	như [03interlineal]
interlineate [01/,intə'linieit/]	như [03interline]
interlineation [01/'intə,lini'ei∫n/]	[01* dtừ]\n- sự viết xen (chữ) vào hàng chữ đã có, sự in xen vào hàng chữ đã có
interlingua [01/,intə'liηgwə/]	[01* dtừ]\n- (như) [03interlanguage]\n- tiếng khoa học quốc tế
interlining [01/,intə'lainiη/]	[01* dtừ]\n- lần lót giữa (của áo) 
interlink [01/,intə'liηk/]	[01* dtừ]\n- khâu nối, mấu nối, dây nối\n[01* ngđtừ]\n- nối với nhau
interlock [01/,intə'lɔk/]	[01* dtừ]\n- sự cài vào nhau\n- (kỹ) khoa liên động (tránh cho hai bộ phận máy cùng chạy)\n- (điện ảnh) khoá chuyển (phối hợp máy quay và máy thu tiếng)\n[01* đtừ]\n- cài vào nhau\n- khớp vào nhau (các bộ phận một cái máy)\n- (ngành đường sắt) phối hợp chặt chẽ với nhau (ghi, hệ thống tín hiệu...) 
interlocking directorate [01/,intə'lɔkiηdi'rektərit/]	[01* dtừ]\n- ban quản trị phối hợp (có một hay nhiều thành viên cùng ở trong ban quản trị một công ty khác) 
interlocution [01/,intəlou'kju:∫n/]	[01* dtừ]\n- cuộc nói chuyện, cuộc đàm thoại
interlocutor [01/,intə'lɔkjutə/]	[01* dtừ]\n- người nói chuyện, người đàm thoại\n- (Mỹ) người hỏi (trong ban đồng ca da đen)\n- người giới thiệu (giới thiệu chương trình và thuyết minh của một đội văn công, (thường) da đen) 
interlocutory [01/,intə'lɔkjutəri/]	[01* ttừ]\n- (thuộc) cuộc nói chuyện; xảy ra trong cuộc nói chuyện\n- xen vào trong cuộc nói chuyện\n- (pháp lý) tạm thời (quyết định) 
interlocutress [01/,intə'lɔkjutris/]	như [03interlocutrice]
interlocutrice [01/,intə'lɔkjutris/]	[01* dtừ]\n- người đàn bà nói chuyện, người đàn bà đàm thoại\n- (Mỹ) người hỏi (đàn bà) 
interlocutrix [01/,intə'lɔkjutriks/]	như [03interlocutrice]
interlope [01/,intə'loup/]	[01* nđtừ]\n- xâm phạm vào quyền lợi của người khác (để kiếm chác)\n- dính mũi vào chuyện người khác\n- (sử học) buôn không có môn bài
interloper [01/,intə'loupə/]	[01* dtừ]\n- người xâm phạm quyền lợi người khác\n- người dính mũi vào chuyện người khác\n- (sử học) con buôn không có môn bài
interludal [01/,intə'lu:dəl/]	[01* ttừ]\n- (thuộc) lúc nghỉ biểu diễn, (thuộc) tiết mục nhẹ diễn trong lúc nghỉ\n- (thuộc) thời gian ở giữa (hai sự việc khác nhau)\n- (thuộc) dạo giữa\n- (sử học)(thuộc) màn chen
interlude [01/'intəlu:d/]	[01* dtừ]\n- (sân khấu) tiết mục chuyển tiếp\n- thời gian ở giữa (hai sự việc khác nhau, quãng giữa; sự việc xảy ra trong thời gian ở giữa)\n- (âm nhạc) dạo giữa\n- (sử học) màn chen (màn kịch ngắn, xen vào giữa hai màn, trong vở kịch tôn giáo...) 
interlunar [01/,intə'lu:nə/]	[01* ttừ]\n- (thuộc) thời kỳ không có trăng (trong tháng) 
interlunation [01/,intəlu:'nei∫n/]	[01* dtừ]\n- thời kỳ không có trăng (trong tháng) 
intermarriage [01/,intə'mæridʒ/]	[01* dtừ]\n- hôn nhân khác chủng tộc\n- hôn nhân họ gần\n- hôn nhân cùng nhóm
intermarry [01/,intə'mæri/]	[01* nđtừ]\n- có người lấy nhau, thông gia với nhau (hai dân tộc, hai bộ lạc, hai gia đình...)\n- lấy nhau trong họ gần\n- lấy người cùng nhóm
intermaxillary [01/,intəmæk'siləri/]	[01* ttừ]\n- (phẫu) giữa hai xương hàm, gian hàm
intermeddle [01/,intə'medl/]	[01* nđtừ]\n- (+[04 in, with]) can thiệp vào, dính vào (người khác) 
intermeddler [01/,intə'medlə/]	[01* dtừ]\n- người can thiệp vào, người dính vào (chuyện người khác) 
intermedia [01/,intə'mi:djəm/]	[01* dtừ] s/n [02intermedia, intermediums]\n- vật ở giữa, vật trung gian\n- phương tiện chuyển (năng lượng qua không gian) 
intermediacy [01/,intə'mi:djəsi/]	[01* dtừ]\n- tình trạng ở giữa, tình trạng trung gian\n- sự làm trung gian
intermediary [01/,intə'mi:djəri/]	[01* ttừ]\n- ở giữa\n- trung gian, đóng vai trò hoà giải\n[01* dtừ]\n- người làm trung gian, người hoà giải\n- vật ở giữa, vật trung gian\n- hình thức trung gian, giai đoạn trung gian\n- phương tiện
intermediate [01/,intə'mi:djət/]	[01* ttừ]\n- ở giữa\n[01* dtừ] ((cũng) [03intermediary] )\n- người làm trung gian, người hoà giải\n- vật ở giữa, vật trung gian\n[01* dtừ]\n- (hoá) sản phẩm trung gian(,intə'mi:dieit)\n[01* ngđtừ]\n- làm môi giới, làm trung gian hoà giải
intermediately [01/,intə'mi:djətli/]	[01* phtừ]\n- với tính cách trung gian
intermediateness [01/,intə'mi:djətnis/]	[01* dtừ]\n- tính chất ở giữa, tính chất trung gian
intermediate-range [01/intə'mi:djət'reindʒ/]	[01* ttừ]\n- intermediate-range ballistic ((vt) I.R.B.M.) tên lửa tầm trong
intermediation [01/'intə,mi:di'ei∫n/]	[01* dtừ]\n- sự làm môi giới, sự làm trung gian, sự hoà giải
intermediator [01/,intə'mi:dieitə/]	[01* dtừ]\n- người làm môi giới, người làm trung gian, người hoà giải
intermediatory [01/,intə'mi:dieitəri/]	[01* ttừ]\n- (thuộc) người làm môi giới, (thuộc) người làm trung gian, (thuộc) người hoà giải
intermedium [01/,intə'mi:djəm/]	như [03intermedia]
