data-in	- số liệu vào
day [01/dei/]	[01* dtừ]\n- ban ngày\n[02= the sun gives us light during the day] ban ngày mặt trời cho ta ánh sáng\n[02= by day] ban ngày\n[02= it was broad day] trời đã sáng rõ; giữa ban ngày\n[02= at break of day] lúc bình minh, lúc rạng đông\n[02= in the blaze of day; in the full light of day] đứng giữa trưa, giữa ban ngày\n[02= clear as day] rõ như ban ngày\n[02= the eye of day] mặt trời\n- ngày\n[02= solar (astronimical, nautical) day] ngày mặt trời (ttừ 12 giờ trưa) ;\n[02= civil day] ngày thường (ttừ 12 giờ đêm)\n[02= every other day; day about] hai ngày một lần\n[02= the present day] hôm nay\n[02= the day after tomorow] ngày kia\n[02= the day before yesterday] hôm kia\n[02= one day] một hôm; một lần; một ngày nào đó\n[02= one of these days] một ngày nào đó (trong tương lai)\n[02= some day] một ngày nào đó\n[02= the other day] hôm nọ, hôm trước; cách đây không lâu, mới rồi\n[02= day in, day out] ngày ngày, ngày lại ngày\n[02= day by; day after day; from day to day] ngày nọ kế tiếp ngày kia, ngày này qua ngày khác\n[02= all day long] suốt ngày\n[02= every day] hằng ngày\n[02= three times a day] mỗi ngày ba lần\n[02= far in the day] gần hết ngày, đã xế chiều\n[02= the first day (of the week)] ngày chủ nhật\n[02= day of rest] ngày nghỉ\n[02= day off] ngày nghỉ (của người đi làm)\n[02= at-home day] ngày tiếp khách ở nhà\n[02= day out] ngày đi chơi\n[02= this day week] ngày này tuần trước; ngày này tuần sau\n[02= this day month] ngày này tháng trước; ngày này tháng sau\n- ngày lễ, ngày kỷ niệm\n[02= the International Women's Day] ngày Quốc tế phụ nữ (8 3)\n[02= the International Children's Day] ngày Quốc tế thiếu nhi (1 6)\n- (số nhiều) thời kỳ, thời đại, thời buổi\n[02= in these days] ngày nay, thời buổi này\n[02= in the old days; in the days of old (yore)] thời xưa\n[02= in the school days] thời tôi còn đi học\n[02= in the days ahead (to come)] trong tương lai\n- thời, thời kỳ hoạt động, thời kỳ phồn vinh; thời kỳ thanh xuân; đời người\n[02= to have had (seen) one's day] thời kỳ thanh xuân đã qua rồi, già mất quá rồi; quá thời rồi\n[02= to the end of one's day] cho đến tận cuối đời, cho đến tận lúc chết\n[02= one's early days] thời kỳ thơ ấu\n[02= chair days] thời kỳ già nua\n[02= his day is gone] nó hết thời rồi\n[02= his days are numbered] đời hắn chỉ còn ttừng ngày, hắn gần kề miệng lỗ rồi\n- ngày thi đấu, ngày giao chiến; sự chiến thắng, sự thắng lợi\n[02= to carry (win) the day] thắng, thắng trận\n[02= to lose the day] thua, thua trận\n[02= the day is ours] chúng ta đã thắng\n- (địa) mặt ngoài; vỉa nằm sát mặt đất\n[04! as the day is long]\n- đặc biệt, vô hạn, vô cùng, hết sức\n[02= to be as happy as the day is long] vô cùng sung sướng\n[02= to be as industrious as the day is long] hết sức cần cù\n[04! to be on one's day]\n- sung sức\n[04! between two days]\n- (Mỹ) ban đêm\n[04! to call it a day]\n- (tục) thế là xong một ngày làm việc; thế là công việc trong ngày đã hoàn thành\n[04! to come a day before the fair]\n- đến sớm (không bỏ lỡ cơ hội)\n[04! to come a day after the fair]\n- đến muộn (bỏ lỡ mất cơ hội)\n[04! the creature of a day]\n- cái phù du, cái nhất thời; người nổi tiếng một thời\n[04! fallen on evil days]\n- sa cơ lỡ vận\n[04! to end (close) one's days]\n- chết\n[04! every dog has his day]\n- (tục ngữ) không ai là phải chịu cảnh khổ mãi; (ai giàu ba họ) ai khó ba đời\n[04! to give somebody the time of day]\n- chào hỏi ai\n[04! if a day]\n- không hơn, không kém; vừa đúng\n[02= she is fifty if she is a day] bà ta vừa tròn 50 tuổi\n[04! it's all in the day's work]\n- đó chỉ là chuyện thông thường vẫn làm hằng ngày thôi\n[04! to keep one's day]\n- đúng hẹn\n- dành riêng ngày để tiếp khách (trong tuần)\n[04! to know the time of day]\n- tỉnh táo; khôn ngoan, láu cá\n[04! to live from day to day]\n- sống lay lất, sống lần hồi qua ngày\n[04! to make a day of it]\n- hưởng một ngày vui\n[04! men of the day]\n- những người của thời cuộc\n[04! to name the days]\n- xem [03name]\n[04! red-letter day]\n- xem [03red-letter] 
day care [01/'dei'keə/]	[01* dtừ]\n- sự giữ trẻ ban ngày
day nursery [01/'dei,nə:sri/]	[01* dtừ]\n- vườn trẻ (ban ngày) 
day off [01/'dei'ɔf:/]	[01* dtừ]\n- ngày nghỉ
day return [01/'deiri'tə:n/]	[01* dtừ]\n- vé đi về trong ngày
day ticket [01/'dei,tikit/]	[01* dtừ]\n- vé khứ hồi có giá trị một ngày
day-bed [01/'deibed/]	[01* dtừ]\n- đi văng, xôfa
day-blind [01/'dei'blaind/]	[01* ttừ]\n- (y) quáng gà
day-blindness [01/'dei'blaindnis/]	như [03night-blindness]
day-boarder [01/'dei,bɔ:də/]	[01* dtừ]\n- học sinh nửa lưu trú; học sinh buổi trưa ở lại trường
day-book [01/'deibuk/]	[01* dtừ]\n- (kế toán) sổ nhật ký
day-boy [01/'deibɔi/]	[01* dtừ]\n- học sinh ngoại trú, học sinh ở ngoài
daybreak [01/'deibreik/]	[01* dtừ]\n- lúc tảng sáng, lúc rạng đông
daydream [01/'deidri:m/]	[01* dtừ]\n- sự mơ mộng; mộng tưởng hão huyền\n- she stared out of the window, lost in day-dreams\n- cô ta nhìn trân trân ra ngoài cửa sổ, chìm đắm trong mơ màng\n[01* đtừ]\n[02= he sat in the classroom, day-dreaming about holidays] nó ngồi trong lớp học, đầu óc mơ màng nghĩ đến kỳ nghỉ
day-dream [01/'deidri:m/]	[01* dtừ]\n- sự mơ mộng, sự mơ màng\n- mộng tưởng hão huyền
daydreamer [01/'dei,dri:mə/]	[01* dtừ]\n- người mơ mộng; người mộng tưởng hão huyền
day-dreamer [01/'dei,dri:mə/]	[01* nđtừ]\n- mơ mộng, mơ màng\n- mộng tưởng hão huyền\n[01* dtừ]\n- người mơ mộng; người mộng tưởng hão huyền
daydreamlike [01/'deidri:mlaik/]	[01* ttừ]\n- có vẻ hão huyền
dayflower [01/'dei,flauə/]	[01* dtừ]\n- (thực vật) cay thài lài
day-fly [01/'deiflai/]	[01* dtừ]\n- (động vật) con phù du
day-girl [01/'deigə:l/]	[01* dtừ]\n- nữ sinh ngoại trú, nữ sinh ở ngoài
day-labour [01/'dei,leibə/]	[01* dtừ]\n- việc làm công nhật
day-labourer [01/'dei,leibərə/]	như [03dataller]
daylight [01/'deilait/]	[01* dtừ]\n- ánh nắng ban ngày; (bóng) sự công khai\n[02= in broad daylight] giữa ban ngày, thanh thiên bạch nhật; ai cũng biết, mọi người đều thấy\n- lúc tảng sáng, bình minh, rạng đông\n[02= before daylight] trước rạng đông\n- (số nhiều)(lóng) mắt\n- khoảng trống, khoảng cách giữa hai vật gì, như giữa hai con thuyền trong cuộc đua, giữa ngấn rượu với mép cốc...)\n[02= no daylight] đổ thật đầy (rượu vào cốc)\n[02= to show daylight] rách, hở nhiều chỗ (quần áo)\n[04! to admit (knock, let, shoot) daylight into somebody]\n- (lóng) đâm ai; bắn ai\n[04! to let daylight into something]\n- (tục) đưa cái gì ra công khai, công bố cái gì\n- nhìn thấy tia hy vọng; tìm thấy con đường thoát khỏi bế tắc khó khăn
daylight saving [01/'deilait,seiviη/]	[01* dtừ]\n- sự làm cho trời tối muộn hơn trong mùa hè bằng cách làm đồng hồ trỏ giờ muộn hơn so với thời gian chuẩn trong mùa xuần\n[02= daylight saving time (daylight time)] thời kỳ thực hiện việc đó
daylights [01/'deilaits/]	[01* dtừ s/n]\n- beat/knock the (living) daylights out of sb + đánh ai rất dữ dội, If I catch you stealing again, I'll beat the daylights out of you! + tao mà bắt được mày ăn cắp lần nữa, tao sẽ cho mày một trận nhừ tử!, frighten/scare the living daylights out of sb + làm cho ai hết sức hoảng sợ
daylight-saving [01/'deilait,seiviɳ/]	[01* dtừ]\n- sự kéo dài giờ làm việc ban ngày mùa hạ (để tiết kiệm điện...) 
daylight-signal [01/'deilait,signl/]	[01* dtừ]\n- đèn tín hiệu giao thông
day-lily [01/'dei,lili/]	[01* dtừ]\n- (thực vật) cây hoa hiên
day-long [01/'deilɔη/]	[01* ttừ & phtừ]\n- suốt ngày, cả ngày
day-room [01/'deiru:m/]	[01* dtừ]\n- phòng (trong bệnh viện, nhà tập thể...) để những người sống tập thể có thể đến ngồi, nghỉ ngơi, xem ti vi; phòng công cộng
day-school [01/'deisku:l/]	[01* dtừ]\n- trường ngoại trú
day-shift [01/'dei∫ift/]	[01* dtừ]\n- ca ngày (trong nhà máy) 
daysman [01/'deizmən/]	như [03dataller]
day-spring [01/'deispriη/]	[01* dtừ]\n- (thơ ca) bình minh, rạng đông
day-star [01/'deistɑ:/]	[01* dtừ]\n- sao mai\n- (thơ ca) mặt trời
daytaler [01/'deit,tələ/]	như [03dataller]
daytime [01/'deitaim/]	[01* dtừ]\n- thời gian giữa lúc mặt trời mọc và mặt trời lặn; ban ngày\n[02= you hardly ever see owls in the daytime] ban ngày hầu như không bao giờ có thể trông thấy cú
day-time [01/'deitaim/]	[01* dtừ]\n- ban ngày\n[02= in the day-time] ban ngày
day-to-day [01/'deitə'dei/]	[01* ttừ]\n- hằng ngày, thường ngày\n- trong khoảng một ngày
day-work [01/'deiwə:k/]	[01* dtừ]\n- việc làm công nhật\n- việc làm hằng ngày\n- (ngành mỏ) việc làm trên tầng lộ thiên
daze [01/deiz/]	[01* dtừ]\n- (khoáng) mica\n- sự sửng sốt, sự ngạc nhiên, sự kinh ngạc, sự sững sờ\n- tình trạng mê mụ, tình trạng mê mẩn (vì thuốc độc, rượu nặng...)\n- tình trạng bàng hoàng, tình trạng choáng váng\n- sự loá mắt, sự quáng mắt\n[01* ngđtừ]\n- làm sửng sốt, làm ngạc nhiên, làm sững sờ\n- làm mê mụ, làm mê mẩn (thuốc độc, rượu nặng...)\n- làm bàng hoàng, làm choáng váng, làm điếng người\n- làm loá mắt, làm chói mắt, làm quáng mắt
dazedly [01/'deizidli/]	[01* phtừ]\n- sửng sốt, ngạc nhiên
dazzelement [01/'dæzlmənt/]	[01* dtừ]\n- sự làm chói mắt, sự làm hoa mắt\n- sự làm sững sờ, sự làm kinh ngạc
dazzle [01/'dæzl/]	[01* dtừ]\n- sự loá mắt, sự chói mắt, sự hoa mắt, sự quáng mắt (đen & bóng)\n- ánh sáng chói\n[04! dazzle paint]\n- (hàng hải) thuật sơn nguỵ trang một chiếc tàu)\n[01* ngđtừ]\n- làm loá mắt, làm chói mắt, làm hoa mắt, làm quáng mắt (đen & bóng)\n[02= the blazing sun dazzles our eyes] ánh mặt trời sáng chói làm loá mắt chúng tôi\n- làm sững sờ, làm kinh ngạc\n- (hàng hải) sơn nguỵ trang (một chiếc tàu) 
dazzlement [01/'dæzlmənt/]	[01* dtừ]\n- sự làm chói mắt, sự làm hoa mắt; sự làm sững sờ, sự làm kinh ngạc
dazzler	như [03dazzlingly]
dazzling [01/'dæzliη/]	[01* ttừ]\n- sáng chói, chói lọi, làm chói mắt, sự làm hoa mắt\n[02= dazzling diamonds] những viên kim cương\n- làm sững sờ, làm kinh ngạc
dazzlingly	- xem [03dazzle] 
dB	- (vt) [03decibel(s)] + đơn vị đo âm thanh
dB (decibel) loss	- (kỹ) suy giảm bằng đêxiben
dB (decibel) meter	- (kỹ) máy đo đêxiben
DB-25 connector	- (kỹ) đầu nối DB-25
dbe [01/'di: bi: 'i:/]	[01* (vt)]\n- Nữ hiệp sự trưởng dòng của đế chế Anh ([03Dame Commander of the British Empire]) 
dbms	- hệ quản lý cơ sở dữ liệu
DC (Data Channel)	- (kỹ) kênh dũ kiện
DC (Digital Computer)	như [03digital computer]
DC (Direct Current)	- (kỹ) dòng điện một chiều
dc (direct-current) coupling	- (kỹ) ghép điện một chiều
dc (direct-current) erasing head	- (kỹ) đầu xóa điện một chiều
dc (direct-current) Josephson current	- (kỹ) cường độ dòng điện Josephson (Jôzepsơn) một chiều
dc (direct-current) Josephson effect	- (kỹ) hiệu ứng dòng điện Josephson (Jôzepsơn) một chiều
dc (direct-current) measurement	- (kỹ) đo dòng điện một chiều
dc (direct-current) receiver	- (kỹ) máy thu chạy điện một chiều
dc (direct-current) reinsertion	- (kỹ) phục hồi thành phần của điện một chiều
dc (direct-current) resistance	- (kỹ) điện trở của điện một chiều
dc (direct-current) restoration	- (kỹ) khôi phục thành phần của điện một chiều
dc (direct-current) ringer	- (kỹ) máy rung chuông điện một chiều
dc (direct-current) ringing	- (kỹ) rung chuông điện một chiều
dc (direct-current) selection	- (kỹ) chọn (điện) một chiều
dc (direct-current) signaling	- (kỹ) báo hiệu bằng điện một chiều
dc (direct-current) telegraphy = direct current telegraphy	- (kỹ) điện báo dòng điện một chiều
dc (direct-current) transformer	- (kỹ) bộ biến áp dòng điện một chiều
dc (direct-current) transmission	- (kỹ) truyền điện một chiều
dc (direct-current) tube neon lamp	- (kỹ) đèn ống nêon loại điện một chiều
dc (direct-current) voltage	- (kỹ) điện áp của dòng điện một chiều
dc [01/,di: 'si:/]	[01* (vt)]\n- nhắc lại từ đầu ([03da capo])\n- Quận Columbia trong Washington DC (district of Columbia)\n- dòng điện một chiều (direct current) 
DC component	- (kỹ) thành phần của điện một chiều
DC1-4 (Device Control 1-4)	- (kỹ) kiểm soát thiết bị 1-4, kiểm soát bộ phận 1-4
DCE (Data Circuit-terminating Equipment)	như [03data circuit-terminating equipment (DCE)]
DCE (Data Communication Equipment)	như [03data communication equipment]
DCE (Distributed Computing Environment)	- (kỹ) môi trường vi tính phân bố
DCM (Disk Cache Memory)	- (kỹ) bộ nhớ trữ tạm đĩa (loại cao tốc) 
DCTL (direct-coupled transistor logic) gate	- (kỹ) cổng luận lý đèn tinh thể ghép trực tiếp
DD (double density) disk	- (kỹ) đĩa mật độ kép
dd [01/,di: 'di:/]	[01* (vt)]\n- Tiến sự thần học ([03Doctor of Divinity]) 
D-day [01/'di:dei/]	[01* dtừ]\n- ngày đổ bộ (ngày quân Anh, Mỹ đổ bộ lên miền bắc nước Pháp (6 6 1944) trong đại chiến II)\n- ngày nổ súng, ngày khởi hấn
ddd [01/di:di:'di:/]	[01* dtừ]\n- thuốc DDD trừ sâu
DDDS (double density double sided) disk	như [03double density double sided disk (ĐDS)]
dde	- trao đổi dữ liệu động
ddt [01/,di:di: 'ti:/]	[01* (vt)]\n- thuốc diệt côn trùng, thuốc DDT dichlorodiphenyl-trichloroethane
ddvp [01/'di:di:'vi:pi/]	[01* dtừ]\n- thuốc DDVP trừ sâu
de facto [01/di:'fæktou/]	[01* ttừ & phtừ]\n- về thực tế (không chính thức)\n[02= de_facto recognition of a state] sự công nhận một quốc gia trên thực tế (không chính thức) 
de facto standard	- (kỹ) tiêu chuẩn mặc nhiên
de jure [01/di:'dʒuəri/]	[01* ttừ & phtừ]\n- hợp pháp về pháp lý\n[02= de_jure recognition of a government] sự công nhận một chính phủ về pháp lý
de luxe [01/də'luks/]	[01* ttừ]\n- (thuộc) loại sang trọng, xa xỉ (hàng, đồ dùng...) 
de profundis [01/'dei prə'fu:ndis/]	[01* phtừ] xuất phát từ nỗi buồn bã, khổ cực sầu sắc
de rigueur [01/də ri'gə:(r) /]	- đặc ngữ\n- có tính cách bắt buộc
de trop [01/də'trou/]	[01* ttừ]\n- vị ngữ thừa
deacidification [01/diæsidifi'kei∫n/]	[01* dtừ]\n- việc khử axit
deacidify [01/di:æ'sidifai/]	[01* ngđtừ]\n- khử axit
deacon [01/'di:kən/]	[01* dtừ]\n- (tôn giáo) người trợ tế\n- (Mỹ) bộ da dê mới đẻ ((cũng) [03deacon hide] )\n[01* nđtừ]\n- (Mỹ) tụng kinh ê a\n[01* ngđtừ]\n- (Mỹ) bày bán để hàng tốt (hoa quả...) lên trên, để hàng tốt ra ngoài; làm giả mạo (hàng hoá...)\n[02= to deacon a basket of apples] bày bán những quả tốt ở trên rổ\n[02= to deacon wine] pha rượu
deaconess [01/'di:kənis/]	[01* dtừ]\n- (tôn giáo) bà trợ tế
deaconship [01/'di:kən∫ip/]	[01* dtừ]\n- (tôn giáo) chức trợ tế
deactivate [01/di:'æktiveit/]	[01* đtừ]\n- làm không hoạt động, làm mất phản ứng, khử hoạt tính
deactivation [01/di:'æktivei∫n/]	[01* dtừ]\n- việc làm mất tác dụng (hoá) 
dead	[01* ttừ]\n- chết (người, vật, cây cối)\n[02= to strike somebody dead] đánh ai chết tươi\n[02= to shoot somebody dead] bắn chết ai\n- tắt, tắt ngấm\n[02= dead fire] lửa tắt\n[02= dead volcano] núi lửa tắt ngấm\n[02= dead valve] bóng đèn (rađiô) cháy (không dùng được nữa)\n- chết, không hoạt động; không sinh sản; hết hiệu lực; không dùng được nữa\n[02= dead money] tiền để nằm chết, không sinh lợi\n[02= dead stock] vốn chết; hàng không bán được\n[02= a dead spring] lò xo hết đàn hồi\n[02= dead axle] trục không xoay được nữa\n[02= the motor is dead] động cơ ngừng chạy\n[02= dead language] từ ngữ\n[02= dead window] cửa sổ giả\n- tê cóng, tê bại, tê liệt\n[02= my fingers are dead] ngón tay tôi tê cóng đi\n- xỉn, không bóng (màu, vàng...) ; đục, không vang (âm thanh...)\n[02= dead gold] vàng xỉn\n[02= dead sound] tiếng đục không vang\n- không màng đến, không biết đến, chai điếng, điếc đặc không chịu nghe\n[02= dead to honour] không màng danh vọng\n[02= dead to reason] điếc đặc không chịu nghe lẽ phải\n[02= dead to all sense of honour] không còn biết thế nào là danh dự nữa\n- thình lình, hoàn toàn\n[02= to come a dead stop] đứng sững lại\n[02= a dead faint] sự chết ngất\n[02= dead calm] sự hoàn toàn lặng gió (biển)\n[02= dead silence] sự im phăng phắc\n[02= dead failure] thất bại hoàn toàn\n[02= dead certainty] sự tin chắc hoàn toàn; điều hoàn toàn chắc chắn\n- (điện học) không có thế hiệu\n[04! dead above the ears]\n[04! dead from the neck up]\n- (Mỹ),(tục) ngu xuẩn, đần độn\n[04! dead and gone]\n- đã chết và chôn\n- đã qua từ lâu\n- đã bỏ đi không dùng đến từ lâu\n[04! (as) dead as a doornail (a herring, a nit, mutton, Julius Caesar)]\n- chết thật rồi, chết cứng ra rồi\n[04! deal marines (men)]\n- (tục) chai không, chai đã uống hết\n[04! more deal than alive]\n- gần chết, thừa sống thiếu chết; chết giấc, bất tỉnh nhân sự\n[04! deal men tell no tales]\n- người chết thì không còn tiết lộ bí mật được nữa\n[01* dtừ]\n- (the dead) những người đã chết, những người đã khuất\n- giữa\n[02= in the dead of winter] giữa mùa đông\n[02= in the dead of night] lúc nửa đêm, lúc đêm khuya thanh vắng\n[04! let the dead bury the dead]\n- hãy để cho quá khứ chôn vùi quá khứ đi; hãy quên quá khứ đi\n[04! on the dead]\n- (Mỹ),(tục) nhất định, kiên quyết\n- đứng đắn, không đùa\n[01* phtừ]\n- đúng vào, ngay vào, thẳng vào\n[02= dead in the centre] đúng ngay vào giữa\n[02= dead on time] đúng giờ\n[02= the wind was dead agianst us] gió tạt thẳng vào mặt chúng tôi\n- hoàn toàn\n[02= dead asleep] ngủ say như chết\n[02= dead drunk] say bí tỉ, say không biết gì trời đất\n[02= dead tired] mệt rã rời\n- hằn lại, sững lại\n[02= to stop dead] đứng sững lại\n[04! to be dead against somebody]\n- kiên quyết phản đối ai
