ablaut [01/'æblaut/]	[01* dtừ]\n- (ngôn) Aplau
abolish [01/ə'bɔli∫/]	[01* ngđtừ]\n- thủ tiêu, bãi bỏ, huỷ bỏ\n[02= to abolish the exploitation of man by man] thủ tiêu chế độ người bóc lột người\n[02= to abolish acontract] huỷ bỏ một bản giao kèo
abolishable [01/ə'bɔli∫əbl/]	[01* ttừ]\n- có thể thủ tiêu, có thể bãi bỏ, có thể huỷ bỏ
abolisher [01/ə'bɔli∫ə/]	[01* dtừ]\n- người thủ tiêu, người bãi bỏ, người huỷ bỏ
abolishment [01/ə'bɔli∫mənt/]	[01* dtừ]\n- sự thủ tiêu, sự bãi bỏ, sự huỷ bỏ
abolition [01/,æbə'li∫n/]	[01* dtừ]\n- sự thủ tiêu, sự bãi bỏ, sự huỷ bỏ\n[02= abolition of taxes] sự bãi bỏ thuế\n[02= abolition of slavery] sự thủ tiêu chế độ nô lệ
abolitionary	- xem [03abolition] 
abolitionise [01/,æbə'li∫ənaiz/]	[01* ngđtừ]\n- (Mỹ) làm cho theo chủ nghĩa bãi nô
abolitionism [01/,æbə'li∫ənizm/]	[01* dtừ]\n- (sử học) chủ nghĩa bãi nô
abolitionist [01/,æbə'li∫ənist/]	[01* dtừ]\n- người theo chủ nghĩa bãi nô
abolitionize [01/,æbə'li∫ənaiz/]	như [03abolitionise]
abomasum [01/æbə'meisəm/]	[01* dtừ]\n- dạ múi khế túi (động vật nhai lại) 
a-bomb [01/'ei'bɔm/]	[01* dtừ]\n- bom nguyên tử
abominable [01/ə'bɔminəbl/]	[01* ttừ]\n- ghê tởm, kinh tởm\n[02= an abominable crime] tội ác ghê tởm\n- (tục) tồi, tồi tệ, rất xấu\n[02= abominable weather] thời tiết rất xấu\n[02= an abominable meal] bữa cơm tồi
abominable snowman [01/ə'bɔminəbl'snoumæn/]	[01* dtừ]\n- người tuyết (tương truyền là động vật to cao) 
abominableness [01/ə'bɔminəblnis/]	[01* dtừ]\n- sự ghê tởm, sự kinh tởm\n- (tục) sự tồi tệ
abominably [01/ə'bɔminəbli/]	[01* phtừ]\n- một cách đáng ghê tởm
abominate [01/ə'bɔmineit/]	[01* ngđtừ]\n- ghê tởm; ghét cay ghét đắng\n- (tục) không ưa, ghét mặt\n[01* ttừ]\n- (thơ ca) ghê tởm, kinh tởm
abomination [01/ə,bɔmi'nei∫n/]	[01* dtừ]\n- sự ghê tởm, sự kinh tởm; sự ghét cay ghét đắng\n[02= to hold something in abomination] ghê tởm cái gì\n- vật kinh tởm; việc ghê tởm; hành động đáng ghét
abominator	- xem [03abominate] 
abonent	- (kỹ) người thuê bao; người dùng đầu cuối
aboral [01/æb'ɔral/]	[01* ttừ]\n- (sinh học) xa miệng; đối miệng
aboriginal [01/,æbə'ridʒənl/]	[01* ttừ]\n- (thuộc) thổ dân; (thuộc) thổ sản, (thuộc) đặc sản\n[02= the aboriginal inhabitants of a country] thổ dân của một nước\n[02= tea is an aboriginal product of Phutho] chè là một đặc sản của Phú thọ\n- ban sơ, nguyên thuỷ, cổ sơ\n[01* dtừ]\n- thổ dân\n- (hiếm) thổ sản
aboriginality [01/,æbɔridʒi'næliti/]	[01* dtừ]\n- đặc điểm nguyên sơ\n- tính thuần phát
aboriginally	- xem [03aboriginal] 
aborigine [01/,æbə'riʤin/]	[01* dtừ]\n-(thực tục) người dân bản xứ
aborigines [01/,æbə'ridʒini:z/]	[01* dtừ s/n]\n- thổ dân\n[02= Indians are the aborigines of America] người da đỏ là thổ dân của châu Mỹ\n- thổ sản
abort [01/ə'bɔ:t/]	[01* nđtừ]\n- sẩy thai; đẻ non (đen & bóng)\n- (sinh vật) không phát triển, thui\n[01* ngđtừ]\n- làm sẩy thai, phá thai\n-(kỹ) hủy bỏ, ngưng nửa chừng, bỏ dở
aborted [01/ə'bɔ:tid/]	[01* ttừ]\n- bị sẩy (thai)\n- (sinh vật) không phát triển, thui
aborticide [01/ə'bɔ:tisaid/]	[01* dtừ]\n- thuốc giết thai
abortifacient [01/ə,bɔ:ti'fei∫ənt/]	[01* ttừ]\n- phá thai, làm sẩy thai\n[01* dtừ]\n- thuốc phá thai
abortin [01/ə'bɔ:tin/]	[01* dtừ]\n- chất sẩy thai; abotin
abortion [01/ə'bɔ:∫n/]	[01* dtừ]\n- sự sẩy thai, sự phá thai; sự nạo thai\n- người lùn tịt; đứa bé đẻ non, vật đẻ non; vật dị dạng, quái thai\n- sự chết non chết yểu, sự sớm thất bại (của một kế hoạch, ý đồ...)\n- (sinh vật) tình trạng phát triển không đầy đủ
abortion mechanism	- (kỹ) cơ năng bỏ dở
abortionist [01/ə'bɔ:∫ənist/]	[01* dtừ]\n- người phá thai
abortive [01/ə'bɔ:tiv/]	[01* ttừ]\n- đẻ non\n[02= an abortive child] đứa bé đẻ non\n- non yếu, chết non chết yểu; sớm thất bại\n[02= an abortive plan] một kế hoạch sớm thất bại\n- (sinh vật) không phát triển đầy đủ\n[02= an abortive organ] một cơ quan không phát triển đầy đủ\n- (kỹ) bỏ dở
abortive subexit	- (kỹ) lối thoát phụ khi bỏ dở
abortively [01/ə'bɔ:tivli/]	[01* phtừ]\n- non yểu
abortiveness [01/ə'bɔ:tivnis/]	[01* dtừ]\n- sự đẻ non\n- sự non yếu, sự chết non chết yểu\n- (sinh vật) sự không phát triển đầy đủ
aboulia [01/ə'bauliə/]	[01* dtừ]\n- (y) chứng mất ý chí
abound [01/ə'baund/]	[01* nđtừ]\n- (+ [04in, with]) có rất nhiều, có thừa, nhan nhản, lúc nhúc, đầy dẫy\n[02= coal abounds in our country] than đá có rất nhiều ở nước ta\n[02= to abound in courage] có thừa can đảm
abounding [01/ə'baundiη/]	[01* ttừ]\n- nhiều, phong phú, thừa thãi
about [01/ə'baut/]	[01* phtừ]\n- xung quanh, quanh quẩn, đây đó, rải rác\n[02= he is somewhere about] anh ta ở quanh quẩn đâu đó\n[02= rumours are about] đây đó có tiếng đồn (về việc gì)\n- đằng sau\n[02= about turn!] đằng sau quay\n- khoảng chừng, gần\n[02= about forty] khoảng 40\n[02= it is about two o'clock] bây giờ khoảng chừng hai giờ\n- vòng\n[02= to go a long way about] đi đường vòng xa\n[04! about and about]\n- (Mỹ) rất giống nhau\n[04! to be about]\n- bận (làm gì)\n- đã dậy được (sau khi ốm)\n- có mặt\n[04! about right]\n- đúng, đúng đắn\n- tốt, được\n[01* gtừ]\n- về\n[02= to know much about Vietnam] biết nhiều về Việt Nam\n[02= what shall we write about?] chúng ta sẽ viết về cái gì bây giờ?\n- quanh quất, quanh quẩn đây đó, rải rác\n[02= to walk about the garden] đi quanh quẩn trong vườn\n- xung quanh\n[02= the trees about the pound] cây cối xung quanh ao\n- khoảng chừng, vào khoảng\n[02= about nightfall] vào khoảng chập tối\n- bận, đang làm (gì...)\n[02= he is still about it] hắn hãy còn bận làm việc đó\n[02= to go about one's work] đi làm\n- ở (ai) ; trong người (ai), theo với (ai)\n[02= I have all the documents about me] tôi có mang theo đầy đủ tài liệu\n[02= there's something nice about him] ở anh ta có một cái gì đó hay hay\n[04! to be about to]\n- sắp, sắp sửa\n[02= the train is about to start] xe lửa sắp khởi hành\n[02= man about town] tay ăn chơi, tay giao thiệp rộng\n[02= what are you about?] anh muốn gì?, anh cần gì?\n- (hiếm) anh đang làm gì đấy?\n[04! what about?]\n- xem [03what]\n[01* ngđtừ]\n- lái (thuyền...) theo hướng khác
about...	- (kỹ) về...
about-face [01/ə'baut'feis/]	[01* dtừ]\n- (qsự) sự quay đằng sau\n- sự trở mặt, sự thay đổi hẳn thái độ, sự thay đổi hẳn ý kiến\n[01* nđtừ]\n- (qsự) quay đằng sau
about-sledge [01/ə'baut'sledʒ/]	[01* dtừ]\n- (kỹ) búa tạ
about-turn [01/ə'baut'tə:n/]	[01* dtừ]\n- sự thay đổi ý kiến, sự đổi ý
above [01/ə'bʌv/]	[01* phtừ]\n- trên đầu, trên đỉnh đầu\n[02= clouds are drifting above] mây đang bay trên đỉnh đầu\n- ở trên\n[02= as was started above] như đã nói rõ ở trên\n[02= as was remarked above] như đã nhận xét ở trên\n- trên thiên đường\n- lên trên; ngược dòng (sông) ; lên gác\n[02= a staircase leading above] cầu thang lên gác\n[02= you will find a bridge above] đi ngược dòng sông anh sẽ thấy một cái cầu\n- trên, hơn\n[02= they were all men of fifty and above] họ tất cả đều năm mươi và trên năm mươi tuổi\n[02= over and above] hơn nữa, vả lại, ngoài ra\n[01* gtừ]\n- ở trên\n[02= the plane was above the clouds] máy bay ở trên mây\n- quá, vượt, cao hơn\n[02= this work is above my capacity] công việc này quá khả năng tôi\n[02= he is above all the other boys in his class] nó vượt tất cả những đứa trẻ khác trong lớp\n- trên, hơn\n[02= to value independence and freedom above all] quý độc lập và tự do hơn tất cả\n[02= above all] trước hết là, trước nhất là, trước tiên là\n[04! above oneself]\n- lên mặt\n- phởn, bốc\n[02= to keep one's head above water] giữ cho mình được an toàn; giữ khỏi mang công mắc nợ\n[01* ttừ]\n- ở trên, kể trên, nói trên\n[02= the above facts] những sự việc kể trên\n[02= the above statements] những lời phát biểu ở trên\n[01* dtừ]\n- the above cái ở trên; điều kể trên; điều nói trên
aboveboard [01/ə'bʌv'bɔ:d/]	[01* ttừ, phtừ]\n- thẳng thắn, không che đậy, không giấu giếm
above-board [01/ə'bʌv'bɔ:d/]	[01* ttừ & phtừ]\n- thẳng thắn, không che đậy, không giấu giếm
above-cited [01/ə'bʌv'saitid/]	[01* ttừ]\n- đã dẫn, đã nhắc đến
aboveground [01/ə'bʌv,graund/]	như [03above-ground]
above-ground [01/ə'bʌv,graund/]	[01* ttừ]\n- ở trên mặt đất\n- còn sống trên đời\n[01* phtừ]\n- ở trên mặt đất\n- lúc còn sống ở trên đời
above-mentioned [01/ə'bʌv'men∫nd/]	như [03abovementioned]
abovementioned [01/ə'bʌv'menʃnd/]	[01* ttừ]\n- kể trên, nói trên
above-named [01/ə'bʌv,neimd/]	như [03foresaid]
abracadabra [01/,æbrəkə'dæbrə/]	[01* dtừ]\n- câu thần chú\n- lời nói khó hiểu
abrachia [01/ə'breikiə/]	[01* dtừ]\n- tật thiếu tay
abrachiate [01/ə'breikeit/]	[01* ttừ]\n- thiếu tay
abrachius [01/ə'breikiəs/]	[01* dtừ]\n- quái thai không tay
abradant [01/ə'breidənt/]	[01* ttừ]\n- làm mòn, mài mòn\n[01* dtừ]\n- chất mài mòn
abrade [01/ə'breid/]	[01* ngđtừ]\n- làm trầy (da) ; cọ xơ ra\n- (kỹ) mài mòn
abranchial [01/ə'bræηkiəl/]	[01* ttừ]\n- (động vật) không mang
abranchiate [01/ə'bræηkiit/]	như [03abranchial]
abrase [01/ə'breiz/]	[01* ngđtừ]\n- cắt mất
abrasion [01/ə'breiʒn/]	[01* dtừ]\n- sự làm trầy (da) ; sự cọ xơ ra; chỗ bị trầy da\n- (địa),(kỹ) sự mài mòn
abrasive [01/ə'breisiv/]	[01* ttừ]\n- làm trầy (da)\n- để cọ xơ ra\n- để mài mòn\n[01* dtừ]\n- chất mài mòn
abreact [01/æbri'ækt/]	[01* ngđtừ]\n- giải toả mặc cảm
abreaction [01/,æbri'æk∫n/]	[01* dtừ]\n- (y) sự giải toả mặc cảm
abreast [01/ə'brest/]	[01* phtừ]\n- cùng hàng, sóng hàng, ngang nhau; sát nhau, sát vai, bên cạnh\n[02= to walk abreast] đi sóng hàng với nhau\n[02= abreast the times] theo kịp thời đại\n[04! to keep abreast of (with)]\n- xem [03keep] 
abrego [01/ə'bregou/]	[01* dtừ]\n- (động vật) cá ngừ vây dài
abridge [01/ə'bridʒ/]	[01* ngđtừ]\n- rút ngắn lại, cô gọn, tóm tắt\n- hạn chế, giảm bớt (quyền...)\n- lấy, tước\n[02= to abridge somebody of his rights] tước quyền lợi của ai
abridgement [01/ə'bridʒmənt/]	[01* dtừ]\n- sự rút ngắn, sự cô gọn, sự tóm tắt; bài tóm tắt sách, sách tóm tắt\n- sự hạn chế, sự giảm bớt
abridger	- xem [03abridge] 
abridgment [01/ə'bridʒmənt/]	như [03abridgement]
abroach [01/ə'brout∫/]	[01* ttừ]\n- bị giùi lỗ; bị chọc thủng (thùng rượu để lấy rượu ra...)\n[02= to set a cask abroach] giùi lỗ một thùng rượu, khui một thùng rượu
abroad [01/ə'brɔ:d/]	[01* phtừ]\n- ở nước ngoài, ra nước ngoài\n[02= to live abroad] sống ở nước ngoài\n[02= to go abroad] đi ra nước ngoài\n- khắp nơi, đang truyền đi khắp nơi\n[02= there is a runmour abroad that...] khắp nơi đang có tin đồn rằng...\n[02= the schooimaster is abroad] việc học hành bây giờ đang trở thành phổ biến\n- ngoài trời (đối với trong nhà)\n[02= life abroad is very healthy] sống ở ngoài trời tốt cho sức khoẻ\n- (tục) nghĩ sai, nhầm, tưởng lầm\n[02= to be all abroad] nghĩ sai hoàn toàn, hoàn toàn lầm lẫn\n[04! from abroad]\n- từ nước ngoài\n[02= these machines were brought from abroad] những chiếc máy này mang từ nước ngoài vào
abrogable [01/'æbrəgəbl/]	[01* ttừ]\n- có thể hủy bỏ
abrogate [01/'æbrougeit/]	[01* ngđtừ]\n- bãi bỏ, huỷ bỏ, thủ tiêu; bài trừ\n[02= backward customs musr be abrogated] phải bài trừ những hủ tục\n[02= to abrogate a law] huỷ bỏ một đạo luật
abrogation [01/,æbrou'gei∫n/]	[01* dtừ]\n- sự bãi bỏ, sự huỷ bỏ, sự thủ tiêu; sự bài trừ
abrogative [01/,ærou'geitiv/]	[01* ttừ]\n- bị hủy bỏ
abrupt [01/ə'brʌpt/]	[01* ttừ]\n- bất ngờ, đột ngột; vội vã\n[02= an abrupt turn] chỗ ngoặc bất ngờ\n[02= an abrupt departure] sự ra đi vội vã (đột ngột)\n- cộc lốc, lấc cấc, thô lỗ\n[02= an abrupt answers] câu trả lời cộc lốc\n[02= abrupt manners] cách cư xử lấc cấc\n- dốc đứng, hiểm trở, gian nan\n[02= abrupt coast] bờ biển dốc đứng\n[02= the road to science is very abrupt] con đường đi tới khoa học rất gian nan\n- trúc trắc, rời rạc (văn)\n- bị đốn, bị chặt cụt; như thể bị đốn, bị chặt cụt (cây...) 
abrupt junction	- (kỹ) tiếp giáp dốc thẳng đứng
abrupt junction diode	- (kỹ) đèn hai cực tiếp giáp dốc thẳng đứng
abruption [01/ə'brʌp∫n/]	[01* dtừ]\n- sự đứt rời, sự gãy rời
abruptly [01/ə'brʌptli/]	[01* phtừ]\n- bất ngờ, đột ngột\n- lấc cấc, xấc xược
abruptness [01/ə'brʌptnis/]	[01* dtừ]\n- sự bất ngờ, sự đột ngột, sự vội vã\n- tính cộc lốc, tính lấc cấc; sự thô lỗ\n- thế dốc đứng, sự hiểm trở; sự gian nan\n- sự trúc trắc, sự rời rạc (văn) 
abscess [01/'æbsis/]	[01* dtừ]\n- (y) áp xe\n- (kỹ) chỗ rỗ (ở kim loại) 
abscessed [01/'æbsist/]	[01* ttừ]\n- (y) bị áp-xe\n- bị rỗ
abscise [01/əb'siz/]	[01* đtừ]\n- cắt ra, bị cắt ra
absciss [01/æb'sis/]	[01* dtừ abscisses]\n- (toán) độ hoành
abscissa [01/æb'sissa/]	như [03abscissae]
abscissae [01/æb'sisə/]	[01* dtừ] s/n [03abscissae]\n- (như) [03absciss] 
abscisse [01/æb'sis/]	[01* dtừ] s/n [03abscisses]\n- (như) [03absciss] 
abscission [01/æb'siʒn/]	[01* dtừ]\n- (y) sự cắt bỏ
abscond [01/əb'skɔnd/]	[01* nđtừ]\n- lẫn trốn, bỏ trốn\n- trốn tránh pháp luật
absconder [01/əb'skɔndə/]	[01* dtừ]\n- người lẫn trốn, người bỏ trốn\n- người trốn tránh pháp luật
abseil [01/'æbseil/]	[01* đtừ]\n- trèo xuống, tụt xuống
absence [01/'æbsəns/]	[01* dtừ]\n- sự vắng mặt, sự nghỉ (học), sự đi vắng; thời gian vắng mặt, lúc đi vắng\n[02= to have a long absence from school] nghỉ học lâu\n- sự thiếu, sự không có\n[02= to carry out production in the absence of necessary machines] sản xuất trong tình trạng thiếu những máy móc cần thiết\n- sự điểm danh\n[02= absence of mind] sự lơ đãng\n[02= absence without leave] sự nghỉ không phép\n[04! leave of absence]\n- xem [03leave] 
absence or presence	- (kỹ) vắng mặt hay hiện diện, không hay có
absent [01/'æbsənt/]	[01* ttừ]\n- vắng mặt, đi vắng, nghỉ\n- lơ đãng\n[02= an absent air] vẻ lơ đãng\n[02= to answer in an absent way] trả lời một cách lơ đãng\n[01* đtừ phãn thân]\n- vắng mặt, đi vắng, nghỉ\n[02= to absent oneself from school] nghỉ học\n[02= to absent oneself from work] vắng mặt không đi làm
absent service	- (kỹ) dịch vụ (truyền đạt lúc) vắng mặt
absent subscriber service	- (kỹ) dịch vụ thuê bao vắng mặt
absent transfer	- (kỹ) truyền đạt vắng mặt
absent without leave [01/'æbsənt wi'đaut'li:v/]	- vắng mặt không phép; vắng mặt mà không báo trước (vt) là AWOL
absentation [01/æbsən'tei∫n/]	[01* dtừ]\n- sự vắng mặt, trạng thái lơ đãng, không chú ý
absentee [01/,æbsən'ti:/]	[01* dtừ]\n- người vắng mặt, người đi vắng, người nghỉ\n- địa chủ không ở thường xuyên tại nơi có ruộng đất
absentee ballot [01/,æbsən'ti: 'bælət/]	[01* dtừ]\n- việc bỏ phiếu trước của những cử tri nào không thể có mặt vào ngày bầu cử chính thức
absentee landlord [01/,æbsən'ti: 'lændlɔ:d/]	[01* dtừ]\n- người không thường xuyên có mặt ở đồn điền của mình\n- (ktế) Địa chủ (chủ bất động sản) cách biệt\n- Người chủ sở hữu đất hoặc nhà sống ở một nơi xa bất động sản của mình, thu tiền thuê và quản lý việc kinh doanh của mình thông qua trung gian hay người đại diện
absenteeism [01/,æbsən'ti:izm/]	[01* dtừ]\n- sự hay vắng mặt, sự vắng mặt không có lý do chính đáng (ở công sở, ở xí nghiệp...)\n- (ktế) Trốn việc, sự nghỉ làm không có lý do\n- Sự nghỉ làm, mặc dù các điều khoản của hợp đồng lao động yêu cầu người lao động phải đi làm và hợp đồng vẫn còn giá trị.
absently [01/'æbsəntli/]	[01* phtừ]\n- lơ đãng
absent-minded [01/'æbsənt'maindid/]	như [03abstracted]
absent-mindedly [01/'æbsənt'maindidli/]	[01* phtừ]\n- đãng trí
absent-mindedness [01/'æbsənt'maindidnis/]	[01* dtừ]\n- sự lơ đãng, tính lơ đãng
absinth [01/'æbsinθ/]	[01* dtừ]\n- cây apxin, cây ngải đắng\n- tinh dầu apxin\n- rượu apxin
absinthe [01/'æbsinθ/]	như [03absinth]
absinthian [01/æb'sinθiən/]	[01* ttừ]\n- (thuộc) apxin
absolutary [01/æb'sɔljutəri/]	[01* ttừ]\n- xá tội; tha tội
absolute [01/'æbsəlu:t/]	[01* ttừ]\n- tuyệt đối, hoàn toàn; thuần tuý, nguyên chất\n[02= absolute confidence in the Party's leadership] sự tin tưởng tuyệt đối vào sự lãnh đạo của Đảng\n[02= absolute music] âm nhạc thuần tuý\n[02= absolute alcohol] rượu nguyên chất\n- chuyên chế, độc đoán\n[02= absolute monarchy] nền quân chủ chuyên chế\n- xác thực, đúng sự thực, chắc chắn\n[02= absolute evidence] chứng cớ xác thực\n- vô điều kiện\n[02= an absolute promise] lời hứa vô điều kiện\n- (kỹ) tuyệt đối
absolute address	- (kỹ) địa chỉ tuyệt đối
absolute address variable	- (kỹ) biến số địa chỉ tuyệt đối
absolute addressing	- (kỹ) phương pháp định địa chỉ tuyệt đối
absolute altimeter	- (kỹ) máy đo độ cao tuyệt đối
absolute ampere	- (kỹ) ampe tuyệt đối
absolute coordinate	- (kỹ) tọa độ tuyệt đối
absolute data	- (kỹ) dữ kiện tuyệt đối
absolute electrometer	- (kỹ) điện tĩnh kế tuyệt đối
absolute element	- (kỹ) phần tử tuyệt đối
absolute error	- (kỹ) sai số tuyệt đối
absolute expression	- (kỹ) biểu thức tuyệt đối
absolute file specifier	- (kỹ) tên gọi tuyệt đối của tập tin
absolute galvanometer	- (kỹ) điện kế tuyệt đối
absolute generation number	- (kỹ) số thế hệ tuyệt đối
absolute instruction	- (kỹ) chỉ thị tuyệt đối, chỉ thị ngôn ngữ máy
absolute level	- (kỹ) mức tuyệt đối
absolute loader	- (kỹ) bộ nạp tuyệt đối
absolute majority [01/'æbsəlu:t mə'dʒɔriti/]	[01* dtừ]\n- đa số tuyệt đối, tuyệt đại đa số
absolute move	- (kỹ) di chuyển tuyệt đối
absolute movement	- (kỹ) di động tuyệt đối
absolute name	- (kỹ) tên tuyệt đối
absolute ohm	- (kỹ) ohm tuyệt đối
absolute order	- (kỹ) thứ tự tuyệt đối
absolute path	- (kỹ) đường tuyệt đối
absolute path name	- (kỹ) tên đường tuyệt đối
absolute permeability	- (kỹ) độ từ thẩm tuyệt đối
absolute permittivity	- (kỹ) hằng số điện môi tuyệt đối
absolute phase	- (kỹ) vị tướng/pha tuyệt đối
absolute plotting	- (kỹ) phép vẽ dùng vị trí tuyệt đối
absolute plotting unit	- (kỹ) đơn vị vẽ tuyệt đối
absolute position	- (kỹ) vị trí tuyệt đối
absolute promise [01/'æsəlju,prɔmis/]	[01* dtừ]\n- lời hứa vô điều kiện
absolute temperature [01/'æbsəlju tem,prit∫ə/]	- (kỹ) nhiệt độ tuyệt đối
absolute tense	- (kỹ) thời (chế) tuyệt đối (NB) 
absolute term	- (kỹ) số hạng tuyệt đối
absolute unit	- (kỹ) đơn vị tuyệt đối
absolute value	- (ktế) Giá trị tuyệt đối.\n- Giá trị của một biến bỏ qua dấu của nó\n- (kỹ) trị số tuyệt đối
