piratic	344-26700-B
pizzle	345-16601-B
pk	345-16673-B
pkg	345-16768-B
pkt	345-16858-B
pl	345-16931-B
pla	345-17090-B
placability	345-17210-B
placable	345-17325-B
placably	345-17411-B
placard	345-17440-B
placarder	345-17641-B
placate	345-17670-B
placater	345-17754-B
placation	345-17782-B
placatory	345-17811-B
place	345-17891-B,40-8570-S,43-10863-S,49-11634-S,112-890-S,143-7421-S,179-719-S,188-21099-S,220-16329-S,257-9467-S,263-18245-S,277-4746-S,282-23318-S,282-24854-S,286-7896-S,313-8383-S,388-6640-S,418-26871-S,421-20001-S,440-36738-S,443-18887-S,505-18260-S,516-179-S
place bet	345-22055-B
place brick	345-22483-B
place card	345-22597-B
place holder	345-22745-B
place hunter	345-22845-B
place kick	345-22951-B
place mat	345-23141-B
place name	345-23309-B
place setting	345-24322-B
placeability	345-21929-B
placeable	345-22028-B
placebo	345-22189-B
placebo effect	345-22386-B
placeholder	345-22719-B
placeman	345-23042-B
placement	345-23228-B
placenta	345-23380-B
placentae	345-23528-B
placental	345-23574-B
placentalia	345-23649-B
placentate	345-23734-B
placentation	345-23804-B
placentiferous	345-23895-B
placentigerous	345-23959-B
placentitis	345-24036-B
placer	345-24101-B
placer mining	345-24236-B
placering	345-24165-B
placet	345-24411-B
placid	345-24577-B
placidity	345-24628-B
placidly	345-24810-B
placket	345-24949-B
placket hole	345-24997-B
placoid	345-25062-B
plafform	432-13594-S
plafond	345-25168-B
plagal	345-25300-B
plage	345-25363-B
plagi	345-25424-B
plagiarise	345-25536-B
plagiarism	345-25588-B
plagiarist	345-25733-B
plagiaristic	345-25844-B
plagiarize	345-25879-B
plagiarizer	345-25979-B
plagiary	345-26013-B
plagio	345-26104-B
plagioclase	345-26130-B
plagioclimax	345-26200-B
plagiosere	345-26330-B
plagiotropic	345-26416-B
plagiotropism	345-26525-B
plagiotropous	345-26619-B
plague	345-26707-B,60-7696-S,71-667-S
plague ridden	345-27406-B
plague spot	346-0-B
plague stricken	346-199-B
plaguer	345-27380-B
plaguesome	345-27499-B
plaguily	346-258-B
plaguy	346-285-B
plaice	346-548-B
plaid	346-611-B,416-20607-S
plain	346-802-B,182-27398-S,392-17010-S,392-17063-S
plain cards	346-2068-B
plain clothes	346-2170-B
plain clothes man	346-2982-B
plain dealer	346-2272-B
plain dealing	346-2365-B
plain flour	346-2454-B
plain laid	346-3209-B
plain sailing	346-2532-B
plain song	346-4062-B
plain spoken	346-4140-B
plain weave	346-2629-B
plain woven	346-2740-B
plainchant	346-2806-B
plainclothesman	346-3101-B
plainly	346-3320-B
plainness	346-3560-B
plains	346-3760-B
plainsman	346-3860-B
plainsmen	346-3907-B
plainsong	346-3996-B
plaint	346-4251-B
plaintext	346-4359-B
plaintiff	346-4482-B,100-1182-S
plaintive	346-4574-B
plaintively	346-4660-B
plaintiveness	346-4759-B
plait	346-4850-B
plaiter	346-5144-B
plan	346-5169-B,346-5356-B,4-7527-S,16-21042-S,97-25716-S,113-11209-S,183-449-S,209-13394-S,245-13200-S,314-17039-S,358-22656-S
planar	346-6491-B,305-7727-S
planation	346-6561-B
planch	346-6635-B
planchet	346-6720-B
plane	346-6823-B,52-4163-S,90-599-S,99-5987-S,99-6743-S,99-21834-S,146-2015-S,177-6772-S,177-7027-S,182-22035-S,182-27499-S,184-4721-S,184-17214-S,209-17169-S,211-5912-S,213-14003-S,237-15298-S,254-2250-S,255-10493-S,273-17223-S,279-12569-S,328-7202-S,344-2931-S,371-11146-S,373-28644-S,375-11849-S,395-3772-S,405-5368-S,423-7682-S,460-22386-S,472-12395-S,479-32299-S,514-36966-S,516-2929-S
plane antenna	209-13524-S
plane bend	159-4160-S
plane chart	346-7716-B
plane geometry	346-7797-B
plane iron	346-7978-B
plane parallel	346-8063-B
plane polarized	346-8136-B
plane sailing	346-8274-B
plane stock	346-8470-B
plane table	346-8612-B
plane tree	346-9400-B
planeform	346-7880-B
planeness	346-8036-B
planer	346-8213-B
planet	346-8525-B,243-20785-S
planet gear	453-6822-S
planet stricken	346-9499-B
planet struck	346-9561-B
planetaria	346-8832-B
planetarium	346-8887-B
planetary	346-9013-B
planetism	346-9213-B
planetoid	346-9309-B
planetoidal	346-9367-B
plangency	346-9663-B
plangent	346-9813-B
plangently	346-9928-B
planiform	346-10074-B
planigraphy	346-10155-B
planimeter	346-10237-B
planimetric	346-10324-B
planimetrical	346-10421-B
planimetrically	346-10478-B
planimetry	346-10516-B
planing	346-10600-B
planipetalous	346-10649-B
planish	346-10742-B
planisher	346-10901-B
planisphere	346-10969-B
planispheric	346-11040-B
planispiral	346-11076-B
planissimo	346-11144-B
plank	346-11271-B,196-464-S,416-13205-S
plank bed	346-11700-B
planking	346-11760-B
plankton	346-11840-B
planktonic	346-11919-B
planless	346-11950-B
planned	346-12014-B
planned parenthood	346-12123-B
planner	346-12218-B,473-10033-S
planning	346-12289-B,80-14646-S,171-22738-S,473-10169-S
planning permission	346-12401-B
plano	346-12488-B
plano conical	346-12593-B
planoconcave	346-12512-B
planoconidium	346-12660-B
planoconvex	346-12750-B
planographic	346-12831-B
planography	346-12901-B
plant	346-12983-B,31-1288-S,69-23891-S,72-15394-S,81-1362-S,103-844-S,147-3496-S,155-11162-S,185-1504-S,185-30041-S,227-7659-S,230-13039-S,311-12179-S,311-15286-S,345-7293-S,354-30711-S,355-22015-S,355-24601-S,393-3546-S,395-33460-S,407-10089-S,408-25478-S,412-17205-S,426-16925-S,435-1468-S,469-2803-S,470-21158-S,504-17190-S,510-20845-S,516-3039-S
plant eating	346-15479-B
plant feeder	346-15668-B
plant food	346-15720-B
plant louse	346-16087-B,257-9186-S
plant tissue	346-16145-B
planta	346-14934-B
plantable	346-15022-B
plantain	346-15093-B
plantar	346-15232-B
plantation	346-15300-B,452-14817-S
planter	346-15564-B
plantigrade	346-15801-B
planting kingdom	346-15959-B
plantlet	346-16037-B
plantula	346-16211-B
planula	346-16288-B
planular	346-16380-B
planuloid	346-16438-B
planum	346-16498-B
plaque	346-16565-B
plary	491-23751-S
plash	346-16723-B
plashy	346-17409-B
plasm	346-17629-B
plasma	346-17733-B,6-17240-S,149-6958-S,196-16171-S
plasma display	197-71-S
plasma membrane	346-17852-B
plasmacytes	346-17936-B
plasmagene	346-18007-B
plasmalemma	346-18099-B
plasmapheresis	346-18182-B
plasmatic	346-18297-B
plasmatogamy	346-18367-B
plasmatoparous	346-18424-B
plasmocyte	346-18526-B
plasmodesm	346-18589-B
plasmodesmid	346-18733-B
plasmodial	346-18820-B
plasmodium	346-18853-B
plasmogamy	346-18945-B
plasmogen	346-19037-B
plasmolyse	346-19132-B
plasmolysis	346-19219-B
plasmolytic	346-19395-B
plasmolytically	346-19464-B
plasmometric	346-19503-B
plasmon	346-19595-B
plasmosome	346-19652-B
plasmotomy	346-19731-B
plasmotype	346-19813-B
plassom	346-19900-B
plaster	346-19975-B,101-5888-S,104-10375-S,263-14962-S,298-21049-S,443-18946-S
plaster cast	346-20530-B
plaster work	346-20917-B
plasterboard	346-20657-B
plastered	346-20719-B
plasterer	346-20764-B
plastering	346-20831-B
plastery	346-20987-B
plastic	346-21015-B,411-16695-S
plastic arts	346-21316-B
plastic bomb	346-21393-B
plastic clay	346-21453-B
plastic explosive	346-21539-B
plastic money	346-21620-B
plastic surgeon	346-21724-B
plastic surgery	346-21767-B
plastically	346-21853-B
plasticine	346-21920-B
plasticity	346-22023-B
plasticization	346-22115-B
plasticize	346-22152-B
plasticizer	346-22229-B
plastid	346-22320-B
plastidal	346-22384-B
plastidome	346-22444-B
plastidotype	346-22519-B
plastidule	346-22602-B
plastin	346-22678-B
plastochondria	346-22752-B
plastocont	346-22839-B
plastocyte	346-22922-B
plastodeme	346-22993-B
plastodesma	346-23081-B
plastogamy	346-23184-B
plastogen	346-23236-B
plastokont	346-23305-B
plastolysis	346-23357-B
plastomere	346-23442-B
plastorhexis	346-23514-B
plastosome	346-23605-B
plastral	346-23653-B
plastron	346-23682-B
plat	346-23859-B
platan	346-24300-B
plate	346-24343-B,29-15997-S,39-7712-S,39-20615-S,55-1513-S,57-12579-S,71-20040-S,85-18165-S,119-11965-S,137-8542-S,139-32710-S,170-5812-S,172-16396-S,178-14614-S,179-21233-S,181-12485-S,185-22809-S,204-702-S,204-3740-S,226-2567-S,269-41-S,276-2677-S,299-24765-S,307-3737-S,308-7175-S,373-25685-S,420-22149-S,420-24102-S,429-23868-S,431-27140-S,465-12743-S,470-1044-S,514-12598-S,517-20512-S
plate basket	346-25748-B
plate capacitance	208-11977-S
plate glass	346-26036-B
plate maker	347-276-B
plate mark	347-354-B
plate powder	347-602-B
plate rack	347-781-B
plate resistance	3-14697-S
plate transconductance	208-10200-S
plateau	346-25455-B
plateaux	346-25706-B
plated	346-25827-B,303-6241-S,420-22248-S,420-24177-S,442-5694-S
plateful	346-25980-B
platelayer	347-0-B
platelaying	347-91-B
platelet	347-144-B
platen	347-492-B
plater	347-675-B
platform	347-842-B
platform balance	347-1374-B
platform car	347-1456-B
platform scale	347-1552-B
platform ticket	347-1632-B
platformist	347-1705-B
plathelmintha	347-1797-B
platiculture	347-1881-B
plating	347-1976-B,148-13419-S,148-14682-S,303-6673-S,420-22307-S
platinic	347-2147-B
platiniferous	347-2239-B
platinisation	347-2310-B
platinise	347-2381-B
platinite	347-2428-B
platinization	347-2500-B
platinize	347-2562-B
platinoid	347-2620-B
platinous	347-2687-B
platinum	347-2753-B
platinum black	347-2814-B
platinum blonde	347-2881-B
platinum foil	347-2982-B
platinum metal	347-3045-B
platitude	347-3120-B
platitudinarian	347-3284-B
platitudinize	347-3518-B
platitudinous	347-3670-B
platitudinously	347-3757-B
platly	347-3794-B
platonic	347-3871-B
platonics	347-4126-B
platonise	347-4287-B
platonism	347-4335-B
platonist	347-4421-B
platonize	347-4502-B
platonum	347-4714-B
platoon	347-4782-B
platotude	347-4855-B
platten	347-5004-B
platter	347-5065-B
platy	347-5154-B
platycephalic	347-5213-B
platydactyl	347-5319-B
platyhelminth	347-5383-B
platykurtic	347-5461-B
platypus	347-5522-B
platyrrhine	347-5574-B
platyrrhinian	347-5634-B
plaudit	347-5736-B
plauditory	347-5858-B
plausibility	347-5926-B
plausible	347-6085-B
plausibleness	347-6323-B
plausibly	347-6358-B
play	347-6465-B,76-12692-S,78-11287-S,83-11888-S,188-12638-S,291-20765-S,299-9438-S,300-15178-S,331-888-S,347-16459-S,355-22087-S,355-24695-S,370-16837-S,379-14692-S,393-11907-S,401-16784-S,458-8791-S,482-16849-S,522-20982-S
