crowbar circuit	108-8697-B
curling irons	110-19804-B
curling pins	110-19877-B
curling tongs	110-19947-B
curly	110-20006-B
curly bracket	110-20084-B
curly cake	110-20128-B
curly pate	110-20268-B
curly top	110-20203-B
curmudgeon	110-20336-B
curmudgeonly	110-20425-B
curmudgeonry	110-20499-B
curn	110-20603-B
currag	110-20663-B
currant	110-20743-B,50-9504-S
currant jam	110-20828-B
currant jelly	110-20892-B
currant tree	110-20959-B
