afterlight	10-16580-B
airliner	12-9057-B
airlock	12-9132-B
airmail	12-9250-B
airman	12-9323-B
airmanship	12-9394-B
airmonger	12-9853-B
airphoto	12-9903-B
airplane	12-10098-B
airport	12-10313-B
airportable	12-10454-B
airproof	12-10530-B
airscrew	12-11117-B
airshed	12-11343-B
airship	12-11402-B
airsick	12-11447-B
airsickness	12-11660-B
airspace	12-11738-B
airstrip	12-12320-B
airtight	12-12470-B
airway	12-13053-B
airwoman	12-13091-B
airworthiness	12-13136-B
airworthy	12-13223-B
airy	12-13291-B
aisle	12-13734-B
ait	12-13898-B
aitch	12-13976-B
aitchbone	12-14018-B
aix	12-14082-B
ajar	12-14135-B
ajog	12-14298-B
ajutage	12-14370-B
aka	12-14403-B
akaryocyte	12-14541-B
akaryote	12-14625-B
akene	12-14695-B
akimbo	12-14732-B
akin	12-14846-B
akinesia	12-14936-B
al	12-14999-B,162-453-S
alabaster	12-15085-B
alack	12-15165-B
alackaday	12-15234-B
alacritous	12-15278-B
alacrity	12-15309-B
alalia	12-15408-B
alanine	12-15482-B
alar	12-15535-B
alarm	12-15612-B,61-24435-S,178-23563-S,184-20474-S,196-14777-S,443-29005-S
alarm clock	12-16258-B,12-16338-B
alarm module	12-16291-B
alarm post	12-16801-B
alarming	12-16411-B
alarmingly	12-16521-B
alarmism	12-16585-B
alarmist	12-16614-B
alarum	12-16906-B
alas	12-17167-B
alate	12-17247-B
alb	12-17340-B
alba	465-13165-S
albacore	12-17439-B
albanian	12-17482-B
albata	12-17666-B
albatross	12-17721-B
albedo	12-17786-B
albeit	12-17866-B
albert	13-0-B
albescent	13-158-B
albiness	13-234-B
albinism	13-304-B
albinistic	13-371-B
albino	13-402-B
albion	13-522-B
albite	13-582-B
albitic	13-645-B
albuginia	13-671-B
albugo	13-747-B
album	13-822-B,440-8731-S
albumen	13-885-B
albumenize	13-1007-B
albumin	13-1139-B,147-2077-S
albuminoid	13-1194-B
albuminous	13-1291-B
albuminuria	13-1369-B
albuminuric	13-1449-B
alburnum	13-1484-B
alcaic	13-1540-B
alcalde	13-1649-B
alcazar	13-1715-B
alchemic	13-1812-B
alchemical	13-1857-B
alchemise	13-1930-B
alchemist	13-2073-B
alchemistic	13-2130-B
alchemistical	13-2165-B
alchemize	13-2200-B
alchemy	13-2246-B
alcohol	13-2302-B,121-18093-S,240-16483-S,522-10144-S
alcoholic	13-2391-B,304-20865-S
