beta blocker	46-25753-B
bicephalous	47-15773-B
biceps	47-15835-B
bicharacteristic	47-15931-B
bichloride	47-15969-B
bichromate	47-16032-B
bicker	47-16093-B
bickerer	47-16233-B
bicolour	47-16337-B
bicompact	47-16389-B
bicompactification	47-16414-B
bicompactum	47-16453-B
bicomplex	47-16484-B
biconcave	47-16508-B
biconcavity	47-16573-B
biconditional	47-16606-B
biconical antenna	47-16740-B
biconjugate gradient method	47-16785-B
biconvex	47-16873-B
biconvex lens	47-16938-B
biconvexity	47-16989-B
biculturalism	47-17021-B
bicuspid	47-17208-B
bicycle	47-17369-B,371-16415-S
bicycler	47-17449-B
bicyclic	47-17518-B
bicyclist	47-17596-B
bicylinder	47-17641-B
bid	47-17665-B,488-24598-S
biddable	47-18817-B
bidden	47-18929-B
bidder	47-18959-B
bidding	47-19128-B
biddy	47-19314-B
bide	47-19520-B
bidet	47-19625-B
bidirectional	47-19773-B
bidirectional switch	197-7659-S
bidual	47-19844-B
biedermeier	47-19879-B
bield	47-20058-B
biennial	47-20100-B
biennially	47-20209-B
biennium	47-20275-B
bieqiuvalence	47-20364-B
bier	47-20402-B
bifacial	47-20493-B
bifactorial	47-20602-B
bifecnode	47-20631-B
biff	47-20657-B
biffin	47-20754-B
bifid	47-20819-B
bifida	435-9416-S
bifidity	47-20866-B
bifidly	47-20892-B
bifilar	47-20917-B
bifocal	47-20979-B
bifocalism	47-21051-B
bifocals	47-21081-B
biform	47-21163-B
bifunctor	47-21376-B
bifurcate	47-21423-B
bifurcately	47-21495-B
bifurcation	47-21528-B
big	47-21754-B
big bang	47-22622-B
big bang theory	47-22704-B
big blue	47-22912-B
big brother	47-23021-B
big brotherly	48-1901-B
big bug	47-23115-B
big business	48-0-B
big cat	48-81-B
big dipper	48-174-B
big end	48-275-B
big game	48-338-B,48-1961-B
big gun	48-420-B
big head	48-496-B
big headed	48-2167-B
big hearted	48-2262-B
big heartedly	48-2337-B
big heartedness	48-2374-B
big house	48-617-B
big mouth	48-692-B
big name	48-771-B
big noises	48-890-B
big shot	48-1017-B,48-3095-B
big stick	48-1086-B
big time	48-1168-B
big toe	48-1299-B
big top	48-1354-B
big tree	48-1422-B
big wheel	48-1501-B
bigamist	48-1584-B
bigamous	48-1673-B
bigamously	48-1744-B
bigamy	48-1820-B
bigenus	48-1938-B
biggie	48-1990-B
biggish	48-2093-B
bigheaded	48-2118-B
bighorn	48-2413-B
bight	48-2511-B
bigin	48-2658-B
biginning	48-2679-B
bigly	48-2709-B
bigness	48-2732-B
bignonia	48-2755-B
bigot	48-2814-B
bigoted	48-2873-B
bigotedly	48-2927-B
bigotedness	48-2958-B
bigotry	48-2989-B
bigrade	48-3048-B
bigshot	48-3069-B
bigstick	48-3124-B
bigwig	48-3154-B
biharmonic	48-3224-B
biholomorphic	48-3255-B
bijection	48-3290-B
bijou	48-3312-B
bijouterie	48-3349-B
bijoux	48-3455-B
bike	48-3637-B,296-16822-S,371-16514-S
bikini	48-3748-B
bikinied	48-3806-B
bikky	48-3833-B
bilabial	48-3900-B
bilabially	48-4011-B
bilabiate	48-4042-B
bilabong	48-4116-B
bilateral	48-4204-B
bilateral symmetry	48-4272-B
bilateralism	48-4358-B
bilaterally	48-4471-B
bilateralness	48-4546-B
bilberry	48-4581-B
bilbo	48-4676-B
bilboes	48-4751-B
bildungsroman	48-4859-B
bile	48-5000-B,50-8395-S
bile duct	48-5130-B
bile stone	48-5176-B
bilevel resist	48-5235-B
bilge	48-5281-B
bilgy	48-5535-B
bilharzia	48-5558-B
biliary	48-5658-B
bilinear	48-5713-B
bilinear system	48-5743-B
bilingual	48-5800-B
bilingualism	48-5968-B
bilingually	48-6002-B
bilious	48-6035-B
biliously	48-6173-B
biliousness	48-6250-B
bilirubin	48-6350-B
bilk	48-6487-B
bilker	48-6602-B
bill	48-6736-B,41-10662-S,88-35158-S,107-22846-S,108-8816-S,137-23762-S,184-8534-S,197-6731-S,243-17429-S,274-2484-S,332-14544-S,361-27666-S,377-33947-S,379-818-S,417-8135-S,418-4653-S,418-23801-S,420-2035-S,433-6402-S,437-990-S,441-11966-S,458-7547-S,469-23060-S,476-13826-S,479-15770-S,510-3666-S,515-8497-S,516-20195-S
bill broker	48-9337-B
bill fee	48-8242-B
bill of exchange	48-8273-B
bill of fare	48-8332-B
bill of health	48-8366-B
bill of indictment	48-8584-B
bill of lading	48-8664-B
bill of materials	48-8693-B
bill of quantities	48-8763-B
bill of rights	48-8888-B
bill of sale	48-8972-B
bill poster	48-11589-B
bill sticker	48-11642-B
billable	48-9078-B
billabong	48-9103-B
billboard	48-9198-B
billboard antenna	48-9295-B
billed	437-1037-S,471-25522-S
billet	48-9412-B
billet doux	48-10049-B
billfold	48-10104-B
billhook	48-10165-B
billiards	48-10238-B,41-18254-S
billiarsgate	48-10364-B
billing	48-10601-B
billingsgate	48-10717-B
billion	48-10923-B
billionaire	48-11016-B
billon	48-11084-B
billow	48-11194-B
billowiness	48-11395-B
billowy	48-11425-B
billposter	48-11505-B
billy	48-11715-B,221-15091-S,420-19517-S
billy club	48-11881-B
billy goat	48-12038-B
billy ho	48-12091-B
billy jack	48-12308-B
billy o	48-12357-B
billy oh	48-12397-B
billyboy	48-11805-B
billycock	48-11981-B
bilobate	48-12479-B
bilobed	48-12523-B
bilocular	48-12578-B
bilologist	48-12637-B
biltong	48-12707-B
bilulous	48-12795-B
bimanal	48-12897-B
bimane	48-12947-B
bimanous	48-13006-B
bimbo	48-13049-B
bimestrial	48-13136-B
bimetal	48-13224-B
bimetallic	48-13275-B
bimetallism	48-13334-B
bimetallist	48-13428-B
bimetallistic	48-13543-B
bimillenary	48-13580-B
bimodal	48-13680-B
bimodality	48-13718-B
bimodule	48-13803-B
bimolecular	48-13827-B
bimonthly	48-13894-B
bimos	48-14049-B
bimos integrated circuit	48-14160-B
bimotored	48-14219-B
bin	48-14297-B,31-1959-S,84-6191-S,271-21106-S,274-18055-S,316-6627-S,333-14194-S,395-35216-S,515-14045-S
bin end	48-17914-B
binariants	48-14416-B
binary	48-14448-B
binary code	48-14718-B
binary coded decimal interchange code	168-5523-S
binary conversion	117-11246-S
binary converter	18-13266-S
binary digit	48-14791-B
binary integer	48-14873-B
binary logic	48-14922-B
binary star	48-14967-B
binate	48-15057-B
binaural	48-15121-B
binaural effect	48-15207-B
binaurally	48-15258-B
bind	48-15289-B,137-23881-S,224-24467-S
binder	48-16694-B,205-28216-S,221-2481-S,379-25301-S,391-37999-S,409-13689-S,416-3066-S
bindery	48-16904-B
binding	48-16971-B,47-11541-S,213-8808-S,336-11260-S,373-22755-S,435-17725-S
binding energy	48-17442-B
bindingly	48-17610-B
bindingness	48-17641-B
bindlestiff	48-17672-B
bindweed	48-17761-B
bine	48-17840-B,224-24511-S,522-10218-S
binet simon scale	48-18024-B
binful	48-18168-B
binge	48-18250-B
binger	48-18319-B
bingo	48-18343-B
binit	48-18414-B
binman	48-18466-B
binnacle	48-18570-B
binocular	48-18637-B
binoculars	48-18697-B,361-23227-S
binoculary	48-18777-B
binodal	48-18865-B
binode	48-18895-B
binomial	48-18959-B
binominal	48-19002-B
binominalism	48-19271-B
binormal	48-19362-B
bins	48-19392-B
bint	48-19459-B
binturong	49-0-B
binuclear	49-61-B
bioactive	49-124-B
bioastronautics	49-195-B
biocatalytic	49-347-B
biochemical	49-428-B
biochemically	49-497-B
biochemist	49-535-B
biochemistry	49-596-B
biochip	49-656-B
biocide	49-689-B
bioclimatic	49-738-B
biocomputer	49-878-B
biodegradability	49-929-B
biodegradable	49-971-B
biodegradation	49-1073-B
biodegrade	49-1114-B
bioecologist	49-1151-B
bioecology	49-1239-B
bioelectric	49-1318-B
bioelectricity	49-1366-B
bioelectronics	49-1439-B
bioenergetics	49-1492-B
bioengineering	49-1574-B
bioenvironmental	49-1684-B
biofeedback	49-1766-B
biogas	49-1851-B
biogenesis	49-1991-B
biogenetic	49-2071-B
biogenetical	49-2127-B
biogenetically	49-2222-B
biogeny	49-2259-B
biogeography	49-2306-B
biographer	49-2389-B
biographic	49-2463-B
biographical	49-2517-B
biographically	49-2591-B
biography	49-2630-B,368-6442-S
biologic	49-2698-B
biological	49-2749-B,368-6552-S
biological control	49-2875-B
biological warfare	49-2953-B
biologically	49-3046-B
biologist	49-3123-B,368-6639-S
biology	49-3211-B,148-9758-S,284-11639-S,368-6720-S
bioluminescence	49-3271-B
bioluminescent	49-3356-B
biomaterial	49-3435-B
biomathematics	49-3599-B
biome	49-3668-B
biometric	49-3726-B
biometrical	49-3799-B
biometrically	49-3853-B
biometrician	49-3889-B
biometrics	49-3963-B
biometry	49-4013-B
bionic	49-4073-B
bionics	49-4220-B
bionomics	49-4286-B
biophysical	49-4335-B
biophysically	49-4403-B
biophysicist	49-4439-B
biophysics	49-4503-B
biopic	49-4601-B
bioplasm	49-4699-B
biopsic	49-4767-B
biopsy	49-4793-B
biorhythm	49-4848-B
biorthogonal	49-4913-B
biorthogonalization	49-4945-B
biorythm	49-4994-B
bios	49-5042-B
bioscience	49-5071-B
bioscope	49-5129-B
biosensor	49-5203-B
biosphere	49-5252-B
biostatistics	49-5312-B
biosynthesis	49-5357-B
biota	49-5452-B
biotechnical	49-5565-B
biotechnological	49-5604-B
biotechnology	49-5646-B
biparental	49-5726-B
bipart	49-5793-B
