chaton [01/∫æ'touη/]	[01* dtừ]\n- mặt nhẫn
checker [01/'t∫ekə/]	[01* dtừ]\n- (Mỹ) người tính tiền, người thu tiền (ở cửa hàng tự phục vụ...)\n[01* dtừ & ngđtừ] (như) [03chequer] 
checkerboard [01/'t∫ekəbɔ:d/]	như [03chess-board]
checkered [01/'t∫ekəd/]	- xem [03chequered] 
checkers [01/'t∫ekəz/]	[01* dtừ]\n- cờ đam (gồm 24 quân cờ cho hai người chơi) 
check-experiment [01/'t∫ekiks,perimənt/]	[01* dtừ]\n- thí nghiệm kiểm tra
checkflight [01/'t∫ekflait/]	[01* dtừ]\n- (hàng không) cuộc bay kiểm nghiệm
check-in [01/'t∫ek'in/]	[01* dtừ]\n- sự đăng ký ở khách sạn, sự đăng ký đi máy bay
checking	- (kỹ) kiểm tra (d) 
checking account [01/'tʃekiɳ əkaunt/]	[01* dtừ]\n- như [03current account]
checking procedure	- (kỹ) thủ tục kiểm
checklist [01/'t∫eklist/]	- (kỹ) danh sách kiểm
checkmate [01/'t∫ek'meit/]	[01* dtừ]\n- (đánh cờ) sự chiếu tướng; nước cờ chiếu hết\n- sự thua, sự thất bại\n[04! to play checkmate with somebody]\n- (đánh cờ) chiếu tướng vì bắt ai phải thua\n- đánh bại ai, đánh gục ai; phá vỡ kế hoạch của ai\n[01* ngđtừ]\n- (đánh cờ) chiếu hết\n- làm thất bại, đánh bại (người, kế hoạch) 
check-nut [01/'t∫eknʌt/]	[01* dtừ]\n- (kỹ) đai ốc hãm
check-out [01/'t∫ek'aut/]	[01* dtừ]\n- sự thanh toán tiền khách sạn\n- quầy thu tiền
check-point [01/'t∫ekpɔint/]	[01* dtừ]\n- trạm kiểm soát
checkpoint [01/'tʃekpɔint/]	- (kỹ) điểm kiểm tra, điểm đánh dấu
check-room [01/'t∫ekru:m/]	[01* dtừ]\n- (Mỹ) phòng gửi đồ đạc\n- nơi gửi áo mũ (ở rạp hát...) 
checkroom [01/tʃekrum/]	[01* dtừ]\n- phòng gửi áo mũ\n- phòng giữ hành lý
checkrow [01/'t∫ekrou/]	[01* dtừ]\n- dải đất, ô đất\n- thửa ruộng
check-string [01/'t∫ekstriη/]	[01* dtừ]\n- dây báo hãm (ở toa xe) 
check-stub [01/'t∫ekstʌb/]	[01* dtừ]\n- cuống séc
checksum	- tổng kiểm tra, đặc số kiểm tra
check-taker [01/'t∫ek,teikə/]	[01* dtừ]\n- người thu vé
check-up [01/'t∫ek'ʌp/]	[01* dtừ]\n- sự kiểm tra, sự kiểm soát; sự kiểm lại; sự kiểm tra toàn bộ (sức khoẻ...) 
check-weigher [01/'t∫ek,weiə/]	[01* dtừ]\n- người kiểm tra trọng lượng sản phẩm
checquered [01/'tʃekəd/]	[01* ttừ]\n- kẻ ô vuông; kẻ ca rô\n- (bóng) chìm nổi, ba đào, sóng gió\n[02= a checquered life] cuộc đời ba chìm bảy nổi
cheddar [01/'t∫edə(r) /]	[01* dtừ]\n- một loại phó mát dầy
cheek [01/t∫i:k/]	[01* dtừ]\n- má\n[02= a rosy cheek] má hồng\n- sự táo tợn, sự cả gan; thói trơ tráo, tính không biết xấu hổ\n[02= to have a cheek to do something] táo tợn làm việc gì, mặt dạn mày dày làm việc gì\n[02= what cheek!] đồ không biết xấu hổ!\n- lời nói láo xược, lời nói vô lễ\n[02= no more of your cheek!] im ngay cái lối ăn nói láo xược ấy đi!; hỗn vừa chứ!\n- thanh má, thanh đứng (của khung cửa)\n- (số nhiều) má (kìm, ròng rọc, êtô)\n[04! cheek by jowl]\n- vai kề vai; thân thiết với nhau, tớ tớ mình mình, mày mày tao tao\n[04! to one's own cheek]\n- cho riêng mình không chia xẻ với ai cả\n[04! to speak with (to have) one's tongue in one's cheek]\n- không thành thật, giả dối\n- chế nhạo, nhạo báng\n[01* ngđtừ]\n- láo xược với (ai), hỗn xược với (ai) 
cheek pouch [01/'t∫i:kpaut∫/]	[01* dtừ]\n- túi đựng thức ăn ở má
cheek-bone [01/'t∫i:kboun/]	[01* dtừ]\n- xương gò má
cheekily [01/'t∫i:kili/]	[01* phtừ]\n- láo xược, xấc xược
cheekiness [01/'t∫i:kinis/]	[01* dtừ]\n- sự táo tợn, sự cả gan, sự mặt dạn mày dày, sự trơ tráo, sự không biết xấu hổ\n- sự vô lễ, sự hỗn xược
cheeking	- sự kiểm tra\n- c. by resubstitution kiểm tra bằng cách thế (vào phương trình lúc đầu) 
cheek-tooth [01/'t∫i:ktu:θ/]	[01* dtừ]\n- răng hàm
cheeky [01/'t∫i:ki/]	[01* ttừ]\n- táo tợn, cả gan, mặt dạn mày dày, trơ tráo, không biết xấu hổ\n- vô lễ, hỗn xược
cheep [01/t∫ip/]	[01* dtừ]\n- tiếng chim chiếp (tiếng chim non)\n[01* nđtừ]\n- chim chiếp (tiếng chim non) 
cheeper	- xem [03cheep] 
cheer [01/t∫iə/]	[01* dtừ]\n- sự vui vẻ, sự khoái trá\n- sự cổ vũ, sự khuyến khích\n[02= words of cheer] những lời khuyến khích\n- sự hoan hô; tiêng hoan hô\n[02= to give three cheers for] hoan hô (ai) ba lần\n- đồ ăn ngon, món ăn thịnh soạn\n[02= to make good cheer] ăn món ăn thịnh soạn, ăn uống linh đình\n- khí sắc; thể trạng\n[02= what cheer this morning?] sáng nay anh thấy thể trạng thế nào?, sáng nay anh cảm thấy trong người thế nào?\n[04! to be good cheer!]\n- cố gắng lên!; đừng nản, hãy can đảm lên!\n[04! to be of good cheer]\n- đầy dũng cảm; đầy hy vọng\n[04! the fewer the better cheer]\n- càng ít người càng được ăn nhiều\n[01* ngđtừ]\n- làm vui mừng, làm phấn khởi; làm hớn hở ((cũng) [03cheer up] )\n- (+[04 on]) khích lệ, cổ vũ\n[02= to cheer someone on] khích lệ ai, cổ vũ ai\n- hoan hô, tung hô\n[02= speaker was cheered loudly] diễn giả được hoan hô nhiệt liệt\n[01* nđtừ]\n- vui, mừng, khoái, thích\n- (+[04 up]) phấn khởi, phấn chấn, hớn hở, vui vẻ lên, hăng hái lên\n[02= cheer up, boys!] vui vẻ lên, hăng hái lên nào các cậu!\n- hoan hô, vỗ tay hoan hô
cheerer	- xem [03cheer] 
cheerful [01/'t∫jəful/]	[01* ttừ]\n- vui mừng, phấn khởi; hớn hở, tươi cười\n[02= a cheerful face] bộ mặt hớn hở\n- vui mắt; vui vẻ\n[02= a cheerful room] căn phòng vui mắt\n[02= a cheerful conversation] câu chuyện vui vẻ\n- vui lòng, sẵn lòng, không miễn cưỡng (việc làm) 
cheerfully [01/'t∫iəfuli/]	như [03cheerily]
cheerfulness [01/'t∫iəfulnis/]	[01* dtừ]\n- sự hoan hỉ, sự hân hoan, sự vui mừng, sự phấn khởi\n- sự vui mắt, sự vui vẻ\n- sự vui lòng, sự sẵn lòng, sự không miễn cưỡng
cheerily [01/'t∫iərili/]	[01* phtừ]\n- vui vẻ, phấn khởi
cheeriness [01/'t∫iərinis/]	[01* dtừ]\n- sự vui vẻ, sự phấn khởi
cheering [01/'t∫iəriη/]	[01* dtừ]\n- tiếng hoan hô\n- tiếng cổ vũ khuyến khích\n[01* ttừ]\n- làm vui vẻ; làm phấn khởi\n- khuyến khích, cổ vũ
cheeringly	như [03cheerer]
cheerio [01/'t∫iəri'ou/]	[01* thán từ]\n- (lóng) chào anh!, chào cậu!, chào đồng chí!; chào bạn!\n- chúc sức khoẻ anh!, chúc sức khoẻ chị! (khi uống rượu) 
cheerless [01/'t∫iəlis/]	[01* ttừ]\n- buồn ủ rũ, ỉu xìu; âm u, ảm đạm\n[02= a damp cheerless room] căn phòng ẩm ướt ảm đạm\n- không vui vẻ, miễn cưỡng, bất đắc dĩ (việc làm) 
cheerlessly [01/'t∫iəlisli/]	[01* phtừ]\n- ủ rũ, buồn bã
cheerlessness [01/'t∫iəlisnis/]	[01* dtừ]\n- sự buồn ủ rũ, sự ỉu xìu; sự âm u, sự ảm đạm\n- sự không vui vẻ, sự miễn cưỡng, sự bất đắc dĩ
cheers!	- thành ngữ cheer\n- cheers!\n- chúc sức khoẻ! (trong bàn tiệc)\n- chào! (khi chia tay) 
cheery [01/'t∫iəri/]	[01* ttừ]\n- vui vẻ, hân hoan
cheese [01/t∫i:z/]	[01* dtừ]\n- phó mát, bánh phó mát\n- vật đóng bánh (như phó mát)\n- sữa trớ ra (trẻ con)\n[04! big cheese]\n- (Mỹ),(lóng) quan to, chóp bu, nhân vật quan trọng\n[04! to get the cheese]\n- nếm mùi thất bại\n- bị bịp\n[04! hard cheese]\n- (tục) sự không may, sự thất bại; hoàn toàn đáng buồn\n[01* nđtừ]\n- trớ ra (trẻ con)\n[01* dtừ (tục)]\n- the cheese thứ thượng hảo hạng, bậc nhất\n[02= these cigars are the real cheese] xì gà này là loại thượng hảo hạng; xì gà này mới thực là xì gà\n[02= he thinks he is quite the cheese] nó cứ tưởng nó là (bậc) nhất\n[01* ngđtừ (lóng)]\n- cheese it! cút đi! cẩn thận!, chú ý!\n- thôi, ngừng
cheese antenna	- (kỹ) ăngten parabôn trụ dẹt
cheese-board [01/'t∫i:zbɔ:d/]	[01* dtừ]\n- thớt dùng để cắt phó mát
cheeseburger [01/'t∫i:z,bə:gə(r) /]	[01* dtừ]\n- thịt băm có lẫn phó mát
cheesecake [01/'t∫i:zkeik/]	[01* dtừ]\n- bánh kem phó mát\n- ảnh phụ nữ đẹp dùng trong quảng cáo
cheese-cake [01/'tʃi:zkeik/]	[01* dtừ]\n- bánh kem\n- (Mỹ),(lóng) ảnh đàn bà cởi truồng, ảnh đàn bà ăn mặc loã lồ ((cũng) [03leg_art] ) 
cheese-cloth [01/'t∫i:zklɔθ/]	[01* dtừ]\n- vải thưa
cheesecloth [01/'tʃi:zklɔθ Mỹ klɔ:θ/]	[01* dtừ]\n- vải thưa bọc phó mát
cheese-drainer [01/'t∫iə,dreinə/]	[01* dtừ]\n- khuôn ráo (đan thưa để bỏ pho-mát vào cho rỉ nước đi) 
cheesemonger [01/'t∫i:z,mʌηgə/]	[01* dtừ]\n- người bán phó mát
cheese-off [01/'t∫i:zm 'ɔf/]	[01* ttừ]\n- cũng [03cheesed]\n- (tục) chán ngấy
cheese-paring [01/'t∫i:z,peəriη/]	[01* dtừ]\n- bì phó mát; vụn phó mát\n- tính hà tiện, tính bủn xỉn\n- (số nhiều) đồ ăn thừa; đồ bỏ đi
cheeseparing [01/'tʃi:z,peəriɳ/]	[01* dtừ]\n- sự chi li trong chi tiêu\n- tính bủn xỉn
cheese-rennet [01/'t∫i:z 'renit/]	[01* dtừ]\n- men dịch vị
cheesiness [01/'t∫i:zinis/]	[01* dtừ]\n- chất phó mát; mùi phó mát\n- sự đúng mốt; vẻ sang, vẻ bảnh\n- (Mỹ),(lóng) sự tồi; hạng bét
cheesy [01/'t∫i:zi/]	[01* ttừ]\n- có chất phó mát; có mùi phó mát\n- đúng mốt; sang, bảnh\n- (Mỹ),(lóng) tồi; hạng bét
cheetah [01/'t∫i:tə/]	[01* dtừ]\n- (động vật) loài báo gêpa
chef [01/∫ef/]	[01* dtừ]\n- đầu bếp
chef-d'oeuvre [01/∫ei'də:vr/]	[01* dtừ] s/n [03chefs-d'oeuvre]\n- kiệt tác, tác phẩm lớn
chefs-d'oeuvre [01/ʃei'də:vr/]	như [03chef-d'oeuvre]
cheiromancy [01/'kaiərəmænsi/]	[01* dtừ]\n- thuật xem tướng tay
cheiropteran [01/kaiə'rɔptərən/]	[01* dtừ]\n- (động vật) loài dơi
cheiropterous [01/kaiə'rɔptərəs/]	[01* ttừ]\n- (động vật)(thuộc) bộ dơi
chela [01/'t∫eilə/]	như [03chelae]
chelae [01/'tʃeilə/]	[01* dtừ] s/n [03chelae]\n- chú tiểu\n- (động vật) cái càng, cái kẹp (cua, bọ cạp...) 
chelate [01/'ki:lei/]	[01* ttừ]\n- có kìm; có càng có kẹp
chelate laser	- (kỹ) bộ kích quang hợp chất đất hiếm/sêlat
chelicera [01/ki'lisərə/]	[01* dtừ] s/n [02chelicerae]\n- chân có kìm
chellean [01/'∫eliən/]	[01* ttừ]\n- (địa) thuộc thời kỳ selơ (kỷ thứ tư) 
chelonian [01/ki'louniən/]	[01* ttừ]\n- thuộc lớp phụ rùa\n[01* dtừ]\n- động vật loại rùa
chelsea [01/'t∫elsi/]	[01* dtừ]\n- khu vực nghệ sĩ (ở Luân-đôn)\n[04! chelsea bun]\n- bánh bao nhân hoa quả\n[04! chelsea pensionner]\n- lính già ở bệnh viện Hoàng gia (Anh) 
chemic [01/'kemik/]	[01* ttừ]\n- thuộc hoá học\n- (cổ) thuộc thuật luyện kim
chemical [01/'kemikl/]	[01* ttừ]\n- (thuộc) hoá học\n[02= chemical warfare] chiến tranh hoá học
chemically [01/'kemikəli/]	[01* phtừ]\n- về phương diện hoá học
chemicals [01/'kemikəlz/]	[01* dtừ s/n]\n- hoá chất, chất hoá học
chemico-physical [01/'kemikou'fizikəl/]	[01* ttừ]\n- (thuộc) lý hoá
chemiluminescence [01/,kemilu:mi'nesəns/]	- (kỹ) phát quang hóa học
chemise [01/∫i'mi:z/]	[01* dtừ]\n- áo lót phụ nữ
chemisette [01/,∫emi:'zet/]	[01* dtừ]\n- áo lá (mặc trong, không tay)\n- vạt ngực (trang trí ngực và cổ áo bằng ren hay vải mịn) 
chemist [01/'kemist/]	[01* dtừ]\n- nhà hoá học\n- (Anh) người bán dược phẩm
chemistry [01/'kemistri/]	[01* dtừ]\n- ngành hoá học; môn hoá học, hoá học\n[02= analytic chemistry] hoá phân tích\n[02= synthetic chemistry] hoá tổng hợp\n[02= organic chemistry] hoá hữu cơ\n[02= inorgamic (mineral) chemistry] hoá vô cơ\n[02= pharmaceutical chemistry] hoá dược
chemoautotrophy [01/ki:mou,ɔ:'tɔtrəfi/]	[01* dtừ]\n- (sinh học) sự tự dưỡng hoá học
chemoprophylactic [01/,ki:mou,prɔfi'læktik/]	[01* ttừ]\n- thuộc cách phòng bệnh bằng thuốc
chemoprophylaxis [01/,ki:mou,prɔfi'læksis ; kemou-/]	[01* dtừ]\n- cách phòng bệnh bằng thuốc
chemosphere [01/'kemə,sfiə/]	[01* dtừ]\n- (khí tượng) quyển nhiệt
chemosterillant [01/'ki:mou'sterilənt ; kimou-/]	[01* dtừ]\n- thuốc gây vô sinh; thuốc tuyệt dục; thuốc cai đẻ
chemosynthesis [01/'ki:mou'sinθəzis/]	[01* dtừ]\n- sự hoá tổng hợp
chemosynthetic [01/,ki:mousin'θetik/]	[01* ttừ]\n- hoá tổng hợp
chemotactic [01/,ki:mou'tæktik/]	[01* ttừ]\n- theo hoá chất
chemotaxis [01/,ki:mou'tæksis/]	[01* dtừ]\n- (sinh học) tính theo hoá chất
chemotherapeutic	- xem [03chemotherapy] 
chemotherapeutically	như [03chemotherapeutic]
chemotherapist	như [03chemotherapeutic]
chemotherapy [01/,kemou'θerəpi/]	[01* dtừ]\n- (y) phép chữa hoá học
chemotropic	- xem [03chemotropism] 
chemotropism [01/ke'mɔtrəpizm/]	[01* dtừ]\n- (sinh vật) tính hướng hoá chất
chenille [01/∫ə'ni:l/]	[01* dtừ]\n- dây viền (quần áo) 
chenopodiaceous [01/,ki:nəpoudi'ei∫əs/]	[01* ttừ]\n- (thực vật)(thuộc) họ rau muối
chenopodiacesus [01/,ki:nəpoudi'ei∫əs/]	[01* ttừ]\n- thuộc họ rau muống
cheongsam [01/'t∫ɔηsæm/]	[01* dtừ]\n- áo dài (phụ nữ Trung Quốc) 
cheque [01/t∫ek/]	[01* dtừ]\n- séc\n[02= to cash a cheque] lĩnh tiền bằng séc\n[02= to draw a cheque] viết séc (để lấy tiền)\n[01* nđtừ]\n- to cheque out lĩnh séc
cheque card [01/'t∫ekkɑ:d/]	[01* dtừ]\n- thẻ séc
cheque-book [01/'t∫ekbuk/]	[01* dtừ]\n- sổ séc
chequer [01/'t∫ekə/]	[01* dtừ s/n]\n- biển hàng hình bàn cờ (ở cửa hiệu ăn)\n- ((thường) số nhiều) hình vẽ kẻ ô vuông; vải kẻ ca rô\n- (Mỹ) cờ đam\n[01* ngđtừ]\n- kẻ ô vuông; kẻ ca rô\n- tô màu sặc sỡ; tô nhiều màu\n- làm cho đỡ tẻ, làm cho mất tính đơn điệu
chequered [01/'t∫ekəd/]	- Cách viết khác : [03checkered]
chequers	- (lý thuyết trò chơi) trò chơi cờ (tây) 
cherish [01/'t∫eri∫/]	[01* ngđtừ]\n- yêu mến, yêu thương, yêu dấu\n[02= to cherish one's children] thương yêu con cái\n- (bóng) giữ trong lòng, nuôi ấp ủ\n[02= to cherish hopes] nuôi hy vọng
cherishable	- xem [03cherish] 
cherisher	như [03cherishable]
cherishingly	như [03cherishable]
chernozem [01/t∫ə:nə'zem/]	[01* dtừ]\n- đất đen nhiều bùn
cheroot [01/∫ə'ru:t/]	[01* dtừ]\n- xì gà xén tày hai đầu
cherry [01/'t∫eri/]	[01* ttừ]\n- đỏ màu anh đào\n[02= cherry lips] môi màu đỏ anh đào
cherry-blomssom [01/'tʃeri,blɔsəm/]	như [03cherry-blossom]
cherry-blossom [01/'t∫eri,blɔsəm/]	[01* dtừ]\n- hoa anh đào
cherry-brandy [01/'t∫eri,brændi/]	[01* dtừ]\n- rượu anh đào
chersonese [01/'kə:sə,ni:s/]	[01* dtừ]\n- (thơ ca) bán đảo
chert [01/t∫ə:t/]	[01* dtừ]\n- đá phiến xilic
cherub [01/'t∫erəb/]	như [03cherubim]
cherubic [01/t∫e'ru:bik/]	[01* ttừ]\n- có vẻ dịu dàng hiên hậu\n- có mắt tròn trĩnh
cherubically	- xem [03cherub] 
cherubim [01/'tʃerəb/]	[01* dtừ] s/n [03cherubim]\n- (số nhiều cherubim) tiểu thiên sứ\n- cherubs đứa bé dễ thương, đứa trẻ ngây thơ\n- (nghệ thuật)(số nhiều cherubs) đứa bé có cánh
cherublike [01/'t∫erəblaik/]	[01* ttừ]\n- giống thiên thần
chervil [01/'t∫ə:vil/]	[01* dtừ]\n- rau mùi, ngò
chervile [01/'t∫ə:vil/]	[01* dtừ]\n- (thực vật) rau xếp phôi
cheshire cat [01/'t∫e∫əkæt/]	[01* dtừ]\n- người lúc nào cũng nhăn nhở
chesil [01/'t∫ezl/]	[01* dtừ]\n- sỏi
chess [01/t∫es/]	[01* dtừ]\n- cờ\n[02= to play (at) chess] đánh cờ
chessboard [01/'t∫esbɔ:d/]	như [03chess-board]
chess-board [01/'tʃesbɔ:d/]	[01* dtừ]\n- bàn cờ
chessel [01/'t∫esl/]	[01* dtừ]\n- thùng để làm pho-mát
chessman [01/'t∫esmæn/]	[01* dtừ]\n- quân cờ
chess-man [01/'tʃesmæn/]	như [03chessman]
chess-player [01/'t∫es,pleiə/]	[01* dtừ]\n- người đánh cờ
