culler	- xem [03cull] 
cup bearer [01/'kʌpbeərə/]	[01* dtừ]\n- người hầu rượu (ở bữa tiệc vua chúa, quý tộc) 
cupboard [01/'kʌpbəd/]	[01* dtừ]\n- tủ (có ngăn), tủ búp phê\n[02= a kitchen cupboard] tủ đựng đồ ăn, tủ nhà bếp\n[02= a clothes cupboard] tủ đựng quần áo\n[04! cupboard love]\n- mối tình vờ vịt (vì lợi)\n[04! to cry cupboard]\n- kêu đói, thấy đói, thấy kiến bò bụng ((thường) + [02belly, inside, stomach])\n[02= my inside cries cupboard] tôi đã thấy kiến bò bụng\n[04! skeleton in the cupboard]\n- xem [03skeleton] 
cupcake [01/'kʌp,keik/]	[01* dtừ]\n- bánh nướng nhỏ
cupel [01/'kju:pel/]	[01* dtừ]\n- chén thử (vàng, bạc...)\n[01* ngđtừ]\n- thử (vàng, bạc...) 
cupeler	như [03cupeller]
cupellation [01/kju:pe'lei∫n/]	[01* dtừ]\n- cách tách kim loại quý bằng cupen
cupeller	- xem [03cupel] 
cupful [01/'kʌpful/]	[01* dtừ]\n- tách đầy, chén đầy
cupid [01/'kju:pid/]	[01* dtừ]\n- (thần thoại) thần ái tình\n- bức tranh thần ái tình, tượng thần ái tình
cupidity [01/kju:'piditi/]	[01* dtừ]\n- tính tham lam, máu tham
cupola [01/'kju:pələ/]	[01* dtừ]\n- vòm, vòm bát úp (nhà)\n- (kỹ) lò đứng, lò đúc\n- (phẫu) vòm, đỉnh vòm
cuppa [01/'kʌpə/]	[01* dtừ]\n- (lóng) chén trà
cupping [01/'kʌpiη/]	[01* dtừ]\n- (y) sự giác
cupping-glass [01/'kʌpiηglɑ:s/]	[01* dtừ]\n- (y) ống giác
cupreous [01/'kju:priəs/]	[01* ttừ]\n- có đồng, chứa đồng\n- (thuộc) đồng, như đồng
cupric [01/'kju:prik/]	[01* ttừ]\n- (hoá)(thuộc) đồng\n[02= cupric cupric acid] axit cupric
cupro-nickel [01/,kju:prou'nikl/]	[01* dtừ]\n- hợp kim đồng và niken dùng để đúc tiền
cuprous [01/'kju:prəs/]	[01* ttừ]\n- (hoá)(thuộc) đồng\n[02= cuprous sulfate] đồng sunfat
cup-ties [01/'kʌptaiz/]	[01* dtừ]\n- (thể thao) cuộc đấu loại (bóng đá) 
cupule [01/'kju:pju:l/]	[01* dtừ]\n- (thực vật) quả đấu\n- (động vật) bộ phận hình chén, ổ hình chén
cupuliform [01/'kju:pjulifɔ:m/]	[01* ttừ]\n- hình chén
cur [01/kə:/]	[01* dtừ]\n- con chó toi, con chó cà tàng (loại chó xấu)\n- tên vô lại, kẻ vô giáo dục; kẻ hèn nhát
curability [01/,kjuərə'biliti/]	như [03curableness]
curable [01/'kjuərəbl/]	[01* ttừ]\n- chữa được, chữa khỏi được (bệnh...) 
curableness [01/'kjuərəblnis/]	[01* dtừ]\n- tính có thể chữa được
curably	- xem [03curable] 
curacao [01/,kjuərə'sou/]	như [03curacoa]
curacoa [01/,kjuərə'souə/]	[01* dtừ]\n- rượu vỏ cam
curacy [01/'kjuərəsi/]	[01* dtừ]\n- (tôn giáo) chức cha phó
curare [01/kju'rɑ:ri/]	như [03woorali]
curarine [01/kju'ra:ri:n/]	[01* dtừ]\n- (hoá) curarin
curate [01/'kjuərit/]	[01* dtừ]\n- (tôn giáo) cha phó\n[02= curate in charge] cha phụ trách tạm thời
curate's egg	[01* dtừ]\n- cái có cả hai mặt tốt và xấu
curative [01/'kjuərətiv/]	[01* ttừ]\n- trị bệnh, chữa bệnh\n[02= the curative value of sunshine] tác dụng trị bệnh của ánh nắng\n[01* dtừ]\n- thuốc (chữa mắt) 
curatively	- xem [03curative] 
curativeness	như [03curatively]
curator [01/kjuə'reitə/]	[01* dtừ]\n- người phụ trách (nhà bảo tàng...)\n- (pháp lý) người quản lý, người trông nom (trẻ vị thành niên)\n- uỷ viên ban quản trị (trường đại học) 
curatorial	- xem [03curator] 
curatorship	như [03curatorial]
curb [01/kə:b/]	[01* dtừ]\n- dây cằm (ngựa)\n- sự kiềm chế, sự nén lại, sự kìm lại; sự hạn chế\n[02= to put (keep) a curb on one's anger] kiềm chế cơn giận\n- bờ giếng, thành giếng; lề đường\n- (thú y học) chỗ sưng, cục u (ở chân ngựa)\n[01* ngđtừ]\n- buộc dây cằm (vào ngựa) ; điều khiển (ngựa) bằng dây cằm\n- kiềm chế, nén lại; hạn chế\n[02= to curb one's anger] nén giận\n- xây thành cho (giếng) ; xây lề cho (đường...) 
curb-bit [01/kə:bbit/]	[01* dtừ]\n- hàm thiết ngựa
curb-chain [01/'kə:bt∫ein/]	[01* dtừ]\n- dây hàm thiếc ngựa
curbless [01/'kə:blis/]	[01* ttừ]\n- không có dây cương
curbstone [01/'kə:bstoun/]	[01* dtừ]\n- đá lát lề đường
curcuma [01/'kə:kjumə/]	[01* dtừ]\n- (thực vật) cây nghệ
curd [01/kə:d/]	[01* dtừ]\n- sữa đông (dùng làm phó mát)\n- cục đông
curdle [01/'kə:dl/]	[01* nđtừ]\n- đông lại, đông cục, dón lại\n[02= milk curdles] sữa đóng cục\n[02= blood curdles] máu đông lại\n[01* ngđtừ]\n- làm đông lại, làm đông cục (đen & bóng)\n[02= the sight curdled his blood] cảnh tượng đó làm cho máu hắn ta đông lại, cảnh tượng đó làm cho hắn rợn tóc gáy
curdy [01/'kə:di/]	[01* ttừ]\n- đóng cục, dón lại
cure [01/kjuə/]	[01* dtừ]\n- cách chữa bệnh, cách điều trị; việc chữa bệnh, việc điều trị; đợt chữa bệnh (bằng cách ăn uống cái gì... liên tục trong một thời gian)\n[02= his cure took six weeks] việc điều trị của anh ta mất sáu tuần lễ\n[02= the hot water cure] đợt chữa tắm nóng\n- thuốc, phương thuốc\n[02= a good cure for chilblains] một phương thuốc tốt để chữa cước nẻ\n- sự lưu hoá (cao su)\n- (tôn giáo) thánh chức\n[01* ngđtừ]\n- chữa bênh, điều trị\n[02= to cure a patient] điều trị một người bệnh\n- (bóng) chữa (thói xấu, tật xấu)\n[02= to cure laziness] chữa bệnh lười biếng\n- xử lý để có thể để lâu (bằng cách ướp muối, xông khói, phơi khô)\n- lưu hoá (cao su) 
cure-all [01/'kjuə'ɔ:l/]	như [03heal-all]
cureless [01/'kjuəlis/]	[01* ttừ]\n- không chữa được
curer [01/'kjuərə/]	[01* dtừ]\n- người chữa (bệnh, thói xấu...) 
curettage [01/kjuə'retidʒ/]	[01* dtừ]\n- (y) sự nạo thìa
curette [01/kjuə'ret/]	[01* dtừ]\n- (y) thìa nạo\n[01* ngđtừ]\n- (y) nạo (bằng) thìa
curfew [01/'kə:fju:/]	[01* dtừ]\n- lệnh giới nghiêm; sự giới nghiêm\n- (sử học) hiệu lệnh tắt lửa, chuông báo giờ tắt lửa; giờ tắt lửa\n- (sử học) hồi trống thu không
curia [01/'kjuəriə/]	[01* dtừ] s/n [02curiae]\n- curi (đơn vị chia theo thị tộc cổ La-mã)\n- triều chính toà thành giáo hội\n- (lịch sử) viện nguyên lão
curia regis [01/,kjuəriə 'ri:dʒis/]	[01* dtừ] s/n [03curiae regis]\n- hội đồng cố vấn các nhà vua trung cổ
curie [01/'kjʊəri/]	- (kỹ) curi (đơn vị phóng xạ) 
Curie constant	- (kỹ) hằng số Curie
Curie cut	- (kỹ) kiểu cắt Curie
curie point [01/'kjuəri'pɔint/]	- (kỹ) điểm Curie
curio [01/'kjuəriou/]	[01* dtừ]\n- vật hiếm có, của quý (đồ mỹ thuật), đồ cổ
curiosa [01/kjuəri 'ousə/]	[01* dtừ s/n]\n- những điều hiếm thấy\n- khách khiêu dâm
curiosity [01/,kjuəri'ɔsiti/]	[01* dtừ]\n- sự ham biết; tính ham biết\n- sự tò mò; tính tò mò, tính hiếu kỳ\n[02= out of curiosity] vì tò mò\n- vật kỳ lạ, vật hiếm, vật quý, cảnh lạ\n[02= the curiosities of the town] những cảnh lạ ở thành phố\n- sự kỳ lạ, sự hiếm có\n[04! to be tiptoe with curiosity]\n- tò mò muốn biết quá không kìm được\n[04! curiosity shop]\n- hiệu bán đồ cổ, hiệu bán những đồ quý hiếm\n[04! to set somebody's curiosity agog]\n- xem [03agog] 
curious [01/'kjuəriəs/]	[01* ttừ]\n- ham biết, muốn tìm biết\n[02= I'm curious to know what he said] tôi muốn (tìm) biết anh ấy nói gì\n- tò mò, hiếu kỳ, thọc mạch\n[02= curious eyes] đôi mắt tò mò\n- kỳ lạ, kỳ dị, lạ lùng\n[02= a curious mistake] một lỗi lầm kỳ lạ\n- tỉ mỉ\n[02= a curious inquiry] cuộc điều tra tỉ mỉ\n- (nói trại) khiêu dâm (sách) 
curiously [01/'kjueriəsli/]	[01* phtừ]\n- tò mò, hiếu kỳ\n- lạ kỳ
curiousness [01/'kjuəriəsnis/]	[01* dtừ]\n- tính ham biết, tính muốn tìm biết\n- tính tò mò\n- tính kỳ lạ, tính kỳ dị, tính lạ lùng
curium [01/'kjuəriəm/]	[01* dtừ]\n- (hoá) curium
curl [01/kə:l/]	[01* dtừ]\n- món tóc quăn\n- sự uốn quăn; sự quăn\n[02= to keep the hair in curl] giữ cho tóc quăn\n- làn (khói...) ; cuộn; cái bĩu (môi)\n- bệnh xoắn lá (của khoai tây)\n[01* ngđtừ]\n- uốn, uốn quăn, làm xoăn\n[02= to curl the hair] uốn tóc\n[01* nđtừ]\n- quăn, xoắn, cuộn\n[02= hair curls naturally] tóc quăn tự nhiên\n[04! to curl up]\n- cuộn lại, xoắn lại; cuồn cuộn lên (khói)\n- co tròn lại, thu mình lại\n[02= to lie curled up] nằm co tròn\n- (lóng) ngã sụp xuống (vì mệt, vì trúng đạn...) 
curl paper [01/'kə:l,peipə/]	[01* ttừ] giấy uốn tóc
curler [01/'kə:lə(r) /]	[01* dtừ]\n- dụng cụ cuộn tóc
curlew [01/'kə:lju:/]	[01* dtừ]\n- (động vật) chim mỏ nhát, chim dẽ
curlicue [01/'kɜ: likju:/]	[01* dtừ]\n- vòng xoắn trang trí
curlily	- xem [03curly] 
curliness [01/'kə:linis/]	[01* dtừ]\n- tính quăn, tính xoắn
curling [01/'kə:liη/]	[01* dtừ]\n- (Ê-cốt) môn đánh bi đá trên tuyết\n[01* ttừ]\n- quăn, xoắn
curling-irons [01/'kə:liη,aiənz/]	[01* dtừ s/n]\n- kẹp uốn tóc
curling-pins [01/'kə:liηpinz/]	[01* dtừ s/n]\n- cặp xoắn tóc
curling-tongs [01/'kə:liɳtɔɳz/]	như [03curling-irons]
curly [01/'kə:li/]	[01* ttừ]\n- quăn, xoắn\n[02= curly hair] tóc quăn
curly bracket	- (kỹ) dấu ngoặc xoắn
curly cake [01/'kə:li keik/]	[01* dtừ]\n-(thực vật) rau cải xoăn
curly top [01/'kə:litɔp/]	[01* dtừ]\n- bệnh làm quăn lá
curly-pate [01/'kə:lipeit/]	[01* dtừ]\n- người có tóc quăn
curmudgeon [01/kə:'mʌdʒən/]	[01* dtừ]\n- người keo kiết\n- người thô lỗ
curmudgeonly [01/kə:'mʌdʒənli/]	[01* ttừ]\n- thô lỗ, cộc cằn
curmudgeonry	- xem [03curmudgeon] 
cur-murring [01/kə:'mʌriη/]	[01* dtừ]\n- âm thanh nhẹ, nhỏ
curn [01/kə:n/]	[01* dtừ]\n- hạt nhỏ; lượng nhỏ
currag [01/'kʌrə ;'kʌrəkh/]	[01* dtừ]\n- cũng [03currach]\n- thuyền da
currant [01/'kʌrənt/]	[01* dtừ]\n- nho Hy-lạp\n- quả lý chua; cây lý chua
currant jam [01/'kʌrəntdʒæm/]	[01* dtừ]\n- mứt lý chua
currant jelly [01/'kʌrən,dzeli/]	[01* dtừ]\n- thạch lý chua
currant tree [01/'kʌrənt tri:/]	[01* dtừ]\n- cầy lý chua
currant wine [01/'kʌrəntwain/]	[01* dtừ]\n- rượu lý chua
currency [01/'kʌrənsi/]	[01* dtừ]\n- sự lưu hành; thời gian lưu hành ((thường) nói về tiền tệ)\n- tiền, tiền tệ\n[02= foreign currency] tiền nước ngoài, ngoại tệ\n[02= paper currency] tiền giấy\n- (bóng) sự phổ biến, sự thịnh hành\n[02= to gain currency] trở thành phổ biến
current [01/'kʌrənt/]	[01* dtừ]\n- dòng (nước) ; luồng (gió, không khí) ; (điện học) dòng điện\n[02= direct current] dòng điện một chiều\n[02= alternative current] dòng điện xoay chiều\n- dòng, luồng, chiều, hướng (dư luận, tư tưởng...)\n[02= the current of time] dòng thời gian\n[02= the current of thought] luồng tư tưởng\n[04! against the current]\n- ngược dòng\n[04! to breast the current]\n- đi ngược dòng\n[04! to go with the current]\n- đi theo dòng, đi xuôi dòng\n[01* ttừ]\n- hiện hành, đang lưu hành\n[02= current money] tiền đang lưu hành\n- phổ biến, thịnh hành, thông dụng\n[02= current opinions] ý kiến (quan điểm) phổ biến\n- hiện thời, hiện nay, này\n[02= the current month] tháng này\n[02= the current issue] số (báo) kỳ này\n[04! to go (pass, run) current]\n- được thừa nhận, được dư luận chung công nhận là đúng (là thật) 
current account [01/'kʌrəntə'kaunt/]	- (ktế) Tài khoản vãng lai/ tài khoản hiện hành, cán cân tài khoản vãng lai.
current address	- (kỹ) địa chỉ hiện thời
current amplification	- (kỹ) khuếch đại dòng
current assets [01/'kʌrəntæsets/]	- (ktế) Tài sản lưu động.
current attenuation	- (kỹ) suy giảm cường độ
current average	- (kỹ) trung bình cường độ
current balance	- (kỹ) cân bằng dòng điện
current circuit	- (kỹ) mạch dòng
current coil	- (kỹ) cuộn dây dòng điện
current density	- (kỹ) mật độ dòng điện
current divider	- (kỹ) bộ phân dòng
