cow-puncher [01/'kau,pʌnt∫ə/]	[01* dtừ]\n- (Mỹ)(tục)(như) [03cow-boy] 
cqd [01/si:kju:di:/]	[01* (vt)]\n- tín hiệu vô tuyến có nghĩa là đến nhanh! Nguy hiểm ([03come quick! Danger]) 
CR (Carriage Return)	- (kỹ) xuống-về đầu hàng; về đầu hàng, phục qui (NB) 
crab [01/kræb/]	[01* dtừ]\n- quả táo dại ((cũng) [03crab apple] ) ; cây táo dại ((cũng) [03crab tree] )\n- người hay gắt gỏng, người hay càu nhàu\n- con cua\n- can rận ((cũng) [03crab louse] )\n- (kỹ) cái tời\n- (số nhiều) hai số một (chơi súc sắc) ; (bóng) sự thất bại\n[01* đtừ]\n- cào xé (bằng móng) ; vồ, quắp (chim ưng)\n- công kích chê bai, chỉ trích (ai) 
crab apple	[01* dtừ]\n- cây táo đại\n- quả táo đại
crab-apple [01/'kræb,æpl/]	[01* dtừ]\n- quả táo tây dại
crabbed [01/'kræbid/]	[01* ttừ]\n- hay càu nhàu, hay gắt gỏng; chua chát\n- khó đọc\n[02= crabbed writing] chữ khó đọc\n- lúng túng, lằng nhằng, không thoát (văn) 
crabbedly	- xem [03crabbed] 
crabbedness	như [03crabbedly]
crabber	- xem [03crab] 
crabbily	- xem [03crabby] 
crabbiness	như [03crabbily]
crabbing [01/'kræbiη/]	[01* dtừ]\n- việc bắt cua
crabbit [01/'kræbit/]	[01* ttừ]\n- khó tính; dễ cáu
crabby [01/'kræbi/]	[01* ttừ]\n- cáu gắt, gắt gỏng
crab-louse [01/'kræblause/]	như [03body louse]
crab-pot [01/'kræbpɔt/]	[01* dtừ]\n- vết nứt, vết rạn, vết nẻ\n- tiếng kêu răng rắc; tiếng nổ giòn (súng, sấm...) ; tiếng đét đét (roi da...)\n- quả đấm mạnh\n[02= a crab-pot on the head] một quả đấm mạnh vào đầu\n- lát, thoáng\n[02= in a crab-pot] chỉ một thoáng\n- cuộc nói chuyện vui, cuộc nói chuyện phiếm\n- tay giỏi, tay cừ khôi (cưỡi ngựa, đánh bài, chèo thuyền...)\n- (lóng) kẻ trộm; vụ nạy cửa ăn trộm, vụ đào ngạch ăn trộm\n- (Mỹ) giọng vỡ tiếng\n- (số nhiều) tin tức\n- (cổ),(lóng) lời nói láo, lời nói khoác
crab-tree [01/'kræbtri:/]	[01* dtừ]\n- cây táo tây dại
crabwise [01/'kræbwaiz/]	[01* phtừ]\n- khó nhọc, cực nhọc
crack [01/kræk/]	[01* ttừ]\n- (tục) cừ, xuất sắc\n[02= a crack oar] tay chèo cừ\n[02= a crack shot] tay súng giỏi\n[02= crack unit] đơn vị xuất sắc, đơn vị thiện chiến\n[01* ngđtừ]\n- quất (roi) đét đét; búng (ngón tay) kêu tanh tách, bẻ (đốt ngón tay) kêu răng rắc\n- làm nứt, làm rạn, làm vỡ, kẹp vỡ\n[04! to crack a glass]\n- làm rạn một cái tách\n[02= to crack a skull] đánh vỡ sọ\n- làm tổn thương\n[02= to crack someone's credit (reputation)] làm tổn thương danh dự của ai\n- (kỹ) làm crackinh (dầu hoả...)\n[01* nđtừ]\n- kêu răng rắc, kêu đen đét, nổ giòn\n- nứt nẻ, rạn nứt, vỡ, gãy (đen & bóng)\n[02= that board has cracked in the sun] mảnh gỗ ấy nứt ra dưới ánh nắng\n[02= imperialism is cracking everywhere] chủ nghĩa đế quốc rạn nứt khắp nơi\n[02= his voice begins to crack] nó bắt đầu vỡ tiếng\n- nói chuyện vui, nói chuyện phiếm\n[04! to crack sown on]\n- (Mỹ),(lóng) đàn áp thẳng tay\n[04! to crack up]\n- tán dương, ca ngợi (ai)\n- vỡ nợ, phá sản\n- kiệt sức\n- khoe khoang, khoác lác, huênh hoang, nói phách\n[04! to crack a bottle with someone]\n- mở một chai rượu uống hết với ai\n[04! to crack a crib]\n- (lóng) đào ngạch vào ăn trộm, nạy cửa vào ăn trộm\n[04! to crack a joke]\n- nói đùa một câu\n[04! a hard nut to crack]\n- xem [03nut] 
crack of dawn [01/'krækə'dɔ:n/]	[01* dtừ]\n- ánh sáng đầu tiên lúc rạng đông
crack of doom [01/'krækəv'du:m/]	[01* dtừ]\n- tiếng sấm báo ngày Chúa phán xử
crackajack [01/'krækədʒæk/]	[01* dtừ]\n- (tục) người tài năng phi thường\n[01* ttừ]\n- tài giỏi tuyệt vời
crack-barrel [01/'krækə,bærəl/]	[01* ttừ]\n- thôn dã
crackbrain	[01* ttừ]\n- gàn dở, dở hơi, điên rồ
crack-brained [01/'krækbreind/]	[01* ttừ]\n- gàn, dở hơi
crackdown [01/'krækdaun/]	[01* dtừ]\n- sự trừng trị thẳng tay, biện pháp thẳng tay hơn
crack-down [01/'krækdaun/]	[01* dtừ]\n- sự trừng trị thẳng tay, sự đàn áp không nương tay
cracked [01/krækt/]	[01* ttừ]\n- rạn, nứt\n[02= a cracked cup] cái tách rạn\n- vỡ (tiếng nói)\n- (tục) gàn, dở hơi
cracker [01/'krækə/]	[01* dtừ]\n- (Mỹ) bánh quy giòn\n- kẹo giòn\n- pháo (để đốt)\n- (số nhiều) cái kẹp hạt dẻ\n- tiếng đổ vỡ; sự đổ vỡ\n-(ngôn ngữ nhà trường),(lóng) lời nói láo, lời nói khoác\n- (Mỹ) người da trắng nghèo ở miền nam nước Mỹ\n- (Mỹ) máy đập giập, máy nghiền, máy tán\n[04! to be crackers]\n- (lóng) hoá rồ, dở chứng gàn
cracking [01/'krækiη/]	[01* dtừ]\n- (kỹ) crackinh
crackjack [01/'krækdʒæk/]	[01* dtừ]\n- (Mỹ),(lóng) tay xuất sắc, tay cừ khôi (trong công việc gì)\n- vật rất chiến, vật rất tuyệt
crack-jaw [01/'krækdʒɔ:/]	[01* dtừ]\n- (tục) khó đọc, khó phát âm (từ) 
crackle [01/'krækl/]	[01* dtừ] ((cũng) [03crackling] )\n- tiếng tanh tách, tiếng răng rắc, tiếng lốp bốp\n- da rạn (đồ sứ) ; đồ sứ da rạn ((cũng) [03crackle china] )\n[01* nđtừ]\n- kêu tanh tách, kêu răng rắc, kêu lốp bốp
crackled [01/'krækld/]	[01* ttừ]\n- bị rạn nứt\n- có da rạn (đồ sứ) 
crackleware	[01* dtừ]\n- sứ men rạn
crackle-ware [01/'krækl,weə/]	như [03crackleware]
crackling [01/'krækliη/]	[01* dtừ]\n- (như) [03crackle]\n- bị giòn (thịt lợn quay) 
crackly [01/'krækli/]	[01* ttừ]\n- nhăn nheo; dễ nổ lách tách
cracknel [01/'kræknl/]	[01* dtừ]\n- bánh quy giòn
crackpot [01/'krækpɔt/]	[01* dtừ]\n- người có suy nghĩ lập dị
cracksman [01/'kræksmən/]	[01* dtừ]\n- kẻ trộm đào ngạch, kẻ trộm nạy cửa
crack-up [01/'krækʌp/]	[01* dtừ]\n- sự kiệt sức
cracky [01/'kræki/]	[01* ttừ]\n- nứt, rạn\n- giòn, dễ vỡ\n- (tục) gàn, dở hơi
cracovian	- (giải tích) cracôvian
cradle [01/'kreidl/]	[01* dtừ]\n- cái nôi\n- (bóng) nguồn gốc, gốc, nơi bắt nguồn, cái nôi\n[02= the cradle of the Anglo-Saxon] nguồn gốc người Ang-lô Xắc-xông\n- (hàng hải) giàn giữ tàu (khi đóng hoặc sửa chữa)\n- cái khung gạt (ở cái hái lớn\n- thùng đãi vàng\n- giá để ống nghe (của máy điện thoại)\n[04! from the cradle]\n- từ khi còn nằm nôi, từ khi mới lọt lòng\n[04! the cradle of the deep]\n- (thơ ca) biển cả\n[04! to rob the cradle]\n- (tục) tìm hiểu (lấy) người trẻ hơn mình; già còn thích chơi trống bỏi\n[01* ngđtừ]\n- đặt (đứa trẻ) vào nôi; bế ẵm nâng niu bế đứa trẻ trong tay\n- đặt (tàu) vào giá (để đóng hoặc sửa chữa)\n- cắt (lúa...) bằng hái có khung gạt\n- đãi (quặng vàng) 
cradle song [01/'kreidl sɔη/]	[01* dtừ]\n- bài hát ru con
cradle switch	- (kỹ) cái chuyển mạch trên giá (điện thoại) 
cradler	- xem [03cradle] 
cradling [01/'kreidliη/]	[01* dtừ]\n- sự đặt vào nôi; sự bế ẵm, sự nâng niu\n- sự đặt vào giá (để đóng hoặc sửa chữa tàu)\n- sự cắt bằng hái có khung gạt\n- sự đãi (quặng vàng)\n- (kiến trúc) khung (bằng gỗ hay bằng sắt dùng trong xây dựng) 
craft [01/krɑ:ft/]	[01* dtừ]\n- nghề, nghề thủ công\n- tập thể những người cùng nghề (thủ công)\n- mưu mẹo, mánh khoé, ngón xảo quyệt, ngón lừa đảo\n- (số nhiều không đổi)(hàng hải) tàu\n- (số nhiều không đổi) máy bay\n- (the Craft) hội tam điểm
craft-brother [01/'krɑ:ft,brʌđə/]	[01* dtừ]\n- bạn cùng nghề (thủ công) 
crafter	- xem [03craft] 
craft-guild [01/'krɑ:ftgild/]	[01* dtừ]\n- phường hội (thủ công) 
craftily [01/'krɑ:ftili/]	[01* phtừ]\n- láu cá, quỷ quyệt
craftiness [01/'krɑ:ftinis/]	[01* dtừ]\n- sự mánh khoé, sự láu cá, tính xảo quyệt, tính xảo trá
craftless [01/'kra:ftlis/]	[01* ttừ]\n- không gian xảo; không mánh khoé
craftsman [01/'krɑ:ftsmən/]	[01* dtừ]\n- thợ thủ công\n- người khéo léo, người có kỹ xảo, người điêu luyện, người lành nghề
craftsmanlike	như [03craftsmanly]
craftsmanly	- xem [03craftsman] 
craftsmanship [01/'krɑ:ftsmən∫ip/]	[01* dtừ]\n- sự khéo léo, sự lành nghề, sự thạo nghề
crafty [01/'krɑ:fti/]	[01* ttừ]\n- lắm mánh khoé, láu cá, xảo quyệt, xảo trá
crag [01/kræg/]	[01* dtừ]\n- núi đá dốc lởm chởm, vách đứng, vách đá cheo leo
cragged [01/'krægid/]	[01* ttừ]\n- có nhiều vách đá dốc lởm chởm, có nhiều vách đứng cheo leo
craggily	- xem [03craggy] 
cragginess	như [03craggily]
craggy [01/'krægi/]	[01* ttừ]\n- lởm chởm đá, dốc đứng, hiểm trở
cragpit [01/'krægpit/]	[01* dtừ]\n- hang động
cragsman [01/'krægzmən/]	[01* dtừ]\n- người leo núi giỏi
crake [01/kreik/]	[01* dtừ]\n- (động vật) gà nước\n- tiếng kêu của gà nước\n[01* nđtừ]\n- kêu (gà nước) ; kêu như gà nước
cram [01/kræm/]	[01* dtừ]\n- sự nhồi sọ, sự luyện thi\n- đám đông chật ních\n- (lóng) lời nói dối, lời nói láo, lời nói dóc\n[01* ngđtừ]\n- nhồi, nhét, tống vào\n- nhồi sọ; luyện thi (cho một học sinh)\n- nhồi, vỗ (gà, vịt cho chóng béo)\n[01* nđtừ]\n- ních đầy bụng, ngốn, nhồi\n- học luyện thi, ôn thi\n[04! to cram for an examination]\n- học gạo để thi\n- (lóng) nói dối, nói láo, nói dóc\n[04! to cram up]\n- học nhồi nhét (một vấn đề) 
crambo [01/'kræmbou/]	[01* dtừ]\n- trò chơi hoạ vần (một người xướng lên một từ, những người khác tìm từ cùng vần) 
cram-full [01/'kræm'ful/]	[01* ttừ]\n- chan chứa, đầy tràn, đầy không nhồi vào đâu được nữa
crammer [01/'kræmə/]	[01* dtừ]\n- người luyện thi (cho học sinh)\n- (lóng) người nói dối, người nói láo, người nói dóc\n-(đùa) lời nói dối, lời nói láo, lời nói dóc
cramp [01/kræmp/]	[01* dtừ]\n- (y) chứng ruột rút\n[02= to be taken with a cramp] bị chuột rút\n- (bóng) sự bó buộc, sự câu thúc, sự tù túng, sự gò bó\n- (kỹ) thanh kẹp, má kẹp ((cũng) [03cramp-iron] )\n- bàn kẹp mộng (của thợ mộc)\n[01* ttừ]\n- bị chuột rút\n- khó đọc (chữ)\n[04! cramp handwriting]\n- chữ viết khó đọc\n- bị ép chặt, bị bó chặt, chật hẹp, tù túng, không tự do, không được thoải mái\n[01* ngđtừ]\n- làm cho co gân, làm cho bị chuột rút\n- (bóng) cản trở; câu thúc, làm khó (cử động)\n[02= all these worries cramped his progress] tất cả các sự lo lắng ấy đã làm cản trở anh ta tiến bộ\n- kẹp bằng thanh kẹp, kẹp bằng bàn kẹp\n[04! to cramp up]\n- ép chặt, bóp chặt, bó chặt
cramped [01/kræmpt/]	[01* ttừ] khó đọc (chữ) ; chật hẹp, tù túng, không được tự do; gò bó không thanh thoát, không phóng túng (văn) 
cramp-fish [01/'kræmpfi∫/]	[01* dtừ]\n- (động vật) cá điện
cramp-iron [01/'kræmp,aiən/]	[01* dtừ]\n- thanh kẹp, má kẹp ((cũng) [03cramp] ) 
crampon [01/'kræmpən/]	[01* dtừ]\n- móc sắt\n- (số nhiều) đánh giày (đá bóng, trượt tuyết) 
cran [01/kræn/]	[01* dtừ]\n- đơn vị đo lường Xôtlân bằng 170 lit
cranage [01/'kreinidʒ/]	[01* dtừ]\n- sự dùng cần trục (để cất hàng)\n- cước phí cần trục
cranberry [01/'krænbəri/]	như [03fen-berry]
crane [01/krein/]	[01* dtừ]\n- (động vật) con sếu\n- (kỹ) cần trục\n- xiphông\n- (ngành đường sắt) vòi lấy nước ((cũng) [03water crane] )\n[01* ngđtừ]\n- nâng (trục, bốc, cất)(hàng) bằng cần trục\n- vươn, nghển\n[02= to crane one's neck] nghển cổ\n[01* nđtừ]\n- vươn cổ, nghển cổ\n- (crane at) chùn lại, chùn bước, dừng lại\n[02= to crane at a hedge] chùn bước lại không dám nhảy qua hàng rào (ngựa)\n[02= to crane at a difficulty] chùn bước trước khó khăn
crane bridge [01/'krein,bridʒə/]	[01* dtừ]\n- cái cầu kéo lên hạ xuống bằng máy
crane-fly [01/'krein flai/]	[01* dtừ]\n- ruồi dài chân
craneman [01/'kreinmən/]	[01* dtừ] s/n [02cranemen]\n- công nhân lái xe cần trục
cranesbill [01/'kreinz,bil/]	[01* dtừ]\n- (thực vật) cây mỏ hạc
crane-truck [01/'kreintrʌk/]	[01* dtừ]\n- xe tải cần cẩu; xe cần cẩu; xe cần trục
crania [01/'kreinjəm/]	[01* dtừ] s/n [03crania]\n- (phẫu) sọ
cranial [01/'kreinjəl/]	[01* ttừ]\n- (phẫu)(thuộc) sọ
cranial index [01/'kreniəl,indeks/]	[01* dtừ]\n- chỉ số sọ
cranial nerves [01/'kreiniəl,nə:vz/]	[01* dtừ]\n- thần kinh sọ
cranially	- xem [03cranial] 
craniate [01/'kreinieit/]	[01* ttừ]\n- có sọ
craniofacial [01/,kreiniou'fei∫əl/]	[01* ttừ]\n- thuộc sọ và mặt
craniology [01/,kreini'ɔlədʒi/]	[01* dtừ]\n- khoa sọ
craniometry [01/,kreini'ɔmitri/]	[01* dtừ]\n- phép đo sọ
cranium [01/'kreinjəm/]	như [03crania]
crank [01/kræηk/]	[01* dtừ]\n- lối chơi chữ, lối nói kỳ quặc\n- ý nghĩ quái gỡ; hành động kỳ quặc, hành động lập dị\n- người kỳ quặc, người lập dị\n- cái quay tay (máy hơi nước, máy nổ)\n[01* ngđtừ]\n- lắp quay tay\n- bẻ thành hình quay tay\n- (crank up) quay (máy)\n[02= to crank up an engine] quay một cái máy\n[01* ttừ]\n- không vững, ọp ẹp, xộc xệch\n- (hàng hải) tròng trành, không vững (tàu, thuyền) 
crank starter [01/'kræηksta:tə/]	[01* dtừ]\n- bộ khởi động bằng quay tay
crank-case [01/'kræηk,keis/]	[01* dtừ]\n- hộp đựng khoan quay tay
crank-gear [01/'krein,dʒiə/]	[01* dtừ]\n- bộ bàn đạp
crankily	- xem [03cranky] 
crankiness [01/'kræηkinis/]	[01* dtừ]\n- sự tròng trành, sự không vững, sự xộc xệch\n- sự ốm yếu\n- tính kỳ quặc, tính gàn dở, tính lập dị\n- tính đồng bóng, tính hay thay đổi\n- sự quanh co, sự khúc khuỷu\n- (Mỹ) tính cáu kỉnh, tính quàu quạu
crankle [01/'kræηkl/]	[01* dtừ]\n- khúc uốn quanh, khúc quanh co, chỗ khúc khuỷu
crankman [01/'krænkmən/]	[01* dtừ]\n- người quay tay quay
crankshaft [01/'krænk∫ɑ:ft/]	[01* dtừ]\n- tay quay, maniven
cranky [01/'kræηki/]	[01* ttừ]\n- tròng trành không vững, xộc xệch\n- ốm yếu\n- kỳ quặc, gàn dở, lập dị (tính tình)\n- đồng bóng, hay thay đổi\n- quanh co, khúc khuỷu\n- (Mỹ) cáu kỉnh, quàu quạu
crannied [01/'krænid/]	[01* ttừ]\n- có nhiều vết nứt nẻ
cranny [01/kræni/]	[01* dtừ]\n- vết nứt, vết nẻ\n[04! a cranny in the wall]\n- vết nứt trên tường\n- xó xỉnh, góc tối tăm\n[02= to search every cranny] tìm khắp xó xỉnh
crap [01/kræp/]	[01* dtừ]\n- phân, cứt\n- chuyện tào lao\n[01* đtừ]\n- ỉa
crap out [01/'kræp aut/]	[01* nđtừ]\n- ném xúc xắc bị thua
crape [01/kreip/]	[01* dtừ]\n- nhiễu đen, kếp đen\n- băng tang (ở tay, mũ) bằng nhiễu đen; áo tang bằng nhiễu đen\n[01* ngđtừ]\n- mặc đồ nhiễu đen\n- đeo băng tang, mặc áo tang
craped [01/kreipt/]	[01* ttừ]\n- mặc nhiễu đen\n- đeo băng tang nhiễu đen
crape-myrtle [01/'kreip,mə:tl/]	[01* dtừ]\n- (thực vật) cây bách nhật hồng; cây tử vi
crapped [01/kreipt/]	[01* ttừ]\n- mặc đồ nhiễu đen\n- đeo băng tang, mặc áo tang\n- có gợn như nhiễu
crapper [01/'kræpə/]	[01* dtừ]\n- (thực vật) nhà xí
crappy [01/'kræpi/]	[01* ttừ]\n- dở, không hấp dẫn
craps [01/kræps/]	[01* dtừ]\n- (Mỹ) trò chơi súc sắc\n[02= to shoot craps] chơi súc sắc, gieo súc sắc
crapshooter [01/'kræpə,∫utə/]	[01* dtừ]\n- người gieo xúc xắc
crap-shooting [01/'kræp'ʃu:tiɳ/]	[01* dtừ]\n-(Mỹ) như [03craps]
crapulence [01/'kræpjuləns/]	[01* dtừ]\n- thói rượu chè ăn uống quá độ
crapulent [01/'kræpjulənt/]	[01* ttừ]\n- rượu chè ăn uống quá độ
crapulous [01/'kræpjuləs/]	như [03crapulent]
crapy [01/'kreipi/]	[01* ttừ]\n- như nhiễu
crash [01/kræ∫/]	[01* dtừ]\n- vải thô (làm khăn lau...)\n- tiếng đổ vỡ loảng xoảng, tiếng va chạm loảng xoảng, tiếng đổ sầm, tiếng nổ (sét...)\n- sự rơi (máy bay) ; sự đâm sầm vào (ô tô)\n- (bóng) sự phá sản, sự sụp đổ\n[01* nđtừ]\n- rơi vỡ loảng xoảng, dổ ầm xuống\n- đâm sầm xuống, đâm sầm vào\n[02= the aeroplane crashed on the hillside] chiếc máy bay đâm sầm xuống sườn đồi\n[02= the car crashed into the gate] chiếc xe hơi đâm sầm vào cổng\n- (bóng) phá sản\n[01* ngđtừ]\n- phá tan tành, phá vụn\n- (Mỹ),(lóng) lẻn vào không có giấy mời, lẻn vào không có vé\n[02= to crash a party] lẻn vào dự cuộc liên hoan không có giấy mời\n[02= to crash the gate] lẻn vào cửa không có vé\n[04! to crash in (on)]\n- tràn vào, đọt nhập vào, xâm nhập
crash barrier [01/'kræ∫,bæriə(r) /]	[01* dtừ]\n- hàng rào phân ranh giới
crash-dive [01/'kræ∫daiv/]	[01* dtừ]\n- <không> sự bổ nhào xuống\n[01* đtừ]\n- bổ nhào xuống
crasher	- xem [03crash] 
crash-helmet [01/'kræ∫,helmit/]	[01* dtừ]\n- mũ (của người) lái mô tô
crashing bore [01/'kræ∫iη,bɔ:/]	[01* dtừ]\n- người gây xáo trộn
crash-land [01/'kræ∫lænd/]	[01* nđtừ]\n- (hàng không) hạ cánh vội vã (không dùng được bánh xe dưới bụng)\n- nhảy xuống vôi vã (người lái) 
crash-pad [01/'kræ∫,pæd/]	[01* dtừ]\n- (tục tĩu) nơi nghỉ trọ không mất tiền
crash-proof [01/'kræ∫pru:∫/]	[01* ttừ]\n- (Mỹ) chống lại được va chạm
crasis	[01* dtừ] s/n [02crases]\n- hiện tượng hai nguyên âm hay hai nguyên âm đôi rút lại thành một nguyên âm dài hay một nguyên âm đôi\n- dtừ, s/n crases\n- hiện tượng hai nguyên âm hay hai nguyên âm đôi rút lại thành một nguyên âm dài hay một nguyên âm đôi
crass [01/kræs/]	[01* ttừ]\n- đặc, dày đặc; thô\n- thô bỉ\n- đần độn, dốt đặc\n[02= crass mind] trí óc đần độn\n[02= crass ignorance] sự dốt đặc
crassitude [01/'kræsitju:d/]	[01* dtừ]\n- sự thô bỉ,\n- sự đần độn, sự dốt đặc
crassly [01/'kræsli/]	như [03gormlessly]
crassness [01/'kræsnis/]	[01* dtừ]\n- sự thô\n- sự thô bỉ
crassula [01/'kræsjulə/]	[01* dtừ]\n- (thực vật) họ thuốc bỏng
crassulaceous [01/,kræsju'lei∫əs/]	[01* ttừ]\n- (thực vật)(thuộc) họ thuốc bỏng
cratch [01/kræt∫/]	[01* dtừ]\n- máng ăn (cho súc vật, để ở ngoài trời) 
crate [01/kreit/]	[01* dtừ]\n- thùng thưa (do nhiều thanh gỗ đóng lại, còn nhiều kẽ hở, không kín hẳn) ; sọt (để đựng đồ sứ, hoa quả...)\n[01* ngđtừ]\n- cho vào thùng thưa, cho vào sọt (đồ sứ, hoa quả...) 
crater [01/'kreitə/]	[01* dtừ]\n- miệng núi lửa\n- hố (bom, đạn đại bác...) 
crater lake	[01* dtừ]\n- hồ miệng núi lửa (hồ hình thành ở một ngọn núi lửa đã bị tắt) 
crateriform [01/'kreitərifɔ:m/]	[01* ttừ]\n- hình miệng núi lửa
craterlet [01/'kreitəlit/]	[01* dtừ]\n- miệng nhỏ núi lửa
craton [01/'kretən/]	[01* dtừ]\n- vùng tương đối im lìm của vỏ quả đất
cravat [01/krə'væt/]	[01* dtừ]\n- cái ca vát
crave [01/kreiv/]	[01* đtừ]\n- nài xin, khẩn cầu\n[02= to crave pardon] xin lỗi\n- ao ước, thèm muốn, khao khát\n[02= soul that craves for liberty] tâm hồn khao khát tự do
craven [01/'kreivən/]	[01* ttừ]\n- hèn nhát\n[04! to cry craven]\n- chịu thua, đầu hàng\n- sợ mất hết can đảm\n[01* dtừ]\n- kẻ hèn nhát
cravenly	như [03cravenness]
cravenness	- xem [03craven] 
craver	- xem [03crave] 
craving [01/'kreiviη/]	[01* dtừ]\n- sự thèm muốn, lòng khao khát
cravingly	như [03craver]
craw [01/krɔ:/]	[01* dtừ]\n- diều (chim, sâu bọ)\n[04! it sticks in my craw]\n- (tục) tôi không thể nào mà nuốt tôi được
crawfish [01/'krɔ:fi∫/]	[01* dtừ]\n- (như) [03crayfish]\n[01* nđtừ]\n- (Mỹ),(tục) không giữ lời, nuốt lời; tháo lui
crawl [01/krɔ:l/]	[01* dtừ]\n- ao nuôi cá\n- chỗ nuôi rùa; chỗ nuôi tôm\n- sự bò, sự trường\n- (thể thao) lối bơi crôn, lối bơi trường ((cũng) [03crawl stroke] )\n- sự kéo lê đi\n[02= to go at a crawl] đi kéo lê, đi chậm rề rề, bò lê ra\n[01* nđtừ]\n- bò, trườn\n- lê bước, lê chân, bò lê\n- bò nhung nhúc, bò lúc nhúc\n[02= the ground crawls with ants] đất nhung nhúc những kiến\n- luồn cúi, quỵ luỵ\n[02= to crawl before somebody] luồn cúi ai\n- sởn gai ốc\n[02= it makes my flesh crawl] cái đó làm tôi sởn gai ốc lên\n- (Mỹ),(lóng) không giữ lời, nuốt lời, tháo lui
crawler [01/'krɔ:lə/]	[01* dtừ]\n- (động vật) loài bò sát\n- người bò, người đi chậm rề rề, người đi kéo lê\n- vận động viên bơi crôn, vận động viên bơi trườn\n- kẻ luồn cúi đê tiện, kẻ liếm gót\n- xe tắc xi chạy chậm để kiếm khách\n- (số nhiều) quần yếm (của trẻ con)\n- (tục) con rận, con chấy\n- (kỹ) đường chạy của xích
crawling peg [01/'krɔ:liη,peg/]	- (ktế) Chế độ neo tỷ giá hối đoái điều chỉnh dần.
crawlingly	- xem [03crawl] 
