flying tackle	184-12085-B
foison	184-23558-B
foisonless	184-23770-B
foist	184-23827-B
fold	184-24177-B,72-12244-S,303-1825-S,416-8521-S
foldability	184-25155-B
foldable	184-25240-B
foldaway	185-0-B
folded dipole antenna	185-86-B
folder	185-146-B
folderol	185-358-B
folding	185-405-B
folding bed	185-620-B,185-1077-B
folding chair	185-722-B,185-1139-B
folding cot	185-786-B,185-1202-B
folding doors	185-879-B
folding money	185-946-B
folding stuff	185-1005-B
foliaceous	185-1255-B
foliage	185-1402-B
foliage plant	185-1504-B
foliaged	185-1614-B
foliar	185-1669-B
foliate	185-1730-B
foliated	185-2015-B
foliation	185-2124-B
folie aì deux	185-2267-B
foliicolous	185-2406-B
folio	185-2472-B
foliolate	185-2676-B
foliole	185-2734-B
foliose	185-2798-B
folium	185-2890-B
folk	185-3015-B,44-1374-S,407-2592-S
folk custom	185-3527-B
folk dance	185-3610-B
folk etymology	185-3677-B
folk medicine	185-3427-B
folk music	185-4248-B
folk singer	185-4312-B
folk song	185-4393-B
folk speech	185-4443-B
folk story	185-4503-B
folk tale	185-4700-B
folk way	185-4804-B
folkland	185-3775-B
folklore	185-3858-B
folklorist	185-4037-B
folkmoot	185-4170-B
folks home	311-19298-S,311-19461-S
folksy	185-4571-B
folktale	185-4745-B
follding doors	185-4901-B
follicle	185-4948-B,212-24259-S
follicular	185-5061-B
folliculated	185-5193-B
folliculin	185-5324-B
follow	185-5392-B
follow my leader	185-7611-B
follow on	185-7703-B
follow through	185-7815-B
follow up	185-7896-B
followable	185-6795-B
follower	185-6858-B,65-12059-S,65-13476-S,65-15242-S,114-7119-S
follower circuit	152-12370-S
following	185-7130-B,36-1092-S
folly	185-8154-B
foment	185-8498-B
fomentation	185-8660-B
fomenter	185-8783-B
foncier	106-9026-S
fond	185-8927-B,1-3126-S,34-4241-S
fondant	185-9298-B
fondle	185-9350-B
fondler	185-9580-B
fondling	185-9650-B
fondly	185-9739-B
fondness	185-9828-B
fondue	185-10007-B
font	185-10064-B,1-3176-S,50-832-S,60-23128-S
font element	185-10283-B
font family	185-10330-B
font sample	185-10369-B
font table	60-21394-S
fontal	185-10436-B
fontalnal	185-10542-B
fontanel	185-10617-B
fontanelle	185-10701-B
fonticulus	185-10749-B
fontinel	185-10832-B
food	185-10892-B,172-18165-S,208-368-S,217-1678-S,257-14122-S,346-15720-S,423-4101-S,431-18961-S
food and agriculture organization	185-11464-B
food card	185-11777-B
food chain	185-11842-B
food fish	185-11981-B
food poisoning	185-11603-B
food processor	185-11685-B
food stuff	185-12209-B
food vacuole	185-12256-B
foodless	185-12046-B
foods	366-4109-S
foodstuff	185-12153-B
fool	185-12340-B,27-12081-S,104-11803-S,113-11924-S,204-23625-S
fool born	185-13879-B
fool day	27-12243-S
fool s cap	185-15407-B
fool s errand	185-15048-B
fool s gold	185-15189-B
fool s paradise	185-15265-B
foolery	185-13934-B
foolhardihood	185-14155-B
foolhardiness	185-14228-B
foolhardy	185-14380-B
foolish	185-14510-B,355-12801-S
foolishly	185-14609-B
foolishness	185-14677-B
foolocracy	185-14780-B
foolproof	185-14867-B
fools day	13-22679-S,27-12162-S
foolscap	185-15361-B
foot	185-15500-B,33-6291-S,44-8348-S,83-21336-S,83-23722-S,108-14142-S,138-15967-S,179-12509-S,181-11101-S,204-23994-S,301-4711-S,351-12727-S,436-7044-S,476-24843-S,480-2802-S,523-29881-S
foot and mouth disease	185-17959-B
foot band	185-18417-B
foot barracks	185-18476-B
foot bath	185-18552-B
foot bellows	185-18633-B
foot board	185-18703-B
foot brake	185-19006-B
foot bridge	185-19070-B
foot candle	185-19148-B
foot cloth	185-19251-B
foot driven	185-19317-B
foot fault	185-19624-B
foot gear	185-19815-B
foot hill	185-19947-B
foot iron	185-21055-B
foot loose	185-21843-B
foot muff	185-22123-B
foot pace	185-22307-B
foot page	185-22471-B
foot pan	185-22515-B
foot passenger	185-22573-B
foot path	185-22644-B
foot plate	185-22809-B
foot pound	185-22928-B
foot pound second	185-23053-B
foot race	185-23239-B
foot rot	185-23353-B
foot rule	185-23426-B
foot slogger	185-23612-B
foot soldier	185-23704-B
foot stall	185-23938-B
foot stone	185-24187-B
foot stove	185-24434-B
foot ton	185-24554-B
foot wall	185-24668-B
foot way	185-24788-B,188-19191-S
foot wear	185-24896-B
foot webbing	185-24940-B
footage	185-17804-B
football	185-18080-B,396-9085-S
football player	185-18327-B
football pools	185-18169-B
footballer	185-18273-B
footboard	185-18815-B
footboy	185-18932-B
footed	185-19418-B,82-3125-S,83-21393-S,83-23770-S,177-1135-S,181-11265-S,181-25167-S,188-19290-S,217-29670-S,269-27788-S,303-17756-S,395-1537-S,425-12311-S,429-9697-S,436-7093-S,455-19090-S,457-21715-S,482-15158-S,517-6353-S,521-2596-S
footedly	455-19224-S
footedness	425-12443-S,455-19297-S
footer	185-19490-B,179-12559-S,422-11373-S
footfall	185-19549-B
footgear	185-19755-B
footh bath	185-19900-B
foothold	185-20019-B
footie	185-20154-B
footing	185-20203-B
footle	185-21144-B
footless	185-21291-B
footlicker	185-21348-B
footlights	185-21419-B
footling	185-21678-B
footloose	185-21729-B
footman	185-21970-B
footmark	185-22058-B
footnote	185-22192-B
footpad	185-22376-B
footpeg	185-22715-B
footpring	185-23134-B
footprint	185-23173-B
footrest	185-23296-B
footsie	185-23515-B
footsore	185-23769-B
footstalk	185-23832-B
footstep	185-24007-B
footstool	185-24264-B
footsure	185-24486-B
footwarmer	185-24724-B
footwear	185-24836-B
footwork	185-25003-B
footworn	185-25120-B
footy	185-25297-B
foozle	185-25409-B
fop	185-25662-B
fopling	185-25694-B
foppery	185-25750-B
foppish	185-25840-B
foppishness	185-25918-B
for	185-25966-B,203-15199-S,224-25353-S,274-15832-S,436-20841-S,484-5213-S,485-701-S,485-800-S,486-8383-S,486-10227-S,494-2005-S,496-2735-S,503-5713-S,503-12684-S
for all	190-2978-S
for input to computers	177-25393-S
for knock	260-33220-S
for leather	218-14796-S
for lift truck	187-8537-B
for mutual economic assistance	103-5602-S
for nothing	204-18654-S
for nought	204-18804-S
for repetition	36-3082-S
for service	379-18015-S
for sore eyes	420-1557-S
fora	185-29347-B
forage	185-29395-B,208-442-S
forage cap	185-29949-B
forage plant	185-30041-B
forage waggon	186-0-B
forager	185-30127-B
foramen	186-71-B
foramen magnum	186-114-B
foramina	186-222-B
foraminal	186-298-B
foraminate	186-379-B
foraminated	186-430-B
foraminifer	186-487-B
foraminiferal	186-603-B
foraminiferan	186-671-B
foraminiferous	186-746-B
forasmuch as	186-825-B
foray	186-937-B
forbad	186-1202-B
forbade	186-1642-B
forbear	186-1680-B
forbearance	186-1727-B
forbearing	186-1935-B
forbid	186-2008-B
forbiddance	186-2045-B
forbidden	186-2119-B
forbidden fruit	186-2159-B
forbidding	186-2271-B
forbiddingness	186-2345-B
forbidingly	186-2445-B
forbiedden	186-2523-B
forbode	186-2571-B
forbore	186-2628-B
forborne	186-2671-B
forby	186-2715-B
forbye	186-2751-B
force	186-2817-B,12-0-S,140-28201-S,148-15582-S,176-17223-S,232-11357-S,262-1774-S,263-16569-S,263-17657-S,337-12092-S,350-26044-S,388-20912-S,447-32585-S,462-9224-S,473-1958-S,522-29805-S
force fed	186-6482-B
force feed	186-6553-B
force land	186-6952-B
force majeure	186-5634-B
force meat	186-7119-B
force of habit	186-5898-B
force pump	186-5979-B,186-7336-B
force technique	60-4211-S
forced	186-6039-B
forced labour	186-6246-B
forced march	186-6323-B
forcedly	186-6413-B
forceful	186-6653-B
forcefully	186-6751-B
forcefulness	186-6821-B
forceless	186-7043-B
forceps	186-7182-B
forcer	186-7396-B
forces	209-13030-S,263-16633-S,433-15814-S
forcible	186-7509-B
forcible feeble	186-7790-B
forcibleness	186-7921-B
forcibly	186-8038-B
forcing	186-8148-B
forcing ground	186-8232-B
forcing house	186-8340-B
forcipate	186-8428-B
forcipulate	186-8483-B
ford	186-8569-B
fordable	186-8759-B
fordid	186-8846-B
fording	186-8883-B
fordless	186-8937-B
fordo	186-9049-B
fordone	186-9154-B
fore	186-9278-B
fore and aft	186-9787-B
fore cabin	186-11254-B
fore edge	186-12750-B
fore meant	186-18977-B
fore mentioned	186-19032-B
fore ran	186-21018-B
fore run	186-21249-B
fore runner	186-21535-B
fore topsail	187-1511-B
forearm	186-9923-B
forebear	186-10188-B
forebode	186-10584-B
foreboder	186-10741-B
foreboding	186-10858-B
forebody	186-11118-B
forebrain	186-11203-B
forecast	186-11363-B,517-1528-S,517-2996-S
forecaster	186-11674-B
forecasting	186-11753-B
forecasting model	60-15329-S
forecastle	186-11819-B
forecited	186-11980-B
foreclose	186-12047-B
foreclosure	186-12310-B
forecourt	186-12413-B
foredeck	186-12540-B
foredo	186-12608-B
foredoom	186-12662-B
foreface	186-12839-B
forefather	186-12945-B
forefathers	186-13003-B
forefeel	186-13073-B
forefeet	186-13166-B
forefend	186-13223-B
forefinger	186-13283-B
forefoot	186-13336-B
forefront	186-13475-B
foregather	186-13649-B
foregift	186-13919-B
forego	186-14025-B
foregoer	186-14065-B
foregoing	186-14148-B
foregone	186-14355-B
foreground	186-14582-B
foreground job	186-14837-B
foreground mode	186-14888-B
foreground process	186-14949-B
foregut	186-15005-B
forehand	186-15060-B
forehanded	186-15264-B
forehead	186-15513-B
forehearth	186-15568-B
foreign	186-15635-B
foreign aid	186-16214-B
foreign born	186-16905-B
foreign build	186-16977-B
foreign correspondent	186-16283-B
foreign exchange	186-16405-B
foreign legion	186-16476-B
foreign letter paper	186-16595-B
foreign minister	186-16684-B
foreign office	186-16767-B
foreign secretary	186-16835-B
foreigner	186-17064-B
foreigness	186-17226-B
foreignism	186-17386-B
foreignize	186-17574-B
forejudge	186-17676-B
foreknew	186-17764-B
foreknow	186-17807-B
foreknowable	186-17889-B
foreknowledge	186-17973-B
foreknown	186-18070-B
forel	186-18114-B
foreland	186-18160-B
foreleg	186-18283-B
forelimb	186-18356-B
forelock	186-18400-B
forelook	186-18611-B
foreman	186-18693-B
foremast	186-18826-B
foremilk	186-19086-B
foremost	186-19136-B,443-7973-S
foremother	186-19406-B
forename	186-19460-B
forenamed	186-19518-B
forenight	186-19589-B
forenoon	186-19671-B
forensic	186-19745-B
forensis	186-20037-B
foreordain	186-20162-B
foreordainment	186-20254-B
foreordination	186-20372-B
forepart	186-20496-B
forepassed	186-20568-B
foreperson	186-20662-B
foreplane	186-20746-B
foreplay	186-20874-B
foreran	186-20967-B
forereach	186-21061-B
forerun	186-21155-B
forerunner	186-21337-B
forerunnings	186-21779-B
foresaid	186-21868-B
foresail	186-21927-B
foresaw	186-22010-B
forescattering	186-22151-B
foresee	186-22246-B
foreseeable	186-22286-B
foreseeing	186-22379-B
foreseen	186-22455-B
foreseer	186-22496-B
foreshadow	186-22595-B
foreshadower	186-22690-B
foreshore	186-22809-B
foreshorten	186-22898-B
foreshow	186-22994-B
foreshown	186-23102-B
foreside	186-23147-B
foresight	186-23209-B
foresighted	186-23433-B
