conductorial	như [03conductorship]
confederate [01/kən'fedərit/]	[01* ttừ]\n- liên minh, liên hiệp\n[01* dtừ]\n- nước trong liên bang\n- người đồng mưu; người cấu kết\n[01* đtừ]\n- liên minh, liên hiệp
confederation [01/kən'fedə'rei∫n/]	[01* dtừ]\n- liên minh\n- liên bang
confederationism	như [03confederationist]
confederationist	- xem [03confederation] 
confederative	- xem [03confederate] 
confer [01/kən'fə:/]	[01* ngđtừ]\n- phong, ban\n[02= to confer a title on somebody] phong tước cho ai\n[01* nđtừ]\n- (+[04 with]) bàn bạc, hỏi ý kiến, hội ý\n[02= to confer with somebody] bàn bạc với ai, hỏi ý kiến ai
conferee [01/,kɔnfə'ri:/]	[01* dtừ]\n- người tham gia hội nghị
conference [01/'kɔnfərəns/]	[01* dtừ]\n- sự bàn bạc, sự hội ý\n- hội nghị
conference communication	- (kỹ) truyền thông qua hội thảo
conferential [01/,kɔnfə'ren∫l/]	[01* ttừ]\n- bàn bạc, hội ý\n- (thuộc) hội nghị
conferment [01/kən'fə:mənt/]	[01* dtừ]\n- sự ban tước, sự phong tước
conferrable	như [03conferrer]
conferral	như [03conferrer]
conferree [01/kənfə'ri/]	[01* dtừ]\n- xem [03conferee] 
conferrer	- xem [03confer] 
confess [01/kən'fes/]	[01* đtừ]\n- thú tội, thú nhận\n[02= to confess one's fault] nhận lỗi\n[02= to confess to having done a fault] thu nhận có phạm lỗi\n- (tôn giáo) xưng tội; nghe xưng tội
confessable	- xem [03confess] 
confessant [01/kən'fesənt/]	[01* dtừ]\n- người xưng tội
confessedly [01/kən'fesidli/]	[01* phtừ]\n- tự thú nhận
confession [01/kən'fe∫n/]	[01* dtừ]\n- sự thú tội, sự thú nhận\n- (tôn giáo) sự xưng tội\n- tôi đã xưng\n- sự tuyên bố (nguyên tắc của mình về một vấn đề gì) ; sự phát biểu (về tín ngưỡng)\n- tín điều
confessional [01/kən'fe∫ənl/]	[01* ttừ]\n- xưng tội\n[01* dtừ]\n- (tôn giáo) phòng xưng tội
confessionist [01/kən'fe∫nist/]	[01* dtừ]\n- người nêu rõ tín ngưỡng của mình\n- người của phái tin lành Luy-te
confessor [01/kən'fesə/]	[01* dtừ]\n- giáo sĩ nghe xưng tội\n- người xưng tội, người thú tội\n- người thú nhận tôn giáo của mình (trước nguy nan) 
confetti [01/kən'feti:/]	[01* dtừ s/n]\n- công-phét-ti, hoa giấy (ném trong đám cưới, hội hè) 
confidant [01/,kɔnfi'dænt/]	[01* dtừ]\n- bạn tâm tình
confidante [01/,kɔnfi'dænt/]	[01* dtừ]\n- bạn gái tâm tình
confide [01/kən'faid/]	[01* ngđtừ (cong to)]\n- nói riêng; giãi bày tâm sự\n[02= to confide a secret to somebody] nói riêng điều bí mật với ai\n- phó thác, giao phó\n[02= to confide a task to somebody] giao phó một công việc cho ai
confidence [01/'kɔnfidəns/]	[01* dtừ]\n- sự nói riêng; sự giãi bày tâm sự\n[02= told in confidence] nói riêng\n- chuyện riêng, chuyện tâm sự, chuyện kín, chuyên bí mật\n[02= to exchange confidences] giãi bày tâm sự với nhau, trao đổi chuyện riêng với nhau\n[02= to take somebody into one's confidence] thổ lộ chuyện riêng với ai\n- sự tin, sự tin cậy, sự tin tưởng\n[02= to have confidence in somebody] tin ở ai\n[02= to gain somebody's confidence] được ai tin cậy, được ai tín nhiệm\n[02= to give one's confidence to somebody] tin cậy ai\n[02= to misplace one's confidence] tin cậy người không tốt, tin người không đáng tin\n[02= to worm oneself into somebody's confidence] luồn lõi tìm cách lấy lòng tin của ai\n- sự tin chắc, sự quả quyết\n[02= to speak with confidence] nói quả quyết\n- sự liều, sự liều lĩnh\n[02= he speaks with too much confidence] nó nói liều\n[04! to strick confidence]\n- hết sức bí mật (chỉ biết riêng với nhau)\n[04! man of confidence]\n- người tâm phúc
confidence game [01/'kɔnfidəns'geim/]	[01* dtừ]\n- (Mỹ) trò bội tín, sự lừa
confidence interval [01/'kɔnfidəns 'intəvəl/]	- (ktế) Khoảng tin cậy.
confidence limits [01/'kɔnfidəns'limits/]	[01* dtừ]\n-(toán) các giới hạn tin cậy
confidence trick [01/'kɔnfidəns'trik/]	như [03confidence game]
confidence trickster [01/'kɔnfidəns'trikstə/]	[01* dtừ]\n- kẻ lạm dụng lòng tin tưởng của ai để không thực hiện đúng nghĩa vụ đối với họ; kẻ lạm dụng tín nhiệm; kẻ bội tín
confident [01/'kɔnfidənt/]	[01* ttừ]\n- tin chắc, chắc chắn\n[02= to be confident of sencess] tin chắc là thành công\n- tự tin\n- tin tưởng, tin cậy\n[02= a confident smile] nụ cười tin tưởng\n- liều, liều lĩnh\n- trơ tráo, mặt dạn mày dày; láo xược\n[01* dtừ]\n- người tâm phúc, người tri kỷ
confidential [01/,kɔnfi'den∫l/]	[01* ttừ]\n- kín, bí mật; nói riêng với nhau\n[02= confidential information] tin mật\n- thân tín, tâm phúc; được tin cẩn\n[02= confidential friend] bạn tâm phúc\n- thổ lộ tâm tình, tâm sự\n[02= to be confidential with someone] tâm sự với ai\n[04! confidential agent]\n- đặc vụ\n[04! confidential secretary]\n- thư ký riêng
confidentiality [01/,kɔnfi,den∫i'æləti/]	- (kỹ) bí mật, cơ mật; bảo mật
confidentially [01/,kɔnfi'den∫əli/]	[01* phtừ]\n- tin cẩn, bộc bạch
confidently [01/'kɔnfidəntli/]	[01* phtừ]\n- tự tin
confider	- xem [03confide] 
confiding [01/kən'faidiη/]	[01* ttừ]\n- cả tin
confidingly [01/kən'faidiηli/]	[01* phtừ]\n- nhẹ dạ, cả tin
confidingness	- xem [03confiding] 
configuration [01/kən,figju'rei∫n/]	[01* dtừ]\n- hình thể, hình dạng\n- (thiên văn) hình thể (các hành tinh...) 
configuration section	- (kỹ) phần cấu hình
configuration setting	- (kỹ) bố trí cấu hình
configuration system	- (kỹ) hệ thống cấu hình
configurational	- xem [03configuration] 
configurationally	như [03configurational]
configurative	như [03configurational]
configurator [01/kən'figərətə/]	- (kỹ) bộ cấu hình
configure [01/kən'figə/]	[01* ngđtừ]\n- định hình thể, cho một hình dạng
configurrational	- (thuộc) cấu hình
confinable	- xem [03confine] 
confine [01/kən'fain/]	[01* ngđtừ]\n- giam giữ, giam hãm, giam cầm, nhốt giữ lại\n[02= to be confined to one's room] bị giam hãm trong buồng (không được ra vì ốm...)\n- hạn chế\n[02= to confine oneself to the subject] tự hạn chế trong phạm vi vấn đề\n[01* nđtừ]\n- (hiếm)(+ on, to, with) tiếp giáp với, giáp giới với\n[04! to be confined]\n- ở cữ, đẻ\n[04! to be confined to one's bed]\n- bị liệt giường\n[01* dtừ]\n- ((thường) số nhiều) biên giới\n- (bóng) ranh giới (giữa hai loại ý kiến...) 
confineable	như [03confinable]
confined [01/kən'faind/]	[01* ttừ]\n- giới hạn, hạn chế
confineless [01/kən'fainlis/]	[01* ttừ]\n- không bị giới hạn
confinement [01/kən'fainmənt/]	[01* dtừ]\n- sự giam, sự giam hãm\n[02= to be placed in confinement] bị giam\n[02= close (solitary) confinement] sự giam riêng, sự giam xà lim\n- sự hạn chế\n- sự ở cữ, sự đẻ\n[02= to be in confinement] ở cữ, đẻ
confiner	như [03confinable]
confines [01/'kənfainz/]	[01* dtừ]\n- biên giới; ranh giới\n- beyond the confines of human knowledge\n[01* dtừgoài phạm vi hiểu biết của con người]\n[02= within the confines of family life] trong giới hạn của cuộc sống gia đình
confirm [01/kən'fə:m/]	[01* ngđtừ]\n- xác nhận; chứng thực\n[02= to confirm someone's statement] xác nhận lời tuyên bố của ai\n- thừa nhận, phê chuẩn\n[02= to confirm a treaty] phê chuẩn một bản hiệp ước\n- làm vững chắc, củng cố\n[02= to confirm one's power] củng cố quyền lực\n- làm cho (ai) nhiễm sâu (một thói quen, một nếp nghĩ...)\n[02= to confirm someone in his chain-smoking] làm cho ai nhiễm sâu cái tật hút thuốc lá liên tục\n- (tôn giáo) làm lễ kiên tín cho
confirmability	- xem [03confirm] 
confirmable	như [03confirmability]
confirmation [01/,kɔnfə'mei∫n/]	[01* dtừ]\n- sự xác nhận; sự chứng thực\n[02= the confirmation of a report] sự xác nhận một bản báo cáo\n- sự thừa nhận, sự phê chuẩn\n[02= the confirmation of a treaty] sự phê chuẩn một hiệp ước\n- sự làm vững chắc, sự củng cố\n- sự làm cho nhiễm sâu thêm (một thói quen...)\n- (tôn giáo) lễ kiên tín
confirmative [01/kən'fə:mətiv/]	[01* ttừ]\n- xác nhận
confirmatory [01/kən'fə:mətəri/]	[01* ttừ]\n- để xác nhận; để chứng thực\n- (tôn giáo)(thuộc) lễ kiên tín
confirmed [01/kən'fə:md/]	[01* ttừ]\n- ăn sâu, thâm căn cố đế, thành cố tật, kinh niên\n[02= a confirmed drunkard] anh chàng nghiện rượu thành cố tật\n[02= confirmed disease] bệnh kinh niên
confirmedly	- xem [03confirmed] 
confirmer	như [03confirmability]
confiscable [01/kɔn'fiskəbl/]	[01* ttừ]\n- có thể tịch thu, có thể sung công
confiscate [01/'kɔnfiskeit/]	[01* ngđtừ]\n- tịch thu, sung công
confiscation [01/,kɔnfis'kei∫n/]	[01* dtừ]\n- sự tịch thu, sự sung công\n- (tục) sự ỷ quyền cướp không
confiscator	- xem [03confiscate] 
confiscatory [01/kən'fiskətəri/]	[01* ttừ]\n- để tịch thu, để sung công (biện pháp) 
confiteor [01/'kɔnfitiɔ:/]	[01* dtừ]\n- kinh xưng tội (thiên chúa giáo) 
conflagrant [01/kən'fleigrənt/]	[01* ttừ]\n- bốc cháy
conflagration [01/,kɔnflə'grei∫n/]	[01* dtừ]\n- đám cháy lớn\n- (bóng) tai hoạ lớn, sự xung đột lớn
conflate [01/kən'fleit/]	[01* đtừ]\n- đúc kết thành một
conflation [01/kən'flei∫n/]	[01* dtừ]\n- sự hợp vào với nhau\n- sự đúc hai dị bản làm một
conflict [01/'kɔnflikt/]	[01* dtừ]\n- sự xung đột, sự tranh giành, sự va chạm\n[02= to be in conflict with someone] xung đột với ai\n- cuộc xung đột\n- sự đối lập, sự mâu thuẫn\n[01* nđtừ]\n- xung đột, va chạm\n- đối lập, chống lại, mâu thuẫn, trái với\n[02= the interests of capital conflict with those of labour] quyền lợi của tư bản mâu thuẫn với quyền lợi của công nhân
conflict of interests [01/'kɔnflikt əv'intrəsts/]	[01* dtừ]\n- sự xung đột về lợi ích (giữa việc đạt được mục tiêu này với việc đạt được mục tiêu khác) 
conflict resolution	- (kỹ) phân giải tranh chấp
conflict-free	- (kỹ) không xung đột
conflict-free access	- (kỹ) truy cập không xung đột
conflicting [01/kən'fliktiη/]	[01* ttừ]\n- đối lập, mâu thuẫn
conflicting instruction	- (kỹ) chỉ thị mâu thuẫn
confliction	như [03conflictive]
conflictive	- xem [03conflict] 
conflictual	như [03conflictive]
confluence [01/'kɔnfluəns/]	[01* dtừ]\n- chỗ hợp dòng, ngã ba sông\n- ngã ba; ngã tư (đường)\n- (cổ) đám đông tụ họp; nơi tụ họp đông người
confluent [01/'kɔnfluənt/]	[01* ttừ]\n- hợp dòng (sông)\n- gặp nhau (đường) 
conflux [01/'kɔnflʌks/]	[01* dtừ]\n- chỗ hợp dòng, ngã ba sông\n- ngã ba; ngã tư (đường) 
confocal [01/kɔn'foukəl/]	- đồng tiêu
confocal resonator	- (kỹ) cái cộng hưởng đồng tiêu
conform [01/kən'fɔ:m/]	[01* ngđtừ]\n- (+[04 to]) làm cho hợp với, làm cho phù hợp với, làm cho thích hợp với\n- to conform oneself to thích nghi với, thích ứng với\n[02= to conform oneself to a custom] thích nghi với một tục lệ\n[01* nđtừ]\n- (+[04 to]) theo, làm theo, tuân theo, y theo, chiếu theo\n[02= to conform to fashion] theo thời trang\n[02= to conform to the law] tuân theo pháp luật
conformability [01/kən,fɔ:mə'biliti/]	như [03conformableness]
conformable [01/kən'fɔ:məbl/]	[01* ttừ]\n- hợp với, phù hợp với, thích hợp với, đúng với, theo đúng\n[02= conformable to someone's wishes] theo đúng những mong muốn của ai\n- dễ bảo, ngoan ngoãn
conformableness [01/kən'fɔ:məblnis/]	[01* dtừ]\n- tính chất phù hợp, tính chất thích hợp\n- tính dễ bảo, tính ngoan ngoãn
conformably	- xem [03conformable] 
conformal	- bảo giác
conformal projection	- (kỹ) chiếu bảo hình/giác
conformally	- một cách bảo giác
conformation [01/,kɔnfɔ:'mei∫n/]	[01* dtừ]\n- hình thể, hình dáng, thể cấu tạo\n[02= the conformation of the land] hình thể đất đai\n- (conformation to) sự thích ứng, sự thích nghi\n- sự theo đúng, sự làm đúng theo
conformational	- xem [03conformation] 
conformationally	như [03conformational]
conformer	- xem [03conform] 
conformism [01/kən'fɔ:mizm/]	[01* dtừ]\n- chủ nghĩa tuân thủ
conformist [01/kən'fɔ:mist/]	[01* dtừ]\n- (tôn giáo) người tuân giáo (theo giáo phái ở Anh)\n- kẻ tuân thủ (luôn luôn theo một tập tục nào) 
conformity [01/kən'fɔ:miti/]	[01* dtừ]\n- (+[04 to, with]) sự phù hợp, sự thích hợp\n- (+[04 with, to]) sự đúng, sự tuân theo; sự y theo\n[02= in conformity with the law] theo đúng luật\n- sự tuân giáo (theo giáo phái ở Anh) 
conforrmable	- tương ứng được
confound [01/kən'faund/]	[01* ngđtừ]\n- làm thất bại, làm hỏng, làm tiêu tan\n[02= to confound a plan] làm hỏng một kế hoạch\n[02= to confound a hope] làm tiêu tan một hy vọng\n- làm bối rối, làm khó xử, làm ngạc nhiên\n- (kinh thánh) làm ngượng, làm xấu hổ, làm bẽ mặt\n- làm lộn xộn, làm lẫn lộn, xáo trộn lung tung (đồ vật)\n[02= horse and foot were confounded together] kỵ binh, bộ binh lẫn lộn lung tung cả\n- lầm, lầm lẫn\n[02= I confound you with your brother] tôi lầm anh với anh anh\n[04! confound him!]\n- quỷ tha ma bắt nó đi!, cái thằng chết tiệt này!
confounded [01/kən'faundid/]	[01* ttừ]\n- uột ết khuộng chết tiệt\n[02= that confounded horse!] cái con ngựa chết tiệt này!
confoundedly [01/kən'faundidli/]	[01* phtừ]\n- (tục) quá chừng, quá đỗi
confoundedness	- xem [03confounded] 
confounder	- xem [03confound] 
confounding	- tk sự trùng hợp\n- balanced c. sự trùng hợp cân bằng\n- partial c. sự trùng hợp bộ phận
confraternity [01/,kɔnfrə'tə:niti/]	[01* dtừ]\n- tình anh em, tình hữu ái\n- bầy, lũ, bọn
confrère [01/'kɔnfreə/]	[01* dtừ]\n- bạn đồng nghiệp
confront [01/kən'frʌnt/]	[01* ngđtừ]\n- mặt giáp mặt với, đối diện với, đứng trước; chạm trán, đương đầu với\n[02= he stood confronting him] nó đứng đối diện với anh ta\n[02= many diffuculties confront us] chúng ta phải đương đầu với nhiều khó khăn\n- đối chất\n[02= defendant is confronted with plaintiff] bị cáo được đem ra đối chất với nguyên đơn\n- (+[04 with]) đối chiếu (tài liệu, bản sao...) 
confrontation [01/,kɔnfrʌn'tei∫n/]	[01* dtừ]\n- sự chạm trán, sự đương đầu\n- sự đối chất\n- sự đối chiếu
confrontational	như [03confrontationist]
confrontationist	- xem [03confrontation] 
confrontative	như [03confrontationist]
confronter	như [03confrontment]
confrontment	- xem [03confront] 
Confucian [01/kən'fju:∫n/]	[01* dtừ]\n- người ủng hộ Khổng Tử, người ủng hộ nho giáo
Confucianism [01/kən'fju:∫jənizm/]	[01* dtừ]\n- đạo Khổng
Confucianist [01/kən'fju:∫jənist/]	[01* dtừ]\n- người theo đạo Khổng
confuse [01/kən'fju:z/]	[01* ngđtừ]\n- làm lộn xộn, làm lung tung, xáo trộn\n- làm cho mơ hồ, làm cho mập mờ, làm cho tối, làm rối rắm (ý nghĩa...)\n- lẫn lộn, nhầm lẫn\n[02= to confuse dates] nhầm ngày\n[02= to confuse someone with another] nhầm ai với người khác\n- ((thường) dạng bị động) làm bối rối, làm ngượng, làm xấu hổ
confused [01/kən'fju:zd/]	[01* dtừ]\n- lẫn lộn, lộn xộn, rối rắm\n- mơ hồ\n- bối rối, ngượng\n[02= confused answer] câu trả lời bối rối
confusedly [01/kən'fju:zidli/]	[01* phtừ]\n- bối rối, lúng túng, ngượng
confusedness [01/kən'fju:zidnis/]	[01* dtừ]\n- tính chất lẫn lộn, sự lộn xộn, sự rối rắm\n- sự mơ hồ\n- sự bối rối, sự ngượng
confusing [01/kən'fju:ziη/]	[01* ttừ]\n- khó hiểu, gây bối rối
confusingly [01/kən'fju:ziηli/]	[01* phtừ]\n- rắc rối, rối rắm
confusion [01/kən'fju:ʒn/]	[01* dtừ]\n- sự lộn xôn, sự hỗn độn, sự rối loạn, sự hỗn loạn\n[02= everything was in confusion] tất cả đều lộn xộn hỗn loạn\n[02= to throw the enemy into confusion] làm cho quân địch rối loạn\n- sự mơ hồ, sự mập mờ, sự rối rắm (ý nghĩa)\n- sự lẫn lộn, sự nhầm lẫn\n[02= confusion of something with another] sự nhầm lẫn cái gì với cái khác\n- sự bối rối, sự ngượng ngập, sự xấu hổ\n[02= to make confusion more confounded] đã bối rối lại làm cho bối rối hơn, đã ngượng lại làm cho xấu hổ thêm\n- nhuộng confusion!) chết tiệt!, chết toi!\n[04! confusion worse confounded]\n- tình trạng đã hỗn loạn lại càng hỗn loạn hơn\n[04! to drink confusion to somebody]\n- vừa uống rượu vừa chửi đổng ai
confusion reflector	- (kỹ) cái phản xạ hỗn loạn
confusional	- xem [03confusion] 
confutable	- xem [03confute] 
confutation [01/,kɔnfju:'tei∫n/]	[01* dtừ]\n- sự bác bỏ (một lý lẽ)\n- sự chứng minh (ai) là sai
confutative	- xem [03confutation] 
confute [01/kən'fju:t/]	[01* ngđtừ]\n- bác bỏ\n[02= to confute an argument] bác bỏ một lý lẽ\n- chưng minh (ai) là sai
confuter	như [03confutable]
cong [01/kɔη/]	[01* dtừ]\n- (Mỹ)(vt) của [03congress] 
conga [01/'kɔηgə/]	[01* dtừ]\n- nhạc đệm cho một điệu múa mà những người tham gia nối đuôi nhau thành một hàng uốn khúc
congeal [01/kən'dʒi:l/]	[01* đtừ]\n- làm đông lại; đông lại, đóng băng\n[02= his blood was congealed] (bóng) máu anh ta đông lại (vì sợ quá) 
congealable [01/kən'dʒi:ləbl/]	[01* ttừ]\n- có thể đông lại
congealer	- xem [03congeal] 
congealment [01/kən'dʒi:lmənt/]	như [03congelation]
congelation [01/,kɔndʤi'leiʃn/]	[01* dtừ]\n- sự đông lại
congener [01/'kɔndʒinə/]	[01* dtừ]\n- vật đồng loại, vật cùng giống\n[01* ttừ]\n- đồng loại, cùng giống
congeneric [01/,kɔndʒi'nerik/]	như [03congenerical]
congenerical [01/kɔndʤi'nerikəl/]	[01* ttừ]\n- (sinh vật) cùng giống
congenerous [01/kən'dʒenərəs/]	[01* ttừ]\n- cùng loại, cùng giống
congenetic [01/kəndʒə'netik/]	[01* ttừ]\n- cùng di truyền, cùng nguồn gốc
congenial [01/kən'dʒi:njəl/]	[01* ttừ]\n- cùng tính tình, cùng tính chất, hợp nhau, ăn ý nhau, thông cảm nhau, tương đắc\n[02= congenial souls] những tâm hồn hợp nhau\n- hợp với, thích hợp\n[02= do you find the climate congenial?] khí hậu có hợp với anh không?\n[02= congenial employment] việc làm thích hợp
congeniality [01/kən,dʒi:ni'æliti/]	như [03congenialness]
congenially [01/kən'dʒi:niəli/]	[01* phtừ]\n- tương đắc, thích hợp
congenialness [01/kən'dʤi:njəlnis/]	[01* dtừ]\n- sự hợp nhau, sự ăn ý nhau, sự tương đắc
congenital [01/kən'dʒenitl/]	[01* ttừ]\n- bẩm sinh\n[02= congenital disease] bệnh bẩm sinh
congenitality [01/kən,dʒeni'tæliti/]	như [03innateness]
congenitally	- xem [03congenital] 
conger [01/'kɔηgə/]	[01* dtừ]\n- cá lạc, cá chình biển ((cũng) [03conger eel] ) 
congeries [01/kɔn'dʒiəri:z/]	[01* dtừ, s/n không đổi]\n- mớ, đống, khối
congest [01/kən'dʒest/]	[01* ngđtừ (thường) dạng bị động]\n- làm đông nghịt, làm tắt nghẽn (đường sá...)\n- (y) làm sung huyết\n[01* nđtừ]\n- (y) bị sung huyết (phổi...) 
congested [01/kən'dʒestid/]	[01* ttừ]\n- đông nghịt, chật ních\n[02= congested streets] phố phường đông nghịt\n- (y) sung huyết\n[02= congested lungs] phổi bị sung huyết
congestion [01/kən'dʒest∫n/]	[01* dtừ]\n- sự đông nghịt, sự tắt nghẽn (đường sá...)\n[02= a congestion of the traffic] sự tắc nghẽn giao thông\n- (y) sự sung huyết
congestive [01/kən'dʒestiv/]	[01* ttừ]\n- (y) sung huyết\n[02= congestive symptoms] triệu chứng sung huyết
conglobate [01/'kɔngloubeit/]	[01* ttừ]\n- hình quả bóng\n[01* đtừ]\n- biến thành hình quả bóng
conglobation	- xem [03conglobate] 
conglomerate [01/kən'glɔmərit/]	[01* dtừ]\n- khối kết\n- (địa) cuội kết\n[01* ttừ]\n- kết thành khối tròn, kết khối\n[01* đtừ]\n- kết khối, kết hợp
conglomeratic	- xem [03conglomerate] 
conglomeration [01/kən,glɔmə'rei∫n/]	[01* dtừ]\n- sự kết khối, sự kết hợp\n- khối kết
