victimhood	- xem [03victim] 
video nasty [01/'vidiou'næsti/]	[01* dtừ]\n- (tục) phim viđêô đen (chiếu những cảnh khiêu dâm và bạo lực) 
video recorder [01/'vidiouri'kɔ:də/]	[01* dtừ]\n- đầu máy viđêô
videodisc [01/'vidioudisk/]	[01* dtừ]\n- đựa viđêô
videodisk	- đựa video tương tác
videologist [01/'vidi'ɔlədʒist/]	[01* dtừ]\n- người nghiện xem truyền hình
videotape [01/'vidiouteip/]	[01* dtừ]\n- băng viđêô\n[01* ngđtừ]\n- thâu vào băng viđêô
videotex [01/'vidiəʊ,teks/]	[01* dtừ]\n- cũng [03videotext]\n- hệ thống thông tin điện tử đặc biệt telex (hoặc hệ hiển thị dữ liệu) 
videotext	- văn bản video
vidette [01/vi'det/]	- xem [03vedetre] 
vidfilm [01/'vidfilm/]	như [03telefilm]
vidimus [01/'vaidiməs/]	[01* dtừ]\n- bản trích yếu\n- kiểm tra (tài liệu) 
vidipic [01/'vidpik/]	[01* dtừ]\n- xem [03vidfilm] 
viduity [01/vi'djuiti/]	[01* dtừ]\n- như [03widowhood] 
vie [01/vai/]	[01* nđtừ]\n- ganh đua; thi đua\n[02= to vie in increased labour efficiency] thi đua tăng năng suất
vietminh	[01* dtừ]\n- người tham gia cuộc kháng chiến chống Nhật và Pháp từ năm 1941 đến 1954 (dưới sự lãnh đạo của Chủ tịch Hồ Chí Minh)\n- (the Vietminh) lực lượng kháng chiến chống Nhật và Pháp từ năm 1941 đến 1954 (dưới sự lãnh đạo của Chủ tịch Hồ Chí Minh)\n[01* ttừ]\n- (thuộc) Việt Minh\n[02= Was his father a Vietminh guerilla?] Bố anh ấy có phải là du kích Việt Minh hay không?
Vietnam [01/,vjet'næm;,vjet'nɑ:m/]	[01* dtừ]\n- (địa lý) Việt Nam
Vietnam War [01/,vjet'nɑ:mwɔ:/]	[01* dtừ]\n- Chiến tranh Việt Nam (từ 1954 đến 1975) 
Vietnamese [01/,vjetnə'mi:z/]	[01* ttừ]\n- (thuộc) Việt nam\n[01* dtừ]\n- người Việt nam\n- tiếng Việt
view [01/vju:/]	[01* dtừ]\n- sự nhìn, sự thấy, tầm nhìn, tầm mắt\n[02= to go out of view] đi khuất không nhìn thấy được nữa\n[02= hidden from view] bị che khuất\n[02= to come in view] hiện ra trước mắt\n[02= to keep in view] không rời mắt, theo sát; trông nom săn sóc đến, để ý luôn luôn đến\n- cái nhìn thấy, cảnh, quang cảnh\n[02= this room has a fine view] ở phòng này nhìn ra phong cảnh đẹp\n[02= panoramic view of the town] toàn cảnh của thành phố\n- dịp được xem, cơ hội được thấy\n[02= private view] cuộc trưng bày (tranh...) dành riêng cho bạn bè và các nhà phê bình\n- quan điểm, nhận xét, ý kiến, cách nhìn\n[02= to form a clear view of the facts] có cách nhìn rõ ràng các sự việc\n[02= to hold advanced views] có những quan điểm tiên tiến\n[02= to share someone's views] cùng quan điểm với ai\n[02= to have opposite views] có những ý kiến đối lập nhau\n[02= point of view] quan điểm\n[02= political view] chính kiến\n[02= in view of] xét thấy, vì lý do, bởi, vì\n- dự kiến, ý định\n[02= to have something in view] dự kiến một việc gì\n[02= to have other views for] có những dự kiến khác đối với\n[02= with a view to; with the view of] với ý định\n[02= with this in view] với ý định này\n- (pháp lý) sự khám xét tại chỗ, sự thẩm tra tại chỗ\n[01* ngđtừ]\n- thấy, nhìn, xem, quan sát\n- nhìn, xét, nghĩ về\n[02= to view a matter from one's standpoint] nhìn vấn đề theo quan điểm của mình
viewable [01/'vju:əbl/]	[01* ttừ]\n- có thể xem được
viewer [01/'vju:ə/]	[01* dtừ]\n- người xem\n- người khám xét, người thẩm tra\n- người xem truyền hình
view-finder [01/'vju:'faində/]	[01* dtừ]\n- (nhiếp ảnh) kính ngắm
viewing [01/'vju(:) iη/]	[01* dtừ]\n- sự xem phim\n- sự kiểm tra hình ảnh
viewing device [01/'vju(:) iηdi'vais/]	[01* dtừ]\n- kính hồng ngoại
viewless [01/'vju:lis/]	[01* ttừ]\n- (thơ ca) không nhìn thấy được\n- (Mỹ) không có ý kiến, không có quan điểm
viewlessly [01/'vju:lisli/]	[01* trạng từ]\n- xem [03viewless] 
view-point [01/'vju:pɔint/]	[01* dtừ]\n- chỗ đứng nhìn tốt, chỗ dễ nhìn\n- quan điểm
viewpoint [01/'vju:'pɔint/]	[01* dtừ]\n- chỗ đứng nhìn tốt, chỗ dễ nhìn\n- quan điểm, điểm nhìn
viewy [01/'vju:i/]	[01* ttừ]\n- (Mỹ) ; (tục) có những ý nghĩ kỳ dị\n- phô trương, hoa hoè hoa sói
vigesimal [01/'v(a) i'dʒesim(ə) l/]	[01* ttừ]\n- gồm 20 (phần, đơn vị)\n- thứ 20, nhị thập phân (hệ đếm) 
vigesimo-quato [01/'v(a) i'dʒesimmou'kwɔ:tou/]	[01* dtừ]\n- khổ 1 / 24 (sách) 
vigia [01/'vidʒiə/]	[01* dtừ]\n- dấu hiệu nơi nguy hiểm (trên bản đồ) 
vigil [01/'vidʒil/]	[01* dtừ]\n- sự thức khuya; sự thức để trông nom; sự thức để cầu kinh\n[02= to keep vigil over a sick child] thức để trông nom đứa trẻ ốm\n- ngày ăn chay trước ngày lễ\n- (số nhiều) kinh cầu ban đêm
vigilance [01/'vidʒiləns/]	[01* dtừ]\n- sự cảnh giác, sự thận trọng, sự cẩn mật\n[02= to show great vigilance] tỏ ra cảnh giác cao, tỏ ra rất thận trọng\n[02= to lack vigilance] thiếu cảnh giác, thiếu thận trọng\n- (y) chứng mất ngủ
vigilance committee [01/'vidʒiləns kə'miti/]	như [03vigilante gang]
vigilant [01/'vidʒilənt/]	[01* ttừ]\n- cảnh giác, thận trọng, cẩn mật
vigilante [01/,vidʒi'lænti/]	[01* dtừ]\n- (Mỹ) uỷ viên uỷ ban trật tự (xem [03vigilance_committee] ) 
vigilante gang [01/,vidʤi'lænti'gæɳ/]	[01* dtừ]\n- (Mỹ) uỷ ban trật tự (trong một tập thể tổ chức chưa tốt) 
vigilantism	- xem [03vigilante] 
vigilantly	- xem [03vigilant] 
vigneron [01/,vi:njə'rɔ:η/]	[01* dtừ]\n- người trồng nho, người nấu rượu vang
vignette [01/vi'njet/]	[01* dtừ]\n- hoạ tiết (ở đầu hay cuối chương trong sách in)\n- tem nhãn (ở hàng hoá, bao diêm)\n- bức ảnh nửa người có nền mờ\n- (kiến trúc) hình trang trí cành lá nho\n- tác phẩm văn học ngắn\n[01* ngđtừ]\n- làm mờ nét ảnh (cho lẫn với màu giấy) 
vignetter [01/vi'njetə/]	[01* dtừ]\n- màng ngăn, chắn sáng diapham
vignettist [01/vi'njetist/]	[01* dtừ]\n- tác giả chân dung văn học\n- tác giả ttruyện ngắn\n- hoạ sĩ vẽ vinhet
vigor [01/'vigə/]	[01* dtừ]\n- (Mỹ)(như) [03vigour] 
vigoroso [01/,vigə'rousou/]	[01* phtừ]\n- (âm nhạc) mạnh mẽ
vigorous [01/'vigərəs/]	[01* ttừ]\n- mạnh khoẻ, cường tráng\n[02= vigorous youth] tuổi thanh niên cường tráng\n- mãnh liệt, mạnh mẽ\n[02= a vigorous attack] một cuộc tấn công mãnh liệt\n[02= a vigorous protest] sự phản kháng mạnh mẽ\n- đầy khí lực\n[02= a vigorous style] lối văn đầy khí lực
vigorously [01/'vigərəsli/]	[01* phtừ]\n- sôi nổi, mãnh liệt, mạnh mẽ, hoạt bát, đầy sinh lực\n- hùng hồn, mạnh mẽ, đầy khí lực (lời lẽ)\n- mạnh khoẻ, cường tráng
vigorousness [01/'vigərəsnis/]	[01* dtừ]\n- tính chất mạnh khoẻ cường tráng\n- tính chất mạnh mẽ; sự mãnh liệt\n- khí lực
vigour [01/'vigə/]	[01* dtừ]\n- sức mạnh, sự cường tráng\n[02= full of vigour] đầy sức mạnh, mạnh khoẻ, cường tráng\n- sức mãnh liệt, sức hăng hái, sự mạnh mẽ\n[02= the vigour of an attack] sức mãnh liệt của một cuộc tấn công\n[02= to grow with vigour] mọc mạnh mẽ\n- khí lực\n[02= man of vigour] người có khí lực\n[02= vigour of literary style] khí lực của văn phong
viking [01/'vaikiη/]	[01* dtừ]\n- (sử học) cướp biển (ở Bắc Âu, (thế kỷ) 8 10) 
vild [01/vaild/]	- xem [03vile] 
vile [01/vail/]	[01* ttừ]\n- hèn hạ, đê hèn\n[02= vile language] giọng lưỡi hèn hạ\n[02= vile offence] sự xúc phạm đê hèn\n- tồi, kém, không có giá trị\n- (tục) thật là xấu, khó chịu\n[02= vile weather] thời tiết thật là xấu\n[02= a vile temper] tính tình khó chịu
vilely [01/'vaili/]	[01* phtừ]\n- cực kỳ ghê tởm\n- đê tiện, hèn hạ, đồi bại (về mặt đạo đức)\n- tồi, kém, không có giá trị, quá tệ (hàng hoá)\n- (tục) cực kỳ xấu; rất khó chịu
vileness [01/'vailnis/]	[01* dtừ]\n- tính chất hèn hạ, tính chất đê hèn\n- tính chất thật là xấu, tính chất khó chịu
vilification [01/,vilifi'kei∫n/]	[01* dtừ]\n- sự phỉ báng; sự gièm pha, sự nói xấu
vilifier [01/'vilifaiə/]	[01* dtừ]\n- người phỉ báng; người gièm pha, người nói xấu
vilify [01/'vilifai/]	[01* ngđtừ]\n- phỉ báng; gièm, nói xấu
vilipend [01/'vilipend/]	[01* ngđtừ]\n- khinh thị; chê bai
vility [01/'vailiti/]	[01* dtừ]\n- sự hèn hạ, sự đê tiện
vill [01/vil/]	[01* dtừ]\n- làng, làng quê
villa [01/'vilə/]	[01* dtừ]\n- biệt thự; biệt thự ở ngoại ô
villadom [01/'vilədəm/]	[01* dtừ]\n- khu biệt thự ở ngoại ô\n- tầng lớp có biệt thự ở ngoại ô
village [01/'vilidʒ/]	[01* dtừ]\n- làng, xã
villager [01/'vilidʒə/]	[01* dtừ]\n- dân làng, dân nông thôn
villagery	[01* dtừ]\n- làng xóm (nói chung) 
villain [01/'vilən/]	[01* dtừ]\n- côn đồ; kẻ hung ác\n-(đùa) thằng bé tinh quái; thằng quỷ sứ con\n- (cổ) người quê mùa thô kệch\n- (sử học)(như) [03villein] 
villainess [01/'vilenis/]	[01* dtừ]\n- con vô lại, nữ phạm nhân
villainous [01/'vilənəs/]	[01* ttừ]\n- côn đồ, hung ác\n[02= villainous deed] hành động côn đồ\n- đê hèn, xấu xa\n[02= villainous face] bộ mặt đê hèn\n- (tục) ghê tởm, bẩn thỉu, thật là xấu\n[02= villainous weather] trời thật là xấu
villainously [01/'vilənəsli/]	[01* trạng từ]\n- xem [03villainous] 
villainousness [01/'vilənəsnis/]	[01* dtừ]\n- xem [03villainous] 
villainy [01/'viləni/]	[01* dtừ]\n- tính chất côn đồ; hành động côn đồ, việc hung ác\n- tính đê hèn\n- tính chất ghê tởm, tính vô cùng xấu
villakin [01/'viləkin/]	[01* dtừ]\n- biệt thự con, nhà tí xíu
villan [01/'vilən/]	- xem [03villein] 
villanage [01/'vilinidʒ/]	[01* dtừ]\n- xem [03villeinage] 
villatic [01/vi'lætik/]	[01* ttừ]\n- thuộc biệt thự\n- thuộc làng xã
villeggiatura [01/vi,ledʒiə'tuərə/]	[01* dtừ]\n- sự về ở nông thôn
villein [01/'vilein/]	[01* dtừ]\n- (sử học) nông nô
villeinage [01/'vilinidʒ/]	[01* dtừ]\n- đời sống nông nô; tình trạng sống của người nông nô
villein-socage [01/'vilin'sɔkidʒ/]	[01* dtừ]\n- chế độ lao dịch/công dịch (để được sử dụng ruộng đất) 
villi [01/'vilai/]	như [03villus]
villose [01/'vilous/]	như [03villous]
villosity [01/vi'lɔsti/]	[01* dtừ]\n- (phẫu) lông nhung; tình trạng có lông nhung\n- (thực vật) lớp lông tơ; tình trạng có lông tơ
villous [01/'viləs/]	[01* ttừ]\n- (phẫu) có lông nhung\n- (thực vật) có lông tơ
villously	- xem [03villous] 
villus [01/'viləs/]	[01* dtừ] s/n [03villi]\n- (phẫu) lông nhung\n- (thực vật) lông tơ (quả cây) 
vim [01/vim/]	[01* dtừ]\n- (tục) sức mạnh, sức sống\n[02= full of vim] đầy sức sống
vimen [01/'vaimən/]	- dtừ s/n [03vimina]\n[01* dtừ]\n- cành nhỏ dài
viminal [01/'viminl/]	[01* ttừ]\n- (thực vật)(thuộc) cành; (thuộc) chồi\n- ra cành; mọc chồi
vimineous [01/vi'miniəs/]	[01* ttừ]\n- đan, bện (bằng lau, sậy) 
vin ordinaire [01/'væη,ɔ:dineə/]	[01* dtừ]\n- rượu vang thường (vang đỏ, ít tiền, dùng trong bữa ăn (thường) ngày) 
vina [01/'vi:nə/]	[01* dtừ]\n- Đàn Vina (Đàn ấn Độ 4 dây) 
vinaceous [01/vai'nei∫əs/]	[01* ttừ]\n- có màu đỏ rượu vang\n- (thuộc) quả nho; (thuộc) rượu nho
vinaigrette [01/,vini'gret/]	[01* dtừ]\n- nước xốt dầu giấm ((cũng) [03vinaigrette sauce] )\n- lọt hít giấm thơm
vinaigrette sauce [01/,vini'gret'sɔ:s/]	[01* dtừ]\n- món rau trộn dầu dấm và rau thơm
vinculum	- dấu gạch trên biểu thức
vindicability [01/,vindikə'biləti/]	[01* dtừ]\n- tính chất có thể chứng minh, tính chất bào chữa được
vindicable [01/'vindikəbl/]	[01* ttừ]\n- chứng minh được, bào chữa được
vindicate [01/'vindikeit/]	[01* ngđtừ]\n- chứng minh (sự tồn tại, tính chất chính nghĩa), bào chữa\n[02= to vindicate one's right] chứng minh tính chất chính đáng của quyền lợi của mình\n[02= to vindicate one's character] tự bào chữa
vindication [01/,vindi'kei∫n/]	[01* dtừ]\n- sự chứng minh, sự bào chữa\n- sự chứng minh tính chất chính đáng
vindicative [01/'vindikətiv/]	[01* ttừ]\n- để chứng minh, để bào chữa\n[02= vindicative document] tài liệu để chứng minh
vindicator [01/'vindikeitə/]	[01* dtừ]\n- người chứng minh, người bào chữa
vindicatory [01/'vindikətəri/]	[01* ttừ]\n- để chứng minh, để bào chữa\n- (pháp lý) để trừng trị
vindictive [01/vin'diktiv/]	[01* ttừ]\n- hay báo thù, thù oán\n[02= a vindictive person] một người hay thù oán\n- có tính chất trả thù, báo thù\n[02= a vindictive punishment] một sự trừng phạt trả thù
vindictively	- xem [03vindictive] 
vindictiveness [01/vin'diktivnis/]	[01* dtừ]\n- tính chất hay báo thù; tính chất trả thù
vine [01/vain/]	[01* dtừ]\n- (thực vật) cây nho\n- cây leo; cây bò
vineal [01/'vainəl/]	[01* ttừ]\n- thuộc rượu vang
vine-disease [01/'vain di'zi:z/]	[01* dtừ]\n- bệnh cây nho
vinedresser [01/'vain,dresə/]	như [03viticulturer]
vine-fretter [01/'vain,fretə/]	- xem [03vine-louse] 
vinegar [01/'vinigə/]	[01* dtừ]\n- giấm\n- (định ngữ) chua như giấm; khó chịu\n[02= a vinegar tongue] miệng lưỡi chua như giấm\n[02= a vinegar face] bộ mặt câng câng khó chịu\n[01* ngđtừ]\n- trộn giấm\n- làm cho chua như giấm
vinegar-cruet [01/'vinigə'kru(:) it/]	[01* dtừ]\n- lọ giấm
vinegarette [01/'vinigə'ret/]	- xem [03vinaigrette] 
vinegar-faced [01/'vinigəfeist/]	[01* ttừ]\n- trông bộ rầu rĩ
vinegarish [01/'vinigəri∫/]	[01* ttừ]\n- chua\n- chua chát, khó chịu; chua cay (giọng) 
vinegary [01/'vinigəri/]	như [03vinegarish]
vinegrower [01/'vain,grouə/]	như [03viticulturer]
vine-grower [01/'vain,grouə/]	như [03viticulturer]
vine-leaf [01/'vainli:f/]	[01* dtừ]\n- lá nho
vine-louse [01/'vainlaus/]	[01* dtừ]\n- rệp rễ nho
vine-pest [01/'vainpest/]	[01* dtừ]\n- xem [03vine-louse] 
vine-prop [01/'vainprɔp/]	[01* dtừ]\n- cọc dây nho leo
viner [01/'vainə/]	[01* dtừ]\n- đậu cô ve
vinery [01/'vainəri/]	như [03grape-house]
vineyard [01/'vinjəd/]	[01* dtừ]\n- ruộng nho, vườn nho
vineyardlist [01/'vinjədist/]	như [03viticulturer]
ving-et-un [01/'væntei'ə:n/]	[01* dtừ]\n- bài trấp nhất (loại bài người chơi cố đạt được 21 điểm)\n- bài ""hăm mốt""
vingtetun [01/,væntei'ə:n/]	[01* dtừ]\n- (ving-et-tun)(tiếng Pháp) bài xì lát (thắng khi đủ 21 điểm) ; đạt được 21 điểm với hai quân bài
vinic [01/'vainik/]	[01* ttừ]\n- (thuộc) rượu vang\n- từ rượu vang mà ra
vinicultural [01/,vini'kʌlt∫ərəl/]	như [03viticultural]
viniculture [01/'vinikʌlt∫ə/]	[01* dtừ]\n- sự trồng nho; nghề trồng nho
viniculturist	- xem [03viniculture] 
viniferous [01/vi'nifərəs/]	[01* ttừ] sản xuất rượu nho (vùng) 
vining plant [01/'vainiη'pla:nt/]	[01* dtừ]\n- cầy leo, cầy dầy
vino [01/'vi:nou/]	[01* dtừ]\n- (tục) <đùa> rượu vang
vinolence [01/'v(a) inələns/]	[01* dtừ]\n- tệ rượu chè\n- bệnh nghiện rượu
vinolency [01/'v(a) inələnsi/]	[01* dtừ]\n- xem [03vinolence] 
vinolent [01/'v(a) inələnt/]	[01* dtừ]\n- nghiện rượu, rượu chè
vinose [01/'vainous/]	[01* dtừ]\n- xem [03vinous] 
vinous [01/'vainəs/]	[01* ttừ]\n- có màu đỏ rượu vang\n- có mùi vị rượu vang\n- được mùa rượu vang\n[02= vinous year] năm được mùa rượu vang\n- từ rượu vang mà ra
vinousity [01/'v(a) inɔsiti/]	[01* dtừ]\n- tính chất có rượu/cồn\n- sự say rượu, bệnh nghiền rượu
vinously	- xem [03vinous] 
vint [01/vint/]	[01* dtừgạoi đtừ]\n- làm rượu vang
vintage [01/'vintidʒ/]	[01* dtừ]\n- sự hái nho; mùa hái nho; nho hái về\n- năm được mùa nho\n- miền sản xuất nho; rượu chế ở miền sản xuất nho\n[02= vintage champagne] rượu sâm banh chính cống\n[02= vintage wines] rượu vang nổi tiếng\n- (thơ ca) rượu\n- (định ngữ)(thuộc) loại cũ, (thuộc) loại đã quá thời\n[02= a vintage plane] máy bay loại cũ
vintager [01/'vintidʒə/]	như [03grape-gatherer]
vintaging [01/'vintidʒiη/]	[01* dtừ]\n- công việc thu hoạch nho
vintner [01/'vintnə/]	[01* dtừ]\n- người buôn rượu vang
vintnery [01/'vintnəri/]	[01* dtừ]\n- nghề buôn rượu vang
vintry [01/'vintri/]	[01* dtừ]\n- hầm chứa rượu vang
viny [01/'vaini/]	[01* ttừ]\n- (thuộc) cây nho\n- trồng nho; sản nhỏ; nhiều nho (miền) 
vinyl [01/'vainl/]	[01* dtừ]\n- nhựa vinyl (chất nhựa dẻo hơi cứng, nhất là PVC được dùng làm áo mưa, đựa hát, bìa sách) 
vinylic	- xem [03vinyl] 
viol [01/'vaiəl/]	[01* dtừ]\n- (âm nhạc) đàn viôn
viola [01/vi'oulə/]	[01* dtừ]\n- (âm nhạc) đàn antô\n- (thực vật) cây hoa tím
violability	- xem [03violable] 
violable [01/'vaiələbl/]	[01* ttừ]\n- có thể vi phạm, có thể xâm phạm
violableness [01/'vaiələblnis/]	[01* dtừ]\n- xem [03violable] 
violably [01/'vaiələbli/]	[01* trạng từ]\n- xem [03violable] 
violaceous [01/'vaiələbl/]	[01* ttừ]\n- tím\n- (thực vật)(thuộc) họ hoa tím
violate [01/'vaiəleit/]	[01* ngđtừ]\n- vi phạm, xâm phạm, phạm; làm trái (lương tâm...) ; lỗi (thề...)\n[02= to violate a law] vi phạm một đạo luật\n[02= to violate an oath] lỗi thề\n- hãm hiếp\n- phá rối, làm mất (giấc ngủ, sự yên tĩnh...)\n[02= to violate someone's peace] phá rối sự yên tĩnh của ai\n- (tôn giáo) xúc phạm\n[02= to violate a sanctuary] xúc phạm thánh đường
violation [01/,vaiə'lei∫n/]	[01* dtừ]\n- sự vi phạm, sự xâm phạm; sự làm trái\n[02= in violation of] vi phạm\n- sự hãm hiếp\n- sự phá rối\n- (tôn giáo) sự xúc phạm
violative [01/'vaiəleitiv/]	[01* ttừ]\n- xem [03violate]\n- vi phạm, thực hiện thì phá vỡ
violator [01/'vaiəleitə/]	[01* dtừ]\n- người vi phạm, người xâm phạm; người làm trái\n- người hãm hiếp\n- người phá rối\n- (tôn giáo) người xúc phạm
viole [01/vi:'ɔl/]	[01* dtừ]\n- xem [03viola] 
violence [01/'vaiələns/]	[01* dtừ]\n- sự dữ dội, sự mãnh liệt; tính hung dữ\n- tính chất quá khích\n- bạo lực, sự cưỡng bức\n[02= to do violence to] hành hung, cưỡng bức; làm ngược lại\n[02= to do violence to one's principles] làm ngược lại với nguyên tắc mình đề ra\n[02= robbery with violence] tội ăn trộm có cầm khí giới
