paradoxicalness	- xem [03paradox] 
paralegic [01/,pærə'pli:dʒik/]	[01* dtừ]\n- người bị chứng liệt\n[01* ttừ]\n- bị chứng liệt
paralimnic [01/,pærə'limnik/]	[01* ttừ]\n- ở ven hồ
paralimnion [01/,pærə'limniən/]	[01* dtừ]\n- phần hồ từ cuối mặt nước đến chổ cây cối mọc
paralipomena [01/,pærəlai'pɔminə/]	[01* dtừ] s/n\n- những vật phụ thêm vào một công trình làm phụ lục
paralipomenon [01/,pærəlai'pɔminən/]	[01* dtừ]\n- câu bị tỉnh lược
paralipsis [01/pærə'lipsis/]	[01* dtừ]\n- (ngôn) biện pháp giả vờ quên để nhấn mạnh (đó là không kể đến...) 
parallactic [01/,pærə'læktik/]	[01* ttừ]\n- (thuộc) thị sai
parallax [01/'pærəlæks/]	[01* dtừ]\n- thị sai\n[02= annual parallax] thị sai hằng năm\n[02= horizontal parallax] thị sai chân trời\n[02= optical parallax] thị sai\n[02= spectroscopic parallax] thị sai quang phổ
parallel [01/'pærəlel/]	[01* ttừ]\n- song song\n[02= parallel to (with)] song song với\n- tương đương, tương tự, giống với, ngang hàng\n[02= here is a parallel case] đây là một trường hợp tương tự\n[01* dtừ]\n- đường song song\n- đường vĩ, vĩ tuyến ((cũng) [03parallel of latitude] )\n[02= the 17th parallel] vĩ tuyến 17\n- (qsự) đường hào ngang (song song với trận tuyến)\n- người tương đương, vật tương đương\n[02= without (a) parallel] không ai (không gì) sánh bằng\n- sự so sánh, sự tương đương\n[02= to draw a parallel between two things] so sánh hai vật\n- (điện học) sự mắc song song\n- dấu song song\n[01* ngđtừ]\n- đặt song song với; tìm tương đương với; so sánh\n[02= to parallel one thing with another] so sánh vật này với vật kia\n- song song với; tương đương với; ngang với, giống với\n[02= the road parallels the river] con đường chạy song song với con sông\n- (điện học) mắc song song
parallel bars [01/'pærəlel,bɑ:z/]	[01* dtừ]\n- (thể thao) xà kép
parallel ruler [01/'pærəlel,ru:lə/]	[01* dtừ]\n- thước để kẻ đường song song
paralleled [01/'pærəleld/]	[01* ttừ]\n- (điện học) được mắc song song
paralleleped	- hình hộp\n- oblique p. hình hộp xiên\n- rectangular p. hình hộp chữ nhật\n- right p. hình hộp thẳng đứng
parallelepiped [01/,pærəle'lepiped/]	[01* dtừ]\n- (toán) hình hộp
parallelepipedon	- hình hộp
parallelism [01/'pærəlelizəm/]	[01* dtừ]\n- sự song song; tính song song\n- sự tương đương; tính tương đương\n- (văn học) cách đổi, lối song song\n- (ngôn) quan hệ song song
parallelizability	- tính song song hoá được
parallelize	- song song hoá
parallel-nerved [01/'pærəlenə:vd/]	[01* ttừ]\n- có mạch song song
parallelodrome [01/pærə'lelədrəm/]	[01* ttừ]\n- (thực vật) có gân song song
parallelogeotropic [01/pærəlelədʒiə'trɔpik/]	[01* ttừ]\n- hướng đất song song
parallelogeotropism [01/pærəlelədʒi'ɔtrəpizm/]	[01* dtừ]\n- xem [03parallelogeotropic], tính hướng đất song song
parallelogram [01/,pærə'leləgræm/]	[01* dtừ]\n- (toán) hình bình hành\n[04! parallelogram of forces]\n- (lý) hình bình hành lực
parallelotope	- hình hòn gạch
parallel-plane [01/'pærəlel,plein/]	[01* ttừ]\n- song-phẳng
parallel-series [01/'pærəlel,siəri:z/]	[01* dtừ]\n- song song - nối tiếp
parallel-veined [01/'pærəlel,veind/]	[01* ttừ]\n- có gân song song (lá) 
parallergy [01/pə'rælədʒi/]	[01* dtừ]\n- (y) tính dị ứng phụ
paralogical [01/pærə'lɔdʒikəl/]	[01* ttừ]\n- ngộ biện
paralogism [01/pæ'rələdʒizm/]	[01* dtừ]\n- (triết học) ngộ biện
paralogist	như [03paralogistic]
paralogistic	- xem [03paralogism] 
paralogize [01/pə'rælədʒaiz/]	[01* nđtừ]\n- (triết học) ngộ biện
paralysation [01/,pærəlai'zei∫n/]	[01* dtừ]\n- sự liệt, sự tê liệt\n- (bóng)\n- sự làm liệt, sự làm tê liệt
paralyse [01/'pærəlaiz/]	[01* ngđtừ]\n- (y) làm liệt\n- (bóng) làm tê liệt, làm đờ ra\n[02= to be paralysed with fear] đờ người ra vì sợ
paralysed [01/'pærəlaizd/]	[01* ttừ]\n- làm tê liệt; làm đờ người
paralyses [01/pə'rælisi:z/]	như [03paralysis]
paralysis [01/pə'rælisis/]	[01* dtừ, s/n]\n- (y) chứng liệt\n- (bóng) tình trạng tê liệt
paralytic [01/,pærə'litik/]	[01* ttừ]\n- (y) bị liệt\n- (bóng) bị tê liệt\n- (lóng) say mèm, say tí bỉ\n[01* dtừ]\n- người bị liệt (đen & bóng) 
paralytically	- xem [03paralytic] 
paralyzation	- xem [03paralysation] 
paralyze [01/'pærəlaiz/]	như [03paralyse]
paralyzer	như [03paralyzingly]
paralyzingly	- xem [03paralyze] 
paramagnet [01/pærə'mægnit/]	[01* dtừ]\n- chất thuận từ
paramagnetic [01/,pærəmæg'netik/]	[01* ttừ]\n- (y) thuận từ\n[02= paramagnetic body] chất thuận từ
paramagnetically	- xem [03paramagnetic] 
paramagnetism [01/,pærə'mægnitizm/]	[01* dtừ]\n- (lý) tính thuận từ
paramatta [01/,pærə'mætə/]	[01* dtừ]\n- vải len nhẹ (dệt bằng lông cừu mêrinô và bông hoặc lụa) 
paramedic [01/,pærə'medik/]	[01* dtừ]\n- người phụ giúp về công việc y tế
paramedical [01/,pærə'medikl/]	[01* ttừ]\n- trợ y (giúp đỡ về công việc y tế) 
parameter [01/pə'ræmitə(r) /]	[01* dtừ]\n- (toán) thông số, tham số, tham biến
parameterise [01/pə'ræmitraiz/]	- Cách viết khác : [03parametrize]
parameterization [01/,pærəmitrai'zei∫n/]	[01* dtừ]\n- sự biểu hiện thành tham số
parameterize	- xem [03parameterise] 
parametrial [01/pærə'metriəl/]	[01* ttừ]\n- bên dạ con; bao dạ con
parametric [01/,pærə'metrik/]	[01* ttừ]\n- (toán)(thuộc) thông số, (thuộc) tham số, (thuộc) tham biến\n[02= parametric equation] phương trình tham số\n[02= parametric problem] bài toán tham số
parametrically	- xem [03parameter] 
parametrise	như [03parameterize]
parametrix	- (giải tích) parametrix
parametrization	- sự tham số hoá
parametrize	như [03parameterize]
paramilitary [01/,pærə'militəri/]	[01* ttừ]\n- nửa quân sự
paramnesia [01/,pærə'ni:zjə/]	[01* dtừ]\n- (y) chứng loạn nhớ
paramo [01/'pærəmou/]	[01* dtừ]\n- đồi trọc (ở Nam mỹ) 
paramorph [01/'pærəmɔ:f/]	[01* dtừ]\n- (khoáng vật học) sự toàn biến chất
paramorphism [01/,pærə'mɔ:fizm/]	[01* dtừ]\n- xem [03paramorph] 
paramount [01/'pærəmaunt/]	[01* ttừ]\n- tối cao\n[02= paramount lady] nữ chúa\n[02= paramount lord] quân vương\n- tột bực, hết sức\n[02= of paramount importance] hết sức quan trọng\n- (+[04 to]) hơn, cao hơn\n[01* dtừ]\n- (Mỹ) người nắm quyền tối cao
paramountcy [01/'pærəmauntsi/]	[01* dtừ]\n- tính chất tối cao, uy thế tối cao
paramountly	- xem [03paramount] 
paramour [01/'pærəmuə(r) /]	[01* dtừ]\n- nhân tình, nhân ngâi (của đàn bà đã có chồng, đàn ông đã có vợ) 
paramutualism [01/pærə'mju:tjuəlizm/]	[01* dtừ]\n- hiện tượng cộng sinh tương hổ giả
paramylon [01/pærə'mailən/]	[01* dtừ]\n- hạt tinh bột
paramylum [01/pærə'mailəm/]	[01* dtừ]\n- xem [03paramylon] 
paranasal [01/pærə'neisəl/]	[01* ttừ]\n- cạnh mũi; bên mũi
paranema [01/pærə'nemə/]	[01* dtừ]\n- sợi nấm vô tính
paranemic [01/pærə'nemik/]	[01* ttừ]\n- (thuộc) xem [03paranema] 
paranephric [01/,pærə'nefrik/]	[01* ttừ]\n- bên thận cạnh thận
paranephrocyte [01/pærə'nefrəsait/]	[01* dtừ]\n- thể thận
paranephros [01/,pærə'nefrɔs/]	[01* dtừ]\n- tuyến thượng thận
parang [01/'pɑ:ræη/]	[01* dtừ]\n- dao quắm (Mã-lai) 
paranoea [01/,pærə'ni:ə/]	[01* dtừ]\n- (y) Paranoia, chứng hoang tưởng bộ phận
paranoia [01/,pærə'nɔiə/]	như [03paranoea]
paranoiac [01/,pærə'nɔiæk/]	[01* ttừ]\n- (y)(thuộc) chứng paranoia, (thuộc) chứng hoang tưởng bộ phận\n[01* dtừ]\n- (y) người bị paranoia, người mắc chứng hoang tưởng bộ phận
paranoic [01/pærə'nouik/]	[01* dtừ]\n- xem [03paranoiac] 
paranoid [01/'pærənɔid/]	[01* ttừ]\n- <y> (thuộc) chứng paranoia, (thuộc) chứng bệnh hoang tưởng\n[01* dtừ]\n- <y> người bị paranoia, người mắc bệnh hoang tưởng
paranormal [01/,pærə'nɔ:ml/]	[01* ttừ]\n- huyền bí, siêu linh, dị thường (ngoài phạm vi khoa học giải thích) 
paranormality	như [03paranormally]
paranormally	- xem [03paranormal] 
paranota [01/pærə'noutə/]	[01* dtừ]\n- mầm cánh
paranuchal [01/pærə'nju:kəl/]	[01* ttừ]\n- bên gáy
paranucleus [01/pærə'nju:kliəs/]	[01* dtừ]\n- (sinh vật) nhân phụ
parapet [01/'pærəpit/]	[01* dtừ]\n- tường chân mái; tường góc lan can; tường góc lan can; tường phòng hộ (trên đường ô tô)\n- (qsự) công sự mặt (ở phía trước hoà) 
parapeted [01/pærəpitid/]	[01* ttừ]\n- (có) xem [03parapet] 
paraph [01/'pærəf/]	[01* dtừ]\n- nét ngoáy sau, chữ ký tắt (để phòng ngừa sự giả mạo) 
paraphernalia [01/,pærəfə'neiliə/]	[01* dtừ s/n]\n- đồ tế nhuyễn của riêng tây; đồ dùng linh tinh của cá nhân; phụ tùng linh tinh
paraphimosis [01/,pærəfi'mousis/]	[01* dtừ]\n- (y) chứng nghẹt qui đầu
paraphonia [01/,pærə'founjə/]	[01* dtừ]\n- (y) chứng nói sai giọng
paraphrasable	[01* ttừ]\n- có thể giải thích dài dòng\n- xem [03paraphrase]
paraphrase [01/'pærəfreiz/]	[01* dtừ]\n- ngữ giải thích, chú giải dài dòng\n[01* ngđtừ]\n- diễn tả bằng ngữ giải thích, chú giải dài dòng
paraphraser	- xem [03paraphrase] 
paraphrasia [01/pærə'freisjə/]	[01* dtừ]\n- (y) chứng nói loạn
paraphrasic [01/pə'ræfrəsis/]	[01* dtừ]\n- xem [03paraphrase] 
paraphrastic [01/,pærə'fræstik/]	[01* ttừ]\n- diễn tả bằng ngữ giải thích, có tính chất chú giải dài dòng
paraphrastically	- xem [03paraphrastic] 
paraphylla [01/pærə'filə/]	[01* dtừ] s/n\n- xem [03paraphyllum] 
paraphyllum [01/pærə'filəm/]	[01* dtừ] s/n [02paraphylla]\n- lá kèn, lá bên (rêu) 
paraphyses [01/pə'ræfisi:z/]	như [03paraphysis]
paraphysis [01/pə'ræfisis/]	[01* dtừ, s/n [03paraphyses] /pə'ræfisi:z/\n- (thực vật) tơ bên
paraplasm [01/'pærəplæzm/]	[01* dtừ]\n- (sinh vật) chất dinh dưỡng
paraplegia [01/,pærə'pli:dʒiə/]	[01* dtừ]\n- (y) chứng liệt hai chi
paraplegic	- xem [03paraplegia] 
paraplegy [01/'pærəpli:dʒi/]	[01* dtừ]\n- xem [03paraplegia] 
parapodia [01/,pærə'poudi:əm/]	như [03parapodium]
parapodium [01/,pærə'poudi:əm/]	[01* dtừ, s/n [03parapodia] /,pærə'poudi:ə/\n- (động vật) chi bên
parapolar [01/,pærə'poulə/]	[01* ttừ]\n- bên cực
paraproct [01/'pærə,prɔkt/]	[01* dtừ]\n- mảnh bên hậu môn (côn trùng) 
paraproctic [01/,pærə'prɔktik/]	[01* ttừ]\n- (thuộc) xem [03paraproct] 
paraprofessional [01/pærəprə'fesnəl/]	[01* dtừ]\n- người phụ tá có kinh nghiệm để giúp một chuyên gia
parapsychological [01/,pærəsaikə'lɔdʒikəl/]	[01* ttừ]\n- cận tâm lý học
parapsychologist [01/pærəsai'kɔlədʒist/]	[01* dtừ]\n- nhà cận tâm lý học
parapsychology [01/,pærəsai'kɒlədʒi/]	[01* dtừ]\n- sự nghiên cứu các hiện tượng thần kinh ngoài lãnh vực tâm lý bình thường\n- cận tâm lý học
paraquat [01/'pærəkwɔt/]	[01* dtừ]\n- thuốc diệt cỏ mạnh, thuốc diệt cỏ hết sức độc
pararenal [01/pærə'ri:nəl/]	[01* ttừ]\n- (phẫu) bên ruột thẳng\n- (giải phẩu học) bên thận
parascending [01/'pærə,sendiη/]	[01* dtừ]\n- môn thể thao nhảy dù
parascience [01/'pærəsaiəns/]	[01* dtừ]\n- môn cận khoa học
parascientific [01/,pærəsain'tifik/]	[01* ttừ]\n- cận khoa học
parascientist [01/pærə'saintist/]	[01* dtừ]\n- nhà cận khoa học
parasecretion [01/pærəsi'kri:∫n/]	[01* dtừ]\n- sự bài tiết giả, sự bài tiết không bình thường
paraselectivity [01/pærəsilek'tiviti/]	[01* dtừ]\n- (sinh vật) tính chọn lọc không bình thường
paraselenae [01/,pærəsi'li:ni:/]	[01* dtừ s/n]\n- (thiên văn) trăng già, trăng ảo
paraselene [01/,pærəsi'li:ni:/]	[01* dtừ]\n- <thvăn> trăng già, trăng ảo
paraselenic	- xem [03paraselene] 
parasematic [01/pærəse'mætik/]	[01* ttừ]\n- (thuộc) xem [03paraseme] 
paraseme [01/,pærə'si:m/]	[01* dtừ]\n- dấu hiệu giả, dấu hiệu lừa
parasexual [01/pærə'seksjuəl/]	[01* ttừ]\n- thuộc giới tính đối ứng
parashoot [01/'pærə∫u:t/]	[01* nđtừ]\n- nhảy dù
parasite [01/'pærəsait/]	[01* dtừ]\n- kẻ ăn bám\n- (sinh vật) vật ký sinh
parasitic [01/,pærə'sitik/]	như [03parasitical]
parasitical [01/,pærə'sitikl/]	[01* ttừ]\n- ăn bám, ký sinh; do ký sinh
parasitically [01/,pærə'sitikli/]	[01* phtừ]\n- ăn bám, ký sinh
parasiticidal	- xem [03parasiticide] 
parasiticide [01/,pærə'sitisaid/]	[01* dtừ]\n- chất diệt (vật) ký sinh
parasitism [01/'pærəsaitizm/]	[01* dtừ]\n- tính chất ăn bám; sự ký sinh
parasitization [01/pærəsitai'zei∫n/]	[01* dtừ]\n- sự gây bệnh ký sinh
parasitize [01/'pærəsaitaiz/]	[01* ngđtừ]\n- (sinh vật) ký sinh trên
parasitoid [01/'pærəsi'tɔid/]	[01* dtừ]\n- vật dạng ký sinh
parasitologic	- xem [03parasitology] 
parasitologist [01/,pærəsai'tɔlədʒist/]	[01* dtừ]\n- nhà nghiên cứu vật ký sinh
parasitology [01/,pærəsai'tɔlədʒi/]	[01* dtừ]\n- khoa vật ký sinh
parasitosis [01/,pærəsai'tousis/]	[01* dtừ]\n- (y) bệnh ký sinh
parasol [01/,pærə'sɔl/]	[01* dtừ]\n- cái dù (che nắng) 
parasoled	- xem [03parasol] 
parasolette [01/,pærəsɔ'let/]	[01* dtừ]\n- cái lọng con; cái dù con
parasolpine [01/'pærəsɔl,pain/]	[01* dtừ]\n- (thực vật) cây kim tùng
parasuit [01/'pærəsu:t/]	[01* dtừ]\n- quần áo nhảy dù
parasymbiosis [01/,pærəsimbi'ousis/]	[01* dtừ]\n- hiện tượng cộng sinh giả
