tsarism [01/'zɑ:rizəm/]	như [03tzarism]
-tude [01/-tju:d,-∫u:d/]	- hậu tố tạo danh từ\n- sự, tính chất\n- altitude\n- độ cao\n- plenitude\n- sự đầy đủ
tudor [01/'tju:də/]	[01* ttừ]\n- (Tudor) thuộc dòng Tudo đã làm vua nước Anh từ 1485 đến 1603\n- (Tudor) tiêu biểu cho vương triều Tudo
tue	[01* (vt)]\n- thứ ba ([03Tuesday] ) 
tues	[01* (vt)]\n- thứ Ba ([03Tuesday] )\n[02= Tues 9 March] ngày thứ Ba mồng chín tháng ba
Tuesday [01/'tju:zdi/]	[01* dtừ]\n- ngày thứ ba (trong tuần) 
tufa [01/'tju:fə/]	[01* dtừ]\n- (khoáng) Túp ((cũng) [03tuff] ) 
tuff [01/'tʌf/]	[01* dtừ]\n- đá tạo thành từ tro núi lửa
tuffaceous [01/'tʌpfei∫əs/]	[01* dtừ]\n- thuộc túp; có túp, sinh túp
tuffet [01/'tʌfit/]	[01* dtừ]\n- bụi cỏ, mô đất nhỏ\n- cái ghế thấp
tuft [01/tʌft/]	[01* dtừ]\n- (như) [03tufa]\n- búi (cỏ, tóc), chùm (lông), chòm (lá...)\n- chòm râu dưới môi dưới\n- (phẫu) búi (mao mạch)\n[01* ngđtừ]\n- trang trí bằng mào lông\n- điểm từng chùm, chia thành từng cụm\n[02= a plain tufted with cottages] cánh đồng rải rác từng cụm nhà tranh\n- chần (nệm cỏ...)\n[01* nđtừ]\n- mọc thành chùm, mọc thành cụm
tufted [01/'tʌftid/]	[01* ttừ]\n- có búi; mọc thành búi
tuft-hunter [01/'tʌft'hʌntə/]	[01* dtừ]\n- người sính làm quen với những kẻ quyền cao chức trọng
tufty [01/'tʌfti/]	[01* ttừ]\n- thành bụi, thành chùm\n- có nhiều chùm, có nhiều bụi; rậm rạp
tug [01/tʌg/]	[01* dtừ]\n- sự kéo mạnh, sự giật mạnh\n[02= to give a good tug] giật mạnh một cái\n[02= we left a great tug at parting] (bóng) chúng tôi cảm thấy đau lòng lúc chia tay\n- (hàng hải)(như) [03tugboat]\n[01* ngđtừ]\n- kéo mạnh, lôi kéo\n[02= the child tugged the dog round the garden] đứa bé lôi con chó quanh vườn\n- (hàng hải) lai, kéo\n[01* nđtừ]\n- kéo mạnh, giật mạnh\n[02= we tugged so hard that the rope broke] chúng tôi kéo căng đến nỗi đứt cả dây thừng\n[02= to tug at the oars] rán sức chèo\n[02= the dog tugged at the leash] con chó cố sức giằng cái xích\n[02= to tug at someone's heart-strings] (bóng) làm cho ai hết sức cảm động; làm đau lòng ai\n[04! to tug in]\n- (bóng) cố đưa vào bằng được, cố lồng vào bằng được (một vấn đề gì...) 
tug of love [01/'tʌgɔv'lʌv/]	[01* dtừ]\n- (tục) sự đòi con (sự tranh chấp về việc trông coi đứa bé giữa những người bố mẹ ly thân hoặc ly dị) 
tug of war [01/'tʌgɔv'wɔ:/]	[01* dtừ]\n- trò chơi kéo co\n- (bóng) cuộc chiến đấu gay go (giữa hai bên) 
tugboat [01/'tʌgbout/]	[01* dtừ]\n- (hàng hải) tàu lai, tàu kéo
tuggage [01/'tʌgidʒ/]	[01* dtừ]\n- sự kéo; sự lai
tugger [01/'tʌgə/]	[01* dtừ]\n- tời phụ
tuition [01/tju:'i∫n/]	[01* dtừ]\n- sự dạy học, sự giảng dạy\n[02= private tuition] sự dạy tư\n[02= postal tuition] sự giảng dạy bằng thư\n- tiền học, học phí
tulip [01/'tju:lip/]	[01* dtừ]\n- (thực vật) cây uất kim hương\n- hoa uất kim hương
tulle [01/tju:l/]	[01* dtừ]\n- vải tuyn (để may màn) 
tum [01/tʌm/]	[01* dtừ]\n- (đùa) dạ dày (vt) của [03tummy] 
tumble [01/'tʌmbl/]	[01* dtừ]\n- cái ngã bất thình lình; sự sụp đổ, sự đổ nhào\n[02= a nasty tumble] cái ngã trời giáng, cái ngã đau điếng\n- sự nhào lộn\n- tình trạng lộn xộn, tình trạng rối tung, tình trạng hỗn loạn\n[02= to be all in a tumble] lộn xộn, hỗn loạn, rối tung cả lên\n[04! to take a tumble]\n- (Mỹ),(lóng) đoán, hiểu\n[01* nđtừ]\n- ngã, sụp đổ, đổ nhào\n[02= to tumble down the stairs] ngã lộn từ trên cầu thang xuống\n[02= to tumble into the river] té nhào xuống sông\n[02= the house is going to tumble down] căn nhà sắp đổ sụp\n[02= to tumble up the stairs] nhào lên thang gác\n- xô (sóng)\n[02= the waves came tumbling on the shore] sóng xô vào bờ\n- trở mình, trăn trở\n[02= to tumble about all night] suốt đêm trở mình trằn trọc\n- chạy lộn xộn; chạy vội vã\n[02= the children tumbled out of the classroom] bọn trẻ con chạy lộn xộn ra khỏi lớp\n- nhào lộn\n- vớ được, tình cờ bắt gặp, tình cờ tìm thấy\n[02= I tumble upon him in the street] tình cờ tôi vớ được hắn ta ở phố\n[01* ngđtừ]\n- làm lộn xộn, làm rối tung, xáo trộn\n[02= the bed is all tumbled] giường rối tung cả lên\n[02= to tumble someone's hair] làm rối bù đầu ai\n- xô ngã, làm đổ, làm té nhào, lật đổ\n- bắn rơi (chim), bắn ngã\n[04! to tumble in]\n- lắp khít (hai thanh gỗ)\n- (lóng) đi ngủ\n[04! to tumble to]\n- (lóng) đoán, hiểu\n[02= I did not tumbleto the joke at first] thoạt đầu tôi không hiểu câu nói đùa
tumbledown [01/'tʌmbldaun/]	[01* ttừ]\n- xiêu vẹo, ọp ẹp, chỉ chực sụp đổ (nhà...) 
tumble-drier [01/'tʌmbl'draiə/]	[01* dtừ]\n- máy sấy quần áo
tumble-dry [01/'tʌmbl,drai/]	[01* ngđtừ]\n- cho vào máy quay để làm khô quần áo
tumbler [01/'tʌmblə/]	[01* dtừ]\n- cốc (không có chân)\n- người nhào lộn\n- giống chim bồ câu nhào lộn (trong khi bay)\n- con lật đật (đồ chơi)\n- lẫy khoá
tumbler-drier	như [03tumble-drier]
tumblerful [01/'tʌmbləful/]	như [03glassful]
tumbleweed [01/'tʌmbl,wi:d/]	[01* dtừ]\n- cây cỏ lăn (loại cây giống như bụi mọc ở những vùng sa mạc Bắc Mỹ, về mùa thu bị héo đi, bong ra và cuộn lăn đi theo gió) 
tumbling [01/'tʌmbliη/]	[01* dtừ]\n- sự rơi xuống, sự ngã, sự đổ nhào\n- (thể thao) môn nhào lộn
tumbling barrel [01/'tʌmbliη,bærəl/]	[01* dtừ]\n- thùng quay (để làm khô quần áo, bát đĩa) 
tumbling-hoop [01/'tʌmbliη'hu:p/]	[01* dtừ]\n- vòng của người nhào lộn
tumbling-shaft [01/'tʌmbliη'∫ɑ:ft/]	[01* dtừ]\n- (kỹ) trục cam (trong ô tô) 
tumbling-trick [01/'tʌmbliη'trik/]	[01* dtừ]\n- trò nhào lộn
tumbrel [01/'tʌmbrəl/]	như [03tumbril]
tumbril [01/'tʌmbril/]	[01* dtừ]\n- xe bò (chở dụng cụ, đạm, phân...)\n- (sử học) xe chở tội nhân đi hành hình (thời cách mạng dân chủ tư sản Pháp) 
tumefaciant [01/,tju:mi'fei∫ənt/]	- Cách viết khác : [03tumefactive]
tumefaction [01/,tju:mi'fæk∫n/]	[01* dtừ]\n- sự sưng\n- khối u
tumefactive [01/,tju:mi'fei∫ənt/]	- Cách viết khác : [03tumefaciant]
tumefy [01/'tju:mifai/]	[01* ngđtừ]\n- làm cho sưng lên\n[01* nđtừ]\n- sưng lên
tumescence [01/tju:'mesns/]	[01* dtừ]\n- trạng thái sưng phù
tumescent [01/tju:'mesnt/]	[01* ttừ]\n- sưng phù lên
tumid [01/'tju:mid/]	[01* ttừ]\n- sưng lên, phù lên; nổi thành u\n- (bóng) khoa trương (văn)\n[02= tumid speech] bài nói khoa trương
tumidity [01/tju:'midəti/]	[01* dtừ]\n- chỗ sưng; sự sưng lên\n- (bóng) tính khoa trương (văn) 
tumidness [01/'tju:midnis/]	như [03tumidity]
tummy [01/'tʌmi/]	[01* dtừ]\n- (tục) dạ dày
tummy button [01/'tʌmi'bʌtn/]	[01* dtừ]\n-(phẫu) rốn
tumor [01/'tju:mə/]	[01* dtừ]\n- khối u, u, bướu\n[02= malignant tumor] u ác tính
tumorigenic [01/,tju:məri'dʒenik/]	[01* ttừ]\n- có xu hướng nổi bướu ung thư, có xu hướng nổi u ung thư
tumorigenicity [01/,tju:məridʒə'nisiti/]	[01* dtừ]\n- tình trạng nổi bướu ung thư, tình trạng nổi u ung thư
tumour [01/'tju:mə/]	như [03tumor]
tums	- Cách ngôn; lời vàng ngọc\n- (pháp luật) Lời phát biểu của quan toà (không có giá trị (pháp lý))\n- Lời tuyên bố chính thức; lời quả quyết
tumular [01/'tju:mjulə/]	[01* ttừ]\n- thuộc mộ
tumuli [01/'tju:mjulai/]	[01* dtừ] s/n [03tumuli]\n- nấm mồ
tumult [01/'tju:mʌlt/]	[01* dtừ]\n- sự ồn ào, sự om sòm; tiếng ồn ào\n- sự xôn xao, sự náo động\n- sự bối rối, sự xáo động\n[02= mind in (a) tumult] đầu óc đang bối rối xáo động
tumultuary [01/tju'mʌltjuəri/]	[01* ttừ]\n- ồn ào; xáo động\n- rối loạn\n[02= a tumultuary army] một đạo quân rối loạn
tumultuous [01/tju:'mʌlt∫uəs/]	[01* ttừ]\n- ồn ào, huyên náo\n- xôn xao, náo động
tumultuousness [01/tju:'mʌltjuəs/]	[01* dtừ]\n- tính chất ồn ào, tính chất huyên náo\n- sự xôn xao, sự náo động
tumulus [01/'tju:mjuləs/]	như [03tumuli]
tun [01/tʌn/]	[01* dtừ]\n- thùng ton nô\n- thùng ủ men (chế rượu bia)\n- ton-nô (đơn vị đo lường bằng 252 galông)\n[01* ngđtừ]\n- bỏ vào thùng, đóng vào thùng\n[02= to tun wine] đóng rượu vào thùng
tuna [01/'tju:nə/]	[01* dtừ] s/n [02tuna, tunas]\n- (Mỹ),(động vật) cá ngừ Ca-li-fo-ni ((cũng) [03tuna fish] ) 
tunable [01/'tju:nəbl/]	[01* ttừ]\n- có thể hoà âm được\n- du dương, êm ái
tuna-fish [01/'tju:nə'fi∫/]	[01* dtừ]\n- thịt cá ngừ Califoni
tundish [01/'tʌndi∫/]	[01* dtừ]\n- (kỹ) gàu chuyên
tundra [01/'tʌndrə/]	[01* dtừ]\n- (địa) Tunđra, lãnh nguyên
tune [01/tju:n/]	[01* dtừ]\n- điệu (hát...), giai điệu\n- sự đúng điệu; sự hoà âm\n[02= to sing in tune] hát đúng\n[02= to sing out of tune] hát sai, hát lạc điệu\n- (bóng) sự hoà hợp sự hoà thuận\n[02= to be in tune with somebody] hợp với ai, hoà thuận với ai\n- sự cao hứng, sự hứng thú\n[02= I am not in tune for a talk this evening] tôi không thấy hứng thú nói chuyện tối nay\n[04! to change one's tune; to sing another tune]\n- (bóng) đổi giọng, đổi thái độ\n[04! to the tune of five million]\n- với số tiền là năm triệu\n[01* ngđtừ]\n- (âm nhạc) lên dây so dây (đàn)\n- (bóng) làm cho hoà hợp, làm cho phù hợp, làm cho ăn giọng, làm cho ăn khớp\n[02= you'll have to tune your theories to the new conditions of life] anh phải làm cho những lý thuyết của anh phù hợp với những điều kiện mới của cuộc sống\n- (Mỹ) điều chỉnh (máy...)\n[01* nđtừ]\n- (+[04 with]) hoà hợp với, hoà nhịp với, ăn giọng với, ăn khớp với (đen & bóng)\n[04! to tune in]\n- điều chỉnh làn sóng (truyền thanh)\n[02= to tune in to Pekin] bắt đài Bắc kinh\n[04! to tune up]\n- lên dây, so dây (dàn nhạc)\n- bắt đầu chơi (nhạc) ; bắt đầu hát\n-(đùa) bắt đầu nhé (trẻ con...) 
tuned-in [01/'tju:nd'in/]	[01* ttừ]\n- được thông báo về tình hình
tuneful [01/'tju:nfl/]	[01* ttừ]\n- du dương, êm ái
tunefully [01/'tju:nfəli/]	[01* phtừ]\n- có giai điệu vui tai, du dương, êm ái
tunefulness [01/'tju:nfənis/]	[01* dtừ]\n- tính chất du dương, tính chất êm ái
tuneless [01/'tju:nlis/]	[01* ttừ]\n- không đúng điệu\n- không du dương, không êm ái\n- không chơi, không gảy (nhạc khí) 
tunelessly [01/'tju:nlisli/]	[01* phtừ]\n- không có giai điệu, không du dương, không êm ái; nghe chói tai\n- không chơi, không gảy (nhạc khí) 
tunelessness [01/'tju:nlisnis/]	[01* dtừ]\n- sự không có giai điệu, sự không du dương, sự không êm ái; sự nghe chói tai\n- sự không chơi, sự không gảy (nhạc khí) 
tuner [01/'tju:nə/]	[01* dtừ]\n- người lên dây (pianô...) 
tunery [01/'tə:nəri/]	[01* dtừ]\n- nghề tiện\n- đồ tiện\n- xưởng tiện
tunesmith [01/'tju:n,smiθ/]	[01* dtừ]\n- người sáng tác dân ca
tune-up [01/'tju:nʌp/]	[01* dtừ]\n- (Mỹ) sự điều chỉnh (máy) 
tung [01/tʌη/]	- xem [03tung-tree] 
tung oil [01/'tʌη'ɔil/]	[01* dtừ]\n- dầu tung
tungstate [01/'tʌηsteit/]	[01* dtừ]\n- (hoá) Vonfamat
tungsten [01/'tʌηstən/]	[01* dtừ]\n- (hoá) Vonfam
tungstic [01/'tʌηstik/]	[01* ttừ]\n- (hoá) Vonfamic
tung-tree [01/'tʌη'tri:/]	[01* dtừ]\n- (thực vật) cây tung (cây cho dầu, cùng loại với trầu) 
tungus [01/'tu:ηgu:z/]	[01* dtừ] s/n [02tunguses]\n- người Tungút (giống Môngôloit ở Đông Xibiri)\n- ngôn ngữ Tungút
tungusic [01/tuη'gu:zik/]	[01* dtừ]\n- nhánh ngôn ngữ Tungút\n[01* ttừ]\n- (thuộc) nhánh ngôn ngữ Tungút
tunic [01/'tju:nik/]	[01* dtừ]\n- áo chẽn (của binh sĩ, cảnh sát)\n- áo dài thắt ngang lưng (của đàn bà)\n- (phẫu) ; (thực vật) áo, vỏ
tunica [01/'tju:nikə/]	[01* dtừ]\n- áo, vỏ
tunicate [01/'tju:nikeit/]	[01* ttừ]\n- (phẫu) ; (thực vật) có áo, có vỏ
tunicle [01/'tju:nikl/]	[01* dtừ]\n- áo ngắn (người trợ tế mặc khi hành lễ)\n- vỏ; bao
tuning [01/'tju:niη/]	[01* dtừ]\n- (âm nhạc) sự lên dây\n- (rađiô) sự điều chỉnh làn sóng; sự bắt làn sóng\n- (kỹ) sự điều chỉnh (máy) 
tuning-fork [01/'tju:niη'fɔ:k/]	[01* dtừ]\n- thanh mẫu, âm thoa
tuning-hammer [01/'tju:niη,hæmə/]	[01* dtừ]\n- khoá lên dây đàn
tuning-up [01/'tju:niη,ʌp/]	[01* dtừ]\n- sự điều chỉnh (máy, sóng) 
tunisian [01/tju:'niziən/]	[01* ttừ]\n- (thuộc) Tuy-ni-di\n[01* dtừ]\n- người Tuy-ni-di
tunnel [01/'tʌnl/]	[01* dtừ]\n- đường hầm\n- hang (chuột...)\n- ống (lò sưởi)\n- (ngành mỏ) đường hầm nằm ngang\n[01* đtừ]\n- đào đường hầm xuyên qua\n[02= to tunnel a hill] đào đường hầm xuyên qua một quả đồi\n- đi qua bằng đường hầm
tunnel vision [01/'tʌnl'viʒn/]	[01* dtừ]\n- thị trường hình ống (tình trạng thị lực bị giảm sút hoặc mất hoàn toàn ở tất cả các phía của thị trường)\n- phiến diện (sự không có khả năng nắm bắt được những hàm ý rộng lớn hơn của hoàn cảnh, lý lẽ) 
tunnel-borer [01/'tʌnl'bɔ:rə/]	[01* dtừ]\n- máy đào hầm
tunneller [01/'tʌnlə/]	[01* dtừ]\n- thợ đào đường hầm, máy đào đường hầm
tunnel-net [01/'tʌnl,bɔ:rə/]	[01* dtừ]\n- lưới đó (để đánh cá) 
tunny [01/'tʌni/]	như [03bonito]
tup [01/tʌp/]	[01* dtừ]\n- (động vật) cừu đực\n- (kỹ) mặt nện (của búa hơi)\n[01* ngđtừ]\n- phủ, nhảy (cái)(cừu) 
tupi [01/'tu:pi/]	[01* dtừ (số nhiều không đổi hoặc tupis)]\n- người thuộc dân da đỏ vùng thung lũng Amazôn, dân da đỏ vùng Amazôn\n- tiếng của người da đỏ vùng Amazôn
tuppence [01/'tʌpəns/]	[01* dtừ]\n- (tục)(như) [03twopence] 
tuppenny [01/'tʌpəni/]	[01* dtừ]\n- (tục)(như) [03twopenny] 
turback [01/'tə:nbæk/]	[01* dtừ]\n- người hèn nhát\n- người đào ngũ; kẻ phản bội
turban [01/'tə:bən/]	[01* dtừ]\n- khăn xếp\n- mũ không vành (của đàn bà) 
turbaned [01/'tə:bənd/]	[01* ttừ]\n- có vấn khăn, có chít khăn\n- có đội mũ không vành (đàn bà) 
turbary [01/'tə:bəri/]	[01* dtừ]\n- mỏ than bùn\n- quyền được lấy than bùn (ở đất của người khác) 
turbid [01/'tə:bid/]	[01* ttừ]\n- đục (chất lỏng, màu)\n- (Mỹ) dày, đặc (khói)\n- (bóng) mập mờ, lộn xộn\n[02= turbid utterance] cách phát biểu lộn xộn không rõ ràng
turbidity [01/tə:'bidəti/]	như [03turbidness]
turbidness [01/'tə:bidnis/]	[01* dtừ]\n- tính chất đục\n- (Mỹ) tính chất dày, tính chất đặc\n- (bóng) tính chất mập mờ, tính chất lộn xộn
turbinate [01/'tə:binit/]	[01* ttừ]\n- hình con cù, giống hình con quay
turbine [01/'tə:bain/]	[01* dtừ]\n- (kỹ) Tuabin
turbiniform [01/'tə:binifɔ:m/]	[01* ttừ]\n- hình con quay, hình con cù
turbit [01/'tə:bit/]	[01* dtừ]\n- (động vật) bồ câu đầu bằng
turbo	- có tính nhanh, có tính tốc độ
turbo-compressor [01/'tə:bou kən'presə/]	[01* dtừ]\n- máy tuabin nén khí
turbodrill [01/'tə:boudril/]	[01* dtừ]\n- (kỹ) khoan tuabin
turbo-driven [01/'tə:bou'drivn/]	[01* ttừ]\n- được dẫn động bằng tuabin
