dissemblance [01/di'sembləns/]	[01* dtừ]\n- sự khác nhau\n- sự giả vờ, đạo đức giả
dissolution [01/,disə'lu:∫n/]	[01* dtừ]\n- sự rã ra, sự tan rã, sự phân huỷ\n- sự hoà tan; sự tan ra (băng, tuyết...)\n- sự giải tán (nghị viện, quốc hội) ; sự giải thể (một công ty...)\n- sự huỷ bỏ (một giao kèo, cuộc hôn nhân...)\n- sự tan biến, sự biến mất\n- sự chết
dissolvable [01/di'zɔlvəbl/]	[01* ttừ]\n- có thể rã ra, có thể tan rã, có thể phân huỷ\n- có thể hoà tan; có thể tan ra\n- có thể giải tán; có thể giải thể\n- có thể huỷ bỏ\n- có thể tan biến
dissolve [01/di'zɔlv/]	[01* ngđtừ]\n- rã ra, tan rã, phân huỷ\n- hoà tan; làm tan ra\n[02= sun dissolves ice] mặt trời làm băng tan ra\n[02= to be dissolved in tear] (bóng) đầm đìa nước mắt, giàn giụa nước mắt\n- giải tán (nghị viện, quốc hội...) ; giải thể (công ty, tổ chức...)\n- huỷ bỏ (giao kèo, cuộc hôn nhân...)\n- làm tan, làm biến đi (mây mù, hình ảnh...)\n[01* nđtừ]\n- rã ra, tan rã, phân huỷ\n- hoà tan; tan ra\n[02= ice dissolves in the sun] băng tan dưới ánh mặt trời\n- giải tán, bị giải tán (nghị viện, quốc hội) ; giải thể, bị giải thể (công ty, tổ chức...)\n- bị huỷ bỏ\n- tan biến, biến mất\n- (điện ảnh) mờ, chồng\n[02= to dissolve in] mờ đóng\n[02= to dissolve out] mờ sáng\n[01* dtừ]\n- (điện ảnh) sự mờ chồng
dissolvent [01/di'zɔlvənt/]	[01* ttừ]\n- làm hoà tan; làm tan ra\n[01* dtừ]\n- dung môi, chất làm tan
dissonance [01/'disənəns/]	[01* dtừ]\n- (âm nhạc) sự nghịch tai; tính không hoà tan\n- sự không hoà hợp, sự bất hoà
dissonant [01/'disənənt/]	[01* ttừ]\n- (âm nhạc) nghịch tai, không hoà âm\n- không hoà hợp, bất hoà; mâu thuẫn nhau, trái ngược nhau (quyền lợi, quan điểm) 
dissonantly [01/'disənəntli/]	[01* phtừ]\n- bất đồng, bất hoà\n- nghịch tai, chỏi tai
dissuade [01/di'sweid/]	[01* ngđtừ]\n- khuyên can, khuyên ngăn, can gian, can ngăn\n[02= to dissuade someone from doing something] khuyên ngăn ai đừng làm việc gì\n[02= to dissuade an action] can ngăn một hành động
dissuasion [01/di'sweiʒn/]	[01* dtừ]\n- sự khuyên can, sự khuyên ngăn, sự can gián, sự can ngăn
dissuasive [01/di'sweisiv/]	[01* ttừ]\n- để khuyên can, để khuyên ngăn, có tính chất can gian, có tính chất can ngăn
dissubstituted [01/,dais'sʌbstitiu:tid/]	[01* ttừ]\n- (hoá) thế hai lần
dissyllabic [01/disi'læbik/]	[01* ttừ]\n- hai âm tiết
dissyllable [01/di'siləbl/]	[01* dtừ]\n- từ hai âm tiết
dissymmetircal	như [03asymmetric(al)]
dissymmetrical [01/,disi'metrikəl/]	[01* ttừ]\n- không đối xứng\n- đối xứng ngược chiều (như hai bàn tay với nhau) 
dissymmetry [01/di'simitri/]	[01* dtừ]\n- sự không đối xứng; tính không đối xứng\n- sự đối xứng ngược chiều; tính đối xứng ngược chiều
distad [01/'distæd/]	[01* phtừ]\n- hướng xa; hướng ra ngoài
distaff [01/'distɑ:f/]	[01* dtừ]\n- (nghành dệt) con quay (để kéo sợi) ; búp sợi ở đầu con quay\n- (the distaff) đàn bà (nói chung), nữ giới; công việc của đàn bà\n[04! the distaff side]\n- bên (họ) ngoại
distaff side	- bên họ ngoại
distain [01/dis'tein/]	[01* ngđtừ]\n- làm mất màu; làm phai màu
distal [01/'distəl/]	[01* ttừ]\n- (phẫu),(thực vật) ở xa điểm giữa; ngoại biên
distance [01/'distəns/]	[01* dtừ]\n- khoảng cách, tầm xa\n[02= beyond striking distance] quá tầm với tay đánh được\n[02= beyond listening distance] quá tầm nghe thấy được\n[02= within striking distance] trong tầm tay đánh được\n[02= within listening distance] trong tầm nghe thấy được\n- khoảng (thời gian)\n[02= at this distance of time] vào khoảng thời gian đó\n[02= the distance between two events] khoảng thời gian giữa hai sự việc\n- quãng đường; (thể thao) quãng đường chạy đua (dài 240 iat)\n[02= to go part of the distance on foot] đi bộ một phần quãng đường\n[02= to hit the distance] (thể thao) chạy đua một quãng đường\n- nơi xa, đằng xa, phía xa\n[02= in the distance] ở đằng xa\n[02= from the distance] từ đằng xa\n- thái độ cách biệt, thái độ xa cách; sự cách biệt, sự xa cách\n[02= to keep one's distance] giữ thái độ cách biệt\n[02= to keep someone at a distance] không cho ai lại gần; giữ thái độ xa cách đối với ai\n- (hội họa) cảnh xa (của một bức hoạ)\n- (âm nhạc) khoảng cách (giữa hai nốt)\n[01* ngđtừ]\n- để ở xa, đặt ở xa\n- làm xa ra; làm dường như ở xa\n- bỏ xa (trong cuộc chạy đua, cuộc thi...) 
distance signal [01/'distəns,signəl/]	[01* dtừ]\n- tín hiệu đường sắt từ xa để báo trước một tín hiệu khác
distance-piece [01/'distənspi:s/]	như [03girth-rail]
distant [01/'distənt/]	[01* ttừ]\n- xa, cách, xa cách\n[02= five miles distant] cách năm dặm, xa năm dặm\n[02= distant relative] người có họ xa\n[02= to have a distant relation with someone] có họ xa với ai\n[02= distant likeness] sự hao hao giống\n- có thái độ cách biệt, có thái độ xa cách, không thân mật, lạnh nhạt\n[02= to be on distant terms with someone] có thái độ cách biệt đối với ai; không thân mật với ai
distantly [01/'distəntli/]	[01* phtừ]\n- lạnh nhạt, hững hờ
distaste [01/dis'teist/]	[01* dtừ]\n- sự không thích, sự không ưa; sự ghê tởm, sự chán ghét\n[02= to have a distaste for something] không ưa cái gì; ghê tởm cái gì
distasteful [01/dis'teistful/]	[01* ttừ]\n- khó chịu, đáng ghét; ghê tởm
distastefully [01/dis'teistfuli/]	[01* phtừ]\n- đáng ghét, đáng tởm
distastefulness [01/dis'teistfəlnis/]	[01* dtừ]\n- sự đáng ghét, sự đáng tởm
distemper [01/dis'tempə/]	[01* dtừ]\n- tình trạng khó ở\n- tình trạng rối trí, tình trạng loạn óc\n- (Mỹ) tình trạng bực bội, tình trạng bực dọc\n- bệnh sốt ho của chó (do nguyên nhân virut)\n- tình trạng rối loạn, tình trạng hỗn loạn (về chính trị)\n[01* ngđtừ, (cổ),(thường) chỉ động tính từ quá khứ]\n- làm khó ở\n- làm rối trí, làm loạn óc\n[02= a distempered mind] trí óc rối loạn\n[01* dtừ]\n- (hội họa) thuật vẽ (bằng) màu keo\n- màu keo\n[02= to paint in distemper] vẽ (bằng) màu keo\n[01* ngđtừ]\n- vẽ (tường...) bằng màu keo
distempered [01/dis'tempəd/]	[01* ttừ]\n- bị loạn óc\n- xáo trộn\n[02= a distempered fancy] một trí tưởng tượng hoảng loạn
distend [01/dis'tend/]	[01* ngđtừ]\n- làm sưng to, làm sưng phồng (mạch máu...) ; làm căng phồng (khí cầu...)\n[01* nđtừ]\n- sưng to, sưng phồng (mạch máu...) ; căng phồng (khí cầu...) 
distensibility [01/dis,tensi'biliti/]	[01* dtừ]\n- tính sưng phồng được; tính căng phồng được
distensible [01/dis'tensəbl/]	[01* ttừ]\n- có thể sưng phồng; có thể căng phồng
distension [01/dis'ten∫n/]	[01* dtừ]\n- sự làm sưng phồng; sự làm căng phồng; sự sưng phồng; sự căng phồng
distention [01/di'stenʃn/]	[01* dtừ]\n-(Mỹ) như [03distension]
distich [01/'distik/]	[01* dtừ]\n- đoạn thơ hai câu
distichous [01/'distikəs/]	[01* ttừ]\n- (thực vật)(xếp thành) hai dãy (hoa lá...) 
distil [01/dis'til/]	như [03distill]
distill [01/dis'til/]	[01* nđtừ]\n- chảy nhỏ giọt\n- (hoá) được cất\n[01* ngđtừ]\n- để chảy nhỏ giọt\n- (hoá) cất
distillate [01/'distilit/]	[01* dtừ]\n- (hoá) phần cất, sản phẩm cất
distillation [01/,disti'lei∫n/]	[01* dtừ]\n- (hoá) sự cất\n[02= vacuum distillation] sự cất chân không\n[02= fractional distillation] sự cất phân đoạn\n- sản phẩm cất
distillatory [01/dis'tilətəri/]	[01* ttừ]\n- để cất\n[02= distillatory vessel] bình cất
distiller [01/dis'tilə/]	[01* dtừ]\n- người cất (rượu)\n- máy cất
distillery [01/dis'tiləri/]	[01* dtừ]\n- nhà máy cất\n- nhà máy rượu
distinct [01/dis'tiηkt/]	[01* ttừ]\n- riêng, riêng biệt; khác biệt\n[02= man as distinct from animals] con người với tính chất khác biệt với loài vật\n- dễ nhận, dễ thấy, rõ ràng\n[02= distinct orders] mệnh lệnh rõ ràng\n[02= a distinct idea] ý nghĩ rõ ràng\n- rõ rệt, dứt khoát, nhất định\n[02= a distinct refusal] lời từ chối dứt khoát\n[02= a distinct tendency] khuynh hướng rõ rệt
distinction [01/dis'tiηk∫n/]	[01* dtừ]\n- sự phân biệt; điều phân biệt, điều khác nhau\n[02= distinction without a difference] điều phân biệt thực ra không có gì là khác nhau, điều phân biệt giả tạo\n[02= all without distinction] tất cả không phân biệt\n- nét đặc biệt, màu sắc riêng, tính độc đáo (văn)\n[02= to lack distinction] thiếu màu sắc riêng, thiếu độc đáo\n- dấu hiệu đặc biệt; biểu hiện danh dự, tước hiệu, danh hiệu\n- sự biệt đãi, sự ưu đãi, sự trọng vọng\n[02= to treat with distinction] biệt đãi, trọng vọng\n- sự ưu tú, sự xuất chúng, sự lỗi lạc\n[02= men of distinction] những người lỗi lạc
distinctive [01/dis'tiηktiv/]	[01* ttừ]\n- đặc biệt; để phân biệt\n[02= distinctive feature] nét đặc biệt\n[02= distinctive mark] dấu để phân biệt; dấu đặc biệt
distinctive feature analysis [01/dis'tiηktiv,fi:t∫ə ə'næləsis/]	[01* dtừ]\n-(ngôn ngữ) sự phần tích các nét khu biệt
distinctively [01/dis'tiηtivli/]	[01* phtừ]\n- rõ ràng, minh bạch, rành mạch
distinctiveness [01/dis'tiɳktivnis/]	[01* dtừ]\n- tính riêng biệt; tính rõ ràng, tính rành mạch, tính minh bạch, tính rõ rệt
distinctly [01/dis'tiηktli/]	[01* phtừ]\n- riêng biệt\n- rõ ràng, rành mạch, minh bạch, rõ rệt\n[02= to hear distinctly] nghe rõ ràng\n[02= to be distinctly superior] to hơn rõ rệt
distinctness [01/dis'tiηktnis/]	[01* dtừ]\n- tính riêng biệt\n- tính rõ ràng, tính rành mạch, tính minh bạch, tính rõ rệt
distingué [01/dis'tæηgei/]	[01* ttừ]\n- cao nhã, thanh lịch ((cũng) [03distinguished] ) 
distinguish [01/dis'tiηgwi∫/]	[01* ngđtừ]\n- phân biệt\n[02= to distinguish one thing from another] phân biệt vật này với vật khác\n- nghe ra, nhận ra\n[02= to distinguish someone among the crowd] nhận ra ai giữa đám đông\n- (+[04 into]) chia thành, xếp thành (loại...)\n[02= to distinguish men into classes] chia con người ra thành gia cấp\n[02= to distinguish oneself] tự làm nổi bật, làm cho người ta chú ý\n[01* nđtừ]\n- (+[04 between]) phân biệt, nhận định sự khác nhau (giữa...) 
distinguishable [01/dis'tiηgwi∫əbl/]	[01* ttừ]\n- có thể phân bệt
distinguished [01/dis'tiηgwi∫t/]	[01* ttừ]\n- đặc biệt, khác biệt, đáng chú ý\n[02= distinguished guest] khách quý, thượng khách\n- ưu tú, xuất sắc, lỗi lạc\n- (như) [03distingué] 
distorsion	- sự méo, sự biến dạng, biến dạng méo\n- amplitude d. sự méo biên độ\n- delay d. sự méo pha\n- envelope sự méo bao hình\n- frequency sự méo tần số\n- low d. (điều khiển học) sự méo không đáng kể\n- phase d. (điều khiển học) sự méo pha\n- wave from d. sự sai dạng tín hiệu
distort [01/dis'tɔ:t/]	[01* ngđtừ]\n- vặn vẹo, bóp méo, làm méo mó\n- bóp méo, xuyên tạc (sự việc...) 
distortedly [01/dis'tɔ:tidli/]	[01* phtừ]\n- vặn vẹo, méo mó\n- bóp méo, xuyên tạc
distortion [01/dis'tɔ:∫n/]	[01* dtừ]\n- sự vặn vẹo, sự bóp méo, sự làm méo mó\n- sự bóp méo, sự xuyên tạc (sự thật...)\n- tình trạng không rõ và không chính xác (dây nói...) 
distortion transmission impairment	- (kỹ) giảm chất lượng truyền dẫn do biến dạng (mạch) 
distortional [01/dis'tɔ:∫ənl/]	[01* ttừ]\n- méo, méo mó\n- không rõ và không chính xác (dây nói...) 
distortionist [01/dis'tɔ:∫ənist/]	[01* dtừ]\n- người vẽ tranh biếm hoạ\n- người làm trò vặn người; "người rắn"
distortionless	- không méo
distract [01/dis'trækt/]	[01* ngđtừ]\n- làm sao lãng, làm lãng đi, làm lãng trí\n[02= to distract someone's attention from more matters] làm cho ai lãng đi không chú ý đến những vấn đề quan trọng hơn\n- làm rối bời, làm rối trí\n- ((thường) động tính từ quá khứ) làm điên cuồng, làm mất trí, làm quẫn trí
distracted [01/dis'træktid/]	như [03distraught]
distractedly [01/dis'træktidli/]	[01* phtừ]\n- điên cuồng
distracting [01/di'stræktiɳli/]	[01* ttừ] làm điên cuồng, làm mất trí, làm quẫn trí\n[02= a very distracting noise] một tiếng ồn ào, huyên náo muốn phát điên
distractingly [01/dis'træktiηli/]	[01* phtừ]\n- làm điên cuồng, làm mất trí, làm quẫn trí
distraction [01/dis'træk∫n/]	[01* dtừ]\n- sự làm sao lãng, sự làm lãng đi, sự làm đứt quãng (mạch tư tưởng, công việc đang làm...) ; sự lãng trí, sự đãng trí; điều xao lãng\n- sự giải trí, sự tiêu khiển; trò giải trí, trò tiêu khiển\n- sự bối rối, sự rối trí\n- sự điên cuồng, sự mất trí, sự quẫn trí\n[02= to love to distraction] yêu điên cuồng\n[02= to be driven to distraction] phát điên, hoá cuồng
distrain [01/dis'trein/]	[01* ngđtừ]\n- (pháp lý) tịch biên (tài sản) 
distrainee [01/,distrei'ni:/]	[01* dtừ]\n- (pháp lý) người bị tịch biên tài sản
distrainer [01/dis'treinə/]	như [03distrainor]
distrainment [01/dis'treinmənt/]	[01* dtừ]\n- (pháp lý) sự tịch biên
distrainor [01/,distrei'nɔ:/]	[01* dtừ]\n- (pháp lý) người tịch biên
distraint [01/dis'treint/]	như [03distrainment]
distrait [01/dis'trei/]	[01* ttừ]\n- lãng trí, đãng trí
distraught [01/dis'trɔ:t/]	[01* ttừ]\n- điên cuồng, mất trí, quẫn trí
distress [01/dis'tres/]	[01* dtừ]\n- nỗi đau buồn, nỗi đau khổ, nỗi đau đớn\n- cảnh khốn cùng, cảnh túng quẫn, cảnh gieo neo\n- tai hoạ, cảnh hiểm nghèo, cảnh hiểm nguy\n[02= a signal of distress] tín hiệu báo lâm nguy\n- tình trạng kiệt sức, tình trạng mệt lả, tình trạng mệt đứt hơi\n- (pháp lý) sự tịch biên\n[01* ngđtừ]\n- làm đau buồn, làm đau khổ, làm đau đớn\n- làm lo âu, làm lo lắng\n- bắt chịu gian nan, bắt chịu khốn khổ\n- làm kiệt sức
distressed	[01* ttừ]\n- đau buồn
distressed area [01/dis'trest,eəriə/]	[01* dtừ]\n- vùng thất nghiệp cao và suy thoái về kinh tế
distressful [01/dis'tresful/]	[01* ttừ]\n- đau buồn, đau khổ, đau đớn\n- khốn cùng, túng quẫn, gieo neo\n- hiểm nghèo, hiểm nguy\n- (như) [03distressing] 
distressfully [01/dis'tresfuli/]	[01* phtừ]\n- u sầu, buồn rầu
distress-gun [01/dis'tresgʌn/]	[01* dtừ]\n- (hàng hải) súng báo hiệu lâm nguy
distressing [01/dis'tresiη/]	[01* ttừ] ((cũng) [03distressful] )\n- làm đau buồn, làm đau khổ, làm đau đớn\n- làm lo âu, làm lo lắng
distress-rocket [01/dis'tres,rɔkit/]	[01* dtừ]\n- (hàng hải) pháo báo hiệu lâm nguy
distress-warrant [01/dis'tres,wɔrənt/]	như [03distringas]
distributable [01/dis'tribjutəbl/]	[01* ttừ]\n- có thể phân phối, có thể phân phát
distributary [01/dis'tribjutəri/]	như [03bayou]
distribute [01/dis'tribju:t/]	[01* ngđtừ]\n- phân bổ, phân phối, phân phát\n[02= to distribute letters] phát thư\n- rắc, rải\n[02= to distribute manure over a field] rắc phân lên khắp cánh đồng\n- sắp xếp, xếp loại, phân loại\n[02= to distribute book into classes] sắp xếp sách thành loại\n- (ngành in) bỏ (chữ in)(dỡ chữ xếp vào từng ô) 
distributed [01/distribju:tid/]	[01* ttừ]\n- được phân bổ theo một kiểu nào đó
distributed array processor	- (kỹ) bộ xử lý mảng phân bố
distributed Bragg reflector laser	- (kỹ) bộ kích quang phản xạ Bragg phân bố
distributed capacitance	- (kỹ) điện dung phân bố
distributed computing	- (kỹ) tính toán phân bố
distributed data processing	- (kỹ) xử lý dữ kiện phân bố
distributed database	- (kỹ) kho dữ kiện phân bố
distributed feedback (DFB) laser	- (kỹ) bộ kích quang hồi tiếp phân bố
distributed information system	- (kỹ) hệ thống thông tin phân bố
distributing [01/dis'tribju:tiη/]	[01* ttừ]\n- để phân phối
distribution [01/,distri'bju:∫n/]	[01* dtừ]\n- sự phân bổ, sự phân phối, sự phân phát\n- sự rắc, sự rải\n- sự sắp xếp, sự xếp loại, sự phân loại\n- (ngành in) bỏ chữ (xếp vào từng ô) 
distributive [01/dis'tribjutiv/]	[01* ttừ]\n- phân bổ, phân phối, phân phát\n- (ngôn) phân biệt\n[02= distributive pronoun] đại từ phân biệt
distributivity	- tính phân phối, tính phân bố
distributor [01/dis'tribjutə/]	[01* dtừ]\n- người phân phối, người phân phát\n- (kỹ) bộ phân phối
district [01/'distrikt/]	[01* dtừ]\n- địa hạt, khu vực, quận, huyện, khu\n- vùng, miền\n[02= the lake district] vùng hồ (ở miền bắc nước Anh)\n- (Mỹ) khu vực bầu cử\n- (tôn giáo) giáo khu nhỏ\n[01* định ngữ]\n- thuộc địa hạt, thuộc quận, thuộc huyện, thuộc khu; thuộc giáo khu nhỏ\n[02= district council] hội đồng quận\n[02= a district visistor] bà phước của giáo khu nhỏ (chuyên đi thăm những gia đình nghèo, chăm lo việc từ thiện, cứu tế...)\n[01* ngđtừ]\n- chia thành địa hạt, chia thành khu vực, chia thành quận, chia thành huyện, chia thành khu
district attorney	- (Mỹ)(vt DA) biện lý quận
district-court [01/'distrikt,kɔ:t/]	[01* dtừ]\n- toà án quận; toà án địa phương
district-heating [01/'distrikt,hi:tiη/]	[01* dtừ]\n- việc cung cấp nước nóng từ một nhà trung tâm cho một khu phố
district-nurse [01/'distrikt,nə:s/]	[01* dtừ]\n- nữ y tá của khu phố
district-railway [01/'distrikt,reilwei/]	[01* dtừ]\n- đường sắt ngoại ô (Luân Đôn) 
distringas [01/dis'triηgæs/]	[01* dtừ]\n- (pháp lý) lệnh tịch biên
