midden [01/'midn/]	như [03dung-heap]
midyear [01/'mid'jiə:/]	[01* dtừ]\n- giữa năm\n- (số nhiều)(tục) kỳ thi giữa năm\n[01* ttừ]\n- giữa năm, vào giữa năm
mien [01/mi:n/]	[01* dtừ]\n- (văn học) dáng điệu, phong cách\n- vẻ mặt, sắc mặt, dung nhan\n[02= with a sorrowful mien] với vẻ mặt buồn rầu
miff [01/mif/]	[01* dtừ]\n- (tục) sự mếch lòng, sự phật ý\n[01* nđtừ]\n- (tục)(+ with, at) lấy làm mếch lòng, lấy làm phật ý\n[01* ngđtừ]\n- làm mếch lòng, làm phật ý
might [01/mait/]	[01* thời quá khứ của] [03may]\n[01* dtừ]\n- sức mạnh, lực (thân thể hoặc tinh thần)\n[02= by might] bằng sức mạnh, bằng vũ lực\n[02= with all one's might; with might and main] với tất cả sức mạnh, dốc hết sức
mightily [01/'maitili/]	[01* phtừ]\n- mạnh mẽ, mãnh liệt, dữ dội\n- (tục) cực kỳ, rất, hết sức\n[02= to be mightily pleased] hết sức hài lòng
mightiness [01/'maitinis/]	[01* dtừ]\n- sức mạnh, sự hùng cường, sự hùng mạnh\n- sự to lớn, sự vĩ đại, sự hùng vĩ, sự đồ sộ\n[04! his Mightiness]\n-(đùa) các hạ tướng công
mightn't [01/maitnt/]	- xem [03may] 
mighty [01/'maiti/]	[01* ttừ]\n- mạnh, hùng cường, hùng mạnh\n- to lớn, vĩ đại, hùng vĩ, đồ sộ\n[02= the mighty ocean] đại dương hùng vĩ\n- (tục) to lớn; phi thường\n[04! high and mighty]\n- vô cùng kiêu ngạo\n[01* phtừ]\n- (tục) cực kỳ, hết sức, rất, lắm\n[02= to think oneself mighty wise] tự cho mình là khôn ngoan lắm\n[02= it is mighty easy] cái đó dễ lắm
mignonette [01/,minjə'net/]	[01* dtừ]\n- (thực vật) cây mộc tê\n- màu lục xám\n- đăng ten minhonet
migraine [01/'mi:grein; 'maigrein/]	như [03brow-ague]
migrant [01/'maigrənt/]	[01* ttừ]\n- di trú\n[02= migrant birds] chim di trú\n[01* dtừ]\n- người di trú\n- chim di trú
migrate [01/mai'greit/]	[01* nđtừ]\n- di trú; ra nước ngoài\n- chuyển trường (chuyển từ trường đại học này sang trường đại học khác) 
migration [01/mai'grei∫n/]	[01* dtừ]\n- sự di trú\n- sự chuyển trường (từ trường đại học này sang trường đại học khác)\n- đoàn người di trú; bầy chim di trú
migrator [01/mai'greitə/]	[01* dtừ]\n- người di trú, chim di trú
migratory [01/mai'greitəri; 'maigrətri/]	[01* ttừ]\n- di trú, nay đây mai đó\n[02= migratory birds] chim di trú\n- (y) di động
mikado [01/mi'kɑ:dou/]	[01* dtừ]\n- thiên hoàng (vua Nhật bản) 
mike [01/maik/]	[01* dtừ]\n- (tục)(như) [03microphone] 
mikron [01/'maikrɔn/]	- xem [03micron] 
mil [01/mil/]	[01* dtừ]\n- nghìn\n[02= per mil] phần nghìn\n- (vt) của [03mililitre]\n- Min (đơn vị đo đường kính dây thép bằng 1 soành 00 cm) 
milady [01/mi'leidi/]	[01* dtừ]\n- phu nhân
milage [01/'mailidʒ/]	[01* dtừ]\n- tổng số dặm đã đi được\n- phụ cấp đi đường (tính theo dặm)\n- cước phí (chuyên chở... tính theo dặm)\n- (Mỹ) sự ích lợi; sự dùng\n[02= to get a lot of mileage from something] dùng cái gì được lâu
milch [01/milt∫/]	[01* ttừ]\n- milch cow bò sữa (đen & bóng) 
mild [01/maild/]	[01* ttừ]\n- nhẹ\n[02= a mild punishment] một sự trừng phạt nhẹ\n[02= tuberculosis in a mild form] bệnh lao thể nhẹ\n- êm dịu, không gắt, không xóc (thức ăn, thuốc lá, thuốc men...)\n[02= mild beer] rượu bia nhẹ\n- dịu dàng, hoà nhã, ôn hoà\n[02= mild temper] tính tình hoà nhã\n- ôn hoà, ấm áp (khí hậu, thời tiết...)\n- mềm, yếu, nhu nhược, yếu đuối\n[02= mild steel] thép mềm, thép ít cacbon\n[04! draw it mild]\n- (tục) đừng làm quá!, hãy ôn hoà!
milden [01/'maildn/]	[01* đtừ]\n- làm dịu đi, dịu đi
mildew [01/'mildju:/]	[01* dtừ]\n- nấm minddiu, nấm mốc sương\n- mốc (trên da thuộc...)\n[01* đtừ]\n- nhiễm minddiu; bị nhiễm minddiu\n- làm mốc, bị mốc
mildewed [01/'mildju:d/]	như [03mildewy]
mildewy [01/'mildju:i/]	[01* ttừ]\n- bị mốc, có nấm mốc
mildly [01/'maildli/]	[01* phtừ]\n- nhẹ, nhẹ nhàng, êm dịu\n- dịu dàng, hoà nhã, ôn hoà\n- mềm yếu, nhu nhược, yếu đuối\n[04! to put it mildly]\n- nói thận trọng, nói dè dặt
mildness [01/'maildnis/]	[01* dtừ]\n- tính nhẹ, tính êm\n- tính dịu dàng, tính hoà nhã, tính ôn hoà\n- tính mềm yếu, tính nhu nhược, tính yếu đuối
mile [01/mail/]	[01* dtừ]\n- dặm, lý\n[02= nautical mile] dặm biển, hải lý\n- cuộc chạy đua một dặm\n[04! miles better]\n- (tục) tốt hơn nhiều lắm\n[04! miles easier]\n- (tục) dễ hơn nhiều lắm
mileage [01/'mailidʒ/]	như [03milage]
mileage allowance [01/'mailidʒ,ə'lauəns/]	[01* dtừ]\n- phụ cấp cho phí tổn đi xe; phụ cấp xe
mileometer [01/mai'lɔmitə/]	- xem [03milometer] 
miler [01/'mailə/]	[01* dtừ]\n- (tục) vận động viên chạy đua cự ly một dặm; ngựa đua chuyên chạy cự ly một dặm
milestone [01/'mailstoun/]	[01* dtừ]\n- cột kilômét cọc\n- (bóng) sự kiện quan trọng, mốc lịch sử, giai đoạn quan trọng (trong đời ai) 
milfoil [01/'milfɔil/]	[01* dtừ]\n- (thực vật) cỏ thi
mili	- Tiền tố chỉ một phần ngàn
miliaria [01/,mili'eəriə/]	[01* dtừ]\n- bệnh mồ hôi trộm
milieu [01/'mi:ljɜ: ; mi:'ljɜ:/]	[01* dtừ] s/n [02milieux]\n- môi trường, hoàn cảnh
milieux [01/'mi:ljɜ:z/]	- số nhiều của [03milieu]
militancy [01/'militənsi/]	[01* dtừ]\n- tính chiến đấu
militant [01/'militənt/]	[01* ttừ]\n- chiến đấu\n[02= the militant solidarity among the oppresed peoples] tình đoàn kết chiến đấu giữa các dân tộc bị áp bức\n[01* dtừ]\n- người chiến đấu, chiến sĩ
militarese [01/,militə'ri:z/]	[01* dtừ]\n- ngôn ngữ quân sự
militarily [01/'militərili/]	[01* phtừ]\n- với tính chất quân sự; với tính chất quân đội\n- theo quan điểm quân sự, về mặt quân sự
militarisation [01/,militərai'zei∫n/]	- xem [03militarization] 
militarise [01/'militəraiz/]	[01* ngđtừ]\n- quân phiệt hoá\n- quân sự hoá
militarism [01/'militərizm/]	[01* dtừ]\n- chủ nghĩa quân phiệt\n- tinh thần thượng võ
militarist [01/'militərist/]	[01* dtừ]\n- người theo chủ nghĩa quân phiệt
militaristic [01/,militə'ristik/]	[01* ttừ]\n- quân phiệt
militarization [01/,militərai'zei∫n/]	[01* dtừ]\n- sự quân phiệt hoá\n- sự quân sự hoá
militarize [01/'militəraiz/]	như [03militarise]
military [01/'militri/]	[01* ttừ]\n- (thuộc) quân đội, (thuộc) quân sự\n[01* dtừ]\n- (thường) the military quân đội, bộ đội
military government [01/'militəri'gʌvnmənt/]	[01* dtừ]\n- chính phủ quân sự (của quân chiếm đóng ở nước bị chiếm đóng) 
military intelligence [01/'militəriin'telidʒəns/]	[01* dtừ]\n- tình báo quân đội
military law [01/'militəri'lɔ:/]	[01* dtừ]\n- quân pháp
military police [01/'militəripə'li:s/]	[01* dtừ]\n- quân cảnh
military science [01/'militəri'saiəns/]	[01* dtừ]\n- khoa học quân sự
militate [01/'militeit/]	[01* nđtừ]\n- chiến đấu\n- (militate against) chứng minh ngược lại\n- cản trở\n[02= bad weather militated against our plan] thời tiết xấu đã cản trở kế hoạch của chúng tôi
militerrorism [01/,mili'terərizm/]	[01* dtừ]\n- sự khủng bố quân sự, sự đàn áp quân sự
militia [01/mi'li∫ə/]	[01* dtừ]\n- dân quân
militiaman [01/mi'li∫əmæn/]	[01* dtừ]\n- anh dân quân
milk [01/milk/]	[01* dtừ]\n- sữa\n[02= condensed milk] sữa đặc\n[02= milk of almonds] nước sữa hạnh\n- nhựa mủ (cây), nước (dừa...)\n[04! it is no use crying over spilt milk]\n- xem [03spill]\n[04! milk for bales]\n- (bóng) loại văn học đơn giản, học thuyết đơn giản\n[01* ngđtừ]\n- vắt sữa\n[02= to milk a cow] vắt sữa bò\n- bòn rút, bóc lột\n- lấy (nhựa) bóp, nặn (nọc rắn...)\n- (lóng) nhận trộm, nghe lỏm (điện tín)\n[01* nđtừ]\n- cho sữa\n[02= the cows are milking well this season] mùa này bò cho nhiều sữa\n[04! to milk the ram (bull)]\n- lấy gậy chọc trời\n[04! to milk the tilt]\n- thụt két
milk and honey [01/'milkənd'hʌni/]	[01* dtừ]\n- cảnh phong lưu
milk and water [01/'milkənd'wɔ:tə/]	[01* dtừ]\n- sữa pha lõng\n- bài nói chuyện nhạt nhẽo, bài nói chuyện vô vị; cuốn sách nhạt nhẽo\n[01* ttừ]\n- yếu ớt\n- nhạt nhẽo, vô vị
milk churn [01/'milk't∫ə:n/]	[01* dtừ]\n- thùng đựng sữa
milk pudding [01/'milk'pudiη/]	[01* dtừ]\n- bánh sữa nướng
milk run [01/'milk'rʌn/]	[01* dtừ]\n- lộ trình đã định sẵn
milk shake [01/'milk'∫eik/]	[01* dtừ]\n- thuốc uống làm bằng sữa và gia vị (đôi khi là kem) trộn lẫn hoặc khuấy lên cho đến khi nổi bọt; sữa khuấy
milk-bar [01/'milkbɑ:/]	[01* dtừ]\n- quán sữa (bán sữa và các thứ đồ uống làm bằng sữa, kem...) 
milk-brother [01/'milk'brʌđə/]	[01* dtừ]\n- anh (em) cùng vú (con chủ nhà với con vú sữa) 
milker [01/'milkə/]	[01* dtừ]\n- người vắt sữa; máy vắt sữa\n- bò sữa
milk-fever [01/'milk'fi:və/]	[01* dtừ]\n- (y) sốt sữa
milk-float [01/'milk'flout/]	[01* dtừ]\n- xe phân phát sữa cho các nhà dân; xe đưa sữa
milk-gauge [01/'milkgeidʒ/]	như [03lactometer]
milkiness [01/'milkinis/]	[01* dtừ]\n- màu sữa, màu trắng đục\n- khả năng cho sữa\n- tính nhu nhược
milking-machine [01/'milkiηmə'∫i:n/]	[01* dtừ]\n- máy vắt sữa
milk-livered [01/'milk,livəd/]	[01* ttừ]\n- nhút nhát, nhát gan, khiếp nhược
milk-loaf [01/'milk'louf/]	[01* dtừ]\n- bánh mì trắng làm với sữa
milkmaid [01/'milkmeid/]	[01* dtừ]\n- cô gái vắt sữa\n- cô gái làm việc ở trại bò sữa
milkman [01/'milkmæn/]	[01* dtừ]\n- người bán sữa; người đi giao sữa
milk-powder [01/'milk'paudə/]	[01* dtừ]\n- sữa bột, sữa khô
milk-ranch [01/'milk'rɑ:nt∫/]	[01* dtừ]\n- (Mỹ) trại nuôi bò sữa
milkround [01/'milk,raund/]	[01* dtừ]\n- lộ trình giao sữa của người đi giao sữa cho từng nhà
milk-shake [01/'milk'ʃeik/]	[01* dtừ]\n- cốc sữa trứng đã khuấy
milksop [01/'milksɔp/]	[01* dtừ]\n- bánh nhúng vào sữa\n- người nhút nhát, người hèn yếu
milk-sugar [01/'milk'∫ugə/]	[01* dtừ]\n- (hoá) Lactoza
milk-tooth [01/'milktu:θ/]	[01* dtừ]\n- răng sữa
milk-walk [01/'milkwɔ:k/]	[01* dtừ]\n- chuyến đi giao sữa
milkweed [01/'milkwi:d/]	[01* dtừ]\n- (thực vật) giống bông tai
milk-white [01/'milk'wait/]	[01* ttừ]\n- trắng sữa
milky [01/'milki/]	[01* ttừ]\n- (thuộc) sữa, như sữa, có sữa, nhiều sữa\n- trắng đục (như sữa)\n- yếu ớt, ẻo lả; hiền lành, nhu mì
Milky Way [01/'milki'wei/]	[01* dtừ]\n- (thiên văn) ngân hà
mill [01/mil/]	[01* dtừ]\n- (Mỹ) min (bằng 1 qoành 000 đô la)\n[01* dtừ]\n- cối xay, máy xay, nhà máy xay; máy nghiền, máy cán\n- xưởng, nhà máy\n- (lóng) cuộc đấu quyền Anh\n- (bóng) sự thử thách gay go, nỗi cực khổ; sự tập luyện gian khổ; công việc cực nhọc\n[02= to go through the mill] chịu đựng những gian khổ; qua những thử thách gay go\n[02= to put someone through the mill] bắt ai chịu những thử thách gay go, bắt ai chịu những nỗi cực khổ; bắt ai tập luyện gian khổ\n[01* ngđtừ]\n- xay, nghiền, cán; xay bằng cối xay, xay bằng máy xay; nghiền bằng máy nghiền\n[02= to mill flour] xay bột\n[02= to mill steel] cán thép\n- đánh sủi bọt\n[02= to mill chocolate] đánh sôcôla cho sủi bọt lên\n- (lóng) đánh, đấm, thụi, giâ, tẩn; đánh gục, đánh bại\n- khắc cạnh, khía răng cưa; làm gờ\n[02= to mill a coin] khía răng cưa vào gờ đồng tiền; làm gờ cho đồng tiền\n[01* nđtừ]\n- đi quanh (súc vật, đám đông)\n- (lóng) đánh đấm nhau
mill construction [01/'milkən'strʌkʃn/]	[01* dtừ]\n- nhà làm bằng gỗ chống cháy
millboard [01/'milbɔ:d/]	[01* dtừ]\n- bìa cứng
millcake [01/'milkeik/]	[01* dtừ]\n- khô dầu
mill-dam [01/'mildæm/]	[01* dtừ]\n- đạp máy xay (đập nước để chạy máy xay) 
millefeuille [01/mi:l'fɜ:j/]	[01* dtừ]\n- một loại bánh ngọt dùng với kem
millenarian [01/,mili'neəriən/]	[01* ttừ]\n- (như) [03millenary]\n- tin là có thời đại hoàng kim\n[01* dtừ]\n- kỷ niệm lần thứ một nghìn ((cũng) [03millenary] ) 
millenary [01/'milinəri/]	[01* ttừ]\n- gồm một nghìn; nghìn năm\n[01* dtừ]\n- nghìn năm, mười thế kỷ\n- kỷ niệm lần thứ một nghìn ((cũng) [03millenarian] )\n- người tin là có thời đại hoàng kim
millennia [01/mi'leniə/]	[01* dtừ, s/n]\n- nghìn năm, mười thế kỷ\n- thời đại hoàng kim
millennial [01/mi'lenjəl/]	[01* dtừ]\n- gồm một nghìn; nghìn năm
millennium [01/mi'leniəm/]	như [03millennia]
millepede [01/'milipi:d/]	[01* dtừ]\n- (động vật) động vật nhiều chân
miller [01/'milə/]	[01* dtừ]\n- chủ cối xay\n- loài nhậy cánh mốc, loài bướm cánh mốc\n- con bọ da
millesimal [01/mi'lesiml/]	[01* ttừ]\n- phần nghìn, từng phần nghìn
millet [01/'milit/]	[01* dtừ]\n- (thực vật) cây kê\n- hạt kê
mill-hand [01/'milhænd/]	[01* dtừ]\n- công nhân nhà máy, công nhân xí nghiệp
milliampere [01/mili'æmpeə/]	[01* dtừ]\n- Miliămpe
milliard [01/'miljɑ:d/]	[01* dtừ]\n- tỷ (nghìn triệu) 
millibar [01/'milibɑ:/]	[01* dtừ]\n- (lý) Milibarơ
milligramme [01/'miligræm/]	[01* dtừ]\n- Miligam
millimetre [01/,mili'mi:tə/]	[01* dtừ]\n- Milimet
milliner [01/'milinə/]	[01* dtừ]\n- người làm mũ và trang phục phụ nữ\n[04! man milliner]\n- người đàn ông thích làm việc tỉ mẩn
millinery [01/'milinəri/]	[01* dtừ]\n- đồ trang phục phụ nữ (mũ, băng, dây nơ...)\n- nghề làm đồ trang phục phụ nữ; nghề buôn bán đồ trang phục phụ nữ
milling [01/'miliη/]	[01* dtừ]\n- sự xay, sự nghiền, sự cán\n- sự khía cạnh; sự làm gờ (đồng tiền)\n- (lóng) sự giâ, sự đánh, sự tẩn
milling-machine [01/'miliηmə'∫i:n/]	[01* dtừ]\n- máy phay
million [01/'miljən/]	[01* ttừ]\n- triệu\n[01* dtừ]\n- triệu; (một) triệu đồng bảng; (Mỹ)(một) triệu đô la\n- (the million) quần chúng, quảng đại quần chúng
millionaire [01/,miljə'neə/]	[01* dtừ]\n- nhà triệu phú, người giàu bạc triệu
millionairess [01/,miljə'neəres/]	[01* dtừ]\n- nữ triệu phú
millionth [01/'miljənθ/]	[01* ttừ]\n- bằng một phần triệu\n- thứ một triệu\n[01* dtừ]\n- một phần triệu\n- người thứ một triệu; vật thứ một triệu
millipede [01/'milipi:d/]	như [03millepede]
millisecond [01/,mili'sekənd/]	[01* dtừ]\n- một phần nghìn giây
millivolt [01/'milivoult/]	[01* dtừ]\n- Milivôn
mill-owner [01/'mil'ounə/]	[01* dtừ]\n- chủ xưởng, chủ nhà máy
mill-pond [01/'milpɔnd/]	[01* dtừ]\n- bể nước máy xay (bể nước chứa nước của nhà máy xay)\n[04! like a mill-pond]\n- sóng yên bể lặng
mill-race [01/'milreis/]	như [03mill-stream]
millstone [01/'milstoun/]	[01* dtừ]\n- đá cối xay\n[04! between the upper and the nethrt milstone]\n- trên đe dưới búa\n[04! to have (fix) a millstone about one's neck]\n- đeo cùm vào cổ; gánh vác công việc nặng nề\n[04! to see (far) into a millstone]\n- xem [03see] 
mill-stream [01/'milstri:m/]	[01* dtừ]\n- dòng nước chạy máy xay
mill-wheel [01/'milwi:l/]	[01* dtừ]\n- bánh xe cối xay
millwright [01/'milrait/]	[01* dtừ]\n- thợ cối xay
milometer [01/mai'lɔmitə/]	- Cách viết khác : [03mileometer]
milor [01/mi'lɔ:/]	[01* dtừ]\n- người quý tộc Anh; người nhà giàu Anh
milord [01/mi'lɔ:d/]	như [03milor]
milpa [01/'milpə/]	[01* dtừ]\n- nương rẫy
milquetoast [01/'milktoust/]	[01* dtừ]\n- người nhút nhát, người nhu nhược
milt [01/milt/]	[01* dtừ]\n- (phẫu) lá lách\n- tinh dịch cá\n[01* ngđtừ]\n- tưới tinh dịch lên (trứng cá) 
milter [01/'miltə/]	[01* dtừ]\n- cá có tinh dịch, cá đực (trong mùa sinh sản) 
mime [01/'maim/]	[01* dtừ]\n- kịch điệu bộ (cổ La-mã, (cổ) Hy-lạp)\n- diễn viên kịch điệu bộ\n- người giỏi bắt chước; anh hề\n[01* nđtừ]\n- diễn kịch điệu bộ\n- bắt chước điệu b
mimeograph [01/'mimiəgrɑ:f/]	[01* dtừ]\n- máy in rô-nê-ô\n[01* ngđtừ]\n- in bằng máy in rô-nê-ô
mimesis [01/mai'mi:sis/]	[01* dtừ]\n- (động vật) sự nguỵ trang
mimetic [01/mi'metik/]	[01* ttừ]\n- bắt chước; có tài bắt chước
mimic [01/'mimik/]	[01* ttừ]\n- bắt chước\n[01* ngđtừ]\n- người có tài bắt chước\n[01* ngđtừ]\n- nhại (ai)\n- bắt chước\n- giống hệt (vật gì) 
