trommel	478-19048-B
truth	479-28083-B,213-16073-S,223-24638-S,294-2490-S,319-16529-S
truth condition	479-28693-B
truth drug	479-28829-B
truth serum	479-28980-B
truthful	479-29050-B
truthfully	479-29255-B
truthfulness	479-29448-B
truthless	479-29641-B
truthlessness	479-29850-B
try	479-29995-B
try approach	111-23991-S
try on	479-32358-B
try out	479-32431-B
trying	479-31963-B
trying plane	479-32299-B
trypanocide	479-32481-B
trypanosome	479-32566-B
trypanosomiasis	479-32637-B
trypanosomic	479-32712-B
tryprin	479-32790-B
trypsin	479-32850-B
trypsinogen	479-32909-B
tryptamine	479-32983-B
tryptic	479-33042-B
trysail	479-33109-B
trysin	479-33170-B
tryst	479-33359-B
tsar	479-33418-B
tsarevich	479-33448-B
tsarevitch	479-33516-B
tsarina	479-33584-B
tsarism	480-0-B
tsarist	480-43-B
tsaritza	480-84-B
tsetse	480-142-B
tshi	480-179-B
tshiluba	480-250-B
tsotsi	480-422-B
tsp	480-503-B
tsr	480-653-B
tsuareg	480-761-B
tsunami	480-865-B
tsunamic	480-1022-B
tt	480-1084-B
ttwelve	480-1329-B
tty	480-1406-B
tu quoque	480-1445-B
tu whit	481-26548-B
tu whit tu whoo	481-26589-B
tu whoo	481-26664-B,481-26589-S
tub	480-1554-B,43-11742-S,57-11194-S,136-18081-S,226-0-S,515-9877-S
tub thumper	480-5840-B
tub thumping	480-5965-B
tuba	480-2000-B
tubal	480-2058-B
tubar	480-2140-B
tubate	480-2217-B
tubbiness	480-2275-B
tubbish	480-2332-B
tubby	480-2393-B
tube	480-2481-B,5-19818-S,10-16031-S,41-14480-S,42-19240-S,54-2648-S,54-20870-S,57-14479-S,70-19082-S,81-3542-S,131-5328-S,139-14075-S,140-20912-S,140-39105-S,147-4464-S,149-3160-S,149-3657-S,149-4737-S,149-5447-S,149-5498-S,149-6389-S,149-7211-S,149-7261-S,149-8694-S,149-9259-S,149-13977-S,150-1760-S,150-2986-S,150-4112-S,150-4749-S,150-6815-S,150-6947-S,163-7029-S,171-14022-S,172-8955-S,181-10130-S,193-18534-S,198-4118-S,232-20647-S,243-21244-S,265-13821-S,345-11706-S,433-13834-S,465-25890-S,466-29051-S,472-12504-S,505-2230-S,505-11342-S,512-13053-S
tube baby	465-26011-S
tube dwelling	480-2857-B
tube foot	480-2802-B
tube instrument	149-8765-S
tube neon lamp	115-21433-S
tube transducer	149-8835-S
tubeless	480-2939-B
tuber	480-3009-B
tubercle	480-3123-B
tubercle bacillus	480-3249-B
tubercles	394-8758-S
tubercul	480-3324-B
tubercular	480-3521-B
tuberculate	480-3649-B
tuberculation	480-3796-B
tuberculin	480-3873-B
tuberculin test	480-3935-B
tuberculin tested	480-4070-B
tuberculise	480-4184-B
tuberculization	480-4253-B
tuberculize	480-4335-B
tuberculoid	480-4391-B
tuberculose	480-4460-B
tuberculosis	480-4570-B
tuberculous	480-4676-B
tuberiferous	480-4765-B
tuberiform	480-4835-B
tuberose	480-4894-B
tuberosity	480-5027-B
tuberous	480-5095-B
tubers	394-8827-S
tubful	480-5207-B
tubicolous	480-5277-B
tubicorn	480-5343-B
tubifacient	480-5405-B
tubifex	480-5467-B
tubiflorous	480-5554-B
tubiform	480-5618-B
tubing	480-5675-B
tubocurarine	480-5760-B
tubular	480-6103-B
tubulated	480-6246-B
tubule	480-6414-B
tubuliflorous	480-6465-B
tubulous	480-6555-B
tubulure	480-6648-B
tuc	480-6778-B
tuck	480-6872-B
tuck in	480-8341-B
tuck out	480-8382-B
tuck point	480-8445-B
tuck shop	480-8568-B
tucker	480-8078-B,47-12311-S
tude	480-8636-B,426-18461-S
tudor	480-8773-B
tue	480-8933-B
tues	480-8976-B
tuesday	480-9077-B,419-1556-S
tufa	480-9146-B
tuff	480-9217-B
tuffaceous	480-9287-B
tuffet	480-9368-B
tuft	480-9454-B,66-4232-S
tuft hunter	480-9950-B
tufted	480-9885-B
tufty	480-10069-B
tug	480-10184-B,442-1603-S
tug of love	480-11087-B
tug of war	480-11270-B
tugboat	480-11394-B
tuggage	480-11467-B
tugger	480-11526-B
tuition	480-11574-B
tulip	480-11770-B
tulle	480-11869-B
tum	480-11931-B,396-21165-S
tumble	480-12001-B,395-572-S,396-17565-S
tumble drier	480-13786-B
tumble dry	480-13857-B
tumbledown	480-13682-B
tumbler	480-13951-B
tumbler drier	480-14142-B
tumblerful	480-14178-B
tumbleweed	480-14226-B
tumbling	480-14432-B
tumbling barrel	480-14553-B
tumbling hoop	480-14663-B
tumbling shaft	480-14747-B
tumbling trick	480-14837-B
tumbo	298-4286-S
tumbrel	480-14906-B
tumbril	480-14948-B
tumefaciant	480-15135-B
tumefaction	480-15211-B
tumefactive	480-15284-B
tumefy	480-15360-B
tumescence	480-15451-B
tumescent	480-15519-B
tumid	480-15577-B
tumidity	480-15727-B
tumidness	480-15838-B
tummy	480-15884-B
tummy button	480-15936-B
tumor	480-15997-B
tumorigenic	480-16089-B
tumorigenicity	480-16214-B
tumour	480-16342-B
tums	480-16379-B
tumular	480-16563-B
tumuli	480-16617-B
tumult	480-16683-B
tumultuary	480-16911-B
tumultuous	480-17055-B
tumultuousness	480-17153-B
tumulus	480-17289-B
tun	480-17332-B
tuna	480-17573-B,53-2242-S
tuna fish	480-17790-B
tunable	480-17699-B
tundish	480-17862-B
tundra	480-17922-B
tune	480-17992-B,178-11285-S,420-9690-S
tune up	480-20425-B
tuned in	480-19372-B
tuneful	480-19451-B
tunefully	480-19509-B
tunefulness	480-19599-B
tuneless	480-19691-B
tunelessly	480-19835-B
tunelessness	480-20000-B
tuner	480-20197-B,16-3350-S,36-11099-S,138-1584-S
tunery	480-20265-B
tunesmith	480-20353-B
tung	480-20500-B
tung oil	480-20538-B
tung tree	480-20763-B
tungstate	480-20591-B
tungsten	480-20650-B
tungstic	480-20706-B
tungus	480-20876-B
tungusic	480-21012-B
tunic	480-21134-B,57-5487-S
tunica	480-21299-B
tunicate	480-21348-B
tunicle	480-21434-B
tuning	480-21540-B,84-9603-S,411-2369-S
tuning control	36-5173-S
tuning fork	480-21713-B
tuning hammer	480-21784-B
tuning indicator	150-3057-S
tuning up	480-21858-B
tunisian	480-21939-B
tunnel	480-22037-B
tunnel borer	480-22664-B
tunnel net	480-22826-B
tunnel vision	480-22337-B
tunneling	149-8905-S
tunneller	480-22730-B
tunny	480-22906-B
tup	480-22941-B
tupi	480-23088-B
tuppence	480-23298-B
tuppenny	480-23366-B
turback	480-23434-B
turban	480-23536-B
turbaned	480-23625-B
turbary	480-23743-B
turbid	480-23869-B
turbidity	480-24073-B
turbidness	480-24122-B
turbin	364-25242-S
turbinate	480-24296-B
turbine	480-24376-B,364-25330-S,442-1683-S,516-6564-S
turbiniform	480-24429-B
turbit	480-24507-B
turbo	480-24584-B
turbo compressor	480-24631-B
turbo driven	480-24777-B
turbo dynamo	480-24863-B
turbo jet	481-87-B
turbo prop	481-292-B
turbo pump	481-424-B
turbo rocket	481-483-B
turbo supercharger	481-551-B
turbodrill	480-24712-B
turbofan	480-24931-B
turbogenerator	481-0-B
turbolence	481-185-B
turbot	481-677-B
turbulence	481-740-B
turbulent	481-962-B
turbulently	481-1052-B
turbulization	481-1335-B
turco	481-1433-B
turd	481-1489-B
turdoid	481-1535-B
tureen	481-1593-B
turf	481-1653-B
turf accountant	481-2095-B
turfary	481-2215-B
turfite	481-2294-B
turfman	481-2360-B
turfy	481-2460-B
turgescence	481-2593-B
turgescent	481-2779-B
turgid	481-2882-B
turgidity	481-2986-B
turgidly	481-3154-B
turgor	481-3318-B
turing machine	481-3400-B
turk	481-3429-B
turkey	481-3676-B
turkey buzzard	481-3737-B
turkey carpet	481-3822-B
turkey cock	481-4060-B
turkey corn	481-3884-B
turkey hen	481-4179-B
turkey poult	481-4237-B
turkey red	481-3951-B
turkey stone	481-4008-B
turki	481-4298-B
turkish	481-4386-B
turkish bath	481-4640-B
turkish coffee	481-4875-B
turkish delight	481-5006-B
turkism	481-5191-B
turkmen	481-5270-B
turko	481-5356-B
turmalin	481-5412-B
turmeric	481-5458-B
turmeric paper	481-5542-B
turmoil	481-5618-B
turn	481-5695-B,2-12274-S,17-12427-S,155-11503-S,232-3116-S,320-6524-S,389-31069-S,393-3290-S,395-4459-S,395-11252-S,440-27455-S,468-4391-S,505-2303-S
turn about	481-15379-B
turn around	481-15556-B
turn down	481-15972-B
turn of phrase	481-14987-B
turn of speed	481-15065-B
turn off	481-17521-B
turn on	481-17970-B
