dangly	- xem [03dangle] 
dark [01/dɑ:k/]	[01* ttừ]\n- tối, tối tăm, tối mò; mù mịt, u ám\n[02= it is gretting dark] trời bắt đầu tối\n[02= a dark moonless night] một đêm tối trời không trăng sao\n[02= a dark sky] bầu trời u ám\n- ngăm ngăm đen, đen huyền\n[02= a dark skin] da ngăm đen\n[02= dark eyes] mắt huyền\n- thẫm sẫm (màu)\n- mờ mịt, mơ hồ, không rõ ràng, không minh bạch\n[02= a dark future] tương lai mờ mịt\n- tối tăm, dốt nát, ngu dốt\n[02= in the darkess ignorance] trong sự ngu dốt tối tăm tột bậc\n- bí mật, kín đáo, không ai hay biết gì, không cho ai biết điều gì\n- buồn rầu, chán nản, bi quan\n[02= to look on the dark side of thing] bi quan\n- đen tối, ám muội; ghê tởm, nham hiểm, cay độc\n[02= dark thoughts] ý nghĩ đen tối\n[02= a dark crime] tội ác ghê tởm\n[02= dark humour] tính hóm hỉnh cay độc\n[04! the dark ages]\n- thời kỳ Trung cổ; đêm trường Trung cổ\n[04! the Dark Continent]\n- Châu phi\n[04! a dark horse]\n- xem [03horse]\n[01* dtừ]\n- bóng tối, chỗ tối; lúc đêm tối, lúc trời tối\n[02= at dark] lúc đêm tối, lúc tối trời\n[02= before dark] lúc tối trời, lúc màn đêm buông xuống\n- (nghệ thuật) chỗ tối; màu tối (trên một bức hoạ)\n[02= the lights and darks of a picture] chỗ sáng và chỗ tối của một bức hoạ\n- sự tối tăm, sự ngu dốt; sự không biết gì\n[02= to be in the dark about someone's intentions] không biết về ý định của ai\n[02= to keep somebody in the dark] giữ bí mật đối với ai, không cho ai biết điều gì\n[02= to live in the dark] sống trong cảnh tối tăm ngu dốt\n[04! in the dark of the moon]\n- lúc trăng non\n[04! to leap in the dark]\n- làm một việc mạo hiểm liều lĩnh, nhắm mắt nhảy liều
dark glasses [01/'dɑ:k,glɑ:siz/]	[01* dtừ]\n- kính mát, kính râm
dark horse [01/'da:k' hɔ:s/]	- người kín miệng
dark lantern [01/'da:k'læntə:n/]	[01* dtừ]\n- cái đèn có thể che kín được
darken [01/'dɑ:kən/]	[01* ngđtừ]\n- làm tối, làm u ám (bầu trời)\n- làm sạm (da...)\n- làm thẫm (màu...)\n- làm buồn rầu, làm buồn phiền\n[01* nđtừ]\n- tối sầm lại (bầu trời)\n- sạm lại (da...)\n- thẫm lại (màu...)\n- buồn phiền\n[04! to darken counsel]\n- làm cho vấn đề rắc rối\n[04! not to darken somebody's door again]\n- không đến nhà ai nữa, không đến quấy rầy nhà ai nữa, không bén mảng đến nhà ai nữa
darkener	- xem [03darken] 
darkey [01/'dɑ:ki/]	như [03darky]
darkish [01/'dɑ:ki∫/]	[01* ttừ]\n- hơi tối, mờ mờ\n- hơi đen (tóc) 
darkle [01/'dɑ:kl/]	[01* nđtừ]\n- tối sầm lại\n- lần vào bóng tối
darkling [01/'dɑ:kliη/]	[01* ttừ]\n- tối mò\n[01* phtừ]\n- trong bóng tối\n[02= to sit darkling] ngồi trong bóng tối
darkly [01/'dɑ:kli/]	[01* phtừ]\n- tối tăm, tối mò\n- mờ mịt, mơ hồ, không rõ ràng, không minh bạch\n- ảm đạm, buồn rầu, ủ ê\n- đen tối, ám muội; nham hiểm, cay độc
darkness [01/'dɑ:knis/]	[01* dtừ]\n- bóng tối, cảnh tối tăm\n- màu sạm, màu đen sạm\n- tình trạng mơ hồ, tình trạng không rõ ràng, tình trạng không minh bạch\n- sự dốt nát, sự ngu dốt; sự không hay biết gì\n- sự bí mật, sự kín đáo\n- sự đen tối, sự ám muội; sự nham hiểm, sự cay độc\n[02= deeds of darkness] hành động đen tối độc ác\n[04! prince of darkness]\n- xem [03prince] 
darkroom [01/'dɑ:krum/]	như [03dark-room]
dark-room [01/'dɑ:krum/]	[01* dtừ]\n- buồng tối (để rửa ảnh) 
darksome [01/'dɑ:ksəm/]	[01* ttừ]\n- (thơ ca) tối tăm, mù mịt
darky [01/'dɑ:ki/]	[01* dtừ]\n- (tục) người da đen\n- (lóng) đêm tối
darling [01/'dɑ:liη/]	[01* dtừ]\n- người thân yêu; người rất được yêu mến; vật rất được yêu thích\n[02= the darling of the people] người được nhân dân yêu mến\n[02= one's mother's darling] con cưng\n[02= Fortune's darling] con cưng của thần may mắn\n- người yêu\n[02= my darling!] em yêu quí của anh!; anh yêu quí của em!\n[01* ttừ]\n- thân yêu, yêu quý, được yêu mến; đáng yêu\n[02= what a darling little dog!] con chó nhỏ đáng yêu làm sao!
Darlington amplifier	- (kỹ) bộ khuếch đại Darlington (Đắclintơn) 
Darlington configuration	- (kỹ) cấu hình Darlington (Đắclintơn) 
Darlington connection	- (kỹ) mạch nối Darlington (Đắclintơn) 
Darlington emitter follower	- (kỹ) mạch cặp gánh cực phát, mạch Darlington (Đắclintơn) 
Darlington pair	- (kỹ) cặp Darlington (Đắclintơn) 
Darlington stage	- (kỹ) tầng Darlington (Đắclintơn) 
Darlington(-connected) transistors	- (kỹ) tran(sito nối mạch Darlington (Đắclintơn) 
darn [01/dɑ:n/]	[01* dtừ]\n- sự mạng\n- chỗ mạng\n[01* ngđtừ]\n- mạng (quần áo, bít tất...)\n[01* ngđtừ]\n- (lóng) nguyền rủa, chửi rủa ((cũng) [03durn] ) 
darned [01/da:nd/]	[01* ttừ, phtừ]\n- bị nguyền rủa
darnel [01/'dɑ:nl/]	[01* dtừ]\n- (thực vật) cỏ lồng vực (hay mọc lẫn với lúa) 
darner [01/'dɑ:nə/]	[01* dtừ]\n- người mạng\n- kim mạng
darning [01/'dɑ:niη/]	[01* dtừ]\n- sự mạng
darning-needle [01/'dɑ:niη,ni:dl/]	[01* dtừ]\n- kim mạng\n- (Mỹ) con chuồn chuồn
D'Arsonval current	- (kỹ) dòng/cường độ D'Arsonval (Đắcsonvan) 
D'Arsonval galvanometer	- (kỹ) điện kế (từ-điện) D'Arsonval (Đắcsonvan) 
dart [01/dɑ:t/]	[01* dtừ]\n- mũi tên phóng, phi tiêu; cái lao, ngọn mác\n- (số nhiều) trò chơi ném phi tiêu (của trẻ con)\n- (động vật) ngòi nọc\n- sự lao tới, sự phóng tới\n[02= to make a dart at] lao tới, xông tới\n[01* đtừ]\n- ném mạnh, bắn, phóng ra, lao, lao tới\n[02= to dart a spear at the tiger] phóng ngọn lao vào con hổ\n[02= to dart across the road] lao qua đường\n[02= eyes dart flashes of anger] mắc quắc lên giận dữ\n[04! to dart down (downwards)]\n- lao xuống, đâm bổ xuống (máy bay...) 
dartboard [01/'dɑ:tbɔ:d/]	[01* dtừ]\n- tấm bia trong trò chơi phóng phi tiêu
darter [01/'dɑ:tə/]	[01* dtừ]\n- người phóng (lao...)\n- (động vật) chim cổ rắn (họ bồ nông) 
darting [01/da:tiη/]	[01* ttừ]\n- nhanh như tên bắn
dartle [01/'dɑ:tl/]	[01* đtừ]\n- cứ phóng, cứ lao tới
dartre [01/'dɑ:tə/]	[01* dtừ]\n- (y) bệnh mụn rộp
darwinian [01/dɑ:'winiən/]	[01* ttừ]\n- (thuộc) học thuyết Đắc-uyn\n[01* dtừ]\n- người theo học thuyết Đắc-uyn
darwinism [01/'dɑ:winizm/]	[01* dtừ]\n- học thuyết Đắc-uyn
dasd	- Thiết bị lưu trữ truy cập trực tiếp
dash [01/dæ∫/]	[01* dtừ]\n- sự va chạm, sự đụng mạnh\n- tiếng nước vỗ bờ, tiếng nước vỗ\n- sự lao tới, sự xông tới, sự nhảy bổ vào\n[02= to make a dash at (against) the enemy] lao tới kẻ thù\n[02= to make a dash for something] xống tới lấy cái gì\n- sự hăng hái, sự hăm hở; nghị lực, tính táo bạo, tính kiên quyết\n[02= a man of skill and dash] một người có kỹ năng và nghị lực\n- vết, nét (tô màu trên bức hoạ...)\n- chút ít, ít, chút xíu\n[02= a dash of vinegar] một tí giấm\n[02= there is a romantic dash in it] có một chút gì lãng mạng trong đó\n- vẻ phô trương, dáng chưng diện\n[02= to cut a dash] có vẻ bảnh bao; làm ra vẻ làm ra dáng, loè, khoe khoang, phô trương\n- nét viết nhanh\n- gạch ngang (đầu dòng...)\n- (thể thao) cuộc đua ngắn\n[02= hundredmetre dash] cuộc chạy đua 100 mét\n- (Mỹ)(như) [03dashboard]\n[01* ngđtừ]\n- đập vỡ, làm tan nát\n[02= to dash to pieces] đập vỡ ra từng mảnh\n[02= flowers dashed by rain] những bông hoa bị mưa gió làm tan nát\n- (bóng) làm tan vỡ, làm tiêu tan; làm lúng túng, làm bối rối; làm thất vọng, làm chán nản\n[02= to dash all one's hopes] làm tiêu tan hết cả hy vọng\n[02= to dash one's plan] làm vỡ kế hoạch\n[02= to look quite dashed] trông chán nản thất vọng ra mặt; trông bối rối lúng túng lắm\n- ném mạnh, văng mạnh, va mạnh\n[04! to dash the glass agianst the wall]\n- ném mạnh cái cốc vào tường\n- vảy, hất (nước...)\n[02= to dash water over something] vảy nước lên cái gì\n- pha, hoà, trộn\n[02= wine dashed with water] rượu vang pha thêm nước\n- gạch đít\n- (lóng)\n[02= oh, dash!] mẹ kiếp!\n[01* nđtừ]\n- lao tới, xông tới, nhảy bổ tới\n[02= to dash from the room] lao ra khỏi căn phòng\n[02= to dash along the street] lao đi trên đường phố\n[02= to dash up to the door] xô vào cửa\n- va mạnh, đụng mạnh\n[02= the waves dashed against the cliff] sóng vỗ mạnh vào vách đá\n[04! to dash along]\n- lao đi\n[04! to dash at]\n- xông vào, nhảy bổ vào\n[04! to dash away]\n- xô mạnh ra xa, đẩy mạnh ra xa, quăng mạnh ra xa\n- vọt ra xa\n[04! to dash down]\n- đạp mạnh xuống, vứt mạnh xuống\n- nhảy bổ xuống, lao xuống (dốc...)\n- viết nhanh, thảo nhanh\n[04! to dash in]\n- vẽ nhanh, vẽ phác\n- lao vào, xông vào, nhảy bổ vào\n[02= to dash off one's tears] lau vội nước mắt\n- thảo nhanh (bức thư...), vẽ nhanh (bức hoạ...)\n- lao đi\n[04! to dash out]\n- gạch đi, xoá đi\n- đánh vỡ (óc...)\n- lao ra
dash-board	- (tin) bảng dụng cụ (đo) 
dashboard [01/'dæ∫bɔ:d/]	[01* dtừ]\n- cái chắn bùn (trước xe...)\n- bảng đồng hồ (bảng đặt các đồng hồ đo tốc độ, mức dầu mỡ... ở ô tô) 
dasheen [01/dæ'∫i:n/]	[01* dtừ]\n- (thực vật) loại khoai sọ, khoai nước
dasher [01/'dæ∫ə/]	[01* dtừ]\n- người ăn diện, người chịu diện\n- người hay loè, người hay phô trương\n- que đánh sữa (để lấy bơ)\n- (Mỹ) cái chắn bùn (ô tô) 
dashiki [01/də'∫i:ki/]	[01* dtừ]\n- áo len chui đầu sặc sỡ và rộng (người Tây Phi) 
dashing [01/'dæ∫iη/]	[01* ttừ]\n- rất nhanh, vùn vụt, chớp nhoáng\n[02= a dashing attack] cuộc tấn công chớp nhoáng\n- hăng (ngựa...) ; sôi nổi, táo bạo, hăng hái, quả quyết (người)\n- diện, chưng diện, bảnh bao
dashingly	- xem [03dashing] 
dashpot [01/'dæ∫pɔt/]	[01* dtừ]\n- cái giảm chấn, giảm xóc
dastard [01/'dæstəd/]	[01* dtừ]\n- kẻ hèn nhát\n- kẻ ném đá giấu tay
dastardliness [01/'dæstədlinis/]	[01* dtừ]\n- sự hèn nhát\n- hành động đê tiện, hành động ném đá giấu tay
dastardly [01/'dæstədli/]	[01* ttừ]\n- hèn nhát\n- đê tiện, ném đá giấu tay
data [01/'deitə/]	[01* dtừ] s/n của [03datum]\n- ((thường) dùng như số ít) số liệu, dữ kiện; tài liệu, cứ liệu (cung cấp những điều cần thiết) 
data access arrangement (DAA)	- (kỹ) phần dàn xếp truy cập dữ liệu
data access method	- (kỹ) phương pháp truy cập dữ liệu
data acquisition	- (kỹ) sự thủ đắc dữ kiện, ngành thu nạp dữ liệu
data address	- (kỹ) địa chỉ dữ liệu
data aggregate	- (kỹ) tập hợp dữ liệu
data analysis	- (kỹ) phân tích dữ liệu
data attribute	- (kỹ) thuộc tính dữ liệu
data base = database	- (kỹ) kho dữ liệu, cơ sở dữ liệu
data bit	- (kỹ) bít dữ liệu
data block	- (kỹ) khối dữ liệu
data buffer	- (kỹ) bộ đệm dữ liệu
data bus	- (kỹ) mẫu tuyến dữ liệu
data byte	- (kỹ) bai dữ liệu
data cache	- (kỹ) bộ nhớ ẩn dữ liệu
data capturing	- (kỹ) bắt dữ liệu
data card	- (kỹ) phiếu dữ liệu
data carrier	- (kỹ) vật mang dữ liệu
data cell	- (kỹ) ô dữ liệu (đơn vị nhỏ nhất) 
data center	- (kỹ) trung tâm dữ liệu
data chaining	- (kỹ) sự liên kết dữ liệu
data channel	- (kỹ) kênh dữ liệu
data channel multiplexer	- (kỹ) bộ đa hợp kênh dữ liệu
data circuit-terminating equipment (DCE)	- (kỹ) thiết bị đầu cuối mạch
data collection	- (kỹ) sự thu thập dữ liệu
data communication equipment	- (kỹ) thiết bị truyền thông dữ liệu
data communication line	- (kỹ) đường dây truyền thông dữ liệu
data communications	- (kỹ) ngành truyền thông dữ liệu
data communications system	- (kỹ) hệ truyền thông dữ liệu
data compression	- (kỹ) nén dữ liệu
data concentrator	- (kỹ) máy tập trung dữ liệu; máy tăng thêm dữ liệu
data conversion	- (kỹ) đổi dữ liệu
data converter	- (kỹ) bộ đổi dữ liệu
data definition language (DDL)	- (kỹ) ngôn ngữ định nghĩa dữ liệu
data definition language (ĐL)	như [03data definition language (DDL)]
data delimiter	- (kỹ) giới hạn dữ liệu
data dictionary	- (kỹ) từ điển dữ liệu
data element	- (kỹ) phần tử dữ liệu
data encryption	- (kỹ) mã hóa dữ liệu
data encryption standard	- (kỹ) tiêu chuẩn mã hóa dữ liệu
data entry terminal	- (kỹ) đầu cuối nhập dữ liệu
data exchange	- (kỹ) trao đổi dữ liệu; tổng đài dữ liệu
data feedback	- (kỹ) hồi tiếp dữ liệu
data field	- (kỹ) trường dữ liệu
data file	- (kỹ) tập tin dữ liệu
data flow	- (kỹ) dòng dữ liệu
data flow diagram	- (kỹ) sơ đồ dòng dữ liệu
data format	- (kỹ) khuôn dạng dữ liệu
data formatting	- (kỹ) định khuôn dạng dữ liệu
data frame	- (kỹ) khung dữ liệu
data generator	- (kỹ) bộ tạo dữ liệu
data handling unit	- (kỹ) bộ phận xử lý dữ liệu
data hierarchy	- (kỹ) thứ bậc dữ liệu
data independence	- (kỹ) tính độc lập dữ liệu
data input	- (kỹ) đầu vào dữ liệu
data integrity	- (kỹ) tính toàn vẹn của dữ liệu
data item	- (kỹ) mục dữ liệu
data label	- (kỹ) nhãn dữ liệu
data layer	- (kỹ) lớp dữ liệu
data level	- (kỹ) cấp dữ liệu
data line	- (kỹ) đường truyền dữ liệu
data link	- (kỹ) bộ truyền dữ liệu; liên kết dữ liệu
data link layer (OSI model)	- (kỹ) lớp liên kết dữ liệu
data link protocol	- (kỹ) quy ước nối dữ liệu
data logging	- (kỹ) vào sổ dữ liệu
data management system	- (kỹ) hệ thống quản lý dữ liệu
data manipulation	- (kỹ) điều dụng dữ liệu, thao tác dữ liệu
data medium	- (kỹ) môi thể dữ liệu
data model	- (kỹ) mô hình dữ liệu
data network	- (kỹ) mạng dữ liệu
data organization	- (kỹ) cách tổ chức dữ liệu
data path	- (kỹ) đường dữ liệu
data plotter	- (kỹ) máy vẽ hình dữ liệu
data point	- (kỹ) điểm dữ liệu
data processing [01/,deitə 'prousesiɳ/]	- (kỹ) xử lý dữ liệu
data processing center	- (kỹ) trung tâm xử lý dữ liệu
data processing equipment	- (kỹ) thiết bị xử lý dữ liệu
data processing manager	- (kỹ) hệ thống quản lý việc xử lý dữ liệu
data processing system	- (kỹ) hệ thống xử lý dữ liệu
data protection	- (kỹ) bảo vệ dữ liệu
data rate	- (kỹ) tốc độ chuyển dữ liệu
data record	- (kỹ) bản ghi dữ liệu
data recorder	- (kỹ) máy ghi dữ liệu
data recovery	- (kỹ) phục hồi dữ liệu
data representation	- (kỹ) biểu thị/trình bầy dữ liệu
data retrieval system	- (kỹ) hệ thống thu dụng dữ liệu
data security	- (kỹ) bảo mật dữ liệu
data set	như [03data aggregate]
data set label (DSL)	- (kỹ) nhãn hiệu của tập hợp dữ liệu
data sharing	- (kỹ) dùng chung dữ liệu
data sheet	- (kỹ) tờ dữ liệu
data source	- (kỹ) nguồn dữ liệu
data specification	- (kỹ) quy định dữ liệu
data storage device	- (kỹ) thiết bị trữ dữ liệu
data stream	như [03data flow]
data structure	- (kỹ) cấu trúc dữ liệu
data terminal equipment (DTE)	- (kỹ) bộ máy ở đầu cuối dữ liệu
data transfer	- (kỹ) sự truyền dữ liệu; chuyển dữ liệu
data translation	- (kỹ) sự chuyển dịch dữ liệu
data transmission	- (kỹ) sự truyền dữ liệu
data transmitter	- (kỹ) máy phát dữ liệu
data type	- (kỹ) loại dữ liệu
data unit	- (kỹ) đơn vị dữ liệu
data validation	- (kỹ) sự kiểm chứng dữ liệu
data value	- (kỹ) trị số của dữ liệu
data worksheet	- (kỹ) bảng kế toán dữ liệu
databank	- (tin) ngân hàng dữ liệu
database [01/'deitəbeis/]	- (kỹ) kho dữ liệu, cơ sở dữ liệu (TN) 
database administrator	- (kỹ) quản trị viên kho dữ liệu
database analysis	- (kỹ) su_. phân tích kho dữ liệu
database computer	- (kỹ) máy điện toán kho dữ liệu
database environment	- (kỹ) môi trường kho dữ liệu
database inquiry	- (kỹ) tra cứu kho dữ liệu
database management system	[01* dtừ]\n-, viết tắt là DBMS (tin học) hệ quản lý cơ sở dữ liệu
database management system (DBMS)	- (kỹ) hệ thống quản lý kho dữ liệu
database manager	- (kỹ) chương trình quản lý kho dữ liệu
database processor	- (kỹ) bộ xử lý kho dữ liệu
database service	- (kỹ) dịch vụ kho dữ liệu
database software	- (kỹ) nhu liệu kho dữ liệu
database system	- (kỹ) hệ thống kho dữ liệu
datable [01/'deitəbl/]	[01* ttừ]\n- có thể định ngày tháng; có thể định niên hiệu
