gas pipe	196-20467-B
gate closing pulse	197-6268-B
gate crash	197-7190-B
gate crasher	197-7472-B
gate electrode	197-6315-B
gate exclusive nor	166-9255-S
gate exclusive or	166-12474-S
gate fet	141-18941-S
gate junction	197-6390-B
gate keeper	197-7997-B
gate legged	197-8064-B
gate man	197-8142-B
gate meeting	197-8220-B
gate money	197-8309-B
gate or gate	95-9850-S
gate penny	197-8418-B
gate post	197-8492-B
gate prom	182-21073-S
gate resistance	197-6439-B
gate signal	197-6491-B
gate strip	197-6531-B
gate to drain impedance	197-8691-B
gate to source impedance	197-8763-B
gate tower	197-8837-B
gate triggered thyristor	197-8898-B
gate width	197-9101-B
gateau	197-6597-B,197-6662-B
gatecrash	197-6956-B
gatecrasher	197-7289-B
gated	197-7591-B
gated bidirectional switch	197-7659-B
gated decoder	197-7754-B
gatehead	197-7800-B
gatehouse	197-7861-B
gates	333-5335-S
gateside	197-8641-B
gateway	197-8974-B
gateway server	197-9040-B
gather	197-9164-B
gatherer	206-14109-S,302-23681-S,462-22105-S
gatherering	206-14181-S
gathering	197-10642-B,522-15279-S
gathers	197-10839-B
gatherum	312-17087-S
gating	197-10904-B
gating circuit	197-10986-B
gatt	197-11035-B
gauche	197-11166-B
gaucheness	197-11207-B
gaucherie	197-11254-B
gauchery	197-11343-B
gaucho	197-11423-B
gaud	197-11494-B
gaudery	197-11660-B
gaudily	197-11754-B
gaudiness	197-11821-B
gaudy	197-11948-B
gaudy day	197-12241-B
gauffer	197-12340-B
gaufre	197-12477-B
gauge	197-12574-B,12-6773-S,59-5709-S,123-6296-S,223-10100-S,270-19756-S,290-16361-S,310-26071-S,359-30328-S,377-4755-S,399-8825-S,407-2779-S,427-28977-S,440-16972-S,441-28297-S,468-1176-S,483-243-S,505-11067-S,515-31205-S,517-3135-S,520-25069-S
gauge glass	197-13771-B
gaugeable	197-13508-B
gauged	197-13687-B
gauger	197-13836-B
gauging station	197-13964-B
gaul	197-14040-B
gaulish	197-14220-B
gaulism	197-14324-B
gaulist	197-14454-B
gault	197-14632-B
gaunt	197-14689-B
gauntlet	197-14915-B
gauntleted	197-15386-B
gauntness	197-15467-B
gauntry	197-15543-B
gaur	197-15583-B
gauss	197-15666-B
gauss pulse	197-15711-B
gaussian	197-15769-B
gaussian curve	197-15797-B
gaussian distribution	197-15847-B
gaussian envelope	197-15905-B
gaussian function	197-15962-B
gaussian noise	197-16010-B,7-10774-S
gaussian unit	197-16058-B
gaussmeter	197-16108-B
gauze	197-16163-B
gauze tree	197-16322-B
gauziness	197-16394-B
gauzy	197-16457-B
gavage	197-16513-B
gave	197-16600-B
gavel	197-16619-B
gavelkind	197-16738-B
gavelock	197-16871-B
gavial	197-16927-B
gavotte	197-17013-B
gawk	197-17109-B
gawkily	197-17261-B
gawkiness	197-17325-B
gawky	197-17416-B
gawp	197-17522-B
gay	197-17594-B
gayal	197-18024-B
gayety	197-18084-B
gayness	197-18144-B
gaze	197-18222-B
gazebo	197-18456-B
gazehound	197-18607-B
gazelle	197-18675-B
gazer	197-18747-B,109-8185-S,440-30675-S
gazette	197-18811-B
gazetteer	197-18923-B
gazing	109-8278-S,440-30751-S
gazing stock	197-18990-B
gazogene	197-19084-B
gazophylacium	197-19133-B
gazpacho	197-19204-B
gazump	197-19294-B
gazumper	197-19371-B
gazumping	197-19468-B
gb	197-19559-B
gb code guobiao code	197-19639-B
gb gigabyte	197-19745-B
gc	197-19829-B
gce	197-19971-B
gcse	197-20089-B
gda	197-20233-B
gdn	197-20362-B
gdp	197-20510-B
gdr	197-20615-B
geanticlinal	198-0-B
geanticline	198-86-B
gear	198-160-B,47-6851-S,47-6961-S,74-3643-S,92-7736-S,95-14205-S,105-17338-S,128-1166-S,140-28695-S,185-19815-S,229-17356-S,263-17716-S,288-14480-S,382-7291-S,382-8849-S,384-22428-S,389-30994-S,396-42527-S,400-1961-S,438-6848-S,442-9992-S,453-6822-S,472-566-S,523-97-S
gear box	198-1210-B
gear case	198-1255-B
gear change	198-1317-B
gear level	198-1881-B
gear lever	198-1961-B
gear motor	198-2016-B
gear pinion	198-2095-B
gear ratio	198-2165-B
gear stick	198-2343-B
gear train	198-2390-B
gear wheel	198-2438-B
gear work	198-2492-B
geared	478-6156-S
geared down	198-1406-B
geared driven	198-1488-B
geared up	198-1578-B
gearing	198-1660-B,191-2591-S
gearless	198-1819-B
gearset	198-2242-B
gearshift	198-2285-B
geat	198-2552-B
gecko	198-2604-B
gee	198-2668-B,198-2701-S
gee gee	198-2701-B
gee ho	198-2922-B
gee hup	198-3001-B
gee up	198-3637-B
gee wo	198-3714-B
geeho	198-2883-B
geehup	198-2960-B
geek	198-3040-B,198-3091-B
geeophysicist	198-3432-B
geese	198-3507-B
geest	198-3539-B
geeup	198-3598-B
geewo	198-3675-B
geezer	198-3760-B
gehenne	198-3824-B
geiger counter	198-3900-B,198-3985-B
geisha	198-4064-B
geissler tube	198-4118-B
geist	198-4202-B
gel	198-4248-B
gelatigenous	198-4298-B
gelatin	198-4380-B
gelatine	198-4425-B
gelatiniform	198-4530-B
gelatinization	198-4587-B
gelatinize	198-4663-B
gelatinoid	198-4788-B
gelatinous	198-4853-B
gelation	198-4933-B
geld	198-5027-B
gelder	198-5100-B
gelding	198-5167-B
gelid	198-5256-B
gelidity	198-5394-B
gelidium	198-5514-B
gelidness	198-5586-B
gelignite	198-5647-B
gellant	198-5729-B
gelling	198-5826-B
gelong	198-5899-B
gelose	198-5968-B
gelt	198-6030-B
gem	198-6060-B
gem cutting	198-6394-B
gemeinschaft	198-6483-B
geminate	198-6606-B
gemination	198-6772-B
geminean	198-6857-B
gemini	198-6921-B
geminiflorous	198-7048-B
gemma	198-7142-B
gemmaceous	198-7212-B
gemmae	198-7294-B
gemmate	198-7331-B
gemmation	198-7491-B
gemmiferous	198-7614-B
gemmiform	198-7686-B
gemmiparous	198-7732-B
gemmoid	198-7831-B
gemmology	198-7885-B
gemmulation	198-7969-B
gemmule	198-8041-B
gemmuliferous	198-8107-B
gemmy	198-8176-B
gemsa	198-8230-B
gemsbok	198-8267-B
gemstik	198-8343-B
gemstone	198-8400-B
gen	198-8452-B,282-21987-S,378-13779-S
gena	198-8632-B
gendarme	198-8686-B
gendarmerie	198-8740-B
gender	198-8808-B
gene	198-8986-B,313-11094-S,383-31427-S,383-31547-S
genealogic	198-9036-B
genealogical	198-9107-B
genealogically	198-9228-B
genealogist	198-9328-B
genealogize	198-9440-B
genealogy	198-9527-B
genera	198-9668-B
generable	198-9760-B
general	198-9836-B,4-25604-S,8-3382-S,97-497-S,97-837-S,97-920-S,98-20894-S,130-10429-S,172-8053-S,192-18842-S,205-13158-S,269-9481-S,279-20783-S,332-15955-S,354-23162-S,373-24936-S,380-11608-S,408-4983-S,430-327-S,441-7816-S,455-24279-S,468-5112-S
general amnesty	198-11409-B
general assembly	198-11486-B
general court martial	198-11568-B
general delivery	198-11636-B
general headquarters	198-11708-B
general in chief	198-11867-B
general management committee	198-11948-B
general meeting	198-12064-B
general post office	198-12147-B
general practice	198-12265-B
general practitioner	198-12356-B
general purpose	198-12410-B,198-14734-B
general purpose computer	198-14829-B
general purpose register	198-14899-B
general purpose systems simulator	198-15023-B
general semantics	198-12534-B
general staff	198-12630-B
generalisation	198-12723-B
generalise	198-12904-B
generalised	198-12957-B
generalissimo	198-13019-B
generality	198-13100-B
generalization	198-13502-B
generalize	198-13570-B
generalized	198-13797-B
generalized e	198-13929-B
generalized information system	198-13968-B
generalized model	198-14065-B
generalized sequential access method	198-14129-B
generalized tamed frequency modulation	198-14229-B
generalized trace facility	198-14346-B
generalizer	198-14444-B
generally	198-14549-B
generalness	198-14703-B
generalship	198-15120-B,205-13233-S,279-20863-S
generalsy	279-20980-S
generate	198-15338-B
generated address	198-15463-B
generated code	198-15518-B
generated command	92-4171-S
generating	198-15575-B,410-3853-S
generation	198-15714-B,85-8292-S,149-10370-S,193-5081-S,275-4836-S,436-27113-S
generation data group	198-15856-B
generation language	1-871-S,188-23442-S
generation number	2-24566-S
generation rate	198-15947-B
generative	198-15991-B
generative grammar	198-16071-B
generative organ	198-16157-B
generative power	198-16235-B
generative semantics	198-16321-B
generator	198-16419-B,3-14285-S,15-15067-S,18-17020-S,28-13540-S,34-7864-S,36-2191-S,82-24994-S,114-16367-S,133-16131-S,148-5631-S,148-15664-S,149-3505-S,149-13418-S,193-5121-S,206-16764-S,441-28393-S
generatrices	198-16616-B
generatrix	198-16672-B
generic	198-16765-B
generic key	198-16890-B
generic procedure	198-16923-B
generic term	198-17002-B
generically	198-17044-B
genericity	198-17119-B
generis	452-17058-S,452-19963-S
generosity	198-17284-B
generous	198-17600-B
generously	198-17880-B
genesis	198-17970-B,33-5700-S,368-6877-S,403-17428-S
genet	198-18170-B
genetic	198-18233-B,198-18569-B
genetic algorithm	198-18426-B
genetic drift	198-18479-B
genetically	198-18605-B
geneticist	198-18731-B
genetics	198-18843-B,376-5014-S
genetype	198-18928-B
geneva	198-19067-B
geneva bands	198-19142-B
genial	198-19243-B
geniality	198-19565-B
genially	198-19708-B
genicular	198-19785-B
geniculate	198-19862-B
geniculated	198-19960-B
geniculum	198-20014-B
genie	198-20072-B
genii	198-20129-B
genioglossal	198-20221-B
geniolatry	198-20295-B
genital	198-20373-B
genitalia	198-20448-B
genitals	198-20538-B
genitive	198-20626-B
genito anal	198-20803-B
genito crural	198-20884-B
genito enteric	198-20964-B
genito urinary	199-58-B
genitor	199-0-B
genius	199-140-B
genoblast	199-689-B
genocide	199-791-B
genocline	199-855-B
genoholotype	199-918-B
genom	199-994-B
genomic	199-1071-B
genotype	199-1139-B
genre	199-1214-B
genre painting	199-1272-B
gens	199-1395-B
gent	199-1479-B
genteel	199-1614-B,415-3926-S
genteelism	199-2036-B
genteelly	199-2117-B
gentian	199-2187-B
gentian violet	199-2261-B
gentile	199-2374-B
gentilesse	199-2520-B
gentilism	199-2598-B
gentility	199-2696-B
gentle	199-2945-B
gentle hearted	199-3916-B
gentlefolks	199-3769-B
gentlehood	199-4002-B
gentleman	199-4071-B,103-24886-S
gentleman at arms	199-5181-B
gentlemanlike	199-5258-B
gentlemanliness	199-5368-B
gentlemanly	199-5446-B
gentlemant	103-24959-S
gentlemen	199-5502-B
gentleness	199-5562-B
gentlewoman	199-5711-B
gentlewomanlike	199-5847-B
gently	199-5927-B
gentoo	199-6109-B
gentrice	199-6205-B
gentrify	199-6309-B
gentry	199-6396-B
gents	199-6666-B
genu	199-6735-B
genual	199-6799-B
genuant	199-6863-B
genuflect	199-6924-B
genuflector	199-6998-B
genuflectory	199-7083-B
genuflexion	199-7148-B
genuine	199-7231-B
genuinely	199-7442-B
genuineness	199-7515-B
genus	199-7665-B
geobotanist	199-7704-B
geobotany	199-7786-B
geocentric	199-7860-B
geocentricism	199-7995-B
geochemical	199-8094-B
