fletch [01/flet∫/]	[01* ngđtừ]\n- xem [03fledge] 
flirt [01/flə:t/]	[01* dtừ]\n- sự giật; cái giật\n- người ve vãn, người tán tỉnh\n- người thích được ve vãn, người thích được tán tỉnh\n[01* ngđtừ]\n- búng mạnh\n- rung mạnh, phẩy mạnh, vẫy mạnh (đuôi chim, quạt)\n- nđtừ\n- rung rung, giật giật\n- tán tỉnh, ve vãn; vờ tán tỉnh, vờ ve vãn\n[02= to flirt with somebody] tán tỉnh ai\n- đùa, đùa bỡn, đùa cợt\n[02= to flirt with the idea of doing something] đùa cợt với ý nghĩ làm gì
flirtation [01/flə:'tei∫n/]	[01* dtừ]\n- sự ve vãn, sự tán tỉnh\n- sự yêu đương lăng nhăng
flirtatious [01/flə:'tei∫əs/]	[01* ttừ]\n- thích tán tỉnh, thích ve vãn; thích tán tỉnh vờ, thích ve vãn vờ\n- hay yêu đương lăng nhăng
flirtatiousness [01/flə:'tei∫əsnis/]	[01* dtừ]\n- sụ thích ve vãn; tán tĩnh\n- sự hay yêu đương lăng nhăng
flirting [01/'flə:tiη/]	[01* ttừ]\n- ve vãn; tán tỉnh
flirtish [01/'flə:ti∫/]	[01* ttừ]\n- hay ve vãn, hay tán tỉnh\n- thích được ve vãn, thích được tán tỉnh
flirty [01/'flə:ti/]	như [03flirtish]
flit [01/flit/]	[01* dtừ]\n- sự dọn nhà, sự di chuyển chỗ ở\n[01* nđtừ]\n- di cư, di chuyển\n- đổi chỗ ở, chuyển chỗ ở\n- đi nhẹ nhàng, bay nhẹ nhàng, vụt qua\n[02= memories flit through mind] những ký ức vụt qua trong trí óc\n- (Ê-cốt) lỉnh, chuồn (để khỏi trả nợ)\n- bay chuyền (chim) 
flitch [01/flit∫/]	[01* dtừ]\n- thịt hông lợn ướp muối và hun khói\n- miếng mỡ cá voi\n- miếng cá bơn (để nướng)\n- ván bìa\n[01* ngđtừ]\n- lạng (cá bơn) thành miếng\n- xẻ (gỗ) lấy ván bìa
flitter [01/'flitə/]	[01* nđtừ]\n- bay chuyền; bay qua bay lại
flitter-mice [01/flitter-mice/]	như [03flitter-mouse]
flitter-mouse [01/'flitəmaus/]	[01* dtừ] s/n [03flitter-mice]\n- (động vật) con dơi
flivver [01/'flivə/]	[01* dtừ]\n- (lóng) xe ô tô rẻ tiền\n- tàu bay nhỏ cá nhân
flix [01/fliks/]	[01* dtừ]\n- bộ da lông hải ly
fllow-up [01/fllow-up/]	[01* ttừ]\n- tiếp tục, tiếp theo\n[02= a fllow-up visit] cuộc đi thăm tiếp theo (giống như cuộc thăm trước)\n[02= a fllow-up letter] bức thư tiếp theo (có nhắc đến bức thư trước)\n[01* dtừ]\n- sự tiếp tục\n- việc tiếp tục, việc tiếp theo\n- bức thư (chào hàng) tiếp theo (có nhắc đến bức thư trước) ; cuộc đi thăm tiếp theo (giống như một cuộc thăm trước) 
float [01/flout/]	[01* dtừ]\n- cái phao; phao cứu đắm\n- bè (gỗ...) ; mảng trôi (băng, rong...)\n- bong bóng (cá)\n- xe ngựa (chở hàng nặng)\n- xe rước, xe diễu hành (không có mui để đặt các thứ lên mà rước khách, mà diễu hành)\n- (sân khấu),((thường) số nhiều) dãy đèn chiếu trước sân khấu\n- cánh (guồng, nước)\n- cái bay\n- cái giũa có đường khía một chiều\n- (hiếm) sự nổi\n[02= on the float] nổi\n[01* nđtừ]\n- nổi, trôi lềnh bềnh\n[02= wood floats on water] gỗ nổi trên mặt nước\n- lơ lửng\n[02= dust floats in the air] bụi lơ lửng trong không khí\n- đỡ cho nổi (nước)\n- (thương nghiệp) bắt đầu, khởi công, khởi sự\n- (thương nghiệp) lưu hành, lưu thông; sắp đến hạn trả\n- thoáng qua, phảng phất\n[02= ideas float through mind] ý nghĩ thoáng qua trong trí óc\n[02= visions float before the eyes] những ảo ảnh phảng phất trước mắt\n[01* ngđtừ]\n- thả trôi, làm nổi lên, đỡ nổi\n[02= to float a raft of logs down a river] thả bè gỗ trôi sông\n[02= to float a ship] làm nổi một chiếc tàu (mắc cạn)\n- làm ngập nước\n- truyền (tin đồn)\n- (thương nghiệp) bắt đầu khởi công, khởi sự (kế hoạch, công trình...)\n- (thương nghiệp) cổ động tuyên truyền cho\n[02= to float a loan] cổ động tuyên truyền gọi người cho vay
floatability [01/floutə'biliti/]	[01* dtừ]\n- độ nổi; sức nổi
floatable [01/'floutəbl/]	[01* ttừ]\n- có thể nổi, nổi trên mặt nước\n- có thể đi được (sông, suối) 
floatage [01/'floutidʒ/]	như [03flotage]
floatation [01/flou'tei∫n/]	như [03flotation]
float-board [01/'flout,bɔ:d/]	[01* dtừ]\n- tàu thủy nhỏ; thuyền nhỏ; bè
float-bridge [01/'flout'bridʒ/]	như [03pontoon-bridge]
float-controlled [01/'floutkən'trould/]	[01* ttừ]\n- được điều chỉnh bằng phao
floater [01/'floutə/]	[01* dtừ]\n- (tục) công nhân làm theo mùa, công nhân phụ động
floating [01/'floutiη/]	[01* dtừ]\n- sự nổi\n- sự thả trôi (bè gỗ)\n- sự hạ thuỷ (tài thuỷ)\n- (thương nghiệp) sự khai trương; sự khởi công\n[01* ttừ]\n- nổi\n- để bơi\n- thay đổi\n[02= floating population] số dân thay đổi lên xuống\n- (thương nghiệp) động (nợ) ; luân chuyển (vốn)\n[02= floating capital] vốn luân chuyển\n- (y) di động\n[02= floating kidney] thận di dộng
floating address	- (kỹ) địa chỉ thả nổi, địa chỉ động = [03symbolic address] 
floating bridge [01/'floutiη'bridʒ/]	như [03pontoon-bridge]
floating computation	- (kỹ) phép toán phù động
floating debt [01/'floutiη'det/]	[01* dtừ]\n- nợ động (nợ phải trả một phần khi cần hay đến hạn nào đó) 
floating grid	- (kỹ) lưới phù động
floating light [01/'floutiη'lait/]	[01* dtừ]\n- thuyền đèn\n- phao có đèn
floating point	- (kỹ) điểm phù động, điểm lẻ
floating rates [01/'floutiη'reits/]	[01* dtừ]\n- (thương nghiệp) giá chuyên chở bằng tàu bè
floating zero	- (kỹ) số không trong phép toán phù động
floating-diffusion amplifier	- (kỹ) bộ khuếch đại khuếch tán phù động
floating-dock [01/'floutiη'dɔk/]	[01* dtừ]\n- kiến trúc hình hộp có thể chìm một phần cho tàu vào rồi lại nâng lên, nâng tàu ra khỏi nước
floating-gate avalanche-injection MOS	- (kỹ) MOS phun thác cổng phù động
floating-gate PROM	- (kỹ) PROM cổng phù động
floating-moss [01/'floutiη'mɔs/]	[01* dtừ]\n- (thực vật) bèo ong
floating-needle [01/'floutiη'ni:dl/]	[01* dtừ]\n- kim báo mức đầu; kim phao
floating-point	- (tin) dấy phẩy động
floating-point arithmetic operation	- (kỹ) phép toán số học điểm phù động
floating-point calculation	- (kỹ) phép tính điểm phù động
floating-point data	- (kỹ) dữ liệu điểm phù động
floating-point number	- (kỹ) số với điểm phù động
floating-point processor	- (kỹ) bộ xử lý điểm phù động
floating-rib [01/'floutiη'rib/]	[01* dtừ]\n- xương sườn cụt
floating-vote [01/'floutiη'vout/]	[01* dtừ]\n- tổng số những người bỏ phiếu bấp bênh (không chỉ cho một đảng) 
floating-voter [01/'floutiη'voutə/]	[01* dtừ]\n- người bỏ phiếu bấp bênh
float-needle	[01* dtừ]\n- kim báo mức dầu; kim phao
float-plane [01/'flout'plein/]	[01* dtừ]\n- tàu bay có phao
float-type [01/'flout'taip/]	[01* dtừ]\n- kiểu phao
float-way [01/'flout'wei/]	[01* dtừ]\n- đường thả bè gỗ
floaty [01/'flouti/]	[01* ttừ]\n- nổi lềnh bềnh; nhẹ có thể nổi
flocci [01/flocci/]	như [03floccus]
floccose [01/'flɔkouz/]	[01* ttừ]\n- (thực vật) có mào lông
flocculate [01/'flɔkjuleit/]	[01* đtừ]\n- kết bông, kết thành cụm như len
flocculation [01/,flɔkju'lei∫n/]	[01* dtừ]\n- sự kết bông, sự lên bông
flocculator [01/'flɔkjuleitə/]	[01* dtừ]\n- chất kết bông
floccule [01/'flɔkju:l/]	[01* dtừ]\n- bông, cụm (xốp như len)((cũng) [03flocculus] ) 
flocculence [01/'flɔkjuləns/]	[01* dtừ]\n- sự kết bông, sự kết thành cụm như len
flocculent [01/'flɔkjulənt/]	[01* ttừ]\n- kết bông, kết thành cụm như len
flocculose [01/'flɔkjulous/]	như [03flocculent]
flocculous [01/'flɔkjuləs/]	như [03flocculent]
flocculus [01/'flɔkjuləs/]	[01* dtừ]\n- (như) [03floccule]\n- (phẫu) nhung não
floccus [01/'flɔkəs/]	[01* dtừ] s/n [03flocci]\n- cụm (xốp như len) 
flock [01/flɔk/]	[01* dtừ]\n- cụm, túm (bông, len)\n- (số nhiều) len phế phẩm, bông phế phẩm (để nhồi nệm)\n- bột len, bột vải (để rắc lên giấy dán tường)\n- (số nhiều)(hoá) kết tủa xốp, chất lẳng xốp\n[01* ngđtừ]\n- nhồi (nệm...) bằng bông len phế phẩm\n[01* dtừ]\n- đám đông\n[02= to come in flocks] đến từng đám đông\n- đàn, bầy\n[02= a flock of ducks] một đàn vịt\n[02= the teacher and his flock] giáo viên và học sinh của ông\n- các con chiên, giáo dân\n[04! there's a black in every flock]\n- đám con chiên nào cũng có con chiên ghẻ\n[01* nđtừ]\n- tụ tập, quây quần, tập trung lại thành đám đông\n- lũ lượt kéo đến\n[02= crowds of people flocked to the theatre] từng đám đông người lũ lượt kéo đến rạp hát\n[04! birds of a feather flock together]\n- xem [03bird] 
flock-bed [01/'flɔkbed/]	[01* dtừ]\n- nệm nhồi bông len phế phẩm
flock-master [01/'flɔk,mɑ:stə/]	[01* dtừ]\n- người nuôi cừu
flock-paper [01/'flɔk,peipə/]	[01* dtừ]\n- giấy dán tường (có rắc bột len, bột vải) 
flocky [01/'flɔki/]	[01* ttừ]\n- thành cụm, thành túm (như bông, len) 
floe [01/flou/]	như [03ice-floe]
floeberg [01/'flou,bə:g/]	như [03iceberg]
floe-ice [01/'flou'ais/]	[01* dtừ]\n- băng trôi
flog [01/flɔg/]	[01* ngđtừ]\n- quần quật\n- (lóng) đánh thắng\n- (lóng) bán\n- quăng đi quăng lại (cấp cứu)\n[04! to flog a dead horse]\n- phi công vô ích\n[04! to flog laziness out of somebody]\n- đánh cho ai mất lười\n[04! to flog learning into somebody]\n- đánh để bắt ai phải học
flogger [01/'flɔgə/]	[01* dtừ]\n- người dùng roi quất
flogging [01/'flɔgiη/]	[01* dtừ]\n- sự đánh bằng roi, sự quất bằng roi\n- trận đòn (bằng roi vọt) 
flood [01/flʌd/]	[01* dtừ]\n- lũ, lụt, nạn lụt\n[02= the Flood; Noah's Flood] nạn Hồng thuỷ\n- dòng cuồn cuộn; sự tuôn ra, sự chảy tràn ra (đen & bóng)\n[02= floods of rain] mưa như trút nước\n[02= a flood of tears] nước mắt giàn giụa\n[02= a flood of words] lời nói thao thao bất tuyệt\n- nước triều lên ((cũng) [03flood-tide] )\n- (thơ ca) sông, suối biển\n[02= flood and field] niển và đất\n- (Mỹ),(tục),(như) [03flood-light]\n[01* ngđtừ]\n- làm lụt, làm ngập, làm ngập nước\n- làm tràn đầy, làm tràn ngập\n[02= to be flooded with light] tràn ngập ánh sáng\n[02= to be flooded with invitention] được mời tới tấp\n[01* nđtừ]\n- ((thường) +[02in]) ùa tới, tràn tới, đến tới tấp\n[02= letters flood in] thư gửi đến tới tấp\n- (y) bị chảy máu dạ con\n[04! to be flooded out]\n- phải rời khỏi nhà vì lụt lội
floodbank [01/'flou,bæηk/]	[01* dtừ]\n- tười dựng lên ngăn nước ngập
flood-control [01/'flʌdkən'troul/]	[01* dtừ]\n- công tác phòng chống lụt; công tác trị thuỷ
floodded [01/flʌdid/]	[01* ttừ]\n- bị lụt; bị ngập; bị tràn
flood-gate [01/'flʌdgeit/]	[01* dtừ]\n- công (thuỷ lợi) 
flooding [01/'flʌdiη/]	[01* dtừ]\n- sự làm ngập lụt; sự úng lụt; nạn lụt
