lycanthropy	277-11525-B
machine	278-951-B,4-26454-S,7-9228-S,18-12771-S,21-19919-S,35-17049-S,36-4831-S,64-13064-S,68-1211-S,84-8221-S,88-5478-S,90-19133-S,92-7847-S,103-408-S,103-23121-S,107-2341-S,127-8626-S,139-23480-S,149-10653-S,152-3427-S,152-3509-S,173-11186-S,177-19674-S,177-19886-S,177-28027-S,178-18138-S,180-27421-S,181-27874-S,189-13121-S,192-4334-S,192-6729-S,208-19711-S,217-14806-S,241-21504-S,259-10815-S,260-13959-S,260-22584-S,260-26215-S,263-7803-S,279-12039-S,290-16530-S,290-21368-S,291-1623-S,297-9483-S,324-15974-S,327-8315-S,335-5789-S,336-14065-S,361-20563-S,370-6084-S,377-25433-S,379-25523-S,392-18253-S,392-23719-S,394-11596-S,395-2203-S,400-2043-S,401-20446-S,408-24756-S,414-31047-S,421-4561-S,425-7230-S,428-15056-S,431-24902-S,432-9142-S,435-14758-S,436-21346-S,440-9922-S,440-10005-S,440-26149-S,460-10236-S,461-8263-S,461-28229-S,467-32755-S,468-5810-S,476-10863-S,477-24038-S,481-3400-S,482-22104-S,482-22185-S,507-18153-S,515-8846-S,517-17564-S,521-6512-S
machine code	278-1491-B
machine gun	278-1722-B
machine gunner	278-1861-B
machine language	278-1553-B
machine made	278-2104-B
machine readable	278-2279-B
machine shop	278-2630-B
machine time	37-3912-S
machine tool	278-2735-B
machine translation	278-1637-B
machine wash	278-2807-B
machine wound	278-2879-B
machineless	278-1975-B
machinelike	278-2046-B
machineman	278-2221-B
machinery	278-2381-B,92-7894-S,92-7934-S
machining	278-2951-B
machinist	278-3048-B
machismo	278-3180-B
macho	278-3313-B
macintosh	278-3459-B
mack	278-3503-B
mackerel	278-3541-B,61-6651-S,225-14265-S
mackerel breeze	278-3607-B
mackerel gale	278-3723-B
mackerel sky	278-3788-B
mackintosh	278-3896-B
mackle	278-3977-B
macle	278-4105-B
macrame	278-4204-B
macro	278-4315-B
macroaggregate	278-4543-B
macrobiotic	278-4631-B
macrobiotics	278-4719-B
macrocarpous	278-4907-B
macrocephalic	278-4988-B
macrocephalous	278-5052-B
macrocinematography	278-5115-B
macroclimate	278-5210-B
macroclimatic	278-5298-B
macroclimatology	278-5400-B
macrocosm	278-5522-B
macrocosmic	278-5588-B
macrocosmically	278-5667-B
macrocrystalline	278-5754-B
macrocyte	278-5841-B
macrocytic	278-5905-B
macroeconomics	278-5982-B
macroevolution	278-6277-B
macrofossil	278-6368-B
macrogamete	278-6437-B
macrograph	278-6533-B
macroinstruction	278-6620-B
macrometric	278-6719-B
macromolecule	278-6795-B
macron	278-6887-B
macronuclei	278-7023-B
macronucleus	278-7098-B
macrophage	278-7197-B
macrophagic	278-7276-B
macrophotograph	278-7356-B
macrophotography	278-7460-B
macrophysics	278-7547-B
macrophyte	278-7621-B
macropodous	278-7702-B
macropsia	278-7817-B
macropterous	278-7891-B
macroscale	278-7984-B
macroscopic	278-8060-B
macroscopically	278-8118-B
macrosegment	278-8185-B
macrosporangia	278-8264-B
macrosporangium	278-8351-B
macrospore	278-8495-B
macrostatistics	278-8573-B
macrostomia	278-8634-B
macrostructure	278-8710-B
macula	278-8788-B
maculae	278-8870-B
macular	278-8910-B
maculate	278-9009-B
maculated	278-9140-B
maculation	278-9213-B
macule	278-9358-B
mad	278-9431-B,225-4721-S
mad cow disease	278-10019-B
mad money	278-10149-B
madagascan	278-10272-B
madam	278-10378-B
madame	278-10480-B
madcap	278-10691-B
madden	278-10796-B
maddening	278-10921-B
maddeningly	278-11004-B
maddeningness	278-11150-B
madder	278-11250-B
madding	278-11421-B
maddingly	278-11479-B
maddish	278-11544-B
made	278-11599-B,111-15795-S,214-20990-S,223-27242-S,256-23256-S,278-2104-S,281-16003-S,379-18204-S,410-9177-S,460-21819-S,518-900-S
made decision	92-5668-S
made law	256-23082-S
made software	111-15898-S
made to measure	278-12130-B
made to order	278-12216-B
made up	278-12305-B
madeira	278-11858-B
madeleine	278-11942-B
mademoiselle	278-12052-B
madhouse	278-12449-B
madison avenue	278-12542-B
madly	278-12634-B
madman	278-12714-B
madness	278-12789-B,290-5733-S
madonna	278-12899-B
madonna lily	278-12981-B
madras	278-13067-B
madrepore	278-13151-B
madreporian	278-13231-B
madrigal	278-13307-B
madrigalian	278-13397-B
madrigalist	278-13503-B
madwoman	278-13567-B
mae west	278-13636-B
maecenas	278-13731-B
maelstrom	278-13796-B
maenad	278-13875-B
maenadic	278-14022-B
maestoso	278-14164-B
maestri	278-14233-B
maestro	278-14273-B
maffick	278-14427-B
mafia	278-14486-B
mafic	278-14623-B
mafiology	278-14686-B
mafiosi	278-14790-B
mafioso	278-14849-B
mag	278-14959-B
maganese	278-15047-B
magazine	278-15106-B,150-239-S,271-23117-S,355-18808-S,423-4162-S
magazines	369-24106-S
magazinish	278-15320-B
magazinist	278-15471-B
magaziny	278-15571-B
magdalen	278-15619-B
magdalene	278-15736-B
mage	278-15785-B
magenta	278-15905-B
maggot	278-16021-B
maggotry	278-16238-B
maggoty	278-16299-B
magi	278-16428-B
magian	278-16490-B
magianism	278-16557-B
magic	278-16642-B,50-11603-S
magic carpet	278-16681-B
magic lantern	278-16798-B
magic realism	278-16867-B
magic realist	278-16961-B
magic square	278-17047-B
magical	278-17110-B
magically	278-17387-B
magician	278-17460-B
magilp	278-17546-B
maginot line	278-17584-B
maginot minded	278-17747-B
magisterial	278-17838-B
magisterium	278-18007-B
magistracy	278-18126-B
magistral	278-18247-B
magistral line	278-18366-B
magistrality	278-18449-B
magistrally	278-18658-B
magistrate	278-18758-B,350-26493-S,444-7170-S
magistrateship	278-18810-B
magistratical	278-18869-B
magistrature	278-18990-B
magma	278-19066-B
magmas	278-19104-B
magmata	278-19157-B
magmatic	278-19298-B
magna carta	278-19399-B
magna charta	278-19671-B
magnalium	278-19728-B
magnanimity	278-19810-B
magnanimous	278-19987-B
magnanimousness	278-20062-B
magnate	278-20184-B
magnateship	278-20285-B
magnesia	278-20519-B
magnesian	278-20582-B
magnesic	278-20648-B
magnesite	278-20710-B
magnesium	278-20785-B
magnet	278-20844-B,99-1108-S,119-11912-S,165-3520-S,176-20033-S,184-18724-S,337-13290-S
magnetic	279-0-B,475-22556-S
magnetic declination	279-295-B
magnetic dip	279-389-B
magnetic equator	5-18888-S
magnetic field	279-466-B
magnetic head	279-556-B
magnetic inclination	279-618-B
magnetic pole	279-708-B
magnetic tape	279-770-B
magnetic tape loop	154-7476-S
magnetical	279-835-B
magnetics	279-917-B
magnetisation	279-996-B
magnetise	279-1073-B
magnetism	279-1120-B,20-15675-S,144-5704-S
magnetist	279-1360-B
magnetite	279-1419-B
magnetizability	279-1482-B
magnetization	279-1563-B
magnetize	279-1706-B
magneto	279-1816-B
magneto electric	279-1915-B
magneto electricity	279-1988-B
magneto optic	279-2509-B
magneto optics	279-2589-B
magnetofluiddynamics	279-2067-B
magnetograph	279-2174-B
magnetohydrodynamics	279-2249-B
magnetometer	279-2355-B,150-314-S
magneton	279-2432-B
magnetophone	279-2661-B
magnetos	279-2741-B
magnetoscope	279-2785-B
magnetosphere	279-2850-B
magnetostatic	279-2916-B
magnetostatics	279-2997-B
magnetostriction	279-3070-B
magnetostrictor	279-3159-B
magnetron	279-3239-B,112-2981-S,190-15149-S
magnific	279-3294-B
magnifical	279-3390-B
magnificat	279-3439-B
magnification	279-3523-B,119-20656-S
magnificence	279-3682-B
magnificent	279-3739-B
magnificentness	279-3860-B
magnifier	279-3964-B,306-10742-S
magnify	279-4041-B
magnifying glass	279-4393-B
magniloquence	279-4452-B
magniloquent	279-4511-B
magnistor	279-4595-B
magnitude	279-4622-B
magnitudinous	279-4862-B
magnolia	279-5001-B
magnum	279-5074-B,186-114-S
magnum bonum	279-5138-B
magnum opus	279-5236-B
magot	279-5379-B
magpie	279-5472-B
magus	279-5635-B
magyar	279-5670-B
magyar sleeves	279-5841-B
mah jong	279-6832-B
mah jongg	279-6903-B
mahabharata	279-5969-B
maharaja	279-6056-B
maharanee	279-6129-B
maharani	279-6196-B
maharishi	279-6263-B
mahatma	279-6338-B
mahayana	279-6511-B
mahayanist	279-6605-B
mahlstick	279-6951-B
mahogany	279-7025-B
mahometan	279-7297-B
mahout	279-7347-B
maid	279-7412-B,47-6481-S,73-22336-S,151-301-S,170-26856-S,260-6426-S,260-7657-S,262-17544-S,262-18217-S,311-20504-S,312-1230-S,329-15891-S,329-16119-S,329-16548-S,329-16752-S,404-1351-S,406-9313-S,407-7922-S,413-20770-S,414-1939-S,513-25892-S
maid in waiting	279-9448-B
maid of all work	279-9661-B
maid of honour	279-7586-B,279-9806-B
maid of orleans	279-7685-B
maiden	279-7763-B,456-22397-S
maiden aunt	279-8669-B
maidenhair	279-8748-B
maidenhead	279-8795-B
maidenhood	279-8917-B
maidenish	279-9053-B
maidenlike	279-9109-B
maidenliness	279-9195-B
maidenly	279-9286-B
maidhood	279-9388-B
maidish	279-9602-B,312-1273-S
maidservant	279-9909-B
maidy	279-10005-B
maieutic	279-10080-B
maieutics	279-10287-B
maigre	279-10399-B,431-26661-S
mail	279-10454-B,12-501-S,73-13351-S,150-376-S,150-435-S,151-11769-S,171-24516-S,171-29499-S,257-13418-S,426-30216-S,455-21056-S,455-22081-S
mail bag	279-11200-B
mail boat	279-11260-B
mail car	279-11384-B
mail carrier	279-11432-B
mail cart	279-11521-B
mail clerk	279-11584-B
mail coach	279-10679-B
mail drop	279-10757-B
mail oder house	279-12315-B
mail order	279-10865-B
mail order firm	279-12380-B
mail order house	279-12501-B
mail plane	279-12569-B
mail sack	279-10967-B
mail train	279-12718-B
mailability	279-11027-B
mailbag	279-11116-B
mailbox	279-11327-B,150-545-S
mailed fist	279-11653-B
mailer	279-11737-B
mailing	279-11865-B
mailing list	279-11924-B
mailing machine	279-12039-B
maillot	279-12127-B
mailman	279-12249-B
mailshot	279-12626-B
maim	279-12781-B
main	279-12964-B,104-2712-S,196-18419-S,432-22431-S,516-1649-S
main beam	279-13454-B
main chance	279-13516-B
main clause	279-13613-B
main crop	279-13686-B
main deck	279-14460-B
main drag	279-13764-B
main line	279-13862-B
main memory	14-8470-S
main street	279-14051-B
main yard	279-14275-B
mainbrace	279-14361-B
mainframe	279-14511-B
mainifestness	279-14558-B
mainland	279-14614-B
mainlander	279-14684-B
mainlaying	279-14757-B
mainline	279-14830-B
mainliner	279-15131-B
mainly	279-15284-B
mainmast	279-15357-B
mainsail	279-15433-B
mainsheet	279-15501-B
mainspring	279-15586-B
mainstay	279-15727-B
mainstream	279-15870-B
mainstreeter	279-16036-B
maintain	279-16278-B
maintainable	279-16847-B
maintained school	279-16949-B
maintainer	279-17042-B
maintenance	279-17112-B,101-16298-S,387-1460-S
maintenance crew	279-17477-B
maintenance of ways	279-17568-B
maintop	279-17660-B
maintopsail	279-17787-B
maiolica	279-17873-B
mairie	279-17935-B
maisonette	279-17975-B
maisonnette	279-18043-B
maitre	279-18111-B
maitre d hotel	279-18197-B
maitre d hotel butter	279-18359-B
maize	279-18445-B
majeste	267-18611-S
majestic	279-18539-B
majestical	279-18629-B
majestically	279-18696-B
majesticalness	279-18766-B
majesty	279-18853-B,267-18686-S
majeure	186-5634-S
majolica	279-19070-B
major	279-19168-B,141-7347-S,141-8563-S,162-1140-S,162-1215-S,413-9990-S
major axis	279-19998-B
major domo	279-20723-B
major general	279-20783-B
major generalship	279-20863-B
major generalsy	279-20980-B
major league	279-20071-B
major order	279-20162-B
major party	279-20254-B
major premise	279-20356-B
major prophet	279-20456-B
major term	279-20549-B
majora	261-20073-S
majoram	279-20637-B
majorant	279-20700-B
majorette	141-7400-S,141-8708-S
majoritarian	279-21053-B
majoritarianism	279-21223-B
majority	279-21325-B,2-24816-S
