preferred stock [01/'prefəridstɔk/]	như [03preference stock]
preguidance [01/pri'gaidəns/]	[01* dtừ]\n- sự hướng dẫn sơ bộ
pregustation [01/,pri:gʌs'tei∫n/]	[01* dtừ]\n- sự nếm trước
prehallux [01/pre'hæləks/]	[01* dtừ]\n- ngón cái thừa
pre-heat	[01* ngđtừ]\n- đun nóng trước (nhất là khi chiên cá, đun nóng rồi mới bỏ dầu, cá vào) 
preheat [01/,pri:'hi:t/]	[01* ngđtừ]\n- nung sơ b
preheater	- xem [03preheat] 
preheating [01/pri:'hi:tiη/]	[01* dtừ]\n- sự nung sơ b
prehensible [01/pri:'hensibl/]	[01* ttừ]\n- có thể cầm, có thể nắm
prehensile [01/,pri:'hensail/]	[01* ttừ]\n- (động vật) có thể cầm nắm (chân, đuôi) 
prehensility [01/,pri:hen'siliti/]	[01* dtừ]\n- (động vật) khả năng cầm nắm được (của chân, đuôi) 
prehension [01/pri'hen∫n/]	[01* dtừ]\n- sự cầm, sự nắm\n- sự hiểu
prehepatic [01/pri:hi'pætik/]	[01* ttừ]\n- (phẫu) trước gan
prehistorian	- xem [03prehistory] 
prehistoric [01/,pri:hi'stɔrik/]	[01* ttừ]\n- (thuộc) tiền s
prehistorically	- xem [03prehistoric] 
prehistory [01/,pri:'histri/]	[01* dtừ]\n- tiền s
prehuman [01/,pri:'hju:mən/]	[01* ttừ]\n- trước khi có loài người
pre-human [01/'pri:'hju:mən/]	như [03prehuman]
preignition [01/pri:ig'ni∫n/]	[01* dtừ]\n- (kỹ) sự đánh lửa sớm; đốt cháy trong ống mỏ hàn
pre-ignition [01/'pri:ig'niʃn/]	[01* dtừ]\n- sự mồi sớm, sự đánh lừa sớm (máy đốt trong) 
pre-image	- nghịch ảnh; hàm gốc (trong phép biến đổi Laplat) 
preindustrial [01/,pri:in'dʌstriəl/]	[01* ttừ]\n- tiền công nghiệp
preinstall	- thiết lập trước, cái đặt trước
preinstruct [01/,pri:in'strʌkt/]	[01* ngđtừ]\n- dạy bảo trước
prejudge [01/,pri:'dʒʌdʒ/]	[01* ngđtừ]\n- xử trước (trước khi thẩm tra kỹ lưỡng...), lên án trước, kết án trước (trước khi xử)\n- sớm xét đoán, vội phê phán, vội đánh giá (ai, hành động gì...) 
prejudgement	như [03prejudger]
prejudger	- xem [03prejudge] 
prejudgment [01/,pri:'dʒʌdʒmənt/]	[01* dtừ]\n- sự xử trước, sự lên án trước, sự kết án trước\n- sự sớm xét đoán; sự vội phê phán, sự vội đánh giá (ai, hành động gì...) 
prejudicate [01/pri'dʒju:dikit/]	[01* ngđtừ]\n- phán quyết khi chưa tra xét\n- ức đoán\n[01* ttừ]\n- ức đoán, thiên lệch
prejudice [01/'predʒudis/]	[01* dtừ]\n- định kiến, thành kiến, thiên kiến\n[02= to have a prejudice against someone] có thành kiến đối với ai\n[02= to have a prejudice in favour of someone] có định kiến thiên về ai\n- mối hại, mối tổn hại, mối thiệt hại\n[02= to the prejudice of] làm thiệt hại cho\n[02= without prejudice to] không có gì tổn hại cho, không có gì thiệt hại cho\n[01* ngđtừ]\n- làm cho (ai) có định kiến, làm cho (ai) có thành kiến\n[02= to prejudice someone against someone] làm cho ai có thành kiến đối với ai\n[02= to prejudice someone in favour of someone] làm cho ai có định kiến thiên về ai\n[02= to be prejudiced] có định kiến, có thành kiến\n- làm hại cho, làm thiệt cho
prejudiced	[01* ttừ]\n- có thành kiến, biểu lộ thành kiến
prejudicial [01/,predʒu'di∫l/]	[01* ttừ]\n- gây tổn hại, gây thiệt hại, làm thiệt (cho quyền lợi...) 
prejudicially	- xem [03prejudicial] 
prejudicialness	như [03prejudicially]
pre-knowledge [01/pri:'nɔlidʒ/]	[01* dtừ]\n- sự biết trước
prelacy [01/'preləsi/]	[01* dtừ]\n- chức giáo chủ, chức giám mục\n- các giáo chủ; các giám mục (nói chung)\n- (nghĩa xấu) chế độ thống trị giáo hội của các giáo ch
prelapsarian [01/,pri:læp'seəriən/]	[01* ttừ]\n- ở thời kỳ trước khi con người bị sa ngã
prelate [01/'prelət/]	[01* dtừ]\n- giáo chủ; giám mục
prelatess [01/'prelitis/]	[01* dtừ]\n- nữ giáo trưởng
prelatic [01/pri'lætik/]	[01* ttừ]\n- (thuộc) giáo chủ; (thuộc) giám mục
prelatical [01/pri'lætikl/]	như [03prelatic]
prelatise [01/'prelətais/]	- Cách viết khác : [03prelatize]
prelatism [01/'prelitizm/]	[01* dtừ]\n- chế độ giám mục; thuyết đề cao giám mục
prelatist [01/'prelitist/]	[01* dtừ]\n- người theo prelatism
prelatize	- xem [03prelatise] 
prelature [01/'prelə∫ə/]	[01* dtừ]\n- chức giáo sĩ cao cấp\n- đoàn giáo sĩ cao cấp
prelaunch [01/'pri:lɔ:nt∫/]	[01* ttừ]\n- chuẩn bị cho việc phóng (tàu vũ trụ) 
prelect [01/pri'lekt/]	[01* nđtừ]\n- (+[04 on]) thuyết trình (về một vấn đề, (thường) ở trường đại học) 
prelection [01/pri'lek∫n/]	[01* dtừ]\n- bài thuyết trình ((thường) ở trường đại học) 
prelector [01/pri'lektə(r) /]	[01* dtừ]\n- người thuyết trình ((thường) ở trường đại học) 
prelibation [01/,prilei'bə∫n/]	[01* dtừ]\n- sự nếm trước, sự hưởng trước ((thường)(bóng)) 
prelim [01/pri'lim/]	[01* dtừ]\n- (tục),(vt) của [03preliminary examination], cuộc kiểm tra thi vào (trường học)\n- (số nhiều)(ngành in) những trang vào sách (trước phần chính của một cuốn sách) 
preliminarily	- xem [03preliminary] 
preliminary [01/pri'liminəri/]	[01* ttừ]\n- mở đầu, mào đầu; sơ bộ, dự bị\n[01* dtừ]\n- ((thường) số nhiều) công việc chuẩn bị, sự sắp đặt mở đầu; biện pháp sơ bộ\n- (số nhiều) điều khoản sơ bộ; cuộc đàm phán sơ bộ\n- cuộc kiểm tra thi vào (trường học) 
preliterate [01/pri:'litərət/]	[01* ttừ]\n- thuộc thời kỳ tiền văn tự
preload [01/pri:'loud/]	[01* dtừ]\n- (kỹ) tải trọng đặt trước
prelude [01/'prelju:d/]	[01* dtừ]\n- cái mở đầu, buổi diễn mở đầu, màn giáo đầu, sự kiện mở đầu, việc mở đầu, hành động mở đầu (bài thơ)\n- (âm nhạc) khúc dạo\n[01* ngđtừ]\n- mở đầu, mào đầu, giáo đầu, dùng làm mở đầu cho, giới thiệu bằng màn mở đầu, giới thiệu bằng khúc mở đầu\n- báo trước (việc gì xảy ra)\n[01* nđtừ]\n- làm mở đầu cho\n- (âm nhạc) dạo đầu
preluder	- xem [03prelude] 
preludial	như [03preluder]
preludize [01/'prelju:daiz/]	[01* nđtừ]\n- mở đầu, mào đầu, giáo đầu
prelusion [01/pri'lju:ʒn/]	[01* dtừ]\n- sự mở đầu, sự mào đầu, sự giáo đầu
prelusive [01/'pri'lju:siv/]	[01* ttừ]\n- mở đầu, mào đầu, giáo đầu; để mở đầu, để mào đầu, để giáo đầu\n- báo trước; để báo trước
prelusively	- xem [03prelusive] 
premandibular [01/pri:mn'dibjulə/]	[01* ttừ]\n- (động vật) trước hàm
premarital [01/,pri:'mæritl/]	[01* ttừ]\n- diễn ra trước hôn nhân
premaritally	- xem [03premarital] 
prematuration [01/,premətjuə'rei∫n/]	[01* dtừ]\n- sự chín sớm, sự chín đầu mùa\n- sự đẻ sớm
premature [01/'premətjuə(r) /]	[01* ttừ]\n- sớm, yểu non\n[02= premature dealth] sự chết non, sự chết yểu\n[02= premature birth] sự đẻ non\n- hấp tấp, vội vã\n[02= a premature decision] một quyết định hấp tấp\n[01* dtừ]\n- sự nổ sớm (lựu đạn...) 
prematurely [01/'premətjuəli/]	[01* phtừ]\n- sớm (xảy ra trước thời gian mong đợi) ; đẻ non (trẻ con)\n- hấp tấp, vội vã (hành động quá gấp gáp) 
prematureness [01/,premə'tjuənis/]	như [03prematurity]
prematurity [01/,premə'tjuriti/]	[01* dtừ]\n- tính sớm, tính non, tính yểu\n- tính hấp tấp, tính vội vã (của quyết định...) 
premaxilla [01/pri:mæk'silə/]	[01* dtừ] s/n [02premaxillae]\n- (phẫu) mảnh trước hàm
premaxillae [01/pri:mæk'sili/]	[01* dtừ] s/n\n- xem [03premaxilla] 
premaxillary [01/pri:mæk'siləri/]	[01* ttừ]\n- trước hàm; thuộc mảnh trước hàm
premed [01/pri:'med/]	[01* dtừ]\n- (tục) có chủ tâm, mưu tính trước
premedical [01/pri:'medikəl/]	[01* ttừ]\n- chuẩn bị học y
premedication [01/pri:medi'kei∫n/]	[01* dtừ]\n- thuốc uống để chuẩn bị đánh thuốc tê khi mổ
premeditate [01/,pri:'mediteit/]	[01* ngđtừ]\n- suy nghĩ trước, suy tính trước, mưu tính trước, chủ tâm
premeditated [01/pri:'mediteitd/]	[01* ttừ]\n- có suy nghĩ trước, có suy tính trước, có mưu tính trước, có chủ tâm\n[02= a murder] một vụ giết người có suy tính trước
premeditatedly	- xem [03premeditated] 
premeditation [01/,pri:medi'tei∫n/]	[01* dtừ]\n- sự suy nghĩ trước, sự suy tính trước, sự mưu tính trước, sự dụng tâm\n- hành động có mưu tính trước, hành động chủ tâm
premeditative	- xem [03premeditate] 
premeditator	như [03premeditative]
premenstrua [01/pri:'menstruə/]	[01* dtừ]\n- thời kỳ tiền kinh nguyệt
premenstrual [01/pri:'mentruəl/]	[01* ttừ]\n- (thuộc) xem [03premenstrua] 
premenstrual tension [01/,pri:,menstruəl'ten∫n/]	[01* dtừ]\n- (vt) PMT (sự đảo lộn về sinh lý, tâm lý do những thay đổi về hóoc môn xảy ra trước thời kỳ kinh nguyệt) 
premier [01/'premiə(r) /]	[01* dtừ]\n- thủ tướng\n[01* ttừ]\n- (lóng) nhất, đầu\n[02= to take (the) premier place] đứng đầu, nhất
première [01/pre'mieə(r) /]	[01* dtừ]\n- (sân khấu) buổi diễn đầu tiên, buổi diễn ra mắt
premiership [01/'premiə∫ip/]	[01* dtừ]\n- chức vị thủ tướng; nhiệm kỳ của một thủ tướng
premillennial [01/pri:mi'leniəl/]	[01* ttừ]\n- (thuộc) xem [03premillennialism] 
premillennialism [01/,pri:mi'leniəlizm/]	[01* dtừ]\n- thuyết cho rằng chúa Jêsu sẽ quay trở lại trị vì thế giới trong một ngàn năm hạnh phúc
premillennialist [01/,pri:mi'leniəlist/]	[01* dtừ]\n- người theo premillennialism
premise [01/'premis/]	[01* dtừ]\n- (triết học) tiền đề\n- (số nhiều) những cái kể trên; (pháp lý) tài sản kể trên\n- (số nhiều) sinh cơ, nhà cửa, vườn tược\n[04! to be drunk (consumed) on the premises]\n- uống ngay tại chỗ trong cửa hàng (rượu...)\n[04! to be drunk to the premises]\n- say mèm, say bí tỉ, say khướt\n[04! to see somebody off the premises]\n- tống tiễn ai đi\n[01* ngđtừ]\n- nói (cái gì) coi như tiền đề, viết (cái gì) coi như tiền đề; nói (cái gì) coi như mở đầu, viết (cái gì) coi như mở đầu; đặt thành tiền đề\n[02= to premise that...] đặt thành tiền đề là...
premises [01/'premisiz/]	[01* dtừ]\n- ngôi nhà hoặc các toà nhà khác có nhà phụ, đất đai...; cơ ngơi\n- business premises\n- cơ ngơi kinh doanh\n[02= the firm is looking for larger premises] công ty đang đi tìm những cơ ngơi lớn hơn\n[02= he was asked to leave the premises immediately] người ta yêu cầu anh ta phải lập tức rời khỏi khu nhà\n- (pháp lý) các chi tiết về tài sản, tên người... đã được ghi rõ trong phần đầu của một hợp đồng hợp pháp\n[02= off the premises] ngoài ranh giới của dinh cơ\n[02= to see somebody off the premises] tiễn ai ra khỏi nhà\n[02= on the premises] trong nhà...\n[02= there is always a manager on the premises] bao giờ cũng có một quản đốc ở trong toà nhà (tại chỗ)\n[02= alcohol may not be consumed on the premises] rượu không được phép uống tại chỗ
premiss [01/'premis/]	[01* dtừ]\n- bản tóm tắt, bản trích yếu\n[01* ngđtừ]\n- tóm tắt, làm bản tóm tắt, làm bản trích yếu (của bài nói, văn kiện...) 
premium [01/'pri:miəm/]	[01* dtừ]\n- phần thưởng\n- tiền thưởng\n- tiền đóng bảo hiểm\n- tiền học việc (trả ngay cho người dạy nghề)\n- tiền các đổi tiền ((cũng) [03premium on exchange] )\n[04! at a premium]\n- cao hơn giá qui định; (bóng) được đánh giá cao\n[04! to put a premium on something]\n- khuyến khích cái gì, xúi giục cái gì
premium bond [01/'pri:miəmbɔnd/]	[01* dtừ]\n- (Premium Bond) công trái không có tiền lời nhưng có giải thưởng xổ số định kỳ
premix [01/pre'miks/]	[01* ngđtừ]\n- trộn lẫn từ trước (bê tông) 
premolar [01/pri:'məʊlə(r) /]	[01* dtừ]\n- răng tiền hàm
premonish [01/pri'mɔni∫/]	[01* đtừ]\n- báo trước; cảnh cáo
premonition [01/,pri:mə'ni∫n/]	[01* dtừ]\n- sự báo trước; sự cảm thấy trước\n- linh cảm; điềm báo trước
premonitor [01/pri'mɔ:nitə/]	[01* dtừ]\n- người cảnh cáo trước
premonitorily	- xem [03premonition] 
premonitory [01/pri'mɔnitəri/]	[01* ttừ]\n- báo trước
premorse [01/pri'mɔ:s/]	[01* ttừ]\n- (thực vật),(động vật) có đầu cụt
premotion [01/pri'mou∫n/]	[01* dtừ]\n- sự cử động trước
premoulding [01/pri:'mouldiη/]	[01* dtừ]\n- (kỹ) sự ép sơ bộ (khuôn) 
premundane [01/pri:'mʌndein/]	[01* dtừ]\n- trước khi sáng tạo thế giới
premunition [01/pri:mju'ni∫n/]	[01* dtừ]\n- sự phòng bị
prename [01/'pri:neim/]	[01* dtừ]\n- tên tục
prenasal [01/pri:'neizəl/]	- trước mũi\n[01* ttừ] 
prenatal [01/,pri:'neitl/]	[01* ttừ]\n- trước khi sinh
pre-natal [01/'pri:'neitl/]	[01* ttừ]\n- trước khi đẻ, trước khi sinh
prenatally	- xem [03prenatal] 
prenominate [01/pri:'noumineit/]	[01* ngđtừ]\n- nhắc đến trước đây
prenotion [01/pri:'nou∫n/]	[01* dtừ]\n- (triết học) quan niệm tiên thiên
prentice [01/'prentais/]	[01* dtừ]\n- (cổ),(như) [03apprentice]\n[04! a prentice hand]\n- tay (người) mới học nghề, tay (người) mới tập việc, tay người vụng về\n[01* ngđtừ]\n- (cổ),(như) [03apprentice] 
prentice hand [01/'prentis,hænd/]	[01* dtừ]\n- tay mới học nghề
prenticeship [01/'prentis∫ip/]	[01* dtừ]\n- sự học việc, sư học nghề; thời gian học việc, thời gian học nghề\n[02= to serve one's apprenticeship] học việc, học nghề, qua thời gian học nghề
preoccipital [01/pri:ɔk'sipitəl/]	[01* ttừ]\n- (phẫu) trước chẩm; trên chẩm
preoccupancy [01/,pri:'ɔkjupensi/]	[01* dtừ]\n- quyền chiếm hữu trước người khác\n- tính trạng đã bị chiếm hữu rồi
preoccupation [01/,pri:ɔkju'pei∫n/]	[01* dtừ]\n- mối bận tâm, mối lo lắng, mối ưu tư\n- thiên kiến\n- sự giữ chỗ trước, sự chiếm chỗ trước\n- việc phải làm trước (mọi việc khác) ; việc phải bận tâm
preoccupied [01/pri:'ɔkjupaid/]	[01* ttừ]\n- bận tâm, lo lắng, không thảnh thơi, không rảnh rang
preoccupy [01/pri:'ɔkjupai/]	[01* ngđtừ]\n- làm bận tâm, làm bận trí, làm lo lắng\n- chiếm trước, giữ trước
preocular [01/pri:'ɔkjulə/]	[01* dtừ]\n- (phẫu) trước mắt
preoiler [01/pri:'ɔilə/]	[01* dtừ]\n- (kỹ) dụng cụ bôi trơn sơ bộ
preoiling [01/pri:'ɔiliη/]	[01* dtừ]\n- (kỹ) sự bôi trơn sơ bộ
preopinion [01/pri:ɔ'pinjən/]	[01* dtừ]\n- thành kiến
preorbital [01/pri:'ɔ:bitl/]	[01* ttừ]\n- trước ổ mắt
preordain [01/,pri:ɔ:'dein/]	[01* ngđtừ]\n- định trước, quyết định trước, xác định trước
preordainment	- xem [03preordain] 
preordination	như [03preordainment]
preovarian [01/pri:ou'veəriən/]	[01* ttừ]\n- (phẫu) trước buồng trứng
preovulatory [01/,pri:'ɔvjulətəri/]	[01* ttừ]\n- trước khi rụng trứng
prep [01/prep/]	[01* dtừ]\n-(ngôn ngữ nhà trường),(lóng) sự soạn bài; bài soạn\n- trường dự bị
prep school [01/'prepsku:l/]	như [03preparatory school]
pre-pack [01/,pri:'pæk/]	[01* dtừ]\n- hàng đóng gói sẵn
pre-package [01/,pri:'pækidʒ/]	như [03pre-pack]
prepackaged [01/pri:'pækidʒd/]	[01* ttừ]\n- đã đóng gói trước
prepacked [01/pri:'pækt/]	[01* ttừ]\n- xem [03prepackaged] 
prepacks [01/prep/]	như [03pre-pack]
prepaid [01/'pri:'pei/]	như [03prepay]
preparable [01/pri'peərəbl/]	[01* ttừ]\n- có thể prepare
preparation [01/,prepə'rei∫n/]	[01* dtừ]\n- sự soạn, sự sửa soạn, sự chuẩn bị, sự dự bị\n- ((thường) số nhiều) các thứ sửa soạn, các thứ sắm sửa, các thứ chuẩn bị, các thứ dự bị\n[02= to make preparations for] sửa soạn, sắm sửa, chuẩn bị\n- sự soạn bài; bài soạn (của học sinh)\n- sự điều chế; sự pha chế (thuốc...) ; sự làm, sự dọn, sự hầu (cơm, thức ăn) ; chất pha chế, thuốc pha chế; thức ăn được dọn
preparative [01/pri'pærətiv/]	[01* ttừ]\n- sửa soạn, sắm sửa, chuẩn bị, dự bị\n[01* dtừ]\n- công việc sửa soạn, công việc sắm sửa, công việc chuẩn bị, công việc dự bị\n- (qsự) lệnh (trống, kèn) chuẩn bị, lệnh sẵn sàng
preparatively	- xem [03preparative] 
preparator [01/pri'pærətə/]	[01* dtừ]\n- người chuẩn bị
preparatorily	- xem [03preparatory] 
preparatory [01/pri'pærətri/]	[01* ttừ]\n- để sửa soạn, để chuẩn bị, để dự bị\n[02= preparatory to] để chuẩn bị, để sẵn sàng (làm gì)\n[02= preparatory school] trường dự bị\n[01* dtừ]\n- trường dự bị
preparatory school [01/pri'pærətri sku:l/]	[01* dtừ]\n- trường trung học cơ sở (trường tư cho học sinh từ 7 đến 13 tuổi)\n- (Mỹ) trường dự bị đại học thường là trường tư nhân
prepare [01/pri'peə/]	[01* ngđtừ]\n- sửa soạn sắm sửa, chuẩn bị, dự bị\n- soạn (bài) ; chuẩn bị cho, rèn cặp cho (ai đi thi...)\n- điều chế, pha chế (thuốc) ; làm, dọn, nấu (cơm, thức ăn)\n- (bóng) chuẩn bị tư tưởng cho (ai, để nghe một tin gì...)\n[02= he was hardly prepared for this sad news (to hear this sad news)] anh ta hầu như không được chuẩn bị tư tưởng gì để nghe tin buồn này\n[01* nđtừ]\n- (+[04 for]) sửa soạn, sắm sửa, chuẩn bị, dự bị\n[02= to prepare for an exam] chuẩn bị thi\n[02= to prepare for a journey] chuẩn bị cho một cuộc hành trình\n[04! to be prepared to]\n- sẵn sàng; vui lòng (làm gì) 
preparedly	- xem [03prepare] 
preparedness [01/pri'peəridnis/]	[01* dtừ]\n- sự sẵn sàng, sự chuẩn bị sẵn sàng\n- (qsự) sự sẵn sàng chiến đấu
preparer	như [03preparedly]
preparietal [01/pri:pə'rai itəl/]	[01* ttừ]\n- (phẫu) trước thái dương
prepatellar [01/pri:pə'telə/]	[01* ttừ]\n- (phẫu) trước bánh chè; thuộc đầu gối
prepay [01/,pri:'pei/]	[01* ngđtừ prepaid]\n- trả trước\n- trả trước (bưu phí) ; dán tem trả trước, cước phí (thư, gói hàng...) 
prepayable [01/,pri:'peiəbl/]	[01* ttừ]\n- có thể trả trước
prepayment [01/,pri:'peimənt/]	[01* dtừ]\n- sự trả trước
prepense [01/pri'pens/]	[01* ttừ]\n- cố ý, chú tâm, có suy tính trước, có mưu tính trước\n[02= of malice prepense] chủ tâm ác ý
prepensely	- xem [03prepense] 
pre-plan [01/pri:'plæn/]	[01* ngđtừ]\n- sắp đặt trước; đặt kế hoạch trước
preponderance [01/pri'pɔndərəns/]	[01* dtừ]\n- thế nặng hơn\n- thế hơn, thế trội hơn, ưu thế
preponderant [01/pri'pɔndərənt/]	[01* ttừ]\n- nặng hơn\n- trội hơn, có ưu thế, có quyền thế lớn hơn
preponderantly [01/pri'pɔndərəntli/]	[01* phtừ]\n- trội hơn (về khả năng, về số lượng) ; có ưu thế, có quyền thế lớn hơn, có ảnh hưởng lớn hơn
preponderate [01/pri'pɔndəreit/]	[01* nđtừ]\n- nặng hơn\n- (+[04 over]) trội hơn, có thế hơn, có ưu thế\n- nghiêng về một bên (cán cân) 
preponderately	- xem [03preponderate] 
preponderation	như [03preponderately]
preposition [01/,prepə'zi∫n/]	[01* dtừ]\n- (ngôn) giới từ
