picador [01/'pikədɔ:(r) /]	như [03bullfighter]
picket [01/'pikit/]	[01* dtừ]\n- cọc (rào, buộc ngựa...)\n- (qsự) đội quân cảnh ((cũng) [02picquet, piquet] )\n- ((thường) số nhiều) những người đứng gác (không cho ai vào làm trong cuộc bãi công)\n- người đứng biểu tình, người ngồi biểu tình\n[04! antiaircraft picket]\n- ban trực chiến phòng không\n[04! fire picket]\n- đội thường trực cứu hoả\n[01* ngđtừ]\n- rào bằng cọc\n- buộc vào cọc\n[02= to picket a horse] buộc ngựa vào cọc\n- đặt (người) đứng gác; đặt người đứng gác (sở, xưởng) không cho vào làm trong lúc bãi công\n[02= to picket men during a strike] đặt người đứng gác không cho ai vào làm trong một cuộc bãi công\n[02= to picket a factory] đặt người đứng gác một xưởng không cho ai vào làm trong lúc bãi công\n[01* nđtừ]\n- đứng gác không cho ai vào làm trong lúc bãi công
picketer	- xem [03picket] 
picking [01/'pikiɳ/]	[01* dtừ]\n- sự cuốc, sự đào, sự khoét\n- sự hái (hoa, quả)\n- sự mổ (thóc...)\n- sự nhặt (rau...)\n- sự nhổ (lông...)\n- sự mở, sự cạy (ổ khoá) ; sự móc túi, sự ăn cắp\n[02= picking and stealing] sự ăn cắp vặt\n- sự chọn lựa\n- (số nhiều) đồ nhặt mót được\n- (số nhiều) đồ thừa, vụn thừa\n- (số nhiều) bổng lộc; đồ thừa hưởng, tiền đãi ngoài, tiền diêm thuốc
pickings [01/'pikiη/]	[01* dtừ]\n- đồ nhặt mót được; đồ thừa, vụn thừa\n- món bở; bổng lộc, đồ thừa hưởng, tiền đãi ngoài, tiền diêm thuốc
pickle [01/'pikl/]	[01* dtừ]\n- nước giầm (như giấm, nước mắm... để giầm rau thịt...)\n- (số nhiều) rau giầm, hoa quả giầm, dưa góp\n[02= onion pickles] dưa hành giầm, hành ngâm giấm\n[02= mango pickles] xoài ngâm giấm\n[02= vegetable pickles] dưa góp\n- dung dịch axit để tẩy...\n- hoàn cảnh\n[02= to be in a sad pickle] lâm vào hoàn cảnh đáng buồn\n- đứa bé tinh nghịch\n- (Mỹ) người quạu cọ, người khó chịu\n[04! to have a rod in pickle for somebody]\n- để sẵn cái roi cho ai một trận đích đáng\n[01* ngđtừ]\n- giầm (củ cải, hành, thịt... vào giấm...)\n- (hàng hải) xát muối giấm vào (lưng ai)(sau khi đánh đòn) 
pickled [01/'pikld/]	[01* ttừ]\n- giầm, ngâm giấm, giầm nước mắm (củ cải, hành, thịt...)\n- (lóng) say rượu
picklock [01/'pikld/]	[01* dtừ]\n- thợ mở ổ khoá\n- kẻ nạy ổ khoá\n- cái nạy ổ khoá
pick-me-up [01/'pikmiʌp/]	[01* dtừ] ((tục)(như) [03pick-up]\n- đồ uống kích thích, rượu kích thích\n- (bóng) cái kích thích, cái động viên
pickpocket [01/'pik,pɔkit/]	[01* dtừ]\n- kẻ móc túi
pickthank [01/'pikθæηk/]	[01* dtừ]\n- (cổ) kẻ kịnh hót, kẻ bợ đ
pick-up [01/'pikʌp/]	[01* dtừ]\n- người quen tình cờ, người quen ngẫu nhiên\n- vật nhặt được; tin bắt được (trên làn sóng điện)\n- (tục),(như) [03pick-me-up]\n- (rađiô) cái piccơp\n- cái cảm biến\n- sự tăng tốc độ\n- (tục) sự khá hơn (về sức khoẻ, sản xuất...)\n- sự dừng lại để nhặt hàng nhặt khách; sự nhặt hàng, sự nhặt khách (xe buýt...) 
pick-up truck [01/'pikʌp trʌk/]	[01* dtừ]\n- loại xe tải nhỏ, không mui, thành thấp (cho các nhà xây dựng, nông dân dùng) 
pickwikian [01/pik'wikiən/]	[01* ttừ]\n- in a pickwikian sense(đùa) theo nghĩa riêng, theo chuyên môn, theo nghĩa nhà nghề (từ) 
picky [01/'piki/]	[01* ttừso sánh]\n- (tục) kén cá chọn canh (cầu kỳ, kiểu cách) 
picnic [01/'piknik/]	[01* dtừ]\n- cuộc đi chơi và ăn ngoài trời\n- (tục) việc thú vị, việc dễ làm, việc ngon xơi\n[02= it is no picnic] không phải là chuyện ngon xơi\n[01* nđtừ]\n- đi chơi và ăn ngoài trời
picnicker [01/'piknikə/]	[01* dtừ]\n- người đi chơi và ăn ngoài trời
picnicky	- xem [03picnic] 
pico	- Tiền tố để chỉ 10 - 12, viết tắt là p
picosec	- pico giây (một phần triệu triệu (10 - 12) của một giây) 
picosecond	như [03picosec]
picot [01/'pi:kou/]	[01* dtừ]\n- rìa răng (đăng ten) 
picotee [01/'pi:kouti:/]	[01* dtừ]\n- (thực vật) hoa cẩm chướng cánh viền
picquet [01/'pikit/]	[01* dtừ]\n- (qsự) đội quân cảnh ((cũng) [03picket] ) 
picric [01/'pikrik/]	[01* ttừ]\n- (hoá) Picric\n[02= picric acid] axit picric
picric acid [01/,pikrik'æsid/]	[01* dtừ]\n- a-xít picric (chất đắng, màu vàng dùng để nhuộm và chế tạo thuốc nổ) 
pict	- Một loại khuôn thức tệp đồ họa Macintosh, được biên soạn đầu tiên cho chương trình MacDraw
pictogram [01/'piktəgræm/]	[01* dtừ]\n- lối chữ hình vẽ, chữ tượng hình (để diễn đạt của người nguyên thuỷ) 
pictograph [01/'piktəgrɑ:f/]	[01* dtừ]\n- hình tượng (để diễn đạt)\n- lỗi chữ hình vẽ (của người nguyên thuỷ) 
pictographic [01/,piktə'græfik/]	[01* ttừ]\n- (thuộc) lối chữ hình vẽ
pictographically	- xem [03pictograph] 
pictography [01/pik'tɔgrəfi/]	[01* dtừ]\n- khoa nghiên cứu lối chữ hình vẽ
pictorial [01/,pik'tɔ:riəl/]	[01* ttừ]\n- (thuộc) tranh ảnh; diễn tả bằng tranh ảnh; có nhiều tranh ảnh\n[02= a pictorial magazine] một tờ báo ảnh\n- diễn đạt bằng hình tượng; nhiều hình ảnh; nhiều hình tượng sinh động (văn, cách mô tả...)\n[01* dtừ]\n- báo ảnh, hoạ báo
pictoriality	- xem [03pictorial] 
pictorially [01/,pik'tɔ:riəli/]	[01* phtừ]\n- bằng hình tượng, bằng tranh ảnh\n- có trành ảnh
picture [01/'pikt∫ə/]	[01* dtừ]\n- bức tranh, bức ảnh, bức vẽ\n- chân dung\n[02= to sit for one's picture] ngồi để cho vẽ chân dung\n- người giống hệt (một người khác)\n[02= she is the picture of her mother] cô ta trông giống hệt bà mẹ\n- hình ảnh hạnh phúc tương lai\n- hiện thân, điển hình\n[02= to be the (very) picture of health] là hiện thân của sự khoẻ mạnh\n- vật đẹp, cảnh đẹp, người đẹp\n[02= her dress is a picture] bộ áo của cô ta nom đẹp\n- ((thường) số nhiều) phim xi nê\n- (bóng) cảnh ngộ; sự việc\n[02= out of (not in) the picture] không hợp cảnh, không hợp thời, không phải lối\n[02= to put (keep) somebody in the picture] cho ai biết sự việc, cho ai biết diễn biến của sự việc\n[02= to come into the picture] biết sự việc, nắm được sự việc\n[01* ngđtừ]\n- về (người, vật)\n- mô tả một cách sinh động\n- hình dung tưởng tượng\n[02= to picture something to oneself] hình dung một việc gì, tưởng tượng một việc gì
picture poscard [01/'piktʃə'poustkɑ:d/]	như [03picture postcard]
picture postcard [01/'pikt∫ə'poustkɑ:d/]	[01* dtừ]\n- bưu ảnh
picture show [01/'piktʃəʃou/]	[01* dtừ]\n- (như) [03picture-palace]\n- phim xi nê
picture-book [01/'piktʃəbuk/]	[01* dtừ]\n- sách tranh, sách ảnh (cho trẻ con) 
picture-card [01/'pikt∫əkɑ:d/]	[01* dtừ]\n- quân bài có vẽ hình người (quân K, quân Q, quân J) 
picturedrome [01/'pikt∫ədroum/]	như [03picture-palace]
picture-gallery [01/'pikt∫ə,gæləri/]	[01* dtừ]\n- phòng trưng bày tranh, phòng triển lãm tranh
picture-palace [01/'pikt∫ə,pælis/]	[01* dtừ]\n- rạp chiếu bóng, rạp xi nê ((cũng) [03picture_show] ) 
picturesque [01/,piktʃə'resk/]	[01* ttừ]\n- đẹp, đẹp như tranh; đáng vẽ nên tranh (phong cảnh...)\n- sinh động; nhiều hình ảnh (văn) 
picturesquely [01/,pikt∫ə'reskli/]	[01* phtừ]\n- đẹp, gây ấn tượng mạnh\n- (ngôn) cực kỳ sinh động, phong phú; có nhiều hình ảnh (văn)\n- kỳ quặc, khác thường, lập dị (con người, hình dáng bên ngoài, phong thái) 
picturesqueness [01/,pikt∫ə'resknis/]	[01* dtừ]\n- tính đẹp, tính như tranh\n- tính sinh động; tính nhiều hình ảnh (văn) 
picture-theatre [01/'pikt∫ə,θiətə/]	như [03picture-palace]
picture-writing [01/'pikt∫ə,raitiη/]	[01* dtừ]\n- lối chữ hình vẽ
picul [01/'pikəl/]	[01* dtừ]\n- tạ Trung quốc
picul-stick [01/'pikəlstik/]	[01* dtừ]\n- đòn gánh
piddle [01/'pidl/]	[01* nđtừ]\n- (cổ) làm những chuyện dớ dẩn\n- (tục) đái, đi tè (trẻ con) 
piddling [01/'pidliη/]	[01* ttừ]\n- tầm thường, không quan trọng; nhỏ
piddock [01/'pidək/]	[01* dtừ]\n- (động vật) sò fôlat (làm mồi câu) 
pidgin [01/'pidʒin/]	[01* dtừ]\n- pidgin English tiếng Anh "bồi"\n- (tục) việc riêng (của ai)\n[02= that's not my pidgin] đó không phải là việc của tôi
pidgin english [01/'pidʒin'iηgli∫/]	[01* dtừ]\n- tiếng Anh "bồi", tiếng Anh được đơn giản hoá
pidginization	như [03pidginize]
pidginize	- xem [03pidgin] 
pi-dog [01/'paidɔg/]	như [03pie-dog]
pie [01/pai/]	[01*danh từ]\n- bánh pa-tê, bánh nướng; bánh hấp\n[02= meat pie] bánh pa-tê\n[02= jam pie] bánh nướng nhân mứt\n[02= cream pie] bánh kem\n[02= mud pie] bánh đất, bánh cát bánh bùn (trẻ con nghịch)\n- (động vật học) chim ác là\n- đống chữ in lộn xộn\n- (nghĩa bóng) sự hỗn độn, sự lộn xộn\n[04! to eat humble pie]\n- xem [03humble]\n[04! to have a finger in the pie]\n- có dính dáng đến việc ấy, có nhúng tay vào việc ấy\n[04! pie in the sky]\n- một sự kiện trong dự kiến rất khó có thể xảy ra\n[01* ngoại động từ]\n- trộn lộn xộn (chữ in)
pie chart [01/'pait∫ɑ:t/]	[01* dtừ]\n- biểu đồ tròn
piebald [01/'paibɔ:ld/]	[01* ttừ]\n- vá, khoang\n[02= a piebald horse] ngựa vá\n[02= a piebald dog] chó khoang\n- (bóng) gồm đủ giới, gồm đủ các hạng; lẫn lộn cả\n[02= a piebald assembly] một cuộc họp gồm đủ cả các giới\n[02= a piebald crowd] một đám đông đủ hạng người
piece [01/pi:s/]	[01* dtừ]\n- mảnh, mẩu, miếng, viên, cục, khúc...\n[02= a piece of paper] một mảnh giấy\n[02= a piece of wood] một mảnh gỗ\n[02= a piece of bread] một mẩu bánh mì\n[02= a piece of land] một mảnh đất\n[02= a piece of chalk] một cục phấn\n[02= to break something to pieces] đạp vỡ cái gì ra từng mảnh\n- bộ phận, mảnh rời\n[02= to take a machine to pieces] tháo rời máy ra, tháo máy thành từng mảnh rời\n- (thương nghiệp) đơn vị, cái, chiếc, tấm cuộn (vải) ; thùng (rượu...)\n[02= a piece of wine] một thùng rượu vang\n[02= a piece of wallpaper] một cuộn giấy dán tường (12 iat)\n[02= to sell by the piece] bán cả tấm, bán cả cuộn\n[02= a tea-service of fourteen pieces] một bộ trà mười bốn chiếc\n[02= a piece of furniture] một cái đồ gỗ (bàn, tủ, giường...)\n- bức (tranh) ; bài (thơ) ; bản (nhạc) ; vở (kịch)\n[02= a piece of painting] một bức tranh\n[02= a piece of music] một bản nhạc\n[02= a piece of poetry] một bài thơ\n- khẩu súng, khẩu pháo; nòng pháo\n[02= a battery of four pieces] một cụm pháo gồm bốn khẩu\n- quân cờ\n- cái việc, lời, dịp...\n[02= a piece of folly] một việc làm dại dột\n[02= a piece of one's mind] một lời nói thật\n[02= a piece of impudence] một hành động láo xược\n[02= a piece of advice] một lời khuyên\n[02= a piece of good luck] một dịp may\n- đồng tiền\n[02= crown piece] đồng cu-ron\n[02= penny piece] đồng penni\n[02= piece of eight] đồng pơzô (Tây ban nha)\n- (Mỹ) nhạc khí\n- (lóng) con bé, thị mẹt\n[02= a pretty piece] con bé kháu, con bé xinh xinh\n[02= a saucy piece] con ranh hỗn xược\n[04! to be all of a piece]\n- cùng một giuộc; cùng một loại\n[04! to be of a piece with]\n- cùng một giuộc với; cùng một loại với\n[04! to be paid by the piece]\n- được trả lương theo sản phẩm\n[04! to go to pieces]\n- xem [03go]\n[04! in pieces]\n- vở từng mảnh\n[04! to pull (tear) something to pieces]\n- xé nát vật gì\n[04! to pull someone to pieces]\n- phê bình ai tơi bời, đập ai tơi bời\n[01* ngđtừ]\n- chấp lại thành khối, ráp lại thành khối\n- nối (chỉ)(lúc quay sợi)\n[01* nđtừ]\n- (Mỹ),(tiếng địa phương) ăn vặt, ăn quà\n[04! to piece on]\n- chắp vào, ráp vào\n[02= to piece something on to another] chắp vật gì vào một vật khác\n[04! to piece out]\n- thêm vào, thêm thắt vào\n- chắp lại thành, đúc kết thành (câu chuyện, lý thuyết)\n[04! to piece together]\n- chắp lại với nhau, ráp lại vào nhau\n[04! to piece up]\n- vá
piece-goods [01/'pi:sgudz/]	[01* dtừ]\n- tấm hàng dệt (vải, lụa...) 
piecemeal [01/'pi:smi:l/]	[01* phtừ]\n- từng cái, từng chiếc, từng mảnh, từng phần; dần dần\n[02= work done piecemeal] công việc làm dần, công việc làm từng phần\n[01* ttừ]\n- từng cái, từng mảnh, từng phần; làm từng phần, làm dần dần
piecer [01/'pi:sə/]	[01* dtừ]\n- người nối chỉ (lúc quay sợi) 
piecewise	- từng mẩu
piecework [01/'pi:swɔ:k/]	[01* dtừ]\n- công việc trả lương theo số lượng sản phẩm làm ra (chứ không phải theo giờ) ; việc khoán
piece-work [01/'pi:swə:k/]	[01* dtừ]\n- công việc trả theo lối lượng sản phẩm
pieceworker [01/'pi:s,wə:kə/]	[01* dtừ]\n- người làm công việc ăn lương theo sản phẩm, người hưởng lương khoán sản phẩm
piece-worker [01/'pi:s,wə:kə/]	[01* dtừ]\n- công việc trả theo khối lượng sản phẩm
piecrust [01/'paikrʌst/]	[01* dtừ]\n- vỏ bánh pa-tê, vỏ bánh nướng\n[04! promises are like piecrust, made to the broken]\n- lời hứa vốn sinh ra là để không được thực hiện
pied [01/paid/]	[01* ttừ]\n- lẫn màu, pha nhiều màu\n- khoang (chó), vá (ngựa) 
pied à terre [01/,pjeidɑ:'teə(r) /]	[01* dtừ]\n- chỗ tạm dừng, chỗ tạm tr
pie-dog [01/'paidɔg/]	[01* dtừ]\n- (Anh-Ân) chó hoang
pie-eyed [01/'pai aid/]	[01* ttừ]\n- (tục) say rượu
pieman [01/'paimæn/]	[01* dtừ]\n- người bán bánh ba-tê, người bán bánh nướng nhân ngọt
pier [01/piə(r) /]	[01* dtừ]\n- bến tàu (nhô ra ngoài) ; cầu tàu\n- đạp ngăn sóng (ở hải cảng)\n- cầu dạo chơi (chạy ra biển)\n- chân cầu\n- (kiến trúc) trụ, cột trụ; trụ giữa hai cửa s
pierage [01/'piəridʒ/]	[01* dtừ]\n- thuế bến, thuế cầu tàu
pierce [01/piəs/]	[01* ngđtừ]\n- đâm, chọc, chích, xuyên (bằng gai, bằng ghim...)\n- khoét lỗ, khui lỗ (thùng rượu...) ; xỏ lỗ (tai...)\n- chọc thủng, xông qua, xuyên qua\n[02= to pierce the lines of the enemy] chọc thủng phòng tuyến địch, xông qua phòng tuyến địch\n- (bóng) xuyên thấu, xoi mói (cái nhìn...), làm buốt thấu (rét...) ; làm nhức buốt, làm nhức nhối (đau...) ; làm nhức óc (tiếng thét...)\n[01* nđtừ]\n- (+[04 through, into]) xuyên qua, chọc qua, xuyên vào, chọc vào
piercer [01/piəsə/]	[01* dtừ]\n- (kỹ) cái đột lỗ, mũi đột, mũi khoan, giùi
piercing [01/'piəsiη/]	[01* ttừ]\n- nhọc sắc\n- xoi mói (cái nhìn) ; buốt thấu xương (lạnh) ; nhức nhối (đau...) ; nhức óc (tiếng la thét) ; sắc sảo, sâu sắc (cách nhận định) ; châm chọc (lời nhận xét) 
piercingly [01/'piəsiηli/]	[01* phtừ]\n- nhọn, sắc (dụng cụ nhọn)\n- the thé, lanh lảnh (giọng nói, âm thanh) ; rét buốt (gió, cái lạnh) ; nhức nhối (vết thương...) ; sâu sắc (cách nhận định) 
pier-glass [01/'piəglɑ:s/]	[01* dtừ]\n- gương lớn (soi cả người, thường đặt ở trụ giữa hai cửa sổ) 
pierrette [01/'piərou/]	như [03pierrot]
pierrot [01/'piərou/]	[01* dtừ (dtừ giống cái] [03pierrette])\n- vai hề kịch câm\n- nghệ sĩ hát rong
pietism [01/'paiətizəm/]	[01* dtừ]\n- lòng mộ đạo, lòng ngoan đạo quá đáng; sự làm ra vẻ ngoan đạo
pietist [01/'paiətist/]	[01* dtừ]\n- người mộ đạo, người ngoan đạo quá đáng; người làm ra vẻ ngoan đạo
pietistic	như [03pietistically]
pietistical	như [03pietistically]
pietistically	- xem [03pietism] 
piety [01/'paiəti/]	[01* dtừ]\n- lòng mộ đạo\n- lòng hiếu thảo; lòng trung thành với tổ quốc\n[02= filiat piety] lòng hiếu thảo của con đối với cha mẹ
piezochemistry [01/,pi:,eizou'kemistri/]	[01* dtừ]\n- (hoá) hoá áp, áp hoá học
piezoelectric [01/,pi:,eizoui'leitrik/]	[01* ttừ]\n- áp điện\n[02= piezoelectric constant] hằng số áp điện
piezoelectrical	- xem [03piezoelectricity] 
piezoelectrically	như [03piezoelectrical]
piezoelectricity [01/,pi:,eizoui'lektrikiti/]	[01* dtừ]\n- hiện tượng áp điện\n- áp điện học
piezometer [01/,pi:,eiə'zɔmitə/]	[01* dtừ]\n- cái đo áp suất
piezometric	như [03piezometry]
piezometry	- xem [03piezometer] 
pif	- tệp thông tin chương trình trong Windows
piffle [01/'pifl/]	[01* dtừ]\n- (lóng) chuyện nhảm nhí, chuyện tào lao, chuyện dớ dẩn\n[02= to talk piffle] nói nhảm nhí, nói tào lao\n[01* nđtừ]\n- nói nhảm nhí, nói tào lao\n- làm những việc nhảm nhí, làm những việc tào lao
piffler [01/'piflə/]	[01* dtừ]\n- người hay nói nhảm nhí, người hay nói tào lao\n- người hay làm chuyện nhảm nhí, người hay làm chuyện tào lao
piffling [01/'pifliη/]	[01* ttừ]\n- nhảm nhí, tào lao\n- lặt vặt, nhỏ mọn
pig [01/pig/]	[01* dtừ]\n- lợn heo\n- thịt lợn; thịt lợn sữa\n[02= roast pig] thịt lợn quay\n- (tục) người phàm ăn; người bẩn thỉu; người khó chịu; người thô tục; người quạu cọ\n- thoi kim loại (chủ yếu là gang)\n- khoanh cam\n- (Mỹ),(lóng) cảnh sát; mật thám, chỉ điểm, cớm\n[04! to buy a pig in a poke]\n- mua vật gì mà không được trông thấy (biết) rõ, mua trâu vẽ bóng\n[04! to bring one's pigs to a fine (a pretty the wrong) market]\n- làm ăn thất bại\n[04! to make a pig of oneself]\n- ăn phàm, ăn tham, ăn uống thô tục như lợn\n[04! pigs might fly]\n- biết đâu lại chẳng có chuyện thần kỳ xảy ra\n[04! please the pigs]\n-(đùa) lạy trời!, lạy chúa tôi!\n[01* ngđtừ]\n- đẻ (lợn)\n[01* nđtừ]\n- đẻ con (lợn)\n- ở bẩn lúc nhúc như lợn\n[04! to pig it]\n- ở bẩn lúc nhúc như lợn
pigeon [01/'pidʒin/]	[01* dtừ]\n- chim bồ câu\n- người ngốc nghếch, người dễ bị lừa\n[02= to pluck a pigeon] "vặt lông" một anh ngốc\n[04! clay pigeon]\n- đĩa (bằng đất sét) ném tung lên để tập bắn\n[01* ngđtừ]\n- lừa, lừa gạt\n[02= to pigeon someone of a thing] lừa ai lấy vật gì
pigeon english [01/'pidʒin'iηgli∫/]	[01* dtừ]\n- tiếng Anh "bồi" ((cũng) [03pidgin English] ) 
pigeon-breast [01/'pidʒinbrest/]	[01* dtừ]\n- ngực nhô ra (như ức bồ câu) 
pigeon-breasted [01/'pidʒin,brestid/]	[01* ttừ]\n- có ngực nhô ra (như ức bồ câu) 
pigeongram [01/'pidʒingræm/]	[01* dtừ]\n- tin (thư) do chim bồ câu đưa đi
pigeon-hearted [01/'pidʒin'hɑ:tid/]	[01* ttừ]\n- nhút nhát, sợ sệt
pigeon-hole [01/'pidʒinhoul/]	[01* dtừ]\n- lỗ chuồng chim bồ câu\n- ngăn kéo, hộc tủ\n[01* ngđtừ]\n- để vào ngăn kéo, xếp vào ngăn kéo\n- xếp xó, gác lại\n[02= to pigeon-hole a question] gác một vấn đề lại, xếp xó một vấn đề\n- xếp xó trong trí nh
pigeon-house [01/'pidʒinhaus/]	[01* dtừ]\n- chuồng bồ câu
pigeon-pair [01/'pidʒinpeə/]	[01* dtừ]\n- cặp trai gái sinh đôi\n- một trai một gái (hai đứa con độc nhất của một gia đình) 
pigeonry [01/'pidʤinri/]	như [03pigeon-house]
pigeon's milk [01/'pidʒinz'milk/]	[01* dtừ]\n- sữa bồ câu (chất nhuyễn trắng như sữa, bồ câu mớm cho con) 
pigeon-toed [01/'pidʒintoud/]	[01* ttừ]\n- có ngón chân quặp vào (như chân bồ câu) 
pig-farming [01/'pigfa:miη/]	[01* dtừ]\n- nghề nuôi lợn
piggery [01/'pigəri/]	[01* dtừ]\n- trại nuôi lợn\n- chuồng lợn\n- chỗ ở bẩn thỉu\n- tính phàm ăn; tính bẩn thỉu; tính khó chịu; tính quạu cọ (như lợn) 
piggish [01/'pigi∫/]	[01* ttừ]\n- (thuộc) lợn; như lợn\n- phàm ăn; bẩn thỉu; khó chịu; thô tục, quạu cọ (như lợn) 
piggishly [01/'pigi∫li/]	[01* phtừ]\n- giống như lợn\n- tham lam, bẩn thỉu, bừa bãi như lợn
piggishness [01/'pigi∫nis/]	[01* dtừ]\n- tính phàm ăn; tính bẩn thỉu; tính khó chịu; tính thô tục, tính quạu cọ (như lợn) 
piggy [01/'pigi/]	[01* dtừ]\n- con lợn con\n- trò chơi đánh khăng
piggy bank [01/'pigibæηk/]	[01* dtừ]\n- con lợn bỏ ống, con heo đất, ống heo (để bỏ tiền) 
piggyback [01/'pigibæk/]	[01* phtừ]\n- địu, cõng, vác, đội (trên lưng, trên vai)\n[01* dtừ]\n- cưỡi trên lưng một người nào đó
piggybank	như [03piggy bank]
