tensional [01/'ten∫nəl/]	[01* ttừ]\n- căng\n[02= tensional force] lực căng
terms [01/'tə:mz/]	[01* dtừ]\n- điều khoản, điều kiện đề nghị, điều kiện được chấp nhận\n- giá; điều kiện (cách thanh toán đề nghị hoặc đòi hỏi)\n- quan hệ, sự giao thiệp, sự giao hảo, sự đi lại\n- lời lẽ, ngôn ngữ
term-time [01/'tə:mtaim/]	[01* dtừ]\n- kì học; học kì\n- phiên (toà) 
tern [01/tə:n/]	[01* dtừ]\n- (động vật) nhạn biển ((như) [03tarn] )\n- bộ ba\n- bộ ba số đều trúng (trong xổ số)\n[01* ttừ]\n- (như) [03ternate] 
ternary [01/'tə:nəri/]	[01* ttừ]\n- (toán) tam phân; tam nguyên\n[02= a ternary numeration] phép đếm tam phân\n[02= ternary cubic form] dạng cubic tam phân\n- bậc ba\n- (hoá) gồm ba yếu tố, ba
ternate [01/'tə:neit/]	[01* ttừ]\n- (thực vật) chụm ba (lá)((cũng) [03tern] ) 
terne-plate [01/'tə:npleit/]	[01* dtừ]\n- sắt tây không bóng
ternion [01/'tə:niən/]	[01* dtừ]\n- bộ ba\n- (in) trang giấy gấp ba
terpsichore [01/tə:p'sikəri/]	[01* dtừ]\n- (thần thoại) nữ thần ca múa
terpsichorean [01/,tə:psikə'ri:ən/]	[01* ttừ]\n- (thuộc) nữ thần ca múa; (thuộc) ca múa
terra [01/'terə/]	[01* dtừ]\n- đất\n[02= terra firma] đất liền; lục địa
terra alba [01/'terə'ælbə/]	[01* dtừ]\n- thạch cao; oxyt magiê; cao lanh
terra firma [01/,terə'fə:mə/]	[01* dtừ]\n- đất liền (trái với biển) 
terra incognita [01/'terə in'kɔgnitə/]	[01* dtừ]\n- vùng đất đai chưa ai biết tới, vùng đất đai chưa khai khẩn\n- (bóng) lĩnh vực (khoa học...) chưa ai biết đến, lĩnh vực chưa khai thác
terrace [01/'terəs/]	[01* dtừ]\n- nền đất cao, chỗ đất đắp cao\n- (kiến trúc) mái bằng, sân thượng; sân hiên\n- dãy nhà\n- (địa) thềm\n[01* ngđtừ]\n- đắp cao thàn nền, đắp cao
terraced house [01/'terəst haus/]	[01* dtừ]\n- cũng [03terrace house], ngôi nhà trong dãy nhà (cùng kiểu), nhà liên kế
terracotta [01/,terə'kɔtə/]	[01* dtừ]\n- đất nung, sành\n- đồ bằng đất nung, đồ sành\n- màu đất nung, màu sành\n- (định ngữ) bằng đất nung, bằng sành
terrain [01/'terein/]	[01* dtừ]\n- (qsự),(địa) địa thế, địa hình địa vật
terraine [01/te'rein/]	[01* dtừ]\n- (địa lý) chùm vỉa
terraneous [01/te'reinəs/]	[01* ttừ]\n- (thực vật) mọc ở cạn
terrapin [01/'terəpin/]	[01* dtừ]\n- rùa nước ngọt (ở Bắc Mỹ) 
terraqueous [01/te'reikwiəs/]	[01* ttừ]\n- gồm đất và nước (doi đất...) 
terrarium [01/tə'reərium/]	[01* dtừ] s/n [02terrariums, terraria]\n- khu bảo tồn động vật\n- nhà kiếng, vườm ươm thực vật
terrazzo [01/te'rætsəʊ/]	[01* dtừ] s/n [02terrazzos]\n- sàn nhà lót đá mài, gạch đá mài, sự làm đá mài, sàn nhà
terrene [01/teri:n/]	[01* ttừ]\n- có tính chất đất\n- (thuộc) đất; (thuộc) trái đất\n- (động vật) ở cạn, sống trên mặt đất
terrestrial [01/tə'restriəl/]	[01* ttừ]\n- (thuộc) đất, (thuộc) trái đất\n- ở trên mặt đất, ở thế gian\n- (động vật) ở cạn, sống trên mặt đất
terret [01/'terit/]	[01* dtừ]\n- vòng; vành; vòng dây
terrible [01/'terəbl/]	[01* ttừ]\n- dễ sợ, ghê gớm, khủng khiếp\n[02= a terrible death] cái chết khủng khiếp\n- (tục) quá chừng, thậm tệ\n[02= a terrible gossip] người hay ngồi lê đôi mách quá chừng
terribly [01/'terəbli/]	[01* phtừ]\n- rất tệ; không chịu nổi; quá chừng\n- (tục) rất; thực sự
terricole [01/'terikoul/]	[01* dtừ]\n- động vật sống trên cạn\n[01* ttừ]\n- sống (mọc) trên cạn (động thực vật) 
terricolous [01/te'rikələs/]	[01* ttừ]\n- (động vật) sống trong đất, sống ở đất
terrier [01/'teriə/]	[01* dtừ]\n- chó sục (loại chó săn chuyên sục hang bụi)\n- (qsự),(lóng) quân địa phương
terrific [01/tə'rifik/]	[01* ttừ]\n- khủng khiếp, kinh khủng\n- (tục) hết mức; cực kỳ lớn
terrifically [01/tə'rifikli/]	[01* phtừ]\n- (tục) cực kỳ; hết sức; rất
terrified [01/'terifaid/]	[01* ttừ]\n- cảm thấy khiếp sợ, rất kinh hãi
terrify [01/'terifai/]	[01* ngđtừ]\n- làm khiếp sợ, làm kinh hãi
terrine [01/'teri:n/]	[01* dtừ]\n- liễn sành; chậu đất trồng cây
territorial [01/,terə'tɔ:riəl/]	[01* ttừ]\n- (thuộc) đất đai, (thuộc) địa hạt, (thuộc) lãnh thổ\n[02= territorial tax] thuế đất\n[02= territorial right] quyền lãnh thổ\n[02= territorial integrity] sự toàn vẹn lãnh thổ\n- (thuộc) khu vực, (thuộc) vùng, (thuộc) miền\n- (Territorial)(Mỹ)(thuộc) hạt (vùng chưa được hưởng những quyền lợi như một bang)\n- (qsự)(thuộc) quân địa phương\n[02= Territorial Army] quân địa phương\n[01* dtừ]\n- quân địa phương
territorial army [01/,terə'tɔ:riəl/]	[01* dtừ]\n- (Territorial Army) quân địa phương (lực lượng (qsự) gồm những người tình nguyện dành một phần thời để tập luyện bảo vệ nước Anh) 
territorial waters [01/,terə'tɔ:riə'wɔ:təz/]	[01* dtừ]\n- lãnh hải (vùng biển gần bờ của một nước và thuộc quyền kiểm soát của nước đó) 
territorially [01/,terə'tɔ:riəli/]	[01* phtừ]\n- theo khu vực
territory [01/'terətri/]	[01* dtừ]\n- đất đai, địa hạt, lãnh thổ\n- khu vực, vùng, miền\n- (Territory)(Mỹ) hạt (vùng chưa được hưởng những quyền lợi như một bang) 
terror [01/'terə/]	[01* dtừ]\n- sự kinh hãi, sự khiếp sợ\n[02= to be in terror] khiếp đảm, kinh hãi\n[02= to have a holy terror of something] sợ cái gì chết khiếp\n- vật làm khiếp sợ, người làm khiếp sợ; mối kinh hãi, nỗi khiếp sợ\n[02= to be a terror to...] làm một mối kinh hãi đối với...\n- sự khủng bố\n[02= white terror] sự khủng bố trắng
terrorisation [01/,terərai'zei∫n/]	như [03terrorization]
terrorise [01/'terəraiz/]	[01* ngđtừ]\n- làm cho khiếp sợ, khủng bố\n- hăm doạ, đe doạ (bằng bạo lực)\n[01* nđtừ]\n- trở nên khiếp sợ
terrorism [01/'terərizəm/]	[01* dtừ]\n- chính sách khủng bố
terrorist [01/'terərist/]	[01* dtừ]\n- người khủng bố, người dùng chính sách khủng bố\n[01* ttừ]\n- khủng bố\n[02= terrorist raid] cuộc càn khủng bố
terrorization [01/,terərai'zei∫n/]	[01* dtừ]\n- sự làm khiếp sợ, sự khủng bố
terrorize [01/'terəraiz/]	[01* ngđtừ]\n- làm khiếp sợ, khủng bố
terror-stricken [01/'terə'strikən/]	như [03terror-struck]
terror-struck [01/'terə'strʌk/]	[01* ttừ]\n- khiếp sợ, kinh hãi
terry [01/'teri/]	[01* dtừ]\n- vải bông, vải bông xù (dùng làm khăn tắm, khăn mặt) 
terrylene [01/'terəli:n/]	[01* dtừ]\n-(vải làm bằng một) loại sợi tổng hợp
terse [01/tə:s/]	[01* ttừ]\n- ngắn gọn; súc tích (văn) 
terseness [01/'tə:snis/]	[01* dtừ]\n- tính chất ngắn gọn; tính chất súc tích (văn) 
tertian [01/'tə:∫n/]	[01* ttừ]\n- cách nhật\n[02= tertian fever] sốt cách nhật\n[01* dtừ]\n- (y) sốt cách nhật
tertiary [01/'tə:∫əri/]	[01* ttừ]\n- thứ ba\n- (Tertiary)(địa)(thuộc) kỷ thứ ba\n[01* dtừ]\n- (Tertiary)(địa) kỷ thứ ba
tervalent [01/'tɜ:vələnt/]	[01* ttừ]\n- có hoá trị ba, thuộc hoá trị ba
terylene [01/'terəli:n/]	- danh tứ\n- loại sợi tổng hợp; vải làm bằng một loại sợi tổng hợp
tesl [01/,ti: i: es 'el ; 'tesl/]	[01* (vt)]\n- việc dạy tiếng Anh như là một ngôn ngữ thứ hai ([03Teaching English as a Second Language] ) 
tesla [01/'teslə/]	[01* dtừ]\n- đơn vị đo từ thông, đơn vị từ thông, đơn vị tét-la
tessellate [01/'tesəleit/]	[01* ngđtừ]\n- khảm; lát đá hao nhiều màu
tessellated [01/'tesəleitid/]	[01* ttừ]\n- khảm; lát đá hoa nhiều màu
tessellation [01/,tesə'lei∫n/]	[01* dtừ]\n- sự khảm; sự lát đá hoa nhiều màu
tessera [01/'tesərə/]	[01* dtừ] s/n [02tesserae, tesseri]\n- vật để khảm, đá để cẩn, vật liệu dùng để lắp ghép, các khối lắp ghép
tessitura [01/,tesi'tu:rə/]	[01* dtừ]\n- (âm nhạc) cữ âm
test [01/test/]	[01* dtừ]\n- (động vật) vỏ (tôm, cua) ; mai (rùa)\n- sự thử thách\n[02= to put on test] đem thử thách\n[02= to stand the test] chịu thử thách\n- sự thử, sự làm thử\n[02= test bench] giá để thử xe\n- sự sát hạch; bài kiểm tra\n[02= a test in arithmetic] một bài kiểm tra số học\n- (hoá) thuốc thử\n- (bóng) vật để thử, đá thử vàng, tiêu chuẩn, cái để đánh gía\n[01* ngđtừ]\n- thử thách\n[02= to test someone's endurance] thử thách sức chịu đựng của ai\n- thử; kiểm tra\n[02= to test a machine] thử một cái máy\n[02= to test out a scheme] thử áp dụng một kế hoạch\n[02= the doctor tested my eyesight] bác sĩ kiểm tra mắt tôi\n[02= to test a poison] thử một chất độc\n- (hoá) thử bằng thuốc thử\n- phân tích\n[02= to test ore for gold] phân tích quặng tìm vàng
test case [01/'test'keis/]	[01* dtừ]\n- ca/vụ án chuẩn (vụ án hoặc trình tự tố tụng khác cung cấp được một quyết định có thể áp dụng để giải quyết những trường hợp tương tự trong tương lai) 
test drive [01/'test'draiv/]	[01* dtừ]\n- sự chạy thử (chiếc xe định mua)\n[01* ngđtừdrove, driven]\n- cho (xe) chạy thử
test match [01/'test'mæt∫/]	[01* dtừ]\n- trận đấu thể nghiệm (để chuẩn bị đi thi đấu trong môn cricket, bóng bầu dục) 
test pilot [01/'test'pailət/]	[01* dtừ]\n- phi công lái máy bay bay thử
test run [01/'testrʌn/]	[01* dtừ]\n- sự chạy thử; (kỹ) chế độ thử nghiệm
testa [01/'testə/]	[01* dtừ] s/n [02testae, testi]\n- vỏ ngoài của hạt, vỏ hột (trái cây, ngũ cốc) 
testable [01/'testəbl/]	[01* ttừ]\n- có thể thử được\n- (pháp lý) có thể để lại, có thể truyền cho, có thể di tặng\n- (pháp lý) có thể làm chứng
testaceous [01/tes'tei∫əs/]	[01* ttừ]\n- (thuộc) vỏ; (thuộc) mai\n- có vỏ cứng, có mai cứng\n[02= testaceous mollusc] động vật thân mềm có vỏ cứng\n- (động vật) ; (thực vật) có màu nâu gạch
testacious [01/tes'tei∫əs/]	như [03testaceous]
testacy [01/'testəsi/]	[01* dtừ]\n- (pháp lý) tình hình có di chúc
testae [01/'testi:/]	- số nhiều của [03testa]
testament [01/'testəmənt/]	[01* dtừ]\n- lời di chúc, chúc thư\n[02= to make one'stestament] làm di chúc\n- (Testament) kinh thánh\n[02= the Old Testament] kinh Cựu ước\n[02= the New Testament] kinh Tân ước
testamentary [01/,testə'mentri/]	[01* ttừ]\n- (thuộc) lời di chúc, (thuộc) chúc thư\n[02= testamentary right] quyền di chúc\n- làm theo lời di chúc, làm theo chúc thư\n- để lại bằng di chúc, để lại bằng chúc thư
testate [01/'testeit/]	[01* ttừ]\n- có làm di chúc, có làm chúc thư, có thể di chúc lại\n[02= to die testate] chết có để di chúc lại
testation [01/tes'tei∫n/]	[01* ttừ]\n- sự làm di chúc, sự làm chúc thư
testator [01/te'steitə/]	[01* dtừ]\n- người làm di chúc, người làm chúc thư, người để di chúc lại
testatrices [01/tes'teitriks/]	như [03testatrix]
testatrix [01/te'steitriks/]	[01* dtừ] s/n [03testatrices]\n- người đàn bà làm di chúc
teste [01/'testi/]	[01* dtừ]\n- (pháp lý) người làm chứng
tester [01/'testə/]	[01* dtừ]\n- người thử; máy thử\n- màn (treo trên giường, trên chỗ ngồi)\n[02= tester bed] giường có màn treo
testes [01/'testi:z/]	như [03testis]
testicle [01/'testikl/]	[01* dtừ]\n- (phẫu) hòn dái
testicular [01/tes'tikjulə/]	[01* ttừ]\n- (phẫu)(thuộc) hòn dái
testiculate [01/tes'tikjulə/]	[01* ttừ]\n- (sinh vật) hình hòn dái
testification [01/,testifi'kei∫n/]	[01* dtừ]\n- sự chứng tỏ, sự chứng minh, sự chưng thực\n- sự làm chứng
testificator [01/'testifikeitə/]	[01* dtừ]\n- (pháp lý) người làm chứng; người chứng nhận
testifier [01/'testifaiə/]	[01* dtừ]\n- người làm chứng, người chứng nhận
testify [01/'testifai/]	[01* ngđtừ]\n- chứng tỏ, tỏ ra, biểu lộ, chứng thực\n[02= hes tears testified her grief] những giọt nước mắt biểu lộ nỗi đau buồn của cô ta\n- chứng nhận, xác nhận\n[01* nđtừ]\n- (pháp lý) khai, làm chứng, chứng nhân\n[02= to testify against] làm chứng chống, làm chứng buộc tội
testily [01/'testili/]	[01* phtừ]\n- dễ bực mình, hay gắt gỏng
testimonial [01/,testi'mounjəl/]	[01* dtừ]\n- giấy chứng nhận, giấy chứng thực\n- quà tặng, vật tặng (để tỏ lòng kính mến, biết ơn...) 
testimony [01/'testiməni/]	[01* dtừ]\n- sự chứng nhận, sự nhận thực; lới chứng, lời khai\n[02= to bear testimony to] nhận thực cho, chứng nhận cho\n[02= in testimony of] để làm chứng cho\n- bằng chứng, chứng cớ\n[02= false testimony] bằng chứng giả mạo
testiness [01/'testinis/]	[01* dtừ]\n- tính hay hờn giận, tính hay giận dỗi, tính hay gắt\n- tính dễ bị động lòng, tính dễ bị phật ý
testing [01/'testiη/]	[01* dtừ]\n- sự thử; sự nghiên cứu
testis [01/'testis/]	[01* dtừ]\n- (phẫu) tinh hoàn
testosterone [01/te'stɒstərəʊn/]	[01* dtừ]\n- kích thích tố sinh dục nam
test-paper [01/'test'peipə/]	[01* dtừ]\n- (hoá) giấy thử
test-tube [01/'test'tju:b/]	[01* dtừ]\n- (hoá) ống thử\n[04! test-tube baby]\n- đứa bé thụ tinh nhân tạo
test-tube baby [01/'test'tju:b'beibi/]	[01* dtừ]\n- đứa bé được ra đời bằng thụ tinh nhân tạo hoặc phát triển ở đâu đó ngoài cơ thể người mẹ
testudinate [01/tes'tju:dinit/]	[01* ttừ]\n- khum khum như mai rùa
testudineous [01/,testju'diniəs/]	[01* ttừ]\n- như mai rùa
testy [01/'testi/]	[01* ttừ]\n- hay hờn giận, hay giận dỗi, hay cáu kỉnh, hay gắt\n- dễ bị động lòng, dễ bị phật ý
tetanic [01/ti'tænik/]	[01* ttừ]\n- (y)(thuộc) bệnh uốn ván
tetanus [01/'tetənəs/]	[01* dtừ]\n-(y) bệnh uốn ván
tetchily [01/'tet∫ili/]	[01* phtừ]\n- hay bực mình; hay cáu kỉnh, hay càu nhàu
tetchiness [01/'tet∫inis/]	[01* dtừ]\n- tính hay bực mình; tính dễ bực mình\n- tính hay sốt ruột
