chucklingly	78-16766-B
circumflous	80-1270-B
circumfluent	80-1367-B
circumfuse	80-1441-B
circumfusion	80-1574-B
circumgyrate	80-1721-B
circumgyration	80-1802-B
circumjacent	80-1896-B
circumlittoral	80-1980-B
circumlocution	80-2051-B
circumlocutorily	80-2198-B
circumlocutory	80-2241-B
circumlunar	80-2459-B
circumnavigate	80-2533-B
circumnavigation	80-2650-B
circumnavigator	80-2757-B
circumneural	80-2799-B
circumnuclear	80-2869-B
circumnutate	80-2940-B
circumnutation	80-3046-B
circumoral	80-3141-B
circumpolar	80-3204-B
circumscissle	80-3437-B
circumscribable	80-3516-B
circumscribe	80-3555-B
circumscriber	80-3857-B
circumscription	80-3895-B
circumscriptive	80-4194-B
circumscriptively	80-4237-B
circumsision	80-4280-B
circumsolar	80-4443-B
circumspect	80-4539-B
circumspection	80-4602-B
circumspectly	80-4666-B
circumspectness	80-4744-B
circumsphere	80-4819-B
circumstance	80-4861-B
circumstantial	80-6021-B
circumstantiality	80-6444-B
circumstantially	80-6542-B
circumstantiate	80-6645-B
circumstantiation	80-6796-B
circumstellar	80-6841-B
circumvallate	80-6920-B
circumvallation	80-7044-B
circumvascular	80-7175-B
circumvent	80-7258-B
circumventer	80-7424-B
circumvention	80-7460-B
circumventive	80-7642-B
circumventor	80-7678-B
circumvolution	80-7714-B
circus	80-7910-B
circusy	80-8138-B
cirele	80-8164-B,367-20257-S
cirque	80-8251-B
cirrate	80-8353-B
cirrhosis	80-8433-B
cirrhotic	80-8493-B
cirri	80-8524-B
cirriferous	80-8560-B
cirriform	80-8669-B
cirriped	80-8747-B
cirripede	80-8790-B
cirro cumulus	80-8863-B
cirro stratus	80-9071-B
cirrose	80-8931-B
cirrous	80-9139-B
cirrus	80-9178-B
cisalpine	80-9310-B
cisatlantic	80-9383-B
cisc	80-9474-B,80-9522-B
cislunar	80-9634-B
cissoid	80-9790-B
cissy	80-9854-B
cist	80-9939-B
cistercian	80-10050-B
cistern	80-10145-B
cisterna	80-10362-B
cisternal	80-10494-B
cistron	80-10523-B
cit	80-10626-B,272-23463-S,314-3503-S
citable	80-10821-B
citadel	80-10845-B
citation	80-11037-B,291-29149-S
citational	80-11249-B
citato	273-1523-S
citatory	80-11278-B
cite	80-11307-B
cited	2-14165-S
cithara	80-11571-B
cither	80-11643-B
citified	80-11697-B
citizen	80-11798-B,174-14479-S,412-9804-S
citizen s arrest	80-12138-B
citizen s radio band	80-12311-B
citizenly	80-12043-B
citizenry	80-12072-B
citizens band	80-12206-B
citizenship	80-12365-B,141-18635-S,174-14542-S
citral	80-12481-B
citrate	80-12533-B
citric	80-12610-B
citric acid	80-12691-B
citriculture	80-12736-B
citrine	80-12820-B
citron	80-12906-B
citronella	80-13043-B
citrous	80-13128-B
citrus	80-13233-B
city	80-13303-B,196-6734-S,223-17296-S,243-20316-S,243-21299-S,314-10705-S
city company	80-13917-B
city editor	80-14061-B
city father	80-14286-B
city hall	80-14237-B,80-14416-B
city manager	80-14530-B
city planning	80-14646-B
city scape	80-14747-B
city state	80-14867-B
civet	80-14894-B
civic	80-15010-B
civics	80-15194-B
civies	80-15291-B
civil	80-15344-B
civil administration	80-16132-B
civil code	80-16212-B
civil commotion	80-16279-B
civil death	80-16407-B
civil defence	80-16505-B
civil disobedience	80-16756-B
civil engineer	80-16883-B
civil engineering	80-17043-B
civil law	80-17244-B,80-19357-B
civil marriage	80-17319-B
civil rights	80-17406-B
civil servant	80-17604-B
civil service	80-17668-B
civil spoken	80-19463-B
civil war	80-17833-B
civilian	80-17888-B,239-16303-S,239-16876-S
civilianization	80-18119-B
civilianize	80-18158-B
civilisation	80-18223-B
civilise	80-18410-B
civilised	80-18575-B
civility	80-18695-B
civilizable	80-18770-B
civilization	80-18867-B
civilize	80-19126-B
civilized	80-19170-B,411-9449-S
civilizer	80-19262-B
civilly	80-19399-B
civvies	80-19575-B
civvy	80-19843-B
civy	80-19875-B
cjd	80-20201-B
cl	80-20249-B
clachan	80-20474-B
clack	80-20550-B
clack dish	80-21032-B
clack valve	80-21141-B
clacker	80-21116-B
clactonian	80-21234-B
clad	80-21318-B,29-15241-S,423-14519-S,427-28205-S,442-4473-S,442-4918-S
clad optical fiber	80-21572-B
cladding	80-21622-B
clade	80-21724-B
cladistic	80-21916-B
cladistics	80-21974-B
cladocarpous	80-22048-B
cladode	80-22134-B
cladogenesis	80-22179-B
cladogenetic	80-22305-B
cladogenous	80-22392-B
cladophyll	80-22473-B
cladoptosis	80-22523-B
claggy	80-22602-B
claim	80-22657-B,103-14544-S,332-14651-S,513-19002-S
claim holder	80-24118-B
claim jumper	80-24339-B
claimable	80-23819-B
claimant	80-23924-B
claimer	80-23966-B
claiming race	80-24245-B
claimless	80-24470-B
claims bonus	304-7151-S
claims court	425-26832-S
clair	153-5649-S
clair audience	80-24525-B
clairvoyance	81-0-B
clairvoyant	81-149-B
clam	81-383-B,379-970-S
clamant	81-886-B
clamantly	81-1077-B
clambake	81-1106-B
clamber	81-1207-B
clamberer	81-1333-B
clambering plant	81-1362-B
clammer	81-1431-B
clammily	81-1455-B
clamminess	81-1495-B
clammy	81-1635-B
clamor	81-1735-B
clamorous	81-1776-B
clamour	81-1956-B
clamourous	81-2536-B
clamourousness	81-2723-B
clamp	81-2863-B
clamp connection	81-3259-B
clamp down	81-3347-B
clamper	81-3417-B
clamping	81-3445-B,129-15198-S
clamping circuit	81-3503-B
clamping tube	81-3542-B
clampshell	81-3577-B
clamydate	81-3660-B
clamydospore	81-3725-B
clamydosporic	81-3811-B
clamys	81-3903-B
clan	81-4008-B
clandestine	81-4078-B
clandestinely	81-4149-B
clandestineness	81-4186-B
clandestinity	81-4246-B
clang	81-4350-B
clanger	81-4584-B
clangor	81-4656-B
clangorous	81-4720-B
clangour	81-4790-B
clank	81-4887-B
clanky	81-5055-B
clannish	81-5079-B
clannishly	81-5239-B
clannishness	81-5311-B
clanship	81-5462-B
clansman	81-5711-B
clansmen	81-5806-B
clanswoman	81-5864-B
clap	81-5974-B
clap net	81-7261-B
clapboard	81-7138-B
clapped out	81-7333-B
clapper	81-7438-B
clapper board	81-7670-B
clapperboard	81-7611-B
clapperclaw	81-7891-B
claptrap	81-7991-B
claque	81-8266-B
claqueur	81-8350-B
clarence	81-8407-B
claret	81-8490-B
claret cup	81-8661-B
