guttering	211-12542-B
hackmatack	212-10482-B
hackney	212-10558-B
hackney carriage	212-10756-B
hackney coach	212-10831-B
hackneyed	212-10893-B
hacksaw	212-10972-B
hackstand	212-11147-B
had	212-11313-B
hadal	212-14142-B
haddock	212-14300-B
hade	212-14392-B
hades	212-14573-B
hadith	212-14661-B
hadj	212-14749-B
hadji	212-14854-B
hadn t	212-14938-B
hadron	212-14976-B
hadronic	212-15041-B
hadst	212-15099-B
haem	212-15172-B
haemacytometer	212-15226-B
haemagglutinate	212-15338-B
haemagglutination	212-15492-B
haemagglutinin	212-15590-B
haemal	212-15700-B
haemangioma	212-15851-B
haematic	212-15910-B
haematin	212-15952-B
haematite	212-16008-B
haematoblast	212-16053-B
haematologist	212-16169-B
haematology	212-16267-B
haematuria	212-16355-B
haemic	212-16430-B
haemocytoblast	212-16479-B
haemocytometer	212-16567-B
haemoglobin	212-16670-B
haemoglobinopathy	212-16730-B
haemoglobinuria	212-16819-B
haemolysin	212-16911-B
haemophilia	212-16987-B
haemophiliac	212-17063-B
haemoptysis	212-17119-B
haemorrhage	212-17209-B
haemorrhagic	212-17296-B
haemorrhoidal	212-17360-B
haemorrhoidectomy	212-17435-B
haemorrhoids	212-17505-B
haemosiderin	212-17558-B
haemostasis	212-17660-B
haemostat	212-17729-B
haemostatic	212-17776-B
haeremai	212-17830-B
haf	212-17895-B
hafd	212-17927-B
haffet	212-17976-B
hafnium	212-18043-B
haft	212-18097-B
haftarah	212-18219-B
hag	212-18407-B,303-13164-S,333-7128-S,391-16352-S
hagbut	212-18654-B
hagemonic	212-18775-B
hagfish	212-18844-B
haggard	212-18940-B
haggis	212-19206-B
haggish	212-19332-B
haggle	212-19450-B
hagiographer	212-19590-B
hagiographist	212-19649-B
hagiography	212-19747-B
hagiolater	212-19825-B
hagiolatry	212-19895-B
hagiology	212-19961-B
hagiosope	212-20147-B
hagridden	212-20299-B
hah	212-20366-B
hahnium	212-20503-B
haidresser	212-20579-B
haiku	212-20675-B
hail	212-20789-B,14-5540-S,429-10018-S
hail fellow	212-22020-B
hail fellow well met	212-22203-B
hail mary	212-21946-B
hailstone	212-22270-B
hailstorm	212-22328-B
hair	212-22392-B,273-22279-S,274-4283-S
hair ball	212-24139-B
hair cut	212-24804-B
hair do	212-24999-B
hair dryer	212-25243-B
hair dye	212-25303-B
hair follicle	212-24259-B
hair grip	212-25433-B
hair line	213-109-B
hair net	213-215-B
hair oil	213-284-B
hair piece	213-342-B
hair powder	213-565-B
hair raiser	213-627-B
hair raising	213-732-B
hair restorer	213-844-B
hair s breadth	213-920-B
hair seal	212-24338-B
hair shirt	212-24416-B
hair slide	213-1289-B
hair space	213-1356-B
hair splitter	213-1438-B
hair splitting	213-1571-B
hair stroke	213-1842-B
hair style	213-1931-B
hair stylist	213-1986-B
hair trigger	213-2071-B
hairbreadth	212-24514-B
hairbrush	212-24568-B
hairclip	212-24629-B
hairclipper	212-24688-B
haircloth	212-24750-B
haircutter	212-24860-B
haircutting	212-24925-B
hairdresser	212-25083-B
hairdressing	212-25163-B
haired	212-25363-B,170-25658-S,208-8656-S,274-4331-S,381-27629-S,418-8757-S,420-23477-S,521-12915-S
hairiness	212-25490-B
hairless	212-25597-B
hairlessness	213-0-B
hairpin	213-435-B
hairs	394-7571-S
hairsbreadth	213-1218-B
hairspring	213-1706-B
hairstreak	213-1776-B
hairworm	213-2182-B
hairy	213-2241-B
hairy heeled	213-2512-B
haitian	213-2636-B
haji	213-2837-B
hajji	213-2954-B
haka	213-3005-B
hake	213-3104-B
hakeem	213-3189-B
hakenkreuz	213-3256-B
hakim	213-3333-B
halal	213-3412-B
halation	213-3581-B
halberd	213-3658-B
halberdier	213-3700-B
halbert	213-3787-B
halcyon	213-3875-B
hale	213-4062-B
half	213-4344-B,47-4212-S,72-12456-S,213-7914-S,389-17895-S,406-4212-S,440-21253-S
half a crown	213-7794-B
half adder	213-7865-B
half and half	213-7914-B
half back	213-8304-B
half baked	213-8385-B
half binding	213-8808-B
half blood	213-6166-B,213-8955-B
half blooded	213-9136-B
half blooder	213-9234-B
half board	213-9355-B
half boarder	213-9505-B
half boarding	213-9620-B
half boot	213-9712-B
half bound	213-9773-B
half bred	213-9873-B
half breed	213-9953-B
half brother	213-10038-B
half butt	213-10149-B
half caste	213-10208-B
half cock	213-10358-B
half cocked	213-10649-B
half crown	213-10801-B
half cyele	213-10866-B
half day	213-10894-B
half dime	213-6315-B
half dollar	213-11041-B
half done	213-11110-B
half dozen	213-11239-B
half group	213-11294-B
half halt	213-6414-B
half hardy	213-11358-B
half hearted	213-11502-B
half heartedly	213-11672-B
half heartedness	213-11762-B
half hitch	213-6525-B
half holiday	213-6615-B
half hose	213-6726-B
half hour	213-6787-B
half hourly	213-11969-B
half knot	213-6879-B
half landing	213-12097-B
half length	213-12168-B
half life	213-12295-B
half light	213-12371-B
half line	213-12440-B
half mast	213-12506-B
half measure	213-6949-B
half mile	213-12659-B
half module	213-12713-B
half moon	213-7105-B
half mourning	213-7198-B
half nelson	213-12983-B
half note	213-13034-B
half open	213-13146-B
half pass	213-7301-B
half pay	213-13255-B
half pint	213-13924-B
half plane	213-14003-B
half pound	213-14201-B
half price	213-14256-B
half round	213-14519-B
half seas over	213-14634-B
half sister	213-14728-B
half size	213-14840-B
half sole	213-14923-B
half sovereign	213-7377-B
half space	213-15092-B
half step	213-7485-B
half term	213-7556-B
half tide	213-7665-B
half timbered	213-15123-B
half time	213-15366-B
half timer	213-15553-B
half title	213-15799-B
half tone	213-15916-B
half track	213-15989-B
half truth	213-16073-B
half volley	213-16159-B
half way	213-16905-B
half wit	213-17806-B
half witted	213-17893-B
half year	213-17968-B
half yearly	213-18105-B
halfbeak	213-8679-B
halfinvariant	213-12049-B
halfnelson	213-12776-B
halfpence	213-13377-B
halfpenny	213-13435-B,418-19690-S,482-16560-S
halfpennyworth	213-13870-B
halftime	213-15253-B
halftone	213-15871-B
halfway	213-16404-B
halfway house	213-17396-B
halibut	213-18262-B
halide	213-18385-B
halieutic	213-18491-B
halieutics	213-18587-B
haligonian	213-18675-B
haliotis	213-18761-B
halite	213-18814-B
halitosis	213-18863-B
hall	213-18952-B,80-14237-S,80-14416-S,93-496-S,93-3769-S,103-6418-S,113-23033-S,113-23404-S,140-15067-S,144-17140-S,157-2489-S,210-16679-S,268-21071-S,286-7753-S,288-14523-S,298-15556-S,462-22557-S,473-9763-S
hall of fame	213-19533-B
hall stand	213-21779-B
halleluiah	213-19642-B
hallelujah	213-19691-B
halliard	213-19740-B
hallmark	213-20034-B
hallo	213-20393-B
halloa	213-20429-B
halloo	213-20747-B
hallow	213-21135-B
hallowe en	213-21498-B
hallowed	213-21328-B
halloween	213-21596-B
hallowmas	213-21713-B
hallows	14-5667-S
hallstatt	213-21852-B
hallucinate	213-22015-B
hallucination	213-22082-B
hallucinative	213-22146-B
hallucinatory	213-22235-B
hallucinogen	213-22358-B
hallucinogenic	213-22441-B
hallucinosis	213-22514-B
hallux	213-22589-B
hallway	213-22683-B
halm	213-22759-B
halma	213-22791-B
halo	213-22838-B
halobiont	213-23200-B
halocarbon	213-23262-B
haloes	213-23388-B
halogen	213-23422-B
halogenate	213-23479-B
halogenation	213-23551-B
halogenous	213-23630-B
haloid	213-23702-B
halometer	213-23775-B
halometry	213-23835-B
haloperidol	213-23896-B
halophile	213-24063-B
halophilic	213-24130-B
halophyte	213-24222-B
halophytic	213-24298-B
halothane	213-24366-B
halt	213-24440-B,93-21655-S,115-28915-S,213-6414-S,437-28511-S,447-20733-S
halter	213-25155-B
halter neck	213-25768-B
halterbreak	213-25495-B
haltere	213-25592-B
haltere neck	213-25672-B
halting	213-25832-B
haltingly	213-25916-B
halvah	213-26066-B
halve	213-26163-B
halves	213-26383-B
halyard	213-26404-B
ham	213-26446-B,299-3610-S
ham fisted	214-692-B
ham handed	214-785-B
hamadryad	214-0-B
hamamelidaceous	214-154-B
hamate	214-250-B
hamburger	214-353-B
hamburgh	214-443-B
hame	214-512-B
hame fisted	214-593-B
hamiltonian	214-836-B
hamiltonianism	214-1204-B
hamite	214-1273-B
hamlet	214-1374-B
hammam	214-1436-B
hammer	214-1534-B,12-6997-S,81-20443-S,86-15144-S,140-37678-S,212-9228-S,303-20595-S,336-6501-S,392-18183-S,424-6518-S,435-4679-S,441-26237-S,441-28519-S,469-17058-S,478-4249-S,480-21784-S,515-31478-S,524-12602-S
hammer blow	214-3389-B
hammer head	214-3553-B
hammer lock	214-3985-B
hammer scale	214-4198-B
hammer smith	214-4264-B
hammer throwing	214-4342-B
hammer toe	214-4495-B
hammerer	214-3508-B
hammering	214-3643-B
hammerless	214-3928-B
hammerman	214-4113-B
hammertoe	214-4424-B
hammock	214-4558-B
hammock chair	214-4607-B
