vamper	506-2123-B
varnishing day	506-20128-B
varsal	506-20313-B
varsity	506-20361-B
vary	506-20430-B
varying	506-21009-B
varyingly	506-21098-B
vas	506-21124-B
vas deferens	506-21190-B
vasa	506-21279-B
vasa deferentia	506-21311-B
vasal	506-21394-B
vascula	506-21458-B
vascular	506-21613-B,72-18581-S,197-5042-S,305-14831-S
vascularity	506-21796-B
vascularization	506-21872-B
vasculum	506-21966-B
vase	506-22011-B,183-14464-S
vasectomy	506-22055-B
vaseline	506-22198-B
vasiform	506-22249-B
vasoconstriction	506-22310-B
vasodepression	506-22390-B
vasoiner	506-22471-B
vasomotor	506-22527-B
vasopressive	506-22652-B
vassal	506-22721-B
vassalage	506-22901-B
vast	506-23039-B
vastitude	506-23507-B
vastity	506-23602-B
vastly	506-23660-B
vastness	506-23844-B
vasty	506-23958-B
vat	507-0-B,143-8597-S
vatful	507-167-B
vatic	507-251-B
vatical	507-310-B
vatican	507-368-B
vaticide	507-431-B
vaticinal	507-499-B
vaticinate	507-604-B
vaticination	507-665-B
vaticinator	507-756-B
vatted	507-826-B
vaudeville	507-919-B
vaudevillist	507-1054-B
vault	507-1124-B,350-24792-S,521-147-S
vault door	86-9295-S
vaulted	507-1891-B
vaulter	507-1947-B,350-24863-S
vaulting	507-2082-B,171-24703-S,350-24918-S
vaulting horse	507-2221-B
vaulting pole	507-2308-B
vaulty	507-2371-B
vaunt	507-2429-B
vaunt courier	507-2574-B
vaunted	507-2675-B
vaunter	507-2756-B
vauntful	507-2798-B
vaunting	507-2868-B
vauntingly	507-2934-B
vavelet	507-2962-B
vba	507-3003-B
vc	507-3525-B
vcr	507-3737-B
vd	507-3830-B
vdt	507-3972-B
vdu	507-4058-B
ve	507-4158-B,253-16773-S,467-5086-S,518-13941-S,524-28210-S
veal	507-4296-B
veal skin	507-4447-B
vealer	507-4338-B
vealy	507-4510-B
vection	507-4590-B
vecto	87-22925-S
vector	507-4677-B,3-137-S,143-16770-S,376-12970-S
vectorial	507-4832-B
veda	507-4946-B
vedette	507-5008-B
vedette boat	507-5147-B
vee	507-5212-B
veeno	507-5340-B
veep	507-5410-B
veer	507-5480-B
veering	507-6115-B
veg	507-6200-B
vega	507-6243-B
vegan	507-6304-B
veganism	507-6499-B
vegetability	507-6525-B
vegetable	507-6641-B,394-6740-S
vegetal	507-6916-B
vegetant	507-7168-B
vegetarian	507-7232-B
vegetarianism	507-7487-B,262-12280-S
vegetate	507-7587-B
vegetation	507-7707-B
vegetational	507-8059-B
vegetative	507-8130-B
vehemence	507-8333-B
vehemency	507-8380-B
vehement	507-8694-B
vehemently	507-9042-B
vehicle	507-9113-B,30-8947-S,265-13290-S,432-12346-S
vehicular	507-9506-B
vehicularized	507-9654-B
vehiculate	507-9710-B
vehiculation	507-9797-B
veil	507-9871-B
veiled	507-10822-B
veiledly	507-11137-B
veiling	507-11210-B
vein	507-11352-B,354-644-S
veinal	507-11924-B
veined	507-11947-B,173-20273-S,328-7350-S,375-29858-S
veining	507-12068-B
veinless	507-12163-B
veinlet	507-12213-B
veinous	507-12311-B
veinstone	507-12425-B
veiny	507-12488-B
vela	507-12615-B
velamen	507-12690-B
velamentous	507-12733-B
velamentum	507-12799-B
velamina	507-12867-B
velaminous	507-12988-B
velar	507-13077-B
velarization	507-13185-B
velcro	507-13279-B
veld	507-13483-B
veldt	507-13514-B
veleta	507-13572-B
velleity	507-13634-B
vellicate	507-13695-B
vellication	507-13766-B
vellum	507-13835-B,254-13460-S
velocimeter	507-13937-B
velocipede	507-14037-B
velocipedist	507-14151-B
velocity	507-14235-B,137-11637-S,161-4984-S
velocity analyzer	149-9029-S
velodrome	507-14414-B
velour	507-14478-B
velours	507-14562-B
velt	507-14619-B
velum	507-14651-B
velure	507-14686-B
velutinous	507-14795-B
velvet	507-14890-B,50-13434-S
velveteen	507-15572-B
velvetiness	507-15722-B
velveting	507-15842-B
velvety	507-15896-B
vena	507-16116-B
venae	507-16150-B
venal	507-16221-B
venality	507-16435-B
venally	507-16522-B
venatic	507-16576-B
venatical	507-16663-B
venation	507-16731-B
venational	507-16820-B
venatorial	507-16883-B
venatory	507-16975-B
vend	507-17026-B
vendace	507-17241-B
vendean	507-17297-B
vendee	507-17504-B
vender	507-17581-B
vendetta	507-17652-B
vendibility	507-17726-B
vendible	507-17827-B
vendibleness	507-17970-B
vending	507-18023-B
vending machine	507-18153-B
vendition	507-18307-B
vendor	507-18364-B,92-2264-S,302-25675-S
veneer	507-18497-B
veneerer	507-18934-B
veneering	507-19013-B
venene	507-19116-B
venenific	507-19153-B
venenose	507-19231-B
venenous	507-19307-B
venepuncture	507-19350-B
venerability	507-19431-B
venerable	507-19507-B
venerableness	507-19636-B
venerably	507-19669-B
venerate	507-19700-B
veneration	507-19819-B
venerational	507-19933-B
venerator	507-19968-B
venereal	507-20032-B
venereal disease	507-20184-B
venereologist	507-20339-B
venereology	507-20426-B
venerer	507-20571-B
venerian	507-20612-B
venery	507-20712-B
venesect	507-20811-B
venesection	507-20867-B
venetian	507-20968-B
venetian blind	507-21198-B
venezuelan	507-21277-B
venge	507-21391-B
vengeable	507-21442-B
vengeance	507-21572-B
vengeful	507-22052-B
vengefully	507-22227-B
vengefulness	507-22376-B
venger	507-22409-B
venial	507-22540-B
veniality	507-22723-B
venially	507-22774-B
venialness	507-22801-B
venin	507-22930-B
venipuncture	507-22983-B
venisection	507-23059-B
venison	507-23132-B
venom	507-23204-B
venomed	507-23366-B
venomization	507-23501-B
venomosalivary	507-23596-B
venomotor	507-23685-B
venomous	507-23748-B
venomously	507-23907-B
venomousness	507-24054-B
venose	507-24161-B
venous	507-24236-B
venously	507-24357-B
venousness	507-24384-B
vent	508-0-B,512-16507-S
vent hole	508-1318-B
vent holt	508-1401-B
vent peg	508-2899-B
vent pipe	508-2956-B
venta	508-981-B
ventage	508-1054-B
venter	508-1150-B
ventiduct	508-1459-B
ventil	508-1540-B
ventilate	508-1588-B
ventilating	508-1964-B
ventilation	508-2075-B,411-2438-S
ventilative	508-2470-B
ventilator	508-2571-B
ventilatory	508-2730-B
venting	508-2764-B
ventral	508-3010-B
ventrally	508-3137-B
ventricle	508-3166-B
ventricose	508-3321-B
ventricosity	508-3438-B
ventricous	508-3473-B
ventricular	508-3537-B,34-18006-S
ventricule	508-3674-B
ventriculi	508-3725-B
ventriculus	508-3779-B
ventriloquial	508-3861-B
ventriloquially	508-3934-B
ventriloquism	508-3975-B
ventriloquist	508-4079-B
ventriloquistic	508-4159-B
ventriloquize	508-4311-B
ventriloquous	508-4384-B
ventriloquy	508-4443-B
ventripotent	508-4498-B
ventro lateral	508-4721-B
ventro medial	508-4812-B
ventrodorsal	508-4584-B
ventrodorsally	508-4682-B
venture	508-4896-B,256-8190-S,256-9319-S
venturer	508-5713-B
venturesome	508-5865-B
venturesomely	508-6025-B
venturesomeness	508-6105-B
venturous	508-6236-B
venturously	508-6365-B
venturousness	508-6441-B
venue	508-6513-B
venular	508-6683-B,30-4726-S
venule	508-6709-B
venus	508-6802-B
venus fly trap	508-6979-B
venusian	508-7054-B
veny	508-7113-B
veracious	508-7198-B
veraciously	508-7324-B
veraciousness	508-7455-B
veracity	508-7510-B
veranda	508-7651-B
verandah	508-7718-B
verb	508-7762-B,270-27750-S,342-5659-S,366-22780-S
verba	251-7747-S
verbal	508-7903-B,305-14909-S,362-19472-S
verbal noun	508-8600-B
verbalise	508-8694-B
verbalism	508-8835-B
verbalist	508-9083-B
verbalistic	508-9230-B
verbalization	508-9297-B
verbalize	508-9517-B
verbalizer	508-9652-B
verbally	508-9684-B
verbarian	508-9760-B
verbarium	508-9857-B
verbatim	508-9972-B
verbaux	362-19535-S
verbena	508-10226-B
verberate	508-10298-B
verberation	508-10387-B
verbiage	508-10456-B
verbicide	508-10557-B
verbify	508-10656-B
verbigerate	508-10728-B
verbigeration	508-10874-B
verbose	508-10956-B
verbosely	508-11109-B
verboseness	508-11225-B
verbosity	508-11275-B
verbum	7-3168-S
verd antique	508-11770-B
verdancy	508-11383-B
verdant	508-11634-B
verdantly	508-11869-B
verde antico	508-11898-B
verdict	508-11971-B,279-21891-S,314-12281-S
verdigris	508-12430-B
verdigrised	508-12514-B
verdure	508-12595-B
verdured	508-12840-B
verdurous	508-12899-B
verdurousness	508-12957-B
verecund	508-12990-B
verge	508-13068-B
verger	508-13868-B
veri	455-11575-S,455-11933-S
veridic	508-14028-B
veridical	508-14085-B
veridicality	508-14184-B
veridically	508-14218-B
verifiability	508-14251-B
verifiable	508-14285-B
verifiableness	508-14451-B
verifiably	508-14486-B
verification	508-14519-B
verificative	508-14603-B
verificatory	508-14674-B
verifier	508-14759-B
verify	508-14842-B
verily	508-15218-B
verisimilar	508-15301-B
verisimilarly	508-15364-B
