assumingly	32-6653-B
at ease	232-2347-S,232-3848-S
at elbows	318-23807-S
at home	33-6866-B,441-20595-S
at infinity	232-22137-S
at large	16-8461-S
at law	42-15403-S,42-15472-S,218-6918-S
at low	218-7004-S
atabrine	33-2238-B
ataractic	33-2304-B
ataraxia	33-2391-B
ataraxy	33-2489-B
atavism	33-2534-B
atavist	33-2606-B
atavistic	33-2633-B
atavistically	33-2705-B
ataxia	33-2736-B,273-2601-S
ataxic	33-2776-B
ataxy	33-2838-B
atc	33-2955-B
ate	33-3060-B
atelectasis	33-4078-B
atelencephaly	33-4172-B
ateleosis	33-4248-B
atelia	33-4303-B
atelier	33-4379-B
atelomitic	33-4483-B
aterian	33-4550-B
athanasian creed	33-4663-B
atheism	33-4746-B
atheist	33-4805-B
atheistic	33-4901-B
atheistical	33-4951-B
atheistically	33-5086-B
athematic	33-5121-B
athenaeum	33-5214-B
athenian	33-5412-B
athermobiosis	33-5509-B
athermobiotic	33-5608-B
athero genesis	33-5700-B
atherogenic	33-5802-B
atheroma	33-5891-B
atherosclerosis	33-5968-B
athirst	33-6064-B
athlete	33-6179-B
athlete s foot	33-6291-B
athlete s heart	33-6370-B
athletic	33-6446-B
athletically	33-6654-B
athleticism	33-6687-B
athletics	33-6721-B,473-21495-S
athrepsia	33-6977-B
athrocytosis	33-7044-B
athwart	33-7163-B
atilt	33-7463-B
atingle	33-7659-B
atishoo	33-7724-B
atkins	471-14119-S
atlant	33-7788-B
atlantean	33-7862-B
atlantes	33-8012-B
atlantic	33-8098-B
atlantic ocean	33-8208-B
atlas	33-8296-B,126-8989-S,270-25866-S
atm	33-8453-B
atman	33-8486-B
atmobiosis	33-8582-B
atmometer	33-8671-B
atmometric	33-8740-B
atmometry	33-8772-B
atmosphere	33-8802-B,149-2944-S
atmospheric	33-9308-B,33-9803-B,168-18373-S
atmospheric absorption	33-9364-B
atmospheric discharge	33-9427-B
atmospheric disturbance	33-9492-B
atmospheric interference	33-9559-B
atmospheric noise	33-9622-B
atmospheric tidal wave	33-9682-B
atmospheric waveguide	33-9741-B
atmospherical	33-9865-B
atmospherically	33-10057-B
atmospherics	33-10096-B
atoll	33-10181-B
atom	33-10237-B,137-3627-S,205-29642-S,206-1787-S
atom bomb	33-11240-B,33-11484-B
atomania	33-11290-B
atomaniac	33-11373-B
atomic	33-11553-B,33-12585-B
atomic battery	33-11885-B
atomic beam laser	33-11926-B
atomic beam resonator	33-11997-B
atomic bomb	33-12068-B
atomic clock	33-12099-B
atomic energy	33-12147-B
atomic frequency standard	33-12219-B
atomic nucleus	33-12292-B
atomic number	33-12353-B
atomic pile	33-12394-B
atomic theory	33-12483-B
atomic weight	33-12532-B
atomically	33-12621-B
atomicity	33-12650-B
atomics	33-12843-B
atomisation	33-12927-B
atomise	33-12984-B
atomiser	33-13067-B
atomism	33-13134-B
atomist	33-13196-B
atomistic	33-13272-B
atomistically	33-13375-B
atomization	33-13410-B
atomize	33-13516-B
atomizer	33-13558-B
atomy	33-13624-B
atonable	33-13758-B
atonal	33-13784-B
atonality	33-13894-B
atonally	33-14018-B
atone	33-14045-B
atoneable	33-14190-B
atonement	33-14218-B
atoner	33-14300-B
atonic	33-14325-B
atonicity	33-14530-B
atony	33-14558-B
atop	33-14624-B
atopen	33-14691-B
atopy	33-14757-B
atorn	33-14815-B
atrabiliar	33-14893-B
atrabilious	33-15014-B
atrabiliousness	33-15068-B
atractoid	33-15107-B
atremble	33-15177-B
atresia	33-15227-B
atresis	33-15319-B
atrial	33-15385-B
atrioventricular	33-15461-B
atrip	33-15545-B
atrium	33-15624-B
atrocious	33-15702-B
atrociously	33-15963-B
atrociousness	33-16036-B
atrocity	33-16214-B
atrophic	33-16264-B
atrophied	33-16292-B
atrophy	33-16360-B
atropine	33-16508-B
attaboy	33-16574-B
attach	33-16646-B
attachable	33-17525-B
attache	33-17554-B
attache case	33-17717-B
attached	33-17814-B
attached coefficient	149-2999-S
attached device	33-17866-B
attached unit	33-17916-B
attached variable	33-17963-B
attachment	33-18009-B
attack	33-18528-B,103-13264-S,196-14903-S,217-11482-S,344-6463-S,344-6929-S
attackable	33-19105-B
attacker	33-19194-B
attain	33-19273-B
attainability	33-19460-B
attainable	33-19549-B
attainableness	33-19625-B
attainder	33-19658-B
attainment	33-19966-B
attaint	33-20341-B
attar	33-20624-B
attemper	33-20680-B
attempt	33-20839-B,4-6328-S
attemptable	33-21727-B
attempter	33-21758-B
attend	33-21787-B
attendance	33-22674-B,304-21797-S
attendant	33-23278-B,269-19476-S
attendantly	33-23695-B
attended	33-23728-B
attender	33-23794-B
attention	33-23853-B,304-21911-S
attention interruption	33-24407-B
attention key	33-24454-B
attentional	33-24491-B
attentive	33-24524-B
attentively	33-24676-B
attentiveness	33-24733-B
attenuate	33-24880-B
attenuation	33-25162-B,108-4931-S,110-22723-S,145-3468-S,146-14255-S,172-5868-S
attenuation band	33-25418-B
attenuation coefficient	95-8405-S
attenuation constant	95-8481-S
attenuation frequency distortion	33-25461-B
attenuator	33-25539-B,3-4810-S,111-25921-S,117-10514-S,210-18236-S
attenuator grating	33-25575-B
atterminal	33-25628-B
attest	33-25690-B
attestant	33-26001-B
attestation	33-26029-B
attester	33-26275-B
attestor	33-26302-B
attic	33-26401-B
atticism	33-26795-B
attire	33-26934-B
attitude	33-27135-B
attitudinal	34-0-B
attitudinise	34-32-B
attitudinize	34-116-B
atto	34-174-B
attoelectronic emission	34-216-B
attorney	34-278-B,134-26065-S,365-16679-S,441-5590-S
attorneyship	34-674-B
attract	34-707-B
attractable	34-900-B
attractant	34-1039-B
attracted disc electrometer	34-1144-B
attracter	34-1218-B
attraction	34-1247-B,103-13332-S
attractive	34-1771-B
attractively	34-1918-B
attractiveness	34-1992-B
attractor	34-2143-B
attributable	34-2172-B
attribute	34-2239-B,3-724-S,7-10127-S,28-9634-S,90-20015-S,114-14055-S,133-16077-S,177-16193-S,209-18920-S
attribute grammar	3-812-S
attribute set	42-20932-S
attributer	34-2528-B
attribution	34-2559-B
attributional	34-2676-B
attributive	34-2713-B
attributively	34-2916-B
attributiveness	34-3023-B
attributor	34-3062-B
attrita	34-3094-B
attrited	34-3155-B
attrition	34-3211-B
attune	34-3478-B
atwitter	34-3600-B
atypical	34-3749-B
atypicality	34-3834-B
atypically	34-3866-B
au courant	34-3897-B
au fait	34-4160-B
au fond	34-4241-B
au gratin	34-4296-B
au jus	34-4410-B
au lait	34-4491-B,64-3228-S
au pair	34-4542-B
au revoir	34-4615-B
au vent	512-16507-S
aubade	34-4679-B
aubergine	34-4748-B
aubrietia	34-4816-B
aubur	34-4877-B
auburn	34-4937-B
auction	34-4974-B,143-1667-S
auctioneer	34-5663-B
auctorial	34-5833-B
audacious	34-5902-B
audaciously	34-6011-B
audaciousness	34-6101-B
audacity	34-6219-B
audibility	34-6269-B
audibility factor	34-6379-B
audibility meter	34-6427-B
audible	34-6477-B
audible signal	34-6548-B
audible spectrum	34-6595-B
audible test	34-6638-B
audible tone	34-6689-B
audibleness	34-6733-B
audibly	34-6784-B
audience	34-6848-B,80-24525-S,356-14547-S
audience chamber	34-7268-B
audience microphone	34-7213-B
audio	34-7349-B
audio amplifier	34-7503-B
audio book	34-7559-B
audio device	34-7371-B
audio disk	34-7602-B
audio effect	34-7433-B
audio engineering	34-7638-B
audio frequency	34-7716-B
audio frequency transformer	34-7805-B
audio frequency wave	34-8886-B
audio generator	34-7864-B
audio head	34-7916-B
audio indicator	34-7951-B
audio lingual	34-9214-B
audio modulation	34-8005-B
audio operator	34-8056-B
audio oscillator	34-8108-B
audio output	34-8161-B
audio reproduction	34-8199-B
audio response device	34-8248-B
audio response unit	34-8294-B
audio signal	34-8347-B
audio tape	34-8391-B
audio transformer	34-8430-B
audio transmission	34-8483-B
audio typist	34-8530-B
audio visual	34-9785-B
audio visual equipment	34-10015-B
audio visual method	34-10073-B,34-10299-B
audio visual recorder	34-10192-B
audiofrequency	34-8629-B
audiofrequency meter	34-8717-B
audiofrequency oscillator	34-8766-B
audiofrequency spectrometer	34-8828-B
audiogenic	34-8932-B
audiogram	34-9052-B
audiograph	34-9147-B
audiologist	34-9276-B
audiology	34-9346-B
audiometer	34-9406-B
audiometric	34-9473-B
audiometry	34-9507-B
audion	34-9575-B
audiophone	34-9642-B
audiotypist	34-9728-B
audiovisual	34-9832-B
audiovisual system	34-10245-B
audiphone	34-10380-B
audit	34-10444-B
audit log	34-10708-B
audit trail	34-10743-B
auditing	34-10799-B
audition	34-10839-B
auditive	34-11183-B
auditor	34-11267-B
auditorial	34-11368-B
auditorium	34-11454-B
auditory	34-11542-B
auditory sensation	34-11837-B
auf wiedersenhen	34-11889-B
aug	34-11943-B
augean stable	34-11998-B
augend	34-12286-B
augend digit	34-12383-B
auger	34-12437-B
aught	34-12536-B
augite	34-12847-B
augitə	34-12793-B
augment	34-12900-B
augmentable	34-13076-B
augmentation	34-13107-B
augmentative	34-13288-B
