cloy	83-22247-B
cockney	85-1914-B
cockneydom	85-2218-B
cockneyese	85-2316-B
cockneyfy	85-2390-B
cockneyism	85-2488-B
cockpit	85-2580-B
cockroach	85-2764-B
cockscomb	85-2815-B
cocksfoot	85-2977-B
cockshot	85-3033-B
cockshut	85-3197-B
cocksparrow	85-3444-B
cockspur	85-3667-B
cocksucker	85-3718-B
cocksure	85-3846-B
cocksurely	85-4126-B
cocksureness	85-4157-B
cockswain	85-4190-B
cocksy	85-4295-B
cocktail	85-4365-B,294-1253-S
cocky	85-4704-B
cocky leeky	85-4739-B
coco	85-4848-B
coco palm	85-6475-B
cocoa	85-4882-B
cocoa butter	85-5139-B
coconnected	85-5223-B
coconscious	85-5276-B
coconsciousness	85-5340-B
coconut	85-5416-B
coconut matting	85-5760-B
coconut milk	85-5835-B
coconut oil	85-5901-B
coconut palm	85-6071-B
coconut shy	85-5964-B
coconut tree	85-6150-B
cocoon	85-6207-B
cocoonery	85-6255-B
cocosphere	85-6526-B
cocotte	85-6597-B
coctail	294-1468-S
coctail snacks	85-6658-B
coctailed	85-6730-B
coctease	85-6778-B
cocultivate	85-6872-B
cocycle	85-6961-B
cod	85-6995-B,333-5877-S,333-6101-S
cod liver oil	85-9992-B
coda	85-7160-B
codable	85-7222-B
coddle	85-7280-B,294-955-S
coddler	85-7674-B
code	85-7700-B,1-100-S,1-943-S,1-1079-S,4-6496-S,6-22274-S,13-7509-S,15-4150-S,15-5755-S,15-5898-S,15-7011-S,15-7101-S,15-7612-S,15-7704-S,18-418-S,28-14056-S,30-21574-S,35-4858-S,41-18487-S,48-14718-S,73-11943-S,74-11938-S,75-7644-S,80-16212-S,87-15955-S,87-17894-S,90-11986-S,91-11003-S,91-13213-S,98-18984-S,101-15217-S,103-24629-S,125-14331-S,126-10400-S,147-10985-S,160-13070-S,160-13254-S,160-13314-S,161-4606-S,161-4878-S,168-5523-S,187-14612-S,193-5044-S,197-19639-S,198-15518-S,203-37144-S,208-138-S,221-12332-S,278-1491-S,334-16197-S,354-18979-S,525-9069-S
code book	85-8182-B
code conversion	85-8256-B
code generation	85-8292-B
code guobiao code	197-19639-S
code letter	85-8327-B
code page	85-8358-B
code set	1-986-S,168-5674-S
code translation	85-8399-B
codec	85-8443-B
codeclination	85-8496-B
coded	85-8549-B
coded character	85-8566-B
coded data	85-8609-B
coded decimal interchange code	168-5523-S
coded digit	85-8650-B
codeine	85-8774-B
codepage	85-8839-B
coder	85-8872-B,149-11753-S
codetermination	85-8942-B
codex	85-9068-B
codfish	85-9106-B
codger	85-9144-B
codices	85-9241-B
codicil	85-9350-B
codicillary	85-9424-B
codification	85-9455-B
codifier	85-9587-B
codify	85-9614-B
coding	85-9774-B,6-22326-S,15-5795-S,36-66-S
coding convention	85-9828-B
coding system	85-9876-B
codling	85-9922-B
codominance	85-10063-B
codominant	85-10195-B
codon	85-10288-B
codpiece	85-10365-B
codswallop	85-10467-B
coductor	196-15389-S
coed	85-10561-B
coeducation	85-10885-B
coeducational	85-11248-B
coefficient	85-11315-B,3-4223-S,6-21264-S,17-19140-S,95-8405-S,95-8712-S,95-8872-S,99-4189-S,101-14230-S,101-17456-S,104-5095-S,113-20095-S,117-2262-S,120-21516-S,124-20034-S,127-16822-S,128-5642-S,149-2999-S,289-17842-S
coefficients	159-8623-S
coelacanth	85-11386-B
coelacanthine	85-11461-B
coelacanthous	85-11497-B
coelarium	85-11534-B
coelenterata	85-11621-B
coelenterate	85-11724-B
coelenteron	85-11846-B
coeliac	85-11927-B
coelom	85-12001-B
coelomate	85-12096-B
coelomic	85-12274-B
coemption	85-12362-B
coenobite	85-12421-B
coenocyte	85-12493-B
coenospecies	85-12580-B
coenurus	85-12702-B
coenzyme	85-12802-B
coequal	85-12851-B
coequality	85-12989-B
coequally	85-13019-B
coerce	85-13048-B
coercer	85-13167-B
coercible	85-13193-B
coercimeter	85-13304-B
coercion	85-13342-B
coercionary	85-13449-B
coercive	85-13481-B
coercively	85-13672-B
coerciveness	85-13745-B
coercivity	85-13846-B
coessential	85-13922-B
coetaneous	85-13997-B
coeternal	85-14026-B
coeur	106-19528-S
coeval	85-14197-B
coevality	85-14283-B
coevally	85-14384-B
coexecutor	85-14413-B
coexecutrix	85-14503-B
coexist	85-14602-B
coexistence	85-14677-B
coexistent	85-14825-B
coeþte	85-14098-S
coeþte que coeþte	85-14098-B
cofactor	85-14911-B
coffe	50-9184-S
coffee	85-14986-B,50-9244-S,251-10410-S,481-4875-S,519-18711-S
coffee and	85-15627-B
coffee bar	85-15163-B,85-15764-B
coffee bean	85-15879-B
coffee berry	85-15993-B
coffee break	85-15273-B
coffee cup	85-16045-B
coffee grinder	85-16110-B
coffee grounds	85-16181-B
coffee house	85-16244-B
coffee mill	85-15387-B,85-16324-B
coffee morning	85-16376-B
coffee pot	85-16487-B
coffee room	85-16562-B
coffee shop	85-15432-B
coffee spoon	85-16643-B
coffee stall	85-16704-B
coffee table	85-15500-B,85-16828-B
coffee table book	85-17006-B
coffee tavern	85-17111-B
coffee tree	85-15586-B,85-17209-B,258-25234-S
coffeebar	85-15715-B
coffeeberry	85-15939-B
coffeetable	85-16773-B
coffeine	85-17282-B
coffer	85-17329-B
coffer dam	85-17488-B
coffin	85-17598-B
coffin bone	85-17953-B
coffin maker	85-18020-B
coffin nail	85-18091-B
coffin plate	85-18165-B
coffle	85-18249-B
cofibration	85-18367-B
cofibre	85-18415-B
cofinal	86-0-B
coflow	86-46-B
cofunction	86-174-B
cog	86-199-B
cog rail	86-4603-B
cog railway	86-4765-B
cog wheel	86-4833-B
cogence	86-554-B
cogency	86-599-B
cogent	86-699-B
cogently	86-799-B
cogged	86-826-B
cogitability	86-848-B
