canopy	66-11424-B
caps	67-6610-B,519-20609-S
caps capitals	67-6665-B
caps lock	67-6705-B
capsaicin	67-6746-B
capsicum	67-6806-B
capsize	67-6887-B
capstan	67-7002-B,421-16341-S
capstan servo	67-7087-B
capsular	168-18758-S
capsule	67-7142-B,350-23043-S,408-23538-S
capt	67-7389-B,205-14512-S
captain	67-7443-B,45-20867-S,180-17741-S,209-18965-S,211-3350-S,354-18028-S,406-18253-S,417-6420-S
captaincy	67-7811-B
captainship	67-8065-B
caption	67-8233-B
captious	67-8511-B
captiously	67-8673-B
captiousness	67-8744-B
captivate	67-8906-B
captivating	67-8981-B
captivation	67-9058-B
captivator	67-9146-B
captive	67-9178-B
captive balloon	67-9455-B
captivity	67-9556-B
captor	67-9660-B
capture	67-9854-B
capture data capturing	67-9792-B
capture process	149-9691-S
capture transition	149-9762-S
capturer	67-10214-B
capturing	67-9792-S,114-14419-S
capuchin	67-10296-B
caput	67-10447-B
capybara	67-10510-B
car	67-10606-B,40-3109-S,56-17779-S,60-6775-S,60-17398-S,63-14701-S,73-15365-S,73-15538-S,83-23157-S,84-6499-S,88-1893-S,88-27658-S,112-5583-S,129-12283-S,136-1187-S,142-12636-S,161-17738-S,181-10483-S,190-9093-S,193-19809-S,205-10556-S,222-1185-S,254-18191-S,279-11384-S,296-16151-S,296-17402-S,308-17816-S,323-16222-S,325-395-S,326-8529-S,329-15734-S,329-16055-S,329-16701-S,332-845-S,347-1456-S,367-9732-S,369-21270-S,376-2341-S,376-24407-S,383-8601-S,383-9186-S,388-5273-S,399-4057-S,405-4857-S,414-158-S,419-18925-S,424-10585-S,426-18960-S,437-7362-S,437-7688-S,438-11406-S,441-27207-S,444-16066-S,455-21530-S,461-21859-S,470-4705-S,473-2448-S,474-14078-S,478-18217-S,509-11582-S
car boot sale	67-15978-B
car ferry	68-8974-B
car load	68-10978-B
car park	68-15328-B
car port	68-18831-B
car racing	444-16210-S
carabao	67-10955-B
carabid	67-11014-B
carabine	67-11085-B
carabineer	67-11126-B
caracal	67-11177-B
caracole	67-11245-B
caracul	67-11407-B
carafe	67-11487-B
caralliform	67-11569-B
caramel	67-11623-B
caramelise	67-11737-B
caramelization	67-11803-B
caramelize	67-11840-B
carapace	67-11912-B
carat	67-11986-B
caravan	67-12027-B
caravan site	67-12672-B
caravanner	67-12406-B
caravanserai	67-12553-B
caravel	67-12782-B
caraway	67-12823-B
carbamate	67-12906-B
carbamic acid	67-12966-B
carbamide	67-13039-B
carbamino	67-13103-B
carbamyl	67-13171-B
carbarn	67-13245-B
carbide	67-13315-B
carbine	67-13368-B
carbineer	67-13430-B
carbinol	67-13510-B
carbocyclic	67-13578-B
carbohydrate	67-13662-B
carbolic acid	67-13736-B
carbomb	67-13804-B
carbon	67-13862-B,195-18734-S,275-22752-S,376-2454-S,376-4056-S
carbon black	67-14120-B
carbon copy	67-14230-B,67-14934-B
carbon date	67-15037-B
carbon dating	67-14285-B,376-2538-S
carbon filament	67-14394-B
carbon paper	67-15794-B
carbonaceous	67-14432-B
carbonado	67-14541-B
carbonate	67-14695-B,429-1852-S
carbonated	67-14754-B
carbonation	67-14869-B
carbonator	67-14902-B
carbonic	67-15074-B
carboniferous	67-15194-B
carbonise	67-15329-B
carbonization	67-15379-B
carbonize	67-15568-B
carbonizer	67-15736-B
carbonous	67-15766-B
carbonyl	67-15857-B
carbonylic	67-15915-B
carborundum	67-16080-B
carboxyl	67-16143-B
carboy	67-16202-B
carbuncle	67-16299-B
carbuncled	67-16410-B
carbuncular	67-16572-B
carburation	67-16696-B
carburet	67-16778-B
carburetion	67-16912-B
carburetor	67-16944-B
carburetter	67-17032-B
carburettor	67-17085-B
carcajou	67-17174-B
carcanet	67-17249-B
carcase	67-17375-B
carcass	67-17416-B
carcinogen	67-17947-B
carcinogenesis	67-18021-B
carcinogenic	67-18058-B
carcinogenicity	67-18119-B
carcinoid	67-18159-B
carcinology	67-18229-B
carcinoma	67-18295-B
carcinomata	67-18403-B
carcinomatoid	67-18458-B
carcinomatosis	67-18493-B
carcinomatous	67-18583-B
carcinotron	67-18620-B
card	67-18674-B,4-949-S,4-24425-S,41-9980-S,41-11210-S,51-3261-S,53-10731-S,61-11555-S,62-18038-S,65-689-S,75-22371-S,78-4661-S,78-5338-S,89-29838-S,98-18873-S,104-10734-S,106-8968-S,114-14461-S,139-6492-S,139-22883-S,146-1238-S,146-1347-S,147-570-S,170-4687-S,177-19737-S,181-4096-S,181-4579-S,185-11777-S,206-16453-S,208-5687-S,210-12754-S,223-10173-S,231-821-S,231-7154-S,231-8760-S,231-14129-S,239-15410-S,268-2443-S,330-19475-S,343-12584-S,345-22597-S,347-18505-S,370-4665-S,370-5145-S,370-5275-S,375-17763-S,378-20362-S,381-18529-S,386-13502-S,399-20409-S,404-20007-S,404-20159-S,407-1327-S,469-23283-S,479-19194-S,495-4063-S,511-16883-S,511-17429-S,517-7666-S,524-10821-S
card carrying	67-21303-B
card carrying member	67-21372-B
card catalogue	67-21686-B
card deck	67-20462-B
card game	68-123-B
card holder	67-20497-B
card index	67-20586-B
card input	67-20646-B
card man	67-20716-B
card punch	68-2230-B
card puncher	67-20793-B
card reader	67-20835-B
card reader unit	67-20876-B
card sharper	68-2294-B
card sorter	67-20922-B
card table	68-2423-B
card to tape converter	67-20962-B
cardamom	67-21023-B
cardan joint	67-21146-B
cardboard	67-21223-B
cardcarrying member	67-21604-B
carder	68-0-B
cardgame	68-76-B
cardia	37-1195-S
cardiac	68-265-B
cardial	168-18852-S
cardigan	68-376-B
cardinal	68-456-B
cardinal beetle	68-900-B
cardinal bird	68-995-B
cardinalate	68-825-B
cardinality	68-1078-B
cardinalship	68-1178-B
carding machine	68-1211-B
cardiogram	68-1284-B,148-9944-S
cardiograph	68-1358-B,148-10136-S
cardiography	68-1441-B
cardioid	68-1511-B
cardiolith	68-1561-B
cardiological	68-1616-B
cardiologist	68-1652-B
cardiology	68-1733-B
cardiopathy	68-1814-B
cardiopulmonary	68-1877-B
cardiotonic	68-1958-B
cardiovascular	68-2021-B
carditis	68-2123-B
cardoon	68-2179-B
cards	346-2068-S
cardtable	68-2372-B
care	68-2485-B,10-15156-S,115-12790-S,125-17410-S,246-21884-S
care laden	68-6927-B
care taker	68-8462-B
care worn	68-8753-B
careen	68-4458-B
careenage	68-4716-B
careener	68-4929-B
career	68-4956-B
career girl	68-5824-B
careerism	68-5941-B
careerist	68-6058-B
careers master	68-6157-B
carefree	68-6250-B
careful	68-6318-B
carefully	68-6765-B
carefulness	68-6831-B
careless	68-7005-B
carelessly	68-7466-B
carelessness	68-7559-B
carembole	68-7769-B
caress	68-7957-B
caresser	68-8096-B
caressing	68-8123-B
caressingly	68-8199-B
caressive	68-8229-B
caret	68-8257-B
caretaker	68-8361-B
caretaker government	68-8622-B
carex	68-8800-B
carfare	68-8876-B
carfax	68-8926-B
carful	68-9067-B
cargo	68-9119-B,117-15381-S
cargo cult	68-9193-B
cargoship	141-14727-S
cariama	68-9335-B
cariander	68-9428-B
carib	68-9502-B
cariban	68-9586-B
cariboo	68-9696-B
cariboo caribou	68-9755-B
caribou	68-9838-B,68-9755-S
caricatural	68-9879-B
caricature	68-9976-B
caricaturist	68-10106-B
carier	68-10178-B
caries	68-10200-B
carillon	68-10302-B
carina	68-10384-B
carinate	68-10518-B
caring	68-10580-B
carioca	68-10612-B
cariosity	68-10732-B
carious	68-10761-B
carking	68-10843-B
carmagnole	68-11032-B
carman	68-11154-B
carmelite	68-11242-B
carminative	68-11343-B
carmine	68-11453-B
carnage	68-11553-B
carnal	68-11693-B
carnality	68-11902-B
carnallite	68-11989-B
carnally	68-12052-B
carnassial	68-12079-B
carnation	68-12184-B
carnauba	68-12317-B
carnauba wax	68-12401-B
carne	76-14114-S,76-14999-S
carnelian	68-12466-B
carnet	68-12513-B
carney	68-12628-B
carnification	68-12713-B
carnify	68-12787-B
carnitine	68-12866-B
carnival	68-12927-B
carnivora	68-13240-B
carnivore	68-13317-B
carnivorous	68-13452-B
carnivorously	68-13524-B
carnivorousness	68-13563-B
carnotite	68-13602-B
carny	68-13664-B
carob	68-13700-B
carol	68-13784-B
caroler	68-13962-B
caroline	68-13987-B
carolingian	68-14097-B
carom	68-14266-B
carotene	68-14449-B
carotid	68-14493-B
carotin	68-14564-B
carousal	68-14612-B
carouse	68-14681-B
carousel	68-14787-B
carouser	68-14896-B
carp	68-14972-B,5-11206-S,423-4029-S
carpal	68-15248-B,376-2647-S
carpe diem	68-15375-B
carpel	68-15461-B
carpellary	68-15523-B
carpellate	68-15552-B
carpenter	68-15610-B
carpenter ant	68-15755-B
carpenter bee	68-15826-B
carpenter scene	68-15892-B
carpentry	68-16043-B
carper	68-16125-B
carpet	68-16257-B,278-16681-S,316-19459-S,338-3121-S,344-9570-S,381-18602-S,439-26510-S,481-3822-S
carpet bag	68-16721-B
carpet bagger	68-16923-B
carpet bed	68-17248-B
carpet bomb	68-17333-B
carpet bombing	68-17417-B
carpet knight	68-17694-B
carpet raid	68-17837-B
carpet rod	68-17927-B
carpet shark	68-18021-B
carpet slippers	68-18133-B
carpet sweeper	68-16643-B,68-18197-B
carpeting	68-17497-B
carpi	68-18303-B
carpogonium	68-18407-B
carpology	68-18530-B
carpophagous	68-18610-B
carpophore	68-18678-B
carport	68-18778-B
carpospore	68-18901-B
carposporic	68-18978-B
carpus	68-19052-B
carrack	68-19090-B
carrefour	68-19167-B
carrel	68-19223-B
carriage	68-19307-B,35-17946-S,38-13101-S,176-18479-S,211-3428-S,212-10756-S,225-14191-S,399-4113-S,424-26904-S,426-19064-S,437-27541-S,515-27951-S
carriage builder	68-20357-B
carriage clock	68-20457-B
carriage control	68-19989-B
carriage control character	68-20048-B
carriage dog	68-20553-B
carriage drive	68-20686-B
carriage fellow	68-20746-B
carriage forward	68-20826-B
carriage free	68-20922-B
carriage paid	68-21052-B
carriage return	68-20137-B
carriage return character	68-20211-B
carriage way	68-21182-B
carriageable	68-20273-B
carriagedrive	68-20626-B
carriageway	141-18474-S
carriagge drive	68-21259-B
carrick bend	68-21349-B
carried	473-24489-S
carrier	68-21435-B,12-5275-S,12-5339-S,34-15795-S,58-10330-S,74-17723-S,89-5081-S,108-19156-S,114-14500-S,138-1191-S,164-24548-S,222-21677-S,268-2491-S,279-11432-S,311-11689-S,477-11229-S,478-20476-S,515-28046-S
carrier bag	68-22073-B,68-22284-B
carrier borne	68-22395-B
carrier cable	68-22195-B
carrier channel	68-22238-B
carrier modulation	138-8239-S
carrier nation	68-22621-B
carrier pigeon	68-22720-B
carrier signal	148-4480-S
