excellently	164-21439-B
exilic	166-7254-B,357-19239-S
exility	166-7278-B
exine	166-7353-B
exist	166-7452-B,357-19306-S
existence	166-7523-B,304-19228-S,305-4160-S
existent	166-7811-B,305-4237-S,357-19615-S,410-2136-S
existential	166-7906-B
existentialism	166-8086-B
existentialist	166-8178-B
existentially	166-8284-B
existing	166-8321-B
exit	166-8488-B,152-7709-S,205-18132-S
exitability	166-8758-B
exitable	166-8868-B
exnor gate exclusive nor	166-9255-B
exobiological	166-9340-B
exobiologist	166-9438-B
exobiology	166-9530-B
exocardiac	166-9613-B
exocardial	166-9668-B
exocarp	166-9723-B
exocrine	166-9797-B
exocrine gland	166-9878-B
exode	166-9956-B
exoderm	166-10032-B
exodermis	166-10098-B
exodic	166-10193-B
exodontia	166-10273-B
exodontist	166-10341-B
exodus	166-10413-B
exoenzyme	166-10584-B
exoergic	166-10661-B
exogamete	166-10814-B
exogamic	166-10890-B
exogamous	166-10918-B
exogamy	166-10976-B
exogenitic	166-11042-B
exogenous	166-11095-B
exogenously	166-11189-B
exomorphic	166-11222-B
exon	166-11312-B
exonerate	166-11377-B
exoneration	166-11488-B
exonerative	166-11594-B
exonerator	166-11700-B
exonic	166-11793-B
exoparasite	166-11816-B
exopathic	166-11888-B
exophthalmia	166-11969-B
exophthalmic	166-12037-B
exophthalmos	166-12104-B
exophthalmus	166-12197-B
exophylaxis	166-12256-B
exoplasm	166-12346-B
exopodite	166-12393-B
exor gate exclusive or	166-12474-B
exorability	166-12542-B
exorable	166-12628-B
exorbitance	166-12754-B
exorbitancy	166-12808-B
exorbitant	166-12913-B
exorbitantly	166-13067-B
exorcise	166-13122-B
exorciser	166-13176-B
exorcism	166-13206-B
exorcist	166-13307-B
exorcize	166-13393-B
exordia	166-13507-B
exordial	166-13552-B
exordium	166-13646-B
exorpore	166-13754-B
exoskeletal	166-13847-B
exoskeleton	166-13882-B
exosmosis	166-13966-B
exosmotic	166-14033-B
exosphere	166-14064-B
exospheric	166-14140-B
exospore	166-14211-B
exosporous	166-14298-B
exostome	166-14364-B
exostosis	166-14443-B
exostracize	166-14537-B
exoteric	166-14661-B
exoterical	166-14808-B
exoterically	166-14886-B
exoterics	166-14919-B
exotheca	166-15027-B
exothecium	166-15120-B
exothermal	166-15214-B
exothermic	166-15268-B
exothermically	166-15337-B
exotic	166-15374-B
exotica	166-15652-B
exotically	166-15732-B
exoticness	166-15763-B
exotoxin	166-15792-B
exotropic	166-15872-B
exotropism	166-15963-B
expand	166-16061-B
expandability	166-16242-B
expandable	166-16303-B
expanded	166-16332-B
expanded board	166-16359-B
expanded memory	166-16402-B
expanded memory specifications	166-16450-B
expanded metal	166-16536-B
expander	166-16672-B,36-923-S,36-5635-S,91-4379-S
expandor	166-16701-B
expanse	166-16746-B
expansibility	166-16874-B
expansible	166-17091-B
expansile	166-17257-B
expansion	166-17456-B,36-5707-S,275-26093-S
expansion slot	166-17737-B
expansionism	166-17783-B
expansionist	166-17864-B
expansive	166-17959-B
expansively	166-18302-B
expansiveness	166-18372-B
expansivity	166-18668-B
expatiate	166-18725-B
expatiation	166-18900-B
expatiatory	166-19084-B
expatriate	166-19216-B
expatriation	166-19516-B
expect	166-19667-B
expectable	166-19977-B
expectably	166-20010-B
expectance	166-20043-B
expectancy	166-20093-B,269-12503-S
expectant	166-20292-B
expectantly	166-20780-B
expectation	166-20852-B
expectational	166-21412-B
expectative	167-0-B
expected	167-146-B
expectedly	167-206-B
expectedness	167-239-B
expectorant	167-270-B
expectorate	167-380-B
expectoration	167-458-B
expedience	167-579-B
expediency	167-630-B
expedient	167-813-B
expediential	167-1141-B
expedientially	167-1197-B
expediently	167-1236-B
expedite	167-1315-B
expediter	167-1418-B
expedition	167-1448-B
expeditionary	167-1724-B
expeditionist	167-1998-B
expeditious	167-2198-B
expeditiously	167-2328-B
expeditiousness	167-2419-B
expeditor	167-2533-B
expel	167-2562-B
expellable	167-2722-B
expellee	167-2909-B
expellent	167-3004-B
expeller	167-3079-B
expend	167-3105-B
expendability	167-3204-B
expendable	167-3294-B
expenditure	167-3465-B,67-1288-S
expense	167-3595-B
expenses	339-9860-S,349-22432-S
expensive	167-4115-B
expensively	167-4188-B
expensiveness	167-4262-B
experience	167-4342-B
experience table	167-4741-B
experienced	167-4884-B
experiencer	167-5001-B
experiential	167-5035-B
experientialism	167-5163-B
experientialist	167-5250-B
experientially	167-5315-B
experiimentation	167-5354-B
experiment	167-5422-B,75-8739-S
experimental	167-5477-B
experimentalise	167-5655-B
experimentalism	167-5722-B
experimentalist	167-5808-B
experimentalize	167-5944-B
experimentally	167-6197-B
experimentation	167-6328-B
experimenter	167-6414-B
expert	167-6502-B,146-18206-S
expert system	167-7012-B
expertise	167-7082-B
expertly	167-7241-B
expertness	167-7313-B
